question_id,year,district,exam_stage,question_no,evidence_level,v5_2_category,reason,framework_entry_nodes,old_pass_status,ask_text
CC0084_2025_东城_二模_19,2025,东城,二模,19,formal,source_check_pending,ask_blank,,PARTIAL_SOURCE_CHECK,
CC0092_2025_东城_期末_19_1,2025,东城,期末,19,formal,source_check_pending,ask_blank,,PARTIAL_SOURCE_CHECK,
CC0103_2025_丰台_一模_19,2025,丰台,一模,19,formal,strict_core,formal core sample generated in V5.2 after Claude V5.2 downgrades,分关系·定责任 + 认产权·抓侵权 + 排维权步骤 + 推价值,PASS_CANDIDATE,结合材料，运用法治相关知识，分析本案作为人民法院保护科技创新典型案例的意义。
CC0119_2025_丰台_期末_19,2025,丰台,期末,19,formal,source_check_pending,Claude Opus V5.2 复核要求移出核心并回源：材料/答案/细则或生成答案存在错位/元信息污染风险,,PASS_CANDIDATE,运用《法律与生活》相关知识阐释法院的裁判理由”→可分析法院裁判对构建合理健康的 劳动关系的意义。
CC0125_2025_延庆_一模_19,2025,延庆,一模,19,formal,strict_core,formal core sample generated in V5.2 after Claude V5.2 downgrades,分关系·定责任 + 排维权步骤,PASS_CANDIDATE,运用《法律与生活》知识，说明你会如何进行调解并说 明理由。
CC0131_2025_房山_一模_19,2025,房山,一模,19,formal,source_check_pending,ask_blank,,PARTIAL_SOURCE_CHECK,
CC0137_2025_昌平_二模_20,2025,昌平,二模,20,formal,source_check_pending,Claude Opus V5.2 复核要求移出核心并回源：材料/答案/细则或生成答案存在错位/元信息污染风险,,PASS_CANDIDATE,运用《法律与生活》知识，完成裁判理由。
CC0143_2025_朝阳_一模_19,2025,朝阳,一模,19,formal,strict_core,formal core sample generated in V5.2 after Claude V5.2 downgrades,分关系·定责任 + 排维权步骤 + 推价值,PASS_CANDIDATE,结合材料，运用《法律与生活》知识，说明人民法院支持王某的诉讼请求的理由。
CC0150_2025_朝阳_二模_20,2025,朝阳,二模,20,formal,strict_core,formal core sample generated in V5.2 after Claude V5.2 downgrades,分关系·定责任 + 排维权步骤,PASS_CANDIDATE,"结合材料,运用《法律与生活》知识,分析上述案例。"
CC0157_2025_朝阳_期末_20,2025,朝阳,期末,20,formal,source_check_pending,ask_blank,,PARTIAL_SOURCE_CHECK,
CC0162_2025_海淀_一模_18,2025,海淀,一模,18,reference_only,reference_only_locked,普通参考答案/教师答案，不支撑核心,,PARTIAL_REFERENCE_ONLY,运用《法律与生活》知识，谈谈对本案判决的认识。
CC0180_2025_海淀_期末_20,2025,海淀,期末,20,formal,source_check_pending,ask_blank,,PARTIAL_SOURCE_CHECK,
CC0181_2025_海淀_期末_21,2025,海淀,期末,21,formal,strict_core,formal core sample generated in V5.2 after Claude V5.2 downgrades,分关系·定责任,PASS_CANDIDATE,结合材料，运用《法律与生活》知识，说明法律规定“竞业限制”并对其加以限制的原因。
CC0189_2025_石景山_一模_20,2025,石景山,一模,20,formal,source_check_pending,ask_blank,,PARTIAL_SOURCE_CHECK,
CC0195_2025_西城_一模_20,2025,西城,一模,20,formal,source_check_pending,ask_blank,,PARTIAL_SOURCE_CHECK,
CC0200_2025_西城_二模_18,2025,西城,二模,18,formal,strict_core,formal core sample generated in V5.2 after Claude V5.2 downgrades,分关系·定责任 + 推价值,PASS_CANDIDATE,结合材料，运用《法律与生活》的知识，分析人民法院的判决结果。
CC0206_2025_西城_期末_19,2025,西城,期末,19,formal,strict_core,formal core sample generated in V5.2 after Claude V5.2 downgrades,分关系·定责任 + 认产权·抓侵权 + 排维权步骤 + 划风险边界,PASS_CANDIDATE,运用法律知识分析法院的判决。
CC0213_2025_门头沟_一模_20,2025,门头沟,一模,20,formal,source_check_pending,ask_blank,,PARTIAL_SOURCE_CHECK,
CC0214_2025_门头沟_一模_20_2,2025,门头沟,一模,20,formal,source_check_pending,ask_blank,,PARTIAL_SOURCE_CHECK,
CC0223_2025_顺义_一模_19,2025,顺义,一模,19,formal,strict_core,formal core sample generated in V5.2 after Claude V5.2 downgrades,分关系·定责任 + 认产权·抓侵权 + 排维权步骤 + 划风险边界 + 推价值,PASS_CANDIDATE,运用法治知识，设问指向是阐释定分止争的价值，运用 《法律与生活》的知识进行说明。
CC0229_2026_东城_一模_18,2026,东城,一模,18,formal,strict_core,formal core sample generated in V5.2 after Claude V5.2 downgrades,分关系·定责任 + 认产权·抓侵权 + 排维权步骤 + 推价值,PASS_CANDIDATE,结合材料，运用《法律与生活》知识，谈谈法院是如何以司法之力守护“向新力”的。
CC0238_2026_东城_二模_19,2026,东城,二模,19,formal,strict_core,formal core sample generated in V5.2 after Claude V5.2 downgrades,分关系·定责任,PASS_CANDIDATE,结合材料，运用《法律与生活》知识，评析乙公司和张某的行为。
CC0244_2026_东城_期末_18,2026,东城,期末,18,formal,strict_core,formal core sample generated in V5.2 after Claude V5.2 downgrades,分关系·定责任 + 排维权步骤,PASS_CANDIDATE,运用《法律与生活》知识，分析本案涉及的法律责任及法律依据。
CC0245_2026_东城_期末_18_2,2026,东城,期末,18,formal,source_check_pending,ask_blank,,PARTIAL_SOURCE_CHECK,
CC0251_2026_丰台_一模_20,2026,丰台,一模,20,formal,source_check_pending,被 V5.2 强制要求回源清洗,,PASS_CANDIDATE,运用所学知识展开论述；逻辑严密，条理清晰 水平3 | 观点比较明确，能表达自己的见解；能扣住观点展开论述，知识运用比较准确；逻辑性较强，有条理 水平2 | 观点不明确；论述不能集中指向问题，罗列知识；知识运用不正确；论述缺乏逻辑，条理性差 水平1 | 应答与试题无关；或重复试题内容；或没有应答
CC0254_2026_丰台_二模_18,2026,丰台,二模,18,formal,low_frequency_container,formal 但低频，不作为核心动作卡支撑,,PARTIAL_LOW_FREQ_CONTAINER,运用《法律与生活》知识，谈谈你对这句话的理解。
CC0276_2026_房山_二模_17,2026,房山,二模,17,formal,boundary_open_container,综合/宏观治理/边界题，只进开放容器,,PARTIAL_BOUNDARY_OPEN,
CC0277_2026_房山_二模_18,2026,房山,二模,18,formal,source_check_pending,ask_blank,,PARTIAL_SOURCE_CHECK,
CC0283_2026_朝阳_一模_18,2026,朝阳,一模,18,formal,source_check_pending,被 V5.2 强制要求回源清洗,,PASS_CANDIDATE,运用纠纷的多元解决方式的知识，从调解的作用角度分析，说明人民法院坚持调解优先，减少了诉讼对 创新的干扰。
CC0289_2026_朝阳_二模_18,2026,朝阳,二模,18,formal,source_check_pending,Claude Opus V5.2 复核要求移出核心并回源：材料/答案/细则或生成答案存在错位/元信息污染风险,,PASS_CANDIDATE,结合材料，《法律与生活》，补充完整。
CC0311_2026_海淀_二模_18_2,2026,海淀,二模,18,reference_only,reference_only_locked,普通参考答案/教师答案，不支撑核心,,PARTIAL_REFERENCE_ONLY,结合材料二，运用《法律与生活》知识，分析上述关于知识产权的法律规定是如何助力企业创新与发展的。（8分）
CC0317_2026_海淀_期末_18,2026,海淀,期末,18,formal,source_check_pending,ask_blank,,PARTIAL_SOURCE_CHECK,
CC0318_2026_海淀_期末_18_2,2026,海淀,期末,18,formal,source_check_pending,ask_blank,,PARTIAL_SOURCE_CHECK,
CC0319_2026_海淀_期末_19,2026,海淀,期末,19,formal,source_check_pending,ask_blank,,PARTIAL_SOURCE_CHECK,
CC0325_2026_石景山_一模_18,2026,石景山,一模,18,formal,source_check_pending,ask_blank,,PARTIAL_SOURCE_CHECK,
CC0332_2026_石景山_二模_19,2026,石景山,二模,19,formal,low_frequency_container,formal 但低频，不作为核心动作卡支撑,,PARTIAL_LOW_FREQ_CONTAINER,结合材料，运用《法律与生活》知识，谈谈对未成年人校园欺凌违法行为“惩”“教”并行的认识。
CC0340_2026_西城_一模_17,2026,西城,一模,17,formal,low_frequency_container,formal 但低频，不作为核心动作卡支撑,,PARTIAL_LOW_FREQ_CONTAINER,结合材料，运用法律相关知识，说明民法典物权编的上述规定如何推动国家绿色发展。
CC0353_2026_西城_期末_17,2026,西城,期末,17,reference_only,reference_only_locked,普通参考答案/教师答案，不支撑核心,,PARTIAL_REFERENCE_ONLY,
CC0364_2026_通州_期末_19_1,2026,通州,期末,19,formal,excluded_logic_boundary,设问指向《逻辑与思维》，不进入选必二法律核心,,PASS_CANDIDATE,根据材料，判断推理①和②的逻辑正误，并结合《逻辑与思维》知识说明理由。
CC0305_2026_海淀_一模_18_3,2026,海淀,一模,18,formal,source_check_pending,ask_pending_or_ocr,,PARTIAL_SOURCE_CHECK,设问待 OCR 回补；评分细则显示要求判断是否支持原告诉讼请求，并说明隐私权、消费者知情权、虚假宣传/欺诈、侵权责任和惩罚性赔偿等法律依据。
CC0373_2026_顺义_一模_18,2026,顺义,一模,18,formal,strict_core,formal core sample generated in V5.2 after Claude V5.2 downgrades,分关系·定责任 + 推价值,PASS_CANDIDATE,结合材料，运用《法律与生活》知识，闫某和张某的诉求能否得到法院的支持，并说明理由。
CC0380_2026_顺义_二模_18_2,2026,顺义,二模,18,formal,boundary_open_container,综合/宏观治理/边界题，只进开放容器,,PARTIAL_BOUNDARY_OPEN,设问待从试卷 OCR 回补；评标答案显示要求从必修3《政治与法治》和选必2《法律与生活》角度分析开源智能体法律风险与治理。
RECOVER_2025_海淀_二模_18,2025,海淀,二模,18,formal,strict_core,formal core sample generated in V5.2 after Claude V5.2 downgrades,分关系·定责任 + 一格一答 + 认产权·抓侵权 + 排维权步骤,PASS_CANDIDATE,运用法治知识，将笔记中划线处补充完整。
RECOVER_2026_通州_一模_20,2026,通州,一模,20,formal,strict_core,formal core sample generated in V5.2 after Claude V5.2 downgrades,分关系·定责任 + 一格一答 + 划风险边界 + 推价值,PASS_CANDIDATE,阅读材料，完成下表。
RECOVER_2024_东城_一模_19,2024,东城,一模,19,formal,low_frequency_container,formal 但低频，不作为核心动作卡支撑,,PARTIAL_LOW_FREQ_CONTAINER,针对上述案件，运用《法律与生活》知识，谈谈法律规定诉讼时效并对其不适用的情形加以规定的原因。（6分）
RECOVER_2024_东城_二模_19_1,2024,东城,二模,19,formal,strict_core,formal core sample generated in V5.2 after Claude V5.2 downgrades,排维权步骤,PASS_CANDIDATE,请你选择其中一方进行代理，并撰写起诉状。（7分）
RECOVER_2024_东城_二模_19_2,2024,东城,二模,19,formal,strict_core,formal core sample generated in V5.2 after Claude V5.2 downgrades,排维权步骤,PASS_CANDIDATE,为避免类似问题产生，我们应该________。（2分）
RECOVER_2025_丰台_二模_19_2,2025,丰台,二模,19,formal,strict_core,formal core sample generated in V5.2 after Claude V5.2 downgrades,认产权·抓侵权 + 划风险边界,PASS_CANDIDATE,一纸司法建议，既为当下划定了红线，防止技术滥用，又为未来创新发展预留了空间。运用《法律与生活》知识，谈谈你对这句话的理解。（8分）
RECOVER_2026_延庆_一模_18_1,2026,延庆,一模,18,formal,strict_core,formal core sample generated in V5.2 after Claude V5.2 downgrades,排维权步骤 + 划风险边界,PASS_CANDIDATE,结合材料一，运用《法律与生活》知识，分析M公司涉嫌哪些违法行为，若主持人李某诉至法院，可提出哪些诉讼请求并说明理由。（8分）
RECOVER_2026_房山_一模_17_1,2026,房山,一模,17,formal,strict_core,formal core sample generated in V5.2 after Claude V5.2 downgrades,分关系·定责任 + 划风险边界,PASS_CANDIDATE,结合材料，运用“民事法律关系”知识，辨析“AI幻觉造成损失谁买单”。（3分）
RECOVER_2026_西城_二模_18_1,2026,西城,二模,18,formal,strict_core,formal core sample generated in V5.2 after Claude V5.2 downgrades,分关系·定责任 + 排维权步骤 + 划风险边界 + 推价值,PASS_CANDIDATE,结合材料，阐明本案判决的法律依据。（4分）
RECOVER_2026_西城_二模_18_2,2026,西城,二模,18,formal,boundary_open_container,综合/宏观治理/边界题，只进开放容器,,PASS_CANDIDATE,结合该案判决对生成式AI权责边界的认定，分析其对促进AI产业发展的影响。（6分）
RECOVER_2026_西城_二模_18_3,2026,西城,二模,18,formal,boundary_open_container,综合/宏观治理/边界题，只进开放容器,,PARTIAL_BOUNDARY_OPEN,结合材料二，从法治的角度，阐释最高人民法院发布典型案例对推进国家治理能力现代化的意义。（6分）
RECOVER_2026_门头沟_一模_18_1,2026,门头沟,一模,18,formal,strict_core,formal core sample generated in V5.2 after Claude V5.2 downgrades,排维权步骤 + 划风险边界,PASS_CANDIDATE,结合材料，运用《法律与生活》的知识，说明本案是如何消除损害风险，维护生态环境公共利益的。（8分）
RECOVER_2026_朝阳_期末_18_1,2026,朝阳,期末,18,formal,strict_core,formal core sample generated in V5.2 after Claude V5.2 downgrades,分关系·定责任,PASS_CANDIDATE,结合上述案例，运用《法律与生活》知识，说明法院判决的依据。（7分）
