followup_id,suite_id,year,suite,question_no,issue_type,source_paths,evidence_excerpt,reason,required_action
S002_P05,S002,2024,2024朝阳一模,6,module-boundary-excluded,/Users/wanglifei/Desktop/2024模拟题/2024朝阳一模/试卷/试卷.pdf；/Users/wanglifei/Desktop/2024模拟题/2024朝阳一模/其他材料/202404朝阳高三政治一模试卷讲评.pptx,L1012-L1016 题面：6.要想准确鲜明地表达思想，思维必须合乎逻辑。下列表达中，符合逻辑规则的是：A.财产权可分为物权、债权、知识产权、著作权、商标权 B.我不赞成所有人都有崇高的理想，也不赞成所有人都没有崇高的理想 C.所有的科技人员都是懂计算机的，并且有些不懂计算机的是科技人员 D.我无法一天读完老舍的作品；正确答案B；L131-L134 讲评分别标注越级划分、排中律、矛盾律、四概念。,考点是逻辑规则（越级划分、排中律、矛盾律、概念偷换/四概念），属选必三《逻辑与思维》逻辑思维方法部分；形式逻辑「矛盾律」与必修四哲学「矛盾的对立统一」是不同概念，不能误混。,归入选必三逻辑与思维模块独立处理；在哲学框架边界注记中明确不能把形式逻辑的矛盾律误认为哲学矛盾观。
S002_P06,S002,2024,2024朝阳一模,7,module-boundary-excluded,/Users/wanglifei/Desktop/2024模拟题/2024朝阳一模/试卷/试卷.pdf,L1017-L1023 题面：7.抢占科技制高点，必须坚持原始创新、集成创新、开放创新一体设计，实现有效贯通……①创新思维依赖迁移、想象、逆向等逻辑思维 ②创新思维具有跨越性，但不排斥有步骤的逻辑推导与分析 ③合作创新离不开对前人和他人成果的继承借鉴 ④有效贯通发散、聚合、超前思维就能确保抢占制高点；正确答案C（②③）。,考点是创新思维的特征（跨越性、与逻辑推导的关系）以及发散思维、聚合思维、超前思维等，属选必三《逻辑与思维》创新思维部分，不属于必修四辩证唯物主义。,归入选必三创新思维模块独立处理，不入必修四哲学框架。
S002_P07,S002,2024,2024朝阳一模,8,module-boundary-excluded,/Users/wanglifei/Desktop/2024模拟题/2024朝阳一模/试卷/试卷.pdf,L1027-L1034 题面：8.随着数字技术迅猛发展……文化和旅游部……将推动旅游景区保留人工窗口……①社会主义法治社会的题中之义 ②服务便利化做减法 ③值得其他领域借鉴 ④政府部门「致广大而尽精微」，践行以人民为中心的思想；正确答案D（③④）。,正确项③④指向公共服务领域跨界借鉴和政府以人民为中心，落在必修三政治与法治、政府服务范围内，不锁定必修四哲学原理。,归入必修三政治与法治模块独立处理，不入哲学框架。
S002_P08,S002,2024,2024朝阳一模,9,module-boundary-excluded,/Users/wanglifei/Desktop/2024模拟题/2024朝阳一模/试卷/试卷.pdf,L1035-L1043 题面：9.几名中学生……模拟提案到正式提案……②有益于提高学生引领社会治理、参与政治生活的能力 ③需要坚持系统观念，有序地完成调查研究和思考任务 ④有益于增进学生对中国特色社会主义制度的特点和优势的理解；正确答案D（③④）。,考查重心是政协制度、政治参与与中国特色社会主义制度的特点优势，属必修三政治与法治范围；正确项③中的「系统观念」在此为做事方法论提示，未配套哲学给分口径，不能单独锁定为必修四联系观题源。,主归必修三政治与法治模块；如要将其作为必修四联系观/系统观念题源补证，需该题阅卷给分口径单独支持。
S002_P09,S002,2024,2024朝阳一模,10,module-boundary-excluded,/Users/wanglifei/Desktop/2024模拟题/2024朝阳一模/试卷/试卷.pdf,L1044-L1055 题面：10.刘某到某饭店就餐……燃料酒精误饮事件……①饭店过错应承担全部侵权责任 ②刘某存在疏于观察过错应承担相应责任 ③饭店摆放易燃物不当未尽合理安全保障义务应担责 ④饭店应承担无过错侵权责任；正确答案C（②③）。,考点是侵权责任法中的过错责任、安全保障义务与责任分担，属选必二《法律与生活》侵权责任章节，不涉及必修四哲学。,归入选必二法律与生活模块独立处理，不入哲学框架。
S002_P10,S002,2024,2024朝阳一模,11,module-boundary-excluded,/Users/wanglifei/Desktop/2024模拟题/2024朝阳一模/试卷/试卷.pdf,L1056-L1062 题面：11.所有权是权利人对自己的不动产或者动产，依法享有的占有、使用、收益和处分的权利。下列案例中，涉及所有权归属争议的是：①笔记本电脑被警察作为赃物扣押 ②光污染侵害 ③土地承包后村集体收回引发异议 ④房产先付款后过户给他人；正确答案B（①④）。,考点是所有权归属争议的识别（民法物权编），属选必二法律与生活，不涉及必修四哲学。,归入选必二法律与生活模块独立处理，不入哲学框架。
S002_P11,S002,2024,2024朝阳一模,12,module-boundary-excluded,/Users/wanglifei/Desktop/2024模拟题/2024朝阳一模/试卷/试卷.pdf,L1066-L1071 题面：12.一名12周岁的学生在老师指导下设计了一款垃圾收纳装置，获得国家知识产权局授权的「实用新型专利证书」……A.保密就一直受专利法保护 B.与实用技术无关 C.保护期满后进入公共领域，任何人都可以免费使用 D.只要经学生授权厂家就可生产销售；正确答案C。,考点是专利权的保护期限与公共领域规则，属选必二法律与生活知识产权部分，不涉及必修四哲学。,归入选必二法律与生活模块独立处理，不入哲学框架。
S002_P12,S002,2024,2024朝阳一模,13,module-boundary-excluded,/Users/wanglifei/Desktop/2024模拟题/2024朝阳一模/试卷/试卷.pdf,L1072-L1081 题面：13.从2024年开始，国家拟连续几年发行超长期特别国债，专项用于国家重大战略实施和重点领域安全能力建设……重点支持科技创新、城乡融合发展、区域协调发展、粮食能源安全、人口高质量发展……正确答案D：政府财政资金增加→科研经费支出增长→提升科技创新能力→增强经济运行效能。,考点是超长期特别国债的财政传导路径，属必修二经济与社会宏观调控/财政政策部分，不涉及必修四哲学。,归入必修二经济与社会模块独立处理，不入哲学框架。
S002_P13,S002,2024,2024朝阳一模,14,module-boundary-excluded,/Users/wanglifei/Desktop/2024模拟题/2024朝阳一模/试卷/试卷.pdf,L1082-L1090 题面：14.制度型开放……我国稳步扩大规则、规制、管理、标准等制度型开放……①有利于营造市场化、法治化、国际化的一流营商环境 ②是以开放促改革的需要，也是深度融入全球化的需要 ③需要修改与现有国际贸易规则相抵触的国内法律法规 ④为形成多元稳定的经贸关系提供了完善的体制机制保障；正确答案A（①②）。,考点是制度型对外开放与营商环境，属必修二经济与社会及选必一国际经济，不涉及必修四哲学。,归入必修二经济与社会/选必一当代国际经济模块独立处理，不入哲学框架。
S002_P14,S002,2024,2024朝阳一模,15,module-boundary-excluded,/Users/wanglifei/Desktop/2024模拟题/2024朝阳一模/试卷/试卷.pdf,L1091-L1098 题面：15.在金砖国家、APEC、上合组织、G20等多边外交舞台上，中国致力于解决短期的热点问题和完善长期的全球治理……新时代中国特色大国外交要更有作为，必须做到……②坚持外交大权在党中央，增强定力、把握大势、掌握主动 ④守正创新，坚守外交优良传统，推动外交理论和实践创新；正确答案C（②④）。,考点是新时代中国特色大国外交的根本要求与根本原则，属选必一当代国际政治与经济，不涉及必修四哲学。,归入选必一当代国际政治与经济模块独立处理，不入哲学框架。
S002_P15,S002,2024,2024朝阳一模,17,module-boundary-excluded,/Users/wanglifei/Desktop/2024模拟题/2024朝阳一模/试卷/试卷.pdf；/Users/wanglifei/Desktop/2024模拟题/2024朝阳一模/细则/细则.pptx,L1115-L1124 题面：17.（7分）……结合材料，运用《经济与社会》知识，谈谈如何发展银发经济以增进老年人福祉；L711-L725 评分细则：政府主体（政策产业、宏观调控、市场监管角度）、企业主体（经营战略、技术创新、诚信经营角度），有效市场和有为政府结合……每个角度2分，1主体最高4分，2主体6分，外加1分关于市场决定性作用。,题目明确要求《经济与社会》模块作答，给分细则全部锁定经济知识（市场调节与宏观调控、产业、市场监管、企业经营、市场决定性作用），不涉及必修四哲学触发点。,归入必修二经济与社会模块独立处理，不入哲学框架。
S002_P16,S002,2024,2024朝阳一模,18(1),module-boundary-excluded,/Users/wanglifei/Desktop/2024模拟题/2024朝阳一模/试卷/试卷.pdf；/Users/wanglifei/Desktop/2024模拟题/2024朝阳一模/细则/细则.pptx；/Users/wanglifei/Desktop/2024模拟题/2024朝阳一模/细则/补充材料/细则.docx,L1136-L1137 题面：(1)《北京国际科技创新中心建设条例》于2024年3月1日起施行。结合材料一，运用《政治与法治》知识，为推动条例的贯彻落实提出合理建议。（8分）；L734-L752 评分参考六个角度：宣传解读、政府履职、人大监督、政协协商、司法适用、企业个人创新主体，每角度2分任四点8分。,题目明确要求《政治与法治》模块作答，所有给分点都是政治与法治知识（履行职能、行使监督权、民主监督、公正司法等），不涉及必修四哲学。,归入必修三政治与法治模块独立处理，不入哲学框架。
S002_P17,S002,2024,2024朝阳一模,19,module-boundary-excluded,/Users/wanglifei/Desktop/2024模拟题/2024朝阳一模/试卷/试卷.pdf；/Users/wanglifei/Desktop/2024模拟题/2024朝阳一模/细则/细则.pptx；/Users/wanglifei/Desktop/2024模拟题/2024朝阳一模/细则/补充材料/细则.docx,L1155-L1171 题面：19.（7分）……结合材料，运用《法律与生活》知识，分析诚信原则对促进社会主义市场经济健康发展的积极作用；L804-L820 细则：总述1分（民法典将诚信原则确立为基本原则之一/凸显社会主义核心价值观/坚持法治和德治相结合）、角度一诚信履约+规范主体行为/司法定分止争1+2分、角度二经营者诚信经营+保护消费者合法权益等1+2分。,题目明确要求《法律与生活》模块作答，给分点均为民法典诚信原则、合同履约、消费者权益等法律知识，不涉及必修四哲学触发点。,归入选必二法律与生活模块独立处理，不入哲学框架。
S002_P18,S002,2024,2024朝阳一模,20,module-boundary-excluded,/Users/wanglifei/Desktop/2024模拟题/2024朝阳一模/试卷/试卷.pdf；/Users/wanglifei/Desktop/2024模拟题/2024朝阳一模/细则/细则.pptx；/Users/wanglifei/Desktop/2024模拟题/2024朝阳一模/细则/补充材料/细则.docx,L1172-L1182 题面：20.（9分）……（1）推理一属于哪种推理类型？其成立的理由是什么？（5分）（2）补充完整推理二（4分）；L823-L843 细则：（1）充分条件假言推理1分+理由（前件真后件一定真，后件假前件一定假）2分+材料分析2分；（2）每个前提2分共4分，必要条件假言判断的前件后件要求。,考点是充分条件假言推理与必要条件假言推理，属选必三《逻辑与思维》演绎推理章节，不属于必修四哲学。,归入选必三逻辑与思维模块独立处理，不入哲学框架。
S002_P19,S002,2024,2024朝阳一模,21,module-boundary-excluded,/Users/wanglifei/Desktop/2024模拟题/2024朝阳一模/试卷/试卷.pdf；/Users/wanglifei/Desktop/2024模拟题/2024朝阳一模/细则/细则.pptx；/Users/wanglifei/Desktop/2024模拟题/2024朝阳一模/细则/补充材料/细则.docx,L1186-L1188 题面：21.（9分）……结合上述资料，在分析我国当前经济形势的基础上，运用《当代国际政治与经济》知识，谈谈如何推动中国经济在变局中开新局；L860-L874 细则：分析我国当前经济形势4分（经济增速稳健1分、进入高质量发展阶段1分、外部环境严峻风险挑战增多1分、对世界经济贡献稳步提升1分）+如何推动5分（从政治多极化、经济全球化两个维度分析，准确运用4个要点5分等）。,题目明确要求《当代国际政治与经济》模块作答，给分点全部为国际政治与经济知识（高质量发展阶段、新发展格局、构建人类命运共同体、推进高水平对外开放等），不涉及必修四哲学触发点。,归入选必一当代国际政治与经济模块独立处理，不入哲学框架。
S003_P01,S003,2024,2024朝阳二模,19(1),module-boundary-excluded,/Users/wanglifei/Desktop/2024模拟题/2024朝阳二模/试卷/试卷.pdf；/Users/wanglifei/Desktop/2024模拟题/2024朝阳二模/细则/细则.pdf,L612-L613: 第19(1)题：生生之宇宙观体现了辩证思维的__①__特征。人效法天地之德体现的推理类型是___②___推理。(4分);L142: 参考答案 ①动态性 ②类比;L144-L147: 变通：①动态性替换'用变化发展的观点看问题/用矛盾运动的观点看问题/创新'给1分；②类比推理无变通,题目主考点是选必三《逻辑与思维》中辩证思维特征（动态性）和推理类型（类比推理），属选必三模块；尽管细则允许用必修四'变化发展的观点/矛盾运动的观点/创新'作为替换答案得1分，但这是跨模块替换给分，并不是题目设定的主考点。,归入选必三模块边界，不入必修四哲学framework_entries；可在错肢库附录单独记录'动态性—变化发展的观点—创新'这一跨模块替换给分路径。
S003_P02,S003,2024,2024朝阳二模,19(2),module-boundary-excluded,/Users/wanglifei/Desktop/2024模拟题/2024朝阳二模/试卷/试卷.pdf；/Users/wanglifei/Desktop/2024模拟题/2024朝阳二模/细则/细则.pdf,"L617-L618: 第19(2)题：'夫大人者,与天地合其德,与日月合其明,与四时合其序'是哪种复合判断？该复合判断为真的条件是什么？(5分);L155-L161: 参考答案：该判断是联言判断；当且仅当组成它的各个联言支都是真的，这个联言判断才是真的",题目考查复合判断中的联言判断及其真值条件，属选必三《逻辑与思维》中逻辑形式的纯逻辑学考查，与必修四哲学（唯物论、辩证法、认识论、历史唯物主义、价值观）无对应给分点。,排除，不入必修四哲学framework_entries。
S003_P03,S003,2024,2024朝阳二模,19(3),module-boundary-excluded,/Users/wanglifei/Desktop/2024模拟题/2024朝阳二模/试卷/试卷.pdf；/Users/wanglifei/Desktop/2024模拟题/2024朝阳二模/细则/细则.pdf,L619-L620: 第19(3)题：'中华优秀传统文化的特质赋予中国式现代化以深厚底蕴'。结合材料，综合运用所学，谈谈你对这句话的理解。(7分);L165-L202: 评分细则覆盖三个角度（生生之宇宙观→发展创新；一体之天人观→共同富裕/和平发展；法天地之人生观→人与自然和谐共生/自强不息厚德载物）+怎么做（推进中华优秀传统文化创造性转化和创新性发展）,评分细则全部围绕中华优秀传统文化的特质与中国式现代化的对接展开，落点在必修四文化部分以及中国式现代化（必修一/必修三相关），未给出必修四哲学（唯物论、辩证法、认识论、历史唯物主义、价值观）的独立明确给分点。,标记为module-boundary-cultural，排除哲学框架。
S003_P04,S003,2024,2024朝阳二模,2,needs_followup,/Users/wanglifei/Desktop/2024模拟题/2024朝阳二模/试卷/试卷.pdf,"L321-L328: 第2题：复兴号一车链千企；①人们生产动车组的实践,是一切物质和精神财富形成和发展的源泉（错）；②央企在轨道交通产业链中成为了融通创新支撑者、协同合作组织者（对）；③上下游中小企业的个性寓于轨道交通产业链的共性中,推动产业发展（错）；④大中小企业相互依存、相互促进,有利于提升产业链现代化水平（对）；L268-L269 答案：第2题C",正确答案C(②④)以经济范畴产业链现代化为正项，必修四哲学只在错肢中出现：①把'实践'误写成'一切物质和精神财富的源泉'（实践是认识的来源，劳动才是物质财富的源泉）；③把'共性寓于个性'颠倒为'个性寓于共性'。整题正确选项的必修四哲学触发并不闭环。,仅作必修四哲学错肢库参考（实践与认识源泉错肢、矛盾普遍性与特殊性颠倒错肢），不入choice_rows主表。
S003_P05,S003,2024,2024朝阳二模,16(1),module-boundary-excluded,/Users/wanglifei/Desktop/2024模拟题/2024朝阳二模/试卷/试卷.pdf；/Users/wanglifei/Desktop/2024模拟题/2024朝阳二模/细则/细则.pdf,L497-L498: 第16(1)题：结合材料一，运用《经济与社会》知识，说明加快构建全国一体化算力网的重大意义。(7分);L29-L41: 评分细则按国际/产业/区域/总说四个角度展开，全部落在新质生产力、数字经济、区域协调、要素互联互通、新发展理念、构建新发展格局等经济范畴,题目限定运用《经济与社会》知识作答，评分细则各得分点全部为经济范畴，没有必修四哲学的独立明确给分点。,排除，不入必修四哲学framework_entries。
S004_P01,S004,2024,2024朝阳期中,17,module-boundary-cultural,试卷.pdf;细则.docx;细则补充材料.rtf,"L1024-L1041:Q17共8分=文化6分+哲学2分,文化部分采分点为①坚持习近平文化思想/坚定文化自信、勇担文化使命,②保护传承,③规范传播/弘扬主旋律传递正能量,④创新发展/双创。","Q17文化6分细则①-④均属必修四《哲学与文化》文化部分,与必修四哲学不交叉;哲学2分部分已在F05/F06/F07作为可选alternative入框架。","标记为module-boundary-cultural,文化6分不入哲学框架。"
S004_P02,S004,2024,2024朝阳期中,18,module-boundary-excluded,试卷.pdf;细则.docx;细则补充材料.rtf,"L1049-L1071:Q18(8分)运用《逻辑与思维》评析楚王和晏子的推理,细则采分点为不完全归纳推理(或然推理)、轻率概括/以偏概全、类比推理、增强论证说服力等。","Q18设问明确限定《逻辑与思维》,采分点全部为选必三逻辑专属术语,与必修四哲学无交集。","标记为选必三逻辑模块边界,不入哲学框架。"
S004_P03,S004,2024,2024朝阳期中,19,module-boundary-excluded,试卷.pdf;细则.docx;细则补充材料.rtf,"L1073-L1083:Q19(8分)三段材料分别体现超前思维、逆向思维、联想思维、发散思维与聚合思维,'创新思维1+材料1'共4×2=8分。","Q19设问要求分析'如何体现创新思维',细则全部为选必三《逻辑与思维》创新思维专属知识(超前/逆向/联想/发散/聚合),与必修四哲学无交集。","标记为选必三创新思维模块边界,不入哲学框架。"
S004_P04,S004,2024,2024朝阳期中,20,module-boundary-excluded,试卷.pdf;细则.docx;细则补充材料.rtf,"L1085-L1149:Q20(23分)分(1)概括经济信息(4分);(2)运用《经济与社会》知识说明数字经济(9分);(3)运用《当代国际政治与经济》知识撰写短评(10分),细则全部为数字经济、数据要素、产业数字化、宏观调控、经济全球化、全球治理等。","Q20三个分问设问分别限定经济信息、《经济与社会》、《当代国际政治与经济》,采分内容与必修四哲学无交集。","标记为经济与社会/当代国际政治与经济模块边界,不入哲学框架。"
S004_P05,S004,2024,2024朝阳期中,7;8;9;11,module-boundary-excluded,试卷.pdf,"L1235-L1276:Q7(三段论推理)、Q8(充分必要条件/'除非否则')、Q9(共变法/求异法)、Q11(关系判断/假言推理/三段论/矛盾律),答案分别为B、D、B、C。","四题考查内容均为选必三《逻辑与思维》模块的推理与逻辑规律,与必修四哲学无交集。","标记为选必三逻辑模块边界,不入哲学框架。"
S004_P06,S004,2024,2024朝阳期中,12;13;14,module-boundary-excluded,试卷.pdf,"L1280-L1304:Q12(市场机制与高水平市场经济体制)、Q13(货币政策传导路径)、Q14(国有企业改革),答案分别为C、C、A。","三题考查内容均为必修二《经济与社会》模块(市场机制、宏观经济政策、国有企业改革等),与必修四哲学无交集。","标记为经济与社会模块边界,不入哲学框架。"
S004_P07,S004,2024,2024朝阳期中,2,module-boundary-cultural,试卷.pdf,"L1186-L1194:传统民居承载家文化,正确项D'各地民居中蕴含的家文化深刻影响着中国人的精神世界'(答案D)。","Q2正确项考查文化对人的影响,属必修四《哲学与文化》文化部分,不入哲学框架。","标记为module-boundary-cultural,不入哲学框架。"
S004_P08,S004,2024,2024朝阳期中,15,module-boundary-excluded,试卷.pdf,"L1305-L1314:中非合作论坛峰会,正确项①④涉及发展中国家共同利益、普惠包容的经济全球化(答案B)。","Q15考查内容为必修四《当代国际政治与经济》模块(人类命运共同体、全球治理、经济全球化),与必修四哲学无交集。","标记为当代国际政治与经济模块边界,不入哲学框架。"
S004_P09,S004,2024,2024朝阳期中,6,needs_followup,试卷.pdf,"L1227-L1234:探月工程,选项①创新科技发展规律、③关键核心技术决定航天事业发展性质和方向、②兼顾质量和效益的中国特色发展之路、④弘扬探月精神增强民族自尊心(答案C=②④)。","Q6正确项②属经济发展之路、④属文化与民族精神,均不直接触发必修四哲学;但错肢①'创新科技发展规律'违反必修四唯物论规律客观性(规律不能创新,只能认识和利用),错肢③'关键核心技术决定航天事业发展的性质和方向'夸大具体要素的决定作用,可作为必修四错肢库素材。",将错肢①'创新规律'、错肢③'某要素决定性质和方向'录入CHOICE_WRONG_OPTION_LIBRARY并归属一、唯物论>规律的客观性;正项不入choice_rows触发列表。
