suite_id,year,suite,suite_root,parent_bucket,file_count,has_exam_paper,has_scoring_rubric,has_marking_summary,has_answer_key,has_other_material,read_status_summary,old_v3_exact_label_covered,repair_status
S020,2025,2025海淀一模,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025海淀一模,2025各区一模,3,Y,Y,N,N,N,ok:3,N,included
S021,2025,2025石景山一模,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025石景山一模,2025各区一模,2,Y,Y,N,N,N,ok:2,N,included
S022,2025,2025西城一模,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025西城一模,2025各区一模,2,Y,Y,N,N,N,ok:2,N,included
S023,2025,2025门头沟一模,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025门头沟一模,2025各区一模,2,Y,Y,N,N,N,ok:2,N,included
S024,2025,2025顺义一模,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025顺义一模,2025各区一模,2,Y,Y,N,N,N,ok:2,N,included
S025,2025,2025东城二模,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025东城二模,2025各区二模,2,Y,Y,N,N,N,ok:2,N,included
S026,2025,2025丰台二模,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025丰台二模,2025各区二模,13,Y,Y,N,N,N,ok:9;skip:4,N,included
S027,2025,2025昌平二模,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025昌平二模,2025各区二模,2,Y,Y,N,N,N,ok:2,N,included
S028,2025,2025朝阳二模,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025朝阳二模,2025各区二模,3,Y,Y,N,N,N,ocr-needed:1;ok:2,N,included
S029,2025,2025海淀二模,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025海淀二模,2025各区二模,4,Y,Y,Y,N,Y,ocr-needed:1;ok:3,N,included
S030,2025,2025西城二模,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025西城二模,2025各区二模,2,Y,Y,N,N,N,ok:2,N,included
S031,2025,2025东城期末,/Users/wanglifei/Desktop/2025模拟题/2025各区期末/2025东城期末,2025各区期末,4,Y,Y,N,N,N,ok:3;skip:1,N,included
S032,2025,2025丰台期末,/Users/wanglifei/Desktop/2025模拟题/2025各区期末/2025丰台期末,2025各区期末,2,Y,Y,N,N,N,ok:2,N,included
S033,2025,2025朝阳期末,/Users/wanglifei/Desktop/2025模拟题/2025各区期末/2025朝阳期末,2025各区期末,3,Y,Y,N,N,Y,ocr-needed:1;ok:2,N,included
S034,2025,2025海淀期中,/Users/wanglifei/Desktop/2025模拟题/2025各区期末/2025海淀期中,2025各区期末,2,Y,Y,N,N,N,ok:2,N,module-boundary-excluded
S035,2025,2025海淀期末,/Users/wanglifei/Desktop/2025模拟题/2025各区期末/2025海淀期末,2025各区期末,2,Y,Y,N,N,N,ok:2,N,included
S036,2025,2025西城期末,/Users/wanglifei/Desktop/2025模拟题/2025各区期末/2025西城期末,2025各区期末,2,Y,Y,N,N,N,ok:2,N,included
S037,2026,2026东城一模,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026东城一模,2026各区一模,12,Y,Y,N,N,N,ocr-needed:2;ok:10,N,included
S038,2026,2026丰台一模,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026丰台一模,2026各区一模,2,Y,Y,N,N,N,ocr-needed:1;ok:1,N,needs_followup
S039,2026,2026延庆一模,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026延庆一模,2026各区一模,2,Y,Y,N,N,N,ok:2,N,included
S040,2026,2026房山一模,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026房山一模,2026各区一模,2,Y,Y,N,N,N,ocr-needed:1;ok:1,N,ocr-needed
S041,2026,2026朝阳一模,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026朝阳一模,2026各区一模,2,Y,Y,N,N,N,ok:2,N,included
S042,2026,2026海淀一模,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026海淀一模,2026各区一模,3,Y,Y,N,N,N,ocr-needed:1;ok:1;skip:1,N,ocr-needed
S043,2026,2026石景山一模,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026石景山一模,2026各区一模,2,Y,Y,N,N,N,ok:2,N,included
S044,2026,2026西城一模,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026西城一模,2026各区一模,3,Y,Y,N,N,N,ocr-needed:1;ok:2,N,included
S045,2026,2026门头沟一模,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026门头沟一模,2026各区一模,2,Y,Y,N,N,N,ok:2,N,included
S046,2026,2026顺义一模,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026顺义一模,2026各区一模,2,Y,Y,N,N,N,ok:2,N,included
S047,2026,2026东城期末,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026东城期末,2026各区期末和期中,2,Y,Y,N,N,N,ok:2,N,included
S048,2026,2026丰台期末,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026丰台期末,2026各区期末和期中,2,Y,Y,N,N,N,ocr-needed:1;ok:1,N,ocr-needed
S049,2026,2026朝阳期中,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026朝阳期中,2026各区期末和期中,3,Y,Y,N,N,N,ok:3,N,included
S050,2026,2026朝阳期末,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026朝阳期末,2026各区期末和期中,2,Y,Y,N,N,N,ocr-needed:2,N,ocr-needed
S051,2026,2026海淀期中,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026海淀期中,2026各区期末和期中,2,Y,N,N,N,Y,ocr-needed:1;ok:1,N,module-boundary-excluded
S052,2026,2026海淀期末,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026海淀期末,2026各区期末和期中,2,Y,Y,N,N,N,ok:2,N,needs_followup
S053,2026,2026西城期末,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026西城期末,2026各区期末和期中,4,N,Y,Y,N,N,ocr-needed:1;ok:2;skip:1,N,needs_followup
S054,2026,2026通州期末,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026通州期末,2026各区期末和期中,2,Y,Y,N,N,N,ok:2,N,included
S055,2026,2026石景山期末,/Users/wanglifei/Desktop/2026模拟题/已放弃/2026石景山期末,已放弃,2,N,N,Y,N,N,ok:1;skip:1,N,source-missing
