suite_id,year,suite,suite_status,status_note,framework_entries,choice_rows,followup_rows,contamination_check
S011,2024,石景山一模,included,细则.pptx + 试卷.docx 完整可读；客观题1-15均有官方答案键；主观题Q16/Q20仅有等级水平评标+开放参考答案（reference-only），无逐点必修四哲学给分口径；其余主观题分别属选必二法律/政治与法治/经济与社会/选必一国际/选必三逻辑模块，均纳入边界。,0,2,20,cache-assisted repair from same-suite cached result and same-suite source bundle only
S012,2024,西城一模,included,西城一模Q17为典型必修四多角度综合作答（评分参考明列实践与认识、客观规律与主观能动性、联系与发展、对立统一、否定之否定、生态价值观），按v4要求保留6条framework_entries，trigger_logic统一改写为'材料触发点—原理方法论—答案落点'链条，各条都落到回应'避免人类中心主义'设问的具体方向；选择题Q2/Q3/Q9/Q10/Q12保留5条必修四闭环触发，correct_trigger与wrong_option_notes清理为干净中文；Q5/Q11/Q15因前置材料/漫画/推理图缺失保持followup；Q13/Q16/Q18/Q19属选必三/政治/法律/经济模块边界保持排除；两份~$临时文件不可读保持blocked。,6,5,6,cache-assisted repair from same-suite cached result and same-suite source bundle only
S013,2024,西城二模,included,S013 西城二模 试卷与细则均可读；选择题15题答案键完整(L105-L107)；主观题16/17/18/19均有评分参考及细则；17、18(4)细则明确含必修四哲学得分角度；18(1)归纳推理/(2)法治/(3)经济、16法律生活、19国际关系均属其他模块边界排除。,6,3,8,cache-assisted repair from same-suite cached result and same-suite source bundle only
S014,2024,顺义思政二模,included,"Q16(1)矛盾普特关系、Q20(2)等级水平题（实践和认识/一切从实际出发/价值观三角度）入哲学；Q2D意识能动创造性、Q3C矛盾分析法、Q5B价值客观属性入选择题。Q16(2)逻辑超前思维、Q17财产制度、Q18人大制度、Q19(1)社会主义基本经济制度、Q19(2)政治+国际政治经济（鲁布含历史唯物主义引语已followup登记）、Q1科社、Q4文化、Q6/Q7逻辑、Q8/Q9/Q10/Q11/Q15法治、Q12/Q13经济、Q14国际政治经济均为模块边界,合并排除。",4,3,1,clean: provided suite bundle only
S015,2025,2025东城一模,included,本套Q16(《哲学与文化》)、Q21('是'层级含上层建筑反作用经济基础)、Q18(1)(细则允许矛盾分析法替代得1分)有必修四哲学触发；选择题Q4、Q6正确项触发必修四；Q5漫画无法提取留作followup；其余题为必修一/必修二/必修三/选必一/选必三模块边界。,5,2,2,clean: provided suite bundle only
S016,2025,2025丰台一模,included,全卷必修四哲学触发集中在Q2矛盾对立统一、Q4规律客观性与联系观错肢、Q18(3)联系观/发展观/矛盾观/价值观四角度；其余Q1/3文化、Q5-15政治法治/经济/法律/选必三逻辑/国际政治、Q16文化、Q17政治、Q18(1)选必三科学思维、Q18(2)经济、Q19法治、Q20经济+国际、Q21综合时评均无必修四哲学得分口径，归入followup概况。,4,2,1,clean: provided suite bundle only
S017,2025,2025延庆一模,included,必修四哲学触发集中在Q16（细则点出一切从实际出发、矛盾、价值观角度）和Q21综合题中人民群众部分；Q17政治与法治、Q18逻辑与思维、Q19法律与生活、Q20经济与社会及当代国际政治与经济、Q3/Q5/Q6/Q7/Q9-Q15等选必三或非哲学选择题按模块边界排除；选Q1/Q2/Q4/Q8四题入哲学选择库。,4,4,1,clean: provided suite bundle only
S018,2025,2025房山一模,included,套卷试卷与细则齐全可读；Q16（1）、Q20是清晰的必修四哲学触发题且细则口径明确，Q2/Q3/Q4/Q7的选择题在矛盾观、整体与部分、人为事物联系、实践与认识方向上有可入框架的触发或错肢；其中Q3答案表与详解冲突，已在choice_row中说明以详解为准。,7,4,0,clean: provided suite bundle only
S019,2025,2025朝阳一模,included,Q16《哲学与文化》题入 framework 3 条（实践、社会存在与社会意识、实现人生价值）；Q3、Q4 入选择题 2 条；Q17(1)/Q17(2)/Q18/Q19/Q20 因属选必三/经济/政治法治/法律/当代国际等非必修四模块归 followup，Q21 综合题缺哲学具体口径归 followup；细则.pdf OCR-needed、讲评.pptx 不可读已记录。,3,2,14,clean: provided suite bundle only
S020,2025,2025海淀一模,included,"含必修四哲学主观题Q16(8分,矛盾/认识/价值观三角度)与Q22(10分,联系/系统观念);选择题Q2、Q4、Q5各有部分选项触发必修四;Q1、Q3、Q6-Q15及Q17-Q21为政治与法治、法律与生活、经济、国际经济、文化、选必三逻辑思维等模块,按模块边界排除。",4,3,1,clean: provided suite bundle only
S021,2025,2025石景山一模,included,Q16（联系/发展观）和 Q21（改革/社会发展规律）触发必修四哲学并入框架；选择题仅 Q3、Q4 入框架；其余主观题 Q17(1)/Q17(2)/Q18/Q19/Q20 与多数选择题为政治与法治/经济与社会/逻辑与思维/法律与生活/国际政治经济/文化生活模块边界。,4,2,3,clean: provided suite bundle only
S022,2025,2025西城一模,included,Q16三条认识论触发、Q22三条辩证法/真理观/价值观触发、Q17一条唯物论触发(强边界，仍受选必三科学思维主导)；选择题Q1/Q3/Q4/Q5各取一条；其余题按模块边界排除。,7,4,4,clean: provided suite bundle only
S023,2025,2025门头沟一模,included,本套2025门头沟一模含必修四哲学主观题Q16（哲学与文化综合，细则明确给出联系/发展/对立统一/价值判断与价值选择四条加分）和Q21(2)（综合启示题，细则明确列出意识的能动作用、主观与客观认识与实践具体历史统一、正确价值判断与价值选择三条必修四哲学要点），以及Q6、Q7两道纯必修四哲学选择题；Q5为纯文化、Q14/Q15(正确项)/Q21(1)为选必三、Q17政治与法治、Q18经济与社会、Q19当代国际政治与经济、Q20法律均为模块边界排除。,7,2,1,clean: provided suite bundle only
S024,2025,2025顺义一模,included,Q16细则明确给出联系、发展、矛盾（具体问题具体分析）三条必修四哲学触发路径，可入框架。Q3、Q4具备完整题面与可靠答案键，分别从联系/矛盾观、价值判断与价值选择/实践认识/物质决定意识角度触发必修四哲学。Q17（1）属选必三《逻辑与思维》、Q17（2）《政治与法治》、Q18《经济与社会》、Q19《法律与生活》、Q20《当代国际政治与经济》均按模块边界排除。Q21'综合运用所学'细则缺失，参考答案明确标注'原卷无答案，仅供参考'，作followup处理，不入框架。,3,2,1,clean: provided suite bundle only
S025,2025,2025东城二模,included,"本套Q16是必修四哲学专题,细则给出8个明确哲学评分点入框架;Q21综合题细则明确要求跨模块综合哲学,2个哲学评分点入框架;Q3、Q4选择题含必修四哲学触发;其他主客观题为模块边界。",10,2,2,clean: provided suite bundle only
S026,2025,2025丰台二模,included,16(1)和21分别为必修四哲学+文化复合题与综合论述题，触发联系/辩证否定/实践/历史唯物主义/唯物论；Q4选择题以联系观为正确项触发；其余各题分别属政治与法治、经济与社会、法律与生活、当代国际政治与经济、文化模块及选必三逻辑/辩证/创新思维，整体作边界排除。,8,1,1,clean: provided suite bundle only
S027,2025,2025昌平二模,included,Q16中国书法、Q22中国风景密码两道主观题为必修四接入点；Q2/Q3/Q4/Q6四道选择题含必修四真理观、矛盾观、价值观、联系等触发或错肢；Q17/Q18/Q19/Q20/Q21分属经济与社会/政治与法治/选必三逻辑/法律与生活模块，整题不入必修四，已合并followup备查。,6,4,1,clean: provided suite bundle only
S028,2025,2025朝阳二模,included,主观题16（从游与自学）和22（顶层设计与实践探索）细则明确给出必修四哲学多重采意点；选择题2、3含必修四矛盾、联系触发；其余题目按模块边界排除。,10,2,1,clean: provided suite bundle only
S029,2025,2025海淀二模,included,必修4主观题Q16在评分细则中给出三处明确哲学触发（联系/认识能动反映/发展），三条入框架；同题最末1分'文化的功能/创造性转化创新性发展'属必修四文化模块作边界排除。试卷PDF为OCR-needed，致Q9-11必修4客观题与Q22完整设问/材料无法核验，列入followup。Q17/18/19/20/21分别为必修3/选必2/必修2/选必3辩证思维/选必1，均为非必修四模块，合并写入边界followup。,3,0,3,clean: provided suite bundle only
S030,2025,2025西城二模,included,套卷处理完成：5条framework_entries(Q16(1)三角度+Q16(3)联系+Q20人民群众)与3条choice_rows(Q4认识论/Q5价值观/Q2辩证法整体观)；其余Q1文化、Q3经济政策、Q6/7选必三逻辑、Q8/9政治与法治、Q10/11法律与生活、Q12/13经济、Q13/14/15国际政治、Q16(2)选必三逻辑、Q17/19经济、Q17(2)政治、Q18法律、Q19(2)国际政治均为模块边界已排除。,5,3,0,clean: provided suite bundle only
S031,2025,2025东城期末,included,本套卷必修四哲学命中：主观题16（主观能动性，2分）、21（价值判断与价值选择，与群众观/价值观并列入'人民性'同档计分约2分）；选择题4（矛盾对立统一）、5（联系/辩证否定/矛盾分析法 必修四错肢与混合）。其余主观题17/18(1)/18(2)/19/20及单选1-3、6-15均属法治、经济、当代国际政经、文化、选必三逻辑与思维等模块边界，按module-boundary-excluded不入哲学框架。,2,2,0,clean: provided suite bundle only
S032,2025,2025丰台期末,included,本套含必修四哲学综合题Q16（实践、一切从实际出发、发展、联系、矛盾五维支撑）与Q17中'人民群众是历史的创造者'1分点；选择题Q4（实现人生价值）与Q7（一切从实际出发）入框架；其余题为模块边界（文化、经济、政法、法律、国政经、选必三逻辑）。,6,2,1,clean: provided suite bundle only
S033,2025,2025朝阳期末,included,Q16《哲学与文化》文化对话题与Q22综合运用题均给出完整必修四哲学评分细则，共提取7+3条framework_entries；选择题Q2(D)、Q9(A)触发必修四辩证法。其余题分属选必三逻辑/政治与法治/经济与社会/法律/国政等模块边界。细则.pdf标记ocr-needed，但pptx文件已含完整哲学评分细则可作rubric。,10,2,3,clean: provided suite bundle only
S034,2025,2025海淀期中,module-boundary-excluded,全卷15道选择题与6道主观题均限定为《经济与社会》《政治与法治》《当代国际政治与经济》《法律与生活》模块，设问与细则均未把必修四哲学原理设为给分点，无可入框架的题目。,0,0,1,clean: provided suite bundle only
S035,2025,2025海淀期末,included,本套卷Q16、Q17(2)有明确必修四哲学评分细则，Q22短文必修四以可选知识列出但与材料对应充分；选择题Q4-7为必修四哲学正项；其余题目为文化、法律或选必三逻辑、科学思维模块边界，已在followup概括处理。,10,4,1,clean: provided suite bundle only
S036,2025,2025西城期末,included,本套必修四哲学触发集中在Q18（技术恐惧四角度：发展、认识局限性、矛盾、价值选择）和Q21（改革本质）；选择题Q1、Q3、Q4、Q7入框架；其余题分属经济、政治、法律、文化、逻辑、国际等模块边界，不入必修四哲学。,5,4,1,clean: provided suite bundle only
S037,2026,2026东城一模,included,本套有可读细则pptx集与可读试卷.pdf+答案键，7条framework_entries（Q16矛盾主次方面/人民群众/价值判断与选择/社会意识反作用，Q19(1)实践是认识的基础，Q20实践与认识、发展观）+3条choice_rows（Q1 B/Q2 A/Q5 B）入框架；其余多为必修三/选必一二三、经济、文化模块边界，已在followup_rows概括。两份扫描pdf保留ocr-needed标记。,7,3,3,clean: provided suite bundle only
S038,2026,2026丰台一模,needs_followup,细则.pptx 显示哲学与文化大题已给出哲学评分点（矛盾观、联系观、价值观、规律与主观能动性、辩证否定），但试卷 PDF 为 ocr-needed，无完整设问与材料可抽，question_excerpt 不能伪造，故本套无 framework_entries 闭环条目；其它大题分别为政治与法治、经济与社会、选必三逻辑与思维、当代国际政治与经济、法律与生活、综合/中国特色社会主义，按模块边界处理。,0,0,4,clean: provided suite bundle only
S039,2026,2026延庆一模,included,本套必修四哲学触发集中于Q16《哲学与文化》设问与Q20综合题，选择题Q2、Q3、Q4含明确哲学触发；其余Q1/Q5-Q15/Q17/Q18/Q19属选必三、经济、政治、法律、国际、文化模块边界。,9,3,2,clean: provided suite bundle only
S040,2026,2026房山一模,ocr-needed,试卷PDF不可读，仅细则可见；缺完整设问，按硬规则不入framework_entries，仅留followup待OCR后回补。,0,0,6,clean: provided suite bundle only
S041,2026,2026朝阳一模,included,主观16为必修四哲学主干题，从细则抽取4条触发链（规律与主观能动性、联系/系统优化、实践与认识、矛盾普遍性与特殊性）；主观21综合题命中历史唯物主义点抽1条；选择1/2/3命中必修四原理抽3条；其余主观（17推理联想/政治法治、18法律与生活、19经济与社会、20当代国际）和选择（4-15）属选必三逻辑思维或选必二经济政治法律及当代国际模块，不入必修四哲学。,5,3,1,clean: provided suite bundle only
S042,2026,2026海淀一模,ocr-needed,试卷PDF未抽取文本，全部题面、设问、材料、选择题题干均不可见；细则仅给可作答角度。无法满足'从题目回源、设问必须完整、材料触发可解释'的硬规则，本套不入必修四哲学框架，仅记录待OCR与模块边界。,0,0,5,clean: provided suite bundle only
S043,2026,2026石景山一模,included,Q17(1)《哲学与文化》设问与Q21'综合运用所学'设问，细则均明确含必修四原理（对立统一/具体问题具体分析、联系/系统优化、发展、人民至上的价值观），可入框架；Q1/Q2/Q3选择题含明确必修四正项触发与必修四错肢；Q4纯文化、Q5-7选必三逻辑、Q8-9/Q19政治与法治、Q10-11/Q15-16经济与社会、Q12-14/Q18法律与生活、Q20当代国际政治与经济、Q17(2)选必三创新思维均按模块边界排除。,7,3,1,clean: provided suite bundle only
S044,2026,2026西城一模,included,Q16、Q21 主观题细则明确含必修四哲学得分角度，已抽取9条入框架；Q17（法律）、Q18（经济与社会）、Q19（政治与法治+形式逻辑）、Q20（当代国际政治与经济）评分细则均无必修四哲学原理表述，按模块边界排除；客观题第一部分1-15题在该 bundle 中未见答案键，统一记入 followup 待补证。,9,0,1,clean: provided suite bundle only
S045,2026,2026门头沟一模,included,"2026门头沟一模含1道必修四哲学主观题(Q16,8分)、1道含必修四唯物论触发的综合主观题(Q21材料一)以及3道含必修四选项的选择题(Q4 Q5 Q7)；其余主观题Q17(政治与法治)、Q18(1)(法律与生活)、Q18(2)(选必三逻辑与思维)、Q19(经济与社会)、Q20(当代国际政治与经济)按必修四边界排除。",5,3,1,clean: provided suite bundle only
S046,2026,2026顺义一模,included,本套必修四哲学闭环触发集中在21题（综合运用所学），写出4条framework_entries（哲学是什么+怎么做的客观性/辩证性/价值性）；16题题面明确为《哲学与文化》但所提供细则文本仅有'16题'三字占位无具体阅卷细则；第一部分1-15选择题bundle内未见可靠答案键；17-20题题面与细则分别限定在《政治与法治》《法律与生活》《逻辑与思维》《经济与社会》《当代国际政治与经济》等非必修四模块，按module-boundary处理。,4,0,3,clean: provided suite bundle only
S047,2026,2026东城期末,included,"本套必修4哲学集中在Q16(矛盾对立统一+价值观导向+整体与部分)与Q21(系统观念+矛盾观+人民立场);选择题Q3矛盾推动城市治理、Q4自在联系+认识对实践反作用为正项哲学触发;Q2/Q5/Q8正项不属哲学但含必修4哲学错肢边界;Q1属必修1,Q6/Q7属选必三逻辑,Q9政治,Q10/Q11法律,Q12/Q13经济,Q14/Q15当代国际,主观题Q17/Q18/Q19/Q20均按模块边界排除。",6,5,1,clean: provided suite bundle only
S048,2026,2026丰台期末,ocr-needed,试卷.pdf需OCR不可读；细则.pdf可读，含留白主观题四条必修四哲学评分要点（矛盾对立统一/量变质变与适度/整体与部分联系/尊重客观规律与发挥主观能动性），但缺试卷设问与材料原文，无法满足question_excerpt+rubric_excerpt双引硬规则，整套以ocr-needed记录，待OCR后再入框架。,0,0,1,clean: provided suite bundle only
S049,2026,2026朝阳期中,included,Q18（纯哲学题）与Q19（《哲学与文化》卷首语）生成8条framework_entries；Q4①、Q7③、Q14①各形成1条choice_rows；其余主观题（Q16-17、Q20、Q21）与大多数选择题属经济/国际/选必三/文化模块边界，已在followup_rows概括。,8,3,2,clean: provided suite bundle only
S050,2026,2026朝阳期末,ocr-needed,本套卷的细则PDF与试卷PDF均为不可读扫描件，bundle中无任何可抽取题面、答案键或细则文本，无法回源任何选择题或主观题。,0,0,1,clean: provided suite bundle only
S051,2026,2026海淀期中,module-boundary-excluded,本套卷选择题和主观题全部明确限定使用《经济与社会》《政治与法治》《当代国际政治与经济》知识，参考答案口径均未触发必修四哲学原理；讲评PDF不可读需OCR后再核。,0,0,3,clean: provided suite bundle only
S052,2026,2026海淀期末,needs_followup,本套 bundle 只抽到参考答案与评分细则，未抽到选择题题面与选项，也未抽到主观题设问与原始材料；主观题不能满足完整设问回源要求，整套未生成 framework_entries 与 choice_rows；Q18/Q19/Q20 属必修三《法律与生活》《政治与法治》《逻辑与思维》内容，整体作模块边界排除。,0,0,5,clean: provided suite bundle only
S053,2026,2026西城期末,needs_followup,"本套 bundle 仅含评标(F03 西城高三期末评标.pptx)、参考答案(F04 高三思想政治参考答案.pdf)、细则.pdf(F02 OCR-needed) 与 .DS_Store；未提供本套试卷PDF。评标已给出16(2)、21的答题角度（含必修四哲学），但缺完整设问与材料原文；参考答案仅 reference-only，且与评标角度并不完全对应（如评标列「矛盾」「真理」，参考答案改写为「物质决定意识」「实践基础」，存在错位）。按""完整设问+材料触发句""硬要求，本套尚不能写出闭环 framework_entries 与 choice_rows，留待补卷面与 OCR 后回收。",0,0,5,clean: provided suite bundle only
S054,2026,2026通州期末,included,Q16《哲学与文化》主观题入5条必修四哲学触发；Q21综合题入4条必修四给分点（联系观/实践观/价值判断价值选择/矛盾观）；Q5(部分)、Q7、Q8入选择题；Q1-Q4、Q6、Q9-Q15、Q17-Q20分属政治与法治、经济与社会、法律与生活、当代国际政治与经济、选必三逻辑与思维、文化等模块边界已剔除。,9,3,1,clean: provided suite bundle only
S055,2026,2026石景山期末,source-missing,本套卷 bundle 仅有答案及评分参考，未提供试卷题面文件，所有选择题缺题干和选项，所有主观题缺设问材料，无法满足 question_excerpt + rubric_excerpt 双证闭环，整套不入框架。,0,0,4,clean: provided suite bundle only
