choice_id,suite_id,year,suite,question_no,correct_option,answer_key_source,question_excerpt,correct_trigger,wrong_option_notes,support_status,boundary_note
S005_C02,S005,2024,2024海淀一模,3,C,L17（细则文件）与L111（参考答案文件）均为：3．C（对应②④）,L176-L184: 3．'沥青滴漏'是世界上持续时间最久的物理实验。最初于1927年进行的这项实验，旨在证明看上去是固体的沥青，实际上是粘性极高的液体；虽然在室温环境下流动速度极为缓慢，但最终会形成一滴滴沥青。1944年7月11日开始进行的类似实验，直到2013年7月11日，实验者才第一次拍到沥青液滴的滴落。这一实验说明 ①世界的真正统一性在于它的物质性 ②客观事物本质的暴露和展现有一个过程 ③实践是以人的意识为对象的能动性活动 ④只有通过实践才能验证认识的客观真理性 A．①② B．①③ C．②④ D．③④,正确肢②触发认识发展原理：沥青液滴要经过几十年实验才被首次拍到滴落，正说明事物本质的暴露和展现是一个过程，认识必须随实践不断深化才能把握客观事物本质；正确肢④触发'实践是检验真理的唯一标准'：'沥青是高粘性液体'这一判断只有通过历时数十年的物理实验才被验证，体现只有实践才能检验认识的客观真理性。,①'世界统一性在于物质性'命题本身正确，但与本题'实验过程逐步暴露事物本质'的具体情境不直接对应，是层次过高的'对题但不切题'干扰肢；③'实践是以人的意识为对象的能动性活动'是混淆实践对象的典型错肢——实践是以客观世界（自然界与人类社会）为对象的客观物质性活动，不是以意识为对象，可作为'实践对象偷换'错肢模板。,closed-question-and-answer-key,②④落在认识论；③为典型错肢可入错肢库（混淆实践对象——以意识为对象 vs 以客观世界为对象）。
S005_C03,S005,2024,2024海淀一模,5,C,L17（细则文件）与L111（参考答案文件）均为：5．C（对应②④）,L222-L230: 5．围棋外观简单、质朴，棋子黑白二色，棋盘经纬交织。棋子落到棋盘上，两色抗衡，相持转换，此消彼长，一着通盘皆活，一着满盘皆输，棋局瞬息万变。物情幻化，世事如棋。这给我们的启示是 ①搞好局部，对决定胜负的矛盾主要方面作准确判断 ②在矛盾双方的对立中把握统一，在统一中把握对立 ③看到事物发展的曲折性，就能解决事物发展中的困难和问题 ④把握矛盾问题的精髓，坚持矛盾普遍性与特殊性的对立统一 A．①② B．①③ C．②④ D．③④,正确肢②触发矛盾对立统一原理：黑白棋子相互抗衡、相持转换、此消彼长，体现矛盾双方既对立又统一，要求在对立中把握统一、在统一中把握对立；正确肢④触发矛盾普遍性与特殊性辩证关系（矛盾问题的精髓）：'一着通盘皆活、一着满盘皆输'反映共性的输赢规律寓于每一具体棋局的特殊变化中，体现矛盾普遍性与特殊性的对立统一。,①混淆主要矛盾与矛盾主要方面——'决定胜负'对应主要矛盾，而'决定事物性质'才对应矛盾主要方面，两者是高考高频混淆点；③'看到事物发展的曲折性，就能解决事物发展中的困难和问题'用'就能'把'看到曲折性'当作'解决问题'的充分条件，违背事物发展前进性与曲折性的辩证关系，是典型绝对化错肢。,closed-question-and-answer-key,②④为必修四矛盾观点；①③可入错肢库（主矛与矛主面混淆、绝对化命题）。
S008_C01,S008,2024,丰台一模,8,D,L427-L428: 一、选择题答案 1-10 题为 B D D C D B C D C A，第8题答案为 D,L223-L237: 30多年前《福州市20年经济社会发展战略设想》系统谋划了福州3年、8年、20年经济社会发展的目标、步骤、布局、重点等，明确了'建设现代化国际城市'的宏伟目标，为福州擘画了美好蓝图。该战略 ①坚持准确识变、主动求变，以量的渐进性突破质的连续性 ②放眼长远规划，以福州美好蓝图作为实现巨变的根本动力 ③立足福州实际，深刻认识并准确把握了福州的特点和优势 ④坚持统筹全局、系统谋划，为福州高质量发展做好顶层设计 A.①② B.①④ C.②③ D.③④,③'立足福州实际，深刻认识并准确把握了福州的特点和优势'触发唯物论的'一切从实际出发、实事求是'，强调主观要符合客观、把握具体地方实际；④'坚持统筹全局、系统谋划，为福州高质量发展做好顶层设计'触发辩证法关于事物普遍联系的系统观念，强调用整体的、系统优化的眼光认识和谋划事物。,①把'量的渐进性突破质的连续性'颠倒了量变与质变的关系——量变到一定程度才会引起质变，'渐进性'本应描述量变、'稳定性'才是事物质的特征，'以量的渐进性突破质的连续性'这种说法与唯物辩证法量变质变原理不符；②把'美好蓝图'当作实现巨变的根本动力是错的——蓝图只是发展目标和方向，推动社会发展的根本动力是社会基本矛盾运动和人民群众的实践，蓝图只起规划引领作用，不能上升为根本动力。,closed-question-and-answer-key,正确项③属唯物论一切从实际出发，④属辩证法系统观念，均在必修四范围内；两个错肢分别触及辩证法量变质变的颠倒与社会发展根本动力的误识，作为错肢库的合法素材。
S008_C02,S008,2024,丰台一模,9,C,L427-L428: 一、选择题答案 1-10 题为 B D D C D B C D C A，第9题答案为 C,L238-L242: 读右图，下列说法与漫画寓意最相符的是 A.只要发挥主观能动性，就能获得真理性认识 B.要自觉站在最广大人民立场上进行价值判断和价值选择 C.获得真理性认识受到主客观条件的制约 D.要从实践出发去获得真理性认识,C项'获得真理性认识受到主客观条件的制约'触发认识论真理观的核心要点：真理是具体的、有条件的，人对客观世界的认识既受到客观条件（认识对象的复杂性、实践发展水平、历史条件等）的限制，也受到主观条件（立场观点、知识结构、思维方式）的影响，这也是认识具有反复性、无限性、上升性的根源。,A把'发挥主观能动性'与'获得真理性认识'之间设为'只要…就能…'的充分条件，忽视了真理性认识需要主观能动性与尊重客观规律相结合，属于绝对化错误；B把'最广大人民立场上进行价值判断和价值选择'放到漫画寓意里，但这是历史唯物主义价值取向问题，与漫画指向的认识能否获得真理不在同一论题上；D'要从实践出发去获得真理性认识'本身表述合理，但漫画寓意指向的是认识结果受到主客观条件制约，与'从实践出发'的来源问题落点不同，属偏题选项。,closed-question-and-answer-key,漫画原图未在 bundle 中抽取，仅以题面文字、四个选项和答案键 C 作判断；正确项 C 的真理观触发可由文字闭环确认，错肢 A/B/D 的细致比对建议补漫画原图后再核。
S010_C01,S010,2024,海淀二模,4,B,L17/L102: 海淀区2023-2024学年第二学期期末练习高三思想政治参考答案2024.5 第一部分'4．B',L165-L169: 4．'手机响不停，时刻盯着群''手机里安装了二三十个工作群，各种打卡、报材料'…… '指尖上的形式主义'在一定程度上困扰着不少基层干部。近日，中央有关部门要求加强对政务移动互联网应用程序、政务公众账号和工作群组的标准化规范化管理，为基层治理减负增效。这说明 A．把握量的规定性，更能体现事物发展的辩证法 B．一切从实际出发、实事求是是做好工作的前提 C．真理性认识更具有能动创造性和直接现实性 D．只有发挥主观能动性才能把握事物的本质和规律,基层干部面临'手机响不停''二三十个工作群、各种打卡、报材料'等'指尖上的形式主义'是基层治理工作中的客观实际困扰；中央有关部门正是针对这一具体实际，对症出台'加强政务移动互联网应用、政务公众账号、工作群组标准化规范化管理'的措施——这说明做好基层治理工作必须从基层实际出发、实事求是。答案落点：B项'一切从实际出发、实事求是是做好工作的前提'准确概括必修四唯物论核心方法论，与材料'针对实际困扰对症出台规范化管理要求'的工作思路完全吻合。,A项错在两点：一是'量的规定性'属辩证法发展观下量变质变范畴，材料并未涉及数量积累或质量变化；二是'更能'是无依据的比较表述，量的规定性与辩证法其他范畴并非比较关系。C项错在把'直接现实性'这一实践的根本特征错配给认识/真理，混淆了实践与认识的属性，真理是主观与客观的具体的历史的统一，本身并不具有直接现实性。D项错在'只有……才'的绝对化表述：把握事物本质和规律既需要发挥主观能动性，也必须以尊重客观规律为前提，二者缺一不可，不能用'只有发挥主观能动性'取代客观规律前提。,closed-question-and-answer-key,本套15道选择题中仅第4题明确触发必修四唯物论。其余分布：第1题属必修一科学社会主义；第2-3题属必修四文化部分(按规则不入哲学触发框架)；第5-6题属选必三逻辑(求异法、外延关系)；第7-11题属政治与法治/法律与生活；第12-13题属经济与社会；第14-15题属当代国际政治与经济，均不入必修四哲学。
S011_C01,S011,2024,石景山一模,2,B,细则.pptx Slide 3 (L22)；试卷.docx 参考答案 L1104。,L990-L994：我国自主研制的北斗卫星导航系统已在农业领域得到广泛应用：将卫星导航定位与电子控制等技术相结合，可以实现农机自动驾驶，精准收割；可以昼夜连续工作；可以整理土地和变量施肥，改善农作物生长环境……和以往的农业生产方式相比，北斗系统在农业生产中的应用表明 ①农业生产实践具有历史性，其形式和水平不断发展 ②农业生产工具的更新，促进了农村生产关系的变革 ③科技创新推动农业生产力的发展和农业现代化的进程 ④人们能够利用科技改变农作物生长的客观环境和规律 A.①② B.①③ C.②④ D.③④,"材料以""和以往的农业生产方式相比""作直接对比，呈现出农业生产实践在形式与水平上随技术进步不断演变，这正是实践具有社会历史性的体现，所以支持①；""卫星导航定位与电子控制相结合""""农机自动驾驶""""昼夜连续工作""""整理土地和变量施肥""等都是科技手段对农业生产能力的实质性提升，反映科技创新推动农业生产力发展和农业现代化进程，所以支持③。","②错肢：材料只展现生产工具与技术的更新，未涉及农村所有制、经营方式、分配制度等生产关系层面的内容，由生产工具更新直接推出生产关系变革属过度跳跃；④错肢：""改变农作物生长的客观环境和规律""违背规律的客观性——规律不以人的意志为转移，不能被创造、改变或消灭，人只能认识并利用规律。",closed-question-and-answer-key,本题正向触发必修四认识论中实践的社会历史性；③兼述科技推动生产力发展，与历史唯物主义生产力维度相通，仅作为正向选项呼应，不另挂经济与社会模块。
S011_C02,S011,2024,石景山一模,5,C,细则.pptx Slide 7 (L105)；试卷.docx 参考答案 L1104。,L1007-L1012：面对2023年极端天气频发，农业农村部印发《关于紧急行动起来切实做好当前农机防灾救灾工作的通知》，要求各地农业农村部门充分预估各类灾害将给农业生产带来的威胁，细化具有针对性、可操作性的农机防灾减灾预案措施。这体现出 ①意识活动的自觉选择性受自然灾害等客观条件制约 ②人能够把握深藏于自然天气现象背后的本质和规律 ③把人民群众利益作为农机防灾救灾工作的唯一标准 ④从事物固有的联系中把握事物，构建方案指导实践 A.①② B.①③ C.②④ D.③④,"材料中""充分预估各类灾害将给农业生产带来的威胁""，说明人不是停在对极端天气的现象感知，而是要把握现象背后""什么灾害对应什么威胁""的内在规律，所以触发认识论中人能够把握深藏于现象背后的本质和规律，支持②；""细化具有针对性、可操作性的农机防灾减灾预案措施""，是从极端天气与农业生产之间客观存在的内在联系入手，构建科学方案指导防灾减灾实践，所以触发联系观与认识对实践的能动反作用相结合，支持④。","①错肢：""意识活动的自觉选择性受自然灾害等客观条件制约""本身是必修四唯物论的正确表述，但材料强调的是主动预估、主动作为，并未呈现意识被灾害条件压制的情境，材料指向不匹配；③错肢：""把人民群众利益作为...唯一标准""违背价值判断与价值选择标准的辩证统一——既要遵循社会发展的客观规律，又要自觉站在最广大人民立场上，""唯一""过度绝对化。",closed-question-and-answer-key,本题正向同时触发必修四认识论（意识能动反映本质规律）与辩证法联系观（从固有联系构建方案），已分项注明；不涉及选必三、经济与社会、法律模块。
S012_C01,S012,2024,西城一模,2,A,L22: 1．C  2．A  3．D  4．B  5．B（细则.docx 答案及评分参考；与L127 答案.docx 一致）,L197-L202: 2．有这样一种科技小院，在其间参与生产的不仅有农民和农业专家，还有农业专业的研究生。这些学生在完成知识、理论学习的基础上，研究解决农业农村的实际问题。科技小院像是一个连结点，一头连着师生，一头连着田间地头。对此分析正确的是 ①应提倡科研院所、高校服务农业农村，以产业发展带动农民致富 ②走进乡土中国深处，才能深刻理解怎样实事求是、联系群众 ③科研成果从田间孕育，完成后又回到田间，农业发展的关键在于劳动要素投入 ④构建产学研用深度融合的创新育人体系，要把掌握农业知识作为实践的目的 A．①② B．①③ C．②④ D．③④,答案A选①②。②'走进乡土中国深处，才能深刻理解怎样实事求是、联系群众'对应必修四唯物论'一切从实际出发、实事求是'——研究生扎根田间地头，从农业农村的真实问题出发研究、解决问题，正是从客观存在的农村实际出发、用实事求是的方法把握具体情况；①属经济/三农政策角度的判断（科研院所服务农业农村、产业带动农民致富），是题目认可的另一组合点。,③错肢——把'农业发展的关键'归结为'劳动要素投入'，与材料'科研成果从田间孕育'指向科技/创新驱动相矛盾，错误地把次要方面当作主要矛盾的方面；④错肢——把'掌握农业知识'当作实践的目的，颠倒了实践与认识的关系，实践的目的是改造世界、解决实际问题，知识只是手段而不是目的。,closed-question-and-answer-key,②同时含'联系群众'政治术语，本条仅取必修四'实事求是'内涵；①属经济/三农政策角度，记为模块边界，不强挂哲学。
S012_C02,S012,2024,西城一模,3,D,L22: 3．D（细则.docx 答案及评分参考；与L127 答案.docx 一致）,L203-L205: 3．东晋谢安镇守广陵期间，发现甘棠西北为湖，地势西高东低，旱涝频繁交替，庄稼连年歉收，百姓苦不堪言，便组织人手在湖上筑起拦水大堤灌溉农田，'随时蓄泄，岁用丰稔'。一段时间后，远近渔农聚集甘棠，生产作业，遂成繁荣集镇。《晋书》评价谢安此功曰：'在官无当时誉，去后为人所思。'这启示党员干部，应具备的价值追求和奋斗姿态是 A．穷则独善其身，达则兼济天下 B．分毫不取民膏脂，心中自存清廉尺 C．学以益才，砺以致刃 D．功成不必在我，功成必定有我,答案D。'功成不必在我，功成必定有我'对应实现人生价值的正确路径——在劳动和奉献中创造价值，把个人价值融入为人民服务、为长远事业奉献的过程之中；这正是党员干部应有的价值追求和奋斗姿态，与谢安'在官无当时誉，去后为人所思'所体现的奉献情怀完全契合。,A是儒家修身格言，强调个人在穷达境遇下的处世态度，未触及党员干部为人民事业奉献的价值追求；B只强调廉洁底线，未到'价值追求和奋斗姿态'层面应有的奉献含义；C讲学习磨砺自身才能，与'去后为人所思'所体现的为人民功业默默奉献的姿态不对应。,closed-question-and-answer-key,纯必修四价值观/人生观闭环触发，无模块边界争议。
S012_C03,S012,2024,西城一模,9,D,L23: 9．D（细则.docx 答案及评分参考；与L128 答案.docx 一致）,L235-L239: 9．青藏高原具有高寒、干旱等极端环境，但这里却有比我国其他地区更多的千年古树。有人推测，一个重要原因是青藏高原的树木经过逆境条件下的长期适应，采用慢速生长策略，减少资源消耗，生命维持了韧性。以下分析正确的是 A．基于实践的理性认识，都是对生命现象的真理性认识 B．树木并非被动响应环境变化，而是具备一定的主观能动性 C．逆境和顺境作为矛盾双方相互转化，导致生态系统不再脆弱 D．无处不在的矛盾，能引发对生命意义、生命潜能的反思,答案D。古树在高寒、干旱与生存之间、慢速生长与持续生命之间、逆境与韧性之间，处处都呈现着矛盾，正体现矛盾的普遍性——矛盾无处不在、无时不有；这种普遍存在的矛盾恰恰构成人对生命意义、生命潜能进行哲学反思的对象。,A错肢——基于实践得到的理性认识只是更接近真理，并不必然就是真理性认识，混淆了理性认识与真理；B错肢——主观能动性是人特有的能力，植物适应环境只是规律性反应，把主观能动性赋予树木混淆了能动性的归属；C错肢——矛盾双方的转化需要具体条件，且'导致生态系统不再脆弱'是绝对化判断，违背了矛盾转化的条件性。,closed-question-and-answer-key,纯必修四哲学闭环；A/B/C三项分别对应真理观、主观能动性归属、矛盾转化条件三类典型必修四错肢，可入错肢库。
S012_C04,S012,2024,西城一模,10,A,L23: 10．A（细则.docx 答案及评分参考；与L128 答案.docx 一致）,L240-L245: 10．铜镜除可以观容鉴貌外，也带有社会文化意蕴。古人留下的'夫以铜为镜，可以正衣冠；以古为镜，可以知兴替；以人为镜，可以明得失'的名句，增添了'镜鉴''洞察'之意。《东京梦华录》则记载了北宋有拜铜镜的婚姻习俗，取其外形特征代表圆满、团圆和吉祥之意。以下分析正确的是 ①铜镜的价值是人的需要在物身上的体现 ②铜镜与人的需要结成了自在事物的联系 ③铜镜的文化价值是在人与人的关系中创造和赋予的 ④物的属性本身就是价值，铜镜被赋予了多重的、深刻的内涵 A．①③ B．①④ C．②③ D．②④,答案A选①③。①对应价值的含义——价值是客体对主体需要的满足，铜镜的'鉴貌''镜鉴''圆满吉祥'等价值都是人的实用、伦理、礼俗等需要在铜镜物理属性上的体现；③对应文化价值的形成——'镜鉴''洞察''婚俗吉祥'等含义是在人与人的社会交往与文化传承中被创造和赋予的，不是铜镜物理属性自带。,②错肢——人的需要参与所形成的联系属于人为事物的联系，把它说成自在事物的联系混淆了自在事物联系与人为事物联系的区别；④错肢——'物的属性本身就是价值'否认了价值是主客体关系范畴，价值是物对人的需要的满足，不是物孤立的属性。,closed-question-and-answer-key,框架未单设'价值的含义'节点，归入'价值观的导向作用'统一处理；不与'实现人生价值'相混淆。
S012_C05,S012,2024,西城一模,12,C,L24: 12．C（细则.docx 答案及评分参考；与L129 答案.docx 一致）,L250-L254: 12．黑格尔说，人们总以为肯定和否定具有绝对的区别，其实两者是相同的。我们甚至可以称肯定为否定，也可以称否定为肯定。譬如说一条往东的路同时也是一条往西的路。对此理解正确的是 A．肯定和否定没有界限，肯定即否定，否定即肯定 B．有些事物包含着肯定因素，另有一些事物则包含着否定因素 C．肯定与否定互为条件，且只存在于它们的联系中 D．处理复杂问题，既不能持肯定态度，也不能持否定态度,答案C。'一条往东的路同时也是一条往西的路'——往东这一肯定方向以往西这一否定方向为前提、互为条件，二者只在彼此的联系中才能成立，正是矛盾对立统一原理中'相互依存、相互渗透、统一于一个统一体之中'的内容。,A错肢——把'相同'歪曲为'没有界限/即'，否认了肯定与否定之间的对立性、差异性，是抹杀矛盾的形而上学；B错肢——肯定与否定共存于同一事物之中，不是分别属于不同事物，违背了矛盾内在于事物本身的普遍性；D错肢——把对立统一歪曲为骑墙、不可知主义，否认了人对矛盾两个方面进行具体分析和处理的可能。,closed-question-and-answer-key,黑格尔表述虽涉辩证否定，本题正确项落脚于'肯定与否定互为条件'，更贴合'矛盾'节点；与'发展'节点中的辩证否定不重复。
S013_C01,S013,2024,西城二模,1,B,L105 细则.docx 第一部分答案：1．B,L242-L247：1．人民至上的发展理念是对'现实的人'这一马克思主义唯物史观逻辑起点的继承和发展。以下认识正确的是 ①人民性是马克思主义的本质属性 ②与时俱进是哲学独特的理论品质 ③发展的观点是马克思主义哲学的核心观点 ④坚持人民至上体现了马克思主义历史观和价值观的统一 A．①② B．①④ C．②③ D．③④,正确项为①④。①'人民性是马克思主义的本质属性'是马克思主义的根本立场，从必修四角度看与历史唯物主义的群众观点和价值观的人民立场内在一致；④'坚持人民至上体现了马克思主义历史观和价值观的统一'直接对应必修四'人民群众是社会历史的主体'（历史唯物主义）与'自觉站在最广大人民立场上做出价值判断与价值选择'（价值观）两条原理的结合，是本题最典型的必修四触发点。,②错肢：'与时俱进'是马克思主义中国化的理论品质或马克思主义整体的理论品质，并不是'哲学独特'的理论品质，属于张冠李戴；③错肢：马克思主义哲学（唯物辩证法）的实质与核心是矛盾观点，发展观点只是辩证法的总特征之一，混淆了'总特征'与'实质核心'。,closed-question-and-answer-key,①更偏马克思主义本质属性的政治哲学命题，可视为必修四引论性认识；④为典型的必修四群众史观与价值观双重触发点，是本题的主要必修四哲学触发。
S013_C02,S013,2024,西城二模,7,A,L106 细则.docx 第一部分答案：7．A,L278-L283：7．拔除了55根电线杆后，家住在西城区宫门口东岔的居民们发现，原来一抬头就有这么美的景儿……近年来，北京深入开展街巷精细化治理，曾经'见缝插针'停放的汽车不见了，头顶上乱如蛛网的架空线没了，堵心又有安全隐患的私搭乱建也拆了，青砖灰瓦间，老北京的韵味又回来了。胡同是北京老城的肌理，也是支撑老城生命的骨架。打造更多精品宜居街巷，需要规划师 ①因地制宜，知晓每处街巷的矛盾的特殊性 ②实事求是，重视新老居民生活方式的焕新 ③解放思想，拆除原本老旧残破的民居院落 ④守正创新，像保护历史文物那样维持原状 A．①② B．①④ C．②③ D．③④,正确项为①②。①'因地制宜，知晓每处街巷的矛盾的特殊性'直接对应矛盾特殊性原理及其具体问题具体分析方法论：每条胡同的房屋、居民、安全隐患各不相同，需差异化治理；②'实事求是，重视新老居民生活方式的焕新'对应一切从实际出发、实事求是，要求规划师立足新老居民的真实生活变化而非凭主观意志规划。,③错肢：'拆除原本老旧残破的民居院落'与材料'青砖灰瓦间老北京的韵味又回来''精细化治理'的取向相反，不能借'解放思想'为口号去破坏胡同肌理；④错肢：'像保护历史文物那样维持原状'与'守正创新'相悖——守正创新强调在守正基础上有所创新，而非僵化维持原状，材料强调'打造更多精品宜居街巷'，恰恰是在守正基础上的创新而不是冻结原状。,closed-question-and-answer-key,①触发辩证法矛盾特殊性，②触发唯物论一切从实际出发；本条按矛盾特殊性归类，唯物论一面在分析中并列说明。
S013_C03,S013,2024,西城二模,8,C,L106 细则.docx 第一部分答案：8．C,L284-L288：8．良渚古城先民修建的水利系统，促进了文明的诞生和发展；历经千年的它山堰（一个御咸蓄淡引水灌溉枢纽工程）依然屹立，与洪水猛兽为战，与宁波城相望相守；1997年至2000年建设的千里标准海塘工程，成为沿海人民的生命线和幸福线……数千年来，这片土地上的人民 A．改造水环境，生成了自然界的事物之间的自在联系 B．消除水患，这种否定是对旧事物整体、旧矛盾统一体的否定 C．开展治水实践，劳动促进了社会关系的形成和发展 D．守一方水土，证明了劳动就是客观实在的'金山银山',正确项为C。'开展治水实践'是人类有目的的物质性活动，即劳动；劳动作为实践的基本形式，把分散的个体组织起来共同与水抗争、共同改造自然，从而形成和发展了人与人之间的协作关系和社会关系，触发必修四'劳动创造了人和人类社会''实践创造了社会关系'的原理。,A错肢：'自在联系'是事物本来就有、不以人的意志为转移的联系，不能由人'改造水环境'去'生成'，混淆了自在事物的联系与人为事物的联系；B错肢：辩证否定是扬弃，是对旧事物中消极因素的否定与积极因素的保留，不是对旧事物'整体''旧矛盾统一体'的全盘否定；D错肢：'劳动'是人类有目的的物质性活动，'客观实在'是物质的唯一特性，不能把劳动等同于'客观实在的金山银山'，属概念混淆。,closed-question-and-answer-key,C项跨实践观与历史唯物主义，本条按'认识论>实践与认识（总）'归类；A项辨自在联系与人为联系、B项辨辩证否定、D项辨客观实在均为典型必修四错肢，可纳入错肢库。
S014_C01,S014,2024,顺义思政二模,2,D,L18：'1．D 2．D 3．C 4．B 5．B'(细则.docx),"L74-80：'探索浩瀚宇宙,发展航天事业,建设航天强国,是我们不懈追求的航天梦'。中国载人月球探测任务新飞行器名称已经确定,新一代载人飞船命名为'梦舟',月面着陆器命名为'揽月'。下列说法正确的是 ①新飞行器命名通过抽象思维尽显中国式浪漫 ②新飞行器与其名称之间存在着必然的联系 ③令人遐想的命名体现意识活动的能动创造性 ④新飞行器的名称具有鲜明的中国文化特色 A.①② B.①③ C.②④ D.③④","D=③④。③'令人遐想的命名体现意识活动的能动创造性'触发必修四唯物论意识能动作用：航天工作者基于客观航天器特征,通过想象、联想等意识活动,创造出'梦舟''揽月'等富含中国浪漫意涵的名称,正是意识对客观对象的能动反映与创造。④属文化模块。","①'抽象思维'概念误用,'梦舟''揽月'类形象命名属选必三'形象思维',且属选必三概念越界;②'必然的联系'否认偶然性,飞行器与具体名称之间是人为命名的偶然约定,触发必修四联系观错肢——'必然联系'绝对化。",closed-question-and-answer-key,"④为文化模块边界,只就③立必修四正确项;①④分属选必三/文化已在错肢中标注。"
S014_C02,S014,2024,顺义思政二模,3,C,L18：'3．C'(细则.docx),"L81-86：2024年开年最卷的竟然是文旅局。哈尔滨冰雪经济火爆'出圈',在'尔滨'的带动下,各地网友纷纷喊话家乡文旅局'抄作业''亮家底',多地文旅主打一个'听劝',纷纷出手加码布局,精心打造各自的文旅名片。对此认识正确的是 ①挖掘本地文旅资源潜力,能让各地人们过上美好生活 ②哈尔滨冰雪经济火爆,说明文化与经济相互交融、相互促进 ③文旅局打造各自的文旅名片,是政府运用矛盾分析法科学履职的体现 ④网友喊话家乡文旅局'抄作业''亮家底'是运用了逆向思维的方式 A.①② B.①④ C.②③ D.③④","C=②③。③'政府运用矛盾分析法科学履职'触发必修四辩证法矛盾观：文旅局既看到全国文旅普遍要求(矛盾普遍性),又结合本地资源条件'打造各自的文旅名片'(矛盾特殊性),在'听劝''加码布局'中具体问题具体分析,体现矛盾分析法。②属文化模块。","①'能让各地人们过上美好生活'夸大文旅作用,把'挖掘文旅资源'与'美好生活'之间的条件关系绝对化为充分条件,触发绝对化错肢;④'逆向思维'为选必三概念越界,网友'抄作业''亮家底'属常规借鉴思维而非反向反推。",closed-question-and-answer-key,"②为文化模块,只就③立必修四正确项;①属绝对化错肢,④属选必三越界错肢。"
S014_C03,S014,2024,顺义思政二模,5,B,L19：'5．B'(细则.docx),"L93-97：随着新媒体时代的到来,普通人能够以'我'为主角创作'短视频',一个个特写镜头,被放大的微观视角,这种第一人称视角下的情感和记忆的散点式叙事,丰富了城市形象的维度和容量,也更容易引发网络用户的情感共鸣。这表明,短视频 A.作为塑造城市形象的直接现实性活动提升了城市的文化价值和软实力 B.对塑造城市形象的价值在于其作为客体所具有的属性对主体的积极意义 C.创作者从不同的角度、不同的方向进行散点式叙事是聚合思维的体现 D.内容源于创作者对生活的感悟和体验并决定着城市形象的维度和容量","B'对塑造城市形象的价值在于其作为客体所具有的属性对主体的积极意义'触发必修四价值观章基础概念：短视频作为客体,其'我'为主角的特写镜头、散点叙事等属性,能够满足创作者表达与观众情感共鸣的需要(主体),正是价值的客观本质——客体属性对主体的积极意义。","A'直接现实性活动'误把短视频说成实践,实践是改造客观世界的物质性活动,短视频创作不属直接现实性范畴;C'聚合思维'为选必三概念越界,且散点式叙事属发散思维而非聚合;D'决定着城市形象的维度和容量'绝对化,短视频反映而非决定城市形象,触发必修四物质决定意识错肢——意识反作用绝对化。",closed-question-and-answer-key,"B触及'价值的客观本质'概念,框架节点暂归属价值观导向作用大类,严格而言可考虑独立的'价值与价值观'子节点；A为实践概念误用,C为选必三越界,D为绝对化错肢。"
S015_C01,S015,2025,2025东城一模,4,B,L529-L530 答案表 4=B,"L291-L302: 东城区以历史文化遗产保护带动城市更新、治理创新和发展焕新。社稷坛、太庙等重点文物腾退完成，""左祖右社""风采再现。钟鼓楼周边、前门大街等重要节点进行环境整治，壮美中轴尽显古都风韵。""中轴线上""""故宫以东""古建艺术季等活动精彩纷呈，让更多市民沉浸式感受古都文化魅力。这体现了 ①坚持人民至上，使人民共享文化保护与发展成果 ②坚持突出重点，以遗产利用为首位促进城市更新 ③把握适度原则，通过恢复重要遗产展现历史文脉 ④建立人为联系，发挥文化资源优势赋能城市发展 A.①② B.①④ C.②③ D.③④。","①""坚持人民至上，使人民共享文化保护与发展成果""对应必修四价值观/人民立场——文化遗产保护要为了人民、依靠人民、成果由人民共享；④""建立人为联系，发挥文化资源优势赋能城市发展""对应必修四联系观——人能根据事物固有联系建立人为的具体联系，把文化资源优势转化为城市更新与发展动能。","②""以遗产利用为首位""错——突出重点不能颠倒目标，文化遗产保护应以人民共享、文脉传承为首位，不能把利用摆在首位；③""通过恢复重要遗产展现历史文脉""与""适度原则""不对应——恢复遗产是保护行为，与控制量变防止越界的""度""无关。",closed-question-and-answer-key,必修四哲学题：四选项分别检测价值观与人民立场、重点论、适度原则、人为事物的联系；正确项①④触发必修四，错项②③亦为必修四术语错用边界。
S015_C02,S015,2025,2025东城一模,6,C,L529-L530 答案表 6=C,"L308-L314: 在大多数人的印象里，""禁止踩踏草坪""是从小接受的教导。近年来，有人认为草坪就应该用来""奔跑、聚餐、晒太阳""，对草地的亲近是符合人性的；有人认为人口密度较大的市中心不适宜开放草坪，应禁踩；也有人认为不同草坪上所种植的草种不一样，有耐踩的，也有不耐踩的。出现分歧的原因是 A.人们追求真理是一个过程，具有反复性和无限性 B.实践的过程及其结果受客观事物及其规律的制约 C.认识受到主客观因素影响，因人而异、因时而异 D.真理是具体的有条件的，往往会与谬误相伴而行。","题干中""草坪应否踩踏""出现亲近草地、人口密度论、草种差异等多种意见，反映不同主体在不同立场、知识结构、情境下作出的认识不同；C项""认识受主客观因素影响，因人而异、因时而异""准确刻画认识的主体性与差异性，体现必修四""认识是主体对客体的能动反映""。","A谈追求真理的反复性、无限性，但题问""分歧的原因""指向主客观差异本身，未必涉及真理探索过程；B""实践受客观规律制约""答非所问，分歧出现在认识层面而非实践效果；D""真理与谬误相伴""未对各意见定性，与""分歧原因""不直接对应。",closed-question-and-answer-key,必修四认识论：认识是主体对客体的能动反映/认识受主客观因素影响。
