suite_id,status,year,district,stage,total_files,paper_count,scoring_count,reference_answer_count,teaching_or_lecture_count,unknown_count,paper_samples,scoring_samples,reference_samples,teaching_samples,unknown_samples,notes
2025_昌平_二模,not_started,2025,昌平,二模,2,1,1,0,0,0,2025各区二模/2025昌平二模/试卷/试卷.pdf,2025各区二模/2025昌平二模/细则/细则.pptx,,,,
2025_石景山_一模,not_started,2025,石景山,一模,2,1,1,0,0,0,2025各区一模/2025石景山一模/试卷/试卷.pdf,2025各区一模/2025石景山一模/细则/细则.doc,,,,
2025_门头沟_一模,not_started,2025,门头沟,一模,2,1,1,0,0,0,2025各区一模/2025门头沟一模/试卷/试卷.pdf,2025各区一模/2025门头沟一模/细则/细则.doc,,,,
2025_顺义_一模,not_started,2025,顺义,一模,2,1,1,0,0,0,2025各区一模/2025顺义一模/试卷/试卷.pdf,2025各区一模/2025顺义一模/细则/细则.docx,,,,
2026_海淀_一模,not_started,2026,海淀,一模,2,1,1,0,0,0,2026各区一模/2026海淀一模/试卷/试卷.pdf,2026各区一模/2026海淀一模/细则/细则.pdf,,,,
2026_海淀_期中,not_started,2026,海淀,期中,2,1,0,0,1,0,2026各区期末和期中/2026海淀期中/试卷/试卷.docx,,,2026各区期末和期中/2026海淀期中/其他材料/期中讲评20251106.pdf,,
2026_海淀_期末,no_module_user_confirmed_pending_current_check,2026,海淀,期末,2,1,1,0,0,0,2026各区期末和期中/2026海淀期末/试卷/试卷.pdf,2026各区期末和期中/2026海淀期末/细则/细则.pdf,,,,User-confirmed no xuanbiyi; current-run check should confirm exclusion.
2026_西城_一模,not_started,2026,西城,一模,3,2,1,0,0,0,2026各区一模/2026西城一模/试卷/试卷.docx | 2026各区一模/2026西城一模/试卷/补充材料/2026北京西城高三一模政治.pdf,2026各区一模/2026西城一模/细则/细则.docx,,,,
2026_西城_期末,not_started,2026,西城,期末,3,0,3,0,0,0,,2026各区期末和期中/2026西城期末/细则/细则.pdf | 2026各区期末和期中/2026西城期末/细则/补充材料/高三思想政治参考答案.pdf | 2026各区期末和期中/2026西城期末/细则/补充材料/西城高三期末评标.pptx,,,,
2026_东城_一模,not_started,2026,东城,一模,12,2,10,0,0,0,2026各区一模/2026东城一模/试卷/试卷.pdf | 2026各区一模/2026东城一模/试卷/补充材料/2026东城一模 原卷扫描版.pdf,2026各区一模/2026东城一模/细则/细则.pdf | 2026各区一模/2026东城一模/细则/补充材料/26东城一模细则.pdf | 2026各区一模/2026东城一模/细则/分题细则/东城一模评标细则（勿传）/17.pptx | 2026各区一模/2026东城一模/细则/分题细则/东城一模评标细则（勿传）/16.pptx,,,,
2026_东城_期末,not_started,2026,东城,期末,2,1,1,0,0,0,2026各区期末和期中/2026东城期末/试卷/试卷.pdf,2026各区期末和期中/2026东城期末/细则/细则.pptx,,,,
2026_朝阳_一模,not_started,2026,朝阳,一模,2,1,1,0,0,0,2026各区一模/2026朝阳一模/试卷/试卷.pdf,2026各区一模/2026朝阳一模/细则/细则.docx,,,,
2026_朝阳_期中,not_started,2026,朝阳,期中,3,1,2,0,0,0,2026各区期末和期中/2026朝阳期中/试卷/试卷.pdf,2026各区期末和期中/2026朝阳期中/细则/细则.docx | 2026各区期末和期中/2026朝阳期中/细则/补充材料/细则.docx,,,,
2026_朝阳_期末,not_started,2026,朝阳,期末,2,1,1,0,0,0,2026各区期末和期中/2026朝阳期末/试卷/试卷.pdf,2026各区期末和期中/2026朝阳期末/细则/细则.pdf,,,,
2026_丰台_一模,not_started,2026,丰台,一模,2,1,1,0,0,0,2026各区一模/2026丰台一模/试卷/试卷.pdf,2026各区一模/2026丰台一模/细则/细则.pptx,,,,
2026_丰台_期末,not_started,2026,丰台,期末,2,1,1,0,0,0,2026各区期末和期中/2026丰台期末/试卷/试卷.pdf,2026各区期末和期中/2026丰台期末/细则/细则.pdf,,,,
2026_延庆_一模,not_started,2026,延庆,一模,2,1,1,0,0,0,2026各区一模/2026延庆一模/试卷/试卷.pdf,2026各区一模/2026延庆一模/细则/细则.docx,,,,
2026_房山_一模,not_started,2026,房山,一模,2,1,1,0,0,0,2026各区一模/2026房山一模/试卷/试卷.pdf,2026各区一模/2026房山一模/细则/细则.docx,,,,
2026_石景山_一模,not_started,2026,石景山,一模,2,1,1,0,0,0,2026各区一模/2026石景山一模/试卷/试卷.pdf,2026各区一模/2026石景山一模/细则/细则.doc,,,,
2026_石景山_期末,excluded,2026,石景山,期末,1,0,0,1,0,0,,,已放弃/2026石景山期末/其他材料/答案及评分参考.pdf,,,User-confirmed no usable scoring rules; excluded for all modules unless new scoring source appears.
2026_通州_期末,not_started,2026,通州,期末,2,1,1,0,0,0,2026各区期末和期中/2026通州期末/试卷/试卷.pdf,2026各区期末和期中/2026通州期末/细则/细则.pptx,,,,
2026_门头沟_一模,not_started,2026,门头沟,一模,2,1,1,0,0,0,2026各区一模/2026门头沟一模/试卷/试卷.pdf,2026各区一模/2026门头沟一模/细则/细则.docx,,,,
2026_顺义_一模,not_started,2026,顺义,一模,2,1,1,0,0,0,2026各区一模/2026顺义一模/试卷/试卷.pdf,2026各区一模/2026顺义一模/细则/细则.pptx,,,,
