source_id,year,district_or_exam_scope,exam_type,suite_id,file_type,raw_category,candidate_evidence_level,verified_evidence_level,contains_xuanbiyi,contains_subjective_question,question_numbers_detected,has_scoring_detail,has_reference_answer,has_teaching_or_lecture,has_pdf_visual_risk,has_ppt_visual_risk,has_image_or_table,needs_ocr,status,blocker
SRC_5f85521d3602,2024,海淀,一模,2024_海淀_一模,.docx,2024海淀一模/细则/补充材料/一模政治-答案.docx,P0_candidate_scoring,pending_content_recheck,unknown,unknown,,yes,no,no,no,no,no,no,pending_phase02_recheck,
SRC_22a9fc350542,2024,海淀,一模,2024_海淀_一模,.pdf,2024海淀一模/试卷/试卷.pdf,P3_candidate_paper,P3_paper_only_pending_question_scan,unknown,unknown,,no,no,no,yes,no,no,yes,pending_phase02_recheck,
SRC_8cabfb2a5c95,2024,丰台,二模,2024_丰台_二模,.docx,丰台二模/细则/细则.docx,P0_candidate_scoring,pending_content_recheck,unknown,unknown,,yes,no,no,no,no,no,no,pending_phase02_recheck,
SRC_610be819f51b,2024,丰台,二模,2024_丰台_二模,.pdf,丰台二模/试卷/试卷.pdf,P3_candidate_paper,P3_paper_only_pending_question_scan,unknown,unknown,,no,no,no,yes,no,no,yes,pending_phase02_recheck,
SRC_3d4cd35f4494,2024,朝阳,期中,2024_朝阳_期中,.docx,2024朝阳期中/细则/细则.docx,P0_candidate_scoring,pending_content_recheck,unknown,unknown,,yes,no,no,no,no,no,no,pending_phase02_recheck,
SRC_486fe5ba720a,2024,朝阳,期中,2024_朝阳_期中,.docx,2024朝阳期中/细则/补充材料/2024.11期中政治朝阳评标2.docx,P0_candidate_scoring,pending_content_recheck,unknown,unknown,,yes,no,no,no,no,no,no,pending_phase02_recheck,
SRC_b706c444e16d,2024,朝阳,期中,2024_朝阳_期中,.rtf,2024朝阳期中/细则/补充材料/细则.rtf,P0_candidate_scoring,pending_content_recheck,unknown,unknown,,yes,no,no,no,no,no,no,pending_phase02_recheck,
SRC_611ed7564625,2024,朝阳,期中,2024_朝阳_期中,.pdf,2024朝阳期中/试卷/试卷.pdf,P3_candidate_paper,P3_paper_only_pending_question_scan,unknown,unknown,,no,no,no,yes,no,no,yes,pending_phase02_recheck,
SRC_34231242a333,2024,朝阳,期中,2024_朝阳_期中,.pdf,2024朝阳期中/试卷/补充材料/202411朝阳高三政治 期中1试题(1).pdf,P3_candidate_paper,P3_paper_only_pending_question_scan,unknown,unknown,,no,no,no,yes,no,no,yes,pending_phase02_recheck,
SRC_4fc81e818683,2024,朝阳,一模,2024_朝阳_一模,.pptx,2024朝阳一模/细则/细则.pptx,P0_candidate_scoring,pending_content_recheck,unknown,unknown,,yes,no,no,no,yes,no,no,pending_phase02_recheck,
SRC_8a924a245316,2024,朝阳,一模,2024_朝阳_一模,.docx,2024朝阳一模/细则/补充材料/细则.docx,P0_candidate_scoring,pending_content_recheck,unknown,unknown,,yes,no,no,no,no,no,no,pending_phase02_recheck,
SRC_d3b447f0ea3a,2024,朝阳,一模,2024_朝阳_一模,.pdf,2024朝阳一模/试卷/试卷.pdf,P3_candidate_paper,P3_paper_only_pending_question_scan,unknown,unknown,,no,no,no,yes,no,no,yes,pending_phase02_recheck,
SRC_d991feeaa63e,2024,朝阳,一模,2024_朝阳_一模,.pptx,2024朝阳一模/其他材料/202404朝阳高三政治一模试卷讲评.pptx,P2_candidate_teaching_or_lecture,P2_teaching_or_lecture_pending_role_check,unknown,unknown,,no,no,yes,no,yes,no,no,pending_phase02_recheck,
SRC_e6f22d1048fc,2024,海淀,二模,2024_海淀_二模,.docx,海淀二模/细则/细则.docx,P0_candidate_scoring,pending_content_recheck,unknown,unknown,,yes,no,no,no,no,no,no,pending_phase02_recheck,
SRC_da60e3ae2561,2024,海淀,二模,2024_海淀_二模,.docx,海淀二模/细则/补充材料/高三二模：政治答案(2).docx,P0_candidate_scoring,pending_content_recheck,unknown,unknown,,yes,no,no,no,no,no,no,pending_phase02_recheck,
SRC_a83c70cbad37,2024,海淀,二模,2024_海淀_二模,.pdf,海淀二模/试卷/试卷.pdf,P3_candidate_paper,P3_paper_only_pending_question_scan,unknown,unknown,,no,no,no,yes,no,no,yes,pending_phase02_recheck,
SRC_1c0a8eb1f6cd,2024,海淀,二模,2024_海淀_二模,.docx,海淀二模/试卷/补充材料/高三二模：政治试题（以PDF为准）(1).docx,P3_candidate_paper,P3_paper_only_pending_question_scan,unknown,unknown,,no,no,no,no,no,no,no,pending_phase02_recheck,
SRC_e3f88f68dd56,2024,海淀,期中,2024_海淀_期中,.pdf,2024海淀期中/细则/细则.pdf,P0_candidate_scoring,pending_content_recheck,unknown,unknown,,yes,no,no,yes,no,no,yes,pending_phase02_recheck,
SRC_132d9a876bce,2024,海淀,期中,2024_海淀_期中,.pdf,2024海淀期中/试卷/试卷.pdf,P3_candidate_paper,P3_paper_only_pending_question_scan,unknown,unknown,,no,no,no,yes,no,no,yes,pending_phase02_recheck,
SRC_1f17f2c91d92,2024,东城,一模,2024_东城_一模,.pptx,2024东城一模/细则/细则.pptx,P0_candidate_scoring,P0_verified_marking_detail,yes,yes,Q16;Q20,yes,no,no,no,yes,yes,no,source_checked,
SRC_fa4ea186dba9,2024,东城,一模,2024_东城_一模,.pdf,2024东城一模/细则/补充材料/北京市东城区2023-2024学年度第二学期高三综合练习（一）思想政治答案(1).pdf,P0_candidate_scoring,pending_content_recheck,unknown,unknown,,yes,no,no,yes,no,no,yes,pending_phase02_recheck,
SRC_a1c55f582bad,2024,东城,一模,2024_东城_一模,.pdf,2024东城一模/试卷/试卷.pdf,P3_candidate_paper,P3_paper_only_visual_checked,yes,yes,Q16;Q20,no,no,no,yes,no,no,no,source_checked,
SRC_ecba6fd5969d,2024,西城,二模,2024_西城_二模,.docx,西城二模/细则/细则.docx,P0_candidate_scoring,pending_content_recheck,unknown,unknown,,yes,no,no,no,no,no,no,pending_phase02_recheck,
SRC_3cb2df235603,2024,西城,二模,2024_西城_二模,.docx,西城二模/细则/补充材料/高三模拟测试思想政治答案.docx,P0_candidate_scoring,pending_content_recheck,unknown,unknown,,yes,no,no,no,no,no,no,pending_phase02_recheck,
SRC_f9754eb81c9b,2024,西城,二模,2024_西城_二模,.docx,西城二模/试卷/试卷.docx,P3_candidate_paper,P3_paper_only_pending_question_scan,unknown,unknown,,no,no,no,no,no,no,no,pending_phase02_recheck,
SRC_1b4ee008991e,2024,西城,二模,2024_西城_二模,.docx,西城二模/试卷/补充材料/~$模拟测试思想政治试卷.docx,P3_candidate_paper,P3_paper_only_pending_question_scan,unknown,unknown,,no,no,no,no,no,no,no,pending_phase02_recheck,
SRC_abdf5a2c1aeb,2024,西城,二模,2024_西城_二模,.pdf,西城二模/其他材料/西城东城二模选择题讲评.pdf,P2_candidate_teaching_or_lecture,P2_teaching_or_lecture_pending_role_check,unknown,unknown,,no,no,yes,yes,no,no,yes,pending_phase02_recheck,
SRC_bd22f6c39c9e,2024,西城,二模,2024_西城_二模,.pptx,西城二模/其他材料/西城东城二模选择题讲评.pptx,P2_candidate_teaching_or_lecture,P2_teaching_or_lecture_pending_role_check,unknown,unknown,,no,no,yes,no,yes,no,no,pending_phase02_recheck,
SRC_7e4a722d6d9e,2025,西城,二模,2025_西城_二模,.docx,2025各区二模/2025西城二模/细则/细则.docx,P0_candidate_scoring,pending_content_recheck,unknown,unknown,,yes,no,no,no,no,no,no,pending_phase02_recheck,
SRC_62207119d52d,2025,西城,二模,2025_西城_二模,.pdf,2025各区二模/2025西城二模/试卷/试卷.pdf,P3_candidate_paper,P3_paper_only_pending_question_scan,unknown,unknown,,no,no,no,yes,no,no,yes,pending_phase02_recheck,
SRC_05a280b2e00d,2025,海淀,二模,2025_海淀_二模,.docx,2025各区二模/2025海淀二模/细则/细则.docx,P0_candidate_scoring,pending_content_recheck,unknown,unknown,,yes,no,no,no,no,no,no,pending_phase02_recheck,
SRC_5b0f1d77d036,2025,海淀,二模,2025_海淀_二模,.docx,2025各区二模/2025海淀二模/细则/补充材料/2025年海淀二模评标实录.docx,P0_candidate_scoring,pending_content_recheck,unknown,unknown,,yes,no,no,no,no,no,no,pending_phase02_recheck,
SRC_203635b75b25,2025,海淀,二模,2025_海淀_二模,.pdf,2025各区二模/2025海淀二模/试卷/试卷.pdf,P3_candidate_paper,P3_paper_only_pending_question_scan,unknown,unknown,,no,no,no,yes,no,no,yes,pending_phase02_recheck,
SRC_06bdaf7a81b0,2025,海淀,二模,2025_海淀_二模,.pdf,2025各区二模/2025海淀二模/其他材料/2025届二模考试讲评0510.pdf,P2_candidate_teaching_or_lecture,P2_teaching_or_lecture_pending_role_check,unknown,unknown,,no,no,yes,yes,no,no,yes,pending_phase02_recheck,
SRC_60be5c5c0fb3,2025,丰台,二模,2025_丰台_二模,.docx,2025各区二模/2025丰台二模/细则/分题细则/2025丰台二模评标细则/2025丰台二模评标细则/16.(2).docx,P0_candidate_scoring,pending_content_recheck,unknown,unknown,,yes,no,no,no,no,no,no,pending_phase02_recheck,
SRC_3a2e101926af,2025,丰台,二模,2025_丰台_二模,.doc,2025各区二模/2025丰台二模/细则/分题细则/2025丰台二模评标细则/2025丰台二模评标细则/16.(1).doc,P0_candidate_scoring,pending_content_recheck,unknown,unknown,,yes,no,no,no,no,no,no,pending_phase02_recheck,
SRC_f71fa74e8a1b,2025,丰台,二模,2025_丰台_二模,.docx,2025各区二模/2025丰台二模/细则/分题细则/2025丰台二模评标细则/2025丰台二模评标细则/17题.docx,P0_candidate_scoring,pending_content_recheck,unknown,unknown,,yes,no,no,no,no,no,no,pending_phase02_recheck,
SRC_58a9a8f3e678,2025,丰台,二模,2025_丰台_二模,.docx,2025各区二模/2025丰台二模/细则/分题细则/2025丰台二模评标细则/2025丰台二模评标细则/18题 .docx,P0_candidate_scoring,pending_content_recheck,unknown,unknown,,yes,no,no,no,no,no,no,pending_phase02_recheck,
SRC_1543d8baa151,2025,丰台,二模,2025_丰台_二模,.docx,2025各区二模/2025丰台二模/细则/分题细则/2025丰台二模评标细则/2025丰台二模评标细则/20题.docx,P0_candidate_scoring,pending_content_recheck,unknown,unknown,,yes,no,no,no,no,no,no,pending_phase02_recheck,
SRC_cf5f0f635e6f,2025,丰台,二模,2025_丰台_二模,.docx,2025各区二模/2025丰台二模/细则/分题细则/2025丰台二模评标细则/2025丰台二模评标细则/19.(1).docx,P0_candidate_scoring,pending_content_recheck,unknown,unknown,,yes,no,no,no,no,no,no,pending_phase02_recheck,
SRC_4f9c477fa46c,2025,丰台,二模,2025_丰台_二模,.docx,2025各区二模/2025丰台二模/细则/分题细则/2025丰台二模评标细则/2025丰台二模评标细则/21题.docx,P0_candidate_scoring,pending_content_recheck,unknown,unknown,,yes,no,no,no,no,no,no,pending_phase02_recheck,
SRC_dfa78c60e17a,2025,丰台,二模,2025_丰台_二模,.docx,2025各区二模/2025丰台二模/细则/分题细则/2025丰台二模评标细则/2025丰台二模评标细则/19.(2).docx,P0_candidate_scoring,pending_content_recheck,unknown,unknown,,yes,no,no,no,no,no,no,pending_phase02_recheck,
SRC_770de383c911,2025,丰台,二模,2025_丰台_二模,.pdf,2025各区二模/2025丰台二模/试卷/试卷.pdf,P3_candidate_paper,P3_paper_only_pending_question_scan,unknown,unknown,,no,no,no,yes,no,no,yes,pending_phase02_recheck,
SRC_436f84dc1edf,2025,朝阳,二模,2025_朝阳_二模,.docx,2025各区二模/2025朝阳二模/细则/细则.docx,P0_candidate_scoring,pending_content_recheck,unknown,unknown,,yes,no,no,no,no,no,no,pending_phase02_recheck,
SRC_d411e2158d47,2025,朝阳,二模,2025_朝阳_二模,.pdf,2025各区二模/2025朝阳二模/试卷/试卷.pdf,P3_candidate_paper,P3_paper_only_pending_question_scan,unknown,unknown,,no,no,no,yes,no,no,yes,pending_phase02_recheck,
SRC_87571762455e,2025,朝阳,二模,2025_朝阳_二模,.pdf,2025各区二模/2025朝阳二模/试卷/补充材料/扫描全能王 2025-05-13 21.42.pdf,P3_candidate_paper,P3_paper_only_pending_question_scan,unknown,unknown,,no,no,no,yes,no,yes,yes,pending_phase02_recheck,
SRC_2df7863ec9eb,2025,昌平,二模,2025_昌平_二模,.pptx,2025各区二模/2025昌平二模/细则/细则.pptx,P0_candidate_scoring,pending_content_recheck,unknown,unknown,,yes,no,no,no,yes,no,no,pending_phase02_recheck,
SRC_f67354a12eea,2025,昌平,二模,2025_昌平_二模,.pdf,2025各区二模/2025昌平二模/试卷/试卷.pdf,P3_candidate_paper,P3_paper_only_pending_question_scan,unknown,unknown,,no,no,no,yes,no,no,yes,pending_phase02_recheck,
SRC_bd8e9436f81d,2025,东城,二模,2025_东城_二模,.pdf,2025各区二模/2025东城二模/细则/细则.pdf,P0_candidate_scoring,pending_content_recheck,unknown,unknown,,yes,no,no,yes,no,no,yes,pending_phase02_recheck,
SRC_e1c925184ab8,2025,东城,二模,2025_东城_二模,.pdf,2025各区二模/2025东城二模/试卷/试卷.pdf,P3_candidate_paper,P3_paper_only_pending_question_scan,unknown,unknown,,no,no,no,yes,no,no,yes,pending_phase02_recheck,
SRC_61b68f14212d,2025,海淀,期末,2025_海淀_期末,.pptx,2025各区期末/2025海淀期末/细则/细则.pptx,P0_candidate_scoring,P2_scoring_ppt_with_header_anomaly,yes,yes,Q22,yes,no,yes,no,yes,yes,no,source_checked,header anomaly; Q22 slides align with paper
SRC_1bd40d845040,2025,海淀,期末,2025_海淀_期末,.docx,2025各区期末/2025海淀期末/试卷/试卷.docx,P3_candidate_paper,P3_paper_only,yes,yes,Q22,no,no,no,no,no,no,no,source_checked,
SRC_f548fe634936,2025,西城,期末,2025_西城_期末,.pdf,2025各区期末/2025西城期末/细则/细则.pdf,P0_candidate_scoring,pending_content_recheck,unknown,unknown,,yes,no,no,yes,no,no,yes,pending_phase02_recheck,
SRC_3b9cf3beca8e,2025,西城,期末,2025_西城_期末,.pdf,2025各区期末/2025西城期末/试卷/试卷.pdf,P3_candidate_paper,P3_paper_only_pending_question_scan,unknown,unknown,,no,no,no,yes,no,no,yes,pending_phase02_recheck,
SRC_cda046c2d36d,2025,海淀,期中,2025_海淀_期中,.docx,2025各区期末/2025海淀期中/细则/细则.docx,P0_candidate_scoring,P0_verified_rubric,yes,yes,Q16(2);Q21(2),yes,no,no,no,no,no,no,source_checked,
SRC_e3da1b6b45ca,2025,海淀,期中,2025_海淀_期中,.pdf,2025各区期末/2025海淀期中/试卷/试卷.pdf,P3_candidate_paper,P3_paper_only,yes,yes,Q16(2);Q21(2),no,no,no,yes,no,no,yes,source_checked,
SRC_f5c5ada09871,2025,东城,期末,2025_东城_期末,.pdf,2025各区期末/2025东城期末/细则/细则.pdf,P0_candidate_scoring,pending_content_recheck,unknown,unknown,,yes,no,no,yes,no,no,yes,pending_phase02_recheck,
SRC_7d84ce85cb4b,2025,东城,期末,2025_东城_期末,.pptx,2025各区期末/2025东城期末/细则/补充材料/东城期末.pptx,P0_candidate_scoring,pending_content_recheck,unknown,unknown,,yes,no,no,no,yes,no,no,pending_phase02_recheck,
SRC_8ab211d978d9,2025,东城,期末,2025_东城_期末,.pdf,2025各区期末/2025东城期末/试卷/试卷.pdf,P3_candidate_paper,P3_paper_only_pending_question_scan,unknown,unknown,,no,no,no,yes,no,no,yes,pending_phase02_recheck,
SRC_86fc00424d39,2025,丰台,期末,2025_丰台_期末,.pptx,2025各区期末/2025丰台期末/细则/细则.pptx,P0_candidate_scoring,pending_content_recheck,unknown,unknown,,yes,no,no,no,yes,no,no,pending_phase02_recheck,
SRC_25f18281e8a8,2025,丰台,期末,2025_丰台_期末,.pdf,2025各区期末/2025丰台期末/试卷/试卷.pdf,P3_candidate_paper,P3_paper_only_pending_question_scan,unknown,unknown,,no,no,no,yes,no,no,yes,pending_phase02_recheck,
SRC_49b23fecab97,2025,朝阳,期末,2025_朝阳_期末,.pdf,2025各区期末/2025朝阳期末/细则/细则.pdf,P0_candidate_scoring,pending_content_recheck,unknown,unknown,,yes,no,no,yes,no,no,yes,pending_phase02_recheck,
SRC_131c6c890bd4,2025,朝阳,期末,2025_朝阳_期末,.pdf,2025各区期末/2025朝阳期末/试卷/试卷.pdf,P3_candidate_paper,P3_paper_only_pending_question_scan,unknown,unknown,,no,no,no,yes,no,no,yes,pending_phase02_recheck,
SRC_65f9eb78542d,2025,朝阳,期末,2025_朝阳_期末,.pptx,2025各区期末/2025朝阳期末/其他材料/朝阳高三期末2025.pptx,P2_candidate_teaching_or_lecture,P2_teaching_or_lecture_pending_role_check,unknown,unknown,,no,no,yes,no,yes,no,no,pending_phase02_recheck,
SRC_4572acf26cdb,2025,延庆,一模,2025_延庆_一模,.docx,2025各区一模/2025延庆一模/细则/细则.docx,P0_candidate_scoring,pending_content_recheck,unknown,unknown,,yes,no,no,no,no,no,no,pending_phase02_recheck,
SRC_438d82cfc42b,2025,延庆,一模,2025_延庆_一模,.pdf,2025各区一模/2025延庆一模/试卷/试卷.pdf,P3_candidate_paper,P3_paper_only_pending_question_scan,unknown,unknown,,no,no,no,yes,no,no,yes,pending_phase02_recheck,
SRC_70713581c0c6,2025,门头沟,一模,2025_门头沟_一模,.doc,2025各区一模/2025门头沟一模/细则/细则.doc,P0_candidate_scoring,pending_content_recheck,unknown,unknown,,yes,no,no,no,no,no,no,pending_phase02_recheck,
SRC_41b9c310bed6,2025,门头沟,一模,2025_门头沟_一模,.pdf,2025各区一模/2025门头沟一模/试卷/试卷.pdf,P3_candidate_paper,P3_paper_only_pending_question_scan,unknown,unknown,,no,no,no,yes,no,no,yes,pending_phase02_recheck,
SRC_8ee813c0b52e,2025,房山,一模,2025_房山_一模,.pdf,2025各区一模/2025房山一模/细则/细则.pdf,P0_candidate_scoring,pending_content_recheck,unknown,unknown,,yes,no,no,yes,no,no,yes,pending_phase02_recheck,
SRC_dc005114eca8,2025,房山,一模,2025_房山_一模,.pdf,2025各区一模/2025房山一模/试卷/试卷.pdf,P3_candidate_paper,P3_paper_only_pending_question_scan,unknown,unknown,,no,no,no,yes,no,no,yes,pending_phase02_recheck,
SRC_6087ed54082b,2025,顺义,一模,2025_顺义_一模,.docx,2025各区一模/2025顺义一模/细则/细则.docx,P0_candidate_scoring,pending_content_recheck,unknown,unknown,,yes,no,no,no,no,no,no,pending_phase02_recheck,
