framework_point_id,框架点名称,所属部分,支撑question_ids,支撑细则数量,formal_count,pass_recovered_count,open_reference_count,是否核心,是否仅参考,备注
T06,不正当竞争/混淆/商业诋毁/虚假宣传,材料触发,CC0040_2024_海淀_一模_19|CC0063_2024_西城_二模_16|CC0084_2025_东城_二模_19|CC0103_2025_丰台_一模_19|CC0131_2025_房山_一模_19|CC0137_2025_昌平_二模_20|CC0143_2025_朝阳_一模_19|CC0157_2025_朝阳_期末_20|CC0189_2025_石景山_一模_20|CC0206_2025_西城_期末_19|CC0223_2025_顺义_一模_19|CC0229_2026_东城_一模_18|CC0238_2026_东城_二模_19|CC0244_2026_东城_期中_18|CC0277_2026_房山_二模_18|CC0283_2026_朝阳_一模_18|CC0319_2026_海淀_期中_19|CC0353_2026_西城_期中_17|CC0305_2026_海淀_一模_18_3,128,14,3,2,是,否,OPEN_OR_REFERENCE 不单独支撑核心
T07,纠纷解决/调解/仲裁/诉讼/举证,材料触发,CC0002_2024_丰台_一模_17|CC0019_2024_朝阳_一模_19|CC0025_2024_朝阳_二模_17|CC0040_2024_海淀_一模_19|CC0045_2024_海淀_二模_19|CC0051_2024_海淀_期中_21_1|CC0054_2024_石景山_一模_17|CC0061_2024_西城_一模_18|CC0063_2024_西城_二模_16|CC0077_2025_东城_一模_19|CC0084_2025_东城_二模_19|CC0103_2025_丰台_一模_19|CC0119_2025_丰台_期末_19|CC0125_2025_延庆_一模_19|CC0131_2025_房山_一模_19|CC0137_2025_昌平_二模_20|CC0143_2025_朝阳_一模_19|CC0150_2025_朝阳_二模_20|CC0157_2025_朝阳_期末_20|CC0162_2025_海淀_一模_18|CC0181_2025_海淀_期末_21|CC0189_2025_石景山_一模_20|CC0195_2025_西城_一模_20|CC0200_2025_西城_二模_18|CC0206_2025_西城_期末_19|CC0213_2025_门头沟_一模_20|CC0214_2025_门头沟_一模_20_2|CC0223_2025_顺义_一模_19|CC0229_2026_东城_一模_18|CC0244_2026_东城_期中_18|CC0245_2026_东城_期中_18_2|CC0251_2026_丰台_一模_20|CC0254_2026_丰台_二模_18|CC0276_2026_房山_二模_17|CC0283_2026_朝阳_一模_18|CC0289_2026_朝阳_二模_18|CC0317_2026_海淀_期中_18|CC0325_2026_石景山_一模_18|CC0353_2026_西城_期中_17|CC0364_2026_通州_期中_19_1|CC0305_2026_海淀_一模_18_3|CC0373_2026_顺义_一模_18|CC0380_2026_顺义_二模_18_2,285,31,8,4,是,否,OPEN_OR_REFERENCE 不单独支撑核心
T08,多主体过错/未成年人/监护/平台,材料触发,CC0054_2024_石景山_一模_17|CC0061_2024_西城_一模_18|CC0077_2025_东城_一模_19|CC0084_2025_东城_二模_19|CC0137_2025_昌平_二模_20|CC0162_2025_海淀_一模_18|CC0181_2025_海淀_期末_21|CC0200_2025_西城_二模_18|CC0223_2025_顺义_一模_19|CC0244_2026_东城_期中_18|CC0254_2026_丰台_二模_18|CC0283_2026_朝阳_一模_18|CC0317_2026_海淀_期中_18|CC0332_2026_石景山_二模_19|CC0353_2026_西城_期中_17,88,11,2,2,是,否,OPEN_OR_REFERENCE 不单独支撑核心
T09,好意同乘/侵权减责/过错分担,材料触发,CC0002_2024_丰台_一模_17|CC0119_2025_丰台_期末_19,13,2,0,0,是,否,核心或正式支撑
T10,相邻关系/物权边界/绿色原则/生态保护,材料触发,CC0011_2024_丰台_二模_17|CC0019_2024_朝阳_一模_19|CC0040_2024_海淀_一模_19|CC0051_2024_海淀_期中_21_1|CC0054_2024_石景山_一模_17|CC0061_2024_西城_一模_18|CC0077_2025_东城_一模_19|CC0084_2025_东城_二模_19|CC0092_2025_东城_期末_19_1|CC0103_2025_丰台_一模_19|CC0131_2025_房山_一模_19|CC0143_2025_朝阳_一模_19|CC0150_2025_朝阳_二模_20|CC0157_2025_朝阳_期末_20|CC0162_2025_海淀_一模_18|CC0189_2025_石景山_一模_20|CC0206_2025_西城_期末_19|CC0223_2025_顺义_一模_19|CC0238_2026_东城_二模_19|CC0244_2026_东城_期中_18|CC0251_2026_丰台_一模_20|CC0254_2026_丰台_二模_18|CC0283_2026_朝阳_一模_18|CC0289_2026_朝阳_二模_18|CC0311_2026_海淀_二模_18|CC0332_2026_石景山_二模_19|CC0340_2026_西城_一模_17|CC0364_2026_通州_期中_19_1,195,20,5,3,是,否,OPEN_OR_REFERENCE 不单独支撑核心
T11,婚姻家庭/继承/监护/赡养,材料触发,CC0045_2024_海淀_二模_19|CC0051_2024_海淀_期中_21_1|CC0061_2024_西城_一模_18|CC0077_2025_东城_一模_19|CC0254_2026_丰台_二模_18|CC0332_2026_石景山_二模_19|CC0373_2026_顺义_一模_18,40,2,5,0,是,否,核心或正式支撑
T12,竞业限制/商业秘密/劳动权利,材料触发,CC0025_2024_朝阳_二模_17|CC0077_2025_东城_一模_19|CC0103_2025_丰台_一模_19|CC0119_2025_丰台_期末_19|CC0181_2025_海淀_期末_21|CC0195_2025_西城_一模_20|CC0213_2025_门头沟_一模_20|CC0214_2025_门头沟_一模_20_2|CC0238_2026_东城_二模_19|CC0251_2026_丰台_一模_20|CC0277_2026_房山_二模_18|CC0373_2026_顺义_一模_18,97,11,1,0,是,否,核心或正式支撑
T13,性别就业歧视/平等就业,材料触发,CC0373_2026_顺义_一模_18,7,0,1,0,是,否,核心或正式支撑
T14,法律制度意义/规则保护谁规范谁,材料触发,CC0002_2024_丰台_一模_17|CC0011_2024_丰台_二模_17|CC0019_2024_朝阳_一模_19|CC0025_2024_朝阳_二模_17|CC0040_2024_海淀_一模_19|CC0045_2024_海淀_二模_19|CC0051_2024_海淀_期中_21_1|CC0054_2024_石景山_一模_17|CC0061_2024_西城_一模_18|CC0063_2024_西城_二模_16|CC0077_2025_东城_一模_19|CC0084_2025_东城_二模_19|CC0103_2025_丰台_一模_19|CC0119_2025_丰台_期末_19|CC0131_2025_房山_一模_19|CC0137_2025_昌平_二模_20|CC0143_2025_朝阳_一模_19|CC0150_2025_朝阳_二模_20|CC0157_2025_朝阳_期末_20|CC0162_2025_海淀_一模_18|CC0180_2025_海淀_期末_20|CC0181_2025_海淀_期末_21|CC0189_2025_石景山_一模_20|CC0195_2025_西城_一模_20|CC0200_2025_西城_二模_18|CC0206_2025_西城_期末_19|CC0213_2025_门头沟_一模_20|CC0223_2025_顺义_一模_19|CC0229_2026_东城_一模_18|CC0238_2026_东城_二模_19|CC0251_2026_丰台_一模_20|CC0254_2026_丰台_二模_18|CC0276_2026_房山_二模_17|CC0277_2026_房山_二模_18|CC0283_2026_朝阳_一模_18|CC0289_2026_朝阳_二模_18|CC0311_2026_海淀_二模_18|CC0317_2026_海淀_期中_18|CC0318_2026_海淀_期中_18_2|CC0319_2026_海淀_期中_19|CC0325_2026_石景山_一模_18|CC0332_2026_石景山_二模_19|CC0340_2026_西城_一模_17|CC0353_2026_西城_期中_17|CC0364_2026_通州_期中_19_1|CC0305_2026_海淀_一模_18_3|CC0373_2026_顺义_一模_18|CC0380_2026_顺义_二模_18_2,296,33,10,5,是,否,OPEN_OR_REFERENCE 不单独支撑核心
T15,智能体/数据/信息风险,材料触发,CC0311_2026_海淀_二模_18|CC0380_2026_顺义_二模_18_2,9,0,0,2,否，仅参考,是,OPEN_OR_REFERENCE 不单独支撑核心
D01,先表态，再证明,法律动作,CC0002_2024_丰台_一模_17|CC0025_2024_朝阳_二模_17|CC0040_2024_海淀_一模_19|CC0045_2024_海淀_二模_19|CC0051_2024_海淀_期中_21_1|CC0054_2024_石景山_一模_17|CC0061_2024_西城_一模_18|CC0063_2024_西城_二模_16|CC0077_2025_东城_一模_19|CC0084_2025_东城_二模_19|CC0103_2025_丰台_一模_19|CC0119_2025_丰台_期末_19|CC0131_2025_房山_一模_19|CC0137_2025_昌平_二模_20|CC0143_2025_朝阳_一模_19|CC0162_2025_海淀_一模_18|CC0181_2025_海淀_期末_21|CC0200_2025_西城_二模_18|CC0206_2025_西城_期末_19|CC0213_2025_门头沟_一模_20|CC0223_2025_顺义_一模_19|CC0229_2026_东城_一模_18|CC0238_2026_东城_二模_19|CC0245_2026_东城_期中_18_2|CC0251_2026_丰台_一模_20|CC0254_2026_丰台_二模_18|CC0311_2026_海淀_二模_18|CC0332_2026_石景山_二模_19|CC0353_2026_西城_期中_17|CC0364_2026_通州_期中_19_1|CC0305_2026_海淀_一模_18_3|CC0373_2026_顺义_一模_18|CC0380_2026_顺义_二模_18_2,221,21,7,5,是,否,OPEN_OR_REFERENCE 不单独支撑核心
D02,一格一链,法律动作,CC0119_2025_丰台_期末_19|CC0137_2025_昌平_二模_20|CC0143_2025_朝阳_一模_19|CC0157_2025_朝阳_期末_20|CC0189_2025_石景山_一模_20|CC0213_2025_门头沟_一模_20|CC0214_2025_门头沟_一模_20_2|CC0289_2026_朝阳_二模_18,83,7,1,0,是,否,核心或正式支撑
D03,一主体一链,法律动作,CC0002_2024_丰台_一模_17|CC0011_2024_丰台_二模_17|CC0019_2024_朝阳_一模_19|CC0040_2024_海淀_一模_19|CC0045_2024_海淀_二模_19|CC0051_2024_海淀_期中_21_1|CC0054_2024_石景山_一模_17|CC0063_2024_西城_二模_16|CC0077_2025_东城_一模_19|CC0084_2025_东城_二模_19|CC0103_2025_丰台_一模_19|CC0119_2025_丰台_期末_19|CC0131_2025_房山_一模_19|CC0137_2025_昌平_二模_20|CC0143_2025_朝阳_一模_19|CC0150_2025_朝阳_二模_20|CC0157_2025_朝阳_期末_20|CC0162_2025_海淀_一模_18|CC0180_2025_海淀_期末_20|CC0189_2025_石景山_一模_20|CC0200_2025_西城_二模_18|CC0206_2025_西城_期末_19|CC0213_2025_门头沟_一模_20|CC0214_2025_门头沟_一模_20_2|CC0223_2025_顺义_一模_19|CC0229_2026_东城_一模_18|CC0238_2026_东城_二模_19|CC0244_2026_东城_期中_18|CC0251_2026_丰台_一模_20|CC0254_2026_丰台_二模_18|CC0276_2026_房山_二模_17|CC0277_2026_房山_二模_18|CC0283_2026_朝阳_一模_18|CC0289_2026_朝阳_二模_18|CC0311_2026_海淀_二模_18|CC0317_2026_海淀_期中_18|CC0318_2026_海淀_期中_18_2|CC0319_2026_海淀_期中_19|CC0325_2026_石景山_一模_18|CC0332_2026_石景山_二模_19|CC0340_2026_西城_一模_17|CC0353_2026_西城_期中_17|CC0364_2026_通州_期中_19_1|CC0373_2026_顺义_一模_18|CC0380_2026_顺义_二模_18_2,280,32,8,5,是,否,OPEN_OR_REFERENCE 不单独支撑核心
D04,一事实一法律词,法律动作,CC0002_2024_丰台_一模_17|CC0011_2024_丰台_二模_17|CC0025_2024_朝阳_二模_17|CC0040_2024_海淀_一模_19|CC0045_2024_海淀_二模_19|CC0051_2024_海淀_期中_21_1|CC0054_2024_石景山_一模_17|CC0061_2024_西城_一模_18|CC0063_2024_西城_二模_16|CC0077_2025_东城_一模_19|CC0084_2025_东城_二模_19|CC0092_2025_东城_期末_19_1|CC0103_2025_丰台_一模_19|CC0119_2025_丰台_期末_19|CC0125_2025_延庆_一模_19|CC0131_2025_房山_一模_19|CC0137_2025_昌平_二模_20|CC0143_2025_朝阳_一模_19|CC0150_2025_朝阳_二模_20|CC0157_2025_朝阳_期末_20|CC0162_2025_海淀_一模_18|CC0181_2025_海淀_期末_21|CC0189_2025_石景山_一模_20|CC0195_2025_西城_一模_20|CC0200_2025_西城_二模_18|CC0206_2025_西城_期末_19|CC0213_2025_门头沟_一模_20|CC0223_2025_顺义_一模_19|CC0229_2026_东城_一模_18|CC0238_2026_东城_二模_19|CC0244_2026_东城_期中_18|CC0245_2026_东城_期中_18_2|CC0251_2026_丰台_一模_20|CC0254_2026_丰台_二模_18|CC0276_2026_房山_二模_17|CC0283_2026_朝阳_一模_18|CC0289_2026_朝阳_二模_18|CC0311_2026_海淀_二模_18|CC0318_2026_海淀_期中_18_2|CC0325_2026_石景山_一模_18|CC0332_2026_石景山_二模_19|CC0340_2026_西城_一模_17|CC0353_2026_西城_期中_17|CC0364_2026_通州_期中_19_1|CC0373_2026_顺义_一模_18,287,31,10,4,是,否,OPEN_OR_REFERENCE 不单独支撑核心
D05,一规则一价值,法律动作,CC0002_2024_丰台_一模_17|CC0011_2024_丰台_二模_17|CC0019_2024_朝阳_一模_19|CC0025_2024_朝阳_二模_17|CC0040_2024_海淀_一模_19|CC0045_2024_海淀_二模_19|CC0051_2024_海淀_期中_21_1|CC0054_2024_石景山_一模_17|CC0061_2024_西城_一模_18|CC0063_2024_西城_二模_16|CC0077_2025_东城_一模_19|CC0084_2025_东城_二模_19|CC0103_2025_丰台_一模_19|CC0119_2025_丰台_期末_19|CC0131_2025_房山_一模_19|CC0137_2025_昌平_二模_20|CC0143_2025_朝阳_一模_19|CC0150_2025_朝阳_二模_20|CC0157_2025_朝阳_期末_20|CC0162_2025_海淀_一模_18|CC0180_2025_海淀_期末_20|CC0181_2025_海淀_期末_21|CC0189_2025_石景山_一模_20|CC0195_2025_西城_一模_20|CC0200_2025_西城_二模_18|CC0206_2025_西城_期末_19|CC0213_2025_门头沟_一模_20|CC0223_2025_顺义_一模_19|CC0229_2026_东城_一模_18|CC0238_2026_东城_二模_19|CC0251_2026_丰台_一模_20|CC0254_2026_丰台_二模_18|CC0276_2026_房山_二模_17|CC0277_2026_房山_二模_18|CC0283_2026_朝阳_一模_18|CC0311_2026_海淀_二模_18|CC0317_2026_海淀_期中_18|CC0318_2026_海淀_期中_18_2|CC0319_2026_海淀_期中_19|CC0332_2026_石景山_二模_19|CC0340_2026_西城_一模_17|CC0353_2026_西城_期中_17|CC0364_2026_通州_期中_19_1|CC0305_2026_海淀_一模_18_3|CC0373_2026_顺义_一模_18,281,31,10,4,是,否,OPEN_OR_REFERENCE 不单独支撑核心
