unique_id,normalized_question,count,doc_orders,buckets,core_points,question_titles
UQ0011,2026东城期末Q20,11,261;293;312;344;462;463;465;467;469;470;477,中国;政治多极化,从中国主张到国际共识，从合作理念到共同行动;倡导文明平等互鉴，弘扬全人类共同价值，尊重世界文明多样性;全球发展倡议：以发展促繁荣;全球安全倡议：以安全保稳定;全球文明倡议：以文明增互信;全球治理倡议：以治理求公正;共商共建共享的全球治理观;四大全球倡议相互促进、有机统一，系统推动构建人类命运共同体;推动国际秩序和全球治理体系更加公正合理;推动构建人类命运共同体;相互尊重、公平正义、合作共赢的新型国际关系,2026东城期末Q20 || 2026东城期末Q20 || 2026东城期末Q20 || 2026东城期末Q20 || 2026东城期末Q20 || 2026东城期末Q20 || 2026东城期末Q20 || 2026东城期末Q20 || 2026东城期末Q20 || 2026东城期末Q20 || 2026东城期末Q20
UQ0012,2026石景山一模Q20,11,15;28;88;119;133;137;241;259;270;291;457,中国;政治多极化;时代背景;理论;经济全球化,中国推动构建人类命运共同体;共商共建共享的全球治理观;和平与发展仍是时代主题;国家间共同利益是国家合作的基础;在平等互利基础上开展合作，实现互利共赢;建设开放型世界经济;推动经济全球化朝着更加开放、包容、普惠、平衡、共赢方向发展;推进普惠包容的经济全球化;推进贸易和投资自由化便利化;相互尊重、公平正义、合作共赢的新型国际关系;维护多边贸易体制,2026石景山一模Q20 || 2026石景山一模Q20 || 2026石景山一模Q20 || 2026石景山一模Q20 || 2026石景山一模Q20 || 2026石景山一模Q20 || 2026石景山一模Q20 || 2026石景山一模Q20 || 2026石景山一模Q20 || 2026石景山一模Q20 || 2026石景山一模Q20
UQ0013,2026顺义二模Q20,11,116;126;165;253;284;306;430;449;475;486;506,中国;政治多极化;经济全球化,中国推动构建人类命运共同体;互利共赢的开放战略;倡导文明平等互鉴，弘扬全人类共同价值，尊重世界文明多样性;共商共建共享的全球治理观;坚持正确义利观;推动国际秩序和全球治理体系更加公正合理;推动经济全球化朝着更加开放、包容、普惠、平衡、共赢方向发展;推进普惠包容的经济全球化，推动构建更加开放、包容的全球经济格局;改善发展中国家民生并助力持续发展;相互尊重、公平正义、合作共赢的新型国际关系;贡献中国智慧、中国方案、中国力量,2026顺义二模Q20 || 2026顺义二模Q20 || 2026顺义二模Q20 || 2026顺义二模Q20 || 2026顺义二模Q20 || 2026顺义二模Q20 || 2026顺义二模Q20 || 2026顺义二模Q20 || 2026顺义二模Q20 || 2026顺义二模Q20 || 2026顺义二模Q20
UQ0014,2025东城期末Q20,10,57;73;87;238;242;244;247;267;385;515,中国;政治多极化;理论;经济全球化,中国推进绿色低碳转型并参与全球气候治理;为世界新能源产业注入活力，增强经济全球化动力;促进全球资源优化配置和国际贸易发展;反对贸易保护主义，警惕单边措施破坏多边贸易秩序;在平等互利基础上开展合作，实现互利共赢;推动国际关系民主化、和平解决国际争端;推进贸易和投资自由化便利化;维护国家利益是主权国家对外活动的出发点和落脚点;维护多边贸易体制;顺应经济全球化趋势，反对贸易保护主义,2025东城期末Q20——评价欧盟对中国新能源汽车征收临时反补贴税 || 2025东城期末Q20 || 2025东城期末Q20——评价欧盟对中国新能源汽车征收临时反补贴税 || 2025东城期末Q20 || 2025东城期末Q20——评价欧盟对中国新能源汽车征收临时反补贴税 || 2025东城期末Q20 || 2025东城期末Q20——评价欧盟对中国新能源汽车征收临时反补贴税 || 2025东城期末Q20——评价欧盟对中国新能源汽车征收临时反补贴税 || 2025东城期末Q20——评价欧盟对中国新能源汽车征收临时反补贴税 || 2025东城期末Q20——评价欧盟对中国新能源汽车征收临时反补贴税
UQ0015,2026门头沟一模Q20,10,70;82;99;129;151;157;166;171;186;221,经济全球化,中国扩大高水平对外开放与制度型开放;互利共赢的开放战略;共享经济全球化成果，促进世界经济共同繁荣;内外联通畅通国内国际双循环，提升国际循环质量;利用两个市场两种资源优化全球资源配置;发展更高层次开放型经济;推动建设开放型世界经济，深化国际分工与合作;推进贸易和投资自由化便利化;维护全球产业链供应链稳定畅通;顺应经济全球化趋势，主动融入并推动深化,2026门头沟一模Q20——海南自贸港全岛封关的国内国际意义 || 2026门头沟一模Q20——海南自贸港全岛封关的国内国际意义 || 2026门头沟一模Q20——海南自贸港全岛封关的国内国际意义 || 2026门头沟一模Q20 || 2026门头沟一模Q20——海南自贸港全岛封关的国内国际意义 || 2026门头沟一模Q20 || 2026门头沟一模Q20——海南自贸港全岛封关的国内国际意义 || 2026门头沟一模Q20 || 2026门头沟一模Q20——海南自贸港全岛封关的国内国际意义 || 2026门头沟一模Q20
UQ0016,2024朝阳二模Q20,9,26;35;256;279;318;337;355;403;404,政治多极化;时代背景;理论,共商共建共享的全球治理观;国家间共同利益是国家合作的基础;坚持共同但有区别的责任，要求发达国家为完善全球气候治理承担更多责任;坚持开放合作、共享共赢、包容互鉴、共商共建;推动构建人类命运共同体;气候变化给全人类带来巨大风险和挑战，气候治理已成为全球治理的重要议题之一;相互尊重、公平正义、合作共赢的新型国际关系;跨国公司等全球企业，尤其是工业领域企业，应致力于技术创新，加快绿色低碳转型，努力降低碳排放;践行真正的多边主义,2024朝阳二模Q20 || 2024朝阳二模Q20 || 2024朝阳二模Q20 || 2024朝阳二模Q20——完善全球气候治理基本原则与各方共识表格 || 2024朝阳二模Q20 || 2024朝阳二模Q20 || 2024朝阳二模Q20 || 2024朝阳二模Q20 || 2024朝阳二模Q20
UQ0017,2026延庆一模Q19(2),9,12;31;64;98;252;282;339;445;489,中国;政治多极化;时代背景;理论;经济全球化,中国推动构建人类命运共同体;共商共建共享的全球治理观;和平与发展仍是时代主题;国家间共同利益是国家合作的基础;坚持正确义利观;推动构建人类命运共同体;相互尊重、公平正义、合作共赢的新型国际关系;维护国家利益是主权国家对外活动的出发点和落脚点;顺应经济全球化趋势，主动融入并推动深化,"2026延庆一模Q19(2)——中国""推动重塑全球能源治理格局""的理论逻辑和价值意蕴 || 2026延庆一模Q19(2)——中国""推动重塑全球能源治理格局""的理论逻辑和价值意蕴 || 2026延庆一模Q19(2)——中国""推动重塑全球能源治理格局""的理论逻辑和价值意蕴 || 2026延庆一模Q19(2)——中国""推动重塑全球能源治理格局""的理论逻辑和价值意蕴 || 2026延庆一模Q19(2)——中国""推动重塑全球能源治理格局""的理论逻辑和价值意蕴 || 2026延庆一模Q19(2)——中国""推动重塑全球能源治理格局""的理论逻辑和价值意蕴 || 2026延庆一模Q19(2)——中国""推动重塑全球能源治理格局""的理论逻辑和价值意蕴 || 2026延庆一模Q19(2)——中国""推动重塑全球能源治理格局""的理论逻辑和价值意蕴 || 2026延庆一模Q19(2)——中国""推动重塑全球能源治理格局""的理论逻辑和价值意蕴"
UQ0018,2025丰台期末Q20,8,6;30;251;266;281;352;377;444,中国;政治多极化;时代背景;理论,中国推动构建人类命运共同体;促进共同发展、维护持久和平，共同推进现代化;共商共建共享的全球治理观;和平与发展仍是时代主题;国家间共同利益是国家合作的基础;在平等互利基础上开展合作，实现互利共赢;推动国际关系民主化;相互尊重、公平正义、合作共赢的新型国际关系,2025丰台期末Q20——中非达成战略性共识的理论逻辑和价值意蕴 || 2025丰台期末Q20——中非达成战略性共识的理论逻辑和价值意蕴 || 2025丰台期末Q20——中非达成战略性共识的理论逻辑和价值意蕴 || 2025丰台期末Q20——中非达成战略性共识的理论逻辑和价值意蕴 || 2025丰台期末Q20——中非达成战略性共识的理论逻辑和价值意蕴 || 2025丰台期末Q20——中非达成战略性共识的理论逻辑和价值意蕴 || 2025丰台期末Q20——中非达成战略性共识的理论逻辑和价值意蕴 || 2025丰台期末Q20——中非达成战略性共识的理论逻辑和价值意蕴
UQ0019,"2025延庆一模Q20(2)外交部发言人回应""脱钩断链""",8,4;38;65;222;330;361;379;530,中国;政治多极化;时代背景;理论;经济全球化,和平与发展仍是时代主题;国家间共同利益是国家合作的基础;展现大国责任担当;推动国际关系民主化;推动构建人类命运共同体;维护全球产业链供应链稳定畅通;维护国家利益是主权国家对外活动的出发点和落脚点;践行真正的多边主义,"2025延庆一模Q20(2)外交部发言人回应""脱钩断链"" || 2025延庆一模Q20(2)外交部发言人回应""脱钩断链"" || 2025延庆一模Q20(2)外交部发言人回应""脱钩断链"" || 2025延庆一模Q20(2)外交部发言人回应""脱钩断链"" || 2025延庆一模Q20(2)外交部发言人回应""脱钩断链"" || 2025延庆一模Q20(2)外交部发言人回应""脱钩断链"" || 2025延庆一模Q20(2)外交部发言人回应""脱钩断链"" || 2025延庆一模Q20(2)外交部发言人回应""脱钩断链"""
UQ0020,2025西城二模Q19(2),8,77;86;132;136;351;482;496;527,中国;政治多极化;经济全球化,与发展中国家共享发展新机遇，惠民生增福祉，实现互利共赢;促进共同发展、维护持久和平，共同推进现代化;坚持正确义利观;对最不发达国家实行零关税，推动普惠包容的经济全球化;展现大国责任担当;建设开放型世界经济;推进普惠包容的经济全球化;推进贸易和投资自由化便利化,2025西城二模Q19(2) || 2025西城二模Q19(2) || 2025西城二模Q19(2) || 2025西城二模Q19(2) || 2025西城二模Q19(2) || 2025西城二模Q19(2) || 2025西城二模Q19(2) || 2025西城二模Q19(2)
UQ0021,2026东城一模Q19(3),8,72;139;149;154;206;213;227;235,经济全球化,中国扩大高水平对外开放与制度型开放;以开放促进产业升级，为未来产业拓展国际空间，提升国际竞争力，筑牢安全基础;参与国际标准制定，提升国际规则话语权;发展更高层次开放型经济;处理好自力更生和对外开放的关系，参与经济全球化和国际分工;建设开放型世界经济，扩大开放合作;积极参与全球经济治理和经贸规则完善;统筹开放与安全，维护产业链供应链安全稳定,2026东城一模Q19(3) || 2026东城一模Q19(3) || 2026东城一模Q19(3) || 2026东城一模Q19(3) || 2026东城一模Q19(3) || 2026东城一模Q19(3) || 2026东城一模Q19(3) || 2026东城一模Q19(3)
UQ0022,2026丰台期末Q20,8,229;243;245;347;402;478;501;524,中国;政治多极化;经济全球化,与发展中国家共享发展新机遇，惠民生增福祉，实现互利共赢;倡导文明平等互鉴，弘扬全人类共同价值，尊重世界文明多样性;坚持主权平等与安全保障;推动构建人类命运共同体;维护全球产业链供应链稳定畅通，服务共同现代化;维护多边贸易体制;维护开放合作的国际经济环境;聚焦发展中国家紧迫需求，以灵活快速的小而美项目形成共同发展品牌,2026丰台期末Q20 || 2026丰台期末Q20 || 2026丰台期末Q20 || 2026丰台期末Q20 || 2026丰台期末Q20 || 2026丰台期末Q20 || 2026丰台期末Q20 || 2026丰台期末Q20
UQ0023,2026石景山二模Q18,8,11;32;52;63;102;113;174;338,政治多极化;时代背景;理论;经济全球化,利用两个市场两种资源优化全球资源配置;和平与发展仍是时代主题;国家间共同利益是国家合作的基础;当前国际竞争的实质是以经济和科技实力为基础的综合国力较量;推动构建人类命运共同体;推动经济全球化朝着更加开放、包容、普惠、平衡、共赢方向发展;维护国家利益是主权国家对外活动的出发点和落脚点;顺应经济全球化趋势，主动融入并推动深化,2026石景山二模Q18 || 2026石景山二模Q18 || 2026石景山二模Q18 || 2026石景山二模Q18 || 2026石景山二模Q18 || 2026石景山二模Q18 || 2026石景山二模Q18 || 2026石景山二模Q18
UQ0024,2024东城二模Q20,7,386;448;464;466;468;509;548,中国;政治多极化;联合国,中国推动构建人类命运共同体;全球发展倡议：以发展促繁荣;全球安全倡议：以安全保稳定;全球文明倡议：以文明增互信;推动国际关系民主化、和平解决国际争端;民心相通与文明互鉴;维护《联合国宪章》宗旨和原则,2024东城二模Q20 || 2024东城二模Q20 || 2024东城二模Q20 || 2024东城二模Q20 || 2024东城二模Q20 || 2024东城二模Q20 || 2024东城二模Q20
UQ0025,2024海淀二模Q18(1)多极化世界中的民主与全球治理,7,3;23;41;300;329;383;397,政治多极化;时代背景;理论,世界多极化是当今国际形势的突出特点;共商共建共享的全球治理观;和平与发展仍是时代主题;国家间共同利益是国家合作的基础;推动国际关系民主化;推动构建人类命运共同体;霸权主义和强权政治、单边主义是和平与发展的现实挑战,2024海淀二模Q18(1)多极化世界中的民主与全球治理 || 2024海淀二模Q18(1)多极化世界中的民主与全球治理 || 2024海淀二模Q18(1)多极化世界中的民主与全球治理 || 2024海淀二模Q18(1)多极化世界中的民主与全球治理 || 2024海淀二模Q18(1)多极化世界中的民主与全球治理 || 2024海淀二模Q18(1)多极化世界中的民主与全球治理 || 2024海淀二模Q18(1)多极化世界中的民主与全球治理
UQ0026,2024西城一模Q19(6),7,47;177;198;207;210;234;236,理论;经济全球化,以开放促进产业升级，为未来产业拓展国际空间，提升国际竞争力，筑牢安全基础;利用两个市场两种资源优化全球资源配置;加强技术创新、提高产品质量，增强竞争力;参与国际标准制定，提升国际规则话语权;当前国际竞争的实质是以经济和科技实力为基础的综合国力较量;我国的未来产业有非常广阔的国际市场，为未来产业“走出去”提供了可能;积极参与全球经济治理和经贸规则完善,2024西城一模Q19(6) || 2024西城一模Q19(6) || 2024西城一模Q19(6) || 2024西城一模Q19(6) || 2024西城一模Q19(6) || 2024西城一模Q19(6) || 2024西城一模Q19(6)
UQ0027,2024西城二模Q19中国答案的国际关系新思路,7,5;37;260;333;360;378;458,中国;政治多极化;时代背景;理论,中国推动构建人类命运共同体;和平与发展仍是时代主题;国家间共同利益是国家合作的基础;推动国际关系民主化;推动构建人类命运共同体;相互尊重、公平正义、合作共赢的新型国际关系;践行真正的多边主义,2024西城二模Q19中国答案的国际关系新思路 || 2024西城二模Q19中国答案的国际关系新思路 || 2024西城二模Q19中国答案的国际关系新思路 || 2024西城二模Q19中国答案的国际关系新思路 || 2024西城二模Q19中国答案的国际关系新思路 || 2024西城二模Q19中国答案的国际关系新思路 || 2024西城二模Q19中国答案的国际关系新思路
UQ0028,2025东城一模Q20,7,27;85;322;373;439;498;542,中国;政治多极化;理论;经济全球化,与发展中国家共享发展新机遇，惠民生增福祉，实现互利共赢;中国推动构建人类命运共同体;习近平外交思想指导中国特色大国外交（外交为民、服务中国式现代化）;国家间共同利益是国家合作的基础;推动全球治理体系变革完善，建立更加公正合理的国际政治经济新秩序;推动国际关系民主化;推进贸易和投资自由化便利化,2025东城一模Q20 || 2025东城一模Q20 || 2025东城一模Q20 || 2025东城一模Q20 || 2025东城一模Q20 || 2025东城一模Q20 || 2025东城一模Q20
UQ0029,2025朝阳二模Q21,7,92;97;249;262;276;423;510,中国;政治多极化;经济全球化,周边工作新局面四定位：发展繁荣的重要基础、维护国家安全的重点、运筹外交全局的首要、推动构建人类命运共同体的关键;推动区域经济融合与区域经济一体化;推进贸易和投资自由化便利化;民心相通与文明互鉴;相互尊重、公平正义、合作共赢的新型国际关系;维护地区和平与稳定;通过区域经济合作维护自由贸易和以世界贸易组织为核心的多边贸易体制,2025朝阳二模Q21 || 2025朝阳二模Q21 || 2025朝阳二模Q21 || 2025朝阳二模Q21 || 2025朝阳二模Q21 || 2025朝阳二模Q21 || 2025朝阳二模Q21
UQ0030,2025海淀期中Q16(2),7,103;180;201;205;215;216;223,经济全球化,"企业和政府可利用国际组织赋予的权利，积极参与全球经济治理和规则制定，为企业""出海""营造良好的国际环境;利用两个市场两种资源优化全球资源配置;加强技术创新、提高产品质量，增强竞争力;参与全球经济治理和规则制定，为企业出海营造国际环境;维护全球产业链供应链稳定畅通;顺应经济全球化趋势，主动融入并推动深化",2025海淀期中Q16(2) || 2025海淀期中Q16(2) || 2025海淀期中Q16(2) || 2025海淀期中Q16(2) || 2025海淀期中Q16(2) || 2025海淀期中Q16(2) || 2025海淀期中Q16(2)
UQ0031,2026顺义一模Q21,7,18;273;345;354;362;436;450,中国;政治多极化;时代背景,中国推动构建人类命运共同体;促进共同发展、维护持久和平，共同推进现代化;和平与发展仍是时代主题;在平等互利基础上开展合作，实现互利共赢;推动构建人类命运共同体;贡献中国智慧、中国方案、中国力量;践行真正的多边主义,2026顺义一模Q21 || 2026顺义一模Q21 || 2026顺义一模Q21 || 2026顺义一模Q21 || 2026顺义一模Q21 || 2026顺义一模Q21 || 2026顺义一模Q21
UQ0032,2024丰台二模Q19,6,272;280;324;427;513;518,中国;政治多极化,中国是负责任大国并勇于担当;共商共建共享的全球治理观;南南合作与全球南方共同发展;在平等互利基础上开展合作，实现互利共赢;推动全球治理体系变革完善，建立更加公正合理的国际政治经济新秩序;贡献中国智慧、中国方案、中国力量,2024丰台二模Q19 || 2024丰台二模Q19 || 2024丰台二模Q19 || 2024丰台二模Q19 || 2024丰台二模Q19 || 2024丰台二模Q19
UQ0033,"2024朝阳期中Q20(3)""数字驱动商通全球""短评",6,69;74;84;107;150;288,政治多极化;经济全球化,促进全球资源优化配置和国际贸易发展;共享经济全球化成果，促进世界经济共同繁荣;共商共建共享的全球治理观;发展更高层次开放型经济;推动经济全球化朝着更加开放、包容、普惠、平衡、共赢方向发展;推进贸易和投资自由化便利化,"2024朝阳期中Q20(3)""数字驱动商通全球""短评 || 2024朝阳期中Q20(3)""数字驱动商通全球""短评 || 2024朝阳期中Q20(3)""数字驱动商通全球""短评 || 2024朝阳期中Q20(3)""数字驱动商通全球""短评 || 2024朝阳期中Q20(3)""数字驱动商通全球""短评 || 2024朝阳期中Q20(3)""数字驱动商通全球""短评"
