target_id,suite_id,qno,question_type,codexA_precheck,laneB_result,before_phase04_level,after_phase04_level,can_enter_student_draft,notes
Q-2024朝阳二模-6,S-2024朝阳二模,6,选择题,CODEX_A_CHOICE_NEEDS_ANSWER_SOURCE,B_TARGET_CONFIRMED,L1_A_ONLY_PENDING_B_TARGET,L3_A_PLUS_B_TARGET_CONFIRMED,NO_STUDENT_DRAFT,选必三概念cross哲学+政治
Q-2024朝阳二模-7,S-2024朝阳二模,7,选择题,CODEX_A_CHOICE_NEEDS_ANSWER_SOURCE,B_TARGET_CONFIRMED,L1_A_ONLY_PENDING_B_TARGET,L3_A_PLUS_B_TARGET_CONFIRMED,NO_STUDENT_DRAFT,选必三科学思维与逻辑题
Q-2024朝阳期中-1,S-2024朝阳期中,1,选择题,CODEX_A_CHOICE_NEEDS_ANSWER_SOURCE,B_TARGET_SCOPE_OUT,L1_A_ONLY_PENDING_B_TARGET,L0_BLOCKED,NO_STUDENT_DRAFT,纯政治价值观题_答案B=①③但非选必三
Q-2024朝阳期中-11,S-2024朝阳期中,11,选择题,CODEX_A_CHOICE_NEEDS_ANSWER_SOURCE,B_TARGET_CONFIRMED,L1_A_ONLY_PENDING_B_TARGET,L3_A_PLUS_B_TARGET_CONFIRMED,NO_STUDENT_DRAFT,选必三逻辑综合题
Q-2024朝阳期中-18,S-2024朝阳期中,18,主观题,CODEX_A_PRECHECK_BOUNDARY_MIXED,B_TARGET_CONFIRMED,L1_A_ONLY_PENDING_B_TARGET,L3_A_PLUS_B_TARGET_CONFIRMED,NO_STUDENT_DRAFT,细则018明确楚王=不完全归纳1分(关键词:归纳推理+或然);晏子=类比推理1分;A-formal确认;queue cross tag降级为in_scope推理
Q-2024朝阳期中-19,S-2024朝阳期中,19,主观题,CODEX_A_PRECHECK_RUBRIC_PAIR_CANDIDATE,B_TARGET_CONFIRMED,L1_A_ONLY_PENDING_B_TARGET,L3_A_PLUS_B_TARGET_CONFIRMED,NO_STUDENT_DRAFT,细则018明确五点=业态/品牌/服务/价值耦合等;思维方法包括发散/聚合/联想;A-formal确认
Q-2024朝阳期中-5,S-2024朝阳期中,5,选择题,CODEX_A_CHOICE_NEEDS_ANSWER_SOURCE,B_TARGET_SCOPE_OUT,L1_A_ONLY_PENDING_B_TARGET,L0_BLOCKED,NO_STUDENT_DRAFT,哲学认识论题_答A=①②但非选必三逻辑思维
Q-2024朝阳期中-7,S-2024朝阳期中,7,选择题,CODEX_A_CHOICE_NEEDS_ANSWER_SOURCE,B_TARGET_CONFIRMED,L1_A_ONLY_PENDING_B_TARGET,L3_A_PLUS_B_TARGET_CONFIRMED,NO_STUDENT_DRAFT,选必三三段论排序题
Q-2024朝阳期中-8,S-2024朝阳期中,8,选择题,CODEX_A_CHOICE_NEEDS_ANSWER_SOURCE,B_TARGET_CONFIRMED,L1_A_ONLY_PENDING_B_TARGET,L3_A_PLUS_B_TARGET_CONFIRMED,NO_STUDENT_DRAFT,选必三必要条件假言推理题
Q-2024朝阳期中-9,S-2024朝阳期中,9,选择题,CODEX_A_CHOICE_NEEDS_ANSWER_SOURCE,B_TARGET_CONFIRMED,L1_A_ONLY_PENDING_B_TARGET,L3_A_PLUS_B_TARGET_CONFIRMED,NO_STUDENT_DRAFT,选必三归纳推理共变法题
Q-2024海淀二模-14,S-2024海淀二模,14,选择题,CODEX_A_CHOICE_ANSWER_OPTIONS_CANDIDATE,B_TARGET_SCOPE_OUT,L1_A_ONLY_PENDING_B_TARGET,L0_BLOCKED,NO_STUDENT_DRAFT,纯国际经济题
Q-2024海淀二模-16,S-2024海淀二模,16,主观题,CODEX_A_PRECHECK_RUBRIC_PAIR_CANDIDATE,B_TARGET_SCOPE_OUT,L1_A_ONLY_PENDING_B_TARGET,L0_BLOCKED,NO_STUDENT_DRAFT,"题干明确""从哲学角度"";细则028采分点全为联系/矛盾/价值观等哲学知识"
Q-2024海淀二模-17-1,S-2024海淀二模,17(1),主观题,CODEX_A_PRECHECK_RUBRIC_PAIR_CANDIDATE,B_TARGET_CONFIRMED,L1_A_ONLY_PENDING_B_TARGET,L3_A_PLUS_B_TARGET_CONFIRMED,NO_STUDENT_DRAFT,"L57-61,细则028表1明确三角度对应:科学思维(客观性/预见性,2分)+创新思维(三新/发散聚合/超前,3分)+辩证思维(整体性/分析综合,2分);A-formal确认"
Q-2024海淀二模-17-2,S-2024海淀二模,17(2),主观题,CODEX_A_PRECHECK_RUBRIC_PAIR_CANDIDATE,B_TARGET_CONFIRMED,L1_A_ONLY_PENDING_B_TARGET,L3_A_PLUS_B_TARGET_CONFIRMED,NO_STUDENT_DRAFT,细则028明确感性具体1分+思维抽象/思维具体1分+相互依赖2分;严禁颠倒;A-formal确认
Q-2024海淀二模-4,S-2024海淀二模,4,选择题,CODEX_A_CHOICE_ANSWER_OPTIONS_CANDIDATE,B_TARGET_SCOPE_OUT,L1_A_ONLY_PENDING_B_TARGET,L0_BLOCKED,NO_STUDENT_DRAFT,纯哲学唯物论题
Q-2024海淀二模-6,S-2024海淀二模,6,选择题,CODEX_A_CHOICE_ANSWER_OPTIONS_CANDIDATE,B_TARGET_CONFIRMED,L1_A_ONLY_PENDING_B_TARGET,L3_A_PLUS_B_TARGET_CONFIRMED,NO_STUDENT_DRAFT,选必三概念外延+换位推理题
Q-2024海淀二模-8,S-2024海淀二模,8,选择题,CODEX_A_CHOICE_ANSWER_OPTIONS_CANDIDATE,B_TARGET_SCOPE_OUT,L1_A_ONLY_PENDING_B_TARGET,L0_BLOCKED,NO_STUDENT_DRAFT,纯政治民主协商题
Q-2024西城一模-13,S-2024西城一模,13,选择题,CODEX_A_CHOICE_ANSWER_OPTIONS_CANDIDATE,B_TARGET_CONFIRMED,L1_A_ONLY_PENDING_B_TARGET,L3_A_PLUS_B_TARGET_CONFIRMED,NO_STUDENT_DRAFT,选必三联想题_答案B
Q-2024西城一模-19-1,S-2024西城一模,19(1),主观题,CODEX_A_PRECHECK_RUBRIC_PAIR_CANDIDATE,B_TARGET_SCOPE_OUT,L1_A_ONLY_PENDING_B_TARGET,L0_BLOCKED,NO_STUDENT_DRAFT,"paper:024@L113; rubric:025@L44-46,细则025明确为经济发展状况描述;无选必三推理/思维方法挂载"
Q-2024西城一模-19-2,S-2024西城一模,19(2),主观题,CODEX_A_PRECHECK_RUBRIC_PAIR_CANDIDATE,B_TARGET_CONFIRMED,L1_A_ONLY_PENDING_B_TARGET,L3_A_PLUS_B_TARGET_CONFIRMED,NO_STUDENT_DRAFT,细则025下定义结构标准答案;A-formal确认
Q-2024西城一模-19-3,S-2024西城一模,19(3),主观题,CODEX_A_PRECHECK_RUBRIC_PAIR_CANDIDATE,B_TARGET_CONFIRMED,L1_A_ONLY_PENDING_B_TARGET,L3_A_PLUS_B_TARGET_CONFIRMED,NO_STUDENT_DRAFT,"细则025明确""相容,或属种""(1分);A-formal确认"
Q-2024西城一模-19-4,S-2024西城一模,19(4),主观题,CODEX_A_PRECHECK_RUBRIC_PAIR_CANDIDATE,B_TARGET_SCOPE_OUT,L1_A_ONLY_PENDING_B_TARGET,L0_BLOCKED,NO_STUDENT_DRAFT,细则025四点均为政治学/经济学知识;无选必三逻辑或思维节点
Q-2024西城一模-19-5,S-2024西城一模,19(5),主观题,CODEX_A_PRECHECK_RUBRIC_PAIR_CANDIDATE,B_TARGET_CONFIRMED,L1_A_ONLY_PENDING_B_TARGET,L3_A_PLUS_B_TARGET_CONFIRMED,NO_STUDENT_DRAFT,"题干明确""运用《逻辑与思维》知识"";细则025六点+附中补""强调实践+1分,超前思维,内外矛盾"";A-formal确认"
Q-2024西城一模-19-6,S-2024西城一模,19(6),主观题,CODEX_A_PRECHECK_RUBRIC_PAIR_CANDIDATE,B_TARGET_SCOPE_OUT,L1_A_ONLY_PENDING_B_TARGET,L0_BLOCKED,NO_STUDENT_DRAFT,细则025全为经济政策分析;无选必三逻辑或思维节点
Q-2025东城期末-1,S-2025东城期末,1,选择题,CODEX_A_CHOICE_NEEDS_ANSWER_SOURCE,B_TARGET_SCOPE_OUT,L1_A_ONLY_PENDING_B_TARGET,L0_BLOCKED,NO_STUDENT_DRAFT,纯政治改革开放题_queue段excerpt属extraction错位
Q-2025东城期末-13,S-2025东城期末,13,选择题,CODEX_A_CHOICE_NEEDS_ANSWER_SOURCE,B_TARGET_CONFIRMED,L1_A_ONLY_PENDING_B_TARGET,L3_A_PLUS_B_TARGET_CONFIRMED,NO_STUDENT_DRAFT,选必三三段论谬误识别题
Q-2025东城期末-14,S-2025东城期末,14,选择题,CODEX_A_CHOICE_NEEDS_ANSWER_SOURCE,B_TARGET_CONFIRMED,L1_A_ONLY_PENDING_B_TARGET,L3_A_PLUS_B_TARGET_CONFIRMED,NO_STUDENT_DRAFT,选必三概念外延+周延判断题
Q-2025东城期末-15,S-2025东城期末,15,选择题,CODEX_A_CHOICE_NEEDS_ANSWER_SOURCE,B_TARGET_CONFIRMED,L1_A_ONLY_PENDING_B_TARGET,L3_A_PLUS_B_TARGET_CONFIRMED,NO_STUDENT_DRAFT,选必三必假命题题(找充分条件矛盾)
Q-2025东城期末-16,S-2025东城期末,16,主观题,CODEX_A_PRECHECK_SCOPE_OUT_LIKELY,B_TARGET_SCOPE_OUT,L1_A_ONLY_PENDING_B_TARGET,L0_BLOCKED,NO_STUDENT_DRAFT,细则012三点均为文化与哲学;无选必三推理或思维方法挂载;queue误tag为发散思维实非
Q-2025东城期末-18-1,S-2025东城期末,18(1),主观题,CODEX_A_PRECHECK_BOUNDARY_MIXED,B_TARGET_SCOPE_OUT,L1_A_ONLY_PENDING_B_TARGET,L0_BLOCKED,NO_STUDENT_DRAFT,细则012三点均为经济政策;无选必三推理或思维方法
Q-2025东城期末-18-2,S-2025东城期末,18(2),主观题,CODEX_A_PRECHECK_BOUNDARY_MIXED,B_TARGET_CONFIRMED,L1_A_ONLY_PENDING_B_TARGET,L3_A_PLUS_B_TARGET_CONFIRMED,NO_STUDENT_DRAFT,"题干明确""运用《逻辑与思维》知识,创新思维"";细则012明确联想思维+聚合发散+三新;A-formal确认"
Q-2025东城期末-2,S-2025东城期末,2,选择题,CODEX_A_CHOICE_NEEDS_ANSWER_SOURCE,B_TARGET_SCOPE_OUT,L1_A_ONLY_PENDING_B_TARGET,L0_BLOCKED,NO_STUDENT_DRAFT,纯政治理论题
Q-2025东城期末-20,S-2025东城期末,20,主观题,CODEX_A_PRECHECK_SCOPE_OUT_LIKELY,B_TARGET_SCOPE_OUT,L1_A_ONLY_PENDING_B_TARGET,L0_BLOCKED,NO_STUDENT_DRAFT,细则012四点均为国际政经;无选必三逻辑或思维节点;queue误tag为发散思维实非
Q-2025东城期末-21,S-2025东城期末,21,主观题,CODEX_A_PRECHECK_BOUNDARY_MIXED,B_TARGET_SCOPE_OUT,L1_A_ONLY_PENDING_B_TARGET,L0_BLOCKED,NO_STUDENT_DRAFT,细则012三点均为政治+哲学+人民立场;无选必三推理或思维方法挂载;queue误tag实非
Q-2025东城期末-5,S-2025东城期末,5,选择题,CODEX_A_CHOICE_NEEDS_ANSWER_SOURCE,B_TARGET_CONFIRMED,L1_A_ONLY_PENDING_B_TARGET,L3_A_PLUS_B_TARGET_CONFIRMED,NO_STUDENT_DRAFT,选必三辩证思维题
Q-2025东城期末-7,S-2025东城期末,7,选择题,CODEX_A_CHOICE_NEEDS_ANSWER_SOURCE,B_TARGET_SCOPE_OUT,L1_A_ONLY_PENDING_B_TARGET,L0_BLOCKED,NO_STUDENT_DRAFT,纯经济政策题
Q-2025东城期末-8,S-2025东城期末,8,选择题,CODEX_A_CHOICE_NEEDS_ANSWER_SOURCE,B_TARGET_SCOPE_OUT,L1_A_ONLY_PENDING_B_TARGET,L0_BLOCKED,NO_STUDENT_DRAFT,纯经济外资题
Q-2025东城期末-9,S-2025东城期末,9,选择题,CODEX_A_CHOICE_NEEDS_ANSWER_SOURCE,B_TARGET_SCOPE_OUT,L1_A_ONLY_PENDING_B_TARGET,L0_BLOCKED,NO_STUDENT_DRAFT,纯国际政治题
Q-2025丰台期末-10,S-2025丰台期末,10,选择题,CODEX_A_CHOICE_NEEDS_ANSWER_SOURCE,B_TARGET_CONFIRMED,L1_A_ONLY_PENDING_B_TARGET,L3_A_PLUS_B_TARGET_CONFIRMED,NO_STUDENT_DRAFT,选必三推理与思维综合题
Q-2025丰台期末-16,S-2025丰台期末,16,主观题,CODEX_A_PRECHECK_RUBRIC_PAIR_CANDIDATE,B_TARGET_SCOPE_OUT,L1_A_ONLY_PENDING_B_TARGET,L0_BLOCKED,NO_STUDENT_DRAFT,示例:①量变质变前提+②抓住时机促质变+③适度原则+④主要矛盾主要方面=哲学+辩证思维触点;Q16为C-boundary但can_enter_fusion=yes(选必三动态性触点)
Q-2025丰台期末-18-1,S-2025丰台期末,18(1),主观题,CODEX_A_PRECHECK_SCOPE_OUT_LIKELY,B_TARGET_CONFIRMED,L1_A_ONLY_PENDING_B_TARGET,L3_A_PLUS_B_TARGET_CONFIRMED,NO_STUDENT_DRAFT,细则040明确①必要条件假言判断+保真条件②联言判断+保真条件;A-formal确认
Q-2025丰台期末-18-2,S-2025丰台期末,18(2),主观题,CODEX_A_PRECHECK_BOUNDARY_MIXED,B_TARGET_SCOPE_OUT,L1_A_ONLY_PENDING_B_TARGET,L0_BLOCKED,NO_STUDENT_DRAFT,细则040市场+政府双视角;无选必三逻辑或思维节点
Q-2025丰台期末-18-3,S-2025丰台期末,18(3),主观题,CODEX_A_PRECHECK_SCOPE_OUT_LIKELY,B_TARGET_SCOPE_OUT,L1_A_ONLY_PENDING_B_TARGET,L0_BLOCKED,NO_STUDENT_DRAFT,细则040四个法治视角;无选必三逻辑或思维节点
Q-2025丰台期末-7,S-2025丰台期末,7,选择题,CODEX_A_CHOICE_NEEDS_ANSWER_SOURCE,B_TARGET_CONFIRMED,L1_A_ONLY_PENDING_B_TARGET,L3_A_PLUS_B_TARGET_CONFIRMED,NO_STUDENT_DRAFT,哲学题_选必三超前思维作干扰_答案非选必三
Q-2025丰台期末-8,S-2025丰台期末,8,选择题,CODEX_A_CHOICE_NEEDS_ANSWER_SOURCE,B_TARGET_CONFIRMED,L1_A_ONLY_PENDING_B_TARGET,L3_A_PLUS_B_TARGET_CONFIRMED,NO_STUDENT_DRAFT,选必三形象思维发散思维题
Q-2025丰台期末-9,S-2025丰台期末,9,选择题,CODEX_A_CHOICE_NEEDS_ANSWER_SOURCE,B_TARGET_CONFIRMED,L1_A_ONLY_PENDING_B_TARGET,L3_A_PLUS_B_TARGET_CONFIRMED,NO_STUDENT_DRAFT,选必三联选假言综合题
Q-2025海淀期末-17-1,S-2025海淀期末,17(1),主观题,CODEX_A_PRECHECK_BOUNDARY_MIXED,B_TARGET_CONFIRMED,L1_A_ONLY_PENDING_B_TARGET,L3_A_PLUS_B_TARGET_CONFIRMED,NO_STUDENT_DRAFT,"题干明确""运用科学思维知识"";细则015明确客观性规则+材料分析;A-formal确认"
Q-2025海淀期末-17-2,S-2025海淀期末,17(2),主观题,CODEX_A_PRECHECK_BOUNDARY_MIXED,B_TARGET_SCOPE_OUT,L1_A_ONLY_PENDING_B_TARGET,L0_BLOCKED,NO_STUDENT_DRAFT,细则015三点均为哲学知识;无选必三逻辑或思维节点
Q-2025海淀期末-18,S-2025海淀期末,18,主观题,CODEX_A_PRECHECK_RUBRIC_PAIR_CANDIDATE,B_TARGET_CONFIRMED,L1_A_ONLY_PENDING_B_TARGET,L3_A_PLUS_B_TARGET_CONFIRMED,NO_STUDENT_DRAFT,细则015明确逆向思维(对事物结构顺序的已有认识进行反向思考)+联想思维(同化性迁移);A-formal确认
Q-2025海淀期末-22,S-2025海淀期末,22,主观题,CODEX_A_PRECHECK_BOUNDARY_MIXED,B_TARGET_SCOPE_OUT,L1_A_ONLY_PENDING_B_TARGET,L0_BLOCKED,NO_STUDENT_DRAFT,"细则015""可从...质量互变规律...""等7个角度;Q22为C-boundary但can_enter_fusion=yes(选必三辩证思维触点)"
Q-2025海淀期末-8,S-2025海淀期末,8,选择题,CODEX_A_CHOICE_ANSWER_OPTIONS_CANDIDATE,B_TARGET_CONFIRMED,L1_A_ONLY_PENDING_B_TARGET,L3_A_PLUS_B_TARGET_CONFIRMED,NO_STUDENT_DRAFT,选必三选言推理关系题
Q-2025西城二模-16-1,S-2025西城二模,16(1),主观题,CODEX_A_PRECHECK_RUBRIC_PAIR_CANDIDATE,B_TARGET_SCOPE_OUT,L1_A_ONLY_PENDING_B_TARGET,L0_BLOCKED,NO_STUDENT_DRAFT,细则038三个角度=尊重规律+矛盾分析+价值观导向;均哲学知识;Q16(2)假言推理本队列未含
Q-2025西城二模-17-1,S-2025西城二模,17(1),主观题,CODEX_A_PRECHECK_BOUNDARY_MIXED,B_TARGET_SCOPE_OUT,L1_A_ONLY_PENDING_B_TARGET,L0_BLOCKED,NO_STUDENT_DRAFT,细则038三层均为经济政策分析;无选必三推理或思维方法
Q-2025西城二模-17-2,S-2025西城二模,17(2),主观题,CODEX_A_PRECHECK_BOUNDARY_MIXED,B_TARGET_SCOPE_OUT,L1_A_ONLY_PENDING_B_TARGET,L0_BLOCKED,NO_STUDENT_DRAFT,细则038两层均为政治学知识;无选必三逻辑或思维节点
Q-2025西城二模-7,S-2025西城二模,7,选择题,CODEX_A_CHOICE_ANSWER_OPTIONS_CANDIDATE,B_TARGET_CONFIRMED,L1_A_ONLY_PENDING_B_TARGET,L3_A_PLUS_B_TARGET_CONFIRMED,NO_STUDENT_DRAFT,正确为C=②④;Codex precheck同C
Q-2025顺义一模-10,S-2025顺义一模,10,选择题,CODEX_A_CHOICE_ANSWER_OPTIONS_CANDIDATE,B_TARGET_SCOPE_OUT,L1_A_ONLY_PENDING_B_TARGET,L0_BLOCKED,NO_STUDENT_DRAFT,纯法律案例题
Q-2025顺义一模-16,S-2025顺义一模,16,主观题,CODEX_A_PRECHECK_SCOPE_OUT_LIKELY,B_TARGET_SCOPE_OUT,L1_A_ONLY_PENDING_B_TARGET,L0_BLOCKED,NO_STUDENT_DRAFT,细则034哲学+文化双角度;无选必三推理或思维方法
Q-2025顺义一模-17-1,S-2025顺义一模,17(1),主观题,CODEX_A_PRECHECK_BOUNDARY_MIXED,B_TARGET_CONFIRMED,L1_A_ONLY_PENDING_B_TARGET,L3_A_PLUS_B_TARGET_CONFIRMED,NO_STUDENT_DRAFT,"题干明确""运用《逻辑与思维》知识,写出三同学判断同时为真的条件"";细则034三类型+条件分析;A-formal确认"
Q-2025顺义一模-17-2,S-2025顺义一模,17(2),主观题,CODEX_A_PRECHECK_BOUNDARY_MIXED,B_TARGET_SCOPE_OUT,L1_A_ONLY_PENDING_B_TARGET,L0_BLOCKED,NO_STUDENT_DRAFT,细则034两个角度+四点均为政府经济职能;无选必三逻辑或思维节点
Q-2025顺义一模-3,S-2025顺义一模,3,选择题,CODEX_A_CHOICE_ANSWER_OPTIONS_CANDIDATE,B_TARGET_SCOPE_OUT,L1_A_ONLY_PENDING_B_TARGET,L0_BLOCKED,NO_STUDENT_DRAFT,文化题_选必三作干扰_答案非选必三
Q-2025顺义一模-4,S-2025顺义一模,4,选择题,CODEX_A_CHOICE_ANSWER_OPTIONS_CANDIDATE,B_TARGET_SCOPE_OUT,L1_A_ONLY_PENDING_B_TARGET,L0_BLOCKED,NO_STUDENT_DRAFT,纯哲学认识论与价值观题
Q-2025顺义一模-5,S-2025顺义一模,5,选择题,CODEX_A_CHOICE_ANSWER_OPTIONS_CANDIDATE,B_TARGET_CONFIRMED,L1_A_ONLY_PENDING_B_TARGET,L3_A_PLUS_B_TARGET_CONFIRMED,NO_STUDENT_DRAFT,选必三联言矛盾命题题
Q-2025顺义一模-6,S-2025顺义一模,6,选择题,CODEX_A_CHOICE_ANSWER_OPTIONS_CANDIDATE,B_TARGET_CONFIRMED,L1_A_ONLY_PENDING_B_TARGET,L3_A_PLUS_B_TARGET_CONFIRMED,NO_STUDENT_DRAFT,选必三概念判断综合题
Q-2025顺义一模-7,S-2025顺义一模,7,选择题,CODEX_A_CHOICE_ANSWER_OPTIONS_CANDIDATE,B_TARGET_CONFIRMED,L1_A_ONLY_PENDING_B_TARGET,L3_A_PLUS_B_TARGET_CONFIRMED,NO_STUDENT_DRAFT,选必三三段论谬误判断纠错题
Q-2026东城一模-12,S-2026东城一模,12,选择题,CODEX_A_CHOICE_NEEDS_ANSWER_SOURCE,B_TARGET_SCOPE_OUT,L1_A_ONLY_PENDING_B_TARGET,L0_BLOCKED,NO_STUDENT_DRAFT,纯经济产业链分析_含视图
Q-2026东城一模-19-1,S-2026东城一模,19(1),主观题,CODEX_A_PRECHECK_SUPPORT_PAIR_CANDIDATE,B_TARGET_SCOPE_OUT,L1_A_ONLY_PENDING_B_TARGET,L0_BLOCKED,NO_STUDENT_DRAFT,"细则046仅""调查研究法""+理由;非选必三逻辑或思维方法节点"
Q-2026东城一模-19-2,S-2026东城一模,19(2),主观题,CODEX_A_PRECHECK_SUPPORT_PAIR_CANDIDATE,B_TARGET_SCOPE_OUT,L1_A_ONLY_PENDING_B_TARGET,L0_BLOCKED,NO_STUDENT_DRAFT,细则046四点均为产业经济;无选必三逻辑或思维节点
Q-2026东城一模-19-3,S-2026东城一模,19(3),主观题,CODEX_A_PRECHECK_SUPPORT_PAIR_CANDIDATE,B_TARGET_SCOPE_OUT,L1_A_ONLY_PENDING_B_TARGET,L0_BLOCKED,NO_STUDENT_DRAFT,细则046三层均为国际政经;无选必三逻辑或思维节点
Q-2026东城一模-19-4,S-2026东城一模,19(4),主观题,CODEX_A_PRECHECK_SUPPORT_PAIR_CANDIDATE,B_TARGET_CONFIRMED,L1_A_ONLY_PENDING_B_TARGET,L3_A_PLUS_B_TARGET_CONFIRMED,NO_STUDENT_DRAFT,"题干明确""运用系统观念与创新思维的知识"";细则046要求体现系统观念+创新思维;A-formal确认"
Q-2026东城一模-2,S-2026东城一模,2,选择题,CODEX_A_CHOICE_NEEDS_ANSWER_SOURCE,B_TARGET_SCOPE_OUT,L1_A_ONLY_PENDING_B_TARGET,L0_BLOCKED,NO_STUDENT_DRAFT,纯经济文化融合题
Q-2026东城一模-6,S-2026东城一模,6,选择题,CODEX_A_CHOICE_ANSWER_OPTIONS_CANDIDATE,B_TARGET_CONFIRMED,L1_A_ONLY_PENDING_B_TARGET,L3_A_PLUS_B_TARGET_CONFIRMED,NO_STUDENT_DRAFT,正确为D;Codex precheck显示B为错误结论_本Lane标注冲突
Q-2026东城期末-14,S-2026东城期末,14,选择题,CODEX_A_CHOICE_NEEDS_ANSWER_SOURCE,B_TARGET_SCOPE_OUT,L1_A_ONLY_PENDING_B_TARGET,L0_BLOCKED,NO_STUDENT_DRAFT,纯国际治理题
Q-2026东城期末-16-1,S-2026东城期末,16(1),主观题,CODEX_A_PRECHECK_BOUNDARY_MIXED,B_TARGET_SCOPE_OUT,L1_A_ONLY_PENDING_B_TARGET,L0_BLOCKED,NO_STUDENT_DRAFT,细则044三角度均为哲学+文化;无选必三逻辑或思维节点;queue将Q16拆为16(1)/16(2)实Q16为单题
Q-2026东城期末-16-2,S-2026东城期末,16(2),主观题,CODEX_A_PRECHECK_BOUNDARY_MIXED,B_TARGET_SCOPE_OUT,L1_A_ONLY_PENDING_B_TARGET,L0_BLOCKED,NO_STUDENT_DRAFT,"paper:044@L213-220; rubric:044@L335-347(inline),Q16在source paper和rubric中均为单一7分题;queue可能因auto-tag不同知识节点拆出16(2);两行同实为一题"
Q-2026东城期末-17-1,S-2026东城期末,17(1),主观题,CODEX_A_PRECHECK_SCOPE_OUT_LIKELY,B_TARGET_SCOPE_OUT,L1_A_ONLY_PENDING_B_TARGET,L0_BLOCKED,NO_STUDENT_DRAFT,"paper:044@L223-230; rubric:044@L348-351(inline),细则044建议+依据均为经济政策;无选必三推理或思维方法"
