title,status,reasons,missing_count,forbidden_count,answer_chars,trigger_chars
34. 2025延庆一模 Q18（主观题）,FAIL,forbidden=本题要求结合材料说明其体现的思维方法;卷面要把;先写 | fake_prompt | meta_answer_instruction,0,3,62,33
35. 2025门头沟一模 Q21(1)（主观题）,FAIL,forbidden=本题要求结合材料说明其体现的思维方法;卷面要把 | fake_prompt | meta_answer_instruction,0,2,72,44
36. 2025海淀二模 Q20（主观题）,FAIL,forbidden=本题要求结合材料说明其体现的思维方法;卷面要把;先写 | fake_prompt | meta_answer_instruction,0,3,130,50
37. 2026房山一模 Q18(1)（主观题）,FAIL,forbidden=本题要求结合材料说明其体现的思维方法;卷面要把 | fake_prompt | meta_answer_instruction,0,2,48,35
38. 2026朝阳期中 Q20（主观题）,FAIL,forbidden=本题要求结合材料说明其体现的思维方法;卷面要把 | fake_prompt | meta_answer_instruction,0,2,62,41
39. 2024东城一模 Q18(3)（主观题）,FAIL,forbidden=本题要求结合材料说明其体现的思维方法;卷面要把 | fake_prompt | meta_answer_instruction,0,2,71,32
40. 2024石景山一模 Q19(3)（主观题）,FAIL,forbidden=本题要求结合材料说明其体现的思维方法;卷面要把 | fake_prompt | meta_answer_instruction,0,2,66,36
41. 2024西城一模 Q19(5)（主观题）,FAIL,forbidden=本题要求结合材料说明其体现的思维方法;卷面要把 | fake_prompt | meta_answer_instruction,0,2,61,36
42. 2024顺义二模 Q16(2)（主观题）,FAIL,forbidden=本题要求结合材料说明其体现的思维方法;卷面要把 | fake_prompt | meta_answer_instruction,0,2,72,38
43. 2025延庆一模 Q18（主观题）,FAIL,forbidden=本题要求结合材料说明其体现的思维方法;卷面要把;先写 | fake_prompt | meta_answer_instruction,0,3,62,33
44. 2025门头沟一模 Q21(1)（主观题）,FAIL,forbidden=本题要求结合材料说明其体现的思维方法;卷面要把 | fake_prompt | meta_answer_instruction,0,2,72,44
45. 2025海淀二模 Q20（主观题）,FAIL,forbidden=本题要求结合材料说明其体现的思维方法;卷面要把;先写 | fake_prompt | meta_answer_instruction,0,3,130,50
46. 2026延庆一模 Q18(2)（主观题）,FAIL,forbidden=本题要求结合材料说明其体现的思维方法;卷面要把 | fake_prompt | meta_answer_instruction,0,2,56,31
47. 2026朝阳期中 Q20（主观题）,FAIL,forbidden=本题要求结合材料说明其体现的思维方法;卷面要把 | fake_prompt | meta_answer_instruction,0,2,62,41
48. 2026海淀期末 Q20(2)（主观题）,FAIL,forbidden=本题要求结合材料说明其体现的思维方法;卷面要把 | fake_prompt | meta_answer_instruction,0,2,70,42
49. 2024朝阳期中 Q19（主观题）,FAIL,forbidden=本题要求结合材料说明其体现的思维方法;卷面要把 | fake_prompt | meta_answer_instruction,0,2,73,38
50. 2024海淀二模 Q17(1)（主观题）,FAIL,forbidden=本题要求结合材料说明其体现的思维方法;卷面要把;先写 | fake_prompt | meta_answer_instruction,0,3,71,40
51. 2025房山一模 Q16(3)（主观题）,FAIL,forbidden=本题要求结合材料说明其体现的思维方法;卷面要把 | fake_prompt | meta_answer_instruction,0,2,61,37
52. 2025石景山一模 Q19（主观题）,FAIL,forbidden=本题要求结合材料说明其体现的思维方法;卷面要把 | fake_prompt | meta_answer_instruction,0,2,68,31
53. 2025昌平二模 Q19（主观题）,FAIL,forbidden=本题要求结合材料说明其体现的思维方法;卷面要把 | fake_prompt | meta_answer_instruction,0,2,61,38
54. 2026东城一模 Q19(4)（主观题）,FAIL,forbidden=本题要求结合材料说明其体现的思维方法;卷面要把;先写 | fake_prompt | meta_answer_instruction,0,3,54,33
55. 2026延庆一模 Q18(2)（主观题）,FAIL,forbidden=本题要求结合材料说明其体现的思维方法;卷面要把 | fake_prompt | meta_answer_instruction,0,2,56,31
56. 2026石景山一模 Q17(2)（主观题）,FAIL,forbidden=本题要求结合材料说明其体现的思维方法;卷面要把 | fake_prompt | meta_answer_instruction,0,2,69,37
57. 2026门头沟一模 Q18(2)（主观题）,FAIL,forbidden=本题要求结合材料说明其体现的思维方法;卷面要把 | fake_prompt | meta_answer_instruction,0,2,67,44
58. 2026丰台期末 Q20（主观题）,FAIL,forbidden=本题要求结合材料说明其体现的思维方法;卷面要把;先写 | fake_prompt | meta_answer_instruction,0,3,123,48
59. 2024丰台一模 Q19(2)（主观题）,FAIL,forbidden=本题要求结合材料说明其体现的思维方法;卷面要把;先写 | fake_prompt | meta_answer_instruction,0,3,86,48
60. 2024海淀一模 Q17(2)（主观题）,FAIL,forbidden=本题要求结合材料说明其体现的思维方法;卷面要把;先写 | fake_prompt | meta_answer_instruction,0,3,75,39
61. 2024朝阳期中 Q19（主观题）,FAIL,forbidden=本题要求结合材料说明其体现的思维方法;卷面要把 | fake_prompt | meta_answer_instruction,0,2,73,38
62. 2025房山一模 Q16(3)（主观题）,FAIL,forbidden=本题要求结合材料说明其体现的思维方法;卷面要把 | fake_prompt | meta_answer_instruction,0,2,61,37
63. 2025石景山一模 Q19（主观题）,FAIL,forbidden=本题要求结合材料说明其体现的思维方法;卷面要把 | fake_prompt | meta_answer_instruction,0,2,68,31
64. 2025昌平二模 Q19（主观题）,FAIL,forbidden=本题要求结合材料说明其体现的思维方法;卷面要把 | fake_prompt | meta_answer_instruction,0,2,61,38
65. 2025东城期末 Q18(2)（主观题）,FAIL,forbidden=本题要求结合材料说明其体现的思维方法;卷面要把 | fake_prompt | meta_answer_instruction,0,2,60,34
66. 2026东城一模 Q19(4)（主观题）,FAIL,forbidden=本题要求结合材料说明其体现的思维方法;卷面要把;先写 | fake_prompt | meta_answer_instruction,0,3,54,33
67. 2026海淀一模 Q17(2)（主观题）,FAIL,forbidden=本题要求结合材料说明其体现的思维方法;卷面要把 | fake_prompt | meta_answer_instruction,0,2,61,39
68. 2026石景山一模 Q17(2)（主观题）,FAIL,forbidden=本题要求结合材料说明其体现的思维方法;卷面要把 | fake_prompt | meta_answer_instruction,0,2,69,37
69. 2026门头沟一模 Q18(2)（主观题）,FAIL,forbidden=本题要求结合材料说明其体现的思维方法;卷面要把 | fake_prompt | meta_answer_instruction,0,2,67,44
70. 2026朝阳期中 Q21(2)（主观题）,FAIL,forbidden=本题要求结合材料说明其体现的思维方法;卷面要把 | fake_prompt | meta_answer_instruction,0,2,64,40
71. 2026丰台期末 Q20（主观题）,FAIL,forbidden=本题要求结合材料说明其体现的思维方法;卷面要把;先写 | fake_prompt | meta_answer_instruction,0,3,123,48
72. 2024西城一模 Q19(5)（主观题）,FAIL,forbidden=本题要求结合材料说明其体现的思维方法;卷面要把 | fake_prompt | meta_answer_instruction,0,2,61,36
73. 2024朝阳期中 Q19（主观题）,FAIL,forbidden=本题要求结合材料说明其体现的思维方法;卷面要把 | fake_prompt | meta_answer_instruction,0,2,73,38
74. 2025房山一模 Q16(3)（主观题）,FAIL,forbidden=本题要求结合材料说明其体现的思维方法;卷面要把 | fake_prompt | meta_answer_instruction,0,2,61,37
75. 2025门头沟一模 Q21(1)（主观题）,FAIL,forbidden=本题要求结合材料说明其体现的思维方法;卷面要把 | fake_prompt | meta_answer_instruction,0,2,72,44
76. 2025昌平二模 Q19（主观题）,FAIL,forbidden=本题要求结合材料说明其体现的思维方法;卷面要把 | fake_prompt | meta_answer_instruction,0,2,61,38
77. 2025东城期末 Q18(2)（主观题）,FAIL,forbidden=本题要求结合材料说明其体现的思维方法;卷面要把 | fake_prompt | meta_answer_instruction,0,2,60,34
78. 2025海淀期末 Q18（主观题）,FAIL,forbidden=本题要求结合材料说明其体现的思维方法;卷面要把;先写 | fake_prompt | meta_answer_instruction,0,3,61,40
79. 2026朝阳一模 Q17(1)（主观题）,FAIL,forbidden=本题要求结合材料说明其体现的思维方法;卷面要把 | fake_prompt | meta_answer_instruction,0,2,70,38
80. 2026石景山一模 Q17(2)（主观题）,FAIL,forbidden=本题要求结合材料说明其体现的思维方法;卷面要把 | fake_prompt | meta_answer_instruction,0,2,69,37
81. 2026朝阳期中 Q21(2)（主观题）,FAIL,forbidden=本题要求结合材料说明其体现的思维方法;卷面要把 | fake_prompt | meta_answer_instruction,0,2,64,40
82. 2026海淀期末 Q20(2)（主观题）,FAIL,forbidden=本题要求结合材料说明其体现的思维方法;卷面要把 | fake_prompt | meta_answer_instruction,0,2,62,42
83. 2024丰台一模 Q19(2)（主观题）,FAIL,forbidden=本题要求结合材料说明其体现的思维方法;卷面要把;先写 | fake_prompt | meta_answer_instruction,0,3,86,48
84. 2024东城一模 Q18(3)（主观题）,FAIL,forbidden=本题要求结合材料说明其体现的思维方法;卷面要把 | fake_prompt | meta_answer_instruction,0,2,71,32
85. 2024西城一模 Q19(5)（主观题）,FAIL,forbidden=本题要求结合材料说明其体现的思维方法;卷面要把 | fake_prompt | meta_answer_instruction,0,2,61,36
86. 2024朝阳期中 Q19（主观题）,FAIL,forbidden=本题要求结合材料说明其体现的思维方法;卷面要把 | fake_prompt | meta_answer_instruction,0,2,73,38
87. 2024丰台二模 Q18(2)（主观题）,FAIL,forbidden=本题要求结合材料说明其体现的思维方法;卷面要把 | fake_prompt | meta_answer_instruction,0,2,68,28
88. 2024顺义二模 Q16(2)（主观题）,FAIL,forbidden=本题要求结合材料说明其体现的思维方法;卷面要把 | fake_prompt | meta_answer_instruction,0,2,72,38
89. 2025东城一模 Q18(1)（主观题）,FAIL,forbidden=本题要求结合材料说明其体现的思维方法;卷面要把;先写 | fake_prompt | meta_answer_instruction,0,3,60,35
90. 2025丰台一模 Q18(1)（主观题）,FAIL,forbidden=本题要求结合材料说明其体现的思维方法;卷面要把 | fake_prompt | meta_answer_instruction,0,2,59,39
91. 2025东城期末 Q18(2)（主观题）,FAIL,forbidden=本题要求结合材料说明其体现的思维方法;卷面要把 | fake_prompt | meta_answer_instruction,0,2,60,34
92. 2026东城一模 Q19(4)（主观题）,FAIL,forbidden=本题要求结合材料说明其体现的思维方法;卷面要把;先写 | fake_prompt | meta_answer_instruction,0,3,54,33
93. 2026石景山一模 Q17(2)（主观题）,FAIL,forbidden=本题要求结合材料说明其体现的思维方法;卷面要把 | fake_prompt | meta_answer_instruction,0,2,69,37
94. 2026顺义一模 Q19(2)（主观题）,FAIL,forbidden=本题要求结合材料说明其体现的思维方法;卷面要把 | fake_prompt | meta_answer_instruction,0,2,59,47
95. 2026朝阳期中 Q21(2)（主观题）,FAIL,forbidden=本题要求结合材料说明其体现的思维方法;卷面要把 | fake_prompt | meta_answer_instruction,0,2,64,40
96. 2026海淀期末 Q20(2)（主观题）,FAIL,forbidden=本题要求结合材料说明其体现的思维方法;卷面要把 | fake_prompt | meta_answer_instruction,0,2,62,42
97. 2024朝阳期中 Q19（主观题）,FAIL,forbidden=本题要求结合材料说明其体现的思维方法;卷面要把 | fake_prompt | meta_answer_instruction,0,2,73,38
98. 2025昌平二模 Q19（主观题）,FAIL,forbidden=本题要求结合材料说明其体现的思维方法;卷面要把 | fake_prompt | meta_answer_instruction,0,2,61,38
99. 2025海淀期末 Q18（主观题）,FAIL,forbidden=本题要求结合材料说明其体现的思维方法;卷面要把;先写 | fake_prompt | meta_answer_instruction,0,3,61,40
100. 2026朝阳一模 Q17(1)（主观题）,FAIL,forbidden=本题要求结合材料说明其体现的思维方法;卷面要把 | fake_prompt | meta_answer_instruction,0,2,70,38
101. 2026朝阳期中 Q21(2)（主观题）,FAIL,forbidden=本题要求结合材料说明其体现的思维方法;卷面要把 | fake_prompt | meta_answer_instruction,0,2,81,40
102. 2024朝阳一模 Q4（选择题）,FAIL,forbidden=本题要求依据材料判断正确选项;因此做选择题时先圈材料动作，再看选项是否把方法、主体、关系或作用说准 | fake_prompt | meta_answer_instruction,0,2,74,32
103. 2024石景山一模 Q6（选择题）,FAIL,forbidden=本题要求依据材料判断正确选项;因此做选择题时先圈材料动作，再看选项是否把方法、主体、关系或作用说准 | fake_prompt | meta_answer_instruction,0,2,79,28
104. 2025东城一模 Q14（选择题）,FAIL,forbidden=本题要求依据材料判断正确选项;因此做选择题时先圈材料动作，再看选项是否把方法、主体、关系或作用说准 | fake_prompt | meta_answer_instruction,0,2,84,30
105. 2025朝阳一模 Q3（选择题）,FAIL,forbidden=本题要求依据材料判断正确选项;因此做选择题时先圈材料动作，再看选项是否把方法、主体、关系或作用说准 | fake_prompt | meta_answer_instruction,0,2,82,38
106. 2025朝阳一模 Q7（选择题）,FAIL,forbidden=本题要求依据材料判断正确选项;因此做选择题时先圈材料动作，再看选项是否把方法、主体、关系或作用说准 | fake_prompt | meta_answer_instruction,0,2,79,22
107. 2025海淀一模 Q6（选择题）,FAIL,forbidden=本题要求依据材料判断正确选项;因此做选择题时先圈材料动作，再看选项是否把方法、主体、关系或作用说准 | fake_prompt | meta_answer_instruction,0,2,79,25
108. 2025石景山一模 Q7（选择题）,FAIL,forbidden=本题要求依据材料判断正确选项;因此做选择题时先圈材料动作，再看选项是否把方法、主体、关系或作用说准 | fake_prompt | meta_answer_instruction,0,2,80,42
109. 2025东城二模 Q13（选择题）,FAIL,forbidden=本题要求依据材料判断正确选项;因此做选择题时先圈材料动作，再看选项是否把方法、主体、关系或作用说准 | fake_prompt | meta_answer_instruction,0,2,79,36
110. 2025昌平二模 Q12（选择题）,FAIL,forbidden=本题要求依据材料判断正确选项;因此做选择题时先圈材料动作，再看选项是否把方法、主体、关系或作用说准 | fake_prompt | meta_answer_instruction,0,2,66,31
111. 2025朝阳二模 Q7（选择题）,FAIL,forbidden=本题要求依据材料判断正确选项;因此做选择题时先圈材料动作，再看选项是否把方法、主体、关系或作用说准 | fake_prompt | meta_answer_instruction,0,2,77,35
112. 2025东城期末 Q5（选择题）,FAIL,forbidden=本题要求依据材料判断正确选项;因此做选择题时先圈材料动作，再看选项是否把方法、主体、关系或作用说准 | fake_prompt | meta_answer_instruction,0,2,79,25
113. 2025朝阳期末 Q7（选择题）,FAIL,forbidden=本题要求依据材料判断正确选项;因此做选择题时先圈材料动作，再看选项是否把方法、主体、关系或作用说准 | fake_prompt | meta_answer_instruction,0,2,83,25
114. 2025海淀期末 Q2（选择题）,FAIL,forbidden=本题要求依据材料判断正确选项;因此做选择题时先圈材料动作，再看选项是否把方法、主体、关系或作用说准 | fake_prompt | meta_answer_instruction,0,2,82,27
115. 2025西城期末 Q7（选择题）,FAIL,forbidden=本题要求依据材料判断正确选项;因此做选择题时先圈材料动作，再看选项是否把方法、主体、关系或作用说准 | fake_prompt | meta_answer_instruction,0,2,79,21
116. 2025丰台期末 Q8（选择题）,FAIL,forbidden=本题要求依据材料判断正确选项;因此做选择题时先圈材料动作，再看选项是否把方法、主体、关系或作用说准 | fake_prompt | meta_answer_instruction,0,2,80,23
117. 2026东城一模 Q6（选择题）,FAIL,forbidden=本题要求依据材料判断正确选项;因此做选择题时先圈材料动作，再看选项是否把方法、主体、关系或作用说准 | fake_prompt | meta_answer_instruction,0,2,80,26
118. 2026延庆一模 Q5（选择题）,FAIL,forbidden=本题要求依据材料判断正确选项;因此做选择题时先圈材料动作，再看选项是否把方法、主体、关系或作用说准 | fake_prompt | meta_answer_instruction,0,2,80,30
119. 2026朝阳一模 Q3（选择题）,FAIL,forbidden=本题要求依据材料判断正确选项;因此做选择题时先圈材料动作，再看选项是否把方法、主体、关系或作用说准 | fake_prompt | meta_answer_instruction,0,2,83,29
120. 2026朝阳一模 Q6（选择题）,FAIL,forbidden=本题要求依据材料判断正确选项;因此做选择题时先圈材料动作，再看选项是否把方法、主体、关系或作用说准 | fake_prompt | meta_answer_instruction,0,2,78,32
121. 2026朝阳一模 Q7（选择题）,FAIL,forbidden=本题要求依据材料判断正确选项;因此做选择题时先圈材料动作，再看选项是否把方法、主体、关系或作用说准 | fake_prompt | meta_answer_instruction,0,2,70,35
122. 2026石景山一模 Q2（选择题）,FAIL,forbidden=本题要求依据材料判断正确选项;因此做选择题时先圈材料动作，再看选项是否把方法、主体、关系或作用说准 | fake_prompt | meta_answer_instruction,0,2,85,35
123. 2026门头沟一模 Q7（选择题）,FAIL,forbidden=本题要求依据材料判断正确选项;因此做选择题时先圈材料动作，再看选项是否把方法、主体、关系或作用说准 | fake_prompt | meta_answer_instruction,0,2,74,20
124. 2026顺义一模 Q3（选择题）,FAIL,forbidden=本题要求依据材料判断正确选项;因此做选择题时先圈材料动作，再看选项是否把方法、主体、关系或作用说准 | fake_prompt | meta_answer_instruction,0,2,73,35
125. 2026顺义一模 Q6（选择题）,FAIL,forbidden=本题要求依据材料判断正确选项;因此做选择题时先圈材料动作，再看选项是否把方法、主体、关系或作用说准 | fake_prompt | meta_answer_instruction,0,2,66,34
126. 2026顺义一模 Q7（选择题）,FAIL,forbidden=本题要求依据材料判断正确选项;因此做选择题时先圈材料动作，再看选项是否把方法、主体、关系或作用说准 | fake_prompt | meta_answer_instruction,0,2,83,41
127. 2026朝阳期中 Q13（选择题）,FAIL,forbidden=本题要求依据材料判断正确选项;因此做选择题时先圈材料动作，再看选项是否把方法、主体、关系或作用说准 | fake_prompt | meta_answer_instruction,0,2,76,17
128. 2026通州期末 Q5（选择题）,FAIL,forbidden=本题要求依据材料判断正确选项;因此做选择题时先圈材料动作，再看选项是否把方法、主体、关系或作用说准 | fake_prompt | meta_answer_instruction,0,2,66,31
129. 2026通州期末 Q9（选择题）,FAIL,forbidden=本题要求依据材料判断正确选项;因此做选择题时先圈材料动作，再看选项是否把方法、主体、关系或作用说准 | fake_prompt | meta_answer_instruction,0,2,78,30
130. 2026通州期末 Q11（选择题）,FAIL,forbidden=本题要求依据材料判断正确选项;因此做选择题时先圈材料动作，再看选项是否把方法、主体、关系或作用说准 | fake_prompt | meta_answer_instruction,0,2,147,41
1. 2025顺义一模 Q7（推理题）,FAIL,forbidden=本题要求识别或运用 | fake_prompt,0,1,33,22
2. 2025延庆一模 Q5-6（推理题）,FAIL,forbidden=本题要求识别或运用 | fake_prompt,0,1,31,23
3. 2024朝阳期中 Q5（推理题）,FAIL,forbidden=本题要求识别或运用 | fake_prompt,0,1,36,28
4. 2025朝阳期末 Q20（推理题）,FAIL,forbidden=本题要求识别或运用 | fake_prompt,0,1,55,15
5. 2024丰台二模 Q19(1)（推理题）,FAIL,forbidden=本题要求识别或运用 | fake_prompt,0,1,32,25
6. 2025西城期末 Q20(2)（推理题）,FAIL,forbidden=本题要求识别或运用 | fake_prompt,0,1,35,30
7. 2026丰台二模 Q19(1)（推理题）,FAIL,forbidden=本题要求识别或运用 | fake_prompt,0,1,28,18
8. 2024西城一模 Q19(3)（推理题）,FAIL,forbidden=本题要求识别或运用 | fake_prompt,0,1,43,24
9. 2025西城期末（推理题）,FAIL,forbidden=本题要求识别或运用;先翻译逻辑结构，再套本题型最小规则，最后判断能否必然推出 | fake_prompt | meta_answer_instruction,0,2,29,52
10. 2025延庆一模 Q5（推理题）,FAIL,forbidden=本题要求识别或运用;先翻译逻辑结构，再套本题型最小规则，最后判断能否必然推出 | fake_prompt | meta_answer_instruction,0,2,29,41
11. 2025东城期末 Q13（推理题）,FAIL,forbidden=本题要求识别或运用;先翻译逻辑结构，再套本题型最小规则，最后判断能否必然推出 | fake_prompt | meta_answer_instruction,0,2,29,31
12. 2024朝阳一模 Q20(1)（推理题）,FAIL,forbidden=本题要求识别或运用 | fake_prompt,0,1,48,30
13. 2026顺义一模 Q相关（推理题）,FAIL,forbidden=本题要求识别或运用 | fake_prompt,0,1,34,15
14. 2025朝阳期末 Q相关（推理题）,FAIL,forbidden=本题要求识别或运用 | fake_prompt,0,1,27,13
15. 2026海淀期中 Q相关（推理题）,FAIL,forbidden=本题要求识别或运用 | fake_prompt | trigger_too_thin,0,1,38,10
16. 2024朝阳一模 Q20（推理题）,FAIL,forbidden=本题要求识别或运用;先翻译逻辑结构，再套本题型最小规则，最后判断能否必然推出 | fake_prompt | meta_answer_instruction,0,2,29,52
17. 2025顺义一模 Q17（推理题）,FAIL,forbidden=本题要求识别或运用;先翻译逻辑结构，再套本题型最小规则，最后判断能否必然推出 | fake_prompt | meta_answer_instruction,0,2,29,51
18. 2025丰台期末 Q18（推理题）,FAIL,forbidden=本题要求识别或运用;先翻译逻辑结构，再套本题型最小规则，最后判断能否必然推出 | fake_prompt | meta_answer_instruction,0,2,29,34
19. 2024顺义二模 Q12（推理题）,FAIL,forbidden=本题要求识别或运用 | fake_prompt,0,1,40,17
20. 2024朝阳期中 Q相关（推理题）,FAIL,forbidden=本题要求识别或运用 | fake_prompt,0,1,29,15
21. 2025顺义一模 Q17（推理题）,FAIL,forbidden=本题要求识别或运用;先翻译逻辑结构，再套本题型最小规则，最后判断能否必然推出 | fake_prompt | meta_answer_instruction,0,2,29,30
22. 2025海淀期末 Q9（推理题）,FAIL,forbidden=本题要求识别或运用;先翻译逻辑结构，再套本题型最小规则，最后判断能否必然推出 | fake_prompt | meta_answer_instruction,0,2,29,48
23. 2025房山一模 Q6（推理题）,FAIL,forbidden=本题要求识别或运用;先翻译逻辑结构，再套本题型最小规则，最后判断能否必然推出 | fake_prompt | meta_answer_instruction,0,2,29,29
24. 2026朝阳期末 Q6（推理题）,FAIL,forbidden=本题要求识别或运用;先翻译逻辑结构，再套本题型最小规则，最后判断能否必然推出 | fake_prompt | meta_answer_instruction,0,2,29,40
25. 2024朝阳二模 Q19/20（推理题）,FAIL,forbidden=本题要求识别或运用;先翻译逻辑结构，再套本题型最小规则，最后判断能否必然推出 | fake_prompt | meta_answer_instruction,0,2,29,42
26. 2025丰台期末 Q18（推理题）,FAIL,forbidden=本题要求识别或运用;先翻译逻辑结构，再套本题型最小规则，最后判断能否必然推出 | fake_prompt | meta_answer_instruction,0,2,29,29
27. 2025朝阳一模 Q3/Q4（推理题）,FAIL,forbidden=本题要求识别或运用;先翻译逻辑结构，再套本题型最小规则，最后判断能否必然推出 | fake_prompt | meta_answer_instruction,0,2,29,31
28. 2026东城期末（推理题）,FAIL,forbidden=本题要求识别或运用;先翻译逻辑结构，再套本题型最小规则，最后判断能否必然推出 | fake_prompt | meta_answer_instruction,0,2,29,62
29. 2024东城二模 Q相关（推理题）,FAIL,forbidden=本题要求识别或运用 | fake_prompt,0,1,55,24
30. 2024东城一模（推理题）,FAIL,forbidden=本题要求识别或运用;先翻译逻辑结构，再套本题型最小规则，最后判断能否必然推出 | fake_prompt | meta_answer_instruction,0,2,29,33
