原题源,统一后题源,处理状态,六要素,小框架,术语标题
2026朝阳期中 Q17,2026朝阳期中 第17题,已统一,中国,一条历史线,中国的综合国力增强 / 国际地位提升
2026海淀一模 Q20,2026海淀一模 第20题,已统一,经济全球化,开,发展更高层次的开放型经济 / 坚持引进来和走出去相结合 / 推进我国高水平对外开放
2025海淀期中 Q16(2),2025海淀期中 第16题第（2）问,已统一,经济全球化,开,发展更高层次的开放型经济 / 坚持引进来和走出去相结合 / 推进我国高水平对外开放
2024海淀期中 Q16(2),2024海淀期中 第16题第（2）问,已统一,经济全球化,开,发展更高层次的开放型经济 / 坚持引进来和走出去相结合 / 推进我国高水平对外开放
2026西城一模 Q20(2),2026西城一模 第20题第（2）问,已统一,经济全球化,开,发展更高层次的开放型经济 / 坚持引进来和走出去相结合 / 推进我国高水平对外开放
2026西城一模 Q20(2),2026西城一模 第20题第（2）问,已统一,经济全球化,开,发展更高层次的开放型经济 / 坚持引进来和走出去相结合 / 推进我国高水平对外开放
2025西城期末 Q20(2),2025西城期末 第20题第（2）问,已统一,经济全球化,开,发展更高层次的开放型经济 / 坚持引进来和走出去相结合 / 推进我国高水平对外开放
2024西城一模 Q19(6),2024西城一模 第19题第（6）问,已统一,经济全球化,开,发展更高层次的开放型经济 / 坚持引进来和走出去相结合 / 推进我国高水平对外开放
2024东城一模 Q20,2024东城一模 第20题,已统一,经济全球化,开,发展更高层次的开放型经济 / 坚持引进来和走出去相结合 / 推进我国高水平对外开放
2026朝阳期末 Q20,2026朝阳期末 第20题,已统一,经济全球化,开,发展更高层次的开放型经济 / 坚持引进来和走出去相结合 / 推进我国高水平对外开放
2025朝阳一模 Q20,2025朝阳一模 第20题,已统一,经济全球化,开,发展更高层次的开放型经济 / 坚持引进来和走出去相结合 / 推进我国高水平对外开放
2026门头沟一模 Q20,2026门头沟一模 第20题,已统一,经济全球化,开,发展更高层次的开放型经济 / 坚持引进来和走出去相结合 / 推进我国高水平对外开放
2026门头沟一模 Q20,2026门头沟一模 第20题,已统一,经济全球化,开,发展更高层次的开放型经济 / 坚持引进来和走出去相结合 / 推进我国高水平对外开放
2026房山一模 Q19,2026房山一模 第19题,已统一,经济全球化,开,发展更高层次的开放型经济 / 坚持引进来和走出去相结合 / 推进我国高水平对外开放
2025房山一模 Q18(2),2025房山一模 第18题第（2）问,已统一,经济全球化,开,发展更高层次的开放型经济 / 坚持引进来和走出去相结合 / 推进我国高水平对外开放
2025昌平二模 Q21,2025昌平二模 第21题,已统一,经济全球化,开,发展更高层次的开放型经济 / 坚持引进来和走出去相结合 / 推进我国高水平对外开放
2025昌平二模 Q21,2025昌平二模 第21题,已统一,经济全球化,开,发展更高层次的开放型经济 / 坚持引进来和走出去相结合 / 推进我国高水平对外开放
2025西城一模 Q21(2),2025西城一模 第21题第（2）问,已统一,经济全球化,总,推动经济全球化朝着更加开放、包容、普惠、平衡、共赢的方向发展
2025西城二模 Q19(2),2025西城二模 第19题第（2）问,已统一,经济全球化,总,推动经济全球化朝着更加开放、包容、普惠、平衡、共赢的方向发展
2025东城一模 Q20,2025东城一模 第20题,已统一,经济全球化,总,推动经济全球化朝着更加开放、包容、普惠、平衡、共赢的方向发展
2026朝阳一模 Q20,2026朝阳一模 第20题,已统一,经济全球化,总,推动经济全球化朝着更加开放、包容、普惠、平衡、共赢的方向发展
2025朝阳期末 Q21,2025朝阳期末 第21题,已统一,经济全球化,总,推动经济全球化朝着更加开放、包容、普惠、平衡、共赢的方向发展
2025朝阳二模 Q21,2025朝阳二模 第21题,已统一,经济全球化,总,推动经济全球化朝着更加开放、包容、普惠、平衡、共赢的方向发展
2024朝阳期中 Q20(3),2024朝阳期中 第20题第（3）问,已统一,经济全球化,总,推动经济全球化朝着更加开放、包容、普惠、平衡、共赢的方向发展
2026石景山一模 Q20,2026石景山一模 第20题,已统一,经济全球化,总,推动经济全球化朝着更加开放、包容、普惠、平衡、共赢的方向发展
2025石景山一模 Q17(2),2025石景山一模 第17题第（2）问,已统一,经济全球化,总,推动经济全球化朝着更加开放、包容、普惠、平衡、共赢的方向发展
2026顺义一模 Q20,2026顺义一模 第20题,已统一,经济全球化,总,推动经济全球化朝着更加开放、包容、普惠、平衡、共赢的方向发展
2025门头沟一模 Q19,2025门头沟一模 第19题,已统一,经济全球化,总,推动经济全球化朝着更加开放、包容、普惠、平衡、共赢的方向发展
2025昌平二模 Q21,2025昌平二模 第21题,已统一,经济全球化,总,推动经济全球化朝着更加开放、包容、普惠、平衡、共赢的方向发展
2025延庆一模 Q20(2),2025延庆一模 第20题第（2）问,已统一,经济全球化,总,推动经济全球化朝着更加开放、包容、普惠、平衡、共赢的方向发展
2026海淀一模 Q20,2026海淀一模 第20题,已统一,经济全球化,兼,充分利用国内国际两个市场 / 充分利用国内国际两种资源
2024海淀一模 Q18(1),2024海淀一模 第18题第（1）问,已统一,经济全球化,兼,充分利用国内国际两个市场 / 充分利用国内国际两种资源
2024西城一模 Q19(6),2024西城一模 第19题第（6）问,已统一,经济全球化,兼,充分利用国内国际两个市场 / 充分利用国内国际两种资源
2024东城一模 Q20,2024东城一模 第20题,已统一,经济全球化,兼,充分利用国内国际两个市场 / 充分利用国内国际两种资源
2026朝阳期中 Q17,2026朝阳期中 第17题,已统一,经济全球化,兼,充分利用国内国际两个市场 / 充分利用国内国际两种资源
2026朝阳一模 Q20,2026朝阳一模 第20题,已统一,经济全球化,兼,充分利用国内国际两个市场 / 充分利用国内国际两种资源
2024朝阳一模 Q21,2024朝阳一模 第21题,已统一,经济全球化,兼,充分利用国内国际两个市场 / 充分利用国内国际两种资源
2026门头沟一模 Q20,2026门头沟一模 第20题,已统一,经济全球化,兼,充分利用国内国际两个市场 / 充分利用国内国际两种资源
2026房山一模 Q19,2026房山一模 第19题,已统一,经济全球化,兼,充分利用国内国际两个市场 / 充分利用国内国际两种资源
2025昌平二模 Q21,2025昌平二模 第21题,已统一,经济全球化,兼,充分利用国内国际两个市场 / 充分利用国内国际两种资源
2024海淀一模 Q18(1),2024海淀一模 第18题第（1）问,已统一,经济全球化,贸资,推动贸易投资自由化便利化
2026西城一模 Q20(2),2026西城一模 第20题第（2）问,已统一,经济全球化,贸资,推动贸易投资自由化便利化
2026朝阳一模 Q20,2026朝阳一模 第20题,已统一,经济全球化,贸资,推动贸易投资自由化便利化
2025朝阳一模 Q20,2025朝阳一模 第20题,已统一,经济全球化,贸资,推动贸易投资自由化便利化
2025朝阳二模 Q21,2025朝阳二模 第21题,已统一,经济全球化,贸资,推动贸易投资自由化便利化
2024朝阳期中 Q20(3),2024朝阳期中 第20题第（3）问,已统一,经济全球化,贸资,推动贸易投资自由化便利化
2024丰台一模 Q20,2024丰台一模 第20题,已统一,经济全球化,贸资,推动贸易投资自由化便利化
2026石景山一模 Q20,2026石景山一模 第20题,已统一,经济全球化,贸资,推动贸易投资自由化便利化
2026门头沟一模 Q20,2026门头沟一模 第20题,已统一,经济全球化,贸资,推动贸易投资自由化便利化
2026房山一模 Q19,2026房山一模 第19题,已统一,经济全球化,贸资,推动贸易投资自由化便利化
2026西城一模 Q20(2),2026西城一模 第20题第（2）问,已统一,经济全球化,环,促进要素自由流动 / 人员、商品、资金、技术、服务流动 / 拉动投资和消费 / 开拓市场 / 产业结构优化升级
2026西城一模 Q20(2),2026西城一模 第20题第（2）问,已统一,经济全球化,配,优化资源配置
2026朝阳一模 Q20,2026朝阳一模 第20题,已统一,经济全球化,环,促进要素自由流动 / 人员、商品、资金、技术、服务流动 / 拉动投资和消费 / 开拓市场 / 产业结构优化升级
2026朝阳一模 Q20,2026朝阳一模 第20题,已统一,经济全球化,配,优化资源配置
2024丰台一模 Q20,2024丰台一模 第20题,已统一,经济全球化,环,促进要素自由流动 / 人员、商品、资金、技术、服务流动 / 拉动投资和消费 / 开拓市场 / 产业结构优化升级
2024丰台一模 Q20,2024丰台一模 第20题,已统一,经济全球化,配,优化资源配置
2026门头沟一模 Q20,2026门头沟一模 第20题,已统一,经济全球化,环,促进要素自由流动 / 人员、商品、资金、技术、服务流动 / 拉动投资和消费 / 开拓市场 / 产业结构优化升级
2026门头沟一模 Q20,2026门头沟一模 第20题,已统一,经济全球化,配,优化资源配置
2026房山一模 Q19,2026房山一模 第19题,已统一,经济全球化,环,促进要素自由流动 / 人员、商品、资金、技术、服务流动 / 拉动投资和消费 / 开拓市场 / 产业结构优化升级
2026房山一模 Q19,2026房山一模 第19题,已统一,经济全球化,配,优化资源配置
2025朝阳一模 Q20,2025朝阳一模 第20题,已统一,经济全球化,环,促进要素自由流动 / 人员、商品、资金、技术、服务流动 / 拉动投资和消费 / 开拓市场 / 产业结构优化升级
2024丰台一模 Q20,2024丰台一模 第20题,已统一,经济全球化,环,促进要素自由流动 / 人员、商品、资金、技术、服务流动 / 拉动投资和消费 / 开拓市场 / 产业结构优化升级
2024丰台一模 Q20,2024丰台一模 第20题,已统一,经济全球化,环,促进要素自由流动 / 人员、商品、资金、技术、服务流动 / 拉动投资和消费 / 开拓市场 / 产业结构优化升级
2025东城期末 Q20,2025东城期末 第20题,已统一,经济全球化,配,优化资源配置
2024东城一模 Q20,2024东城一模 第20题,已统一,经济全球化,贸资,推动贸易投资自由化便利化
2026西城期末 Q20,2026西城期末 第20题,已统一,政治多极化,完善全球治理,完善全球治理 / 倡导共商共建共享的全球治理观
2026东城期末 Q20,2026东城期末 第20题,已统一,政治多极化,完善全球治理,完善全球治理 / 倡导共商共建共享的全球治理观
2026朝阳一模 Q20,2026朝阳一模 第20题,已统一,政治多极化,完善全球治理,完善全球治理 / 倡导共商共建共享的全球治理观
2024朝阳二模 Q20,2024朝阳二模 第20题,已统一,政治多极化,完善全球治理,完善全球治理 / 倡导共商共建共享的全球治理观
2026丰台一模 Q19,2026丰台一模 第19题,已统一,政治多极化,完善全球治理,完善全球治理 / 倡导共商共建共享的全球治理观
2025丰台期末 Q20,2025丰台期末 第20题,已统一,政治多极化,完善全球治理,完善全球治理 / 倡导共商共建共享的全球治理观
2025丰台二模 Q20,2025丰台二模 第20题,已统一,政治多极化,完善全球治理,完善全球治理 / 倡导共商共建共享的全球治理观
2026石景山一模 Q20,2026石景山一模 第20题,已统一,政治多极化,完善全球治理,完善全球治理 / 倡导共商共建共享的全球治理观
2025石景山一模 Q17(2),2025石景山一模 第17题第（2）问,已统一,政治多极化,完善全球治理,完善全球治理 / 倡导共商共建共享的全球治理观
2026通州期末 Q20,2026通州期末 第20题,已统一,政治多极化,完善全球治理,完善全球治理 / 倡导共商共建共享的全球治理观
2025顺义一模 Q20,2025顺义一模 第20题,已统一,政治多极化,完善全球治理,完善全球治理 / 倡导共商共建共享的全球治理观
2026延庆一模 Q19(2),2026延庆一模 第19题第（2）问,已统一,政治多极化,完善全球治理,完善全球治理 / 倡导共商共建共享的全球治理观
2024海淀期中 Q21(2),2024海淀期中 第21题第（2）问,已统一,政治多极化,民主,推动国际关系民主化
2024海淀期中 Q21(2),2024海淀期中 第21题第（2）问,已统一,政治多极化,单边,反对单边主义和贸易保护主义 / 反对霸权主义和强权政治 / 坚持真正的多边主义
2024西城二模 Q19,2024西城二模 第19题,已统一,政治多极化,民主,推动国际关系民主化
2024西城二模 Q19,2024西城二模 第19题,已统一,政治多极化,单边,反对单边主义和贸易保护主义 / 反对霸权主义和强权政治 / 坚持真正的多边主义
2025东城一模 Q20,2025东城一模 第20题,已统一,政治多极化,民主,推动国际关系民主化
2025东城一模 Q20,2025东城一模 第20题,已统一,政治多极化,单边,反对单边主义和贸易保护主义 / 反对霸权主义和强权政治 / 坚持真正的多边主义
2025东城二模 Q20,2025东城二模 第20题,已统一,政治多极化,民主,推动国际关系民主化
2025东城二模 Q20,2025东城二模 第20题,已统一,政治多极化,单边,反对单边主义和贸易保护主义 / 反对霸权主义和强权政治 / 坚持真正的多边主义
2026朝阳期末 Q20,2026朝阳期末 第20题,已统一,政治多极化,民主,推动国际关系民主化
2026朝阳期末 Q20,2026朝阳期末 第20题,已统一,政治多极化,单边,反对单边主义和贸易保护主义 / 反对霸权主义和强权政治 / 坚持真正的多边主义
2026朝阳期末 Q20,2026朝阳期末 第20题,已统一,政治多极化,民主,推动国际关系民主化
2026朝阳期末 Q20,2026朝阳期末 第20题,已统一,政治多极化,单边,反对单边主义和贸易保护主义 / 反对霸权主义和强权政治 / 坚持真正的多边主义
2024朝阳二模 Q20,2024朝阳二模 第20题,已统一,政治多极化,民主,推动国际关系民主化
2024朝阳二模 Q20,2024朝阳二模 第20题,已统一,政治多极化,单边,反对单边主义和贸易保护主义 / 反对霸权主义和强权政治 / 坚持真正的多边主义
2026丰台一模 Q19,2026丰台一模 第19题,已统一,政治多极化,民主,推动国际关系民主化
2026丰台一模 Q19,2026丰台一模 第19题,已统一,政治多极化,单边,反对单边主义和贸易保护主义 / 反对霸权主义和强权政治 / 坚持真正的多边主义
2025丰台二模 Q20,2025丰台二模 第20题,已统一,政治多极化,民主,推动国际关系民主化
2025丰台二模 Q20,2025丰台二模 第20题,已统一,政治多极化,单边,反对单边主义和贸易保护主义 / 反对霸权主义和强权政治 / 坚持真正的多边主义
2025石景山一模 Q17(2),2025石景山一模 第17题第（2）问,已统一,政治多极化,民主,推动国际关系民主化
2025石景山一模 Q17(2),2025石景山一模 第17题第（2）问,已统一,政治多极化,单边,反对单边主义和贸易保护主义 / 反对霸权主义和强权政治 / 坚持真正的多边主义
2026通州期末 Q20,2026通州期末 第20题,已统一,政治多极化,民主,推动国际关系民主化
2026通州期末 Q20,2026通州期末 第20题,已统一,政治多极化,单边,反对单边主义和贸易保护主义 / 反对霸权主义和强权政治 / 坚持真正的多边主义
2025顺义一模 Q20,2025顺义一模 第20题,已统一,政治多极化,民主,推动国际关系民主化
2025顺义一模 Q20,2025顺义一模 第20题,已统一,政治多极化,单边,反对单边主义和贸易保护主义 / 反对霸权主义和强权政治 / 坚持真正的多边主义
2025海淀二模 Q21,2025海淀二模 第21题,已统一,政治多极化,新国关,有利于构建相互尊重、公平正义、合作共赢的新型国际关系
2026朝阳一模 Q20,2026朝阳一模 第20题,已统一,政治多极化,新国关,有利于构建相互尊重、公平正义、合作共赢的新型国际关系
2025朝阳二模 Q21,2025朝阳二模 第21题,已统一,政治多极化,新国关,有利于构建相互尊重、公平正义、合作共赢的新型国际关系
2024朝阳一模 Q21,2024朝阳一模 第21题,已统一,政治多极化,新国关,有利于构建相互尊重、公平正义、合作共赢的新型国际关系
2025丰台期末 Q20,2025丰台期末 第20题,已统一,政治多极化,新国关,有利于构建相互尊重、公平正义、合作共赢的新型国际关系
2026顺义一模 Q20,2026顺义一模 第20题,已统一,政治多极化,新国关,有利于构建相互尊重、公平正义、合作共赢的新型国际关系
2025门头沟一模 Q19,2025门头沟一模 第19题,已统一,政治多极化,新国关,有利于构建相互尊重、公平正义、合作共赢的新型国际关系
2026延庆一模 Q19(2),2026延庆一模 第19题第（2）问,已统一,政治多极化,新国关,有利于构建相互尊重、公平正义、合作共赢的新型国际关系
2025海淀期中 Q21(2),2025海淀期中 第21题第（2）问,已统一,政治多极化,多极化,坚持平等有序的多极化
2024海淀期中 Q21(2),2024海淀期中 第21题第（2）问,已统一,政治多极化,多极化,坚持平等有序的多极化
2025东城二模 Q20,2025东城二模 第20题,已统一,政治多极化,多极化,坚持平等有序的多极化
2025延庆一模 Q20(2),2025延庆一模 第20题第（2）问,已统一,政治多极化,多极化,坚持平等有序的多极化
2024朝阳二模 Q20,2024朝阳二模 第20题,已统一,政治多极化,完善全球治理,完善全球治理 / 倡导共商共建共享的全球治理观
2024朝阳二模 Q20,2024朝阳二模 第20题,已统一,政治多极化,完善全球治理,完善全球治理 / 倡导共商共建共享的全球治理观
2025海淀期中 Q21(2),2025海淀期中 第21题第（2）问,已统一,政治多极化,共体,有利于构建人类命运共同体
2024海淀期中 Q21(2),2024海淀期中 第21题第（2）问,已统一,政治多极化,共体,有利于构建人类命运共同体
2024西城二模 Q19,2024西城二模 第19题,已统一,政治多极化,共体,有利于构建人类命运共同体
2026东城期末 Q20,2026东城期末 第20题,已统一,政治多极化,共体,有利于构建人类命运共同体
2026东城期末 Q20,2026东城期末 第20题,已统一,政治多极化,共体,有利于构建人类命运共同体
2026东城期末 Q20,2026东城期末 第20题,已统一,政治多极化,共体,有利于构建人类命运共同体
2026东城期末 Q20,2026东城期末 第20题,已统一,政治多极化,共体,有利于构建人类命运共同体
2026东城期末 Q20,2026东城期末 第20题,已统一,政治多极化,共体,有利于构建人类命运共同体
2025东城一模 Q20,2025东城一模 第20题,已统一,政治多极化,共体,有利于构建人类命运共同体
2025东城二模 Q20,2025东城二模 第20题,已统一,政治多极化,共体,有利于构建人类命运共同体
2024东城二模 Q20,2024东城二模 第20题,已统一,政治多极化,共体,有利于构建人类命运共同体
2024东城二模 Q20,2024东城二模 第20题,已统一,政治多极化,共体,有利于构建人类命运共同体
2026朝阳期中 Q17,2026朝阳期中 第17题,已统一,政治多极化,共体,有利于构建人类命运共同体
2026朝阳一模 Q20,2026朝阳一模 第20题,已统一,政治多极化,共体,有利于构建人类命运共同体
2025朝阳期末 Q21,2025朝阳期末 第21题,已统一,政治多极化,共体,有利于构建人类命运共同体
2025朝阳二模 Q21,2025朝阳二模 第21题,已统一,政治多极化,共体,有利于构建人类命运共同体
2025朝阳二模 Q21,2025朝阳二模 第21题,已统一,政治多极化,共体,有利于构建人类命运共同体
2025丰台期末 Q20,2025丰台期末 第20题,已统一,政治多极化,共体,有利于构建人类命运共同体
2025丰台期末 Q20,2025丰台期末 第20题,已统一,政治多极化,共体,有利于构建人类命运共同体
2024丰台二模 Q19,2024丰台二模 第19题,已统一,政治多极化,共体,有利于构建人类命运共同体
2026石景山一模 Q20,2026石景山一模 第20题,已统一,政治多极化,共体,有利于构建人类命运共同体
2026通州期末 Q20,2026通州期末 第20题,已统一,政治多极化,共体,有利于构建人类命运共同体
2026顺义一模 Q20,2026顺义一模 第20题,已统一,政治多极化,共体,有利于构建人类命运共同体
2025门头沟一模 Q19,2025门头沟一模 第19题,已统一,政治多极化,共体,有利于构建人类命运共同体
2026延庆一模 Q19(2),2026延庆一模 第19题第（2）问,已统一,政治多极化,共体,有利于构建人类命运共同体
2025延庆一模 Q20(2),2025延庆一模 第20题第（2）问,已统一,政治多极化,共体,有利于构建人类命运共同体
2025西城二模 Q19(2),2025西城二模 第19题第（2）问,已统一,中国,责任,承担大国责任 / 发挥建设性作用 / 世界第一大发展中国家 / 世界第二大经济体
2026朝阳一模 Q20,2026朝阳一模 第20题,已统一,中国,责任,承担大国责任 / 发挥建设性作用 / 世界第一大发展中国家 / 世界第二大经济体
2025顺义一模 Q20,2025顺义一模 第20题,已统一,中国,责任,承担大国责任 / 发挥建设性作用 / 世界第一大发展中国家 / 世界第二大经济体
2025门头沟一模 Q19,2025门头沟一模 第19题,已统一,中国,责任,承担大国责任 / 发挥建设性作用 / 世界第一大发展中国家 / 世界第二大经济体
2026延庆一模 Q19(2),2026延庆一模 第19题第（2）问,已统一,中国,责任,承担大国责任 / 发挥建设性作用 / 世界第一大发展中国家 / 世界第二大经济体
2026西城期末 Q20,2026西城期末 第20题,已统一,中国,智慧,中国智慧 / 中国方案
2025西城一模 Q21(1),2025西城一模 第21题第（1）问,已统一,中国,智慧,中国智慧 / 中国方案
2026朝阳一模 Q20,2026朝阳一模 第20题,已统一,中国,智慧,中国智慧 / 中国方案
2024丰台二模 Q19,2024丰台二模 第19题,已统一,中国,智慧,中国智慧 / 中国方案
2026通州期末 Q20,2026通州期末 第20题,已统一,中国,智慧,中国智慧 / 中国方案
2025海淀期中 Q21(2),2025海淀期中 第21题第（2）问,已统一,中国,政策,我国奉行独立自主的和平外交政策 / 坚持和平共处五项原则 / 坚持独立自主的基本立场 / 维护世界和平、促进共同发展
2025海淀期中 Q21(2),2025海淀期中 第21题第（2）问,已统一,中国,政策,我国奉行独立自主的和平外交政策 / 坚持和平共处五项原则 / 坚持独立自主的基本立场 / 维护世界和平、促进共同发展
2025海淀期中 Q21(2),2025海淀期中 第21题第（2）问,已统一,中国,政策,我国奉行独立自主的和平外交政策 / 坚持和平共处五项原则 / 坚持独立自主的基本立场 / 维护世界和平、促进共同发展
2024海淀期中 Q21(2),2024海淀期中 第21题第（2）问,已统一,中国,政策,我国奉行独立自主的和平外交政策 / 坚持和平共处五项原则 / 坚持独立自主的基本立场 / 维护世界和平、促进共同发展
2024海淀期中 Q21(2),2024海淀期中 第21题第（2）问,已统一,中国,政策,我国奉行独立自主的和平外交政策 / 坚持和平共处五项原则 / 坚持独立自主的基本立场 / 维护世界和平、促进共同发展
2024朝阳一模 Q21,2024朝阳一模 第21题,已统一,中国,政策,我国奉行独立自主的和平外交政策 / 坚持和平共处五项原则 / 坚持独立自主的基本立场 / 维护世界和平、促进共同发展
2026丰台一模 Q19,2026丰台一模 第19题,已统一,中国,政策,我国奉行独立自主的和平外交政策 / 坚持和平共处五项原则 / 坚持独立自主的基本立场 / 维护世界和平、促进共同发展
2026朝阳期中 Q17,2026朝阳期中 第17题,已统一,理论,共同利益,维护本国利益的同时兼顾他国合理关切
2025朝阳期末 Q21,2025朝阳期末 第21题,已统一,理论,共同利益,维护本国利益的同时兼顾他国合理关切
2026通州期末 Q20,2026通州期末 第20题,已统一,理论,共同利益,维护本国利益的同时兼顾他国合理关切
2025丰台二模 Q20,2025丰台二模 第20题,已统一,中国,责任,承担大国责任 / 发挥建设性作用 / 世界第一大发展中国家 / 世界第二大经济体
2024丰台二模 Q19,2024丰台二模 第19题,已统一,中国,责任,承担大国责任 / 发挥建设性作用 / 世界第一大发展中国家 / 世界第二大经济体
2026西城期末 Q20,2026西城期末 第20题,已统一,中国,责任,承担大国责任 / 发挥建设性作用 / 世界第一大发展中国家 / 世界第二大经济体
2024朝阳期中 Q20(3),2024朝阳期中 第20题第（3）问,已统一,中国,智慧,中国智慧 / 中国方案
2025丰台期末 Q20,2025丰台期末 第20题,已统一,中国,责任,承担大国责任 / 发挥建设性作用 / 世界第一大发展中国家 / 世界第二大经济体
2025东城期末 Q20,2025东城期末 第20题,已统一,理论,共同利益,维护本国利益的同时兼顾他国合理关切
2025顺义一模 Q20,2025顺义一模 第20题,已统一,经济全球化,民,民生福祉 / 增加就业岗位 / 提高居民收入 / 完善基础设施
2026西城期末 Q20,2026西城期末 第20题,已统一,中国,责任,承担大国责任 / 发挥建设性作用 / 世界第一大发展中国家 / 世界第二大经济体
2025海淀二模 Q21,2025海淀二模 第21题,已统一,联合国,联合国原框架术语,遵循联合国宪章宗旨原则
2025海淀二模 Q21,2025海淀二模 第21题,已统一,联合国,联合国原框架术语,践行多边主义的最佳场所
2024东城二模 Q20,2024东城二模 第20题,已统一,联合国,联合国原框架术语,遵循联合国宪章宗旨原则
2024东城二模 Q20,2024东城二模 第20题,已统一,联合国,联合国原框架术语,践行多边主义的最佳场所
2026丰台一模 Q19,2026丰台一模 第19题,已统一,联合国,联合国原框架术语,遵循联合国宪章宗旨原则
2026丰台一模 Q19,2026丰台一模 第19题,已统一,联合国,联合国原框架术语,践行多边主义的最佳场所
2025丰台二模 Q20,2025丰台二模 第20题,已统一,联合国,联合国原框架术语,遵循联合国宪章宗旨原则
2025丰台二模 Q20,2025丰台二模 第20题,已统一,联合国,联合国原框架术语,践行多边主义的最佳场所
2026通州期末 Q20,2026通州期末 第20题,已统一,联合国,联合国原框架术语,遵循联合国宪章宗旨原则
2026通州期末 Q20,2026通州期末 第20题,已统一,联合国,联合国原框架术语,践行多边主义的最佳场所
2025海淀二模 Q21,2025海淀二模 第21题,已统一,联合国,联合国原框架术语,践行多边主义的最佳场所
2025朝阳期末 Q21,2025朝阳期末 第21题,已统一,联合国,联合国原框架术语,践行多边主义的最佳场所
2025石景山一模 Q17(2),2025石景山一模 第17题第（2）问,已统一,联合国,联合国原框架术语,践行多边主义的最佳场所
2026西城期末 Q20,2026西城期末 第20题,已统一,联合国,联合国原框架术语,遵循联合国宪章宗旨原则
2026西城期末 Q20,2026西城期末 第20题,已统一,联合国,联合国原框架术语,践行多边主义的最佳场所
2025海淀二模 Q21,2025海淀二模 第21题,已统一,联合国,联合国原框架术语,践行多边主义的最佳场所
