entry_id,source_id,year,district_or_exam_scope,exam_type,question_no,sub_question_no,question_type,module,unit_or_topic,material_trigger,scoring_term,term_function,why_this_term,answer_landing,evidence_level,evidence_source_type,needs_visual_check,needs_claudecode_compare,old_final_quality_reference_used,status
2025_海淀_期中_Q21(2)_01,SRC_cda046c2d36d,2025,海淀,期中,Q21(2),,主观题,选必一,时代背景,题目要求分析新中国外交的“变”，材料按1949—1978年、1978—2012年、2012年以来三个阶段呈现国际环境和外交任务变化；回答“世界之变”时，要把阶段性外交调整放进政治多极化、经济全球化深入发展与和平发展时代主题的背景中。,新中国外交的时代背景不断变化；政治多极化、经济全球化深入发展；和平与发展成为时代主题,时代背景,题目要求分析新中国外交的“变”，材料按1949—1978年、1978—2012年、2012年以来三个阶段呈现国际环境和外交任务变化；回答“世界之变”时，要把阶段性外交调整放进政治多极化、经济全球化深入发展与和平发展时代主题的背景中。,新中国外交面对的时代背景不断变化，政治多极化、经济全球化深入发展，和平与发展成为时代主题，因此不同历史阶段的外交任务和工作重点不断调整。,P0_current_run_source_checked,formal_scoring_or_marking_detail,no,yes,no,phase02_hard_sample_codex_checked
2025_海淀_期中_Q21(2)_02,SRC_cda046c2d36d,2025,海淀,期中,Q21(2),,主观题,选必一,中国 / 地位与责任,材料从“站起来”“富起来”到“强起来”呈现中国在世界舞台中的地位变化，并写新时代中国拓宽同大国、周边国家、非洲国家合作，形成全方位、多层次、立体化外交布局，触发综合国力、国际地位、国际责任和人类命运共同体相关表达。,中国的综合国力不断增强；国际地位不断提升；承担越来越多的国际责任；国际影响力话语权不断提升；人类命运共同体,中国 / 地位与责任,材料从“站起来”“富起来”到“强起来”呈现中国在世界舞台中的地位变化，并写新时代中国拓宽同大国、周边国家、非洲国家合作，形成全方位、多层次、立体化外交布局，触发综合国力、国际地位、国际责任和人类命运共同体相关表达。,中国综合国力不断增强、国际地位不断提升，承担越来越多的国际责任，国际影响力和话语权不断提升，推动构建人类命运共同体的能力和责任也随之增强。,P0_current_run_source_checked,formal_scoring_or_marking_detail,no,yes,no,phase02_hard_sample_codex_checked
2025_海淀_期中_Q21(2)_03,SRC_cda046c2d36d,2025,海淀,期中,Q21(2),,主观题,选必一,中国 / 指导思想,材料第三阶段写中共十八大以来党中央深刻把握新时代中国和世界发展大势，在对外工作上进行重大理论和实践创新，形成习近平外交思想；这说明外交指导思想随时代和实践发展而变化。,外交指导思想与时俱进；习近平外交思想为新时代中国特色大国外交提供了根本遵循和行动指南,中国 / 指导思想,材料第三阶段写中共十八大以来党中央深刻把握新时代中国和世界发展大势，在对外工作上进行重大理论和实践创新，形成习近平外交思想；这说明外交指导思想随时代和实践发展而变化。,新中国外交指导思想与时俱进，习近平外交思想为新时代中国特色大国外交提供了根本遵循和行动指南，使外交实践能够回应新时代中国和世界发展大势。,P0_current_run_source_checked,formal_scoring_or_marking_detail,no,yes,no,phase02_hard_sample_codex_checked
2025_海淀_期中_Q21(2)_04,SRC_cda046c2d36d,2025,海淀,期中,Q21(2),,主观题,选必一,中国 / 政策,题目要求分析“不变”，材料三个阶段虽然外交任务不同，但都围绕维护国家安全、服务现代化建设、维护主权安全发展利益展开；这些共同指向新中国外交服务国家性质、党的领导和国家利益的不变底色。,新中国外交始终服务于我国人民民主专政的国家性质；坚持党对外交统一集中领导；国家利益,中国 / 政策,题目要求分析“不变”，材料三个阶段虽然外交任务不同，但都围绕维护国家安全、服务现代化建设、维护主权安全发展利益展开；这些共同指向新中国外交服务国家性质、党的领导和国家利益的不变底色。,新中国外交始终服务于我国人民民主专政的国家性质，坚持党对外交统一集中领导，始终维护我国主权、安全和发展利益等国家利益。,P0_current_run_source_checked,formal_scoring_or_marking_detail,no,yes,no,phase02_hard_sample_codex_checked
2025_海淀_期中_Q21(2)_05,SRC_cda046c2d36d,2025,海淀,期中,Q21(2),,主观题,选必一,中国 / 政策,三个阶段的外交对象、机制和重点不断变化，但始终围绕维护主权独立、争取和平环境、促进共同发展和处理国家关系展开；回答“不变”的外交原则时，需要写出独立自主、和平发展宗旨目标和和平共处五项原则。,坚持独立自主的基本立场；贯彻维护世界和平、促进共同发展的宗旨；促进世界的和平与发展为基本目标；坚持以和平共处五项原则作为我国对外关系基本准则；独立自主的和平外交政策；反对霸权主义强权政治,中国 / 政策,三个阶段的外交对象、机制和重点不断变化，但始终围绕维护主权独立、争取和平环境、促进共同发展和处理国家关系展开；回答“不变”的外交原则时，需要写出独立自主、和平发展宗旨目标和和平共处五项原则。,新中国外交始终坚持独立自主的基本立场，贯彻维护世界和平、促进共同发展的宗旨，以促进世界的和平与发展为基本目标，坚持以和平共处五项原则作为我国对外关系基本准则，走独立自主的和平外交政策道路，反对霸权主义和强权政治。,P0_current_run_source_checked,formal_scoring_or_marking_detail,no,yes,no,phase02_hard_sample_codex_checked
2025_海淀_期末_Q22_01,SRC_61b68f14212d,2025,海淀,期末,Q22,,主观题,选必一,中国 / 智慧,题目要求围绕“愚公移山”写综合短文，不是单纯解释成语，而是把中国精神品格怎样转化为现实行动和世界意义讲清楚；当论述角度上升到中国精神、中国道路和共同挑战时，“人类命运共同体、中国智慧中国方案”能够承接中国精神的世界意义。,人类命运共同体、中国智慧中国方案,中国 / 智慧,题目要求围绕“愚公移山”写综合短文，不是单纯解释成语，而是把中国精神品格怎样转化为现实行动和世界意义讲清楚；当论述角度上升到中国精神、中国道路和共同挑战时，“人类命运共同体、中国智慧中国方案”能够承接中国精神的世界意义。,“愚公移山”体现的迎难而上、团结奋斗精神，可以转化为中国面对共同挑战时推动构建人类命运共同体的中国智慧和中国方案，为世界发展贡献中国力量。,P2_current_run_source_checked_with_header_anomaly,scoring_ppt_with_header_anomaly,no,yes,no,phase02_codex_checked
2024_东城_一模_Q16_01,SRC_1f17f2c91d92,2024,东城,一模,Q16,,主观题,选必一,政治多极化,题目让理解“民族所做的事情也是为人类社会所做的事情”，材料同时给出《论语》影响欧洲和中国式现代化创造人类文明新形态，说明中国文明成果不仅属于本民族，也进入世界文明交流和国际秩序建构；因此触发新型国际关系、国际关系民主化和人类命运共同体。,推进构建新型国际关系（国际关系民主化）；推动构建人类命运共同体,政治多极化,题目让理解“民族所做的事情也是为人类社会所做的事情”，材料同时给出《论语》影响欧洲和中国式现代化创造人类文明新形态，说明中国文明成果不仅属于本民族，也进入世界文明交流和国际秩序建构；因此触发新型国际关系、国际关系民主化和人类命运共同体。,中国式现代化创造人类文明新形态并促进世界文明交流互鉴，体现中国在推进构建新型国际关系、倡导国际关系民主化和推动构建人类命运共同体中贡献中国智慧。,P0_current_run_source_checked,formal_marking_detail,no,yes,no,phase02_codex_checked
2024_东城_一模_Q20_01,SRC_1f17f2c91d92,2024,东城,一模,Q20,,主观题,选必一,经济全球化,题目追问新发展格局与高质量发展之间的路径，材料二写放宽外资准入和利用我国超大市场优势；这不是只写扩大开放口号，而是说明国内大循环如何吸引全球要素并联动两个市场两种资源。,对标国际规则；推进制度型开放；深入融入经济全球化,经济全球化,题目追问新发展格局与高质量发展之间的路径，材料二写放宽外资准入和利用我国超大市场优势；这不是只写扩大开放口号，而是说明国内大循环如何吸引全球要素并联动两个市场两种资源。,我国主动对标国际规则、推进制度型开放，深入融入经济全球化，使国内相关领域改革和外资准入放宽更好服务新发展格局。,P0_current_run_source_checked,formal_marking_detail,no,yes,no,phase02_codex_checked
2024_东城_一模_Q20_02,SRC_1f17f2c91d92,2024,东城,一模,Q20,,主观题,选必一,经济全球化,题目要求把新发展格局中的国际循环路径说清，材料二写放宽市场准入、依托我国超大市场优势和吸引外资；因此触发国内大循环吸引全球资源要素、联动两个市场两种资源的经济全球化机制。,以国内大循环吸引全球资源要素；增强国内国际两个市场两种资源联动效应；提升贸易投资合作质量和水平,经济全球化,题目要求把新发展格局中的国际循环路径说清，材料二写放宽市场准入、依托我国超大市场优势和吸引外资；因此触发国内大循环吸引全球资源要素、联动两个市场两种资源的经济全球化机制。,我国依托超大规模市场优势，以国内大循环吸引全球资源要素，增强国内国际两个市场两种资源联动效应，提升贸易投资合作质量和水平，从而助力经济高质量发展。,P0_current_run_source_checked,formal_marking_detail,no,yes,no,phase02_codex_checked
2026_西城_期末_Q20_01,SRC_0eccc84583b5,2026,西城,期末,Q20,,主观题,选必一,中国 / 责任,题目让阐释参与全球气候治理的中国实践，材料把中国连续提交NDC目标、落实《巴黎协定》和推进气候行动放在全球治理语境下；回答中国实践首先要判断中国在全球气候治理中的角色。,中国的角色：建设者/引领者/做负责任的大国,中国 / 责任,题目让阐释参与全球气候治理的中国实践，材料把中国连续提交NDC目标、落实《巴黎协定》和推进气候行动放在全球治理语境下；回答中国实践首先要判断中国在全球气候治理中的角色。,中国严格落实《巴黎协定》并持续提交国家自主贡献目标，说明中国是全球气候治理的积极建设者、引领者，是做负责任的大国。,P0_current_run_visual_checked,formal_scoring_detail_scanned_pdf,no,yes,no,phase02_codex_checked
2026_西城_期末_Q20_02,SRC_0eccc84583b5,2026,西城,期末,Q20,,主观题,选必一,时代背景,气候变化不是单个国家内部问题，而是影响全球生态安全和发展的非传统安全挑战；题目追问中国为什么参与全球气候治理时，需要先放进和平、发展、合作、共赢的时代潮流中判断。,和平发展合作共赢是时代潮流；非传统安全威胁,时代背景,气候变化不是单个国家内部问题，而是影响全球生态安全和发展的非传统安全挑战；题目追问中国为什么参与全球气候治理时，需要先放进和平、发展、合作、共赢的时代潮流中判断。,气候变化属于需要各国共同应对的非传统安全威胁，和平、发展、合作、共赢是时代潮流，中国参与全球气候治理顺应了共同应对气候挑战的时代要求。,P0_current_run_visual_checked,formal_scoring_detail_scanned_pdf,no,yes,no,phase02_codex_checked
2026_西城_期末_Q20_03,SRC_0eccc84583b5,2026,西城,期末,Q20,,主观题,选必一,理论,题目讨论“参与全球气候治理”，核心不是单独展示中国减排成绩，而是解释各国为什么需要在气候议题上合作；气候风险影响共同生存和发展，触发共同利益这一合作基础。,共同利益,理论,题目讨论“参与全球气候治理”，核心不是单独展示中国减排成绩，而是解释各国为什么需要在气候议题上合作；气候风险影响共同生存和发展，触发共同利益这一合作基础。,国家间共同利益是国家合作的基础，全球气候治理关系各国生态安全和可持续发展，中国提交NDC目标和推进绿色转型契合各国共同利益。,P0_current_run_visual_checked,formal_scoring_detail_scanned_pdf,no,yes,no,phase02_codex_checked
2026_西城_期末_Q20_04,SRC_0eccc84583b5,2026,西城,期末,Q20,,主观题,选必一,政治多极化,题目把中国实践放在全球气候治理中，材料写中国落实《巴黎协定》和以多边合作共同应对气候变化；回答中国实践背后的理念时，触发人类命运共同体、共商共建共享和真正多边主义等全球治理取向。,命运共同体/全人类共同价值/正确义利观/共商共建共享/践行真正的多边主义/坚持互利共赢,政治多极化,题目把中国实践放在全球气候治理中，材料写中国落实《巴黎协定》和以多边合作共同应对气候变化；回答中国实践背后的理念时，触发人类命运共同体、共商共建共享和真正多边主义等全球治理取向。,中国坚持人类命运共同体理念，秉持共商共建共享和真正的多边主义，通过落实《巴黎协定》和提交NDC目标推动各国互利共赢地应对气候变化。,P0_current_run_visual_checked,formal_scoring_detail_scanned_pdf,no,yes,no,phase02_codex_checked
2026_西城_期末_Q20_05,SRC_0eccc84583b5,2026,西城,期末,Q20,,主观题,选必一,联合国,NDC是《巴黎协定》的核心，题目又写中国向联合国提交目标；因此作答不能只写国内绿色发展，还要写出中国履行国际义务、遵循国际法并维护联合国在国际事务中的核心作用。,自觉履行国际义务/遵循国际法/承担国际责任；维护联合国的核心作用/完善全球治理体系,联合国,NDC是《巴黎协定》的核心，题目又写中国向联合国提交目标；因此作答不能只写国内绿色发展，还要写出中国履行国际义务、遵循国际法并维护联合国在国际事务中的核心作用。,中国按照《巴黎协定》要求向联合国提交NDC目标，自觉履行国际义务、遵循国际法并承担国际责任，有助于维护联合国的核心作用、完善全球气候治理体系。,P0_current_run_visual_checked,formal_scoring_detail_scanned_pdf,no,yes,no,phase02_codex_checked
2026_西城_期末_Q20_06,SRC_0eccc84583b5,2026,西城,期末,Q20,,主观题,选必一,中国 / 智慧,材料不仅列举中国减排成效，还写全球最大碳市场、绿色交通、气候适应战略等制度和实践方案；题目追问中国实践的效果时，要把这些做法上升为对全球气候治理的中国智慧和中国力量。,贡献中国智慧/中国力量,中国 / 智慧,材料不仅列举中国减排成效，还写全球最大碳市场、绿色交通、气候适应战略等制度和实践方案；题目追问中国实践的效果时，要把这些做法上升为对全球气候治理的中国智慧和中国力量。,中国建设全球最大的碳市场，推进能源结构、绿色交通和气候适应行动，为全球气候治理贡献中国智慧和中国力量。,P0_current_run_visual_checked,formal_scoring_detail_scanned_pdf,no,yes,no,phase02_codex_checked
2026_朝阳_一模_Q20_01,SRC_ebbe85a1ee6f,2026,朝阳,一模,Q20,,主观题,选必一,理论,题目问“中国为什么能”，首先要解释能力来源；材料列举人形机器人、AI眼镜、开源大模型和创新药，说明中国科技实力和创新能力增强，触发国际竞争实质与创新驱动战略。,当前国际竞争的实质是以经济和科技实力为基础的综合国力较量；坚持创新驱动战略,理论,题目问“中国为什么能”，首先要解释能力来源；材料列举人形机器人、AI眼镜、开源大模型和创新药，说明中国科技实力和创新能力增强，触发国际竞争实质与创新驱动战略。,当前国际竞争的实质是以经济和科技实力为基础的综合国力较量，中国坚持创新驱动战略，科技实力日益增强，能够为全球产业链供应链稳定和全球发展提供支撑。,P0_current_run_source_checked,formal_scoring_or_marking_detail,no,yes,no,phase02_codex_checked
2026_朝阳_一模_Q20_02,SRC_ebbe85a1ee6f,2026,朝阳,一模,Q20,,主观题,选必一,中国 / 责任,题目要求说明中国为全球发展注入稳定性和正能量，材料写鲁班工坊、菌草技术和中国式现代化经验走向全球南方，说明中国不是只发展自己，而是把经验和技术转化为公共产品，触发大国责任、正确义利观、中国智慧中国方案和人类命运共同体。,大国责任与担当（正确义利观、中国智慧中国方案）；推动构建人类命运共同体,中国 / 责任,题目要求说明中国为全球发展注入稳定性和正能量，材料写鲁班工坊、菌草技术和中国式现代化经验走向全球南方，说明中国不是只发展自己，而是把经验和技术转化为公共产品，触发大国责任、正确义利观、中国智慧中国方案和人类命运共同体。,中国通过鲁班工坊、菌草技术和中国式现代化经验分享帮助发展中国家提升自主发展能力，展现大国责任与担当，贡献中国智慧中国方案，推动构建人类命运共同体。,P0_current_run_source_checked,formal_scoring_or_marking_detail,no,yes,no,phase02_codex_checked
2026_朝阳_一模_Q20_03,SRC_ebbe85a1ee6f,2026,朝阳,一模,Q20,,主观题,选必一,经济全球化,材料三写中国签署自贸协定、单方面免签和人才流、商品流、资金流双向奔赴，题目追问中国怎样带来稳定性时，要说明中国超大市场如何联通国内国际两个市场两种资源。,两个市场、两种资源,经济全球化,材料三写中国签署自贸协定、单方面免签和人才流、商品流、资金流双向奔赴，题目追问中国怎样带来稳定性时，要说明中国超大市场如何联通国内国际两个市场两种资源。,中国不断扩大自贸“朋友圈”、释放超大规模市场潜力，促进人才流、商品流、资金流双向奔赴，更好联动国内国际两个市场两种资源，为全球发展注入稳定性和正能量。,P0_current_run_source_checked,formal_scoring_or_marking_detail,no,yes,no,phase02_codex_checked
2026_顺义_一模_Q20_01,SRC_8d2be8df9cad,2026,顺义,一模,Q20,,主观题,选必一,理论,题目问“南南合作典范的深层逻辑”，实质是在问合作为什么能够成立、为什么能够持续；科技小院回应全球南方国家农业增产、减本、育才和可持续发展的共同需求，触发共同利益。,共同利益,理论,题目问“南南合作典范的深层逻辑”，实质是在问合作为什么能够成立、为什么能够持续；科技小院回应全球南方国家农业增产、减本、育才和可持续发展的共同需求，触发共同利益。,国家间共同利益是国家合作的基础，科技小院契合全球南方国家提升农业生产、培养人才和实现可持续发展的共同需求，因此能够成为南南合作典范。,P0_current_run_source_checked,formal_scoring_or_marking_detail,no,yes,no,phase02_codex_checked
2026_顺义_一模_Q20_02,SRC_8d2be8df9cad,2026,顺义,一模,Q20,,主观题,选必一,时代背景,南南合作的题目背景是全球南方国家共同谋求发展，科技小院解决农业发展和可持续发展问题；回答深层逻辑时，需要先放到和平与发展仍是时代主题的世界大势中理解。,时代主题：和平和发展,时代背景,南南合作的题目背景是全球南方国家共同谋求发展，科技小院解决农业发展和可持续发展问题；回答深层逻辑时，需要先放到和平与发展仍是时代主题的世界大势中理解。,和平与发展仍是时代主题，全球南方国家共同追求农业发展和可持续发展，科技小院顺应这一世界大势，因而能够成为南南合作典范。,P0_current_run_source_checked,formal_scoring_or_marking_detail,no,yes,no,phase02_codex_checked
2026_顺义_一模_Q20_03,SRC_8d2be8df9cad,2026,顺义,一模,Q20,,主观题,选必一,中国 / 智慧,材料把科技小院称为“中国方案”，并写其从中国乡村走向世界、让更多全球南方国家受益；这要求把具体农业合作上升到中国贡献方案、推动构建人类命运共同体的外交理念。,构建人类命运共同体；贡献中国方案,中国 / 智慧,材料把科技小院称为“中国方案”，并写其从中国乡村走向世界、让更多全球南方国家受益；这要求把具体农业合作上升到中国贡献方案、推动构建人类命运共同体的外交理念。,中国以科技小院分享农业治理经验和人才培养方案，贡献中国方案，推动全球南方国家共同发展，体现推动构建人类命运共同体的理念。,P0_current_run_source_checked,formal_scoring_or_marking_detail,no,yes,no,phase02_codex_checked
2026_顺义_一模_Q20_04,SRC_8d2be8df9cad,2026,顺义,一模,Q20,,主观题,选必一,经济全球化,科技小院不是单向援助，而是结合当地实际、培养本土人才、支持农业生态整体建设；这种合作方式体现共享发展成果，也符合经济全球化朝普惠、平衡、共赢方向发展的要求。,经济全球化方向：普惠、平衡、共赢；合作共赢/互利共赢/共享发展成果,经济全球化,科技小院不是单向援助，而是结合当地实际、培养本土人才、支持农业生态整体建设；这种合作方式体现共享发展成果，也符合经济全球化朝普惠、平衡、共赢方向发展的要求。,科技小院坚持合作共赢、互利共赢和共享发展成果，推动农业技术、人才和经验在全球南方国家之间普惠流动，促进经济全球化朝普惠、平衡、共赢方向发展。,P0_current_run_source_checked,formal_scoring_or_marking_detail,no,yes,no,phase02_codex_checked
2025_海淀_二模_Q21_01,SRC_05a280b2e00d,2025,海淀,二模,Q21,,主观题,选必一,联合国,题目要求论证“中国需要联合国”，首先要说明中国为什么需要这个平台；材料呈现联合国80周年及其在国际事务中的作用，触发联合国地位和作用。,联合国是当今世界最具普遍性、代表性和权威性的政府间国际组织；集体安全机制的核心；实践多边主义的最佳场所；发展、和平、人权三大支柱,联合国,题目要求论证“中国需要联合国”，首先要说明中国为什么需要这个平台；材料呈现联合国80周年及其在国际事务中的作用，触发联合国地位和作用。,联合国是当今世界最具普遍性、代表性和权威性的政府间国际组织，是集体安全机制的核心和实践多边主义的最佳场所，能够在发展、和平、人权等领域为中国开展国际合作提供重要平台。,P0_current_run_source_checked,formal_scoring_or_marking_detail,no,yes,no,phase02_codex_checked
