suite_id,year,district,exam_type,question_no,module_status,contains_xuanbiyi_subjective,paper_source_ids,scoring_source_ids,verified_evidence_counts,status,blocker
2025_门头沟_一模,2025,门头沟,一模,,pending_question_scan,unknown,,,"{""P3_paper_only_pending_question_scan"": 1, ""pending_content_recheck"": 1}",not_started,
2025_顺义_一模,2025,顺义,一模,,pending_question_scan,unknown,,,"{""P3_paper_only_pending_question_scan"": 1, ""pending_content_recheck"": 1}",not_started,
2026_海淀_一模,2026,海淀,一模,,pending_question_scan,unknown,,,"{""P3_paper_only_pending_question_scan"": 1, ""pending_content_recheck"": 1}",not_started,
2026_海淀_期中,2026,海淀,期中,,pending_question_scan,unknown,,,"{""P2_teaching_or_lecture_pending_role_check"": 1, ""P3_paper_only_pending_question_scan"": 1}",not_started,
2026_海淀_期末,2026,海淀,期末,,pending_question_scan,unknown,,,"{""unknown_needs_current_no_module_check"": 2}",no_module_user_confirmed_pending_current_check,User-confirmed no xuanbiyi; current-run check should confirm exclusion.
2026_西城_一模,2026,西城,一模,,pending_question_scan,unknown,,,"{""P3_paper_only_pending_question_scan"": 2, ""pending_content_recheck"": 1}",not_started,
2026_西城_期末,2026,西城,期末,Q20,source_checked_with_missing_paper_supplement,yes,SRC_SUPP_2026_XC_TEACHER_PAPER,SRC_0eccc84583b5;SRC_751bc9aaa01f,"{""P0_current_run_visual_checked"": 6}",source_checked,
2026_东城_一模,2026,东城,一模,,pending_question_scan,unknown,,,"{""P3_paper_only_pending_question_scan"": 2, ""pending_content_recheck"": 10}",not_started,
2026_东城_期末,2026,东城,期末,,pending_question_scan,unknown,,,"{""P3_paper_only_pending_question_scan"": 1, ""pending_content_recheck"": 1}",not_started,
2026_朝阳_一模,2026,朝阳,一模,,pending_question_scan,unknown,,,"{""P3_paper_only_pending_question_scan"": 1, ""pending_content_recheck"": 1}",not_started,
2026_朝阳_期中,2026,朝阳,期中,Q17,选必一,yes,SRC_cdafdcaa0136,SRC_1babd6c525fe|SRC_763b7470b96b,"{""P0_verified_marking_detail"": 2, ""P3_paper_only"": 1}",codex_source_checked,
2026_朝阳_期末,2026,朝阳,期末,,pending_question_scan,unknown,,,"{""P3_paper_only_pending_question_scan"": 1, ""pending_content_recheck"": 1}",not_started,
2026_丰台_一模,2026,丰台,一模,,pending_question_scan,unknown,,,"{""P3_paper_only_pending_question_scan"": 1, ""pending_content_recheck"": 1}",not_started,
2026_丰台_期末,2026,丰台,期末,,pending_question_scan,unknown,,,"{""P3_paper_only_pending_question_scan"": 1, ""pending_content_recheck"": 1}",not_started,
2026_延庆_一模,2026,延庆,一模,,pending_question_scan,unknown,,,"{""P3_paper_only_pending_question_scan"": 1, ""pending_content_recheck"": 1}",not_started,
2026_房山_一模,2026,房山,一模,,pending_question_scan,unknown,,,"{""P3_paper_only_pending_question_scan"": 1, ""pending_content_recheck"": 1}",not_started,
2026_石景山_一模,2026,石景山,一模,,pending_question_scan,unknown,,,"{""P3_paper_only_pending_question_scan"": 1, ""pending_content_recheck"": 1}",not_started,
2026_石景山_期末,2026,石景山,期末,,excluded,no,,,"{""excluded_not_relevant"": 1}",excluded,User-confirmed no usable scoring rules; excluded for all modules unless new scoring source appears.
2026_通州_期末,2026,通州,期末,Q20,选必一,yes,SRC_b66cc2d35877,SRC_35ef9424281a,"{""P0_verified_scoring_rule"": 1, ""P3_paper_only"": 1}",codex_source_checked,
2026_门头沟_一模,2026,门头沟,一模,,pending_question_scan,unknown,,,"{""P3_paper_only_pending_question_scan"": 1, ""pending_content_recheck"": 1}",not_started,
2026_顺义_一模,2026,顺义,一模,,pending_question_scan,unknown,,,"{""P3_paper_only_pending_question_scan"": 1, ""pending_content_recheck"": 1}",not_started,
