question_id,suite_id,original_qno,question_type,codex_current_decision,claudecode_decision,decision_reason,needs_codex_recheck,primary_source
Q-2024西城一模-1,S-2024西城一模,1,选择题,blocked,excluded,025细则确认答案C；中国寻找答案/全球治理，属必修一+选必一；非选必三思维。,no,batch01_haidian_xicheng
Q-2024西城一模-2,S-2024西城一模,2,选择题,blocked,excluded,答案A；科技小院/实事求是+联系群众，属必修四+必修三；非选必三思维。,no,batch01_haidian_xicheng
Q-2024西城一模-3,S-2024西城一模,3,选择题,blocked,excluded,答案D；功成不必在我功成必定有我，属必修四价值观；非选必三思维。,no,batch01_haidian_xicheng
Q-2024西城一模-4,S-2024西城一模,4,选择题,blocked,excluded,答案B；村晚联欢/基层群众自治，属必修三+必修四；非选必三思维。,no,batch01_haidian_xicheng
Q-2024西城一模-5,S-2024西城一模,5,选择题,blocked,excluded,答案B；司法机关定分止争，属必修三政治与法治；非选必三思维。,no,batch01_haidian_xicheng
Q-2024西城一模-6,S-2024西城一模,6,选择题,blocked,excluded,答案C；担保物权/质权，属选必二法律与生活；非选必三思维。,no,batch01_haidian_xicheng
Q-2024西城一模-7,S-2024西城一模,7,选择题,blocked,excluded,答案A；生鲜灯/消费者权益，属选必二法律与生活；非选必三思维。,no,batch01_haidian_xicheng
Q-2024西城一模-8,S-2024西城一模,8,选择题,blocked,excluded,答案D；噪音侵权/调解+诉讼，属选必二法律与生活；非选必三思维。,no,batch01_haidian_xicheng
Q-2024西城一模-9,S-2024西城一模,9,选择题,blocked,excluded,答案D；千年古树+矛盾观，属必修四唯物辩证法；非选必三思维。,no,batch01_haidian_xicheng
Q-2024西城一模-10,S-2024西城一模,10,选择题,blocked,excluded,答案A；铜镜价值/价值观，属必修四价值观；非选必三思维。,no,batch01_haidian_xicheng
Q-2024西城一模-11,S-2024西城一模,11,选择题,入正文,入正文,025细则确认答案B(①③)；考查完全归纳推理(枚举三舱段→集体连缀)；选必三推理部分归纳推理节点；A-support。,no,batch01_haidian_xicheng
Q-2024西城一模-12,S-2024西城一模,12,选择题,blocked,excluded,答案C；黑格尔肯定否定题，考查必修四辩证否定观；非选必三思维主链；按硬规则四模块边界排除。,no,batch01_haidian_xicheng
Q-2024西城一模-13,S-2024西城一模,13,选择题,入正文,入正文,025细则确认答案B；联想的非逻辑制约的畅想性；选必三创新思维联想思维节点。,no,batch01_haidian_xicheng
Q-2024西城一模-14,S-2024西城一模,14,选择题,blocked,excluded,答案A；中国-东盟合作/人类命运共同体，属选必一；非选必三思维。,no,batch01_haidian_xicheng
Q-2024西城一模-15,S-2024西城一模,15,选择题,blocked,excluded,答案C；漫画一带一路/共建共享，属选必一；非选必三思维。,no,batch01_haidian_xicheng
Q-2024西城一模-16,S-2024西城一模,16,主观题,excluded,excluded,025细则确认；运用《政治与法治》谈市人大推进条例修订工作，属必修三+全过程人民民主；非选必三思维。,no,batch01_haidian_xicheng
Q-2024西城一模-17,S-2024西城一模,17,主观题,blocked,excluded,025细则确认；运用哲学角度处理人与自然/避免人类中心主义，属必修四唯物论+辩证否定；非选必三思维。,no,batch01_haidian_xicheng
Q-2024西城一模-18-1,S-2024西城一模,18(1),主观题,blocked,excluded,025细则确认；填空回避制度，属选必二法律与生活；非选必三思维。,no,batch01_haidian_xicheng
Q-2024西城一模-18-2,S-2024西城一模,18(2),主观题,blocked,excluded,025细则确认；找错误/辩护人改诉讼代理人，属选必二法律与生活；非选必三思维。,no,batch01_haidian_xicheng
Q-2024西城一模-18-3,S-2024西城一模,18(3),主观题,blocked,excluded,025细则确认；督促履行义务/赡养，属选必二法律与生活；非选必三思维。,no,batch01_haidian_xicheng
Q-2024西城一模-19-1,S-2024西城一模,19(1),主观题,excluded,excluded,025细则确认；读图分析未来产业六大领域，属经济与社会信息提取，非思维方法；非选必三思维主链。,no,batch01_haidian_xicheng
Q-2024西城一模-19-2,S-2024西城一模,19(2),主观题,入正文,入正文,025细则确认；填空举国体制定义结构(被定义项+是+种差+邻近属)；选必三逻辑与思维概念部分定义节点；A-formal。,no,batch01_haidian_xicheng
Q-2024西城一模-19-3,S-2024西城一模,19(3),主观题,入正文,入正文,025细则确认1分'相容、或属种'；选必三逻辑与思维概念外延关系(属种关系)节点；A-formal。,no,batch01_haidian_xicheng
Q-2024西城一模-19-4,S-2024西城一模,19(4),主观题,excluded,excluded,025细则确认；新型举国体制特点(党的领导/资源配置/治理)，属必修一中特+必修二经济与社会；非选必三思维。,no,batch01_haidian_xicheng
Q-2024西城一模-19-5,S-2024西城一模,19(5),主观题,入正文,入正文,025细则确认6分；运用《逻辑与思维》研判未来产业方向；六个给分点(实践调研+矛盾分析+推理想象+超前思维+内外矛盾)；选必三思维多方法挂载；A-formal。,no,batch01_haidian_xicheng
Q-2024西城一模-19-6,S-2024西城一模,19(6),主观题,excluded,excluded,025细则确认；经济角度分析未来产业机遇挑战，属必修二经济与社会+选必一；非选必三思维。,no,batch01_haidian_xicheng
Q-2025海淀二模-12,S-2025海淀二模,12,选择题,入正文,入正文,supplemental answer source确认答案D；render page_04确认题面=耐心资本；选必三创新思维-超前思维节点；B-choice-signal；可作正文+辅助挂载哲学唯物诱惑陷阱。,no,batch01_haidian_xicheng
Q-2025海淀二模-13,S-2025海淀二模,13,选择题,入正文,入正文,supplemental answer source确认答案C；render page_04确认题面；选必三逻辑与思维三段论+选言判断+概念外延复合choice节点；B-choice-signal。,no,batch01_haidian_xicheng
Q-2025海淀二模-20,S-2025海淀二模,20,主观题,入正文,入正文,009/010/011三源细则一致确认；设问'运用辩证思维谈如何坚持共享发展理念推进共同富裕'；角度池=分析与综合/系统优化/整体性 + 质量互变/动态性 + 辩证否定，从中选2，矛盾分析最多2分；硬样本(选必三辩证思维复合题)；A-formal；L4_LOCKED_FOR_FUSION。,no,batch01_haidian_xicheng
Q-2025海淀二模-UNPARSED-PAPER,S-2025海淀二模,UNPARSED,suite_visual_blocker,blocked,blocked,008试卷PDF文本层稀薄；本批仅以render page_04+page_07+supplemental answer source确认Q12/Q13/Q20三题，其余题号在本批不入选必三正文；suite-level visual blocker保留。,yes,batch01_haidian_xicheng
Q-2025海淀期末-1,S-2025海淀期末,1,选择题,blocked,excluded,015试卷确认答案A；北京中轴线声音承古通今，属必修四文化连续性/民族精神；非选必三思维。,no,batch01_haidian_xicheng
Q-2025海淀期末-2,S-2025海淀期末,2,选择题,入正文,入正文,015试卷+phase05信号确认答案C(②③)；②场景迁移=联想思维+③辩证思维整体性=两个选必三思维核心节点；①扬弃=哲学诱惑错项；B-choice-signal。,no,batch01_haidian_xicheng
Q-2025海淀期末-3,S-2025海淀期末,3,选择题,blocked,excluded,015试卷确认答案B；国产游戏出圈/讲好中国故事，属必修四文化；非选必三思维。,no,batch01_haidian_xicheng
Q-2025海淀期末-4,S-2025海淀期末,4,选择题,blocked,excluded,015试卷确认答案C；AI京西稻主题曲/主观能动性，属必修四+科技文化；非选必三思维。,no,batch01_haidian_xicheng
Q-2025海淀期末-5,S-2025海淀期末,5,选择题,blocked,入正文,015试卷确认答案D(③④)；③革命热情+科学态度=必修四唯物论；④渐进性与飞跃性=辩证思维动态性/质量互变(选必三)；①植绿锁沙建立新联系=创新思维(联想/迁移)诱惑但不在答案；可入正文且作choice-trap、标注④为选必三主链信号。,yes,batch01_haidian_xicheng
Q-2025海淀期末-6,S-2025海淀期末,6,选择题,blocked,excluded,015试卷确认答案B；胡克定律/真理与谬误，属必修四认识论；非选必三思维主链。,no,batch01_haidian_xicheng
Q-2025海淀期末-7,S-2025海淀期末,7,选择题,blocked,excluded,015试卷确认答案A(①③)；①价值标准+③从群众中来到群众中去=必修四+必修三；②分析综合与③辩证思维相关诱惑但答案为AC=①③；非选必三思维主答案。,no,batch01_haidian_xicheng
Q-2025海淀期末-8,S-2025海淀期末,8,选择题,入正文,入正文,015试卷+phase05信号确认答案D；学习《逻辑与思维》专项题；A充分条件假言推理结构错+B种属关系判定+C轻率概括+D选言判断关系；选必三逻辑与思维概念/判断/推理综合choice；B-choice-signal硬样本。,no,batch01_haidian_xicheng
Q-2025海淀期末-9,S-2025海淀期末,9,选择题,blocked,excluded,015试卷确认答案B；越界春笋/天然孳息归属，属选必二法律与生活；非选必三思维。,no,batch01_haidian_xicheng
Q-2025海淀期末-10,S-2025海淀期末,10,选择题,blocked,excluded,015试卷确认答案C；汽油买卖合同/不可抗力，属选必二法律与生活；非选必三思维。,no,batch01_haidian_xicheng
Q-2025海淀期末-11,S-2025海淀期末,11,选择题,blocked,excluded,015试卷确认答案D；旅客赔偿/承运人注意义务，属选必二法律与生活；非选必三思维。,no,batch01_haidian_xicheng
Q-2025海淀期末-12,S-2025海淀期末,12,选择题,blocked,excluded,015试卷确认答案A；遗产分配/法定继承，属选必二法律与生活；非选必三思维。,no,batch01_haidian_xicheng
Q-2025海淀期末-13,S-2025海淀期末,13,选择题,blocked,excluded,015试卷确认答案B；隐形加班/劳动法+司法公正，属选必二+必修三；非选必三思维。,no,batch01_haidian_xicheng
Q-2025海淀期末-14,S-2025海淀期末,14,选择题,blocked,excluded,015试卷确认答案C；著作权/调解，属选必二法律与生活；非选必三思维。,no,batch01_haidian_xicheng
Q-2025海淀期末-15,S-2025海淀期末,15,选择题,blocked,excluded,015试卷确认答案D；探店视频虚假宣传/平台治理，属选必二+必修三；非选必三思维。,no,batch01_haidian_xicheng
Q-2025海淀期末-16,S-2025海淀期末,16,主观题,excluded,excluded,015细则确认；运用《哲学与文化》谈打造中医药新时尚(辩证否定+创造性转化+联系等)，属必修四哲学+文化；非选必三思维主链。,no,batch01_haidian_xicheng
Q-2025海淀期末-17-1,S-2025海淀期末,17(1),主观题,入正文,入正文,015细则确认4分；运用科学思维知识分析永动机设计图问题；客观性(2分)+规律(1分)+材料分析(1分)；选必三科学思维-客观性专项节点；A-formal硬样本。,no,batch01_haidian_xicheng
Q-2025海淀期末-17-2,S-2025海淀期末,17(2),主观题,excluded,excluded,015细则确认；从哲学角度谈纪念失败者；认识有反复性/无限性+实践决定认识+发展的曲折性+矛盾转化等，属必修四认识论；非选必三思维。,no,batch01_haidian_xicheng
Q-2025海淀期末-18,S-2025海淀期末,18,主观题,入正文,入正文,015细则确认6分；分析北京城市图书馆是如何运用创新思维建设新型公共文化空间；逆向思维(人找书→书找人)+联想思维(赤印意象迁移)+发散聚合(数字资源整合·本年版未单独点名但下层展开有)+超前思维(京津冀协同);选必三创新思维-逆向/联想节点；A-formal。,no,batch01_haidian_xicheng
Q-2025海淀期末-19,S-2025海淀期末,19,主观题,blocked,excluded,015细则确认；运用法治知识阐释农村土地确权登记现实意义，属选必二法律与生活；非选必三思维。,no,batch01_haidian_xicheng
Q-2025海淀期末-20,S-2025海淀期末,20,主观题,blocked,excluded,015细则确认；最高法侵权责任编解释/无过错责任，属选必二法律与生活；非选必三思维。,no,batch01_haidian_xicheng
Q-2025海淀期末-21,S-2025海淀期末,21,主观题,excluded,excluded,015细则确认；竞业限制/法律平衡，属选必二法律与生活；非选必三思维。,no,batch01_haidian_xicheng
Q-2025海淀期末-22,S-2025海淀期末,22,主观题,同类索引,同类索引,015细则确认；综合运用所学撰写愚公移山短文；可选知识含必修四质量互变规律；非选必三思维primary设问，但'质量互变规律'节点可作fusion-only attach作综合题同类索引；不作正文。,no,batch01_haidian_xicheng
Q-2025西城二模-1,S-2025西城二模,1,选择题,blocked,excluded,试卷确认答案A；志愿军烈士家书/家国情怀+民族精神，属必修四文化；非选必三思维。,no,batch01_haidian_xicheng
Q-2025西城二模-2,S-2025西城二模,2,选择题,blocked,excluded,试卷确认答案D；事务主义/必然偶然+客观过程，属必修四唯物论；非选必三思维。,no,batch01_haidian_xicheng
Q-2025西城二模-3,S-2025西城二模,3,选择题,blocked,excluded,试卷确认答案A；植树尽责/绿色发展，属必修二经济与社会+必修四生态；非选必三思维。,no,batch01_haidian_xicheng
Q-2025西城二模-4,S-2025西城二模,4,选择题,blocked,excluded,试卷确认答案C；六倍体小麦基因组图谱/真理性认识深化，属必修四认识论；非选必三思维。,no,batch01_haidian_xicheng
Q-2025西城二模-5,S-2025西城二模,5,选择题,blocked,excluded,试卷确认答案B；新农人价值追求/人生理想，属必修四价值观；非选必三思维。,no,batch01_haidian_xicheng
Q-2025西城二模-6,S-2025西城二模,6,选择题,入正文,入正文,试卷确认答案C；牡丹/洛阳红与节气/谷雨同为属种关系；选必三逻辑与思维概念外延关系(属种)choice节点；B-choice-signal硬样本(类比关系判断)；body_after_362_repair。,no,batch01_haidian_xicheng
Q-2025西城二模-7,S-2025西城二模,7,选择题,入正文,入正文,试卷+phase05确认答案C(②④)；甲医生否定前件谬误/乙医生求异法+丙医生类比；选必三推理部分必要条件假言推理+求异法+类比综合choice；B-choice-signal硬样本。,no,batch01_haidian_xicheng
Q-2025西城二模-8,S-2025西城二模,8,选择题,blocked,excluded,试卷确认答案D；代表法两个联系制度，属必修三政治与法治；非选必三思维。,no,batch01_haidian_xicheng
Q-2025西城二模-9,S-2025西城二模,9,选择题,blocked,excluded,试卷确认答案D；铸牢中华民族共同体意识，属必修三+必修四；非选必三思维。,no,batch01_haidian_xicheng
Q-2025西城二模-10,S-2025西城二模,10,选择题,blocked,excluded,试卷确认答案C；网络购物合同要约承诺，属选必二法律与生活；非选必三思维。,no,batch01_haidian_xicheng
Q-2025西城二模-11,S-2025西城二模,11,选择题,blocked,excluded,试卷确认答案A；地铁电梯安全保障义务，属选必二法律与生活；非选必三思维。,no,batch01_haidian_xicheng
Q-2025西城二模-12,S-2025西城二模,12,选择题,blocked,excluded,试卷确认答案B；演出经济/扩大内需，属必修二经济与社会；非选必三思维。,no,batch01_haidian_xicheng
Q-2025西城二模-13,S-2025西城二模,13,选择题,blocked,excluded,试卷确认答案A；长护险/社会保障，属必修二经济与社会；非选必三思维。,no,batch01_haidian_xicheng
Q-2025西城二模-14,S-2025西城二模,14,选择题,blocked,excluded,试卷确认答案D；数据主权与属地管辖权/国际治理，属选必一；非选必三思维。,no,batch01_haidian_xicheng
Q-2025西城二模-15,S-2025西城二模,15,选择题,blocked,excluded,试卷确认答案B；亲诚惠容周边外交，属选必一；非选必三思维。,no,batch01_haidian_xicheng
Q-2025西城二模-16-1,S-2025西城二模,16(1),主观题,excluded,excluded,037细则确认；废弃水井变动物乐园背后哲学智慧；尊重规律/主观能动性/具体问题具体分析/生态价值观，属必修四哲学；非选必三思维主链。,no,batch01_haidian_xicheng
Q-2025西城二模-16-2,S-2025西城二模,16(2),主观题,入正文,入正文,037细则确认4分；条件②是充分条件假言判断；后件真不能确定前件真，无法确定有岩松鼠；选必三推理部分充分条件假言推理(肯定后件无效)节点；A-formal硬样本；L4_LOCKED_FOR_FUSION。,no,batch01_haidian_xicheng
Q-2025西城二模-16-3,S-2025西城二模,16(3),主观题,入正文,入正文,037细则确认4分；村民诉求解决办法；倾听沟通+生态补偿(程序性·1分)+调整种植结构=运用创新思维改变创造条件建立新联系分析解决矛盾(2分)+人文关怀生态意识(1分)；选必三创新思维-改变/创造条件/建立新联系节点；A-formal；L4_LOCKED_FOR_FUSION。,no,batch01_haidian_xicheng
Q-2025西城二模-17-1,S-2025西城二模,17(1),主观题,excluded,excluded,037细则确认；运用《经济与社会》阐述价格治理意义，属必修二；非选必三思维。,no,batch01_haidian_xicheng
Q-2025西城二模-17-2,S-2025西城二模,17(2),主观题,excluded,excluded,037细则确认；运用《政治与法治》看伞形社会权力运行，属必修三；非选必三思维。,no,batch01_haidian_xicheng
Q-2025西城二模-18,S-2025西城二模,18,主观题,excluded,excluded,037细则确认；未成年人打赏案/民法典157条+过错责任，属选必二法律与生活；非选必三思维。,no,batch01_haidian_xicheng
Q-2025西城二模-19-1,S-2025西城二模,19(1),主观题,excluded,excluded,037细则确认；国民财富变化机遇挑战，属必修二经济与社会；非选必三思维。,no,batch01_haidian_xicheng
Q-2025西城二模-19-2,S-2025西城二模,19(2),主观题,excluded,excluded,037细则确认；运用《当代国际政治与经济》分析中国担当；属选必一；非选必三思维。,no,batch01_haidian_xicheng
Q-2025西城二模-20,S-2025西城二模,20,主观题,blocked,excluded,037细则确认；建设文化强国/着眼于人落脚于人短文；综合运用必修三+必修四+选必一；非选必三思维主链。,no,batch01_haidian_xicheng
Q-2024朝阳一模-1,S-2024朝阳一模,1,选择题,excluded,excluded,031细则slide 6确认答案B(①③)；两个结合/中华文明/革命道路；属必修一中特+必修四文化；非选必三思维。,no,batch02_chaoyang_controlled_input
Q-2024朝阳一模-2,S-2024朝阳一模,2,选择题,blocked,excluded,031细则slide 9确认答案C；生成式人工智能/新质生产力；属必修二经济与社会；非选必三思维。,no,batch02_chaoyang_controlled_input
Q-2024朝阳一模-3,S-2024朝阳一模,3,选择题,blocked,excluded,031细则slide 10确认答案B(①④)；新愚公/糖丸爷爷/钟扬人生价值；属必修四价值观；非选必三思维。,no,batch02_chaoyang_controlled_input
Q-2024朝阳一模-4,S-2024朝阳一模,4,选择题,excluded,同类索引,"031细则slide 12确认答案A(根据事物属性建立新联系)；表面看是必修四改造自然但材料动作""在草、盐、地、粮之间建立新联系""恰是创新思维-改变创造条件-建立新具体联系的核心信号；可作选必三创新思维选择题陷阱辅助挂载，但本题原始设问限定于""驱盐化碱""哲学话题，不入选必三主链正文。",yes,batch02_chaoyang_controlled_input
Q-2024朝阳一模-5,S-2024朝阳一模,5,选择题,blocked,excluded,031细则slide 13确认答案D；北京三大文化建筑(艺术中心/图书馆/大运河博物馆)；属必修四文化；非选必三思维。,no,batch02_chaoyang_controlled_input
Q-2024朝阳一模-6,S-2024朝阳一模,6,选择题,入正文,入正文,"031细则slide 14确认答案B(我不赞成所有人都有崇高的理想,也不赞成所有人都没有崇高的理想-排中律错误的反例,即此句子表达者实际反对了""X与非X必有一真""故违反排中律但选项问的是""符合逻辑规则的""故B为正项)；A越级划分错(财产权下位包含物权债权知识产权,而著作权商标权又是知识产权下位,此处把上下位混在同一层)；C矛盾律错(全称肯定与""有些非""是下反对关系不能并存为真); D四概念错(""老舍的作品""集体概念与个体概念混用)；选必三逻辑与思维专项题；B-choice-signal硬样本(逻辑规则综合)。",no,batch02_chaoyang_controlled_input
Q-2024朝阳一模-7,S-2024朝阳一模,7,选择题,入正文,入正文,"031细则未列7题答案；按四审排错确认C(②③)：①将逆向思维归为""逻辑思维""错(创新思维不属于逻辑思维)；②集成创新具有跨越性但不排斥逻辑推导(对)；③开放创新需借鉴前人(对)；④""就能确保""绝对化错；选必三创新思维多角度题；B-choice-signal。",no,batch02_chaoyang_controlled_input
Q-2024朝阳一模-8,S-2024朝阳一模,8,选择题,blocked,excluded,031细则slide 16确认答案D(③④)；保留人工窗口/数字鸿沟；属必修三政治与法治；非选必三思维。,no,batch02_chaoyang_controlled_input
Q-2024朝阳一模-9,S-2024朝阳一模,9,选择题,入正文,同类索引,"031细则slide 17确认答案D(③④)；模拟提案到正式提案；④是必修一中特但③""坚持系统观念,有序地完成调查研究和思考任务""是选必三导论(系统观念)信号；可作系统观念辅助挂载,但题目主线是必修三政治协商,不入选必三主链正文。",yes,batch02_chaoyang_controlled_input
Q-2024朝阳一模-10,S-2024朝阳一模,10,选择题,blocked,excluded,031细则slide 18确认答案C(②③)；饭店燃料酒精侵权；属选必二法律与生活；非选必三思维。,no,batch02_chaoyang_controlled_input
Q-2024朝阳一模-11,S-2024朝阳一模,11,选择题,blocked,excluded,031细则slide 19确认答案B(①④)；所有权归属争议；属选必二法律与生活；非选必三思维。,no,batch02_chaoyang_controlled_input
Q-2024朝阳一模-12,S-2024朝阳一模,12,选择题,blocked,excluded,031细则slide 22确认答案C；实用新型专利保护期；属选必二法律与生活；非选必三思维。,no,batch02_chaoyang_controlled_input
Q-2024朝阳一模-13,S-2024朝阳一模,13,选择题,blocked,excluded,031细则slide 23确认答案D；超长期特别国债传导路径；属必修二经济与社会；非选必三思维。,no,batch02_chaoyang_controlled_input
Q-2024朝阳一模-14,S-2024朝阳一模,14,选择题,blocked,excluded,031细则slide 24确认答案A(①②)；制度型开放；属选必一当代国际政治与经济；非选必三思维。,no,batch02_chaoyang_controlled_input
Q-2024朝阳一模-15,S-2024朝阳一模,15,选择题,blocked,excluded,031细则slide 25确认答案C(②④)；中国特色大国外交；属选必一国政经；非选必三思维。,no,batch02_chaoyang_controlled_input
Q-2024朝阳一模-16,S-2024朝阳一模,16,主观题,excluded,excluded,"031细则slide 27-31确认；接受人民监督与勇于自我革命的关系；细则评分明示""侧重哲学、政治与中特""；属必修四(对立统一/外因内因)+必修三(党的领导)；非选必三思维主链。",no,batch02_chaoyang_controlled_input
Q-2024朝阳一模-17,S-2024朝阳一模,17,主观题,excluded,excluded,031细则slide 32-33确认；运用《经济与社会》谈如何发展银发经济以增进老年人福祉；属必修二经济与社会；非选必三思维。,no,batch02_chaoyang_controlled_input
Q-2024朝阳一模-18-1,S-2024朝阳一模,18(1),主观题,excluded,excluded,031细则slide 35确认；运用《政治与法治》为推动条例贯彻落实提出合理建议；属必修三政治与法治；非选必三思维。,no,batch02_chaoyang_controlled_input
Q-2024朝阳一模-18-2,S-2024朝阳一模,18(2),主观题,excluded,excluded,"031细则slide 38确认；运用《哲学与文化》谈""两翼齐飞""；细则虽有""运用系统优化的方法、坚持两点论与重点论统一""等术语但限定于必修四唯物辩证法+文化范畴,设问明示《哲学与文化》；非选必三思维主链。",no,batch02_chaoyang_controlled_input
Q-2024朝阳一模-19,S-2024朝阳一模,19,主观题,excluded,excluded,031细则slide 41-43确认；运用《法律与生活》分析诚信原则对促进社会主义市场经济健康发展的积极作用；属选必二法律与生活；非选必三思维。,no,batch02_chaoyang_controlled_input
Q-2024朝阳一模-20-1,S-2024朝阳一模,20(1),主观题,入正文,入正文,"031细则slide 45确认5分；推理一属于充分条件假言推理(1分)+推理理由""前件真后件一定真,后件假前件一定假""(2分)+结合材料(2分)；硬样本§十八(选必三推理-充分条件假言推理-否定后件式)；A-formal。",no,batch02_chaoyang_controlled_input
Q-2024朝阳一模-20-2,S-2024朝阳一模,20(2),主观题,入正文,入正文,"031细则slide 46确认4分；前提1必要条件假言判断""只有A区域古代气候温暖,A区域古代才有可能生长竹子""(2分)+前提2""A区域古代广泛生长着竹子""(2分)；硬样本§十八(选必三推理-必要条件假言推理-肯定后件式)；A-formal。",no,batch02_chaoyang_controlled_input
Q-2024朝阳一模-21,S-2024朝阳一模,21,主观题,blocked,excluded,031细则slide 48-49确认；运用《当代国际政治与经济》谈如何推动中国经济在变局中开新局；属选必一国政经；非选必三思维。,no,batch02_chaoyang_controlled_input
Q-2024朝阳二模-1,S-2024朝阳二模,1,选择题,excluded,excluded,"022细则未列；试卷text page 1材料""过去一切运动是少数人的，无产阶级运动是绝大多数人的""+""为人民而生因人民而兴""；属必修一+必修四马克思主义政党/价值观；非选必三思维。",no,batch02_chaoyang_controlled_input
