framework_point,作为主入口题数,作为副入口题数,作为主材料触发题数,作为副材料触发题数,formal_count,recovered_count,open_reference_count,典型题,是否核心,是否仅参考,禁止误用说明
完成表格 / 法律护航创新,1,0,0,0,0,1,0,CC0189_2025_石景山_一模_20,是,否,仅在材料事实满足触发条件时使用。
完成裁判要点 / 一案一链,1,0,0,0,1,0,0,CC0157_2025_朝阳_期末_20,是,否,仅在材料事实满足触发条件时使用。
完成裁判要点 / 参照示例,1,0,0,0,1,0,0,CC0213_2025_门头沟_一模_20,是,否,仅在材料事实满足触发条件时使用。
补问答并任选权利保护,1,0,0,0,1,0,0,CC0289_2026_朝阳_二模_18,是,否,仅在材料事实满足触发条件时使用。
裁判理由 / 补表 / 完成理由,1,0,0,0,1,0,0,CC0137_2025_昌平_二模_20,是,否,仅在材料事实满足触发条件时使用。
裁判理由补写,1,0,0,0,1,0,0,CC0214_2025_门头沟_一模_20_2,是,否,仅在材料事实满足触发条件时使用。
解释法律规则的意义,1,0,0,0,1,0,0,CC0180_2025_海淀_期末_20,是,否,不得裸写价值，必须从规则和材料推出。
评析,1,0,0,0,0,0,1,CC0162_2025_海淀_一模_18,否,是,仅在材料事实满足触发条件时使用。
评析观点,1,0,0,0,0,1,0,CC0051_2024_海淀_期中_21_1,是,否,仅在材料事实满足触发条件时使用。
识别法律问题,1,0,0,0,0,1,0,CC0092_2025_东城_期末_19_1,是,否,仅在材料事实满足触发条件时使用。
问仲裁裁决理由与典型意义,1,0,0,0,1,0,0,CC0025_2024_朝阳_二模_17,是,否,不得裸写价值，必须从规则和材料推出。
问做法如何平衡公平与效率,1,0,0,0,1,0,0,CC0195_2025_西城_一模_20,是,否,仅在材料事实满足触发条件时使用。
问典型案例意义,1,0,0,0,1,0,0,CC0103_2025_丰台_一模_19,是,否,不得裸写价值，必须从规则和材料推出。
问判决分析,1,0,0,0,1,0,0,CC0206_2025_西城_期末_19,是,否,仅在材料事实满足触发条件时使用。
问判决意义,1,0,0,0,1,0,0,CC0063_2024_西城_二模_16,是,否,不得裸写价值，必须从规则和材料推出。
问判决是否正确,1,0,0,0,0,0,1,CC0353_2026_西城_期中_17,否,是,仅在材料事实满足触发条件时使用。
问判决社会价值,1,0,0,0,0,1,0,CC0045_2024_海淀_二模_19,是,否,不得裸写价值，必须从规则和材料推出。
问判决结果 / 责任分担理由,1,0,0,0,1,0,0,CC0200_2025_西城_二模_18,是,否,仅在材料事实满足触发条件时使用。
问判决结果及理由,1,0,0,0,1,0,0,CC0364_2026_通州_期中_19_1,是,否,仅在材料事实满足触发条件时使用。
问制度作用,1,0,0,0,0,0,1,CC0311_2026_海淀_二模_18,否,是,仅在材料事实满足触发条件时使用。
问司法如何守护创新 / 知识产权制度意义,1,0,0,0,0,1,0,CC0229_2026_东城_一模_18,是,否,不得裸写价值，必须从规则和材料推出。
问合同成立理由与判决意义,1,0,0,0,1,0,0,CC0054_2024_石景山_一模_17,是,否,不得把所有协议/诉讼都塞入合同主轴。
问如何保护权利或判决认识,1,0,0,0,1,0,0,CC0150_2025_朝阳_二模_20,是,否,仅在材料事实满足触发条件时使用。
问对判决的认识,1,0,0,0,0,0,1,CC0040_2024_海淀_一模_19,否,是,仅在材料事实满足触发条件时使用。
问对法治温度/法德结合的认识,1,0,0,0,1,0,0,CC0254_2026_丰台_二模_18,是,否,仅在材料事实满足触发条件时使用。
问对督促履行义务告知书的认识,1,0,0,0,0,1,0,CC0061_2024_西城_一模_18,是,否,仅在材料事实满足触发条件时使用。
问惩教并行认识,1,0,0,0,0,1,0,CC0332_2026_石景山_二模_19,是,否,仅在材料事实满足触发条件时使用。
问法律原则的现实作用,1,0,0,0,1,0,0,CC0019_2024_朝阳_一模_19,是,否,仅在材料事实满足触发条件时使用。
问法律规定的生态保护作用,1,0,0,0,1,0,0,CC0011_2024_丰台_二模_17,是,否,仅在材料事实满足触发条件时使用。
问法律认识,1,0,0,0,1,0,0,CC0244_2026_东城_期中_18,是,否,仅在材料事实满足触发条件时使用。
问法律风险与治理,1,0,0,0,0,0,1,CC0380_2026_顺义_二模_18_2,否,是,仅在材料事实满足触发条件时使用。
问法治价值/意义,1,0,0,0,1,0,0,CC0131_2025_房山_一模_19,是,否,不得裸写价值，必须从规则和材料推出。
问法院减轻赔偿责任的理由与意义,1,0,0,0,1,0,0,CC0002_2024_丰台_一模_17,是,否,不得裸写价值，必须从规则和材料推出。
问法院如何保护知识产权,1,0,0,0,1,0,0,CC0283_2026_朝阳_一模_18,是,否,仅在材料事实满足触发条件时使用。
问法院裁判理由,1,0,0,0,1,0,0,CC0119_2025_丰台_期末_19,是,否,仅在材料事实满足触发条件时使用。
问消费者诉求能否支持及理由,1,0,0,0,1,0,0,CC0143_2025_朝阳_一模_19,是,否,仅在材料事实满足触发条件时使用。
问纠纷如何解决,1,0,0,0,1,0,0,CC0223_2025_顺义_一模_19,是,否,不得见法院就写程序，先看具体私法规则。
问维权准备和路径,1,0,0,0,1,0,0,CC0245_2026_东城_期中_18_2,是,否,仅在材料事实满足触发条件时使用。
问裁判,1,0,0,0,1,0,0,CC0181_2025_海淀_期末_21,是,否,仅在材料事实满足触发条件时使用。
问规定如何推动绿色发展,1,0,0,0,1,0,0,CC0340_2026_西城_一模_17,是,否,仅在材料事实满足触发条件时使用。
问评析 / 谈认识,1,0,0,0,1,0,0,CC0238_2026_东城_二模_19,是,否,仅在材料事实满足触发条件时使用。
问诉求能否支持,1,0,0,0,0,1,0,CC0305_2026_海淀_一模_18_3,是,否,仅在材料事实满足触发条件时使用。
问诉求能否支持并说明理由,1,0,0,0,0,1,0,CC0373_2026_顺义_一模_18,是,否,仅在材料事实满足触发条件时使用。
问调解理由,1,0,0,0,1,0,0,CC0125_2025_延庆_一模_19,是,否,仅在材料事实满足触发条件时使用。
一主体一链,0,1,0,0,1,0,0,CC0238_2026_东城_二模_19,是,否,仅在材料事实满足触发条件时使用。
一格一链,0,1,0,0,1,0,0,CC0137_2025_昌平_二模_20,是,否,仅在材料事实满足触发条件时使用。
一案一手段,0,1,0,0,1,0,0,CC0283_2026_朝阳_一模_18,是,否,仅在材料事实满足触发条件时使用。
不正当竞争,0,2,0,0,1,1,0,CC0189_2025_石景山_一模_20|CC0206_2025_西城_期末_19,是,否,仅在材料事实满足触发条件时使用。
不正当竞争/行政裁决,0,1,0,0,1,0,0,CC0223_2025_顺义_一模_19,是,否,仅在材料事实满足触发条件时使用。
举证责任,0,1,0,0,1,0,0,CC0325_2026_石景山_一模_18,是,否,仅在材料事实满足触发条件时使用。
人格权益,0,1,0,0,1,0,0,CC0084_2025_东城_二模_19,是,否,仅在材料事实满足触发条件时使用。
停止妨害,0,1,0,0,1,0,0,CC0364_2026_通州_期中_19_1,是,否,仅在材料事实满足触发条件时使用。
共有部分,0,1,0,0,0,1,0,CC0092_2025_东城_期末_19_1,是,否,仅在材料事实满足触发条件时使用。
制度意义,0,1,0,0,1,0,0,CC0025_2024_朝阳_二模_17,是,否,不得裸写价值，必须从规则和材料推出。
劳动合同诚信,0,2,0,0,2,0,0,CC0213_2025_门头沟_一模_20|CC0214_2025_门头沟_一模_20_2,是,否,不得把所有协议/诉讼都塞入合同主轴。
劳动权利义务,0,1,0,0,1,0,0,CC0077_2025_东城_一模_19,是,否,仅在材料事实满足触发条件时使用。
劳动权益,0,1,0,0,1,0,0,CC0195_2025_西城_一模_20,是,否,仅在材料事实满足触发条件时使用。
劳动纪律,0,1,0,0,1,0,0,CC0119_2025_丰台_期末_19,是,否,仅在材料事实满足触发条件时使用。
合同/侵权证据,0,1,0,0,1,0,0,CC0245_2026_东城_期中_18_2,是,否,不得把所有协议/诉讼都塞入合同主轴。
合同效力,0,1,0,0,1,0,0,CC0143_2025_朝阳_一模_19,是,否,不得把所有协议/诉讼都塞入合同主轴。
合同诚信履行,0,1,0,0,1,0,0,CC0019_2024_朝阳_一模_19,是,否,不得把所有协议/诉讼都塞入合同主轴。
商标抢注/混淆,0,1,0,0,1,0,0,CC0206_2025_西城_期末_19,是,否,仅在材料事实满足触发条件时使用。
多方过错 / 未成年人交易行为效力,0,1,0,0,1,0,0,CC0200_2025_西城_二模_18,是,否,仅在材料事实满足触发条件时使用。
多案例意义题,0,2,0,0,1,1,0,CC0229_2026_东城_一模_18|CC0283_2026_朝阳_一模_18,是,否,不得裸写价值，必须从规则和材料推出。
委托合同违约,0,1,0,0,0,1,0,CC0189_2025_石景山_一模_20,是,否,不得把所有协议/诉讼都塞入合同主轴。
婚姻家庭法律变迁,0,1,0,0,0,1,0,CC0051_2024_海淀_期中_21_1,是,否,仅在材料事实满足触发条件时使用。
安全责任,0,1,0,0,0,1,0,CC0092_2025_东城_期末_19_1,是,否,仅在材料事实满足触发条件时使用。
家庭赡养制度意义,0,1,0,0,0,1,0,CC0061_2024_西城_一模_18,是,否,不得裸写价值，必须从规则和材料推出。
撤销,0,1,0,0,1,0,0,CC0143_2025_朝阳_一模_19,是,否,仅在材料事实满足触发条件时使用。
数据不正当竞争,0,1,0,0,1,0,0,CC0157_2025_朝阳_期末_20,是,否,仅在材料事实满足触发条件时使用。
旅游安全保障,0,1,0,0,1,0,0,CC0157_2025_朝阳_期末_20,是,否,仅在材料事实满足触发条件时使用。
无过错侵权责任,0,1,0,0,1,0,0,CC0180_2025_海淀_期末_20,是,否,仅在材料事实满足触发条件时使用。
权利救济路径,0,1,0,0,1,0,0,CC0289_2026_朝阳_二模_18,是,否,仅在材料事实满足触发条件时使用。
材料证明,0,2,0,0,1,1,0,CC0125_2025_延庆_一模_19|CC0373_2026_顺义_一模_18,是,否,仅在材料事实满足触发条件时使用。
格式条款,0,1,0,0,1,0,0,CC0084_2025_东城_二模_19,是,否,仅在材料事实满足触发条件时使用。
法律制度意义,0,1,0,0,1,0,0,CC0002_2024_丰台_一模_17,是,否,不得裸写价值，必须从规则和材料推出。
消费者保护,0,1,0,0,1,0,0,CC0180_2025_海淀_期末_20,是,否,仅在材料事实满足触发条件时使用。
消费者权益,0,1,0,0,1,0,0,CC0084_2025_东城_二模_19,是,否,仅在材料事实满足触发条件时使用。
相邻关系,0,2,0,0,2,0,0,CC0223_2025_顺义_一模_19|CC0364_2026_通州_期中_19_1,是,否,仅在材料事实满足触发条件时使用。
相邻权,0,1,0,0,0,1,0,CC0092_2025_东城_期末_19_1,是,否,仅在材料事实满足触发条件时使用。
知识产权保护,0,1,0,0,1,0,0,CC0131_2025_房山_一模_19,是,否,仅在材料事实满足触发条件时使用。
纠纷解决,0,2,0,0,2,0,0,CC0077_2025_东城_一模_19|CC0245_2026_东城_期中_18_2,是,否,不得见法院就写程序，先看具体私法规则。
经营者诚信经营,0,1,0,0,1,0,0,CC0019_2024_朝阳_一模_19,是,否,仅在材料事实满足触发条件时使用。
绿色交易意义,0,1,0,0,1,0,0,CC0054_2024_石景山_一模_17,是,否,不得裸写价值，必须从规则和材料推出。
良法评析,0,1,0,0,0,1,0,CC0051_2024_海淀_期中_21_1,是,否,仅在材料事实满足触发条件时使用。
著作权,0,1,0,0,1,0,0,CC0213_2025_门头沟_一模_20,是,否,仅在材料事实满足触发条件时使用。
行为评价,0,3,0,0,0,1,2,CC0040_2024_海淀_一模_19|CC0162_2025_海淀_一模_18|CC0332_2026_石景山_二模_19,是,否,仅在材料事实满足触发条件时使用。
规则意义,0,4,0,0,3,1,0,CC0011_2024_丰台_二模_17|CC0045_2024_海淀_二模_19|CC0063_2024_西城_二模_16|CC0103_2025_丰台_一模_19,是,否,不得裸写价值，必须从规则和材料推出。
解除劳动合同,0,1,0,0,1,0,0,CC0119_2025_丰台_期末_19,是,否,不得把所有协议/诉讼都塞入合同主轴。
诉讼程序,0,1,0,0,1,0,0,CC0325_2026_石景山_一模_18,是,否,不得见法院就写程序，先看具体私法规则。
诉讼调解,0,1,0,0,1,0,0,CC0223_2025_顺义_一模_19,是,否,仅在材料事实满足触发条件时使用。
调解方案理由,0,1,0,0,1,0,0,CC0254_2026_丰台_二模_18,是,否,仅在材料事实满足触发条件时使用。
遗产管理,0,1,0,0,1,0,0,CC0077_2025_东城_一模_19,是,否,仅在材料事实满足触发条件时使用。
隐私权链 / 消费者欺诈链,0,1,0,0,0,1,0,CC0305_2026_海淀_一模_18_3,是,否,仅在材料事实满足触发条件时使用。
集体协商,0,1,0,0,1,0,0,CC0195_2025_西城_一模_20,是,否,仅在材料事实满足触发条件时使用。
