rel_path,suffix,status,chars,extract_file,note
2026各区期末和期中\2026东城期末\试卷\2026北京东城高三（上）期末政治（教师版）.pdf,.pdf,ok,8005,2026各区期末和期中_2026东城期末_试卷_2026北京东城高三（上）期末政治（教师版）.pdf.txt,
2026各区期末和期中\2026丰台期末\细则\2026丰台期末细则.pdf,.pdf,ok,10103,2026各区期末和期中_2026丰台期末_细则_2026丰台期末细则.pdf.txt,
2026各区期末和期中\2026丰台期末\试卷\2026北京丰台高三（上）期末政治.pdf,.pdf,empty_or_scan,0,,no text extracted; needs visual/OCR if relevant
2026各区期末和期中\2026朝阳期中\其他材料\2025.11朝阳期中政治评标.docx,.docx,ok,4749,2026各区期末和期中_2026朝阳期中_其他材料_2025.11朝阳期中政治评标.docx.txt,
2026各区期末和期中\2026朝阳期中\细则\2026朝阳期中细则.docx,.docx,ok,4749,2026各区期末和期中_2026朝阳期中_细则_2026朝阳期中细则.docx.txt,
2026各区期末和期中\2026朝阳期中\试卷\2025北京朝阳高三（上）期中政治（教师版）.pdf,.pdf,ok,8333,2026各区期末和期中_2026朝阳期中_试卷_2025北京朝阳高三（上）期中政治（教师版）.pdf.txt,
2026各区期末和期中\2026朝阳期末\细则\2026朝阳期末细则.pdf,.pdf,empty_or_scan,0,,no text extracted; needs visual/OCR if relevant
2026各区期末和期中\2026朝阳期末\试卷\2026北京朝阳高三（上）期末政治.pdf,.pdf,empty_or_scan,0,,no text extracted; needs visual/OCR if relevant
2026各区期末和期中\2026海淀期中\细则\2026海淀期中细则.pdf,.pdf,empty_or_scan,0,,no text extracted; needs visual/OCR if relevant
2026各区期末和期中\2026海淀期中\试卷\2025北京海淀高三（上）期中政治（教师版）.docx,.docx,ok,8552,2026各区期末和期中_2026海淀期中_试卷_2025北京海淀高三（上）期中政治（教师版）.docx.txt,
2026各区期末和期中\2026海淀期末\细则\2026海淀期末细则.pdf,.pdf,ok,1705,2026各区期末和期中_2026海淀期末_细则_2026海淀期末细则.pdf.txt,
2026各区期末和期中\2026海淀期末\试卷\2026北京海淀高三（上）期末政治（教师版）.pdf,.pdf,ok,1821,2026各区期末和期中_2026海淀期末_试卷_2026北京海淀高三（上）期末政治（教师版）.pdf.txt,
2026各区期末和期中\2026石景山期末\试卷\2026北京石景山高三（上）期末政治.pdf,.pdf,ok,1692,2026各区期末和期中_2026石景山期末_试卷_2026北京石景山高三（上）期末政治.pdf.txt,
2026各区期末和期中\2026西城期末\其他材料\西城高三期末评标.pptx,.pptx,ok,934,2026各区期末和期中_2026西城期末_其他材料_西城高三期末评标.pptx.txt,
2026各区期末和期中\2026西城期末\细则\2026西城期末细则.pdf,.pdf,empty_or_scan,0,,no text extracted; needs visual/OCR if relevant
2026各区期末和期中\2026西城期末\试卷\2026北京西城高三（上）期末政治（教师版）.pdf,.pdf,ok,2927,2026各区期末和期中_2026西城期末_试卷_2026北京西城高三（上）期末政治（教师版）.pdf.txt,
2026各区期末和期中\2026通州期末\细则\2026通州期末细则.pptx,.pptx,ok,7373,2026各区期末和期中_2026通州期末_细则_2026通州期末细则.pptx.txt,
2026各区期末和期中\2026通州期末\试卷\2026北京通州高三（上）期末政治（教师版）.pdf,.pdf,ok,8628,2026各区期末和期中_2026通州期末_试卷_2026北京通州高三（上）期末政治（教师版）.pdf.txt,
