suite_audit_id,year,district,exam_stage,codex_suite_status,claudecode_suite_status,codex_core_question_ids,claudecode_core_question_ids_confirmed,missed_core_candidate_ids,false_positive_question_ids,boundary_case_ids,source_file_ids_checked,paper_files_checked,rubric_files_checked,non_midterm_without_core,midterm_without_core,user_claim_assessment,source_or_ocr_blocker,decision,reason,source_locator
A_2025_丰台_二模,2025,丰台,二模,has_suite_exhaustive_core_rows,has_suite_exhaustive_core_rows,RECOVER_2025_丰台_二模_19_2,RECOVER_2025_丰台_二模_19_2,,,,F0102-F0114;F0318-F0326,F0114 F0326,F0103-F0113;F0318-F0325,no,n/a,consistent,none,confirm_codex,Q19(2) 入核心。,row 20
A_2025_丰台_期末,2025,丰台,期末,has_suite_exhaustive_core_rows,has_suite_exhaustive_core_rows,CC0119,CC0119,,,,F0131 F0132 F0341 F0342,F0132 F0341,F0131 F0342,no,n/a,consistent,none,confirm_codex,,row 21
A_2025_延庆_一模,2025,延庆,一模,has_suite_exhaustive_core_rows,has_suite_exhaustive_core_rows,CC0125,CC0125,,,,F0077 F0078 F0295 F0296,F0078 F0295,F0077 F0296,no,n/a,consistent,none,confirm_codex,,row 22
A_2025_房山_一模,2025,房山,一模,has_suite_exhaustive_core_rows,has_suite_exhaustive_core_rows,CC0131,CC0131,,,,F0079 F0080 F0081 F0297 F0298,F0081 F0297,F0080 F0298,no,n/a,consistent,none,confirm_codex,,row 23
A_2025_昌平_二模,2025,昌平,二模,has_suite_exhaustive_core_rows,has_suite_exhaustive_core_rows,CC0137,CC0137,,,,F0115 F0116 F0327 F0328,F0116 F0327,F0115 F0328,no,n/a,consistent,none,confirm_codex,Q20 入核心。,row 24
A_2025_朝阳_一模,2025,朝阳,一模,has_suite_exhaustive_core_rows,has_suite_exhaustive_core_rows,CC0143,CC0143,,,,F0082-F0087;F0299-F0304,F0087 F0302,F0083-F0086;F0299-F0303,no,n/a,consistent,F0083/F0303 ocr blocked but other rubrics ok,confirm_codex,,row 25
A_2025_朝阳_二模,2025,朝阳,二模,has_suite_exhaustive_core_rows,has_suite_exhaustive_core_rows,CC0150,CC0150,,,,F0117-F0119;F0329-F0331,F0118 F0119 F0329 F0330 F0331,F0117,no,n/a,consistent,F0118/F0330 scan ocr but main ok,confirm_codex,,row 26
A_2025_朝阳_期末,2025,朝阳,期末,has_suite_exhaustive_core_rows,has_suite_exhaustive_core_rows,CC0157,CC0157,,,,F0133-F0135;F0343-F0345,F0133 F0135 F0343 F0345,F0134 F0344,no,n/a,consistent,F0134/F0344 ocr blocked but eval standard ok,confirm_codex,Q20 入核心。,row 27
A_2025_海淀_一模,2025,海淀,一模,has_suite_exhaustive_core_rows,has_suite_exhaustive_core_rows,CC0162,CC0162,,,,F0088-F0090;F0305-F0307,F0089 F0090 F0305 F0306,F0088 F0307,no,n/a,consistent,evidence=reference_only,confirm_codex,Q18 显式'运用《法律与生活》'。,row 28
A_2025_海淀_二模,2025,海淀,二模,has_suite_exhaustive_core_rows,has_suite_exhaustive_core_rows,RECOVER_2025_海淀_二模_18,RECOVER_2025_海淀_二模_18,,,,F0120-F0123;F0332-F0335,F0123 F0332,F0121 F0122 F0334 F0335,no,n/a,consistent,F0123/F0332 ocr blocked but rubric ok,confirm_codex,Q18 入核心。,row 29
A_2025_海淀_期中,2025,海淀,期中,midterm_mixed_law_reference_not_core,midterm_mixed_law_reference_not_core_BUT_force_consistency_with_2024,,,,可能需要把 CC0051 一并降级,UNCERTAIN_2025_海淀_期中_21_1_MIXED,F0136 F0137 F0346 F0347,F0137 F0346,F0136 F0347,n/a,yes,consistent_only_if_2024_海淀期中_also_downgraded,none,downgrade_2024_to_match,与 2024海淀期中 Q21(1) 是完全同题。要么两条同入核心，要么两条同入 boundary。当前两条不一致。,row 30
A_2025_海淀_期末,2025,海淀,期末,has_suite_exhaustive_core_rows,has_suite_exhaustive_core_rows,CC0180;CC0181,CC0180;CC0181,,,,F0138 F0139 F0348 F0349,F0139 F0348 F0349,F0138,no,n/a,consistent,none,confirm_codex,Q20 与 Q21 入核心。,row 31
A_2025_石景山_一模,2025,石景山,一模,has_suite_exhaustive_core_rows,has_suite_exhaustive_core_rows,CC0189,CC0189,,,,F0091 F0092 F0308 F0309,F0092 F0308,F0091 F0309,no,n/a,consistent,none,confirm_codex,,row 32
A_2025_西城_一模,2025,西城,一模,has_suite_exhaustive_core_rows,has_suite_exhaustive_core_rows,CC0195,CC0195,,,,F0093 F0094 F0310 F0311,F0094 F0310,F0093 F0311,no,n/a,consistent,none,confirm_codex,,row 33
A_2025_西城_二模,2025,西城,二模,has_suite_exhaustive_core_rows,has_suite_exhaustive_core_rows,CC0200,CC0200,,,,F0124 F0125 F0336 F0337,F0125 F0336,F0124 F0337,no,n/a,consistent,none,confirm_codex,,row 34
A_2025_西城_期末,2025,西城,期末,has_suite_exhaustive_core_rows,has_suite_exhaustive_core_rows,CC0206,CC0206,,,,F0140 F0141 F0350 F0351,F0141 F0350,F0140 F0351,no,n/a,consistent,none,confirm_codex,,row 35
A_2025_门头沟_一模,2025,门头沟,一模,has_suite_exhaustive_core_rows,has_suite_exhaustive_core_rows,CC0213;CC0214,CC0213;CC0214,,,,F0095 F0096 F0312 F0313,F0096 F0312,F0095 F0313,no,n/a,consistent,none,confirm_codex,Q20 与 Q20(2) 入核心。,row 36
A_2025_顺义_一模,2025,顺义,一模,has_suite_exhaustive_core_rows,has_suite_exhaustive_core_rows,CC0223,CC0223,,,,F0097 F0098 F0314 F0315,F0098 F0314,F0097 F0315,no,n/a,consistent,none,confirm_codex,,row 37
A_2026_东城_一模,2026,东城,一模,has_suite_exhaustive_core_rows,has_suite_exhaustive_core_rows,CC0229,CC0229,,,,F0144-F0155;F0354-F0365,F0154 F0155 F0354 F0355,F0144-F0153;F0356-F0365,no,n/a,consistent,multiple ocr blocked but rubrics ok,confirm_codex,,row 38
A_2026_东城_二模,2026,东城,二模,has_suite_exhaustive_core_rows,has_suite_exhaustive_core_rows,CC0238,CC0238,,,,F0179-F0186,F0186,F0179-F0185,no,n/a,consistent,none,confirm_codex,,row 39
A_2026_东城_期中,2026,东城,期中,has_suite_exhaustive_core_rows,stage_mismatch_actually_期末,CC0244;CC0245,CC0244;CC0245 (stage 应改 期末),,CC0244;CC0245 (stage 错),,F0205 F0206 F0385 F0386,F0206 F0385 F0386,F0205,n/a,no_REAL_midterm_paper_exists_for_2026东城_一see_note,partially_breaks_user_claim_stage_label_wrong,none,fix_stage_to_期末_and_split_suite,Codex 把 2026东城**期末** 全套挂在 '2026东城期中' 行；'真期中'套卷在 2026 东城似乎不存在或未提供。CC0244/CC0245 内容 OK，stage 字段错误。,row 40
A_2026_丰台_一模,2026,丰台,一模,has_suite_exhaustive_core_rows,has_suite_exhaustive_core_rows,CC0251,CC0251,,,,F0156 F0157 F0366 F0367,F0157 F0366 F0367,F0156,no,n/a,consistent,F0157/F0367 ocr blocked but rubric ok,confirm_codex,,row 41
A_2026_丰台_二模,2026,丰台,二模,has_suite_exhaustive_core_rows,has_suite_exhaustive_core_rows,CC0254,CC0254,,,,F0187 F0188,F0188,F0187,no,n/a,consistent,none,confirm_codex,,row 42
A_2026_丰台_期中,2026,丰台,期中,stage_mapping_conflict_mixed_review,stage_mismatch_actually_期末_and_boundary_mixed,,,,(empty in core; boundary entry exists),UNCERTAIN_2026_丰台_期末_18_MIXED,F0207 F0208 F0387 F0388,F0208 F0387,F0207 F0388,n/a,no_REAL_midterm_2026丰台_provided,partially_breaks_user_claim,F0208/F0387 ocr blocked,confirm_codex_keep_boundary_and_fix_label,Codex matrix 把 2026丰台**期末** 错置于 '期中' 行，且 Q18 是 政治与法治+法律与生活 mixed — 不入核心是合理的，但 stage 字段错。,row 43
A_2026_延庆_一模,2026,延庆,一模,has_suite_exhaustive_core_rows,has_suite_exhaustive_core_rows,RECOVER_2026_延庆_一模_18_1,RECOVER_2026_延庆_一模_18_1,,,,F0158 F0159 F0368 F0369,F0159 F0368,F0158 F0369,no,n/a,consistent,none,confirm_codex,,row 44
A_2026_房山_一模,2026,房山,一模,has_suite_exhaustive_core_rows,has_suite_exhaustive_core_rows,RECOVER_2026_房山_一模_17_1,RECOVER_2026_房山_一模_17_1,,,UNCERTAIN_2026_房山_一模_17_2_MIXED,F0160 F0161 F0370 F0371,F0161 F0370,F0160 F0371,no,n/a,consistent,F0161/F0370 ocr blocked,confirm_codex,Q17(1) 核心；Q17(2) boundary。,row 45
A_2026_房山_二模,2026,房山,二模,has_suite_exhaustive_core_rows,has_suite_exhaustive_core_rows,CC0276;CC0277,CC0276;CC0277,,,,F0189 F0190 F0191,F0191,F0189 F0190,no,n/a,consistent,none,confirm_codex,Q17 与 Q18 入核心。,row 46
A_2026_朝阳_一模,2026,朝阳,一模,has_suite_exhaustive_core_rows,has_suite_exhaustive_core_rows,CC0283,CC0283,,,,F0162 F0163 F0372 F0373,F0163 F0372,F0162 F0373,no,n/a,consistent,none,confirm_codex,,row 47
A_2026_朝阳_二模,2026,朝阳,二模,has_suite_exhaustive_core_rows,has_suite_exhaustive_core_rows,CC0289,CC0289,,,,F0192 F0193 F0194,F0194,F0193,no,n/a,consistent,none,confirm_codex,,row 48
A_2026_朝阳_期中,2026,朝阳,期中,no_law_subjective_confirmed,FALSE_no_law_conflated_with_朝阳期末,(none in core),(none for 真期中),MISS_CC_2026_朝阳_期末_18_1 (实质是期末漏题),,,F0209-F0213;F0389-F0393,F0211 F0213 F0391 F0392,F0209 F0210 F0212 F0389 F0390 F0393,n/a,期中_yes_期末_NO,BREAKS_user_claim_only_until_朝阳期末_split_out,F0212/F0213/F0392/F0393 ocr blocked but rendered ok,REJECT_CODEX_AND_SPLIT_SUITE,真2026朝阳期中 (F0211/F0391) 主观题 16-21 无法律与生活 — '期中无法律题'对真期中 OK；但 Codex 把 2026朝阳期末 文件并入此行后整体判 no_law — 实际 2026朝阳期末 Q18(1) (rendered F0212 page_002) 明确写'运用《法律与生活》知识'+ formal 7分细则。必须拆出 2026朝阳期末 为独立 suite 并把 Q18(1) 加入核心。,row 49
A_2026_海淀_一模,2026,海淀,一模,has_suite_exhaustive_core_rows,has_suite_exhaustive_core_rows,CC0305,CC0305,,,,F0164 F0165 F0166 F0374 F0375,F0166 F0374,F0165 F0375,no,n/a,consistent,F0166/F0374 ocr blocked,confirm_codex,Q18(3) 入核心。,row 50
A_2026_海淀_二模,2026,海淀,二模,has_suite_exhaustive_core_rows,has_suite_exhaustive_core_rows,CC0311,CC0311 (建议拆为 18_2),,CC0311 sub_question 未拆,,F0195 F0196 F0197,F0197,,no,n/a,consistent,evidence_level=reference_only,confirm_codex_with_split,Q18(2) 是法律与生活；Q18(1) 是逻辑思维。当前 row 未拆 sub_question_no，导致 ask/material 跨模块。,row 51
A_2026_海淀_期中,2026,海淀,期中,has_suite_exhaustive_core_rows,stage_mismatch_actually_期末_real_期中_no_law,CC0317;CC0318;CC0319,CC0317;CC0318;CC0319 (stage 应改 期末),,CC0317;CC0318;CC0319 (stage 错),,F0214-F0217;F0394-F0397,F0215 (真期中) F0217 F0394 F0397,F0216 F0396,n/a,真期中_yes_期末_no,partially_breaks_user_claim_stage_label_wrong,F0214/F0395 ocr blocked,fix_stage_to_期末_and_split,真2026海淀期中 (F0215/F0394) 主观题 16-22 无法律与生活；CC0317-319 全部来自 2026海淀期末 (F0216/F0217/F0396/F0397)。建议拆出 2026海淀期末 suite。,row 52
A_2026_石景山_一模,2026,石景山,一模,has_suite_exhaustive_core_rows,has_suite_exhaustive_core_rows,CC0325,CC0325,,,,F0167 F0168 F0376 F0377,F0168 F0376,F0167 F0377,no,n/a,consistent,none,confirm_codex,,row 53
A_2026_石景山_二模,2026,石景山,二模,has_suite_exhaustive_core_rows,has_suite_exhaustive_core_rows,CC0332,CC0332,,,,F0198 F0199,F0199,F0198,no,n/a,consistent,none,confirm_codex,,row 54
A_2026_石景山_期中,2026,石景山,期中,stage_mapping_conflict,stage_mapping_conflict_not_real_suite,,,,,STAGE_CONFLICT_2026_石景山_期中,F0398,F0398,,n/a,n/a,n/a,n/a,confirm_codex,manifest 把石景山期末文件错置入期中分组；并入石景山期末阻塞。,row 55
A_2026_石景山_期末,2026,石景山,期末,special_user_excluded_or_source_blocked,special_user_excluded_or_source_blocked,,,,,BLOCKED_2026_石景山_期末_17_SOURCE_EXCLUDED,F0225 F0226,paper_missing,F0226,no,n/a,n/a,paper_missing_user_excluded,confirm_codex,试卷缺；按用户硬规则不入。,row 56
A_2026_西城_一模,2026,西城,一模,has_suite_exhaustive_core_rows,has_suite_exhaustive_core_rows,CC0340,CC0340,,,,F0169-F0171;F0378-F0380,F0170 F0171 F0378 F0380,F0169 F0379,no,n/a,consistent,F0170/F0378 ocr blocked,confirm_codex,,row 57
A_2026_西城_二模,2026,西城,二模,has_suite_exhaustive_core_rows,has_suite_exhaustive_core_rows,RECOVER_2026_西城_二模_18_1;_18_2;_18_3,同上,,,,F0200 F0201,F0201,F0200,no,n/a,consistent,F0200 ocr blocked but rendered ok,confirm_codex,Q18(1)(2)(3) 入核心。,row 58
A_2026_西城_期中,2026,西城,期中,has_suite_exhaustive_core_rows,stage_mismatch_actually_期末,CC0353,CC0353 (stage 应改 期末),,CC0353 (stage 错),,F0218-F0221;F0399-F0401,F0399,F0219 F0220 F0221 F0400 F0401,n/a,no_REAL_midterm_2026西城_provided,partially_breaks_user_claim_stage_label_wrong,F0219/F0400 ocr blocked rubric,fix_stage_to_期末_and_split,Codex 把 2026西城**期末** 挂在'期中'行。CC0353 内容 OK，stage 错。当前 evidence=reference_only。,row 59
A_2026_通州_一模,2026,通州,一模,has_suite_exhaustive_core_rows,has_suite_exhaustive_core_rows,RECOVER_2026_通州_一模_20,RECOVER_2026_通州_一模_20,,,,F0172 F0173,F0173,F0172,no,n/a,consistent,F0173 ocr blocked,confirm_codex,,row 60
A_2026_通州_期中,2026,通州,期中,has_suite_exhaustive_core_rows,stage_mismatch_actually_期末,CC0364,CC0364 (stage 应改 期末),,CC0364 (stage 错),,F0222-F0224;F0402;F0403,F0224 F0402,F0223 F0403,n/a,no_REAL_midterm_2026通州_provided,partially_breaks_user_claim_stage_label_wrong,none,fix_stage_to_期末_and_split,Codex 把 2026通州**期末** 挂在'期中'行；CC0364 内容 OK，stage 错。,row 61
A_2026_门头沟_一模,2026,门头沟,一模,has_suite_exhaustive_core_rows,has_suite_exhaustive_core_rows,RECOVER_2026_门头沟_一模_18_1,RECOVER_2026_门头沟_一模_18_1,,,,F0174 F0175 F0381 F0382,F0175 F0381,F0174 F0382,no,n/a,consistent,none,confirm_codex,,row 62
A_2026_顺义_一模,2026,顺义,一模,has_suite_exhaustive_core_rows,has_suite_exhaustive_core_rows,CC0373,CC0373,,,,F0176 F0177 F0383 F0384,F0177 F0384,F0176 F0383,no,n/a,consistent,none,confirm_codex,,row 63
A_2026_顺义_二模,2026,顺义,二模,has_suite_exhaustive_core_rows,has_suite_exhaustive_core_rows,CC0380_2026_顺义_二模_18_2,CC0380,,,,F0202 F0203,F0203,F0202,no,n/a,consistent,F0203 ocr blocked,confirm_codex,,row 64
B_2026_朝阳_期末_NEW_SUITE,2026,朝阳,期末,not_listed_as_separate_suite_in_codex_matrix,NEW_suite_needed_with_missed_core,,,MISS_CC_2026_朝阳_期末_18_1,,,F0212 F0213 F0392 F0393,F0213 F0392,F0212 F0393,n/a,n/a,BREAKS_user_claim_until_recovered,F0212/F0213/F0392/F0393 全 ocr_blocked but rendered ok,SPLIT_OUT_AS_NEW_SUITE_AND_ADD_CORE,Codex 把朝阳期末并入'2026朝阳期中'行；rendered F0212 page_002 显示 Q18(1) 7分'运用《法律与生活》知识'+ formal 阅卷细则。必须拆出独立 suite 并加入核心。,见 BLK_2026_朝阳_期末_*
B_2026_东城_期末_RENAME,2026,东城,期末,merged_into_期中_in_codex_matrix,rename_期中_to_期末,CC0244;CC0245,CC0244;CC0245,,,,F0205 F0206 F0385 F0386,F0206 F0385 F0386,F0205,n/a,n/a,partially_breaks_user_claim_stage_label_wrong,none,RENAME_期中_to_期末,所有源文件路径在 '2026东城期末' 目录；rename stage 即可。,row 40
B_2026_海淀_期末_SPLIT,2026,海淀,期末,merged_into_期中_in_codex_matrix,split_off_新建_期末_suite,CC0317;CC0318;CC0319,CC0317;CC0318;CC0319,,,,F0216 F0217 F0396 F0397,F0217 F0397,F0216 F0396,n/a,n/a,partially_breaks_user_claim_stage_label_wrong,none,SPLIT_期末_FROM_期中,源在 '2026海淀期末' 目录；真海淀期中无法律题，海淀期末才是 CC0317-319 来源。,row 52
B_2026_西城_期末_RENAME,2026,西城,期末,merged_into_期中_in_codex_matrix,rename_期中_to_期末,CC0353,CC0353,,,,F0218-F0221;F0399-F0401,F0399,F0219 F0220 F0221 F0400 F0401,n/a,n/a,partially_breaks_user_claim_stage_label_wrong,F0219/F0400 ocr blocked,RENAME_期中_to_期末,所有源在 '2026西城期末'。,row 59
B_2026_通州_期末_RENAME,2026,通州,期末,merged_into_期中_in_codex_matrix,rename_期中_to_期末,CC0364,CC0364,,,,F0222-F0224 F0402 F0403,F0224 F0402,F0223 F0403,n/a,n/a,partially_breaks_user_claim_stage_label_wrong,none,RENAME_期中_to_期末,所有源在 '2026通州期末'。,row 61
B_2026_丰台_期末_RENAME,2026,丰台,期末,merged_into_期中_in_codex_matrix,rename_期中_to_期末_keep_boundary,,,,,UNCERTAIN_2026_丰台_期末_18_MIXED,F0207 F0208 F0387 F0388,F0208 F0387,F0207 F0388,n/a,n/a,partially_breaks_user_claim_stage_label_wrong,F0208/F0387 ocr blocked,RENAME_期中_to_期末,所有源在 '2026丰台期末'；Q18 mixed 仍保留 boundary。,row 43
