suite,question_no,priority_group,codex_status,claudecode_status,worker_status,patcher_status,governor_status,fusion_status,evidence_status,notes
2026西城期末,20,西城重点,batch03_fusion_candidate_with_fixes,lane_b_pending_codex_recheck_superseded,batch03_entries_written,batch03_fix_required_review_done,batch03_pass_with_fixes,batch03_candidate_with_fixes,P0_formal_scoring_rule_visual_recheck,教师版第8页题面、细则PDF第4-5页视觉核读完成；worker已写条目；Patcher=FIX_REQUIRED但给出修正口径；Governor=PASS_WITH_FIXES；已生成Batch03候选融合表；角度2为4选3且同槽变体不拆频
2024海淀一模,18,海淀扩展,batch04A_candidate_with_fixes,not_run,batch04A_worker_candidate_done,batch04A_pass_with_fixes,batch04A_pass_with_guard,batch04A_candidate_with_fixes,P0_formal_scoring_rule_text,免签与高水平对外开放；细则支持贸易投资便利化、全球资源要素、两个市场两种资源；暂未入学生稿
2024海淀二模,18(1),海淀扩展,batch04A_boundary_only,not_run,batch04A_worker_boundary_done,batch04A_pass_with_fixes,batch04A_pass_with_guard,boundary_only,P1_answer_in_scoring_file_needs_boundary,民主与全球治理开放述评；答案角度宽泛且无详细细则；只作迁移候选
2025海淀一模,21(2),海淀扩展,batch04A_reference_boundary,not_run,batch04A_worker_boundary_done,batch04A_pass_with_fixes,batch04A_pass_with_guard,reference_only,P1_reference_plus_P0_marking_caution,外贸进出口开放战略；参考答案可用但细则文件主要是学生错误提醒；不得把错误方向入稿
2026海淀一模,20,海淀扩展,batch04A_candidate_with_fixes,not_run,batch04A_worker_candidate_done_visual_prompt,batch04A_pass_with_fixes,batch04A_pass_with_guard,batch04A_candidate_with_fixes,P1_structured_answer_in_scoring_file_plus_P3_visual_prompt,制度型开放与全球经济治理；试卷第7页视觉核读完成；保持P1+P3不升P0；暂未入学生稿
2026海淀期中,22,海淀扩展,batch04A_reference_boundary,not_run,batch04A_worker_boundary_done,batch04A_pass_with_fixes,batch04A_pass_with_guard,reference_only,P3_paper_answer_doc_no_scoring_source,全球治理倡议；未定位正式细则；仅参考/迁移候选
2026西城一模,20(2),西城扩展,batch04B_candidate_with_fixes,not_run,batch04B_worker_candidate_done,batch04B_pass,batch04B_pass_with_guard,batch04B_candidate_with_fixes,P0_formal_scoring_rule_text,中国东盟自贸区3.0；贸易投资便利化、产业链供应链安全稳定、国际分工、发展中国家发言权、多边主义和全球经济治理；暂未入学生稿
2025西城一模,21,西城扩展,batch04B_candidate_with_fixes,not_run,batch04B_worker_candidate_done,batch04B_pass,batch04B_pass_with_guard,batch04B_candidate_with_fixes,P0_formal_scoring_rule_text,发展理念作为国际公共产品；只收国际公共产品、人类共同利益、中国智慧中国方案和经济全球化方向；新发展理念本体不入主链
2025西城二模,19(2),西城扩展,batch04B_candidate_with_fixes,not_run,batch04B_worker_candidate_done,batch04B_pass,batch04B_pass_with_guard,batch04B_candidate_with_fixes,P0_formal_scoring_rule_text,最不发达国家零关税；正确义利观、中国市场、共享机遇、普惠包容经济全球化；暂未入学生稿
2025西城期末,20(2),西城扩展,batch04B_candidate_with_fixes,not_run,batch04B_worker_candidate_done,batch04B_pass,batch04B_pass_with_guard,batch04B_candidate_with_fixes,P0_formal_scoring_rule_pdf_text,欧盟反补贴税；国际规则和国际组织权利、市场多元化、走出去合作、贸易壁垒应对；暂未入学生稿
2024西城二模,19,西城扩展,batch04B_candidate_with_fixes,not_run,batch04B_worker_candidate_done,batch04B_pass,batch04B_pass_with_guard,batch04B_candidate_with_fixes,P0_formal_scoring_rule_text,人类命运共同体超越逻辑与国际秩序公正合理已拆窄；第一句多选一、第二句多选二；替代表述仅作积累不拆必答频次
2024西城一模,19(6),西城扩展,batch04B_candidate_with_fixes,not_run,batch04B_worker_candidate_done,batch04B_pass,batch04B_pass_with_guard,batch04B_candidate_with_fixes,P0_formal_scoring_rule_text,未来产业出海与卡脖子；选必一相关术语可抽取但未来产业和新质生产力不入主链；助推作用多选三边界保留
2025西城一模,18,西城扩展,batch04B_boundary_only,not_run,batch04B_worker_low_priority_downgraded,batch04B_pass,batch04B_pass_with_guard,boundary_only,P0_formal_scoring_rule_text_but_wrong_book_prompt,题干为经济与社会；两个市场两种资源联动和贸易便利化只作跨书迁移不计选必一主链频次
2026东城期末,20,东城扩展,batch04C_candidate_with_fixes,not_run,batch04C_worker_candidate_done,batch04C_pass,batch04C_pass_with_guard,batch04C_candidate_with_fixes,P0_formal_scoring_rule_pptx,四大全球倡议系统推动构建人类命运共同体；4+2+1结构；返修后统一父核心；暂未入学生稿
2025东城二模,20,东城扩展,batch04C_candidate_with_fixes,not_run,batch04C_worker_candidate_done,batch04C_pass,batch04C_pass_with_guard,batch04C_candidate_with_fixes,P0_formal_scoring_rule_pdf_text,同球共济小论文；背景、精神、行动三层；暂未入学生稿
2025东城一模,20,东城扩展,batch04C_candidate_with_fixes,not_run,batch04C_worker_candidate_done,batch04C_pass,batch04C_pass_with_guard,batch04C_candidate_with_fixes,P0_formal_scoring_rule_pdf_text,元首外交精彩；共同利益、经济全球化完整方向、全球治理/国际关系民主化、人类命运共同体实践；暂未入学生稿
2024东城二模,20,东城扩展,batch04C_candidate_with_fixes_visual_prompt,not_run,batch04C_worker_candidate_done_visual_needed,batch04C_pass,batch04C_pass_with_guard,batch04C_candidate_with_fixes,P0_marking_summary_docx_with_visual_paper_prompt,三大倡议助力人类未来；阅卷总结给出路径+效果+总论；原卷第10页已视觉核读；三大倡议已拆子槽；暂未入学生稿
2025东城期末,20,东城扩展,batch04C_candidate_with_fixes,not_run,batch04C_worker_candidate_done,batch04C_pass,batch04C_pass_with_guard,batch04C_candidate_with_fixes,P0_formal_scoring_rule_pdf_text,新能源汽车和欧盟反补贴；经济全球化、贸易保护主义/逆全球化、维护利益互利共赢贸易自由便利；暂未入学生稿
2026东城一模,19(3),东城扩展,batch04C_boundary_only,not_run,batch04C_worker_boundary_done,batch04C_pass,batch04C_pass_with_guard,boundary_only,P0_formal_scoring_rule_pptx_but_mixed_module,题干明示选必一但混入未来产业/高水平对外开放/产业链韧性；仅边界观察不计主链频次
2025朝阳二模,21,朝阳扩展,batch04D_candidate_with_fixes,claudecode_batch04D_complete,batch04D_worker_candidate_done,batch04D_patcher_pass_after_fixes,batch04D_governor_pass_after_fixes,batch04D_candidate_with_fixes,P0_formal_scoring_rule_text,周边工作新局面；中国发展需要、区域发展需要、世界发展需要三层；暂未入学生稿
2024朝阳二模,20,朝阳扩展,batch04D_candidate_with_fixes,claudecode_batch04D_complete,batch04D_worker_candidate_done,batch04D_patcher_pass_after_fixes,batch04D_governor_pass_after_fixes,batch04D_candidate_with_fixes,P0_formal_scoring_rule_text,完善全球气候治理；平等开放原则、全球治理体系、共同但有区别责任；企业绿色低碳只边界留痕；暂未入学生稿
2024朝阳一模,21,朝阳扩展,batch04D_candidate_with_fixes_boundary_guard,claudecode_batch04D_complete,batch04D_worker_candidate_done,batch04D_patcher_pass_after_fixes,batch04D_governor_pass_after_fixes,batch04D_candidate_with_fixes_boundary_guard,P0_formal_scoring_rule_pptx_with_P1_reference_support,中国经济在变局中开新局；只抽政治多极化和经济全球化可用点；补充docx降为P1参考支持；混模块边界保留
2025朝阳一模,20,朝阳扩展,batch04D_candidate_with_fixes_visual,claudecode_batch04D_complete,batch04D_worker_candidate_done_visual,batch04D_patcher_pass_after_fixes,batch04D_governor_pass_after_fixes,batch04D_candidate_with_fixes,P0_formal_scoring_rule_visual,全球产业链供应链新态势；细则PDF第2-3页视觉核读；绿色和数字化保持边界
2026朝阳期末,20,朝阳扩展,batch04D_candidate_with_fixes_visual,claudecode_batch04D_complete,batch04D_worker_candidate_done_visual,batch04D_patcher_pass_after_fixes,batch04D_governor_pass_after_fixes,batch04D_candidate_with_fixes,P0_formal_scoring_rule_visual,中国特色大国外交更有作为；试卷第7页和细则第3页视觉核读；四角度背景+目标拆分
2024朝阳期中,20(3),朝阳扩展,batch04D_candidate_with_boundary_guard,claudecode_batch04D_complete,batch04D_worker_candidate_done,batch04D_patcher_pass_after_fixes,batch04D_governor_pass_after_fixes,batch04D_candidate_with_boundary_guard,P0_formal_scoring_rule_text,数字贸易短评第三问；经济全球化和全球治理可抽取；前两问经济与社会及短评形式分不入主链
2025朝阳期末,21,朝阳扩展,batch04D_P2_candidate_with_guard,claudecode_batch04D_complete,batch04D_worker_p2_guard,batch04D_patcher_pass_after_fixes,batch04D_governor_pass_after_fixes,batch04D_P2_candidate_with_guard,P2_teaching_lecture_with_point_scoring,P0细则PDF仅等级答案式宽口径不升P0；P2讲评PPT第32-34页含1+1+2+2+1结构；仅作低等级候选和表述积累
2024海淀期中,16(2),海淀补遗,batch04E_candidate_with_boundary_guard,not_run,batch04E_worker_candidate_done,batch04E_patcher_pass,batch04E_governor_pass_after_fixes,batch04E_candidate_with_boundary_guard,P0_formal_scoring_rule_pdf_text,咖啡企业出海建议；细则明确必修二4分+选必一2分；只收国际组织赋权/全球经济治理/规则制定点；暂未入学生稿
2024海淀期中,21(2),海淀补遗,batch04E_candidate_with_fixes,not_run,batch04E_worker_candidate_done,batch04E_patcher_pass,batch04E_governor_pass_after_fixes,batch04E_candidate_with_fixes,P0_formal_scoring_rule_pdf_text,新中国外交的变与不变；变4分+不变5分；HDQZ02-HDQZ04属变侧；HDQZ05-HDQZ06属不变侧；暂未入学生稿
2025丰台二模,18,郊区补遗,batch04F_no_xuanbiyi,claudecode_batch04F_complete,batch04F_worker_boundary_done,batch04F_patcher_pass_after_fixes,batch04F_governor_pass,no_xuanbiyi,P0_formal_marking_docx,《经济与社会》提振消费示意图；只作源穷尽边界记录；不入选必一频次
2025丰台二模,19(2),郊区补遗,batch04F_no_xuanbiyi,claudecode_batch04F_complete,batch04F_worker_boundary_done,batch04F_patcher_pass_after_fixes,batch04F_governor_pass,no_xuanbiyi,P0_formal_marking_docx,《法律与生活》司法建议题；只作源穷尽边界记录；不入选必一频次
2025丰台二模,20,郊区补遗,batch04F_candidate_with_fixes,claudecode_batch04F_complete,batch04F_worker_candidate_done,batch04F_patcher_pass_after_fixes,batch04F_governor_pass,batch04F_candidate_with_fixes,P0_formal_scoring_rule_docx,全球治理注入中国力量；四角度各2分；全球南方/国际组织/联合国不能只写关键词；FT04统一共商共建共享词序；暂未入学生稿
2025丰台二模,21,郊区补遗,batch04F_boundary_only_exhaustion,claudecode_batch04F_complete,batch04F_worker_boundary_done,batch04F_patcher_pass_after_fixes,batch04F_governor_pass,boundary_only_exhaustion,P0_formal_marking_docx,综合运用所学谈审势乘势驭势；等级评分主轴不是选必一；boundary_only/exhaustion-only；不提升频次
2025门头沟一模,19,郊区补遗,batch04G_candidate_with_fixes,claudecode_batch04G_complete,batch04G_worker_candidate_done,batch04G_patcher_pass_after_ab_closure,batch04G_governor_pass_after_ab_closure,batch04G_candidate_with_fixes,P0_formal_scoring_rule_doc,赋能型大国世界意义；四角度每条2分；两个市场两种资源不给分；国家关系民主化/世界多极化/多边主义裸写不给分；ClaudeCode B无证据冲突；Patcher/Governor A/B闭合；暂未入学生稿
2026门头沟一模,20,郊区补遗,batch04H_candidate_with_fixes,claudecode_batch04H_complete,batch04H_worker_candidate_done,batch04H_patcher_pass_after_ab_review,batch04H_governor_pass_after_ab_review,batch04H_candidate_with_fixes,P0_formal_scoring_rule_docx,海南自贸港全岛封关；原因2分+中国意义2分+世界意义2分+逻辑1分；保留制度型开放/贸易自由化便利化/开放型世界经济等完整表述；两种市场两种资源仅本题中国侧正面赋分；ClaudeCode B完成且A/B闭合；暂未入学生稿
2026门头沟一模,21,郊区补遗,batch04H_boundary_only_expression_accumulation,claudecode_batch04H_complete,batch04H_worker_boundary_done,batch04H_patcher_pass_after_ab_review,batch04H_governor_pass_after_ab_review,boundary_only_expression_accumulation,P0_composite_level_scoring_boundary,综合运用所学谈中国为何能为世界提供确定性；材料三有选必一4分块但非逐点术语细则；A/B一致保持边界；不提升频次
2026丰台一模,18,郊区补遗,batch04I_no_xuanbiyi,claudecode_batch04I_complete,batch04I_worker_boundary_done,batch04I_patcher_pass_after_ab_review,batch04I_governor_pass_after_ab_review,no_xuanbiyi_boundary,P0_scoring_pptx_boundary,Q18(1)经济与社会；Q18(2)逻辑与思维；只作源穷尽边界记录
2026丰台一模,19,郊区补遗,batch04I_candidate_with_guard,claudecode_batch04I_complete,batch04I_worker_guarded_candidate_done,batch04I_patcher_pass_after_ab_review,batch04I_governor_pass_after_ab_review,batch04I_candidate_with_guard,P0_scoring_pptx_reference_answer_guarded,全球可持续发展大国情怀与担当；PPTX有试题分析和参考答案但无逐点赋分细则；A/B闭合只准表述积累；不得升级稳定逐点频次；暂未入学生稿
2026丰台一模,20,郊区补遗,batch04I_no_xuanbiyi_visual,claudecode_batch04I_complete,batch04I_worker_boundary_done,batch04I_patcher_pass_after_ab_review,batch04I_governor_pass_after_ab_review,no_xuanbiyi_boundary,P3_visual_prompt_support,以案释法明理释义；法律与生活；试卷PDF本轮视觉核读page_09；不入选必一频次
2026延庆一模,19(2),郊区补遗,batch04J_candidate_with_fixes_after_ab_review,claudecode_batch04J_complete,batch04J_worker_candidate_done,batch04J_patcher_pass_after_ab_review,batch04J_governor_pass_after_ab_review,batch04J_candidate_with_fixes,P0_formal_scoring_rule_docx,绿色能源国际合作与全球能源治理；理论逻辑4分+价值意蕴4分；完整设问已视觉核读；ClaudeCode B完成退出；A/B裁决保留5个合并核心并吸收B线8项为OR备用表述/表述积累；中国方案只作boundary expression；暂未入学生稿
2026延庆一模,19(1),郊区补遗,batch04J_no_xuanbiyi_closed,claudecode_batch04J_complete,batch04J_worker_boundary_done,batch04J_patcher_boundary_pass_after_ab_review,batch04J_governor_boundary_pass_after_ab_review,no_xuanbiyi_boundary,P0_no_xuanbiyi_boundary,经济与社会电力自由推动高质量发展；A/B一致只作源穷尽边界记录
2026延庆一模,18(2),郊区补遗,batch04J_no_xuanbiyi_closed,claudecode_batch04J_complete,batch04J_worker_boundary_done,batch04J_patcher_boundary_pass_after_ab_review,batch04J_governor_boundary_pass_after_ab_review,no_xuanbiyi_boundary,P0_no_xuanbiyi_boundary,逻辑与思维虚拟数字人直播思考；A/B一致只作源穷尽边界记录
2026房山一模,19,郊区补遗,batch04K_candidate_with_fixes_after_ab_review,claudecode_batch04K_complete,batch04K_worker_candidate_done,batch04K_patcher_pass_after_ab_review,batch04K_governor_pass_after_ab_review,batch04K_candidate_with_fixes,P0_formal_scoring_rule_docx,海南自贸港封关助力国际循环；ClaudeCode B完成退出并核清1-5机制每个2分但封顶6分+制度型开放中国方案组独立2分；Codex保留市场/生产/投资/制度型开放四容器但底层按5+cap+2结构；暂未入学生稿
2026房山一模,16(1),郊区补遗,batch04K_boundary_only_closed,claudecode_batch04K_complete,batch04K_worker_boundary_done,batch04K_patcher_boundary_pass_after_ab_review,batch04K_governor_boundary_pass_after_ab_review,boundary_only,P0_mixed_module_boundary,因地制宜服务大局的经济与社会题；含开放表述但A/B一致不入选必一主频
2026房山一模,20,郊区补遗,batch04K_boundary_only_closed,claudecode_batch04K_complete,batch04K_worker_boundary_done,batch04K_patcher_boundary_pass_after_ab_review,batch04K_governor_boundary_pass_after_ab_review,boundary_only,P0_composite_boundary,综合等级题含世界意义中国智慧中国方案示例；A/B一致不作为选必一逐点细则
2026石景山一模,20,郊区补遗,batch04L_candidate_with_guard_after_ab_review,claudecode_batch04L_complete,batch04L_worker_guarded_candidate_done,batch04L_patcher_pass_with_fixes_after_ab_review,batch04L_governor_pass_after_ab_review,batch04L_candidate_with_guard,P0_scoring_reference_level_guarded,A/B闭合：关键词等级题 guarded 候选；共商共建共享已限定为全球治理观；开放/包容保留高信息表达；HMC/和平发展合作共赢只作可选升华；不得冒充逐点细则或直接入学生终稿
2026石景山一模,16,郊区补遗,batch04L_no_xuanbiyi_boundary_closed_after_ab_review,claudecode_batch04L_complete,batch04L_worker_boundary_done,batch04L_boundary_pass_after_ab_review,batch04L_boundary_pass_after_ab_review,no_xuanbiyi_boundary_closed,P0_no_xuanbiyi_boundary,经济与社会新型消费；只作源穷尽边界记录；A/B闭合后继续边界排除，不入选必一主表
2026石景山一模,17,郊区补遗,batch04L_no_xuanbiyi_boundary_closed_after_ab_review,claudecode_batch04L_complete,batch04L_worker_boundary_done,batch04L_boundary_pass_after_ab_review,batch04L_boundary_pass_after_ab_review,no_xuanbiyi_boundary_closed,P0_no_xuanbiyi_boundary,哲学文化和逻辑与思维；只作源穷尽边界记录；A/B闭合后继续边界排除，不入选必一主表
2026石景山一模,18,郊区补遗,batch04L_no_xuanbiyi_boundary_closed_after_ab_review,claudecode_batch04L_complete,batch04L_worker_boundary_done,batch04L_boundary_pass_after_ab_review,batch04L_boundary_pass_after_ab_review,no_xuanbiyi_boundary_closed,P0_no_xuanbiyi_boundary,法律与生活；只作源穷尽边界记录；A/B闭合后继续边界排除，不入选必一主表
2026石景山一模,19,郊区补遗,batch04L_no_xuanbiyi_boundary_closed_after_ab_review,claudecode_batch04L_complete,batch04L_worker_boundary_done,batch04L_boundary_pass_after_ab_review,batch04L_boundary_pass_after_ab_review,no_xuanbiyi_boundary_closed,P0_no_xuanbiyi_boundary,政治与法治城市治理；只作源穷尽边界记录；A/B闭合后继续边界排除，不入选必一主表
2026石景山一模,21,郊区补遗,batch04L_composite_boundary_closed_after_ab_review,claudecode_batch04L_complete,batch04L_worker_boundary_done,batch04L_boundary_pass_after_ab_review,batch04L_boundary_pass_after_ab_review,boundary_only_closed,P0_composite_boundary,生态环境法典综合等级题；中国智慧中国方案仅为示例修辞；A/B闭合后继续不入选必一逐点细则
2026海淀期末,all,Batch04M剩余穷尽,batch04M_boundary_closed,claudecode_batch04M_complete,batch04M_worker_triage_done,pass_ab_closure_review,pass_with_guard_ab_closure,no_xuanbiyi_boundary,P0_scoring_pdf_no_xuanbiyi,A/B一致：无选必一主观题；只作源穷尽边界。
2024丰台一模,20,Batch04M剩余穷尽,batch04M_guarded_after_ab,claudecode_batch04M_complete,batch04M_worker_triage_done,pass_ab_closure_review,pass_with_guard_ab_closure,candidate_with_guard_cap_tier,P0_scoring_docx_level_aspects_guarded,四方面等级说明，按角度数给分；可作供应链/贸易投资/经济全球化表述积累，不当固定逐点 rubric。
2024丰台二模,19,Batch04M剩余穷尽,batch04M_candidate_after_ab,claudecode_batch04M_complete,batch04M_worker_triage_done,pass_ab_closure_review,pass_with_guard_ab_closure,candidate_with_fixes,P0_formal_scoring_docx,三角度各2分；大国担当、南南合作、中国智慧中国方案、人类命运共同体相关表达可入。
2024石景山一模,19(2),Batch04M剩余穷尽,batch04M_reference_only_after_ab,claudecode_batch04M_complete,batch04M_worker_triage_done,pass_ab_closure_review,pass_with_guard_ab_closure,reference_only_not_promoted,P1_reference_answer_only,A/B裁决：无正式评分标准；移出主表，仅作边界表达意识。
2024顺义二模,19(2),Batch04M剩余穷尽,batch04M_reference_only_after_ab,claudecode_batch04M_complete,batch04M_worker_triage_done,pass_ab_closure_review,pass_with_guard_ab_closure,reference_only_not_promoted,P1_reference_answer_only_mixed_module,A/B裁决：参考答案且混合模块；移出主表。
2025丰台一模,20,Batch04M剩余穷尽,batch04M_guarded_fallback_after_ab,claudecode_batch04M_complete,batch04M_worker_triage_done,pass_ab_closure_review,pass_with_guard_ab_closure,candidate_with_guard_fallback_only,P0_formal_scoring_docx_guarded_fallback_only,A/B裁决：四个实践措施为经济与社会主码；选必一只保留双循环/两个市场两种资源兜底表达；硬性负向规则保留。
2025丰台期末,20,Batch04M剩余穷尽,batch04M_candidate_after_ab,claudecode_batch04M_complete,batch04M_worker_triage_done,pass_ab_closure_review,pass_with_guard_ab_closure,candidate_with_fixes,P0_formal_scoring_pptx,中非理论逻辑4分+价值意蕴4分，逐点结构清楚。
2025延庆一模,20(2),Batch04M剩余穷尽,batch04M_candidate_after_ab,claudecode_batch04M_complete,batch04M_worker_triage_done,pass_ab_closure_review,pass_with_guard_ab_closure,candidate_with_fixes,P0_formal_scoring_docx,时代主题、经济全球化完整五词、多极化/HMC四组清楚。
2025房山一模,18(2),Batch04M剩余穷尽,batch04M_candidate_after_ab,claudecode_batch04M_complete,batch04M_worker_triage_done,pass_ab_closure_review,pass_with_guard_ab_closure,candidate_with_fixes_chain_logic,P0_formal_scoring_pdf,两条主链+逻辑分；联合国框架、创新型开放型世界经济等不可替代项保留。
2025昌平二模,21,Batch04M剩余穷尽,batch04M_guarded_admit_after_ab,claudecode_batch04M_complete,batch04M_worker_triage_done,pass_ab_closure_review,pass_with_guard_ab_closure,candidate_with_guard_no_explicit_book,P0_guarded_no_explicit_book,未显式限定选必一；只收选必一-exclusive 经济全球化/全球经济治理表达，双码措施保留边界。
2025石景山一模,17(2),Batch04M剩余穷尽,batch04M_candidate_after_ab,claudecode_batch04M_complete,batch04M_worker_triage_done,pass_ab_closure_review,pass_with_guard_ab_closure,candidate_with_fixes,P0_formal_scoring_doc,四个2分中国主张；全球治理观、国际关系民主化、普惠包容经济全球化、真正多边主义/联合国核心。
2025顺义一模,20,Batch04M剩余穷尽,batch04M_candidate_after_ab,claudecode_batch04M_complete,batch04M_worker_triage_done,pass_ab_closure_review,pass_with_guard_ab_closure,candidate_with_fixes,P0_formal_scoring_docx,小而美项目四组2分；理念/世界贡献按上限结构处理。
2026丰台期末,20,Batch04M剩余穷尽,batch04M_prompt_only_blocker_confirmed,claudecode_batch04M_complete,batch04M_worker_triage_done,pass_ab_closure_review,pass_with_guard_ab_closure,blocked_prompt_only,prompt_found_current_scoring_missing_confirmed_by_claudecode,LAC五大工程题面找到，但当前评分细则缺失；placeholder terms 不提升。
2024模块分类汇编,source_bundle,Batch04M剩余穷尽,batch04M_source_bundle_boundary,claudecode_batch04M_complete,batch04M_worker_triage_done,pass_ab_closure_review,pass_with_guard_ab_closure,source_bundle_boundary,no_p0_scoring_bundle_only,模块分类汇编不是独立评分细则源，不作为新题源 promotion。
2026石景山期末,all,Batch04M剩余穷尽,batch04M_excluded_confirmed,claudecode_batch04M_complete,batch04M_worker_triage_done,pass_ab_closure_review,pass_with_guard_ab_closure,excluded,user_confirmed_excluded_no_scoring,用户确认全模块排除，继续不处理不补入。
