ledger_id,suite,question_no,source_id,source_type,evidence_level,file_path_hint,status,notes
2026朝阳期中_Q17_SRC_763b7470b96b,2026朝阳期中,17,SRC_763b7470b96b,P0_candidate_scoring,P0_formal_scoring_rule,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026朝阳期中/细则/细则.docx,rechecked_batch01_promoted_source,DOCX Q17 formal scoring: three layers total/subpoints; boundary exclusions recorded
2026朝阳期中_Q17_SRC_1babd6c525fe,2026朝阳期中,17,SRC_1babd6c525fe,P0_candidate_scoring,P0_formal_scoring_support,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026朝阳期中/细则/补充材料/细则.docx,rechecked_batch01_support,Supplement scoring docx checked for same Q17 core lines
2026朝阳期中_Q17_SRC_e80d35a6d904,2026朝阳期中,17,SRC_e80d35a6d904,P0_candidate_scoring,P0_candidate,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026朝阳期末/细则/细则.pdf,located_needs_read_recheck,auto-located from current SOURCE_INVENTORY; not yet promoted to evidence
2026朝阳期中_Q17_SRC_cdafdcaa0136,2026朝阳期中,17,SRC_cdafdcaa0136,P3_candidate_paper,P3_paper_text_support,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026朝阳期中/试卷/试卷.pdf,rechecked_batch01_support,Paper PDF supports Q17 prompt and material signals
2026朝阳期中_Q17_SRC_0056d930a7a9,2026朝阳期中,17,SRC_0056d930a7a9,P3_candidate_paper,P3_paper_text,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026朝阳期末/试卷/试卷.pdf,located_needs_read_recheck,auto-located from current SOURCE_INVENTORY; not yet promoted to evidence
2025海淀期中_Q16_SRC_cda046c2d36d,2025海淀期中,16,SRC_cda046c2d36d,P0_candidate_scoring,user_confirmed_image_scoring_material,/Users/wanglifei/Desktop/2025模拟题/2025各区期末/2025海淀期中/细则/细则.docx,rechecked_batch01_promoted_source,DOCX embedded image2 visually verified; trade friction/global governance rule-making point used
2025海淀期中_Q16_SRC_e3da1b6b45ca,2025海淀期中,16,SRC_e3da1b6b45ca,P3_candidate_paper,P3_paper_text_support,/Users/wanglifei/Desktop/2025模拟题/2025各区期末/2025海淀期中/试卷/试卷.pdf,rechecked_batch01_support,Paper PDF supports Q16(2) prompt and material
2025海淀期中_Q16_SRC_d6013ffcac7e,2025海淀期中,16,SRC_d6013ffcac7e,P3_candidate_paper,P3_paper_text,/Users/wanglifei/Desktop/北京高考政治/选必一_当代国际政治与经济_从0重跑_GPT55内容监督_ClaudeCode完整复跑_2026-05-02/02_extraction/codex_extraction_logs/2025海淀期中/试卷_pdf_text.txt,located_needs_read_recheck,auto-located from current SOURCE_INVENTORY; not yet promoted to evidence
2025海淀期中_Q16_SRC_b1aeb67d2659,2025海淀期中,16,SRC_b1aeb67d2659,P2_candidate_teaching_or_lecture,P2_teaching_or_lecture,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026海淀期中/其他材料/期中讲评20251106.pdf,located_needs_read_recheck,auto-located from current SOURCE_INVENTORY; not yet promoted to evidence
2025海淀期中_Q21_SRC_cda046c2d36d,2025海淀期中,21,SRC_cda046c2d36d,P0_candidate_scoring,user_confirmed_image_scoring_material,/Users/wanglifei/Desktop/2025模拟题/2025各区期末/2025海淀期中/细则/细则.docx,rechecked_batch01_promoted_source,DOCX embedded image8 visually verified; new China diplomacy change/continuity table used
2025海淀期中_Q21_SRC_e3da1b6b45ca,2025海淀期中,21,SRC_e3da1b6b45ca,P3_candidate_paper,P3_paper_text_support,/Users/wanglifei/Desktop/2025模拟题/2025各区期末/2025海淀期中/试卷/试卷.pdf,rechecked_batch01_support,Paper PDF supports Q21(2) prompt and material
2025海淀期中_Q21_SRC_d6013ffcac7e,2025海淀期中,21,SRC_d6013ffcac7e,P3_candidate_paper,P3_paper_text,/Users/wanglifei/Desktop/北京高考政治/选必一_当代国际政治与经济_从0重跑_GPT55内容监督_ClaudeCode完整复跑_2026-05-02/02_extraction/codex_extraction_logs/2025海淀期中/试卷_pdf_text.txt,located_needs_read_recheck,auto-located from current SOURCE_INVENTORY; not yet promoted to evidence
2025海淀期中_Q21_SRC_b1aeb67d2659,2025海淀期中,21,SRC_b1aeb67d2659,P2_candidate_teaching_or_lecture,P2_teaching_or_lecture,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026海淀期中/其他材料/期中讲评20251106.pdf,located_needs_read_recheck,auto-located from current SOURCE_INVENTORY; not yet promoted to evidence
2025海淀期末_Q22_SRC_cda046c2d36d,2025海淀期末,22,SRC_cda046c2d36d,P0_candidate_scoring,P0_candidate,/Users/wanglifei/Desktop/2025模拟题/2025各区期末/2025海淀期中/细则/细则.docx,redundant_locator_not_used_in_batch02,Retained as locator/audit candidate; not used as Batch02 evidence source; do not promote without separate recheck
2025海淀期末_Q22_SRC_e3da1b6b45ca,2025海淀期末,22,SRC_e3da1b6b45ca,P3_candidate_paper,P3_paper_text,/Users/wanglifei/Desktop/2025模拟题/2025各区期末/2025海淀期中/试卷/试卷.pdf,redundant_locator_not_used_in_batch02,Retained as locator/audit candidate; not used as Batch02 evidence source; do not promote without separate recheck
2025海淀期末_Q22_SRC_61b68f14212d,2025海淀期末,22,SRC_61b68f14212d,teacher_training_ppt_with_q22_rubric,P2_teaching_lecture_with_q22_rubric,/Users/wanglifei/Desktop/2025模拟题/2025各区期末/2025海淀期末/细则/细则.pptx,rechecked_batch02_worker_candidate_source,Worker Batch02 extracted teacher-training PPT slides 60-62; optional 选必一 knowledge only
2025海淀期末_Q22_SRC_1bd40d845040,2025海淀期末,22,SRC_1bd40d845040,exam_paper_docx,P3_paper_text_support,/Users/wanglifei/Desktop/2025模拟题/2025各区期末/2025海淀期末/试卷/试卷.docx,rechecked_batch02_worker_support,Worker Batch02 extracted paper DOCX Q22 prompt/material
2025海淀期末_Q22_SRC_b1aeb67d2659,2025海淀期末,22,SRC_b1aeb67d2659,P2_candidate_teaching_or_lecture,P2_teaching_or_lecture,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026海淀期中/其他材料/期中讲评20251106.pdf,redundant_locator_not_used_in_batch02,Retained as locator/audit candidate; not used as Batch02 evidence source; do not promote without separate recheck
2025海淀二模_Q21_SRC_05a280b2e00d,2025海淀二模,21,SRC_05a280b2e00d,scoring_structured_answer_docx,P1_structured_scoring_answer,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025海淀二模/细则/细则.docx,rechecked_batch02_worker_candidate_source,Worker Batch02 extracted scoring-structured answer with分值; conservative not pure P0
2025海淀二模_Q21_SRC_5b0f1d77d036,2025海淀二模,21,SRC_5b0f1d77d036,marking_record_docx,P0_marking_record_support,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025海淀二模/细则/补充材料/2025年海淀二模评标实录.docx,rechecked_batch02_worker_support,Worker Batch02 extracted评标实录 support for Q21 marking intent
2025海淀二模_Q21_SRC_06bdaf7a81b0,2025海淀二模,21,SRC_06bdaf7a81b0,P2_candidate_teaching_or_lecture,P2_teaching_or_lecture,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025海淀二模/其他材料/2025届二模考试讲评0510.pdf,redundant_locator_not_used_in_batch02,Retained as locator/audit candidate; not used as Batch02 evidence source; do not promote without separate recheck
2025海淀二模_Q21_SRC_203635b75b25,2025海淀二模,21,SRC_203635b75b25,P3_candidate_paper,P3_visual_support,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025海淀二模/试卷/试卷.pdf,rechecked_batch02_worker_support,PDF no text; visual render confirms prompt/material
2025海淀二模_Q21_SRC_f544768dcc93,2025海淀二模,21,SRC_f544768dcc93,P0_candidate_scoring,P0_candidate,/Users/wanglifei/Desktop/北京高考政治/选必一_当代国际政治与经济_双线总控_2026-05-02/codex_lane/extracted_text/SRC_5b0f1d77d036_2025年海淀二模评标实录.txt,redundant_locator_not_used_in_batch02,Retained as locator/audit candidate; not used as Batch02 evidence source; do not promote without separate recheck
2025海淀二模_Q21_SRC_3a013bb4e0a2,2025海淀二模,21,SRC_3a013bb4e0a2,P0_candidate_scoring,P0_candidate,/Users/wanglifei/Desktop/北京高考政治/选必二重做_2026-04-30/extracted_text/5b0f1d77d0368240_2025年海淀二模评标实录.txt,redundant_locator_not_used_in_batch02,Retained as locator/audit candidate; not used as Batch02 evidence source; do not promote without separate recheck
2025海淀二模_Q21_SRC_1bc17f2a80f9,2025海淀二模,21,SRC_1bc17f2a80f9,P3_candidate_paper,P3_paper_text,/Users/wanglifei/Desktop/北京高考政治/选必一_当代国际政治与经济_双线总控_2026-05-02/audit/render_2025海淀二模_试卷/page_01.png,redundant_locator_not_used_in_batch02,Retained as locator/audit candidate; not used as Batch02 evidence source; do not promote without separate recheck
2025海淀二模_Q21_SRC_ed87ce8ad072,2025海淀二模,21,SRC_ed87ce8ad072,P3_candidate_paper,P3_paper_text,/Users/wanglifei/Desktop/北京高考政治/选必一_当代国际政治与经济_双线总控_2026-05-02/audit/render_2025海淀二模_试卷/page_02.png,redundant_locator_not_used_in_batch02,Retained as locator/audit candidate; not used as Batch02 evidence source; do not promote without separate recheck
2025海淀二模_Q21_SRC_e91629ce813c,2025海淀二模,21,SRC_e91629ce813c,P3_candidate_paper,P3_paper_text,/Users/wanglifei/Desktop/北京高考政治/选必一_当代国际政治与经济_双线总控_2026-05-02/audit/render_2025海淀二模_试卷/page_03.png,redundant_locator_not_used_in_batch02,Retained as locator/audit candidate; not used as Batch02 evidence source; do not promote without separate recheck
2025海淀二模_Q21_SRC_7543f4a38ab2,2025海淀二模,21,SRC_7543f4a38ab2,P3_candidate_paper,P3_paper_text,/Users/wanglifei/Desktop/北京高考政治/选必一_当代国际政治与经济_双线总控_2026-05-02/audit/render_2025海淀二模_试卷/page_04.png,redundant_locator_not_used_in_batch02,Retained as locator/audit candidate; not used as Batch02 evidence source; do not promote without separate recheck
2025海淀二模_Q21_SRC_61a2f6f66906,2025海淀二模,21,SRC_61a2f6f66906,P3_candidate_paper,P3_paper_text,/Users/wanglifei/Desktop/北京高考政治/选必一_当代国际政治与经济_双线总控_2026-05-02/audit/render_2025海淀二模_试卷/page_05.png,redundant_locator_not_used_in_batch02,Retained as locator/audit candidate; not used as Batch02 evidence source; do not promote without separate recheck
2025海淀二模_Q21_SRC_09356e4d9c9d,2025海淀二模,21,SRC_09356e4d9c9d,P3_candidate_paper,P3_paper_text,/Users/wanglifei/Desktop/北京高考政治/选必一_当代国际政治与经济_双线总控_2026-05-02/audit/render_2025海淀二模_试卷/page_06.png,redundant_locator_not_used_in_batch02,Retained as locator/audit candidate; not used as Batch02 evidence source; do not promote without separate recheck
2024东城一模_Q16_SRC_1f17f2c91d92,2024东城一模,16,SRC_1f17f2c91d92,P0_candidate_scoring,P2_teaching_or_lecture_with_marking_details,/Users/wanglifei/Desktop/2024模拟题/2024东城一模/细则/细则.pptx,rechecked_batch01_promoted_source,PPTX is teaching/analysis file; slide26 marks Q16 marking detail; kept P2
2024东城一模_Q16_SRC_fa4ea186dba9,2024东城一模,16,SRC_fa4ea186dba9,P0_candidate_scoring,P0_candidate,/Users/wanglifei/Desktop/2024模拟题/2024东城一模/细则/补充材料/北京市东城区2023-2024学年度第二学期高三综合练习（一）思想政治答案(1).pdf,located_needs_read_recheck,auto-located from current SOURCE_INVENTORY; not yet promoted to evidence
2024东城一模_Q16_SRC_a1c55f582bad,2024东城一模,16,SRC_a1c55f582bad,P3_candidate_paper,P3_visual_support,/Users/wanglifei/Desktop/2024模拟题/2024东城一模/试卷/试卷.pdf,rechecked_batch01_support,Scanned paper PDF visual support for Q16 prompt
2024东城一模_Q16_SRC_b9e809fcb0a0,2024东城一模,16,SRC_b9e809fcb0a0,P1_candidate_reference_answer,P1_reference_only_until_confirmed,/Users/wanglifei/Desktop/北京高考政治/必修四框架重做_2026-04-29/audit/2024东城一模答案_vision_ocr.txt,located_needs_read_recheck,auto-located from current SOURCE_INVENTORY; not yet promoted to evidence
2024东城一模_Q16_SRC_c449fdd6947b,2024东城一模,16,SRC_c449fdd6947b,P1_candidate_reference_answer,P1_reference_only_until_confirmed,/Users/wanglifei/Desktop/北京高考政治/必修四框架重做_2026-04-29/audit/rendered_pages/2024东城一模答案/page_01.png,located_needs_read_recheck,auto-located from current SOURCE_INVENTORY; not yet promoted to evidence
2024东城一模_Q16_SRC_3be597b61903,2024东城一模,16,SRC_3be597b61903,P3_candidate_paper,P3_paper_text,/Users/wanglifei/Desktop/北京高考政治/必修四框架重做_2026-04-29/audit/2024东城一模试卷_vision_ocr.txt,located_needs_read_recheck,auto-located from current SOURCE_INVENTORY; not yet promoted to evidence
2024东城一模_Q16_SRC_09a031e086c7,2024东城一模,16,SRC_09a031e086c7,P3_candidate_paper,P3_paper_text,/Users/wanglifei/Desktop/北京高考政治/必修四框架重做_2026-04-29/audit/rendered_pages/2024东城一模试卷/page_01.png,located_needs_read_recheck,auto-located from current SOURCE_INVENTORY; not yet promoted to evidence
2024东城一模_Q16_SRC_05386f3ed49a,2024东城一模,16,SRC_05386f3ed49a,P3_candidate_paper,P3_paper_text,/Users/wanglifei/Desktop/北京高考政治/必修四框架重做_2026-04-29/audit/rendered_pages/2024东城一模试卷/page_02.png,located_needs_read_recheck,auto-located from current SOURCE_INVENTORY; not yet promoted to evidence
2024东城一模_Q16_SRC_b6ecf1d6b934,2024东城一模,16,SRC_b6ecf1d6b934,P3_candidate_paper,P3_paper_text,/Users/wanglifei/Desktop/北京高考政治/必修四框架重做_2026-04-29/audit/rendered_pages/2024东城一模试卷/page_03.png,located_needs_read_recheck,auto-located from current SOURCE_INVENTORY; not yet promoted to evidence
2024东城一模_Q16_SRC_73e0f95f06c8,2024东城一模,16,SRC_73e0f95f06c8,P3_candidate_paper,P3_paper_text,/Users/wanglifei/Desktop/北京高考政治/必修四框架重做_2026-04-29/audit/rendered_pages/2024东城一模试卷/page_04.png,located_needs_read_recheck,auto-located from current SOURCE_INVENTORY; not yet promoted to evidence
2024东城一模_Q16_SRC_646642ad04d4,2024东城一模,16,SRC_646642ad04d4,P3_candidate_paper,P3_paper_text,/Users/wanglifei/Desktop/北京高考政治/必修四框架重做_2026-04-29/audit/rendered_pages/2024东城一模试卷/page_05.png,located_needs_read_recheck,auto-located from current SOURCE_INVENTORY; not yet promoted to evidence
2024东城一模_Q16_SRC_88f2aae4dced,2024东城一模,16,SRC_88f2aae4dced,P3_candidate_paper,P3_paper_text,/Users/wanglifei/Desktop/北京高考政治/必修四框架重做_2026-04-29/audit/rendered_pages/2024东城一模试卷/page_06.png,located_needs_read_recheck,auto-located from current SOURCE_INVENTORY; not yet promoted to evidence
2024东城一模_Q20_SRC_1f17f2c91d92,2024东城一模,20,SRC_1f17f2c91d92,P0_candidate_scoring,P2_teaching_or_lecture_with_scoring_info,/Users/wanglifei/Desktop/2024模拟题/2024东城一模/细则/细则.pptx,rechecked_batch01_promoted_source,PPTX is teaching/analysis file; slide64 scoring info used; kept P2
2024东城一模_Q20_SRC_fa4ea186dba9,2024东城一模,20,SRC_fa4ea186dba9,P0_candidate_scoring,P0_candidate,/Users/wanglifei/Desktop/2024模拟题/2024东城一模/细则/补充材料/北京市东城区2023-2024学年度第二学期高三综合练习（一）思想政治答案(1).pdf,located_needs_read_recheck,auto-located from current SOURCE_INVENTORY; not yet promoted to evidence
2024东城一模_Q20_SRC_a1c55f582bad,2024东城一模,20,SRC_a1c55f582bad,P3_candidate_paper,P3_visual_support,/Users/wanglifei/Desktop/2024模拟题/2024东城一模/试卷/试卷.pdf,rechecked_batch01_support,Scanned paper PDF visual support for Q20 prompt
2024东城一模_Q20_SRC_b9e809fcb0a0,2024东城一模,20,SRC_b9e809fcb0a0,P1_candidate_reference_answer,P1_reference_only_until_confirmed,/Users/wanglifei/Desktop/北京高考政治/必修四框架重做_2026-04-29/audit/2024东城一模答案_vision_ocr.txt,located_needs_read_recheck,auto-located from current SOURCE_INVENTORY; not yet promoted to evidence
2024东城一模_Q20_SRC_c449fdd6947b,2024东城一模,20,SRC_c449fdd6947b,P1_candidate_reference_answer,P1_reference_only_until_confirmed,/Users/wanglifei/Desktop/北京高考政治/必修四框架重做_2026-04-29/audit/rendered_pages/2024东城一模答案/page_01.png,located_needs_read_recheck,auto-located from current SOURCE_INVENTORY; not yet promoted to evidence
2024东城一模_Q20_SRC_3be597b61903,2024东城一模,20,SRC_3be597b61903,P3_candidate_paper,P3_paper_text,/Users/wanglifei/Desktop/北京高考政治/必修四框架重做_2026-04-29/audit/2024东城一模试卷_vision_ocr.txt,located_needs_read_recheck,auto-located from current SOURCE_INVENTORY; not yet promoted to evidence
2024东城一模_Q20_SRC_09a031e086c7,2024东城一模,20,SRC_09a031e086c7,P3_candidate_paper,P3_paper_text,/Users/wanglifei/Desktop/北京高考政治/必修四框架重做_2026-04-29/audit/rendered_pages/2024东城一模试卷/page_01.png,located_needs_read_recheck,auto-located from current SOURCE_INVENTORY; not yet promoted to evidence
2024东城一模_Q20_SRC_05386f3ed49a,2024东城一模,20,SRC_05386f3ed49a,P3_candidate_paper,P3_paper_text,/Users/wanglifei/Desktop/北京高考政治/必修四框架重做_2026-04-29/audit/rendered_pages/2024东城一模试卷/page_02.png,located_needs_read_recheck,auto-located from current SOURCE_INVENTORY; not yet promoted to evidence
2024东城一模_Q20_SRC_b6ecf1d6b934,2024东城一模,20,SRC_b6ecf1d6b934,P3_candidate_paper,P3_paper_text,/Users/wanglifei/Desktop/北京高考政治/必修四框架重做_2026-04-29/audit/rendered_pages/2024东城一模试卷/page_03.png,located_needs_read_recheck,auto-located from current SOURCE_INVENTORY; not yet promoted to evidence
2024东城一模_Q20_SRC_73e0f95f06c8,2024东城一模,20,SRC_73e0f95f06c8,P3_candidate_paper,P3_paper_text,/Users/wanglifei/Desktop/北京高考政治/必修四框架重做_2026-04-29/audit/rendered_pages/2024东城一模试卷/page_04.png,located_needs_read_recheck,auto-located from current SOURCE_INVENTORY; not yet promoted to evidence
2024东城一模_Q20_SRC_646642ad04d4,2024东城一模,20,SRC_646642ad04d4,P3_candidate_paper,P3_paper_text,/Users/wanglifei/Desktop/北京高考政治/必修四框架重做_2026-04-29/audit/rendered_pages/2024东城一模试卷/page_05.png,located_needs_read_recheck,auto-located from current SOURCE_INVENTORY; not yet promoted to evidence
2024东城一模_Q20_SRC_88f2aae4dced,2024东城一模,20,SRC_88f2aae4dced,P3_candidate_paper,P3_paper_text,/Users/wanglifei/Desktop/北京高考政治/必修四框架重做_2026-04-29/audit/rendered_pages/2024东城一模试卷/page_06.png,located_needs_read_recheck,auto-located from current SOURCE_INVENTORY; not yet promoted to evidence
2026朝阳一模_Q20_SRC_ebbe85a1ee6f,2026朝阳一模,20,SRC_ebbe85a1ee6f,formal_scoring_docx,P0_formal_scoring_rule,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026朝阳一模/细则/细则.docx,rechecked_batch02_worker_promoted_source,Worker Batch02 extracted Q20 formal scoring DOCX paragraphs 83-99; entries written
2026朝阳一模_Q20_SRC_88e3a1c4d161,2026朝阳一模,20,SRC_88e3a1c4d161,P2_candidate_teaching_or_lecture,P2_teaching_or_lecture,/Users/wanglifei/Desktop/北京高考政治/选必二重做_2026-04-30/extracted_text/d991feeaa63e330a_202404朝阳高三政治一模试卷讲评.txt,redundant_locator_not_used_in_batch02,Retained as locator/audit candidate; not used as Batch02 evidence source; do not promote without separate recheck
2026朝阳一模_Q20_SRC_fd08ca4014c0,2026朝阳一模,20,SRC_fd08ca4014c0,exam_paper_pdf,P3_paper_text_support,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026朝阳一模/试卷/试卷.pdf,rechecked_batch02_worker_support,Worker Batch02 used paper PDF for prompt/material support
2026朝阳一模_Q20_SRC_3e33d15736df,2026朝阳一模,20,SRC_3e33d15736df,P3_candidate_paper,P3_paper_text,/Users/wanglifei/Desktop/北京高考政治/必修四框架重做_2026-04-29/audit/rendered_pages/2025朝阳一模试卷/page_01.png,redundant_locator_not_used_in_batch02,Retained as locator/audit candidate; not used as Batch02 evidence source; do not promote without separate recheck
2026朝阳一模_Q20_SRC_a24f3a1e71b3,2026朝阳一模,20,SRC_a24f3a1e71b3,P3_candidate_paper,P3_paper_text,/Users/wanglifei/Desktop/北京高考政治/必修四框架重做_2026-04-29/audit/rendered_pages/2025朝阳一模试卷/page_02.png,redundant_locator_not_used_in_batch02,Retained as locator/audit candidate; not used as Batch02 evidence source; do not promote without separate recheck
2026朝阳一模_Q20_SRC_bb9e2c3655a6,2026朝阳一模,20,SRC_bb9e2c3655a6,P3_candidate_paper,P3_paper_text,/Users/wanglifei/Desktop/北京高考政治/必修四框架重做_2026-04-29/audit/rendered_pages/2025朝阳一模试卷/page_03.png,redundant_locator_not_used_in_batch02,Retained as locator/audit candidate; not used as Batch02 evidence source; do not promote without separate recheck
2026朝阳一模_Q20_SRC_aaecc49ecd88,2026朝阳一模,20,SRC_aaecc49ecd88,P3_candidate_paper,P3_paper_text,/Users/wanglifei/Desktop/北京高考政治/必修四框架重做_2026-04-29/audit/rendered_pages/2025朝阳一模试卷/page_04.png,redundant_locator_not_used_in_batch02,Retained as locator/audit candidate; not used as Batch02 evidence source; do not promote without separate recheck
2026朝阳一模_Q20_SRC_4f5295caafff,2026朝阳一模,20,SRC_4f5295caafff,P3_candidate_paper,P3_paper_text,/Users/wanglifei/Desktop/北京高考政治/必修四框架重做_2026-04-29/audit/rendered_pages/2025朝阳一模试卷/page_05.png,redundant_locator_not_used_in_batch02,Retained as locator/audit candidate; not used as Batch02 evidence source; do not promote without separate recheck
2026朝阳一模_Q20_SRC_5aa2bba252ca,2026朝阳一模,20,SRC_5aa2bba252ca,P3_candidate_paper,P3_paper_text,/Users/wanglifei/Desktop/北京高考政治/必修四框架重做_2026-04-29/audit/rendered_pages/2025朝阳一模试卷/page_06.png,redundant_locator_not_used_in_batch02,Retained as locator/audit candidate; not used as Batch02 evidence source; do not promote without separate recheck
2026朝阳一模_Q20_SRC_819eeff31b4c,2026朝阳一模,20,SRC_819eeff31b4c,P3_candidate_paper,P3_paper_text,/Users/wanglifei/Desktop/北京高考政治/必修四框架重做_2026-04-29/audit/rendered_pages/2025朝阳一模试卷/page_07.png,redundant_locator_not_used_in_batch02,Retained as locator/audit candidate; not used as Batch02 evidence source; do not promote without separate recheck
2026朝阳一模_Q20_SRC_991beb587364,2026朝阳一模,20,SRC_991beb587364,P3_candidate_paper,P3_paper_text,/Users/wanglifei/Desktop/北京高考政治/必修四框架重做_2026-04-29/audit/rendered_pages/2025朝阳一模试卷/page_08.png,redundant_locator_not_used_in_batch02,Retained as locator/audit candidate; not used as Batch02 evidence source; do not promote without separate recheck
2026朝阳一模_Q20_SRC_9187f46caae9,2026朝阳一模,20,SRC_9187f46caae9,P3_candidate_paper,P3_paper_text,/Users/wanglifei/Desktop/北京高考政治/必修四框架重做_2026-04-29/audit/rendered_pages/2025朝阳一模试卷/page_09.png,redundant_locator_not_used_in_batch02,Retained as locator/audit candidate; not used as Batch02 evidence source; do not promote without separate recheck
2026顺义一模_Q20_SRC_8d2be8df9cad,2026顺义一模,20,SRC_8d2be8df9cad,formal_scoring_pptx,P0_formal_scoring_rule,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026顺义一模/细则/细则.pptx,rechecked_batch02_worker_promoted_source,Worker Batch02 extracted PPTX slide9 formal scoring/评标; entries written
2026顺义一模_Q20_SRC_1da70413b2d1,2026顺义一模,20,SRC_1da70413b2d1,exam_paper_pdf,P3_paper_text_support,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026顺义一模/试卷/试卷.pdf,rechecked_batch02_worker_support,Worker Batch02 used paper PDF for prompt/material support
