question_id,label,question_type,include_status,legal_scope_method,front_domain,framework_domain,result_landing,evidence_type,evidence_status,answer,candidate_answer,rubric_source
2024_海淀_一模_005_Q13,2024 海淀 一模 2024海淀一模 第13题,choice,excluded_by_curation,choice_whole_question,合同消费者劳动,劳动就业与职业边界,客观判断落点：A；判断依据应扣住主体关系、权利义务和法律后果。,formal_or_scoring_source,objective_answer_locked,A,,/Users/wanglifei/Desktop/2024模拟题/2024海淀一模/细则/细则.docx
2024_海淀_一模_005_Q19,2024 海淀 一模 2024海淀一模 第19题,subjective,included,fallback_legal_prompt,知识产权不正当竞争,知识产权与竞争秩序,责任承担/赔偿、诉讼救济,formal_or_scoring_source,formal_scoring_matched,,,/Users/wanglifei/Desktop/2024模拟题/2024海淀一模/细则/补充材料/一模政治-答案.docx
2024_东城_二模_007_Q6,2024 东城 二模 东城二模 第6题,choice,excluded_by_curation,choice_whole_question,纠纷解决生态公益与新业态,纠纷解决与程序救济,客观判断落点：C；判断依据应扣住主体关系、权利义务和法律后果。,formal_or_scoring_source,objective_answer_locked,C,,/Users/wanglifei/Desktop/2024模拟题/东城二模/细则/补充材料/细则.pdf
2024_东城_二模_007_Q7,2024 东城 二模 东城二模 第7题,choice,included,choice_whole_question,知识产权不正当竞争,知识产权与竞争秩序,客观判断落点：A；判断依据应扣住主体关系、权利义务和法律后果。,official_answer_key,objective_answer_locked,A,,/Users/wanglifei/Desktop/2024模拟题/东城二模/细则/补充材料/细则.pdf
2024_东城_二模_007_Q8,2024 东城 二模 东城二模 第8题,choice,excluded_by_curation,choice_whole_question,纠纷解决生态公益与新业态,纠纷解决与程序救济,客观判断落点：C；判断依据应扣住主体关系、权利义务和法律后果。,official_answer_key,objective_answer_locked,C,,/Users/wanglifei/Desktop/2024模拟题/东城二模/细则/补充材料/细则.pdf
2024_东城_二模_007_Q19,2024 东城 二模 东城二模 第19题,subjective,excluded_by_curation,whole_question_no_explicit_legal_small_question,合同消费者劳动,劳动就业与职业边界,权利/财产/遗产归属、诉讼救济,formal_or_scoring_source,formal_scoring_matched,,,/Users/wanglifei/Desktop/2024模拟题/东城二模/细则/补充材料/细则.pdf
2024_丰台_二模_009_Q5,2024 丰台 二模 丰台二模 第5题,choice,included,choice_whole_question,合同消费者劳动,合同交易与消费者保护,客观判断落点：A；判断依据应扣住主体关系、权利义务和法律后果。,official_answer_key,objective_answer_locked,A,,/Users/wanglifei/Desktop/北京高考政治/选必二重做_2026-04-30/preprocess_v2_2026-05-03/supplemental_answer_sources/2024北京丰台高三二模政治试题+答案.txt
2024_丰台_二模_009_Q6,2024 丰台 二模 丰台二模 第6题,choice,included,choice_whole_question,合同消费者劳动,劳动就业与职业边界,客观判断落点：B；判断依据应扣住主体关系、权利义务和法律后果。,official_answer_key,objective_answer_locked,B,,/Users/wanglifei/Desktop/北京高考政治/选必二重做_2026-04-30/preprocess_v2_2026-05-03/supplemental_answer_sources/2024北京丰台高三二模政治试题+答案.txt
2024_丰台_二模_009_Q17,2024 丰台 二模 丰台二模 第17题,subjective,included,fallback_legal_prompt,纠纷解决生态公益与新业态,生态公益、新业态与法治价值,责任承担/赔偿、诉讼救济,formal_or_scoring_source,formal_scoring_matched,,,/Users/wanglifei/Desktop/2024模拟题/丰台二模/细则/细则.docx
2024_海淀_二模_010_Q11,2024 海淀 二模 海淀二模 第11题,choice,included,choice_whole_question,人格权侵权,人格权与侵权责任,客观判断落点：A；判断依据应扣住主体关系、权利义务和法律后果。,official_answer_key,objective_answer_locked,A,,/Users/wanglifei/Desktop/2024模拟题/海淀二模/细则/细则.docx
2024_海淀_二模_010_Q19,2024 海淀 二模 海淀二模 第19题,subjective,included,legal_subquestion_extracted,物权相邻继承家庭,婚姻家庭与继承扶养,效力确认、权利/财产/遗产归属、价值意义,formal_or_scoring_source,formal_scoring_matched,,,/Users/wanglifei/Desktop/2024模拟题/海淀二模/细则/细则.docx
2024_石景山_一模_011_Q11,2024 石景山 一模 石景山一模 第11题,choice,included,choice_whole_question,人格权侵权,人格权与侵权责任,客观判断落点：D；判断依据应扣住主体关系、权利义务和法律后果。,official_answer_key,objective_answer_locked,D,,/Users/wanglifei/Desktop/2024模拟题/石景山一模/试卷/试卷.docx
2024_石景山_一模_011_Q17,2024 石景山 一模 石景山一模 第17题,subjective,included_needs_review,fallback_legal_prompt,合同消费者劳动,合同交易与消费者保护,责任承担/赔偿、效力确认、诉讼救济、价值意义,formal_or_scoring_source,formal_scoring_matched,,,/Users/wanglifei/Desktop/2024模拟题/石景山一模/细则/细则.pptx
2024_石景山_一模_011_Q18,2024 石景山 一模 石景山一模 第18题,subjective,included_needs_review,legal_subquestion_extracted,纠纷解决生态公益与新业态,纠纷解决与程序救济,责任承担/赔偿、效力确认、诉讼救济、价值意义,formal_or_scoring_source,formal_scoring_matched,,,/Users/wanglifei/Desktop/2024模拟题/石景山一模/细则/细则.pptx
2024_西城_一模_012_Q6,2024 西城 一模 西城一模 第6题,choice,included,choice_whole_question,物权相邻继承家庭,财产权、物权与相邻关系,客观判断落点：C；判断依据应扣住主体关系、权利义务和法律后果。,official_answer_key,objective_answer_locked,C,,/Users/wanglifei/Desktop/2024模拟题/西城一模/细则/细则.docx
2024_西城_一模_012_Q7,2024 西城 一模 西城一模 第7题,choice,included,choice_whole_question,合同消费者劳动,合同交易与消费者保护,客观判断落点：A；判断依据应扣住主体关系、权利义务和法律后果。,official_answer_key,objective_answer_locked,A,,/Users/wanglifei/Desktop/2024模拟题/西城一模/细则/细则.docx
2024_西城_一模_012_Q18,2024 西城 一模 西城一模 第18题,subjective,included_needs_review,legal_subquestion_extracted,纠纷解决生态公益与新业态,纠纷解决与程序救济,诉讼救济、价值意义,formal_or_scoring_source,formal_scoring_matched,,,/Users/wanglifei/Desktop/2024模拟题/西城一模/细则/细则.docx
2024_西城_二模_013_Q1,2024 西城 二模 西城二模 第1题,choice,excluded_by_curation,choice_whole_question,物权相邻继承家庭,婚姻家庭与继承扶养,客观判断落点：B；判断依据应扣住主体关系、权利义务和法律后果。,official_answer_key,objective_answer_locked,B,,/Users/wanglifei/Desktop/2024模拟题/西城二模/细则/细则.docx
2024_西城_二模_013_Q4,2024 西城 二模 西城二模 第4题,choice,excluded_by_curation,choice_whole_question,合同消费者劳动,合同交易与消费者保护,客观判断落点：D；判断依据应扣住主体关系、权利义务和法律后果。,formal_or_scoring_source,objective_answer_locked,D,,/Users/wanglifei/Desktop/2024模拟题/西城二模/细则/细则.docx
2024_西城_二模_013_Q11,2024 西城 二模 西城二模 第11题,choice,included,choice_whole_question,纠纷解决生态公益与新业态,纠纷解决与程序救济,客观判断落点：B；判断依据应扣住主体关系、权利义务和法律后果。,official_answer_key,objective_answer_locked,B,,/Users/wanglifei/Desktop/2024模拟题/西城二模/细则/细则.docx
2024_西城_二模_013_Q13,2024 西城 二模 西城二模 第13题,choice,included,choice_whole_question,纠纷解决生态公益与新业态,纠纷解决与程序救济,客观判断落点：C；判断依据应扣住主体关系、权利义务和法律后果。,formal_or_scoring_source,objective_answer_locked,C,,/Users/wanglifei/Desktop/2024模拟题/西城二模/细则/细则.docx
2024_西城_二模_013_Q16,2024 西城 二模 西城二模 第16题,subjective,included,fallback_legal_prompt,合同消费者劳动,合同交易与消费者保护,责任承担/赔偿、价值意义,formal_or_scoring_source,formal_scoring_matched,,,/Users/wanglifei/Desktop/2024模拟题/西城二模/细则/细则.docx
2024_顺义_二模_014_Q7,2024 顺义 二模 顺义思政二模 第7题,choice,excluded_by_curation,choice_whole_question,合同消费者劳动,劳动就业与职业边界,客观判断落点：C；判断依据应扣住主体关系、权利义务和法律后果。,formal_or_scoring_source,objective_answer_locked,C,,/Users/wanglifei/Desktop/2024模拟题/顺义思政二模/细则/细则.docx
2024_顺义_二模_014_Q8,2024 顺义 二模 顺义思政二模 第8题,choice,excluded_by_curation,choice_whole_question,纠纷解决生态公益与新业态,纠纷解决与程序救济,客观判断落点：B；判断依据应扣住主体关系、权利义务和法律后果。,official_answer_key,objective_answer_locked,B,,/Users/wanglifei/Desktop/2024模拟题/顺义思政二模/细则/细则.docx
2024_顺义_二模_014_Q10,2024 顺义 二模 顺义思政二模 第10题,choice,included,choice_whole_question,合同消费者劳动,合同交易与消费者保护,客观判断落点：B；判断依据应扣住主体关系、权利义务和法律后果。,official_answer_key,objective_answer_locked,B,,/Users/wanglifei/Desktop/2024模拟题/顺义思政二模/细则/细则.docx
2024_顺义_二模_014_Q11,2024 顺义 二模 顺义思政二模 第11题,choice,included,choice_whole_question,纠纷解决生态公益与新业态,纠纷解决与程序救济,客观判断落点：A；判断依据应扣住主体关系、权利义务和法律后果。,official_answer_key,objective_answer_locked,A,,/Users/wanglifei/Desktop/2024模拟题/顺义思政二模/细则/细则.docx
2024_顺义_二模_014_Q19,2024 顺义 二模 顺义思政二模 第19题,subjective,excluded_by_curation,explicit_non_legal_module,纠纷解决生态公益与新业态,生态公益、新业态与法治价值,效力确认、诉讼救济、价值意义,formal_or_scoring_source,formal_scoring_matched,,,/Users/wanglifei/Desktop/2024模拟题/顺义思政二模/细则/细则.docx
2025_东城_一模_015_Q19,2025 东城 一模 2025东城一模 第19题,subjective,included,whole_question_no_explicit_legal_small_question,纠纷解决生态公益与新业态,纠纷解决与程序救济,责任承担/赔偿、补偿或经济补偿、效力确认、劳动仲裁或纠纷解决路径、诉讼救济、价值意义,formal_or_scoring_source,formal_scoring_matched,,,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025东城一模/细则/细则.pdf
2025_丰台_一模_016_Q10,2025 丰台 一模 2025丰台一模 第10题,choice,excluded_by_curation,choice_whole_question,合同消费者劳动,劳动就业与职业边界,客观判断落点：B；判断依据应扣住主体关系、权利义务和法律后果。,official_answer_key,objective_answer_locked,B,,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025丰台一模/试卷/试卷.pdf
2025_丰台_一模_016_Q11,2025 丰台 一模 2025丰台一模 第11题,choice,included,choice_whole_question,合同消费者劳动,合同交易与消费者保护,客观判断落点：C；判断依据应扣住主体关系、权利义务和法律后果。,official_answer_key,objective_answer_locked,C,,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025丰台一模/试卷/试卷.pdf
2025_丰台_一模_016_Q14,2025 丰台 一模 2025丰台一模 第14题,choice,excluded_by_curation,choice_whole_question,合同消费者劳动,劳动就业与职业边界,客观判断落点：C；判断依据应扣住主体关系、权利义务和法律后果。,official_answer_key,objective_answer_locked,C,,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025丰台一模/试卷/试卷.pdf
2025_丰台_一模_016_Q19,2025 丰台 一模 2025丰台一模 第19题,subjective,included,whole_question_no_explicit_legal_small_question,知识产权不正当竞争,知识产权与竞争秩序,责任承担/赔偿、诉讼救济、价值意义,formal_or_scoring_source,formal_scoring_matched,,,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025丰台一模/细则/细则.docx
2025_延庆_一模_017_Q10,2025 延庆 一模 2025延庆一模 第10题,choice,included,choice_whole_question,知识产权不正当竞争,知识产权与竞争秩序,客观判断落点：D；判断依据应扣住主体关系、权利义务和法律后果。,official_answer_key,objective_answer_locked,D,,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025延庆一模/试卷/试卷.pdf
2025_延庆_一模_017_Q11,2025 延庆 一模 2025延庆一模 第11题,choice,included,choice_whole_question,合同消费者劳动,劳动就业与职业边界,客观判断落点：B；判断依据应扣住主体关系、权利义务和法律后果。,official_answer_key,objective_answer_locked,B,,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025延庆一模/试卷/试卷.pdf
2025_延庆_一模_017_Q19,2025 延庆 一模 2025延庆一模 第19题,subjective,included,fallback_legal_prompt,合同消费者劳动,合同交易与消费者保护,效力确认、诉讼救济、价值意义,formal_or_scoring_source,formal_scoring_matched,,,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025延庆一模/细则/细则.docx
2025_房山_一模_018_Q11,2025 房山 一模 2025房山一模 第11题,choice,excluded_by_curation,choice_whole_question,纠纷解决生态公益与新业态,纠纷解决与程序救济,客观判断落点：C；判断依据应扣住主体关系、权利义务和法律后果。,official_answer_key,objective_answer_locked,C,,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025房山一模/细则/细则.pdf
2025_房山_一模_018_Q19,2025 房山 一模 2025房山一模 第19题,subjective,included,whole_question_no_explicit_legal_small_question,人格权侵权,人格权与侵权责任,责任承担/赔偿、诉讼救济、价值意义,formal_or_scoring_source,formal_scoring_matched,,,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025房山一模/细则/细则.pdf
2025_朝阳_一模_019_Q2,2025 朝阳 一模 2025朝阳一模 第2题,choice,excluded_by_curation,choice_whole_question,合同消费者劳动,劳动就业与职业边界,客观判断落点：D；判断依据应扣住主体关系、权利义务和法律后果。,formal_or_scoring_source,objective_answer_locked,D,,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025朝阳一模/细则/细则.pdf
2025_朝阳_一模_019_Q10,2025 朝阳 一模 2025朝阳一模 第10题,choice,included,choice_whole_question,知识产权不正当竞争,知识产权与竞争秩序,客观判断落点：D；判断依据应扣住主体关系、权利义务和法律后果。,official_answer_key,objective_answer_locked,D,,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025朝阳一模/试卷/试卷.pdf
2025_朝阳_一模_019_Q11,2025 朝阳 一模 2025朝阳一模 第11题,choice,excluded_by_curation,choice_whole_question,纠纷解决生态公益与新业态,生态公益、新业态与法治价值,客观判断落点：D；判断依据应扣住主体关系、权利义务和法律后果。,formal_or_scoring_source,objective_answer_locked,D,,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025朝阳一模/细则/补充材料/20250329高3阅卷总结19题 合同欺诈  阐释论证.doc
2025_朝阳_一模_019_Q19,2025 朝阳 一模 2025朝阳一模 第19题,subjective,included,fallback_legal_prompt,合同消费者劳动,合同交易与消费者保护,责任承担/赔偿、效力否定、诉讼救济、价值意义,formal_or_scoring_source,formal_scoring_matched,,,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025朝阳一模/细则/细则.pdf
2025_海淀_一模_020_Q18,2025 海淀 一模 2025海淀一模 第18题,subjective,included,fallback_legal_prompt,合同消费者劳动,合同交易与消费者保护,责任承担/赔偿、效力确认、效力否定、诉讼救济,formal_or_scoring_source,formal_scoring_matched,,,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025海淀一模/试卷/补充材料/EDU_1500334100000021014_61af1789-0742-472d-86cd-e6cb420b0ecb.pdf
2025_石景山_一模_021_Q8,2025 石景山 一模 2025石景山一模 第8题,choice,included,choice_whole_question,合同消费者劳动,合同交易与消费者保护,客观判断落点：C；判断依据应扣住主体关系、权利义务和法律后果。,official_answer_key,objective_answer_locked,C,,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025石景山一模/试卷/试卷.pdf
2025_石景山_一模_021_Q11,2025 石景山 一模 2025石景山一模 第11题,choice,included,choice_whole_question,合同消费者劳动,劳动就业与职业边界,客观判断落点：B；判断依据应扣住主体关系、权利义务和法律后果。,official_answer_key,objective_answer_locked,B,,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025石景山一模/试卷/试卷.pdf
2025_石景山_一模_021_Q13,2025 石景山 一模 2025石景山一模 第13题,choice,excluded_by_curation,choice_whole_question,纠纷解决生态公益与新业态,生态公益、新业态与法治价值,客观判断落点：D；判断依据应扣住主体关系、权利义务和法律后果。,official_answer_key,objective_answer_locked,D,,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025石景山一模/试卷/试卷.pdf
2025_石景山_一模_021_Q20,2025 石景山 一模 2025石景山一模 第20题,subjective,included_needs_review,whole_question_no_explicit_legal_small_question,合同消费者劳动,合同交易与消费者保护,责任承担/赔偿,formal_or_scoring_source,formal_scoring_matched,,,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025石景山一模/细则/细则.doc
2025_西城_一模_022_Q9,2025 西城 一模 2025西城一模 第9题,choice,excluded_by_curation,choice_whole_question,纠纷解决生态公益与新业态,纠纷解决与程序救济,客观判断落点：C；判断依据应扣住主体关系、权利义务和法律后果。,formal_or_scoring_source,objective_answer_locked,C,,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025西城一模/细则/细则.docx
2025_门头沟_一模_023_Q3,2025 门头沟 一模 2025门头沟一模 第3题,choice,included,choice_whole_question,人格权侵权,人格权与侵权责任,客观判断落点：B；判断依据应扣住主体关系、权利义务和法律后果。,formal_or_scoring_source,objective_answer_locked,B,,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025门头沟一模/细则/细则.doc
2025_门头沟_一模_023_Q6,2025 门头沟 一模 2025门头沟一模 第6题,choice,included,choice_whole_question,知识产权不正当竞争,知识产权与竞争秩序,客观判断落点：C；判断依据应扣住主体关系、权利义务和法律后果。,formal_or_scoring_source,objective_answer_locked,C,,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025门头沟一模/细则/细则.doc
2025_门头沟_一模_023_Q20,2025 门头沟 一模 2025门头沟一模 第20题,subjective,included_needs_review,whole_question_no_explicit_legal_small_question,合同消费者劳动,劳动就业与职业边界,责任承担/赔偿、效力确认、效力否定、诉讼救济、价值意义,formal_or_scoring_source,formal_scoring_matched,,,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025门头沟一模/细则/细则.doc
2025_顺义_一模_024_Q4,2025 顺义 一模 2025顺义一模 第4题,choice,excluded_by_curation,choice_whole_question,合同消费者劳动,劳动就业与职业边界,客观判断落点：D；判断依据应扣住主体关系、权利义务和法律后果。,formal_or_scoring_source,objective_answer_locked,D,,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025顺义一模/细则/细则.docx
2025_顺义_一模_024_Q10,2025 顺义 一模 2025顺义一模 第10题,choice,included,choice_whole_question,合同消费者劳动,劳动就业与职业边界,客观判断落点：A；判断依据应扣住主体关系、权利义务和法律后果。,official_answer_key,objective_answer_locked,A,,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025顺义一模/细则/细则.docx
2025_顺义_一模_024_Q11,2025 顺义 一模 2025顺义一模 第11题,choice,included,choice_whole_question,人格权侵权,人格权与侵权责任,客观判断落点：D；判断依据应扣住主体关系、权利义务和法律后果。,official_answer_key,objective_answer_locked,D,,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025顺义一模/细则/细则.docx
2025_顺义_一模_024_Q19,2025 顺义 一模 2025顺义一模 第19题,subjective,included,legal_subquestion_extracted,纠纷解决生态公益与新业态,纠纷解决与程序救济,效力确认、诉讼救济、价值意义,formal_or_scoring_source,formal_scoring_matched,,,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025顺义一模/细则/细则.docx
2025_顺义_一模_024_Q21,2025 顺义 一模 2025顺义一模 第21题,subjective,included_needs_review,whole_question_no_explicit_legal_small_question,物权相邻继承家庭,婚姻家庭与继承扶养,效力确认、诉讼救济、价值意义,formal_or_scoring_source,formal_scoring_matched,,,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025顺义一模/细则/细则.docx
2025_东城_二模_025_Q10,2025 东城 二模 2025东城二模 第10题,choice,included,choice_whole_question,纠纷解决生态公益与新业态,纠纷解决与程序救济,客观判断落点：D；判断依据应扣住主体关系、权利义务和法律后果。,official_answer_key,objective_answer_locked,D,,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025东城二模/试卷/试卷.pdf
2025_东城_二模_025_Q11,2025 东城 二模 2025东城二模 第11题,choice,included,choice_whole_question,物权相邻继承家庭,财产权、物权与相邻关系,客观判断落点：A；判断依据应扣住主体关系、权利义务和法律后果。,official_answer_key,objective_answer_locked,A,,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025东城二模/试卷/试卷.pdf
2025_东城_二模_025_Q12,2025 东城 二模 2025东城二模 第12题,choice,included,choice_whole_question,合同消费者劳动,劳动就业与职业边界,客观判断落点：D；判断依据应扣住主体关系、权利义务和法律后果。,official_answer_key,objective_answer_locked,D,,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025东城二模/试卷/试卷.pdf
2025_东城_二模_025_Q17,2025 东城 二模 2025东城二模 第17题,subjective,excluded_by_curation,fallback_legal_prompt,纠纷解决生态公益与新业态,纠纷解决与程序救济,效力确认、诉讼救济,formal_or_scoring_source,formal_scoring_matched,,,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025东城二模/细则/细则.pdf
2025_东城_二模_025_Q19,2025 东城 二模 2025东城二模 第19题,subjective,included,whole_question_no_explicit_legal_small_question,人格权侵权,人格权与侵权责任,责任承担/赔偿、效力否定、价值意义,formal_or_scoring_source,formal_scoring_matched,,,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025东城二模/细则/细则.pdf
2025_丰台_二模_026_Q9,2025 丰台 二模 2025丰台二模 第9题,choice,included,choice_whole_question,纠纷解决生态公益与新业态,纠纷解决与程序救济,客观判断落点：B；判断依据应扣住主体关系、权利义务和法律后果。,official_answer_key,objective_answer_locked,B,,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025丰台二模/试卷/试卷.pdf
2025_丰台_二模_026_Q10,2025 丰台 二模 2025丰台二模 第10题,choice,included,choice_whole_question,纠纷解决生态公益与新业态,纠纷解决与程序救济,客观判断落点：D；判断依据应扣住主体关系、权利义务和法律后果。,official_answer_key,objective_answer_locked,D,,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025丰台二模/试卷/试卷.pdf
2025_丰台_二模_026_Q12,2025 丰台 二模 2025丰台二模 第12题,choice,included,choice_whole_question,知识产权不正当竞争,知识产权与竞争秩序,客观判断落点：C；判断依据应扣住主体关系、权利义务和法律后果。,official_answer_key,objective_answer_locked,C,,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025丰台二模/试卷/试卷.pdf
2025_丰台_二模_026_Q14,2025 丰台 二模 2025丰台二模 第14题,choice,excluded_by_curation,choice_whole_question,合同消费者劳动,劳动就业与职业边界,客观判断落点：B；判断依据应扣住主体关系、权利义务和法律后果。,formal_or_scoring_source,objective_answer_locked,B,,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025丰台二模/细则/分题细则/2025丰台二模评标细则/2025丰台二模评标细则/18题 .docx
2025_丰台_二模_026_Q20,2025 丰台 二模 2025丰台二模 第20题,subjective,excluded_by_curation,explicit_non_legal_module,知识产权不正当竞争,知识产权与竞争秩序,效力确认、诉讼救济,formal_or_scoring_source,formal_scoring_matched,,,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025丰台二模/细则/分题细则/2025丰台二模评标细则/2025丰台二模评标细则/20题.docx
2025_昌平_二模_027_Q5,2025 昌平 二模 2025昌平二模 第5题,choice,excluded_by_curation,choice_whole_question,合同消费者劳动,劳动就业与职业边界,客观判断落点：A；判断依据应扣住主体关系、权利义务和法律后果。,official_answer_key,objective_answer_locked,A,,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025昌平二模/试卷/试卷.pdf
2025_昌平_二模_027_Q9,2025 昌平 二模 2025昌平二模 第9题,choice,excluded_by_curation,choice_whole_question,合同消费者劳动,合同交易与消费者保护,客观判断落点：D；判断依据应扣住主体关系、权利义务和法律后果。,formal_or_scoring_source,objective_answer_locked,D,,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025昌平二模/细则/细则.pptx
2025_昌平_二模_027_Q10,2025 昌平 二模 2025昌平二模 第10题,choice,included,choice_whole_question,合同消费者劳动,劳动就业与职业边界,客观判断落点：B；判断依据应扣住主体关系、权利义务和法律后果。,formal_or_scoring_source,objective_answer_locked,B,,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025昌平二模/细则/细则.pptx
