rubric_atom_id,question_id,rubric_or_answer_phrase,evidence_type,evidence_level,plain_reward_description,related_material_atom_ids,what_expression_is_rewarded,what_judgment_student_must_make_before_writing,legal_knowledge_or_rule_if_explicit,value_expression_if_explicit,knowledge_material_value_type,can_be_written_without_material,source_locator,uncertainty
R_CC0025_2024_朝阳_二模_17_01,CC0025_2024_朝阳_二模_17,17.结合材料，说明仲裁委员会作出上述裁决的理由，并分析该典型案例的意义。,marking_report,formal,17.结合材料，说明仲裁委员会作出上述裁决的理由，并分析该典型案例的意义。,M_CC0025_2024_朝阳_二模_17_01|M_CC0025_2024_朝阳_二模_17_02,17.结合材料，说明仲裁委员会作出上述裁决的理由，并分析该典型案例的意义。,判断法律关系/行为性质/责任承担或程序路径(回源细化),,,material,no,F0016:page 2 | F0017:text | F0018:page 6 | F0241:page 6 | F0242:text | F0243:page 2,heuristic_atom_split_from_text_layer; needs回源核细则原文
R_CC0025_2024_朝阳_二模_17_12,CC0025_2024_朝阳_二模_17,辩1 分）或甲公司通过平台对王某的订单完成情况进行全程跟踪，掌握 王某的重要数据信息，此外，甲公司与客户结算运输费，单方制定每月向王某支付包月服务 费6000 元及奖励金的价格标准，具有经济从属性；,marking_report,formal,辩1 分）或甲公司通过平台对王某的订单完成情况进行全程跟踪，掌握 王某的重要数据信息，此外，甲公司与客户结算运输费，单方制定每月向王某支付包月服务 费6000 元及奖励金的价格标准，具有经济从属性；,M_CC0025_2024_朝阳_二模_17_01|M_CC0025_2024_朝阳_二模_17_02,辩1 分）或甲公司通过平台对王某的订单完成情况进行全程跟踪，掌握 王某的重要数据信息，此外，甲公司与客户结算运输费，单方制定每月向王某支付包月服务 费6000 元及奖励金的价格标准，具有经济从属性；,判断法律关系/行为性质/责任承担或程序路径(回源细化),,,material,no,F0016:page 2 | F0017:text | F0018:page 6 | F0241:page 6 | F0242:text | F0243:page 2,heuristic_atom_split_from_text_layer; needs回源核细则原文
R_CC0025_2024_朝阳_二模_17_13,CC0025_2024_朝阳_二模_17,王某从事的货物运输服务属于甲公司业务的组成部分，具有较强的组织从属性辩1 分） 或王某每日在公司平台签到并通过公司平台接受派单，以平台公司名义提供货物运输服务具 有组织从属性。,marking_report,formal,王某从事的货物运输服务属于甲公司业务的组成部分，具有较强的组织从属性辩1 分） 或王某每日在公司平台签到并通过公司平台接受派单，以平台公司名义提供货物运输服务具 有组织从属性。,M_CC0025_2024_朝阳_二模_17_01|M_CC0025_2024_朝阳_二模_17_02,王某从事的货物运输服务属于甲公司业务的组成部分，具有较强的组织从属性辩1 分） 或王某每日在公司平台签到并通过公司平台接受派单，以平台公司名义提供货物运输服务具 有组织从属性。,判断法律关系/行为性质/责任承担或程序路径(回源细化),,,material,no,F0016:page 2 | F0017:text | F0018:page 6 | F0241:page 6 | F0242:text | F0243:page 2,heuristic_atom_split_from_text_layer; needs回源核细则原文
R_CC0025_2024_朝阳_二模_17_14,CC0025_2024_朝阳_二模_17,辩如果仅写出三个从属性，没有结合材料只给1 分） 所以，双方之间存在事实上的劳动关系，对王某的仲裁请求应当予以支持。,marking_report,formal,辩如果仅写出三个从属性，没有结合材料只给1 分） 所以，双方之间存在事实上的劳动关系，对王某的仲裁请求应当予以支持。,M_CC0025_2024_朝阳_二模_17_01|M_CC0025_2024_朝阳_二模_17_02,辩如果仅写出三个从属性，没有结合材料只给1 分） 所以，双方之间存在事实上的劳动关系，对王某的仲裁请求应当予以支持。,判断法律关系/行为性质/责任承担或程序路径(回源细化),,,material,no,F0016:page 2 | F0017:text | F0018:page 6 | F0241:page 6 | F0242:text | F0243:page 2,heuristic_atom_split_from_text_layer; needs回源核细则原文
R_CC0025_2024_朝阳_二模_17_15,CC0025_2024_朝阳_二模_17,辩1 分） 辩二）意义：从三个方面作答：法律意义、道德意义、经济意义 法律意义： 该案例有利于指导各地仲裁机构、人民法院适应平台经济发展带来的新情况、新问 题，辩或为各地仲裁机构、人民法院提供参照与借鉴）辩1 分） 提高以事实为依据、以法律为准绳进行公正裁决的能力 辩或有利于实社社会公平正 义）辩1 分）；,marking_report,formal,辩1 分） 辩二）意义：从三个方面作答：法律意义、道德意义、经济意义 法律意义： 该案例有利于指导各地仲裁机构、人民法院适应平台经济发展带来的新情况、新问 题，辩或为各地仲裁机构、人民法院提供参照与借鉴）辩1 分） 提高以事实为依据、以法律为准绳进行公正裁决的能力 辩或有利于实社社会公平正 义）辩1 分）；,M_CC0025_2024_朝阳_二模_17_01|M_CC0025_2024_朝阳_二模_17_02,辩1 分） 辩二）意义：从三个方面作答：法律意义、道德意义、经济意义 法律意义： 该案例有利于指导各地仲裁机构、人民法院适应平台经济发展带来的新情况、新问 题，辩或为各地仲裁机构、人民法院提供参照与借鉴）辩1 分） 提高以事实为依据、以法律为准绳进行公正裁决的能力 辩或有利于实社社会公平正 义）辩1 分）；,判断法律关系/行为性质/责任承担或程序路径(回源细化),,公平,material+value,no,F0016:page 2 | F0017:text | F0018:page 6 | F0241:page 6 | F0242:text | F0243:page 2,heuristic_atom_split_from_text_layer; needs回源核细则原文
R_CC0025_2024_朝阳_二模_17_16,CC0025_2024_朝阳_二模_17,有利于保障新就业形态劳动者 辩合法）权益，辩1 分）发展和谐稳定的劳动关系；,marking_report,formal,有利于保障新就业形态劳动者 辩合法）权益，辩1 分）发展和谐稳定的劳动关系；,M_CC0025_2024_朝阳_二模_17_03|M_CC0025_2024_朝阳_二模_17_04|M_CC0025_2024_朝阳_二模_17_05|M_CC0025_2024_朝阳_二模_17_06,有利于保障新就业形态劳动者 辩合法）权益，辩1 分）发展和谐稳定的劳动关系；,判断法律关系/行为性质/责任承担或程序路径(回源细化),劳动者,,knowledge+material,no,F0016:page 2 | F0017:text | F0018:page 6 | F0241:page 6 | F0242:text | F0243:page 2,heuristic_atom_split_from_text_layer; needs回源核细则原文
R_CC0025_2024_朝阳_二模_17_17,CC0025_2024_朝阳_二模_17,辩1 分）辩此三点答出两点给2 分） 道德意义：符合民法的基本原则辩或践行社会主义核心价值观）辩1 分） [page 3] 3 经济意义：有利于引导平台经济良性发展，促进经济社会的发展。,marking_report,formal,辩1 分）辩此三点答出两点给2 分） 道德意义：符合民法的基本原则辩或践行社会主义核心价值观）辩1 分） [page 3] 3 经济意义：有利于引导平台经济良性发展，促进经济社会的发展。,M_CC0025_2024_朝阳_二模_17_01|M_CC0025_2024_朝阳_二模_17_02,辩1 分）辩此三点答出两点给2 分） 道德意义：符合民法的基本原则辩或践行社会主义核心价值观）辩1 分） [page 3] 3 经济意义：有利于引导平台经济良性发展，促进经济社会的发展。,判断法律关系/行为性质/责任承担或程序路径(回源细化),,促进；引导,material+value,no,F0016:page 2 | F0017:text | F0018:page 6 | F0241:page 6 | F0242:text | F0243:page 2,heuristic_atom_split_from_text_layer; needs回源核细则原文
R_CC0026_2024_朝阳_二模_18_01,CC0026_2024_朝阳_二模_18,18、结合材料，运用《政治与法治》知识，说明《政府工作报告》形成过程中是如何 体现全过程人民民主的。 原答案：党中央在报告形成过程中发挥领导核心作用，起草组认真落实党中央重要指示 和要求；起草组充分发扬民主、集思广益，广泛征求各界的意见和建议，人民群众充分表达 民意、政协委员积极履行职能，有序参与政府工作报告的形成；全国人大积极行使监督权、 决定权，将民意经过法定程序转化为国家的方针政策，保障了人民真正当家作主。 政府工作报告形成的过程既发扬民主，又正确集中，能够把党的主张、国家意志、人民 意愿紧密融合在一起，坚持党的领导、人民当家作主、依法治国有机统一，生动的体社了全 过程人民民主是最广泛、最真实、最管用的民主。 评分细则：本题总分8 分。 分述6 分：,marking_report,formal,18、结合材料，运用《政治与法治》知识，说明《政府工作报告》形成过程中是如何 体现全过程人民民主的。 原答案：党中央在报告形成过程中发挥领导核心作用，起草组认真落实党中央重要指示 和要求；起草组充分发扬民主、集思广益，广泛征求各界的意见和建议，人民群众充分表达 民意、政协委员积极履行职能，有序参与政府工作报告的形成；全国人大积极行使监督权、 决定权，将民意经过法定程序转化为国家的方针政策，保障了人民真正当家作主。 政府工作报告形成的过程既发扬民主，又正确集中，能够把党的主张、国家意志、人民 意愿紧密融合在一起，坚持党的领导、人民当家作主、依法治国有机统一，生动的体社了全 过程人民民主是最广泛、最真实、最管用的民主。 评分细则：本题总分8 分。 分述6 分：,M_CC0026_2024_朝阳_二模_18_01|M_CC0026_2024_朝阳_二模_18_02,18、结合材料，运用《政治与法治》知识，说明《政府工作报告》形成过程中是如何 体现全过程人民民主的。 原答案：党中央在报告形成过程中发挥领导核心作用，起草组认真落实党中央重要指示 和要求；起草组充分发扬民主、集思广益，广泛征求各界的意见和建议，人民群众充分表达 民意、政协委员积极履行职能，有序参与政府工作报告的形成；全国人大积极行使监督权、 决定权，将民意经过法定程序转化为国家的方针政策，保障了人民真正当家作主。 政府工作报告形成的过程既发扬民主，又正确集中，能够把党的主张、国家意志、人民 意愿紧密融合在一起，坚持党的领导、人民当家作主、依法治国有机统一，生动的体社了全 过程人民民主是最广泛、最真实、最管用的民主。 评分细则：本题总分8 分。 分述6 分：,判断法律关系/行为性质/责任承担或程序路径(回源细化),,,material,no,F0016:page 3 | F0017:text | F0018:page 2 | F0018:page 7 | F0241:page 2 | F0241:page 7 | F0242:text | F0243:page 3,heuristic_atom_split_from_text_layer; needs回源核细则原文
R_CC0026_2024_朝阳_二模_18_02,CC0026_2024_朝阳_二模_18,1、党中央在报告形成过程中发挥领导核心作用，起草组认真落实党中央重要指示和要求； 辩给2 分）,marking_report,formal,1、党中央在报告形成过程中发挥领导核心作用，起草组认真落实党中央重要指示和要求； 辩给2 分）,M_CC0026_2024_朝阳_二模_18_01|M_CC0026_2024_朝阳_二模_18_02,1、党中央在报告形成过程中发挥领导核心作用，起草组认真落实党中央重要指示和要求； 辩给2 分）,判断法律关系/行为性质/责任承担或程序路径(回源细化),,,uncertain,uncertain,F0016:page 3 | F0017:text | F0018:page 2 | F0018:page 7 | F0241:page 2 | F0241:page 7 | F0242:text | F0243:page 3,heuristic_atom_split_from_text_layer; needs回源核细则原文
R_CC0026_2024_朝阳_二模_18_03,CC0026_2024_朝阳_二模_18,2、起草组充分发扬民主、集思广益/广泛征求各界的意见和建议/人民群众充分表达民意/政 协委员积极履行职能/人大代表积极履职 辩写出以上任意1 点给2 分，替换：民主协商、民 主决策），有序参与政府工作报告的形成；,marking_report,formal,2、起草组充分发扬民主、集思广益/广泛征求各界的意见和建议/人民群众充分表达民意/政 协委员积极履行职能/人大代表积极履职 辩写出以上任意1 点给2 分，替换：民主协商、民 主决策），有序参与政府工作报告的形成；,M_CC0026_2024_朝阳_二模_18_01|M_CC0026_2024_朝阳_二模_18_02,2、起草组充分发扬民主、集思广益/广泛征求各界的意见和建议/人民群众充分表达民意/政 协委员积极履行职能/人大代表积极履职 辩写出以上任意1 点给2 分，替换：民主协商、民 主决策），有序参与政府工作报告的形成；,判断法律关系/行为性质/责任承担或程序路径(回源细化),,,uncertain,uncertain,F0016:page 3 | F0017:text | F0018:page 2 | F0018:page 7 | F0241:page 2 | F0241:page 7 | F0242:text | F0243:page 3,heuristic_atom_split_from_text_layer; needs回源核细则原文
R_CC0026_2024_朝阳_二模_18_04,CC0026_2024_朝阳_二模_18,3、全国人大积极行使监督权/决定权/将民意经过法定程序转化为国家的方针政策/ 辩写出以 上任意1 点给2 分）辩替换：保障了人民真正当家作主，给1 分）。 辩如果学生1 分没得，只写党的领导、人民当家作主、依法治国有机统一给2 分） 总述2 分： 政府工作报告形成的过程既发扬民主，又正确集中，能够把党的主张、国家意志、人民意愿 紧密融合在一起，坚持党的领导、人民当家作主、依法治国有机统一，生动的体社了全过程 人民民主是最广泛、最真实、最管用的民主。辩写出3 个最给2 分，1-2 个给1 分/全链条、 全方位、全覆盖/不仅有完整的制度程序，而且有完整的参与实践，给2 分） 辩说明：如果出社内容和主体不符，权利、权力混淆使用，不同权利辩职责、义务）杂 糅乱搭的，不给分。）,marking_report,formal,3、全国人大积极行使监督权/决定权/将民意经过法定程序转化为国家的方针政策/ 辩写出以 上任意1 点给2 分）辩替换：保障了人民真正当家作主，给1 分）。 辩如果学生1 分没得，只写党的领导、人民当家作主、依法治国有机统一给2 分） 总述2 分： 政府工作报告形成的过程既发扬民主，又正确集中，能够把党的主张、国家意志、人民意愿 紧密融合在一起，坚持党的领导、人民当家作主、依法治国有机统一，生动的体社了全过程 人民民主是最广泛、最真实、最管用的民主。辩写出3 个最给2 分，1-2 个给1 分/全链条、 全方位、全覆盖/不仅有完整的制度程序，而且有完整的参与实践，给2 分） 辩说明：如果出社内容和主体不符，权利、权力混淆使用，不同权利辩职责、义务）杂 糅乱搭的，不给分。）,M_CC0026_2024_朝阳_二模_18_01|M_CC0026_2024_朝阳_二模_18_02,3、全国人大积极行使监督权/决定权/将民意经过法定程序转化为国家的方针政策/ 辩写出以 上任意1 点给2 分）辩替换：保障了人民真正当家作主，给1 分）。 辩如果学生1 分没得，只写党的领导、人民当家作主、依法治国有机统一给2 分） 总述2 分： 政府工作报告形成的过程既发扬民主，又正确集中，能够把党的主张、国家意志、人民意愿 紧密融合在一起，坚持党的领导、人民当家作主、依法治国有机统一，生动的体社了全过程 人民民主是最广泛、最真实、最管用的民主。辩写出3 个最给2 分，1-2 个给1 分/全链条、 全方位、全覆盖/不仅有完整的制度程序，而且有完整的参与实践，给2 分） 辩说明：如果出社内容和主体不符，权利、权力混淆使用，不同权利辩职责、义务）杂 糅乱搭的，不给分。）,判断法律关系/行为性质/责任承担或程序路径(回源细化),,,uncertain,uncertain,F0016:page 3 | F0017:text | F0018:page 2 | F0018:page 7 | F0241:page 2 | F0241:page 7 | F0242:text | F0243:page 3,heuristic_atom_split_from_text_layer; needs回源核细则原文
R_CC0045_2024_海淀_二模_19_01,CC0045_2024_海淀_二模_19,19.（6分） 【答案】 在本案判决中，人民法院确认居委会提供的遗赠扶养协议，认定居委会的赡养行为，充分肯定居委会对老人养老送终所起的作用。本案判决不仅实现了个案上的公平正义，更倡导全社会积极助力养老，促进“不尽孝者少分或者不分遗产”的司法理念深入人心。判决有利于弘扬尊老、敬老、爱老、助老的中华传统美德，让崇尚和践行社会主义核心价值观成为人们的自觉行动和全体社会的良好风尚。 【细则】,marking_rubric,formal,19.（6分） 【答案】 在本案判决中，人民法院确认居委会提供的遗赠扶养协议，认定居委会的赡养行为，充分肯定居委会对老人养老送终所起的作用。本案判决不仅实现了个案上的公平正义，更倡导全社会积极助力养老，促进“不尽孝者少分或者不分遗产”的司法理念深入人心。判决有利于弘扬尊老、敬老、爱老、助老的中华传统美德，让崇尚和践行社会主义核心价值观成为人们的自觉行动和全体社会的良好风尚。 【细则】,M_CC0045_2024_海淀_二模_19_01|M_CC0045_2024_海淀_二模_19_04|M_CC0045_2024_海淀_二模_19_05|M_CC0045_2024_海淀_二模_19_08|M_CC0045_2024_海淀_二模_19_09,19.（6分） 【答案】 在本案判决中，人民法院确认居委会提供的遗赠扶养协议，认定居委会的赡养行为，充分肯定居委会对老人养老送终所起的作用。本案判决不仅实现了个案上的公平正义，更倡导全社会积极助力养老，促进“不尽孝者少分或者不分遗产”的司法理念深入人心。判决有利于弘扬尊老、敬老、爱老、助老的中华传统美德，让崇尚和践行社会主义核心价值观成为人们的自觉行动和全体社会的良好风尚。 【细则】,判断法律关系/行为性质/责任承担或程序路径(回源细化),扶养；赡养；遗产；遗赠,促进；公平；正义,knowledge+material+value,no,F0051:text | F0052:text | F0053:text | F0054:page 7 | F0272:text | F0273:text | F0274:text | F0275:page 7,heuristic_atom_split_from_text_layer; needs回源核细则原文
R_CC0047_2024_海淀_二模_21_01,CC0047_2024_海淀_二模_21,21.（8分） 【答案】 可从中国共产党的领导、制度优势、经济社会发展、国家治理、文化自信等角度回答。 【细则】 “热词”分 2分：在“新”的关键词（新质生产力、新型城镇化、新型举国体制优势、社会治理、文化）中，任选两个“热词”，即1分*2 知识运用分 4分：不同模块任意两条恰当的理论（表述明确），2分*2 紧扣核心问题论述分 2分：能够恰当运用理论，围绕所选“热词”，分析如何循“新”出发，以实现目标，即1分*2 补充说明（1）若学生出现多个点，则优采两个点；若学生只写一个角度，但综合运用所学一以贯之，论述充分，也可得8分。（2）仅单纯罗列知识，最高3分。（3）只抄材料，1分。 材料 | 理论 | 角度 此次时间利用调查是为了全面、真实、准确了解我国居民时间利用情况。 | 1.追求认识的客观性,marking_rubric,formal,21.（8分） 【答案】 可从中国共产党的领导、制度优势、经济社会发展、国家治理、文化自信等角度回答。 【细则】 “热词”分 2分：在“新”的关键词（新质生产力、新型城镇化、新型举国体制优势、社会治理、文化）中，任选两个“热词”，即1分*2 知识运用分 4分：不同模块任意两条恰当的理论（表述明确），2分*2 紧扣核心问题论述分 2分：能够恰当运用理论，围绕所选“热词”，分析如何循“新”出发，以实现目标，即1分*2 补充说明（1）若学生出现多个点，则优采两个点；若学生只写一个角度，但综合运用所学一以贯之，论述充分，也可得8分。（2）仅单纯罗列知识，最高3分。（3）只抄材料，1分。 材料 | 理论 | 角度 此次时间利用调查是为了全面、真实、准确了解我国居民时间利用情况。 | 1.追求认识的客观性,M_CC0047_2024_海淀_二模_21_01|M_CC0047_2024_海淀_二模_21_02,21.（8分） 【答案】 可从中国共产党的领导、制度优势、经济社会发展、国家治理、文化自信等角度回答。 【细则】 “热词”分 2分：在“新”的关键词（新质生产力、新型城镇化、新型举国体制优势、社会治理、文化）中，任选两个“热词”，即1分*2 知识运用分 4分：不同模块任意两条恰当的理论（表述明确），2分*2 紧扣核心问题论述分 2分：能够恰当运用理论，围绕所选“热词”，分析如何循“新”出发，以实现目标，即1分*2 补充说明（1）若学生出现多个点，则优采两个点；若学生只写一个角度，但综合运用所学一以贯之，论述充分，也可得8分。（2）仅单纯罗列知识，最高3分。（3）只抄材料，1分。 材料 | 理论 | 角度 此次时间利用调查是为了全面、真实、准确了解我国居民时间利用情况。 | 1.追求认识的客观性,判断法律关系/行为性质/责任承担或程序路径(回源细化),,,material+value,no,F0051:text | F0052:text | F0053:text | F0054:page 8 | F0272:text | F0273:text | F0274:text | F0275:page 8,heuristic_atom_split_from_text_layer; needs回源核细则原文
R_CC0047_2024_海淀_二模_21_02,CC0047_2024_海淀_二模_21,2.结果具有预见性 | 科学思维角度（2分） 与前两次调查相比，此次调查思路新、方法新、具有探索性；调查范围广，调查对象多，内容更加丰富，敢用新手段，试用新工具，创造性的解决问题。 | 1.三新：思路新/方法新/结果新,marking_rubric,formal,2.结果具有预见性 | 科学思维角度（2分） 与前两次调查相比，此次调查思路新、方法新、具有探索性；调查范围广，调查对象多，内容更加丰富，敢用新手段，试用新工具，创造性的解决问题。 | 1.三新：思路新/方法新/结果新,M_CC0047_2024_海淀_二模_21_01|M_CC0047_2024_海淀_二模_21_02,2.结果具有预见性 | 科学思维角度（2分） 与前两次调查相比，此次调查思路新、方法新、具有探索性；调查范围广，调查对象多，内容更加丰富，敢用新手段，试用新工具，创造性的解决问题。 | 1.三新：思路新/方法新/结果新,判断法律关系/行为性质/责任承担或程序路径(回源细化),,,uncertain,uncertain,F0051:text | F0052:text | F0053:text | F0054:page 8 | F0272:text | F0273:text | F0274:text | F0275:page 8,heuristic_atom_split_from_text_layer; needs回源核细则原文
R_CC0047_2024_海淀_二模_21_03,CC0047_2024_海淀_二模_21,2.发散思维、聚合思维,marking_rubric,formal,2.发散思维、聚合思维,M_CC0047_2024_海淀_二模_21_01|M_CC0047_2024_海淀_二模_21_02,2.发散思维、聚合思维,判断法律关系/行为性质/责任承担或程序路径(回源细化),,,uncertain,uncertain,F0051:text | F0052:text | F0053:text | F0054:page 8 | F0272:text | F0273:text | F0274:text | F0275:page 8,heuristic_atom_split_from_text_layer; needs回源核细则原文
