severity,idx,node,title,issue_type,evidence,action
P0,31,分析与综合,2. 2024石景山一模 第19题第（3）问（主观题）,rubric_evidence_unreliable,[细则.pptx | node_or_question_terms] 征 丰富精神世界 增强精神力量 促进全面发展 个人 社会 经济 政治 三 观：时代新人 态度：取去推革 实践 时间 空间 包容性 凝魂聚魄的基础性工程 源远流长 - 连续性 博大精深 — 凝聚力 中华传统文化 核心思想、传统美德、人文精神 奋斗 创造 梦想 团结 ※ 民族性和 多样性 坚定理想信念 坚持以人民为中心 引领风尚 推动发展 服务社会 教育人民 文化软实力 国家：文化是民族的血脉和灵魂 尊重文化多样性：面向世界、博采众长 立足时代之基 ,must reopen exact original rubric/marking material and replace evidence; do not treat row as source-locked
P0,32,分析与综合,3. 2024海淀一模 第17题第（2）问（主观题）,rubric_evidence_unreliable,[细则.docx | node_or_question_terms] 海淀区2023-2024学年海淀高三一模政治答案及细则 本部分共15题，每题3分，共45分。 1．B 2．A 3．C 4．D 5．C6．B 7．C8．D9．B10．D11．C12．B13．A14．D 15．A 本部分共5题，共55分。 16.（8分）可从发挥主观能动性、联系的观点、发展的观点、实践的观点、民族精神等角度作答。 【细则】 （20分） 第一问17（1）依靠科技，因地制宜发展农村“隐藏款土特产”，促进当地特色产业发展和经济结构优化，推动,must reopen exact original rubric/marking material and replace evidence; do not treat row as source-locked
P0,33,分析与综合,4. 2025丰台二模 第19题第（1）问（主观题）,rubric_evidence_unreliable,"[19.(1).docx | node_or_question_terms] 是片面的。给AI装上“版权雷达”只是防止点击盗版资源网站的一个重要条件，而非充分条件。为了防止点击盗版资源网站，除了技术防控，还需配套法律追责机制等条件,运用辩证思采取多种措施，才能有效防止盗版资源的传播。 | 该观点是片面的。给AI装上“版权雷达”只是防止点击盗版资源网站的一个重要条件，而非充分条件。为了防止点击盗版资源网站，除了技术防控，还需配套法律追责机制等条件,运用辩证思采取多种措施，才能有效防止盗版资源的传播。 | 该观点是片面",must reopen exact original rubric/marking material and replace evidence; do not treat row as source-locked
P0,35,分析与综合,6. 2026石景山二模 第17题第（2）问（主观题）,rubric_evidence_unreliable,[石景山区高三政治第二次模拟考试答案评分细则(1).doc | node_or_question_terms] ，共55分。 16．（8分） 我国农业生产政策从全力“保供给”的底线思维，逐步转向“系统提升质量效益”。（2分）（如何“稳中求进”）始终强调“保供给”，是因为粮食自给自足，关乎着人民需求和国家安全，/让我们在复杂国际形势下拥有应对风险的底气。（2分）逐步转向“系统提升质量效益”，是贯彻新发展理念、/利用技术创新/推动农业供给侧结构性改革、/更好满足市场需求升级、/持续推动农业高质量发展的必然要求。（4分）,must reopen exact original rubric/marking material and replace evidence; do not treat row as source-locked
P0,37,矛盾分析法,1. 2026朝阳期中(2025-11) 第20题（主观题）,rubric_evidence_unreliable,[细则.docx | node_or_question_terms] 宏观概括：处理好发展和安全的关系/统筹发展和安全（1分） （分说）细化解释：总体国家安全观/底线思维/维护国家经济安全、科技安全/应对风险/ 政府履行经济职能监管/完善法律法规/其他维护安全的具体措施（1分） （分说）细化解释：经济平稳可持续发展/高质量发展/注入新动能/降本增效/提高效率/优化资源配置/经济增长（1分） 变通：如果没有总说，但行文中有两者相互渗透（如，统筹/统一/辩证…）的意思，也可给3分 （3）第三层（1+1+1）： （总说）,must reopen exact original rubric/marking material and replace evidence; do not treat row as source-locked
P0,41,量变与质变,1. 2025海淀二模 第20题（主观题）,rubric_evidence_unreliable,[细则.docx | node_or_question_terms] 分论述给2分，论述只是提了一下自己规划的给1分，论述不提规划的只能给知识的1分，不给论述分。结合规划从个人角度作答:知识(1分)+论述(2分) 本部分中，可以结合不同模块的知识，回应为所选规划可以做些什么?(可选知识:外交、企业的经营、文化传播、法律等:实现个人价值等) 论述能结合自己的规划、选择合适的知识进行充分论述给2分，论述只是提了一下自己规划的给1分，论述不提规划的只能给知识的1分，不给论述分。 备注： 1、结合规划论述的部分，如果结合自,must reopen exact original rubric/marking material and replace evidence; do not treat row as source-locked
P0,43,适度原则,1. 2026延庆一模 第18题第（2）问（主观题）,rubric_evidence_unreliable,[细则.docx | node_or_question_terms] ；依托科技手段实现实时监测推进治理能力现代化，完善长效治理机制。 评分细则：理论1分+材料1分X4 理论：以人民为中心/人民满意；1分 法治政府建设/依法行政/法治思维；1分 职能科学；1分 智能高效；1分 18.（15分） （1）（8分） M公司涉嫌侵犯李某的肖像权、名誉权；侵犯消费者的知情权；进行虚假和引人误解的商业宣传，构成不正当竞争。 诉讼请求：停止侵害、赔偿损失、承担诉讼费用、赔礼道歉。 事实与理由：M公司未经李某允许，利用AI技术合成,must reopen exact original rubric/marking material and replace evidence; do not treat row as source-locked
P0,44,辩证否定,1. 2025海淀二模 第20题（主观题）,rubric_evidence_unreliable,[细则.docx | node_or_question_terms] 了一下自己规划的给1分，论述不提规划的只能给知识的1分，不给论述分。结合规划从个人角度作答:知识(1分)+论述(2分) 本部分中，可以结合不同模块的知识，回应为所选规划可以做些什么?(可选知识:外交、企业的经营、文化传播、法律等:实现个人价值等) 论述能结合自己的规划、选择合适的知识进行充分论述给2分，论述只是提了一下自己规划的给1分，论述不提规划的只能给知识的1分，不给论述分。 备注： 1、结合规划论述的部分，如果结合自己的规划写了坚持党的领导,must reopen exact original rubric/marking material and replace evidence; do not treat row as source-locked
P0,45,辩证否定,2. 2024东城一模 第18题第（3）问（主观题）,rubric_evidence_unreliable,[细则.pptx | node_or_question_terms] es/slide48.xml]] 【 经典试题回顾 】 [[ppt/slides/slide49.xml]] 市人大作为地方国家权力机关，调研北京中轴线申遗工作的推进情况，开展执法检查，依法行使对行政机关的监督权。人大代表充分表达民意，依法履行职责，帮助人民政府推进工作。这一系列活动落实了全过程人民民主，推动了申遗工作。 人大是国家权力机关（ 1 分） 通过调研、执法检查，行使监督权（只要出来监督即可拿到 2 分，没出来若有调研可得 1 分）（ ,must reopen exact original rubric/marking material and replace evidence; do not treat row as source-locked
P0,46,辩证否定,3. 2026房山二模 第18题第（2）问（主观题）,rubric_evidence_unreliable,[26房山评标.docx | node_or_question_terms] 险1：数字员工生成虚假负面数据文章，违反《反不正当竞争法》的商业诋毁规定，同时可能侵犯该公司的名誉权。应履行审核义务，依法经营 风险2：将公司的核心代码等上传公共AI平台，可能造成商业秘密泄露。应完善保密措施，与平台签订保密合同 风险3：数字员工设计的图案直接用作商业用途，可能会侵犯他人的著作权。应履行审核义务 细则：法律边界及应对措施 风险1：数字员工生成虚假负面数据文章，违反《反不正当竞争法》的商业诋毁1分规定，同时可能侵犯该公司的名,must reopen exact original rubric/marking material and replace evidence; do not treat row as source-locked
P0,47,辩证否定,4. 2025门头沟一模 第21题第（1）问（主观题）,rubric_evidence_unreliable,[细则.doc | node_or_question_terms] 合同/写出不是甲公司真实的意愿/劳动合同无效即可得（1分） ④甲公司提出解除劳动关系符合法律规定/解除劳动关系并无不妥/解除劳动关系的行为无过错（1分） 20（3）现实意义共3分 ①维护用人单位合法权益（1分） ②约束劳动者行为/有利于劳动者遵守职业道德（1分） ③有利于和谐劳动关系的构建/有利于弘扬诚信的社会主义核心价值观/维护了社会公平正义 一、20题答题思路 严格按照给出的事例完成下列裁判要点。答题思路：首先分析案例一的裁判要点进而对案例二从,must reopen exact original rubric/marking material and replace evidence; do not treat row as source-locked
P0,51,三性与三新,3. 2026门头沟一模 第18题第（2）问（主观题）,rubric_evidence_unreliable,[细则.docx | node_or_question_terms] 解决方式、法律效力等相关知识 示例： 第一，从提起诉讼的主体看：该公益社会组织自觉承担社会责任，对涉案企业提起环境民事公益诉讼。知识对接：公民、法人或者其他组织认为自己所享有或依法由自己管理、支配的民事权益受到侵害，可以向人民法院提出诉讼请求。 第二，从纠纷解决方式看：该案是通过和解、司法调解、诉讼的方式予以解决的。知识对接：和解、调解、诉讼各有优势，功能各有侧重，为人们提供了多元的纠纷解决途径。（《法律与生活》第82页） 第三，从法律效力看，法,must reopen exact original rubric/marking material and replace evidence; do not treat row as source-locked
P0,52,三性与三新,4. 2026延庆一模 第18题第（2）问（主观题）,rubric_evidence_unreliable,[细则.docx | node_or_question_terms] 1分X4 理论：以人民为中心/人民满意；1分 法治政府建设/依法行政/法治思维；1分 职能科学；1分 智能高效；1分 18.（15分） （1）（8分） M公司涉嫌侵犯李某的肖像权、名誉权；侵犯消费者的知情权；进行虚假和引人误解的商业宣传，构成不正当竞争。 诉讼请求：停止侵害、赔偿损失、承担诉讼费用、赔礼道歉。 事实与理由：M公司未经李某允许，利用AI技术合成李某形象用于虚假直播营销活动，不当攫取流量。M公司的行为侵犯了李某的肖像权，虚假宣传也在一,must reopen exact original rubric/marking material and replace evidence; do not treat row as source-locked
P0,53,三性与三新,5. 2026石景山一模 第17题第（2）问（主观题）,rubric_evidence_unreliable,[细则.doc | node_or_question_terms] 景山区2026年高三统一练习 思想政治试卷答案及评分参考 第一部分共15题，每题3分，共45分。 1．B 2．D 3．A 4．C 5．D 6．D 7．C 8．D 9．A 10．D 11．B 12．C 13．C 14．C 15．B 第二部分共6题，共55分。 16．（8分） 一方面，充分发挥市场在资源配置中的决定性作用。/企业深度挖掘潜在市场需求（1分），以技术创新为动力（1分），拓展应用场景，促进产业转型升级/(替换:以信息化推动生产发展、推动生产,must reopen exact original rubric/marking material and replace evidence; do not treat row as source-locked
P0,57,三性与三新,9. 2025石景山一模 第19题（主观题）,rubric_evidence_unreliable,[细则.doc | node_or_question_terms] ） 分项 标准 评分细则（0-9分） ① 生产生活需求不断增长，使低空经济拥有超大规模市场优势，应以需求为牵引，创新开拓更丰富的应用场景，培育新产业新模式，不断壮大低空经济规模。 采点与采意赋分相结合，采点赋分为主。 结合材料概括当前优势，基于优势提出推动低空经济高质量发展的方案，准确回答其中一方面得3分，准确回答三方面得9分。 从其他角度回答，言之成理最高得5分； 答非所问、回答错误或没有应答，0分。 ② 相关产业规模大技术优，使低空经济具有产业,must reopen exact original rubric/marking material and replace evidence; do not treat row as source-locked
P0,58,联想思维,1. 2025海淀期末 第18题（主观题）,rubric_evidence_unreliable,[细则.pptx | node_or_question_terms] 分原理分 18 ．（ 7 分） 技术恐惧，指的是人们对 新技术的不信任、焦虑、担忧甚至恐慌，从而产生排斥、拒 绝和抵制新技术的心理和行为。技术恐惧在人类历史上一直存在，并随着科技进步的加速而变得愈发普遍和强烈。 从历史上看，任何重大技术的快速发展都伴随着社会动荡和对快速变化的焦虑 —— 印刷机、机器生产、火车、汽车、飞机、广播和电视、核技术、计算机等都曾遭受不少人的抵制。每一次技术的重大革新和急剧迭代，都会有人发出“狼来了”的呼救。 面对人工智能,must reopen exact original rubric/marking material and replace evidence; do not treat row as source-locked
P0,59,联想思维,2. 2026石景山一模 第17题第（2）问（主观题）,rubric_evidence_unreliable,[细则.doc | node_or_question_terms] 景山区2026年高三统一练习 思想政治试卷答案及评分参考 第一部分共15题，每题3分，共45分。 1．B 2．D 3．A 4．C 5．D 6．D 7．C 8．D 9．A 10．D 11．B 12．C 13．C 14．C 15．B 第二部分共6题，共55分。 16．（8分） 一方面，充分发挥市场在资源配置中的决定性作用。/企业深度挖掘潜在市场需求（1分），以技术创新为动力（1分），拓展应用场景，促进产业转型升级/(替换:以信息化推动生产发展、推动生产,must reopen exact original rubric/marking material and replace evidence; do not treat row as source-locked
P0,61,联想思维,4. 2026朝阳一模 第17题第（1）问后半（主观题）,rubric_evidence_unreliable,[细则.docx | node_or_question_terms] ，不重复给分）： 哲学类（认识论/实践与认识、联系观/系统优化、对立统一）；文化类（文化创新、文化的功能等）。每答对1个且结合材料，得2-3分，累计不超过3分。 注意：只写原理不结合材料，该知识点给1分，答案纯罗列知识的最高3分；只抄材料不写原理，该知识点不得分。 答案示例： 中国农历以日月运行的客观规律为基础，同时通过“十九年七闰”协调历法差异、创制二十四节气，发挥主观能动性认识和利用规律，实现了尊重客观规律与正确发挥主观能动性的统一。 农历将,must reopen exact original rubric/marking material and replace evidence; do not treat row as source-locked
P0,63,联想思维,6. 2026朝阳期中(2025-11) 第21题第（2）问（主观题）,rubric_evidence_unreliable,[细则.docx | node_or_question_terms] 换：供给侧结构性改革等） 规范市场主体的行为，促进诚信经营，维护公平公正的市场秩序。（出1点即可） ②开展人文经济学研究，有助于提升文化审美与感受，转变消费理念，提升消费水平和品质，促进消费升级。（出1点即可） 从而在整体上促进经济循环，助力构建新发展格局，促进经济高质量发展。（前面都没有可给1分） （2）“文化传承与创新”角度4分： 传承与发展2分 对人1分 文化自信1分 ③开展人文经济学研究，有助于促进经济与人文的良性互动，经济的发展为优秀文,must reopen exact original rubric/marking material and replace evidence; do not treat row as source-locked
P0,64,联想思维,7. 2025门头沟一模 第21题第（1）问（主观题）,rubric_evidence_unreliable,[细则.doc | node_or_question_terms] （1分） 20（3）现实意义共3分 ①维护用人单位合法权益（1分） ②约束劳动者行为/有利于劳动者遵守职业道德（1分） ③有利于和谐劳动关系的构建/有利于弘扬诚信的社会主义核心价值观/维护了社会公平正义 一、20题答题思路 严格按照给出的事例完成下列裁判要点。答题思路：首先分析案例一的裁判要点进而对案例二从裁判结果、裁判理由和现实意义三个角度进行分析。 裁判结果：包括支持+是否需要承担XX责任两部分构成，对应的案例二答案应分为两部分支持/驳回/部分,must reopen exact original rubric/marking material and replace evidence; do not treat row as source-locked
P0,66,发散思维与聚合思维,2. 2026丰台二模 第21题（主观题）,rubric_evidence_unreliable,[2026丰台区二模主观题阅卷细则(1).pptx | node_or_question_terms] 力供给、强化产业基础研究、推进数据要素集聚、加快大模型创新应用、打造一流发展环境等方面推动北京通用人工智能产业发展。目前，北京已拥有人工智能核心企业 1000 多家，全面覆盖人工智能芯片、深度学习框架、图像语音语义识别等领域。 （ 2 ） 结合材料一和材料二，运用 《 经济与社会 》 知识，就如何发展新质生产力提出建议，并说明理由。 参考答案：（ 2 ）可从人才培养、研发投入、因地制宜、有效市场和有为政府更好结合,must reopen exact original rubric/marking material and replace evidence; do not treat row as source-locked
P0,71,逆向思维,2. 2025昌平二模 第19题（主观题）,rubric_evidence_unreliable,[细则.pptx | node_or_question_terms] 政治的本质属性，是 最广泛、最真实、最管用的民主 （ 1 分，替代： 不仅有完整的制度程序，而且有完整的参与实践 ） ● 人民代表大会制度 是我国的根本政治制度， 人大代表作为国家权力机关的组成人员 （二选一， 1 分 ） ●人大代表 与人民群众保持密切联系 ， 帮助所在地方政府推进工作 ， 努力为人民服务 ，等 （选一， 1 分 ） ● 基层群众自治制度 是我国的基本政治制度 （ 1 分 ） ● 依法进行 民主协商 、 民主管理 、 民主决策 ,must reopen exact original rubric/marking material and replace evidence; do not treat row as source-locked
P0,73,超前思维,1. 2024西城一模 第19题第（5）问（主观题）,rubric_evidence_unreliable,[细则.docx | node_or_question_terms] 府作用和市场机制的有机结合。（3分） ④新型举国体制成为国家治理体系的重要组成部分。（2分） 细则： ②替换：国家发展。可答促进我国发展、促进国民经济持续健康发展、促进我国高质量发展。2分 ③替换：有为政府和有效市场相结合。如只答“市场决定”或“政府发挥宏观调控的作用”，给2分，市场、政府两个维度都出现共3分。 ④替换：中央引导地方合理规划未来产业。 如从“集中力量办大事”角度作答给1-2分，本小问得分不超过满分。 如从“民主集中制”角度作答，给,must reopen exact original rubric/marking material and replace evidence; do not treat row as source-locked
