material_atom_id,question_id,material_phrase,plain_description,subject_or_actor,action_or_event,affected_party,conflict_or_problem,legal_signal_if_any,possible_relevance_to_answer,source_locator,uncertainty
M_CC0040_2024_海淀_一模_19_07,CC0040_2024_海淀_一模_19,资料卡 虚拟数字人指具有数字化外形 的虚拟人物，与具备实体的机器人 不同，虚拟人依赖显示设备存在。,资料卡 虚拟数字人指具有数字化外形 的虚拟人物，与具备实体的机器人 不同，虚拟人依赖显示设备存在。,,,,,,背景或价值铺垫,F0025:text | F0026:page 7 | F0249:text | F0251:page 7,heuristic_sentence_split_from_text_layer
M_CC0040_2024_海淀_一模_19_08,CC0040_2024_海淀_一模_19,虚拟数字人拥有人的外观、行为和 思维方式，具有识别外界环境并能 与人交流互动的能力。,虚拟数字人拥有人的外观、行为和 思维方式，具有识别外界环境并能 与人交流互动的能力。,,,,,,背景或价值铺垫,F0025:text | F0026:page 7 | F0249:text | F0251:page 7,heuristic_sentence_split_from_text_layer
M_CC0040_2024_海淀_一模_19_09,CC0040_2024_海淀_一模_19,[page 8] 高三年级（思想政治） 第8 页（共8 页）,[page 8] 高三年级（思想政治） 第8 页（共8 页）,,,,,,背景或价值铺垫,F0025:text | F0026:page 7 | F0249:text | F0251:page 7,heuristic_sentence_split_from_text_layer
M_CC0045_2024_海淀_二模_19_01,CC0045_2024_海淀_二模_19,19．（6 分）遗赠扶养协议纠纷案宣判。,19．（6 分）遗赠扶养协议纠纷案宣判。,,,,yes,扶养；遗赠,carries 法律事实/规则信号,F0051:text | F0052:text | F0053:text | F0054:page 7 | F0272:text | F0273:text | F0274:text | F0275:page 7,heuristic_sentence_split_from_text_layer
M_CC0045_2024_海淀_二模_19_02,CC0045_2024_海淀_二模_19,【案情简介】某社区居委会与曹某签订协议，约定由某居委会定时定员结对子照看关心曹某， 每月给予曹某基本生活费，免费看病诊治，逢年过节给予曹某各类生活补助及慰问生活用品等， 养老至寿终；,【案情简介】某社区居委会与曹某签订协议，约定由某居委会定时定员结对子照看关心曹某， 每月给予曹某基本生活费，免费看病诊治，逢年过节给予曹某各类生活补助及慰问生活用品等， 养老至寿终；,,,,,,背景或价值铺垫,F0051:text | F0052:text | F0053:text | F0054:page 7 | F0272:text | F0273:text | F0274:text | F0275:page 7,heuristic_sentence_split_from_text_layer
M_CC0045_2024_海淀_二模_19_03,CC0045_2024_海淀_二模_19,曹某现有的动产和不动产在曹某寿终后，产权移交某居委会。,曹某现有的动产和不动产在曹某寿终后，产权移交某居委会。,,,,,,背景或价值铺垫,F0051:text | F0052:text | F0053:text | F0054:page 7 | F0272:text | F0273:text | F0274:text | F0275:page 7,heuristic_sentence_split_from_text_layer
M_CC0045_2024_海淀_二模_19_04,CC0045_2024_海淀_二模_19,此后，某居委会按照 约定履行扶养义务。,此后，某居委会按照 约定履行扶养义务。,,,,,扶养,carries 法律事实/规则信号,F0051:text | F0052:text | F0053:text | F0054:page 7 | F0272:text | F0273:text | F0274:text | F0275:page 7,heuristic_sentence_split_from_text_layer
M_CC0045_2024_海淀_二模_19_05,CC0045_2024_海淀_二模_19,曹某去世后，曹某的四个子女要求继承遗产，与该居委会产生争议。,曹某去世后，曹某的四个子女要求继承遗产，与该居委会产生争议。,,,,yes,遗产,carries 法律事实/规则信号,F0051:text | F0052:text | F0053:text | F0054:page 7 | F0272:text | F0273:text | F0274:text | F0275:page 7,heuristic_sentence_split_from_text_layer
M_CC0045_2024_海淀_二模_19_06,CC0045_2024_海淀_二模_19,该居委 会遂将曹某的四个子女等人诉至法院，请求判令：（1）确认某居委会与曹某签订的协议有效；,该居委 会遂将曹某的四个子女等人诉至法院，请求判令：（1）确认某居委会与曹某签订的协议有效；,,,,yes,,背景或价值铺垫,F0051:text | F0052:text | F0053:text | F0054:page 7 | F0272:text | F0273:text | F0274:text | F0275:page 7,heuristic_sentence_split_from_text_layer
M_CC0045_2024_海淀_二模_19_07,CC0045_2024_海淀_二模_19,（2） 曹某名下的房屋、股权、现金、存款归某居委会所有。,（2） 曹某名下的房屋、股权、现金、存款归某居委会所有。,,,,,,背景或价值铺垫,F0051:text | F0052:text | F0053:text | F0054:page 7 | F0272:text | F0273:text | F0274:text | F0275:page 7,heuristic_sentence_split_from_text_layer
M_CC0045_2024_海淀_二模_19_08,CC0045_2024_海淀_二模_19,【裁判结果】法院认为，案涉协议符合法律有关遗赠扶养协议的规定，属于有效的遗赠扶养 协议；,【裁判结果】法院认为，案涉协议符合法律有关遗赠扶养协议的规定，属于有效的遗赠扶养 协议；,,,,,扶养；遗赠,carries 法律事实/规则信号,F0051:text | F0052:text | F0053:text | F0054:page 7 | F0272:text | F0273:text | F0274:text | F0275:page 7,heuristic_sentence_split_from_text_layer
M_CC0045_2024_海淀_二模_19_09,CC0045_2024_海淀_二模_19,原告某居委会对被扶养人曹某已尽到扶养义务，判决被继承人曹某安置所得的房屋以及其 生前遗留的股权、现金、银行存款本息归某居委会所有。,原告某居委会对被扶养人曹某已尽到扶养义务，判决被继承人曹某安置所得的房屋以及其 生前遗留的股权、现金、银行存款本息归某居委会所有。,,,,,扶养；原告,carries 法律事实/规则信号,F0051:text | F0052:text | F0053:text | F0054:page 7 | F0272:text | F0273:text | F0274:text | F0275:page 7,heuristic_sentence_split_from_text_layer
M_CC0054_2024_石景山_一模_17_01,CC0054_2024_石景山_一模_17,17．（8 分） 2023 年 12 月 28 日，北京市第三中级人民法院终审公开宣判北京甲环保公司与四川乙发电公司合同纠纷一案，该案系北京市首例碳排放权交易纠纷案件。,17．（8 分） 2023 年 12 月 28 日，北京市第三中级人民法院终审公开宣判北京甲环保公司与四川乙发电公司合同纠纷一案，该案系北京市首例碳排放权交易纠纷案件。,,,,yes,,背景或价值铺垫,F0056:text | F0276:text,heuristic_sentence_split_from_text_layer
M_CC0054_2024_石景山_一模_17_02,CC0054_2024_石景山_一模_17,【基本案情】 2021 年12 月，乙公司就采购碳排放配额发布比选公告，甲公司向其进行报价，内容具体明确，并承诺：如未依约履行，乙公司可另行购买等量的碳排放配额；,【基本案情】 2021 年12 月，乙公司就采购碳排放配额发布比选公告，甲公司向其进行报价，内容具体明确，并承诺：如未依约履行，乙公司可另行购买等量的碳排放配额；,,,,,承诺,carries 法律事实/规则信号,F0056:text | F0276:text,heuristic_sentence_split_from_text_layer
M_CC0054_2024_石景山_一模_17_03,CC0054_2024_石景山_一模_17,如有差价， 由甲公司补足。,如有差价， 由甲公司补足。,,,,,,背景或价值铺垫,F0056:text | F0276:text,heuristic_sentence_split_from_text_layer
M_CC0054_2024_石景山_一模_17_04,CC0054_2024_石景山_一模_17,乙公司经过比选确认甲公司中标，并向其送达了中标通知。,乙公司经过比选确认甲公司中标，并向其送达了中标通知。,,,,,,背景或价值铺垫,F0056:text | F0276:text,heuristic_sentence_split_from_text_layer
M_CC0054_2024_石景山_一模_17_05,CC0054_2024_石景山_一模_17,此后，甲公 司明确表示不再履行合同，在此情况下，乙公司另行与第三方公司签订合同，以高于甲 公司所报交易单价的价格购买了相应碳排放配额，由此产生差价，故乙公司诉至法院， 要求甲公司向其支付差价款 289 万余元及相应利息。,此后，甲公 司明确表示不再履行合同，在此情况下，乙公司另行与第三方公司签订合同，以高于甲 公司所报交易单价的价格购买了相应碳排放配额，由此产生差价，故乙公司诉至法院， 要求甲公司向其支付差价款 289 万余元及相应利息。,,,,yes,,背景或价值铺垫,F0056:text | F0276:text,heuristic_sentence_split_from_text_layer
M_CC0054_2024_石景山_一模_17_06,CC0054_2024_石景山_一模_17,【法院判决】 一审法院经审理，认为甲乙两公司就涉案碳排放配额采购事项成立合同关系，且该合同合法有效。,【法院判决】 一审法院经审理，认为甲乙两公司就涉案碳排放配额采购事项成立合同关系，且该合同合法有效。,,,,,,背景或价值铺垫,F0056:text | F0276:text,heuristic_sentence_split_from_text_layer
M_CC0054_2024_石景山_一模_17_07,CC0054_2024_石景山_一模_17,判决甲公司向乙公司支付碳排放配额采购差价款289 万余元及相应利息。,判决甲公司向乙公司支付碳排放配额采购差价款289 万余元及相应利息。,,,,,,背景或价值铺垫,F0056:text | F0276:text,heuristic_sentence_split_from_text_layer
M_CC0054_2024_石景山_一模_17_08,CC0054_2024_石景山_一模_17,一审后，甲公司不服判决，向北京三中院提起上诉。,一审后，甲公司不服判决，向北京三中院提起上诉。,,,,yes,上诉,carries 法律事实/规则信号,F0056:text | F0276:text,heuristic_sentence_split_from_text_layer
M_CC0054_2024_石景山_一模_17_09,CC0054_2024_石景山_一模_17,北京三中院经审理后作出终审判决： 驳回上诉，维持原判。,北京三中院经审理后作出终审判决： 驳回上诉，维持原判。,,,,yes,上诉,carries 法律事实/规则信号,F0056:text | F0276:text,heuristic_sentence_split_from_text_layer
M_CC0061_2024_西城_一模_18_01,CC0061_2024_西城_一模_18,18．（8分） 【基本案情】郭某与刘某是夫妻关系，刘某于2022年去世。,18．（8分） 【基本案情】郭某与刘某是夫妻关系，刘某于2022年去世。,,,,,,背景或价值铺垫,F0058:text | F0059:text | F0061:text | F0278:text | F0279:text | F0280:text,heuristic_sentence_split_from_text_layer
M_CC0061_2024_西城_一模_18_02,CC0061_2024_西城_一模_18,二人育有子女四人，现郭某年已九十，由小女儿照顾，郭某起诉要求另外三子支付赡养费，其中郭某每月有退休金五千余元，大儿子居住在外地，二儿子肢体残疾，三儿子表示郭某现有收入并不需要子女支付赡养费。,二人育有子女四人，现郭某年已九十，由小女儿照顾，郭某起诉要求另外三子支付赡养费，其中郭某每月有退休金五千余元，大儿子居住在外地，二儿子肢体残疾，三儿子表示郭某现有收入并不需要子女支付赡养费。,,,,yes,赡养；起诉,carries 法律事实/规则信号,F0058:text | F0059:text | F0061:text | F0278:text | F0279:text | F0280:text,heuristic_sentence_split_from_text_layer
M_CC0061_2024_西城_一模_18_03,CC0061_2024_西城_一模_18,一审法院认为郭某尚不存在生活困难的情形，故对于郭某的请求未予支持。,一审法院认为郭某尚不存在生活困难的情形，故对于郭某的请求未予支持。,,,,,,背景或价值铺垫,F0058:text | F0059:text | F0061:text | F0278:text | F0279:text | F0280:text,heuristic_sentence_split_from_text_layer
M_CC0061_2024_西城_一模_18_04,CC0061_2024_西城_一模_18,二审法院审理期间，三个儿子前往郭某住处探望老人，老人表达希望儿子多来陪伴的想法。,二审法院审理期间，三个儿子前往郭某住处探望老人，老人表达希望儿子多来陪伴的想法。,,,,,,背景或价值铺垫,F0058:text | F0059:text | F0061:text | F0278:text | F0279:text | F0280:text,heuristic_sentence_split_from_text_layer
M_CC0061_2024_西城_一模_18_05,CC0061_2024_西城_一模_18,二审法院虽未支持老人要求抚养费的主张，但基于老人渴望子女陪伴的意愿，向郭某的三个儿子发出了《督促履行义务告知书》，要求其常回家看看，多与老人沟通交流，让老人感受到家人的温暖，安享晚年。,二审法院虽未支持老人要求抚养费的主张，但基于老人渴望子女陪伴的意愿，向郭某的三个儿子发出了《督促履行义务告知书》，要求其常回家看看，多与老人沟通交流，让老人感受到家人的温暖，安享晚年。,,,,,抚养,carries 法律事实/规则信号,F0058:text | F0059:text | F0061:text | F0278:text | F0279:text | F0280:text,heuristic_sentence_split_from_text_layer
M_CC0061_2024_西城_一模_18_06,CC0061_2024_西城_一模_18,【模拟庭审】某班学生参考此案二审，组织了一场模拟庭审活动。,【模拟庭审】某班学生参考此案二审，组织了一场模拟庭审活动。,,,,,,背景或价值铺垫,F0058:text | F0059:text | F0061:text | F0278:text | F0279:text | F0280:text,heuristic_sentence_split_from_text_layer
M_CC0061_2024_西城_一模_18_07,CC0061_2024_西城_一模_18,镜头一 学生甲：上诉人申请书记员小袁回避，因为 。,镜头一 学生甲：上诉人申请书记员小袁回避，因为 。,,,,yes,上诉,carries 法律事实/规则信号,F0058:text | F0059:text | F0061:text | F0278:text | F0279:text | F0280:text,heuristic_sentence_split_from_text_layer
M_CC0061_2024_西城_一模_18_08,CC0061_2024_西城_一模_18,镜头二 学生乙：“我是被上诉人郭某的三儿子的辩护人。,镜头二 学生乙：“我是被上诉人郭某的三儿子的辩护人。,,,,yes,上诉,carries 法律事实/规则信号,F0058:text | F0059:text | F0061:text | F0278:text | F0279:text | F0280:text,heuristic_sentence_split_from_text_layer
