suite_id,suite_name,year,district,stage,paper_status,answer_key_status,rubric_status,choice_processed,subjective_processed,philosophy_entries,culture_entries,wrong_option_rows,evidence_level,worker_report,patcher_status,governor_status,blocker,closure_note,late_evidence_files
S038,2026海淀一模,2026,海淀,2026各区一模,confirmed,confirmed,processed-or-module-boundary,processed,processed-or-module-boundary,,,,late-objective-closure,worker-2026A,reviewed,PASS_OBJECTIVE,,迟到客观题补证已闭合；相关选择题链条已进入补充学生版。,C:\bp_sync_visible\reports\full_all_suites_independent_rerun_2026-04-29\late_objective_closure\feynman_2026_hdxc_objective.csv
S039,2026西城一模,2026,西城,2026各区一模,confirmed,confirmed,processed-or-module-boundary,processed,processed-or-module-boundary,,,,late-objective-closure,worker-2026A,reviewed,PASS_OBJECTIVE,,迟到客观题补证已闭合；相关选择题链条已进入补充学生版。,C:\bp_sync_visible\reports\full_all_suites_independent_rerun_2026-04-29\late_objective_closure\feynman_2026_hdxc_objective.csv
S040,2026东城一模,2026,东城,2026各区一模,confirmed,confirmed,processed-or-module-boundary,processed,processed-or-module-boundary,,,,worker-cache-confirmed,worker-2026A,reviewed,PASS_OBJECTIVE,,原 worker 批次已处理。,
S041,2026朝阳一模,2026,朝阳,2026各区一模,confirmed,confirmed,processed-or-module-boundary,processed,processed-or-module-boundary,,,,worker-cache-confirmed,worker-2026A,reviewed,PASS_OBJECTIVE,,原 worker 批次已处理。,
S042,2026丰台一模,2026,丰台,2026各区一模,confirmed,confirmed,processed-or-module-boundary,processed,processed-or-module-boundary,,,,late-objective-closure,worker-2026A,reviewed,PASS_OBJECTIVE,,迟到客观题补证已闭合；相关选择题链条已进入补充学生版。,C:\bp_sync_visible\reports\full_all_suites_independent_rerun_2026-04-29\late_objective_closure\franklin_2026_ftfs_objective.csv
S043,2026延庆一模,2026,延庆,2026各区一模,confirmed,confirmed,processed-or-module-boundary,processed,processed-or-module-boundary,,,,worker-cache-confirmed,worker-2026A,reviewed,PASS_OBJECTIVE,,原 worker 批次已处理。,
S044,2026房山一模,2026,房山,2026各区一模,confirmed,confirmed,processed-or-module-boundary,processed,processed-or-module-boundary,,,,late-objective-closure,worker-2026A,reviewed,PASS_OBJECTIVE,,迟到客观题补证已闭合；相关选择题链条已进入补充学生版。,C:\bp_sync_visible\reports\full_all_suites_independent_rerun_2026-04-29\late_objective_closure\franklin_2026_ftfs_objective.csv
S045,2026石景山一模,2026,石景山,2026各区一模,confirmed,confirmed,processed-or-module-boundary,processed,processed-or-module-boundary,,,,worker-cache-confirmed,worker-2026A,reviewed,PASS_OBJECTIVE,,原 worker 批次已处理。,
S046,2026门头沟一模,2026,门头沟,2026各区一模,confirmed,confirmed,processed-or-module-boundary,processed,processed-or-module-boundary,,,,worker-cache-confirmed,worker-2026A,reviewed,PASS_OBJECTIVE,,原 worker 批次已处理。,
S047,2026顺义一模,2026,顺义,2026各区一模,confirmed,confirmed,processed-or-module-boundary,processed,processed-or-module-boundary,,,,worker-cache-confirmed,worker-2026A,reviewed,PASS_OBJECTIVE,,原 worker 批次已处理。,
S048,2026海淀期中,2026,海淀,2026各区期末和期中,confirmed,confirmed,processed-or-module-boundary,processed,processed-or-module-boundary,,,,worker-cache-confirmed,worker-2026B,reviewed,PASS_OBJECTIVE,,原 worker 批次已处理。,
S049,2026海淀期末,2026,海淀,2026各区期末和期中,confirmed,confirmed,processed-or-module-boundary,processed,processed-or-module-boundary,,,,worker-cache-confirmed,worker-2026B,reviewed,PASS_OBJECTIVE,,原 worker 批次已处理。,
S050,2026西城期末,2026,西城,2026各区期末和期中,confirmed,confirmed,processed-or-module-boundary,processed,processed-or-module-boundary,,,,worker-cache-confirmed,worker-2026B,reviewed,PASS_OBJECTIVE,,原 worker 批次已处理。,
S051,2026东城期末,2026,东城,2026各区期末和期中,confirmed,confirmed,processed-or-module-boundary,processed,processed-or-module-boundary,,,,worker-cache-confirmed,worker-2026B,reviewed,PASS_OBJECTIVE,,原 worker 批次已处理。,
S052,2026朝阳期中,2026,朝阳,2026各区期末和期中,confirmed,confirmed,processed-or-module-boundary,processed,processed-or-module-boundary,,,,worker-cache-confirmed,worker-2026B,reviewed,PASS_OBJECTIVE,,原 worker 批次已处理。,
S053,2026朝阳期末,2026,朝阳,2026各区期末和期中,confirmed,blocked-no-local-answer-key,processed-or-module-boundary,blocked-no-answer-key,processed-or-module-boundary,,,,paper-rendered-confirmed; answer-key-missing-after-cache-original-bundle-check,worker-2026B,reviewed,BOUNDARY_RECORDED,试卷题干可由渲染页确认，但本地 cache、原始目录、细则页和套卷 bundle 均未找到可靠第1-15题答案键；不猜答案、不写错肢。,题干已核，答案键无可靠本地证据；为防虚构，不写正确项或错肢链。,C:\bp_sync_visible\reports\full_all_suites_independent_rerun_2026-04-29\late_objective_closure\hume_2026_qm_objective.csv
S054,2026丰台期末,2026,丰台,2026各区期末和期中,confirmed,blocked-no-local-answer-key,processed-or-module-boundary,blocked-no-answer-key,processed-or-module-boundary,,,,paper-rendered-confirmed; answer-key-missing-after-cache-original-bundle-check,worker-2026B,reviewed,BOUNDARY_RECORDED,试卷题干可由渲染页确认，但本地 cache、原始目录、细则文本和套卷 bundle 均未找到可靠第1-15题答案键；不猜答案、不写错肢。,题干已核，答案键无可靠本地证据；为防虚构，不写正确项或错肢链。,C:\bp_sync_visible\reports\full_all_suites_independent_rerun_2026-04-29\late_objective_closure\hume_2026_qm_objective.csv
S055,2026石景山期末,2026,石景山,2026各区期末和期中,confirmed,confirmed,processed-or-module-boundary,processed,processed-or-module-boundary,,,,worker-cache-confirmed,worker-2026B,reviewed,PASS_OBJECTIVE,,原 worker 批次已处理。,
S056,2026通州期末,2026,通州,2026各区期末和期中,confirmed,confirmed,processed-or-module-boundary,processed,processed-or-module-boundary,,,,worker-cache-confirmed,worker-2026B,reviewed,PASS_OBJECTIVE,,原 worker 批次已处理。,
