entry_id,suite_id,question_no,sub_part,target_node,evidence_level,rubric_excerpt_short,evidence_path,boundary_note
2024_朝阳_二模__Q16_2__实践与认识,2024_朝阳_二模,16,(2),认识论/实践是认识的基础,rubric-formal,为什么4分：即为什么是这样的关系。'人对人工智能的作用2分（理论+实际分析判分），人工智能对人的作用2分（理论+实际分析判分）（知识可以是：实践、联系、矛盾、社会存在与社会意识等，须结合材料分析判分）,/Users/wanglifei/Desktop/2024模拟题/2024朝阳二模/试卷/试卷.pdf 第5页 第16题(2)；细则 /Users/wanglifei/Desktop/2024模拟题/2024朝阳二模/细则/细则.pdf 第1-2页,
2024_朝阳_二模__Q16_2__社会存在与社会意识,2024_朝阳_二模,16,(2),历史唯物主义/社会存在与社会意识,rubric-formal,知识可以是：实践、联系、矛盾、社会存在与社会意识等，须结合材料分析判分。,/Users/wanglifei/Desktop/2024模拟题/2024朝阳二模/试卷/试卷.pdf 第5页 第16题(2)；细则 /Users/wanglifei/Desktop/2024模拟题/2024朝阳二模/细则/细则.pdf 第1-2页,
2024_朝阳_二模__Q16_2__价值观,2024_朝阳_二模,16,(2),价值观 / 人生观/价值观的导向作用,rubric-formal,怎么办2分：未来应如何正确处理二者的关系，如何把握好科技伦理的边界面对带来的风险、威胁；以人工智能更好的为人类社会服务（理论+实际分析判分）（价值观、人民群众，具体问题具体分析等）,/Users/wanglifei/Desktop/2024模拟题/2024朝阳二模/试卷/试卷.pdf 第5页 第16题(2)；细则 /Users/wanglifei/Desktop/2024模拟题/2024朝阳二模/细则/细则.pdf 第1-2页,
2024_朝阳_期中__Q16__社会存在与社会意识,2024_朝阳_期中,16,,历史唯物主义/社会存在与社会意识,rubric-formal,①社会存在决定社会意识，社会存在的变化决定社会意识的变化。（1分）中国共产党抓住社会历史发展的阶段性特征，根据时代的经济和社会发展的需要出台改革举措，历次会议的主题和内容随着时代的发展而不断变化。（1分）,/Users/wanglifei/Desktop/2024模拟题/2024朝阳期中/细则/细则.docx 16题细则 角度①,
2024_朝阳_期中__Q16__人民群众,2024_朝阳_期中,16,,历史唯物主义/人民群众,rubric-formal,②人民群众是社会历史的主体和创造者，坚持群众观点和群众路线。（1分）中国共产党始终坚持以人民为中心，坚持人民主体地位，尊重人民群众的首创精神，不断满足人民群众需要。（1分）,/Users/wanglifei/Desktop/2024模拟题/2024朝阳期中/细则/细则.docx 16题细则 角度②,
2024_朝阳_期中__Q16__社会基本矛盾,2024_朝阳_期中,16,,历史唯物主义/社会发展的两大基本规律和基本矛盾,rubric-formal,③要使生产关系适应生产力的发展，使上层建筑适应经济基础的发展。（1分）中国共产党始终高举改革开放的旗帜，不断调整决议的主题和内容，促进经济和社会的发展。（1分）（可以替换：社会的基本矛盾）,/Users/wanglifei/Desktop/2024模拟题/2024朝阳期中/细则/细则.docx 16题细则 角度③,
2024_朝阳_期中__Q16__改革,2024_朝阳_期中,16,,历史唯物主义/改革 / 改革的实质,rubric-formal,④改革是社会主义社会发展的直接动力，改革是社会主义制度的自我完善和发展。（1分）在实现中华民族伟大复兴的新征程中，必须紧紧围绕推进中国式现代化进一步全面深化改革。（1分）,/Users/wanglifei/Desktop/2024模拟题/2024朝阳期中/细则/细则.docx 16题细则 角度④,
2024_朝阳_期中__Q17__辩证否定,2024_朝阳_期中,17,,辩证法/辩证否定 / 守正创新,rubric-formal,⑤坚持辩证否定观；用对立统一/全面的观点看问题；坚持具体问题具体分析；价值观的导向作用；价值判断和价值选择；尊重规律发挥主观能动性等方面作答，其他角度言之成理即可，知识1分，材料1分。,/Users/wanglifei/Desktop/2024模拟题/2024朝阳期中/细则/细则.docx 17题细则 角度⑤（哲学2分部分）,
2024_朝阳_期中__Q17__矛盾对立统一,2024_朝阳_期中,17,,辩证法/矛盾就是对立统一,rubric-formal,⑤坚持辩证否定观；用对立统一/全面的观点看问题；坚持具体问题具体分析；价值观的导向作用；价值判断和价值选择；尊重规律发挥主观能动性等方面作答，其他角度言之成理即可，知识1分，材料1分。,/Users/wanglifei/Desktop/2024模拟题/2024朝阳期中/细则/细则.docx 17题细则 角度⑤（哲学2分部分）,
2024_朝阳_期中__Q17__具体问题具体分析,2024_朝阳_期中,17,,辩证法/矛盾的特殊性 / 具体问题具体分析,rubric-formal,⑤坚持辩证否定观；用对立统一/全面的观点看问题；坚持具体问题具体分析；价值观的导向作用；价值判断和价值选择；尊重规律发挥主观能动性等方面作答，其他角度言之成理即可，知识1分，材料1分。,/Users/wanglifei/Desktop/2024模拟题/2024朝阳期中/细则/细则.docx 17题细则 角度⑤（哲学2分部分）,
2024_朝阳_期中__Q17__价值判断与价值选择,2024_朝阳_期中,17,,价值观 / 人生观/价值判断与价值选择,rubric-formal,⑤坚持辩证否定观；用对立统一/全面的观点看问题；坚持具体问题具体分析；价值观的导向作用；价值判断和价值选择；尊重规律发挥主观能动性等方面作答，其他角度言之成理即可，知识1分，材料1分。,/Users/wanglifei/Desktop/2024模拟题/2024朝阳期中/细则/细则.docx 17题细则 角度⑤（哲学2分部分）,
2024_朝阳_期中__Q17__尊重规律与主观能动性,2024_朝阳_期中,17,,唯物论/尊重客观规律与发挥主观能动性相结合,rubric-formal,⑤坚持辩证否定观；用对立统一/全面的观点看问题；坚持具体问题具体分析；价值观的导向作用；价值判断和价值选择；尊重规律发挥主观能动性等方面作答，其他角度言之成理即可，知识1分，材料1分。,/Users/wanglifei/Desktop/2024模拟题/2024朝阳期中/细则/细则.docx 17题细则 角度⑤（哲学2分部分）,
2024_海淀_一模__Q2__主观能动性,2024_海淀_一模,2,,唯物论/主观能动性 / 意识的能动作用,rubric-formal,答案A,/Users/wanglifei/Desktop/2024模拟题/2024海淀一模/试卷/试卷.pdf 第1页 第2题；细则.docx 答案 A,
2024_海淀_一模__Q3__实践与真理,2024_海淀_一模,3,,认识论/实践与真理,rubric-formal,答案C,/Users/wanglifei/Desktop/2024模拟题/2024海淀一模/试卷/试卷.pdf 第1页 第3题；细则.docx 答案 C,
2024_海淀_一模__Q5__矛盾对立统一,2024_海淀_一模,5,,辩证法/矛盾的观点 / 对立统一,rubric-formal,答案C,/Users/wanglifei/Desktop/2024模拟题/2024海淀一模/试卷/试卷.pdf 第1页 第5题；细则.docx 答案 C,
2024_海淀_一模__Q16__主观能动性,2024_海淀_一模,16,,唯物论/主观能动性 / 意识的能动作用,rubric-formal,可从发挥主观能动性、联系的观点、发展的观点、实践的观点、民族精神等角度作答。,/Users/wanglifei/Desktop/2024模拟题/2024海淀一模/试卷/试卷.pdf 第5页 第16题；细则.docx 16题（8分）可从发挥主观能动性、联系的观点、发展的观点、实践的观点、民族精神等角度作答。,
2024_海淀_一模__Q16__联系的观点,2024_海淀_一模,16,,辩证法/联系的观点 / 普遍联系,rubric-formal,可从发挥主观能动性、联系的观点、发展的观点、实践的观点、民族精神等角度作答。,/Users/wanglifei/Desktop/2024模拟题/2024海淀一模/试卷/试卷.pdf 第5页 第16题；细则.docx 16题（8分）可从发挥主观能动性、联系的观点、发展的观点、实践的观点、民族精神等角度作答。,
2024_海淀_一模__Q16__发展的观点,2024_海淀_一模,16,,辩证法/发展的观点,rubric-formal,可从发挥主观能动性、联系的观点、发展的观点、实践的观点、民族精神等角度作答。,/Users/wanglifei/Desktop/2024模拟题/2024海淀一模/试卷/试卷.pdf 第5页 第16题；细则.docx 16题（8分）可从发挥主观能动性、联系的观点、发展的观点、实践的观点、民族精神等角度作答。,
2024_海淀_一模__Q16__实践的观点,2024_海淀_一模,16,,认识论/实践的观点,rubric-formal,可从发挥主观能动性、联系的观点、发展的观点、实践的观点、民族精神等角度作答。,/Users/wanglifei/Desktop/2024模拟题/2024海淀一模/试卷/试卷.pdf 第5页 第16题；细则.docx 16题（8分）可从发挥主观能动性、联系的观点、发展的观点、实践的观点、民族精神等角度作答。,
2024_海淀_二模__Q4__一切从实际出发,2024_海淀_二模,4,,唯物论/一切从实际出发 / 实事求是 / 主观与客观具体的历史的统一,answer-key,,/Users/wanglifei/Desktop/2024模拟题/海淀二模/试卷/试卷.pdf 第2页 第4题；答案 /Users/wanglifei/Desktop/2024模拟题/海淀二模/细则/细则.docx,
2024_海淀_二模__Q8_错项C__价值判断与价值选择,2024_海淀_二模,8,,价值观 / 人生观/价值判断与价值选择,answer-key,,/Users/wanglifei/Desktop/2024模拟题/海淀二模/试卷/试卷.pdf 第2页 第8题；答案 /Users/wanglifei/Desktop/2024模拟题/海淀二模/细则/细则.docx,
2024_海淀_二模__Q16__联系的普遍性,2024_海淀_二模,16,,辩证法/联系的普遍性 / 联系的观点(总),rubric-formal,联系是普遍的，在人际关系和社交领域，'同频'更容易使人们达成共识，形成合力。,/Users/wanglifei/Desktop/2024模拟题/海淀二模/细则/细则.docx 第16题,
2024_海淀_二模__Q16__矛盾对立统一,2024_海淀_二模,16,,辩证法/矛盾就是对立统一,rubric-formal,矛盾双方是对立统一的，人与人在思想、价值观、生活方式或行为方式上有不同，也有共同点，在对立中把握统一，更能相互理解和引起共鸣。,/Users/wanglifei/Desktop/2024模拟题/海淀二模/细则/细则.docx 第16题,
2024_海淀_二模__Q16__价值观与人生价值,2024_海淀_二模,16,,价值观 / 人生观/实现人生价值,rubric-formal,价值观不同，人们面对冲突时作出的选择也不同，人生价值要在个人与社会的统一中创造和实现。,/Users/wanglifei/Desktop/2024模拟题/海淀二模/细则/细则.docx 第16题,
2024_石景山_一模__Q3__社会存在与社会意识,2024_石景山_一模,3,,历史唯物主义/社会存在与社会意识,rubric-formal,答案D（③④）,/Users/wanglifei/Desktop/2024模拟题/石景山一模/试卷/试卷.docx 第3题；细则.pptx slide 4 答案 D,
2024_石景山_一模__Q5__联系的观点_主观能动性,2024_石景山_一模,5,,唯物论/主观能动性 / 意识的能动作用,rubric-formal,答案C（②④）,/Users/wanglifei/Desktop/2024模拟题/石景山一模/试卷/试卷.docx 第5题；细则.pptx slide 7 答案 C,
2024_石景山_一模__Q16__文化的功能_认识的作用,2024_石景山_一模,16,,认识论/认识对实践的指导作用,rubric-formal,16题（6分）可从文化的继承与发展，文化自信，认识的作用，联系，发展等角度回答。,/Users/wanglifei/Desktop/2024模拟题/石景山一模/试卷/试卷.docx 第16题；细则.pptx 16题（6分）可从文化的继承与发展、文化自信、认识的作用、联系、发展等角度回答,
2024_石景山_一模__Q16__联系的观点,2024_石景山_一模,16,,辩证法/联系的观点 / 普遍联系,rubric-formal,16题（6分）可从文化的继承与发展，文化自信，认识的作用，联系，发展等角度回答。,/Users/wanglifei/Desktop/2024模拟题/石景山一模/试卷/试卷.docx 第16题；细则.pptx 16题参考角度,
2024_石景山_一模__Q16__发展的观点,2024_石景山_一模,16,,辩证法/发展的观点,rubric-formal,16题（6分）可从文化的继承与发展，文化自信，认识的作用，联系，发展等角度回答。,/Users/wanglifei/Desktop/2024模拟题/石景山一模/试卷/试卷.docx 第16题；细则.pptx 16题参考角度,
2024_西城_一模__Q9__主观能动性,2024_西城_一模,9,,唯物论/主观能动性 / 意识的能动作用,rubric-formal,答案D,/Users/wanglifei/Desktop/2024模拟题/西城一模/试卷/试卷.docx 第9题；细则.docx 答案 D,
2024_西城_一模__Q10__价值与人的需要,2024_西城_一模,10,,价值观 / 人生观/价值的客观性,rubric-formal,答案A,/Users/wanglifei/Desktop/2024模拟题/西城一模/试卷/试卷.docx 第10题；细则.docx 答案 A,
2024_西城_一模__Q12__辩证否定,2024_西城_一模,12,,辩证法/辩证否定 / 守正创新,rubric-formal,答案 C：肯定与否定互为条件，且只存在于它们的联系中（选项原文为辩证否定观/扬弃逻辑的等值表述）,/Users/wanglifei/Desktop/2024模拟题/西城一模/试卷/试卷.docx 第12题；细则.docx 答案 C,
2024_西城_一模__Q17__实践与认识,2024_西城_一模,17,,认识论/实践与认识,rubric-formal,可以从以下角度作答：生态价值观，构建人与自然生命共同体，人与自然和谐共生的现代化，实践与认识，客观规律与主观能动性，联系与发展，对立统一，否定之否定；等等。,/Users/wanglifei/Desktop/2024模拟题/西城一模/试卷/试卷.docx 第17题；细则.docx 17题（9分）,
2024_西城_一模__Q17__客观规律与主观能动性,2024_西城_一模,17,,唯物论/客观规律与主观能动性,rubric-formal,可以从以下角度作答：生态价值观，构建人与自然生命共同体，人与自然和谐共生的现代化，实践与认识，客观规律与主观能动性，联系与发展，对立统一，否定之否定；等等。,/Users/wanglifei/Desktop/2024模拟题/西城一模/试卷/试卷.docx 第17题；细则.docx 17题（9分）,
2024_西城_一模__Q17__联系与发展,2024_西城_一模,17,,辩证法/联系的观点 / 发展的观点,rubric-formal,可以从以下角度作答：生态价值观，构建人与自然生命共同体，人与自然和谐共生的现代化，实践与认识，客观规律与主观能动性，联系与发展，对立统一，否定之否定；等等。,/Users/wanglifei/Desktop/2024模拟题/西城一模/试卷/试卷.docx 第17题；细则.docx 17题（9分）,
2024_西城_一模__Q17__对立统一,2024_西城_一模,17,,辩证法/矛盾的观点 / 对立统一,rubric-formal,可以从以下角度作答：生态价值观，构建人与自然生命共同体，人与自然和谐共生的现代化，实践与认识，客观规律与主观能动性，联系与发展，对立统一，否定之否定；等等。,/Users/wanglifei/Desktop/2024模拟题/西城一模/试卷/试卷.docx 第17题；细则.docx 17题（9分）,
2024_西城_一模__Q17__价值判断与价值选择,2024_西城_一模,17,,价值观 / 人生观/价值判断与价值选择,rubric-formal,可以从以下角度作答：生态价值观，构建人与自然生命共同体，人与自然和谐共生的现代化，实践与认识，客观规律与主观能动性，联系与发展，对立统一，否定之否定；等等。,/Users/wanglifei/Desktop/2024模拟题/西城一模/试卷/试卷.docx 第17题；细则.docx 17题（9分）,
2024_西城_二模__Q1_错项②__马克思主义独特品质,2024_西城_二模,1,,价值观 / 人生观/价值观的导向作用,answer-key,,/Users/wanglifei/Desktop/2024模拟题/西城二模/试卷/试卷.docx 第1题；细则 /Users/wanglifei/Desktop/2024模拟题/西城二模/细则/细则.docx,
2024_西城_二模__Q7__矛盾的特殊性,2024_西城_二模,7,,辩证法/矛盾的特殊性 / 具体问题具体分析,answer-key,,/Users/wanglifei/Desktop/2024模拟题/西城二模/试卷/试卷.docx 第7题；细则 /Users/wanglifei/Desktop/2024模拟题/西城二模/细则/细则.docx,
2024_西城_二模__Q8__实践与社会关系,2024_西城_二模,8,,历史唯物主义/人民群众,answer-key,,/Users/wanglifei/Desktop/2024模拟题/西城二模/试卷/试卷.docx 第8题；细则 /Users/wanglifei/Desktop/2024模拟题/西城二模/细则/细则.docx,
