section,audit_id,source,trigger,evidence_grade,origin,content_verdict
一切从实际出发 / 实事求是,V3-FW-0007,2026北京东城高三一模 第1题,一切从实际出发 / 实事求是,C,V3直接支持补入,SUPPORTED_DIRECT_CHOICE_TEXT
一切从实际出发 / 实事求是,V3-FW-0011,2026北京朝阳高三（上）期中 第7题,一切从实际出发 / 实事求是,C,V3直接支持补入,SUPPORTED_DIRECT_CHOICE_TEXT
主观能动性 / 意识的能动作用,V3-FW-0397,2024北京海淀高三一模 第2题,联系观点 / 主观能动性 / 科技实践,C,V3直接支持补入,SUPPORTED_DIRECT_CHOICE_TEXT
主观能动性 / 意识的能动作用,V3-FW-0436,2024北京西城高三一模 第17题,规律客观性 / 主观能动性 / 实践观点,A,V3直接支持补入,SUPPORTED_DIRECT_RUBRIC
主观能动性 / 意识的能动作用,V3-FW-0039,2024北京西城高三二模 第18题第（4）问（`高三模拟测试思想政治答案细则.docx`） 【证据：A细则/阅卷/评分标准直接支持】,按客观规律办事和发挥主观能动性,A,Codex-V3融合终稿,SUPPORTED_DIRECT_RUBRIC
主观能动性 / 意识的能动作用,V3-FW-0237,2024北京顺义高三二模 第2题③④,意识活动的能动创造性 / 文化符号表达,C,V3直接支持补入,SUPPORTED_DIRECT_CHOICE_TEXT
主观能动性 / 意识的能动作用,V3-FW-0031,2025北京海淀高三（上）期末 第4题,主观能动性 / 意识的能动作用,C,V3直接支持补入,SUPPORTED_DIRECT_CHOICE_TEXT
主观能动性 / 意识的能动作用,V3-FW-0311,2025北京门头沟高三一模 第21题（2）,主观能动性 / 意识的能动作用 / 创新驱动发展,A,V3直接支持补入,SUPPORTED_DIRECT_RUBRIC
主观能动性 / 意识的能动作用,V3-FW-0304,2025北京门头沟高三一模 第7题,实现人生价值 / 主观能动性 / 个人与社会统一,C,V3直接支持补入,SUPPORTED_DIRECT_CHOICE_TEXT
主观能动性 / 意识的能动作用,V3-FW-0023,2026北京海淀高三（上）期末 第16题（评分标准） 【证据：A细则/阅卷/评分标准直接支持】,意识的能动作用 / 主观能动性,A,Codex-V3融合终稿,SUPPORTED_DIRECT_RUBRIC
主观能动性 / 意识的能动作用,V3-FW-0028,2026北京石景山高三一模 第3题,主观能动性 / 意识的能动作用,C,V3直接支持补入,SUPPORTED_DIRECT_CHOICE_TEXT
主观能动性 / 意识的能动作用,V3-FW-0255,2026北京西城高三一模 第21题,实践观；矛盾观；发展观；规律客观性与主观能动性；辩证思维；创新思维,A,V3直接支持补入,SUPPORTED_DIRECT_RUBRIC
尊重客观规律与发挥主观能动性相结合,V3-FW-0039,2024北京西城高三二模 第18题第（4）问（高三模拟测试思想政治答案细则.docx）,按客观规律办事和发挥主观能动性,A,V3直接支持补入,SUPPORTED_DIRECT_RUBRIC
尊重客观规律与发挥主观能动性相结合,V3-FW-0033,2025北京东城高三二模 第16题（`东城区25届高三政治二模统测阅卷报告 5.9.pdf`） 【证据：A细则/阅卷来源；触发词非逐字命中，材料链按题面人工保留】,尊重客观规律与发挥主观能动性相结合,A,Codex-V3融合终稿,SUPPORTED_DIRECT_RUBRIC
尊重客观规律与发挥主观能动性相结合,V3-FW-0324,2025北京丰台高三一模 第4题,尊重客观规律与发挥主观能动性；联系的客观性,C,V3直接支持补入,SUPPORTED_DIRECT_CHOICE_TEXT
尊重客观规律与发挥主观能动性相结合,V3-FW-0035,2025北京延庆高三一模 第4题,尊重客观规律与发挥主观能动性相结合,C,V3直接支持补入,SUPPORTED_DIRECT_CHOICE_TEXT
尊重客观规律与发挥主观能动性相结合,V3-FW-0247,2026北京朝阳高三一模 第16题,尊重客观规律与发挥主观能动性；联系观点；整体与部分/系统优化；实践是认识的基础；认识反作用于实践；矛盾对立统一,A,V3直接支持补入,SUPPORTED_DIRECT_RUBRIC
联系的普遍性 / 联系的观点（总）,V3-FW-0079,2024北京东城高三二模 第16题（阅卷总结/16题/16题二模阅卷总结.docx、16题评分细则.pptx）,联系的观点 / 整体与部分 / 系统优化,A,V3直接支持补入,SUPPORTED_DIRECT_RUBRIC
联系的普遍性 / 联系的观点（总）,V3-FW-0080,2024北京丰台高三二模 第21题（丰台政治二模阅卷评标.docx）,整体与部分 / 个人与国家的联系,A,V3直接支持补入,SUPPORTED_DIRECT_RUBRIC
联系的普遍性 / 联系的观点（总）,V3-FW-0463,2024北京海淀高三二模 第15题,联系观点 / 文化交流互鉴 / 人类命运共同体,C,V3直接支持补入,SUPPORTED_DIRECT_CHOICE_TEXT
联系的普遍性 / 联系的观点（总）,V3-FW-0061,2024北京西城高三二模 第18题第（4）问（高三模拟测试思想政治答案细则.docx）,联系的观点 / 整体与部分 / 系统优化,A,V3直接支持补入,SUPPORTED_DIRECT_RUBRIC
联系的普遍性 / 联系的观点（总）,V3-FW-0074,2025北京东城高三（上）期末 第5题,整体与部分 / 系统观念,C,V3直接支持补入,SUPPORTED_DIRECT_CHOICE_TEXT
联系的普遍性 / 联系的观点（总）,V3-FW-0075,2025北京朝阳高三（上）期末 第2题,整体与部分 / 系统观念,C,V3直接支持补入,SUPPORTED_DIRECT_CHOICE_TEXT
联系的普遍性 / 联系的观点（总）,V3-FW-0076,2025北京朝阳高三（上）期末 第9题,整体与部分 / 系统观念,C,V3直接支持补入,SUPPORTED_DIRECT_CHOICE_TEXT
联系的普遍性 / 联系的观点（总）,V3-FW-0078,2025北京海淀高三二模 第16题（2025届二模考试讲评0510.pdf）,联系的观点 / 整体与部分 / 系统优化,A,V3直接支持补入,SUPPORTED_DIRECT_RUBRIC
联系的普遍性 / 联系的观点（总）,V3-FW-0046,2025北京门头沟高三一模 第16题（教师版 + 门头沟一模细则） 【证据：A细则/阅卷/评分标准直接支持】,联系的观点,A,Codex-V3融合终稿,SUPPORTED_DIRECT_RUBRIC
联系的普遍性 / 联系的观点（总）,V3-FW-0322,2025北京顺义高三一模 第16题,联系观点 / 文化与科技融合,A,V3直接支持补入,SUPPORTED_DIRECT_RUBRIC
联系的普遍性 / 联系的观点（总）,V3-FW-0315,2025北京顺义高三一模 第3题,联系观点 / 文化交流互鉴 / 共同发展,C,V3直接支持补入,SUPPORTED_DIRECT_CHOICE_TEXT
联系的普遍性 / 联系的观点（总）,V3-FW-0066,2026北京东城高三（上）期末 第4题,联系的客观性 / 自在联系,C,V3直接支持补入,SUPPORTED_DIRECT_CHOICE_TEXT
联系的普遍性 / 联系的观点（总）,V3-FW-0050,2026北京海淀高三（上）期末 第16题（评分标准） 【证据：A细则/阅卷/评分标准直接支持】,联系的观点,A,Codex-V3融合终稿,SUPPORTED_DIRECT_RUBRIC
联系的普遍性 / 联系的观点（总）,V3-FW-0341,2026北京通州高三（上）期末 第8题,人为事物联系 / 矛盾对立统一 / 个体与整体,C,V3直接支持补入,SUPPORTED_DIRECT_CHOICE_TEXT
联系的多样性,V3-FW-0067,2025北京丰台高三二模 第4题,联系的多样性,C,V3直接支持补入,SUPPORTED_DIRECT_CHOICE_TEXT
联系的多样性,V3-FW-0069,2025北京朝阳高三二模 第3题,联系的多样性,C,V3直接支持补入,SUPPORTED_DIRECT_CHOICE_TEXT
联系的多样性,V3-FW-0070,2026北京朝阳高三（上）期中 第4题,联系的多样性,C,V3直接支持补入,SUPPORTED_DIRECT_CHOICE_TEXT
整体与部分 / 系统观念,V3-FW-0079,2024北京东城高三二模 第16题（`阅卷总结/16题/16题二模阅卷总结.docx`、`16题评分细则.pptx`） 【证据：A细则/阅卷/评分标准直接支持】,联系的观点 / 整体与部分 / 系统优化,A,Codex-V3融合终稿,SUPPORTED_DIRECT_RUBRIC
整体与部分 / 系统观念,V3-FW-0080,2024北京丰台高三二模 第21题（`丰台政治二模阅卷评标.docx`） 【证据：A细则/阅卷/评分标准直接支持】,整体与部分 / 个人与国家的联系,A,Codex-V3融合终稿,SUPPORTED_DIRECT_RUBRIC
整体与部分 / 系统观念,V3-FW-0387,2024北京朝阳高三一模 第9题,系统观念 / 实践观点 / 政治参与,C,V3直接支持补入,SUPPORTED_DIRECT_CHOICE_TEXT
整体与部分 / 系统观念,V3-FW-0441,2024北京朝阳高三二模 第2题,联系观点 / 整体与部分 / 系统观念,C,V3直接支持补入,SUPPORTED_DIRECT_CHOICE_TEXT
整体与部分 / 系统观念,V3-FW-0478,2024北京朝阳高三期中 第4题,联系观点 / 系统优化方法 / 创新意识,C,V3直接支持补入,SUPPORTED_DIRECT_CHOICE_TEXT
整体与部分 / 系统观念,V3-FW-0061,2024北京西城高三二模 第18题第（4）问（`高三模拟测试思想政治答案细则.docx`） 【证据：A细则/阅卷/评分标准直接支持】,联系的观点 / 整体与部分 / 系统优化,A,Codex-V3融合终稿,SUPPORTED_DIRECT_RUBRIC
整体与部分 / 系统观念,V3-FW-0471,2024北京西城高三二模 第2题,中华民族共同体意识 / 文化多样性 / 中华文化整体性,C,V3直接支持补入,SUPPORTED_DIRECT_CHOICE_TEXT
整体与部分 / 系统观念,V3-FW-0286,2025北京房山高三一模 第2题,整体与部分 / 系统观念 / 统筹兼顾,C,V3直接支持补入,SUPPORTED_DIRECT_CHOICE_TEXT
整体与部分 / 系统观念,V3-FW-0075,2025北京朝阳高三（上）期末 第2题（教师版答案源） 【证据：C选择题正确项；有可靠答案源】,整体与部分 / 系统观念,C,Codex-V3融合终稿,SUPPORTED_DIRECT_CHOICE_TEXT
整体与部分 / 系统观念,V3-FW-0076,2025北京朝阳高三（上）期末 第9题（教师版答案源） 【证据：C选择题正确项；有可靠答案源】,整体与部分 / 系统观念,C,Codex-V3融合终稿,SUPPORTED_DIRECT_CHOICE_TEXT
整体与部分 / 系统观念,V3-FW-0294,2025北京海淀高三一模 第22题,整体与部分 / 系统观念 / 联系观点,A,V3直接支持补入,SUPPORTED_DIRECT_RUBRIC
整体与部分 / 系统观念,V3-FW-0293,2025北京海淀高三一模 第8题,联系的观点 / 系统观念 / 多主体协同,C,V3直接支持补入,SUPPORTED_DIRECT_CHOICE_TEXT
整体与部分 / 系统观念,V3-FW-0078,2025北京海淀高三二模 第16题（`2025届二模考试讲评0510.pdf`） 【证据：A细则/阅卷/评分标准直接支持】,联系的观点 / 整体与部分 / 系统优化,A,Codex-V3融合终稿,SUPPORTED_DIRECT_RUBRIC
整体与部分 / 系统观念,V3-FW-0270,2026北京朝阳高三（上）期中 第20题,分析与综合 / 整体性思维,A,V3直接支持补入,SUPPORTED_DIRECT_RUBRIC
整体与部分 / 系统观念,V3-FW-0339,2026北京通州高三（上）期末 第5题,群众观点 / 系统观念 / 辩证思维,C,V3直接支持补入,SUPPORTED_DIRECT_CHOICE_TEXT
整体与部分 / 系统观念,V3-FW-0342,2026北京通州高三（上）期末 第9题,系统观念 / 联系观点 / 数字化治理,C,V3直接支持补入,SUPPORTED_DIRECT_CHOICE_TEXT
发展的观点 / 发展的普遍性,V3-FW-0091,2024北京东城高三二模 第16题（`阅卷总结/16题/16题二模阅卷总结.docx`、`16题评分细则.pptx`） 【证据：A细则/阅卷/评分标准直接支持】,发展的观点,A,Codex-V3融合终稿,SUPPORTED_DIRECT_RUBRIC
发展的观点 / 发展的普遍性,V3-FW-0107,2024北京东城高三二模 第16题（阅卷总结/16题/16题二模阅卷总结.docx、16题评分细则.pptx）,辩证否定 / 守正创新,A,V3直接支持补入,SUPPORTED_DIRECT_RUBRIC
发展的观点 / 发展的普遍性,V3-FW-0449,2024北京朝阳高三二模 第19题（3）,人与自然和谐共生 / 共同富裕 / 和平发展,A,V3直接支持补入,SUPPORTED_DIRECT_RUBRIC
发展的观点 / 发展的普遍性,V3-FW-0448,2024北京朝阳高三二模 第19题（3）,发展观点 / 中华优秀传统文化 / 中国式现代化,A,V3直接支持补入,SUPPORTED_DIRECT_RUBRIC
发展的观点 / 发展的普遍性,V3-FW-0115,2024北京朝阳高三期中 第17题（2024.11期中政治朝阳评标docx.docx、阅卷细则总.rtf）,辩证否定 / 守正创新,A,V3直接支持补入,SUPPORTED_DIRECT_RUBRIC
发展的观点 / 发展的普遍性,V3-FW-0417,2024北京石景山高三一模 第2题,实践具有历史性 / 科技创新推动生产力发展,C,V3直接支持补入,SUPPORTED_DIRECT_CHOICE_TEXT
发展的观点 / 发展的普遍性,V3-FW-0108,2025北京东城高三一模 第16题（教师版 + 东城阅卷报告）,辩证否定,A,V3直接支持补入,SUPPORTED_DIRECT_RUBRIC
发展的观点 / 发展的普遍性,V3-FW-0329,2025北京丰台高三二模 第21题,发展观点 / 矛盾分析法 / 实践观点,A,V3直接支持补入,SUPPORTED_DIRECT_RUBRIC
发展的观点 / 发展的普遍性,V3-FW-0109,2025北京海淀高三二模 第16题,辩证否定,A,V3直接支持补入,SUPPORTED_DIRECT_RUBRIC
发展的观点 / 发展的普遍性,V3-FW-0319,2025北京顺义高三一模 第16题,发展观点 / 发展的普遍性,A,V3直接支持补入,SUPPORTED_DIRECT_RUBRIC
发展的观点 / 发展的普遍性,V3-FW-0112,2026北京延庆高三一模 第4题,辩证否定；价值判断与价值选择,C,V3直接支持补入,SUPPORTED_DIRECT_CHOICE_TEXT
发展的观点 / 发展的普遍性,V3-FW-0111,2026北京朝阳高三一模 第3题,辩证否定 / 守正创新,C,V3直接支持补入,SUPPORTED_DIRECT_CHOICE_TEXT
发展的观点 / 发展的普遍性,V3-FW-0252,2026北京海淀高三一模 第16题（由“2026-04-25 夜间监管补丁”已证映射反向拆回） 【证据：A细则/阅卷/评分标准直接支持】,发展观点,A,Codex-V3融合终稿,SUPPORTED_DIRECT_RUBRIC
发展的观点 / 发展的普遍性,V3-FW-0113,2026北京门头沟高三一模 第5题,辩证否定,C,V3直接支持补入,SUPPORTED_DIRECT_CHOICE_TEXT
量变与质变 / 适度原则,V3-FW-0443,2024北京朝阳高三二模 第6题,发展观点 / 量变质变 / 渐进性与飞跃性,C,V3直接支持补入,SUPPORTED_DIRECT_CHOICE_TEXT
量变与质变 / 适度原则,V3-FW-0192,2024北京朝阳高三期中 第16题（`2024.11期中政治朝阳评标docx.docx`、`阅卷细则总.rtf`） 【证据：A细则/阅卷/评分标准直接支持】,改革是社会主义社会发展的直接动力 / 社会主义制度自我完善和发展,A,Codex-V3融合终稿,SUPPORTED_DIRECT_RUBRIC
量变与质变 / 适度原则,V3-FW-0098,2025北京朝阳高三一模 第1题（教师版答案表） 【证据：C选择题正确项；有可靠答案源】,量变与质变 / 发展的阶段性,C,Codex-V3融合终稿,SUPPORTED_DIRECT_CHOICE_TEXT
量变与质变 / 适度原则,V3-FW-0094,2025北京海淀高三二模 第16题,量变与质变,A,V3直接支持补入,SUPPORTED_DIRECT_RUBRIC
量变与质变 / 适度原则,V3-FW-0099,2025北京海淀高三（上）期末 第5题,量变与质变 / 渐进性与飞跃性的统一,C,V3直接支持补入,SUPPORTED_DIRECT_CHOICE_TEXT
量变与质变 / 适度原则,V3-FW-0271,2026北京朝阳高三（上）期中 第20题,量变质变 / 发展观点 / 动态性思维,A,V3直接支持补入,SUPPORTED_DIRECT_RUBRIC
辩证否定 / 守正创新,V3-FW-0107,2024北京东城高三二模 第16题（`阅卷总结/16题/16题二模阅卷总结.docx`、`16题评分细则.pptx`） 【证据：A细则/阅卷/评分标准直接支持】,辩证否定 / 守正创新,A,Codex-V3融合终稿,SUPPORTED_DIRECT_RUBRIC
辩证否定 / 守正创新,V3-FW-0451,2024北京朝阳高三二模 第19题（3）,创造性转化、创新性发展 / 两个结合 / 文化自信,A,V3直接支持补入,SUPPORTED_DIRECT_RUBRIC
辩证否定 / 守正创新,V3-FW-0115,2024北京朝阳高三期中 第17题（`2024.11期中政治朝阳评标docx.docx`、`阅卷细则总.rtf`） 【证据：A细则/阅卷/评分标准直接支持】,辩证否定 / 守正创新,A,Codex-V3融合终稿,SUPPORTED_DIRECT_RUBRIC
辩证否定 / 守正创新,V3-FW-0108,2025北京东城高三一模 第16题（教师版 + 东城阅卷报告） 【证据：A细则/阅卷/评分标准直接支持】,辩证否定,A,Codex-V3融合终稿,SUPPORTED_DIRECT_RUBRIC
辩证否定 / 守正创新,V3-FW-0326,2025北京丰台高三二模 第16题（1）,联系观点 / 发展观点 / 辩证否定,A,V3直接支持补入,SUPPORTED_DIRECT_RUBRIC
辩证否定 / 守正创新,V3-FW-0289,2025北京房山高三一模 第5题,辩证否定 / 守正创新 / 内容与形式统一,C,V3直接支持补入,SUPPORTED_DIRECT_CHOICE_TEXT
辩证否定 / 守正创新,V3-FW-0308,2025北京门头沟高三一模 第21题（1）,辩证否定 / 发展观点 / 系统观念,A,V3直接支持补入,SUPPORTED_DIRECT_RUBRIC
矛盾就是对立统一,V3-FW-0446,2024北京朝阳高三二模 第16题（2）,矛盾对立统一 / 辩证思维,A,V3直接支持补入,SUPPORTED_DIRECT_RUBRIC
矛盾就是对立统一,V3-FW-0117,2025北京东城高三（上）期末 第4题,矛盾就是对立统一 / 一分为二看问题,C,V3直接支持补入,SUPPORTED_DIRECT_CHOICE_TEXT
矛盾就是对立统一,V3-FW-0323,2025北京丰台高三一模 第2题,矛盾就是对立统一,C,V3直接支持补入,SUPPORTED_DIRECT_CHOICE_TEXT
矛盾就是对立统一,V3-FW-0287,2025北京房山高三一模 第3题,矛盾就是对立统一 / 矛盾斗争性,C,V3直接支持补入,SUPPORTED_DIRECT_CHOICE_TEXT
矛盾就是对立统一,V3-FW-0292,2025北京海淀高三一模 第5题,矛盾运动观点 / 动态性思维 / 生态价值转化,C,V3直接支持补入,SUPPORTED_DIRECT_CHOICE_TEXT
矛盾就是对立统一,V3-FW-0306,2025北京门头沟高三一模 第16题,对立统一 / 矛盾分析法,A,V3直接支持补入,SUPPORTED_DIRECT_RUBRIC
矛盾就是对立统一,V3-FW-0128,2026北京东城高三（上）期末 第3题,矛盾就是对立统一 / 一分为二看问题,C,V3直接支持补入,SUPPORTED_DIRECT_CHOICE_TEXT
矛盾就是对立统一,V3-FW-0116,2026北京朝阳高三（上）期中 第18题（用户提供正式阅卷细则） 【证据：A细则/阅卷/评分标准直接支持】,矛盾就是对立统一 / 一分为二 / 全面观点,A,Codex-V3融合终稿,SUPPORTED_DIRECT_RUBRIC
矛盾就是对立统一,V3-FW-0269,2026北京朝阳高三（上）期中 第20题,矛盾分析法 / 对立统一 / 全面观点,A,V3直接支持补入,SUPPORTED_DIRECT_RUBRIC
矛盾的普遍性,V3-FW-0432,2024北京西城高三一模 第9题,矛盾普遍性 / 生命观 / 价值反思,C,V3直接支持补入,SUPPORTED_DIRECT_CHOICE_TEXT
矛盾的普遍性,V3-FW-0265,2026北京朝阳高三（上）期中 第18题,矛盾普遍性 / 对立统一 / 一分为二 / 全面观点,A,V3直接支持补入,SUPPORTED_DIRECT_RUBRIC
矛盾的特殊性 / 具体问题具体分析,V3-FW-0139,2024北京东城高三二模 第16题（`阅卷总结/16题/16题二模阅卷总结.docx`、`16题评分细则.pptx`） 【证据：A细则/阅卷/评分标准直接支持】,具体问题具体分析,A,Codex-V3融合终稿,SUPPORTED_DIRECT_RUBRIC
矛盾的特殊性 / 具体问题具体分析,V3-FW-0447,2024北京朝阳高三二模 第16题（2）,价值判断与价值选择 / 人民群众 / 具体问题具体分析,A,V3直接支持补入,SUPPORTED_DIRECT_RUBRIC
矛盾的特殊性 / 具体问题具体分析,V3-FW-0141,2024北京朝阳高三期中 第17题（`2024.11期中政治朝阳评标docx.docx`、`阅卷细则总.rtf`） 【证据：A细则/阅卷/评分标准直接支持】,矛盾的特殊性 / 具体问题具体分析,A,Codex-V3融合终稿,SUPPORTED_DIRECT_RUBRIC
矛盾的特殊性 / 具体问题具体分析,V3-FW-0320,2025北京顺义高三一模 第16题,矛盾特殊性 / 具体问题具体分析,A,V3直接支持补入,SUPPORTED_DIRECT_RUBRIC
矛盾的特殊性 / 具体问题具体分析,V3-FW-0249,2026北京延庆高三一模 第16题,矛盾观；矛盾特殊性；群众观点；辩证否定观；联系观点；发展观点,A,V3直接支持补入,SUPPORTED_DIRECT_RUBRIC
矛盾的特殊性 / 具体问题具体分析,V3-FW-0136,2026北京延庆高三一模 第3题,矛盾的特殊性 / 具体问题具体分析；整体与部分,C,V3直接支持补入,SUPPORTED_DIRECT_CHOICE_TEXT
矛盾的普遍性和特殊性,V3-FW-0400,2024北京海淀高三一模 第5题,矛盾对立统一 / 矛盾普遍性与特殊性,C,V3直接支持补入,SUPPORTED_DIRECT_CHOICE_TEXT
矛盾的普遍性和特殊性,V3-FW-0288,2025北京房山高三一模 第4题,矛盾普遍性和特殊性 / 具体问题具体分析,C,V3直接支持补入,SUPPORTED_DIRECT_CHOICE_TEXT
矛盾的普遍性和特殊性,V3-FW-0145,2025北京朝阳高三二模 第2题,矛盾的普遍性和特殊性,C,V3直接支持补入,SUPPORTED_DIRECT_CHOICE_TEXT
实践与认识,V3-FW-0155,2025北京朝阳高三二模 第16题,实践与认识,A,V3直接支持补入,SUPPORTED_DIRECT_RUBRIC
实践与认识,V3-FW-0165,2025北京海淀高三二模 第16题,认识是主体对客体的能动反映,A,V3直接支持补入,SUPPORTED_DIRECT_RUBRIC
实践与认识,V3-FW-0015,2025北京门头沟高三一模 第21题第（2）问（`门头沟一模细则.doc`） 【证据：A细则/阅卷/评分标准直接支持】,主观与客观、认识与实践具体的历史的统一,A,Codex-V3融合终稿,SUPPORTED_DIRECT_RUBRIC
实践与认识,V3-FW-0152,2026北京海淀高三（上）期末 第16题（评分标准） 【证据：A细则/阅卷/评分标准直接支持】,实践的观点,A,Codex-V3融合终稿,SUPPORTED_DIRECT_RUBRIC
实践是认识的基础,V3-FW-0325,2025北京丰台高三二模 第16题（1）,实践是认识的基础 / 认识反作用于实践 / 知行合一,A,V3直接支持补入,SUPPORTED_DIRECT_RUBRIC
实践是认识的基础,V3-FW-0160,2026北京门头沟高三一模 第7题,实践是认识的基础 / 实践第一观点,C,V3直接支持补入,SUPPORTED_DIRECT_CHOICE_TEXT
认识发展原理,V3-FW-0479,2024北京朝阳高三期中 第5题,哲学起源 / 认识发展 / 理性认识,C,V3直接支持补入,SUPPORTED_DIRECT_CHOICE_TEXT
真理观,V3-FW-0408,2024北京丰台高三一模 第9题,认识受主客观条件制约 / 真理性认识的条件性,C,V3直接支持补入,SUPPORTED_DIRECT_CHOICE_TEXT
真理观,V3-FW-0398,2024北京海淀高三一模 第3题,实践是检验认识真理性的唯一标准 / 认识具有过程性,C,V3直接支持补入,SUPPORTED_DIRECT_CHOICE_TEXT
真理观,V3-FW-0181,2025北京海淀高三（上）期末 第6题,真理是具体的有条件的 / 实践与认识,C,V3直接支持补入,SUPPORTED_DIRECT_CHOICE_TEXT
社会存在与社会意识,V3-FW-0185,2024北京朝阳高三期中 第16题（`2024.11期中政治朝阳评标docx.docx`、`阅卷细则总.rtf`） 【证据：A细则/阅卷/评分标准直接支持】,社会存在决定社会意识 / 社会存在变化决定社会意识变化,A,Codex-V3融合终稿,SUPPORTED_DIRECT_RUBRIC
社会存在与社会意识,V3-FW-0252,2026北京海淀高三一模 第16题（`26海淀一模政治评分标准.pdf`） 【证据：A细则/阅卷/评分标准直接支持】,社会存在与社会意识 / 社会存在决定社会意识 / 社会意识具有反作用,A,Codex-V3融合终稿,SUPPORTED_DIRECT_RUBRIC
社会发展的两大基本规律和基本矛盾,V3-FW-0457,2024北京东城高三二模 第18题（2）,上层建筑适应经济基础 / 具体问题具体分析 / 主体措施链,A,V3直接支持补入,SUPPORTED_DIRECT_RUBRIC
社会发展的两大基本规律和基本矛盾,V3-FW-0188,2024北京朝阳高三期中 第16题（`2024.11期中政治朝阳评标docx.docx`、`阅卷细则总.rtf`） 【证据：A细则/阅卷/评分标准直接支持】,生产力与生产关系 / 经济基础与上层建筑 / 社会基本矛盾运动,A,Codex-V3融合终稿,SUPPORTED_DIRECT_RUBRIC
社会发展的两大基本规律和基本矛盾,V3-FW-0187,2024北京西城高三二模 第17题（`高三模拟测试思想政治答案细则.docx`） 【证据：A细则/阅卷/评分标准直接支持】,生产力与生产关系 / 经济基础与上层建筑 / 社会基本矛盾运动,A,Codex-V3融合终稿,SUPPORTED_DIRECT_RUBRIC
社会发展的两大基本规律和基本矛盾,V3-FW-0299,2025北京石景山高三一模 第10题,社会基本矛盾 / 生产关系适应生产力 / 改革,C,V3直接支持补入,SUPPORTED_DIRECT_CHOICE_TEXT
