section,audit_id,source,trigger,evidence_grade,evidence,origin
整体与部分 / 系统观念,V3-FW-0248,2026北京丰台高三一模 第16题（由“2026-04-25 夜间监管补丁”已证映射反向拆回） 【证据：B评标/讲评角度清单；材料链为整理者解释】,联系观点 / 整体与部分 / 系统观念,B,B评标/讲评角度清单；本条为框架映射整理，非细则逐字同名,Codex-V3融合终稿
整体与部分 / 系统观念,V3-FW-0247,2026北京朝阳高三一模 第16题（由“2026-04-25 夜间监管补丁”已证映射反向拆回） 【证据：A细则/阅卷/评分标准直接支持】,联系观点 / 整体与部分 / 系统优化,A,A评分/阅卷源支持本题；本条为框架近邻迁入或人工保留，非细则逐字同名,Codex-V3融合终稿
整体与部分 / 系统观念,V3-FW-0259,2026北京顺义高三一模 第16题（由“2026-04-25 夜间监管补丁”已证映射反向拆回） 【证据：B评标/讲评角度清单；材料链为整理者解释】,联系观点 / 系统优化,B,B评标/讲评角度清单；本条为框架映射整理，非细则逐字同名,Codex-V3融合终稿
整体与部分 / 系统观念,V3-FW-0260,2026北京顺义高三一模 第21题（由“2026-04-25 夜间监管补丁”已证映射反向拆回） 【证据：B评标/讲评角度清单；材料链为整理者解释】,整体与部分 / 系统优化,B,B评标/讲评角度清单；本条为框架映射整理，非细则逐字同名,Codex-V3融合终稿
发展的观点 / 发展的普遍性,V3-FW-0252,2026北京海淀高三一模 第16题（由“2026-04-25 夜间监管补丁”已证映射反向拆回） 【证据：A细则/阅卷/评分标准直接支持】,发展观点,A,A评分/阅卷源支持本题；本条为框架近邻迁入或人工保留，非细则逐字同名,Codex-V3融合终稿
发展的观点 / 发展的普遍性,V3-FW-0254,2026北京西城高三一模 第16题（由“2026-04-25 夜间监管补丁”已证映射反向拆回） 【证据：A细则/阅卷/评分标准直接支持】,发展观点,A,A评分/阅卷源支持本题；本条为框架近邻迁入或人工保留，非细则逐字同名,Codex-V3融合终稿
发展的观点 / 发展的普遍性,V3-FW-0255,2026北京西城高三一模 第21题（由“2026-04-25 夜间监管补丁”已证映射反向拆回） 【证据：A细则/阅卷/评分标准直接支持】,发展观点,A,A评分/阅卷源支持本题；本条为框架近邻迁入或人工保留，非细则逐字同名,Codex-V3融合终稿
量变与质变 / 适度原则,V3-FW-0100,2024北京丰台高三二模 第21题（`丰台政治二模阅卷评标.docx`） 【证据：A细则/阅卷来源；触发词非逐字命中，材料链按题面人工保留】,量变与质变,A,A评分/阅卷源支持本题；本条为框架近邻迁入或人工保留，非细则逐字同名,Codex-V3融合终稿
量变与质变 / 适度原则,V3-FW-0259,2026北京顺义高三一模 第16题（由“2026-04-25 夜间监管补丁”已证映射反向拆回） 【证据：B评标/讲评角度清单；材料链为整理者解释】,量变质变 / 适度原则,B,B评标/讲评角度清单；本条为框架映射整理，非细则逐字同名,Codex-V3融合终稿
辩证否定 / 守正创新,V3-FW-0248,2026北京丰台高三一模 第16题（由“2026-04-25 夜间监管补丁”已证映射反向拆回） 【证据：B评标/讲评角度清单；材料链为整理者解释】,辩证否定,B,B评标/讲评角度清单；本条为框架映射整理，非细则逐字同名,Codex-V3融合终稿
辩证否定 / 守正创新,V3-FW-0249,2026北京延庆高三一模 第16题（由“2026-04-25 夜间监管补丁”已证映射反向拆回） 【证据：A细则/阅卷/评分标准直接支持】,发展观点 / 辩证否定,A,A评分/阅卷源支持本题；本条为框架近邻迁入或人工保留，非细则逐字同名,Codex-V3融合终稿
辩证否定 / 守正创新,V3-FW-0256,2026北京门头沟高三一模 第16题（由“2026-04-25 夜间监管补丁”已证映射反向拆回） 【证据：B评标/讲评角度清单；材料链为整理者解释】,发展观点 / 辩证否定,B,B评标/讲评角度清单；本条为框架映射整理，非细则逐字同名,Codex-V3融合终稿
矛盾就是对立统一,V3-FW-0130,2024北京丰台高三二模 第20题（`丰台政治二模阅卷评标.docx`） 【证据：A细则/阅卷来源；触发词非逐字命中，材料链按题面人工保留】,矛盾就是对立统一 / 全面观点,A,A评分/阅卷源支持本题；本条为框架近邻迁入或人工保留，非细则逐字同名,Codex-V3融合终稿
矛盾就是对立统一,V3-FW-0131,2024北京朝阳高三期中 第17题（`2024.11期中政治朝阳评标docx.docx`、`阅卷细则总.rtf`） 【证据：A细则/阅卷来源；触发词非逐字命中，材料链按题面人工保留】,矛盾就是对立统一 / 全面观点,A,A评分/阅卷源支持本题；本条为框架近邻迁入或人工保留，非细则逐字同名,Codex-V3融合终稿
矛盾就是对立统一,V3-FW-0248,2026北京丰台高三一模 第16题（由“2026-04-25 夜间监管补丁”已证映射反向拆回） 【证据：B评标/讲评角度清单；材料链为整理者解释】,矛盾对立统一,B,B评标/讲评角度清单；本条为框架映射整理，非细则逐字同名,Codex-V3融合终稿
矛盾就是对立统一,V3-FW-0249,2026北京延庆高三一模 第16题（由“2026-04-25 夜间监管补丁”已证映射反向拆回） 【证据：A细则/阅卷/评分标准直接支持】,矛盾分析法,A,A评分/阅卷源支持本题；本条为框架近邻迁入或人工保留，非细则逐字同名,Codex-V3融合终稿
矛盾就是对立统一,V3-FW-0247,2026北京朝阳高三一模 第16题（由“2026-04-25 夜间监管补丁”已证映射反向拆回） 【证据：A细则/阅卷/评分标准直接支持】,矛盾对立统一,A,A评分/阅卷源支持本题；本条为框架近邻迁入或人工保留，非细则逐字同名,Codex-V3融合终稿
矛盾就是对立统一,V3-FW-0255,2026北京西城高三一模 第21题（由“2026-04-25 夜间监管补丁”已证映射反向拆回） 【证据：A细则/阅卷/评分标准直接支持】,矛盾分析法,A,A评分/阅卷源支持本题；本条为框架近邻迁入或人工保留，非细则逐字同名,Codex-V3融合终稿
矛盾就是对立统一,V3-FW-0259,2026北京顺义高三一模 第16题（由“2026-04-25 夜间监管补丁”已证映射反向拆回） 【证据：B评标/讲评角度清单；材料链为整理者解释】,矛盾分析法,B,B评标/讲评角度清单；本条为框架映射整理，非细则逐字同名,Codex-V3融合终稿
矛盾的特殊性 / 具体问题具体分析,V3-FW-0140,2024北京西城高三二模 第18题第（4）问（`高三模拟测试思想政治答案细则.docx`） 【证据：A细则/阅卷来源；触发词非逐字命中，材料链按题面人工保留】,矛盾的特殊性 / 具体问题具体分析,A,A评分/阅卷源支持本题；本条为框架近邻迁入或人工保留，非细则逐字同名,Codex-V3融合终稿
矛盾的普遍性和特殊性,V3-FW-0144,2025北京石景山高三一模 第16题（教师版 + 评分细则） 【证据：A细则/阅卷来源；触发词非逐字命中，材料链按题面人工保留】,矛盾的普遍性和特殊性,A,A评分/阅卷源支持本题；本条为框架近邻迁入或人工保留，非细则逐字同名,Codex-V3融合终稿
矛盾的主要方面和次要方面,V3-FW-0242,2026北京东城高三一模 第16题（由“2026一模已处理映射（细则支持）”已证映射反向拆回） 【证据：B评标/讲评角度清单；材料链为整理者解释】,矛盾主次方面,B,B评标/讲评角度清单；本条为框架映射整理，非细则逐字同名,Codex-V3融合终稿
实践与认识,V3-FW-0247,2026北京朝阳高三一模 第16题（由“2026-04-25 夜间监管补丁”已证映射反向拆回） 【证据：A细则/阅卷/评分标准直接支持】,认识对实践的反作用,A,A评分/阅卷源支持本题；本条为框架近邻迁入或人工保留，非细则逐字同名,Codex-V3融合终稿
实践与认识,V3-FW-0255,2026北京西城高三一模 第21题（由“2026-04-25 夜间监管补丁”已证映射反向拆回） 【证据：A细则/阅卷/评分标准直接支持】,实践与认识 / 实践观点,A,A评分/阅卷源支持本题；本条为框架近邻迁入或人工保留，非细则逐字同名,Codex-V3融合终稿
实践与认识,V3-FW-0260,2026北京顺义高三一模 第21题（由“2026-04-25 夜间监管补丁”已证映射反向拆回） 【证据：B评标/讲评角度清单；材料链为整理者解释】,实践与认识 / 实践观点,B,B评标/讲评角度清单；本条为框架映射整理，非细则逐字同名,Codex-V3融合终稿
实践是认识的基础,V3-FW-0247,2026北京朝阳高三一模 第16题（由“2026-04-25 夜间监管补丁”已证映射反向拆回） 【证据：A细则/阅卷/评分标准直接支持】,实践是认识的基础 / 实践检验认识,A,A评分/阅卷源支持本题；本条为框架近邻迁入或人工保留，非细则逐字同名,Codex-V3融合终稿
认识发展原理,V3-FW-0246,2026北京东城高三一模 第20题（由“2026-04-25 夜间监管补丁”已证映射反向拆回） 【证据：B评标/讲评角度清单；材料链为整理者解释】,认识发展 / 认识上升性,B,B评标/讲评角度清单；本条为框架映射整理，非细则逐字同名,Codex-V3融合终稿
真理观,V3-FW-0246,2026北京东城高三一模 第20题（由“2026-04-25 夜间监管补丁”已证映射反向拆回） 【证据：B评标/讲评角度清单；材料链为整理者解释】,真理在实践中检验和发展,B,B评标/讲评角度清单；本条为框架映射整理，非细则逐字同名,Codex-V3融合终稿
社会存在与社会意识,V3-FW-0242,2026北京东城高三一模 第16题（由“2026一模已处理映射（细则支持）”已证映射反向拆回） 【证据：B评标/讲评角度清单；材料链为整理者解释】,社会存在与社会意识,B,B评标/讲评角度清单；本条为框架映射整理，非细则逐字同名,Codex-V3融合终稿
社会存在与社会意识,V3-FW-0260,2026北京顺义高三一模 第21题（由“2026-04-25 夜间监管补丁”已证映射反向拆回） 【证据：B评标/讲评角度清单；材料链为整理者解释】,社会存在与社会意识,B,B评标/讲评角度清单；本条为框架映射整理，非细则逐字同名,Codex-V3融合终稿
改革 / 改革的实质,V3-FW-0191,2024北京西城高三二模 第17题（`高三模拟测试思想政治答案细则.docx`） 【证据：A细则/阅卷来源；触发词非逐字命中，材料链按题面人工保留】,改革 / 改革的实质 / 生产关系适应生产力,A,A评分/阅卷源支持本题；本条为框架近邻迁入或人工保留，非细则逐字同名,Codex-V3融合终稿
人民群众,V3-FW-0242,2026北京东城高三一模 第16题（由“2026一模已处理映射（细则支持）”已证映射反向拆回） 【证据：B评标/讲评角度清单；材料链为整理者解释】,人民群众,B,B评标/讲评角度清单；本条为框架映射整理，非细则逐字同名,Codex-V3融合终稿
人民群众,V3-FW-0249,2026北京延庆高三一模 第16题（由“2026-04-25 夜间监管补丁”已证映射反向拆回） 【证据：A细则/阅卷/评分标准直接支持】,人民群众,A,A评分/阅卷源支持本题；本条为框架近邻迁入或人工保留，非细则逐字同名,Codex-V3融合终稿
价值观的导向作用,V3-FW-0216,2024北京东城高三二模 第16题（`阅卷总结/16题/16题二模阅卷总结.docx`、`16题评分细则.pptx`） 【证据：A细则/阅卷来源；触发词非逐字命中，材料链按题面人工保留】,价值观的导向作用 / 正确价值观,A,A评分/阅卷源支持本题；本条为框架近邻迁入或人工保留，非细则逐字同名,Codex-V3融合终稿
价值观的导向作用,V3-FW-0242,2026北京东城高三一模 第16题（由“2026一模已处理映射（细则支持）”已证映射反向拆回） 【证据：B评标/讲评角度清单；材料链为整理者解释】,价值观的导向作用,B,B评标/讲评角度清单；本条为框架映射整理，非细则逐字同名,Codex-V3融合终稿
价值观的导向作用,V3-FW-0248,2026北京丰台高三一模 第16题（由“2026-04-25 夜间监管补丁”已证映射反向拆回） 【证据：B评标/讲评角度清单；材料链为整理者解释】,价值观的导向作用,B,B评标/讲评角度清单；本条为框架映射整理，非细则逐字同名,Codex-V3融合终稿
价值观的导向作用,V3-FW-0252,2026北京海淀高三一模 第16题（由“2026-04-25 夜间监管补丁”已证映射反向拆回） 【证据：A细则/阅卷/评分标准直接支持】,价值观的导向作用,A,A评分/阅卷源支持本题；本条为框架近邻迁入或人工保留，非细则逐字同名,Codex-V3融合终稿
价值观的导向作用,V3-FW-0202,2026北京海淀高三（上）期末 第16题（评分标准） 【证据：A细则/阅卷来源；触发词非逐字命中，材料链按题面人工保留】,价值观的导向作用,A,A评分/阅卷源支持本题；本条为框架近邻迁入或人工保留，非细则逐字同名,Codex-V3融合终稿
价值观的导向作用,V3-FW-0259,2026北京顺义高三一模 第16题（由“2026-04-25 夜间监管补丁”已证映射反向拆回） 【证据：B评标/讲评角度清单；材料链为整理者解释】,价值观的导向作用,B,B评标/讲评角度清单；本条为框架映射整理，非细则逐字同名,Codex-V3融合终稿
价值判断与价值选择,V3-FW-0224,2024北京朝阳高三期中 第17题（`2024.11期中政治朝阳评标docx.docx`、`阅卷细则总.rtf`） 【证据：A细则/阅卷来源；触发词非逐字命中，材料链按题面人工保留】,价值判断与价值选择,A,A评分/阅卷源支持本题；本条为框架近邻迁入或人工保留，非细则逐字同名,Codex-V3融合终稿
价值判断与价值选择,V3-FW-0223,2024北京西城高三二模 第18题第（4）问（`高三模拟测试思想政治答案细则.docx`） 【证据：A细则/阅卷来源；触发词非逐字命中，材料链按题面人工保留】,价值判断与价值选择,A,A评分/阅卷源支持本题；本条为框架近邻迁入或人工保留，非细则逐字同名,Codex-V3融合终稿
价值判断与价值选择,V3-FW-0242,2026北京东城高三一模 第16题（由“2026一模已处理映射（细则支持）”已证映射反向拆回） 【证据：B评标/讲评角度清单；材料链为整理者解释】,价值判断与价值选择,B,B评标/讲评角度清单；本条为框架映射整理，非细则逐字同名,Codex-V3融合终稿
价值判断与价值选择,V3-FW-0248,2026北京丰台高三一模 第16题（由“2026-04-25 夜间监管补丁”已证映射反向拆回） 【证据：B评标/讲评角度清单；材料链为整理者解释】,价值判断与价值选择,B,B评标/讲评角度清单；本条为框架映射整理，非细则逐字同名,Codex-V3融合终稿
价值判断与价值选择,V3-FW-0222,2026北京海淀高三（上）期末 第16题（`2025-2026海淀期末政治评分标准(1).pdf`） 【证据：A细则/阅卷来源；触发词非逐字命中，材料链按题面人工保留】,价值判断与价值选择,A,A评分/阅卷源支持本题；本条为框架近邻迁入或人工保留，非细则逐字同名,Codex-V3融合终稿
价值判断与价值选择,V3-FW-0260,2026北京顺义高三一模 第21题（由“2026-04-25 夜间监管补丁”已证映射反向拆回） 【证据：B评标/讲评角度清单；材料链为整理者解释】,价值判断与价值选择,B,B评标/讲评角度清单；本条为框架映射整理，非细则逐字同名,Codex-V3融合终稿
