section,audit_id,source,trigger,evidence_grade,content_verdict
联系的普遍性 / 联系的观点（总）,V3-FW-0076,2025北京朝阳高三（上）期末 第9题,整体与部分 / 系统观念,C,SUPPORTED_DIRECT_CHOICE_TEXT
联系的普遍性 / 联系的观点（总）,V3-FW-0078,2025北京海淀高三二模 第16题（2025届二模考试讲评0510.pdf）,联系的观点 / 整体与部分 / 系统优化,A,SUPPORTED_DIRECT_RUBRIC
联系的普遍性 / 联系的观点（总）,V3-FW-0079,2024北京东城高三二模 第16题（阅卷总结/16题/16题二模阅卷总结.docx、16题评分细则.pptx）,联系的观点 / 整体与部分 / 系统优化,A,SUPPORTED_DIRECT_RUBRIC
联系的普遍性 / 联系的观点（总）,V3-FW-0080,2024北京丰台高三二模 第21题（丰台政治二模阅卷评标.docx）,整体与部分 / 个人与国家的联系,A,SUPPORTED_DIRECT_RUBRIC
量变与质变 / 适度原则,V3-FW-0094,2025北京海淀高三二模 第16题,量变与质变,A,SUPPORTED_DIRECT_RUBRIC
量变与质变 / 适度原则,V3-FW-0099,2025北京海淀高三（上）期末 第5题,量变与质变 / 渐进性与飞跃性的统一,C,SUPPORTED_DIRECT_CHOICE_TEXT
发展的观点 / 发展的普遍性,V3-FW-0101,2025北京海淀高三（上）期末 第17题（2）（用户确认PPT给分口径）,事物发展是前进性与曲折性的统一,B,SUPPORTED_DIRECT_RUBRIC
发展的观点 / 发展的普遍性,V3-FW-0103,2026北京朝阳高三（上）期中 第18题（用户提供正式阅卷细则）,辩证否定观,A,SUPPORTED_DIRECT_RUBRIC
发展的观点 / 发展的普遍性,V3-FW-0104,2025北京海淀高三（上）期末 第16题（用户确认PPT给分口径）,辩证否定,B,SUPPORTED_DIRECT_RUBRIC
发展的观点 / 发展的普遍性,V3-FW-0107,2024北京东城高三二模 第16题（阅卷总结/16题/16题二模阅卷总结.docx、16题评分细则.pptx）,辩证否定 / 守正创新,A,SUPPORTED_DIRECT_RUBRIC
发展的观点 / 发展的普遍性,V3-FW-0108,2025北京东城高三一模 第16题（教师版 + 东城阅卷报告）,辩证否定,A,SUPPORTED_DIRECT_RUBRIC
发展的观点 / 发展的普遍性,V3-FW-0109,2025北京海淀高三二模 第16题,辩证否定,A,SUPPORTED_DIRECT_RUBRIC
发展的观点 / 发展的普遍性,V3-FW-0111,2026北京朝阳高三一模 第3题,辩证否定 / 守正创新,C,SUPPORTED_DIRECT_CHOICE_TEXT
发展的观点 / 发展的普遍性,V3-FW-0112,2026北京延庆高三一模 第4题,辩证否定；价值判断与价值选择,C,SUPPORTED_DIRECT_CHOICE_TEXT
发展的观点 / 发展的普遍性,V3-FW-0113,2026北京门头沟高三一模 第5题,辩证否定,C,SUPPORTED_DIRECT_CHOICE_TEXT
发展的观点 / 发展的普遍性,V3-FW-0115,2024北京朝阳高三期中 第17题（2024.11期中政治朝阳评标docx.docx、阅卷细则总.rtf）,辩证否定 / 守正创新,A,SUPPORTED_DIRECT_RUBRIC
矛盾就是对立统一,V3-FW-0117,2025北京东城高三（上）期末 第4题,矛盾就是对立统一 / 一分为二看问题,C,SUPPORTED_DIRECT_CHOICE_TEXT
矛盾就是对立统一,V3-FW-0128,2026北京东城高三（上）期末 第3题,矛盾就是对立统一 / 一分为二看问题,C,SUPPORTED_DIRECT_CHOICE_TEXT
矛盾就是对立统一,V3-FW-0132,2025北京西城高三（上）期末 第18题（用户确认答案解析可用）,矛盾的普遍性 / 承认矛盾,B,SUPPORTED_DIRECT_RUBRIC
矛盾的特殊性 / 具体问题具体分析,V3-FW-0136,2026北京延庆高三一模 第3题,矛盾的特殊性 / 具体问题具体分析；整体与部分,C,SUPPORTED_DIRECT_CHOICE_TEXT
矛盾的特殊性 / 具体问题具体分析,V3-FW-0142,2025北京西城高三二模 第16题第（3）问,具体问题具体分析,B,SUPPORTED_DIRECT_RUBRIC
矛盾的普遍性和特殊性,V3-FW-0145,2025北京朝阳高三二模 第2题,矛盾的普遍性和特殊性,C,SUPPORTED_DIRECT_CHOICE_TEXT
实践与认识,V3-FW-0155,2025北京朝阳高三二模 第16题,实践与认识,A,SUPPORTED_DIRECT_RUBRIC
实践是认识的基础,V3-FW-0160,2026北京门头沟高三一模 第7题,实践是认识的基础 / 实践第一观点,C,SUPPORTED_DIRECT_CHOICE_TEXT
实践与认识,V3-FW-0165,2025北京海淀高三二模 第16题,认识是主体对客体的能动反映,A,SUPPORTED_DIRECT_RUBRIC
真理观,V3-FW-0181,2025北京海淀高三（上）期末 第6题,真理是具体的有条件的 / 实践与认识,C,SUPPORTED_DIRECT_CHOICE_TEXT
人民群众,V3-FW-0196,2025北京海淀高三（上）期末 第7题,人民群众是历史的创造者 / 群众路线,C,SUPPORTED_DIRECT_CHOICE_TEXT
价值观的导向作用,V3-FW-0204,2026北京朝阳高三一模 第2题,价值观的导向作用,C,SUPPORTED_DIRECT_CHOICE_TEXT
价值观的导向作用,V3-FW-0208,2025北京昌平高三二模 第16题,价值观的导向作用,B,SUPPORTED_DIRECT_RUBRIC
价值观的导向作用,V3-FW-0209,2025北京丰台高三二模 第5题,价值观的导向作用,C,SUPPORTED_DIRECT_CHOICE_TEXT
价值观的导向作用,V3-FW-0210,2025北京丰台高三二模 第16题第（1）问,价值观的导向作用,A,SUPPORTED_DIRECT_RUBRIC
实现人生价值,V3-FW-0225,2025北京昌平高三二模 第16题,实现人生价值,B,SUPPORTED_DIRECT_RUBRIC
主观能动性 / 意识的能动作用,V3-FW-0237,2024北京顺义高三二模 第2题③④,意识活动的能动创造性 / 文化符号表达,C,SUPPORTED_DIRECT_CHOICE_TEXT
矛盾的主要方面和次要方面,V3-FW-0242,2026北京东城高三一模 第16题,人民群众；矛盾主次方面；价值观导向；价值判断与价值选择；社会意识反作用；系统观点,B,SUPPORTED_DIRECT_RUBRIC
社会发展的两大基本规律和基本矛盾,V3-FW-0246,2026北京东城高三一模 第20题,实践决定认识；认识反作用于实践；真理在实践中检验和发展；认识上升性；发展观；人民群众/人民立场；上层建筑反作用经济基础,B,SUPPORTED_DIRECT_RUBRIC
尊重客观规律与发挥主观能动性相结合,V3-FW-0247,2026北京朝阳高三一模 第16题,尊重客观规律与发挥主观能动性；联系观点；整体与部分/系统优化；实践是认识的基础；认识反作用于实践；矛盾对立统一,A,SUPPORTED_DIRECT_RUBRIC
尊重客观规律与发挥主观能动性相结合,V3-FW-0248,2026北京丰台高三一模 第16题,矛盾对立统一；两点论与重点论；联系观点；整体与部分/系统观念；价值观导向；价值判断与价值选择；尊重规律与发挥主观能动性；辩证否定,B,SUPPORTED_DIRECT_RUBRIC
矛盾的特殊性 / 具体问题具体分析,V3-FW-0249,2026北京延庆高三一模 第16题,矛盾观；矛盾特殊性；群众观点；辩证否定观；联系观点；发展观点,A,SUPPORTED_DIRECT_RUBRIC
价值观的导向作用,V3-FW-0254,2026北京西城高三一模 第16题,联系观点；发展观点；正确意识的促进作用；价值观导向；辩证思维；超前思维,A,SUPPORTED_DIRECT_RUBRIC
主观能动性 / 意识的能动作用,V3-FW-0255,2026北京西城高三一模 第21题,实践观；矛盾观；发展观；规律客观性与主观能动性；辩证思维；创新思维,A,SUPPORTED_DIRECT_RUBRIC
矛盾就是对立统一,V3-FW-0256,2026北京门头沟高三一模 第16题,发展观点；矛盾对立统一；辩证否定观；联系观点,B,SUPPORTED_DIRECT_RUBRIC
尊重客观规律与发挥主观能动性相结合,V3-FW-0258,2026北京门头沟高三一模 第21题,尊重规律与发挥主观能动性；辩证思维；系统思维,B,SUPPORTED_DIRECT_RUBRIC
尊重客观规律与发挥主观能动性相结合,V3-FW-0260,2026北京顺义高三一模 第21题,尊重客观规律与发挥主观能动性；社会存在与社会意识；实践与认识；矛盾观；整体与部分/系统优化；量变质变；内外因；人民群众；价值判断与价值选择,B,SUPPORTED_DIRECT_RUBRIC
矛盾的普遍性,V3-FW-0265,2026北京朝阳高三（上）期中 第18题,矛盾普遍性 / 对立统一 / 一分为二 / 全面观点,A,SUPPORTED_DIRECT_RUBRIC
一切从实际出发 / 实事求是,V3-FW-0266,2026北京朝阳高三（上）期中 第18题,按规律办事 / 从实际出发 / 矛盾特殊性 / 具体问题具体分析,A,SUPPORTED_DIRECT_RUBRIC
主观能动性 / 意识的能动作用,V3-FW-0267,2026北京朝阳高三（上）期中 第18题,主观能动性 / 意识依赖于物质 / 适度原则 / 实践,A,SUPPORTED_DIRECT_RUBRIC
辩证否定 / 守正创新,V3-FW-0268,2026北京朝阳高三（上）期中 第18题,辩证否定观 / 正确价值观导向 / 价值判断与价值选择,A,SUPPORTED_DIRECT_RUBRIC
矛盾就是对立统一,V3-FW-0269,2026北京朝阳高三（上）期中 第20题,矛盾分析法 / 对立统一 / 全面观点,A,SUPPORTED_DIRECT_RUBRIC
整体与部分 / 系统观念,V3-FW-0270,2026北京朝阳高三（上）期中 第20题,分析与综合 / 整体性思维,A,SUPPORTED_DIRECT_RUBRIC
量变与质变 / 适度原则,V3-FW-0271,2026北京朝阳高三（上）期中 第20题,量变质变 / 发展观点 / 动态性思维,A,SUPPORTED_DIRECT_RUBRIC
矛盾就是对立统一,V3-FW-0272,2026北京海淀高三（上）期末 第16题,对立统一 / 一分为二,A,SUPPORTED_DIRECT_RUBRIC
文化触发补充,V3-FW-0276,2025北京东城高三（上）期末 第16题,文化载体,A,SUPPORTED_DIRECT_RUBRIC
联系的普遍性 / 联系的观点（总）,V3-FW-0277,2025北京东城高三（上）期末 第16题,联系的观点 / 文化连续性,A,SUPPORTED_DIRECT_RUBRIC
主观能动性 / 意识的能动作用,V3-FW-0280,2025北京海淀高三（上）期末 第16题,联系观点 / 发展观点 / 辩证否定 / 主观能动性,B,SUPPORTED_DIRECT_RUBRIC
量变与质变 / 适度原则,V3-FW-0281,2025北京海淀高三（上）期末 第17题（2）,认识反复性 / 实践观点 / 前进性曲折性 / 量变质变,B,SUPPORTED_DIRECT_RUBRIC
发展的观点 / 发展的普遍性,V3-FW-0282,2025北京西城高三（上）期末 第18题,新事物发展 / 认识局限性,B,SUPPORTED_DIRECT_RUBRIC
矛盾的普遍性,V3-FW-0283,2025北京西城高三（上）期末 第18题,对立统一 / 矛盾普遍性,B,SUPPORTED_DIRECT_RUBRIC
价值判断与价值选择,V3-FW-0284,2025北京西城高三（上）期末 第18题,价值观导向 / 价值判断与价值选择,B,SUPPORTED_DIRECT_RUBRIC
整体与部分 / 系统观念,V3-FW-0286,2025北京房山高三一模 第2题,整体与部分 / 系统观念 / 统筹兼顾,C,SUPPORTED_DIRECT_CHOICE_TEXT
矛盾就是对立统一,V3-FW-0287,2025北京房山高三一模 第3题,矛盾就是对立统一 / 矛盾斗争性,C,SUPPORTED_DIRECT_CHOICE_TEXT
矛盾的普遍性和特殊性,V3-FW-0288,2025北京房山高三一模 第4题,矛盾普遍性和特殊性 / 具体问题具体分析,C,SUPPORTED_DIRECT_CHOICE_TEXT
辩证否定 / 守正创新,V3-FW-0289,2025北京房山高三一模 第5题,辩证否定 / 守正创新 / 内容与形式统一,C,SUPPORTED_DIRECT_CHOICE_TEXT
矛盾就是对立统一,V3-FW-0292,2025北京海淀高三一模 第5题,矛盾运动观点 / 动态性思维 / 生态价值转化,C,SUPPORTED_DIRECT_CHOICE_TEXT
整体与部分 / 系统观念,V3-FW-0293,2025北京海淀高三一模 第8题,联系的观点 / 系统观念 / 多主体协同,C,SUPPORTED_DIRECT_CHOICE_TEXT
整体与部分 / 系统观念,V3-FW-0294,2025北京海淀高三一模 第22题,整体与部分 / 系统观念 / 联系观点,A,SUPPORTED_DIRECT_RUBRIC
整体与部分 / 系统观念,V3-FW-0295,2025北京海淀高三一模 第22题,联系的观点 / 整体与部分 / 系统优化,A,SUPPORTED_DIRECT_RUBRIC
一切从实际出发 / 实事求是,V3-FW-0298,2025北京石景山高三一模 第4题,一切从实际出发 / 实事求是；适度原则,C,SUPPORTED_DIRECT_CHOICE_TEXT
社会发展的两大基本规律和基本矛盾,V3-FW-0299,2025北京石景山高三一模 第10题,社会基本矛盾 / 生产关系适应生产力 / 改革,C,SUPPORTED_DIRECT_CHOICE_TEXT
改革 / 改革的实质,V3-FW-0300,2025北京石景山高三一模 第21题,社会基本矛盾 / 改革的实质 / 上层建筑和生产关系调整,A,SUPPORTED_DIRECT_RUBRIC
价值观的导向作用,V3-FW-0301,2025北京石景山高三一模 第21题,党的领导 / 价值导向 / 人民立场,A,SUPPORTED_DIRECT_RUBRIC
真理观,V3-FW-0303,2025北京门头沟高三一模 第6题,认识主体差异性 / 真理标准,C,SUPPORTED_DIRECT_CHOICE_TEXT
主观能动性 / 意识的能动作用,V3-FW-0304,2025北京门头沟高三一模 第7题,实现人生价值 / 主观能动性 / 个人与社会统一,C,SUPPORTED_DIRECT_CHOICE_TEXT
矛盾就是对立统一,V3-FW-0306,2025北京门头沟高三一模 第16题,对立统一 / 矛盾分析法,A,SUPPORTED_DIRECT_RUBRIC
价值判断与价值选择,V3-FW-0307,2025北京门头沟高三一模 第16题,价值判断与价值选择,A,SUPPORTED_DIRECT_RUBRIC
辩证否定 / 守正创新,V3-FW-0308,2025北京门头沟高三一模 第21题（1）,辩证否定 / 发展观点 / 系统观念,A,SUPPORTED_DIRECT_RUBRIC
尊重客观规律与发挥主观能动性相结合,V3-FW-0309,2025北京门头沟高三一模 第21题（1）,尊重客观规律与发挥主观能动性 / 科学思维客观性和预见性,A,SUPPORTED_DIRECT_RUBRIC
价值判断与价值选择,V3-FW-0310,2025北京门头沟高三一模 第21题（2）,主观与客观具体的历史的统一 / 正确价值判断与价值选择,A,SUPPORTED_DIRECT_RUBRIC
主观能动性 / 意识的能动作用,V3-FW-0311,2025北京门头沟高三一模 第21题（2）,主观能动性 / 意识的能动作用 / 创新驱动发展,A,SUPPORTED_DIRECT_RUBRIC
整体与部分 / 系统观念,V3-FW-0312,2025北京门头沟高三一模 第21题（2）,联系观点 / 系统观念,A,SUPPORTED_DIRECT_RUBRIC
人民群众,V3-FW-0313,2025北京门头沟高三一模 第21题（2）,人民群众 / 价值观导向 / 价值判断与价值选择,A,SUPPORTED_DIRECT_RUBRIC
一切从实际出发 / 实事求是,V3-FW-0314,2025北京顺义高三一模 第2题,一切从实际出发 / 具体问题具体分析 / 群众观点,C,SUPPORTED_DIRECT_CHOICE_TEXT
联系的普遍性 / 联系的观点（总）,V3-FW-0315,2025北京顺义高三一模 第3题,联系观点 / 文化交流互鉴 / 共同发展,C,SUPPORTED_DIRECT_CHOICE_TEXT
价值判断与价值选择,V3-FW-0316,2025北京顺义高三一模 第4题,价值判断与价值选择 / 社会生活与技术互动,C,SUPPORTED_DIRECT_CHOICE_TEXT
一切从实际出发 / 实事求是,V3-FW-0317,2025北京顺义高三一模 第12题,一切从实际出发 / 具体问题具体分析 / 实践与认识,C,SUPPORTED_DIRECT_CHOICE_TEXT
发展的观点 / 发展的普遍性,V3-FW-0319,2025北京顺义高三一模 第16题,发展观点 / 发展的普遍性,A,SUPPORTED_DIRECT_RUBRIC
矛盾的特殊性 / 具体问题具体分析,V3-FW-0320,2025北京顺义高三一模 第16题,矛盾特殊性 / 具体问题具体分析,A,SUPPORTED_DIRECT_RUBRIC
价值判断与价值选择,V3-FW-0321,2025北京顺义高三一模 第16题,价值观导向 / 价值判断与价值选择,A,SUPPORTED_DIRECT_RUBRIC
联系的普遍性 / 联系的观点（总）,V3-FW-0322,2025北京顺义高三一模 第16题,联系观点 / 文化与科技融合,A,SUPPORTED_DIRECT_RUBRIC
矛盾就是对立统一,V3-FW-0323,2025北京丰台高三一模 第2题,矛盾就是对立统一,C,SUPPORTED_DIRECT_CHOICE_TEXT
尊重客观规律与发挥主观能动性相结合,V3-FW-0324,2025北京丰台高三一模 第4题,尊重客观规律与发挥主观能动性；联系的客观性,C,SUPPORTED_DIRECT_CHOICE_TEXT
实践是认识的基础,V3-FW-0325,2025北京丰台高三二模 第16题（1）,实践是认识的基础 / 认识反作用于实践 / 知行合一,A,SUPPORTED_DIRECT_RUBRIC
辩证否定 / 守正创新,V3-FW-0326,2025北京丰台高三二模 第16题（1）,联系观点 / 发展观点 / 辩证否定,A,SUPPORTED_DIRECT_RUBRIC
价值判断与价值选择,V3-FW-0327,2025北京丰台高三二模 第16题（1）,价值观的导向作用 / 价值判断与价值选择,A,SUPPORTED_DIRECT_RUBRIC
尊重客观规律与发挥主观能动性相结合,V3-FW-0328,2025北京丰台高三二模 第21题,尊重客观规律与发挥主观能动性,A,SUPPORTED_DIRECT_RUBRIC
矛盾就是对立统一,V3-FW-0329,2025北京丰台高三二模 第21题,发展观点 / 矛盾分析法 / 实践观点,A,SUPPORTED_DIRECT_RUBRIC
矛盾就是对立统一,V3-FW-0332,2026北京丰台高三（上）期末 第16题,矛盾对立统一 / 适度原则 / 量变质变,B,SUPPORTED_DIRECT_RUBRIC
整体与部分 / 系统观念,V3-FW-0333,2026北京丰台高三（上）期末 第16题,联系观点 / 整体与部分 / 系统观念,B,SUPPORTED_DIRECT_RUBRIC
尊重客观规律与发挥主观能动性相结合,V3-FW-0334,2026北京丰台高三（上）期末 第16题,尊重客观规律与发挥主观能动性,B,SUPPORTED_DIRECT_RUBRIC
文化触发补充,V3-FW-0335,2026北京丰台高三（上）期末 第16题,中华优秀传统文化 / 文化自信 / 文化功能,B,SUPPORTED_DIRECT_RUBRIC
主观能动性 / 意识的能动作用,V3-FW-0336,2026北京丰台高三（上）期末 第22题,发展观点 / 规律客观性与主观能动性,B,SUPPORTED_DIRECT_RUBRIC
整体与部分 / 系统观念,V3-FW-0337,2026北京丰台高三（上）期末 第22题,联系观点 / 系统观念 / 人民群众,B,SUPPORTED_DIRECT_RUBRIC
社会发展的两大基本规律和基本矛盾,V3-FW-0338,2026北京丰台高三（上）期末 第22题,上层建筑适应经济基础 / 社会意识的反作用 / 正确认识指导实践,B,SUPPORTED_DIRECT_RUBRIC
整体与部分 / 系统观念,V3-FW-0339,2026北京通州高三（上）期末 第5题,群众观点 / 系统观念 / 辩证思维,C,SUPPORTED_DIRECT_CHOICE_TEXT
矛盾就是对立统一,V3-FW-0341,2026北京通州高三（上）期末 第8题,人为事物联系 / 矛盾对立统一 / 个体与整体,C,SUPPORTED_DIRECT_CHOICE_TEXT
整体与部分 / 系统观念,V3-FW-0342,2026北京通州高三（上）期末 第9题,系统观念 / 联系观点 / 数字化治理,C,SUPPORTED_DIRECT_CHOICE_TEXT
一切从实际出发 / 实事求是,V3-FW-0343,2026北京通州高三（上）期末 第16题,一切从实际出发 / 尊重客观规律与发挥主观能动性,B,SUPPORTED_DIRECT_RUBRIC
整体与部分 / 系统观念,V3-FW-0344,2026北京通州高三（上）期末 第16题,联系观点 / 整体与部分 / 系统观念,B,SUPPORTED_DIRECT_RUBRIC
辩证否定 / 守正创新,V3-FW-0345,2026北京通州高三（上）期末 第16题,发展观点 / 辩证否定 / 守正创新,B,SUPPORTED_DIRECT_RUBRIC
人民群众,V3-FW-0346,2026北京通州高三（上）期末 第16题,人民群众 / 价值观导向 / 中华优秀传统文化,B,SUPPORTED_DIRECT_RUBRIC
社会存在与社会意识,V3-FW-0347,2026北京通州高三（上）期末 第21题,社会意识的反作用 / 正确认识指导实践 / 党的领导,B,SUPPORTED_DIRECT_RUBRIC
价值判断与价值选择,V3-FW-0348,2026北京通州高三（上）期末 第21题,发展观点 / 联系观点 / 价值判断与价值选择 / 人民立场,B,SUPPORTED_DIRECT_RUBRIC
量变与质变 / 适度原则,V3-FW-0349,2026北京通州高三（上）期末 第21题,发展观点 / 系统观念 / 量变质变,B,SUPPORTED_DIRECT_RUBRIC
矛盾的普遍性和特殊性,V3-FW-0371,2024北京东城高三一模 第16题,矛盾普遍性与特殊性 / 文化多样性 / 联系观点,B,SUPPORTED_DIRECT_RUBRIC
价值观的导向作用,V3-FW-0373,2024北京东城高三一模 第16题,价值观导向 / 人民立场 / 文化自信,B,SUPPORTED_DIRECT_RUBRIC
整体与部分 / 系统观念,V3-FW-0374,2024北京东城高三一模 第18题（1）,生产力观点 / 科技创新 / 系统观念,B,SUPPORTED_DIRECT_RUBRIC
社会发展的两大基本规律和基本矛盾,V3-FW-0375,2024北京东城高三一模 第18题（1）,生产关系适应生产力 / 改革 / 上层建筑反作用,B,SUPPORTED_DIRECT_RUBRIC
整体与部分 / 系统观念,V3-FW-0376,2024北京东城高三一模 第21题,联系观点 / 系统观念 / 整体与部分,B,SUPPORTED_DIRECT_RUBRIC
矛盾的特殊性 / 具体问题具体分析,V3-FW-0377,2024北京东城高三一模 第21题,具体问题具体分析 / 主次矛盾 / 优势互补,B,SUPPORTED_DIRECT_RUBRIC
文化触发补充,V3-FW-0382,2024北京朝阳高三一模 第1题,中华优秀传统文化 / 马克思主义中国化时代化 / 文化根基,C,SUPPORTED_DIRECT_CHOICE_TEXT
社会发展的两大基本规律和基本矛盾,V3-FW-0383,2024北京朝阳高三一模 第2题,新质生产力 / 科技创新 / 文化传播,C,SUPPORTED_DIRECT_CHOICE_TEXT
人民群众,V3-FW-0384,2024北京朝阳高三一模 第3题,人生价值 / 人民群众 / 个人与社会统一,C,SUPPORTED_DIRECT_CHOICE_TEXT
整体与部分 / 系统观念,V3-FW-0387,2024北京朝阳高三一模 第9题,系统观念 / 实践观点 / 政治参与,C,SUPPORTED_DIRECT_CHOICE_TEXT
矛盾就是对立统一,V3-FW-0388,2024北京朝阳高三一模 第16题,对立统一 / 关系类设问方法,B,SUPPORTED_DIRECT_RUBRIC
内因与外因,V3-FW-0389,2024北京朝阳高三一模 第16题,内外因 / 矛盾分析法 / 党的建设,B,SUPPORTED_DIRECT_RUBRIC
矛盾的特殊性 / 具体问题具体分析,V3-FW-0392,2024北京朝阳高三一模 第18题（2）,具体问题具体分析 / 问题导向,B,SUPPORTED_DIRECT_RUBRIC
整体与部分 / 系统观念,V3-FW-0393,2024北京朝阳高三一模 第18题（2）,系统观念 / 整体与部分,B,SUPPORTED_DIRECT_RUBRIC
两点论与重点论,V3-FW-0394,2024北京朝阳高三一模 第18题（2）,两点论和重点论统一 / 价值引领,B,SUPPORTED_DIRECT_RUBRIC
主观能动性 / 意识的能动作用,V3-FW-0397,2024北京海淀高三一模 第2题,联系观点 / 主观能动性 / 科技实践,C,SUPPORTED_DIRECT_CHOICE_TEXT
真理观,V3-FW-0398,2024北京海淀高三一模 第3题,实践是检验认识真理性的唯一标准 / 认识具有过程性,C,SUPPORTED_DIRECT_CHOICE_TEXT
文化触发补充,V3-FW-0399,2024北京海淀高三一模 第4题,中华优秀传统文化 / 文化传承连续性 / 天人合一,C,SUPPORTED_DIRECT_CHOICE_TEXT
矛盾的普遍性和特殊性,V3-FW-0400,2024北京海淀高三一模 第5题,矛盾对立统一 / 矛盾普遍性与特殊性,C,SUPPORTED_DIRECT_CHOICE_TEXT
主观能动性 / 意识的能动作用,V3-FW-0401,2024北京海淀高三一模 第16题,实践观点 / 主观能动性 / 发展观点,B,SUPPORTED_DIRECT_RUBRIC
整体与部分 / 系统观念,V3-FW-0402,2024北京海淀高三一模 第16题,联系观点 / 文化传承 / 系统观念,B,SUPPORTED_DIRECT_RUBRIC
主观能动性 / 意识的能动作用,V3-FW-0403,2024北京海淀高三一模 第16题,民族精神 / 文化自信 / 意识能动作用,B,SUPPORTED_DIRECT_RUBRIC
价值观的导向作用,V3-FW-0405,2024北京丰台高三一模 第1题,革命文化 / 长征精神 / 价值观导向,C,SUPPORTED_DIRECT_CHOICE_TEXT
一切从实际出发 / 实事求是,V3-FW-0407,2024北京丰台高三一模 第8题,一切从实际出发 / 联系观点 / 系统观念,C,SUPPORTED_DIRECT_CHOICE_TEXT
真理观,V3-FW-0408,2024北京丰台高三一模 第9题,认识受主客观条件制约 / 真理性认识的条件性,C,SUPPORTED_DIRECT_CHOICE_TEXT
整体与部分 / 系统观念,V3-FW-0410,2024北京丰台高三一模 第18题（1）,联系观点 / 系统观念 / 整体优化,B,SUPPORTED_DIRECT_RUBRIC
社会发展的两大基本规律和基本矛盾,V3-FW-0412,2024北京丰台高三一模 第18题（1）,社会基本矛盾 / 生产关系适应生产力 / 改革,B,SUPPORTED_DIRECT_RUBRIC
联系的普遍性 / 联系的观点（总）,V3-FW-0413,2024北京丰台高三一模 第21题,联系观点 / 文化交流互鉴 / 全人类共同价值,B,SUPPORTED_DIRECT_RUBRIC
一切从实际出发 / 实事求是,V3-FW-0414,2024北京丰台高三一模 第21题,从实际出发 / 社会存在决定社会意识 / 价值判断与价值选择,B,SUPPORTED_DIRECT_RUBRIC
人民群众,V3-FW-0415,2024北京丰台高三一模 第21题,人民群众 / 价值观导向 / 人类命运共同体,B,SUPPORTED_DIRECT_RUBRIC
整体与部分 / 系统观念,V3-FW-0416,2024北京丰台高三一模 第21题,整体与部分 / 系统观念 / 实践路径,B,SUPPORTED_DIRECT_RUBRIC
发展的观点 / 发展的普遍性,V3-FW-0417,2024北京石景山高三一模 第2题,实践具有历史性 / 科技创新推动生产力发展,C,SUPPORTED_DIRECT_CHOICE_TEXT
社会存在与社会意识,V3-FW-0418,2024北京石景山高三一模 第3题,社会意识 / 文化精神 / 价值观导向,C,SUPPORTED_DIRECT_CHOICE_TEXT
