"question_id","来源","完整设问","材料动作","总帽子","小方法","触发逻辑","答案句","证据等级","框架落点","题型标签"
"Q-2024朝阳期中-19-发散与聚合","2024朝阳期中 017试卷::Q19 + 018细则Q19 + 019评标Table 17","结合材料,分析'首发经济'的北京朝外样本的打造是如何体现创新思维的。（8分）","后期得出结论:商圈与首店品牌在双向选择过程中,应充分考虑商圈定位、客群消费水平、品牌能否融入该商圈'生态'等因素,让二者实现价值耦合。先广泛考虑多方因素(发散),再聚焦到价值耦合的最优匹配(聚合)。","创新思维","发散思维与聚合思维（创新思维两翼）","发散思维和聚合思维是创新思维的两翼。发散思维要求从多个方向、多个维度展开思考,广泛搜寻可能性;聚合思维要求把发散得到的多种可能性按照特定标准聚焦、收束,达到最优解。'考虑商圈定位/客群消费水平/品牌融入度等多个因素'是发散动作;'让二者实现价值耦合'是把多元因素聚焦到一个最优匹配的聚合动作。学生看到'多角度铺开+最终收束到一个最优解'就要把它写成发散+聚合两翼,而不能只见'整合'就跳到辩证思维整体性,也不能只挂发散或只挂聚合。","朝外样本在后期总结阶段,通过广泛考虑商圈定位、客群消费水平、品牌融入'生态'等多元因素打开思路(发散),再把这些因素聚焦到'商圈与首店品牌价值耦合'这一最优匹配上(聚合);这种'多角度铺开-收束到最优解'的方式,正是创新思维下发散思维与聚合思维的两翼协同运用。","A-formal","创新思维>发散思维与聚合思维","创新思维-发散+聚合·商圈品牌价值耦合型"
"Q-2026朝阳期中-20-矛盾分析法","2026朝阳期中 003试卷::Q20 + 朝阳期中细则Q20","结合材料,运用辩证思维方法,谈谈应如何面对我国在全面建设社会主义现代化国家新征程上的'机遇'与'挑战'。（8分）","世界百年未有之大变局加速演进,新一轮科技革命和产业变革深入发展,国际力量对比深刻调整,我国发展面临新的战略机遇;同时逆全球化思潮抬头,单边主义、保护主义明显上升,世界经济复苏乏力,局部冲突和动荡频发,全球性问题加剧。机遇与挑战相伴相生、相互转化。","辩证思维","矛盾分析法（机遇与挑战的对立统一·辩证否定观）","机遇与挑战是辩证思维下一对典型矛盾:既相互对立(机遇带来增益、挑战带来风险),又相互依存、相互转化(机遇中蕴藏挑战、挑战中孕育机遇)。矛盾分析法要求一分为二地看两者:在机遇中要洞察到逆全球化等带来的风险,在挑战里挖掘出世界经济复苏期的契机,从而全面把握发展态势。这是辩证思维的根本方法,不能因为'机遇'就只看正面,也不能因为'挑战'就只看负面。学生看到'A与B相伴相生、相互转化'就要直接挂矛盾分析法/辩证否定观。","面对新征程上的'机遇'与'挑战',应坚持矛盾分析法,把两者看作对立统一的矛盾双方:在机遇中洞察到逆全球化思潮抬头、保护主义上升等带来的风险,在挑战里挖掘出世界经济复苏期的发展契机,做到一分为二、全面把握,推动机遇与挑战相互转化,在危机中育新机。","A-formal","辩证思维>矛盾分析法","辩证思维-矛盾分析法·机遇挑战转化型"
"Q-2026朝阳期中-20-分析综合","2026朝阳期中 003试卷::Q20 + 朝阳期中细则Q20","结合材料,运用辩证思维方法,谈谈应如何面对我国在全面建设社会主义现代化国家新征程上的'机遇'与'挑战'。（8分）","新机遇维度:科技革命产业变革深入发展、国际力量对比调整、中华民族伟大复兴接近;新挑战维度:逆全球化思潮、单边主义保护主义、世界经济复苏乏力、局部冲突动荡、全球性问题加剧。要把多元因素分别拆开分析、再综合到'新征程'整体目标上来。","辩证思维","分析与综合（可替换为整体性）","辩证思维下的分析与综合方法要求:先把复杂对象拆解成各个组成要素分别考察(分析),再把已经分析过的各方面综合起来,形成对整体的把握(综合)。本题需要先把'机遇'与'挑战'两类因素中的具体子项分别分析(科技革命/国际力量对比/逆全球化/局部冲突等),再综合考量两类因素之间的关系,从整体上把握建设社会主义现代化国家的发展规律,从而制定科学的整体战略。学生看到'多个子因素+一个整体目标'就要挂分析与综合或整体性,而不要错挂为简单的'矛盾分析法'。","面对'机遇'与'挑战'的复杂局面,要运用分析与综合的方法:先分析促成新机遇的各项因素(科技革命、产业变革、国际力量调整等)与动荡变革期的各项风险(逆全球化、保护主义、局部冲突等),再把这些因素综合考量、统筹把握,从全面建设社会主义现代化国家的整体目标出发,制定科学的整体战略。","A-formal","辩证思维>分析与综合","辩证思维-分析综合·机遇挑战统筹型"
"Q-2026朝阳期中-20-质量互变","2026朝阳期中 003试卷::Q20 + 朝阳期中细则Q20","结合材料,运用辩证思维方法,谈谈应如何面对我国在全面建设社会主义现代化国家新征程上的'机遇'与'挑战'。（8分）","面对机遇要脚踏实地积累,如持续投入科研以实现技术突破的质变;应对挑战要循序渐进化解,如逐步优化产业结构应对外部冲击,实现经济稳健发展。新征程必须准备付出更为艰巨、更为艰苦的努力。","辩证思维","质量互变规律（量变积累与质变突破·渐进性与飞跃性的统一）","质量互变规律要求:量变是质变的前提和必要准备,质变是量变的必然结果;事物的发展既有渐进性的量变积累,也有飞跃性的质变突破,二者相互依赖、相互转化。'持续投入科研→技术突破的质变'、'逐步优化产业→应对外部冲击'都是把'量变积累'和'质变跃迁'当作两个不可割裂的环节来把握。学生看到'脚踏实地+长期积累+在某个节点实现飞跃'就要直接挂质量互变规律,不要错挂为单一的'动态性'或单纯的'整体性'。","面对机遇与挑战,要遵循质量互变规律:在机遇面前脚踏实地做好量变积累(如持续投入科研以实现技术突破的质变),在挑战面前循序渐进化解(如逐步优化产业结构应对外部冲击),做到稳扎稳打、把握渐进性与飞跃性的统一,实现经济稳健发展。","A-formal","辩证思维>质量互变","辩证思维-质量互变·新征程稳扎稳打型"
"Q-2026朝阳期中-20-动态性","2026朝阳期中 003试卷::Q20 + 朝阳期中细则Q20","结合材料,运用辩证思维方法,谈谈应如何面对我国在全面建设社会主义现代化国家新征程上的'机遇'与'挑战'。（8分）","世界百年未有之大变局加速演进,科技革命动态趋势,国际形势深刻调整,世界进入新的动荡变革期。环境处于持续变化中,需要主动应变。","辩证思维","动态性（用变化发展的观点看问题·主动应变）","辩证思维的动态性要求用变化、发展、运动的眼光看待对象,反对静止地、僵化地看待事物;在持续变化的环境中要主动应变,把潜在的发展动力转化为现实优势。'变局加速演进、科技革命深入发展、世界进入新的动荡变革期'描绘的恰是一个高度动态、不断变化的局面;面对这种局面,要顺应科技革命等动态趋势,把潜在的科技机遇转化为现实发展动力,在不确定的国际环境中不断提高国际竞争力。学生看到'变局/动态趋势/不断变化/转化'就要挂动态性,而不要只见'变化'就误挂为'矛盾分析法'。","面对机遇与挑战,要用动态性思维看问题:顺应科技革命、产业变革等动态趋势,把潜在的科技机遇转化为现实的发展动力;在不确定的国际环境中不断提高国际竞争力,主动把握变化、主动应变,推进社会主义现代化建设行稳致远。","A-formal","辩证思维>动态性","辩证思维-动态性·新征程主动应变型"
"Q-2026朝阳期中-21-2-超前思维","2026朝阳期中 003试卷::Q21(2) + 朝阳期中细则Q21(2)","结合材料二,运用《逻辑与思维》知识,说明该市是如何运用创新思维将人文底蕴转化为经济发展优势的。（6分）","该市从传统工业城市向现象级网红旅游目的地的身份跃迁;有计划、有目的地了解本地人文底蕴优势,合理预测人们消费趋势及旅游期待,作出城市发展理念的转变。","创新思维","超前思维（合理预测消费趋势·提前作发展理念转变）","超前思维要求把未来作为思考对象,在事物发展的早期阶段就对未来趋势做研判和提前布局。该市并非等到工业城市衰退才被动转型,而是有计划、有目的地了解本地人文底蕴优势、合理预测消费趋势及旅游期待,主动提前作出'从传统工业城市向网红旅游目的地'的城市发展理念转变。学生看到'合理预测消费趋势→提前作发展理念转变'就要直接挂超前思维,不要错挂为'科学思维客观性'或'辩证思维动态性'。","该市运用超前思维,有计划地预先了解本地人文底蕴优势、合理研判消费趋势和旅游期待,提前作出城市发展理念的根本转变,从传统工业城市跃迁为现象级网红旅游目的地。","A-formal","创新思维>超前思维","创新思维-超前思维·冰雪经济发展理念前置型"
"Q-2026朝阳期中-21-2-联想思维","2026朝阳期中 003试卷::Q21(2) + 朝阳期中细则Q21(2)","结合材料二,运用《逻辑与思维》知识,说明该市是如何运用创新思维将人文底蕴转化为经济发展优势的。（6分）","以冰雪文化为核心,将冰雕艺术从单一观赏升级为沉浸式体验,赋予冰雪以情感温度与文化叙事;通过'历史街区+数字艺术+社群共创'打造复合型文化空间,如中央大街百年面包石路面叠加全息投影、老道外中华巴洛克建筑群植入'非遗工坊+剧本杀'等。","创新思维","联想思维（跨界联结：冰雪+音乐文化叙事、建筑+全息投影、建筑+非遗剧本杀）","联想思维是把已有的认识、经验、意象迁移到新对象上,使两个看似不同的事物之间建立起跨界关联。'冰雪+情感温度与文化叙事'、'百年石路+全息投影'、'巴洛克建筑+非遗工坊+剧本杀'都不是单一类型内部的优化,而是把音乐/数字艺术/非遗这些异质要素跨界联结到冰雪、建筑这些原对象上,形成全新意涵。学生看到'A领域意象/经验跨界迁移到B领域'就要挂联想思维。","该市运用联想思维,跨类型联结冰雪资源与音乐叙事,把冰雕从单一观赏升级为沉浸式体验;把数字艺术、全息投影、非遗工坊等不同领域的形象与经验,迁移到历史街区、巴洛克建筑这些原对象上,形成时空折叠的步行剧场和动态文化场景,激发人们的消费潜力。","A-formal","创新思维>联想思维","创新思维-联想思维·冰雪经济跨界融合型"
"Q-2026朝阳期中-21-2-逆向思维","2026朝阳期中 003试卷::Q21(2) + 朝阳期中细则Q21(2)","结合材料二,运用《逻辑与思维》知识,说明该市是如何运用创新思维将人文底蕴转化为经济发展优势的。（6分）","该市坚持反向求索,逆向思考冷资源的价值,将'冷资源'转化为'热经济';对事物的存在状态作转换性思考,使静态建筑转化为动态文化场景,平整路面形成时空折叠的步行剧场,打造消费新场景。","创新思维","逆向思维（冷→热、静态→动态、消费场景反向重构）","逆向思维要求对事物的存在状态、结构、功能、因果方向作反向思考;'冷资源→热经济'、'静态建筑→动态文化场景'、'平整石路→时空折叠步行剧场'都是把对象的原有属性反向重置,从而创造出原本不存在的新场景。学生看到'冷转热、静转动、单一变多重、原有功能反过来'就要挂逆向思维,而不要因为它带'融合'字样就跳到辩证思维整体性。","该市运用逆向思维,反向思考'冷资源'的价值,把寒冷的冰雪资源转化为火热的旅游经济;对建筑等事物的存在状态作转换性思考,使静态建筑转化为动态文化场景、平整路面变为时空折叠的步行剧场,打造出独具差异化竞争力的消费新场景。","A-formal","创新思维>逆向思维","创新思维-逆向思维·冷热静动转换型"
"Q-2026朝阳期中-21-2-三新","2026朝阳期中 003试卷::Q21(2) + 朝阳期中细则Q21(2)","结合材料二,运用《逻辑与思维》知识,说明该市是如何运用创新思维将人文底蕴转化为经济发展优势的。（6分）","该市不局限于常规方法,突破单一依赖物理景观局限,从单一观赏升级为沉浸式体验,打造复合型文化空间、发展新业态等多个维度进行创新,实现从传统工业城市向网红旅游目的地的跨越性发展。","创新思维","思路新·方法新·结果新（三新）","创新思维的三新特征强调:新思路打破常规、新方法突破单一手段、新结果实现跨越性变化。该市突破'物理景观=景区'的常规思路,采用'文旅地产+艺术展演+社群经济'的复合方法,创造出'传统景区难以复制的差异化竞争力'这一全新结果。学生看到'突破常规思路+采用新方法+取得跨越性结果'就要直接挂三新,而不要把三新降格成普通'创新意识'。三新可作为补充答案与超前/联想/逆向并列得分,但单独写三新+简单分析最多3分,需配合具体子方法。","该市运用创新思维的三新特征:突破单一依赖物理景观的常规思路(思路新),采用'文旅地产+艺术展演+社群经济'的融合方法(方法新),实现从传统工业城市向现象级网红旅游目的地的跨越性发展(结果新),让人文底蕴真正转化为差异化经济竞争力。","A-support","创新思维>思路新方法新结果新（三新）","创新思维-三新·冰雪经济跨越发展型"
"Q-2026朝阳期中-21-2-发散与聚合","2026朝阳期中 003试卷::Q21(2) + 朝阳期中细则Q21(2)","结合材料二,运用《逻辑与思维》知识,说明该市是如何运用创新思维将人文底蕴转化为经济发展优势的。（6分）","突破传统物理景观局限,多角度挖掘文旅经济潜力(冰雪/历史街区/数字艺术/社群经济/老道外巴洛克建筑/中央大街等);在此基础上,将思维聚焦到打造融合模式街区,提升街区差异化竞争力。","创新思维","发散思维与聚合思维（多角度挖掘+聚焦融合模式）","发散思维和聚合思维是创新思维的两翼。该市先发散:多角度挖掘文旅经济潜力,从冰雪、历史街区、数字艺术、社群经济等多个维度铺开;再聚合:把这些维度聚焦到'文旅地产+艺术展演+社群经济'融合模式街区上,形成差异化竞争力。学生看到'先广泛挖掘多种潜力,再聚焦到一个最优融合模式'就要挂发散+聚合,而不能只见'整合'就跳到辩证思维整体性,也不能只挂发散或只挂聚合。","该市综合运用发散思维与聚合思维:先突破传统物理景观局限,多角度挖掘文旅经济潜力,从冰雪、历史街区、数字艺术、社群经济等多维度铺开;再把思维聚焦到'文旅地产+艺术展演+社群经济'融合模式街区上,提升街区差异化竞争力,实现人文底蕴向经济优势的转化。","A-formal","创新思维>发散思维与聚合思维","创新思维-发散+聚合·冰雪经济融合模式型"
