question_id,suite_id,source_locator,原始题号,primary_reasoning_type,secondary_reasoning_type,logical_form,rule_slogan,valid_pattern,invalid_pattern_or_trap,answer_key_or_scoring,evidence_level,same_type_question_ids,blocked_status
S05Q13,S05,012:P4+013,Q13,三段论_违反相同规则,N/A,"两个三段论违反同一逻辑规则（中项不周延/违四格规则/偷换中项等）","中项至少周延一次规则；若两个推理中项均不周延则违反相同规则","正确三段论：中项在大前提或小前提至少出现一次周延","陷阱：①②违中项不周延；③④违中项不周延；需找两组违同一规则的组合",Ans B（①③）或待从014确认；A-formal(013/014),A-formal(013),S01Q19_1;S02Q11;S07Q07,CLEAR
S05Q15,S05,012:P4-P5,Q15,假言推理_真假判断,N/A,"若p则q（赵去北大红楼→李去陈独秀或李大钊故居）；该命题为真；哪项判断必然为假",充分条件假言命题为真的条件：唯有'p真且q假'时整体为假,只有A和C描述与原命题相容的情况；B：赵去北大红楼（p真）但李两个都不去（q假）→整体命题为假→该描述必然为假,混淆假言命题整体为真与各子命题真假；'如果'构成充分条件,'只有'构成必要条件,Ans B；A-formal(013/014),A-formal(013),S03Q19_2;S13Q16_2,CLEAR
S06Q08,S06,015:P3+016,Q8,相容选言推理_判断,N/A,"不相容选言（要么p要么q）为真→相容选言（或者p或者q）必然为真（前者是后者的子集）","相容选言（或者...或者...）：至少一真；不相容选言（要么...要么...）：恰好一真","若p⊕q（不相容），则p|q（相容）必然成立，因为p⊕q→p|q",混淆相容与不相容选言的真值关系：以为"要么p要么q"为真时"或者p或者q"为假,Ans D；A-formal(016),A-formal(016),S02Q15;S14Q09,CLEAR
S07Q07,S07,017:P3+018,Q7,三段论_前提判断,N/A,北京中轴线场景；三段论四格/中项周延判断,中项至少周延一次；不同格对中项的周延要求,正确三段论符合四格规则,中项不周延陷阱,Ans C；A-formal(018),A-formal(018),S01Q19_1;S02Q11;S05Q13,CLEAR
S07Q08,S07,017:P3+018,Q8,假言推理_条件分析,N/A,假言命题中充分vs必要条件分析（调查研究场景）,充分条件：p→q（有p必有q）；必要条件：只有p才q（无p必无q）,题干若构成'如果p则q'→分析是充分还是必要,混淆"如果"(充分)和"只有"(必要),Ans D；A-formal(018),A-formal(018),S03Q19_2;S05Q15,CLEAR
S07Q09,S07,017:P3+018,Q9,归纳推理_共变法,N/A,真空声音传播场景；观察随某变量变化结果如何变化→推断因果关系,共变法：随A变化B也随之变化→A是B的原因（或B是A的结果）,对照实验中真空度变化→声音变化→共变法归纳,混淆共变法与求异法（求异=有无差别；共变=程度同步变化）,Ans B；A-formal(018),A-formal(018),S02Q14;S10Q05,CLEAR
S07Q11,S07,017:P4+018,Q11,逻辑规则_综合,N/A,逻辑规则判断题；矛盾律/同一律/排中律综合应用,三律各自适用场景和违反表现,符合三律的推理表述正确,混淆三律适用场景,Ans C；A-formal(018),A-formal(018),S02Q12;S06Q08;S11Q06,CLEAR
S07Q18,S07,017:P6+018:Q18,Q18,不完全归纳推理+类比推理,N/A,"楚王推理：从单例（朝歌）概括所有→不完全归纳（轻率概括，或然推理）；晏子推理：橘→枳的环境比喻→类比推理（或然但增强说服力）","不完全归纳推理：个别→一般，结论或然，前提数量有限故不必然；类比推理：A与B在P1P2相似→B在P3也可能与A相似","晏子类比推理：环境相似（离开淮南/离开齐国）→行为结果相似，逻辑结构合理，说服力强","楚王陷阱：以个别经验归纳全体→轻率概括（'不完全归纳'失于片面）；类比与归纳方法混淆",8分；楚王=不完全归纳+轻率概括+或然推理（4分）+晏子=类比推理+增强说服力（4分），A-formal(018),A-formal(018),S01Q04;S08Q07,CLEAR
S08Q06,S08,021:P2,Q6,概念关系_属种,N/A,"'商业航天'与'航天'：商业航天外延⊂航天外延→种属关系（商业航天是航天的种，航天是属）","外延大小比较：包含关系=种属关系；交叉关系=部分重叠；矛盾关系=互斥","若A的所有外延都是B的外延→A与B为种属关系","混淆属种(A包含于B)与种属(B包含于A)的上下位关系",Ans A；A-support（文字提取）,A-support,S05Q14;S10Q06,CLEAR
S08Q07,S08,021:P3,Q7,合乎逻辑判断,N/A,四选项判断哪个推理合乎逻辑（排查违反三段论/归纳/逻辑规则的选项）,推理有效性标准：前提真+形式有效→结论必然真（演绎）或可能真（归纳）,合乎逻辑：正确使用推理规则且前提真实,各选项违规陷阱（中项不周延/越级推理/混淆必要与充分等）,Ans C；A-support（文字）,A-support,S02Q12;S07Q11,CLEAR
S10Q05,S10,027:P2,Q5,归纳推理_求异法,N/A,控制变量实验（有阳光室外/无阳光室外/室内三组），有阳光组产生香气分子→差异处为阳光→求异法归纳因果联系,求异法：在多个情境中只有一个情境存在研究因素→比较有无差异→推断该因素为原因,正确：三组实验排除温度/室内外等因素→单独阳光变量产生差异=求异法,混淆求异法与共变法（共变=程度变化；求异=有无对比），Ans A；A-support（文字）,A-support,S02Q14;S07Q09,CLEAR
S10Q06,S10,027:P2,Q6,概念关系_种属,N/A,特别国债与超长期特别国债（超长期是特别国债的一个子类）→种属关系,特别国债外延 > 超长期特别国债外延 → 超长期是种（子类）→为种属关系,Ans B；特别国债包含超长期特别国债=属种关系（从超长期角度是种属），混淆种属与属种（哪个是上位概念）,Ans B；A-support（文字）,A-support,S05Q14;S08Q06,CLEAR
S11Q06,S11,030:P2,Q6,逻辑规则_判断类型,N/A,"特称判断vs全称判断：'我不赞成所有人都有崇高理想'≠'我不赞成任何人有崇高理想'；这是否定全称不等于全称否定","'不是所有P都是Q'=特称否定判断；不等于'所有P都不是Q'（全称否定）","特称否定（有的P不是Q）为真时，全称否定未必真；两种否定形式不等价","误将全称命题的否定理解为另一个全称命题（负全称≠全称否定）",Ans B；A-support（文字）,A-support,S02Q12;S07Q11,CLEAR
S11Q07,S11,030:P2,Q7,创新思维_选择题,N/A,创新思维特征或方法的选择题（朝阳一模场景）,创新思维特征（多向性/跨越性/独特性）或方法（联想/逆向/发散/超前/聚合）,选项选择正确描述的创新思维特征或方法,混淆科学思维与创新思维特征；混淆不同思维方法,Ans C（待031细则确认）；A-support,A-support,S14Q07;S02Q13,BOUNDARY_CHECK
S12Q05,S12,033:P2,Q5,联言推理_矛盾,N/A,联言判断中"p且q"与"非p或非q"的矛盾关系,联言判断的矛盾命题=相对应的选言否定命题,两个联言命题互为矛盾时一真一假，不能同真,混淆联言命题的矛盾与其他逻辑关系,Ans B；A-support（文字）,A-support,S02Q15,CLEAR
S12Q06,S12,033:P2,Q6,判断分析_定义判断,N/A,给定定义→分析某情境是否符合定义→作出判断,判断需符合概念/定义的内涵和外延,正确理解定义的充分和必要条件,断章取义定义/曲解定义内涵,Ans B；A-support（文字）,A-support,,CLEAR
S13Q16_2,S13,037+038:Q16+039,Q16(2),假言推理_充分条件,N/A,"充分条件假言推理（若p则q）；题干：如果看到红嘴蓝鹊（p）→可推断出某结论（q）；后件为真不能确定前件",充分条件命题：p→q成立；有效推理：①肯定p得q②否定q得否p；无效推理：③肯定q反推p（不合法）④否定p得否q（不合法），无效推理：后件为真时不能确定前件是否为真（例：q真不能推出p真）,将充分条件假言推理误用为双向关系（p↔q）→从q推p的谬误,4分；说明充分条件类型2分+具体分析"看到红嘴蓝鹊后件为真无法确定前件"2分；A-formal(038/039),A-formal(038),S03Q19_2;S05Q15;S16Q06,CLEAR
S14Q07,S14,040:P3,Q7,超前思维_选择题,N/A,超前思维漫画题；考查超前思维含义或特征,"超前思维：在掌握规律基础上，对客观事物发展做出超前预测","对应材料中'预测未来''提前规划'等信号",混淆超前思维与科学预见性（超前思维=思维方法；预见性=科学思维特征），Ans B；A-support（文字）,A-support,S06Q17_1;S01Q19_2（科学思维预见性）,CLEAR
S14Q08,S14,040:P3,Q8,形象思维_想象,N/A,想象与形象思维；通过图像/感性材料进行思维处理,形象思维与抽象思维的区别：形象=直接材料/图像；抽象=概念/判断/推理,形象思维正确描述选项,混淆形象思维与其他思维方式,Ans D；A-support（文字）,A-support,,BOUNDARY_CHECK
S14Q09,S14,040:P3,Q9,选言推理_充分条件,N/A,"选言推理保真：在'或者p或者q'中若已知p为真则可推出q的可能情况；另考查'如果p则q'的充分条件推理","选言推理中：不相容选言（要么p要么q）；相容选言（或p或q）；二者保真条件不同","'赵同学主动联系→有收获'结构为充分条件假言推理且肯定前件→结论成立","混淆两种选言推理的保真条件",Ans D；A-support（文字）,A-support,S06Q08;S02Q15,CLEAR
S14Q10,S14,040:P3-P4,Q10,类比推理,归纳推理,类比推理结论或然性；归纳推理个别→一般,类比/归纳推理结论都是或然性（与演绎相对），类比结论可信度取决于前提与结论之间的相似度和相关性，混淆类比与演绎（类比不必然），Ans B；A-support（文字）,A-support,S01Q04;S07Q18,CLEAR
S16Q06,S16,044:P2-P3+045,Q6,假言推理_必要条件,N/A,"假言推理：若'只有纯净无辐射独居石才有绿色提取前景'（必要条件），加上'乌毛蕨形成的镧独居石是纯净无辐射的'→结论成立（哪个前提使结论必然成立）","必要条件：只有p才q（等价于¬p→¬q）；有效式：否定p得否q；肯定q不能确定p","需选项使'有绿色提取前景→必须纯净无辐射'成为充分条件或必要条件的哪种→分析得Ans B","混淆题干中不同选项对应的条件类型（充分vs必要vs充分必要）",Ans B；A-formal（045细则解析）,A-formal(045),S03Q19_2;S13Q16_2,CLEAR
S16Q07,S16,044:P3,Q7,复合推理_真假判断,N/A,"四位老师预测（联言+假言命题），仅一人符合事实→逐一测试哪个选项必然不可能为真","联言命题：p∧q（两者均真）；假言命题：p→q；矛盾判断：p与¬p不能同真","通过'仅一人正确'约束，测试每个选项和四位预测的相容性","混淆不同命题形式真假组合；忽视'仅一人符合'的约束力",Ans C；A-formal（045细则解析）,A-formal(045),S06Q08;S02Q15,CLEAR
S16Q17_2,S16,044:P7+045,Q17(2),形式逻辑综合_边界,N/A,"三项主张的形式逻辑论证：主张1(矛盾律/辩证否定区别)；主张2(假言推理充分/必要分析)；主张3(不完全归纳/三段论错误)","形式逻辑分析：主张是否违反矛盾律；假言命题是充分还是必要条件；归纳推理结论的或然性","主张1：判断是否违矛盾律（两个矛盾语句）；主张2：识别充分vs必要条件；主张3：个别推全体的归纳错误","思维部分陷阱：将辩证否定(思维部分)与矛盾律(推理部分)混淆；将辩证发展观引入形式逻辑分析",HS05；C-boundary（设问明确'形式逻辑知识'）；6分；未完整读取045细则,A-formal(045 partial),S03Q19_2;S05Q15;S07Q18,BOUNDARY_CHECK(C-boundary)
S17Q07,S17,046:P2-P3+051:S13-14,Q7,复合推理_选言+假言链,N/A,"三实验：实验一=假言或选言（A←-B）；实验二=选言（-B∪-C）；实验三=假言（-C→-B）→链式推理→结论","假言传递：-C→-B；选言约束：-B∪-C；合取推理：从多条件同时成立推出单结论","从-B∪-C和-C→-B推出：无论C真假，-B必然成立→回代实验一A←-B→A为真","复杂推理链中忘记检查每个分支（枚举C真和C假两种情况）",Ans D（逃逸粒子是太阳风带电粒子）；A-formal（051逻辑过程展示）,A-formal(051),S06Q08;S14Q09;S16Q07,CLEAR
