question_id,suite_id,source_locator,原始题号,题型,部分归属,题干完整性,选项完整性,答案/细则配对状态,视觉核读状态,blocked_status,blocked_reason,excerpt
S02Q15,S02,003:P5,Q15,选择题,推理部分_联言,完整,完整,A-formal(004),OK,CLEAR,,联言判断否定（矛盾律场景）；Ans D
S02Q20,S02,003:P7+004:Q20,Q20,主观题_思维,思维部分_辩证思维,完整,N/A,A-formal(004:细则),OK,CLEAR,,辩证思维方法；8分；矛盾分析法+整体性+质量互变+动态性（每种可替换）
S02Q21_2,S02,003:P8+004:Q21,Q21(2),主观题_思维,思维部分_创新思维,完整,N/A,A-formal(004:细则),OK,CLEAR,,HS03；创新思维方法；6分；超前+联想+逆向OR转换性思考+发散聚合；答3种满6分
S03Q09,S03,006:P3,Q9,选择题,思维部分_创新思维_发散,完整,完整,A-support(007:choice确认),OK,CLEAR,,发散思维漫画题；Ans D；"发散思维特点"
S03Q11,S03,006:P3-P4+007:Q11,Q11,选择题,思维部分_思维抽象,完整,完整,A-formal(007:细则),OK,CLEAR,,HS04；感性具体→思维抽象→思维具体；Ans C；A陷认识论B陷推理口令D陷推理
S03Q19_2,S03,006:P8+007:Q19,Q19(2),主观题_推理,推理部分_假言推理,完整,N/A,A-formal(007:细则),OK,CLEAR,,充分条件假言推理+必要条件假言推理；6分；推理①正确(肯定前件)+推理②错误(必要条件仅肯前件)；各3分(正误1+规则1+材料1)
S04Q12,S04,008:SCAN+011:P1-2,Q12,选择题,推理部分,PENDING_VISUAL,PENDING_VISUAL,B-choice-signal(推测),VISUAL_PENDING,LOCKED_PENDING_VISUAL,008扫描版题干无法提取，需renders读取,2025海淀二模推理choice；从011讲评可知Q12-13为选必三choice 6分
S04Q13,S04,008:SCAN+011:P1-2,Q13,选择题,推理部分,PENDING_VISUAL,PENDING_VISUAL,B-choice-signal(推测),VISUAL_PENDING,LOCKED_PENDING_VISUAL,008扫描版题干无法提取，需renders读取,2025海淀二模推理choice；从011讲评可知Q12-13为选必三choice 6分
S04Q20,S04,008:SCAN+009+010,Q20,主观题_思维,思维部分_辩证思维,PENDING_VISUAL,N/A,A-formal(009+010:评标实录),VISUAL_PENDING,LOCKED_PENDING_VISUAL,HS02；008扫描版题干需从renders视觉读取后才能使用,辩证思维；6分；分析与综合+整体性+动态性+辩证否定（评标实录确认）
S05Q13,S05,012:P4+013:P?+014:?,Q13,选择题,推理部分_三段论,完整,完整,A-formal(013/014 讲评细则有解析),OK,CLEAR,,三段论违反相同逻辑规则；题干涉及"祥云AS700"/歼20手表等；答案待从014读取确认
S05Q14,S05,012:P4,Q14,选择题,推理部分_概念,完整,完整,A-formal(013/014),OK,CLEAR,,"北京中轴线"概念关系（属种/种属/一致）；Ans C（与中华文明特殊见证在外延上一致）
S05Q15,S05,012:P4-P5,Q15,选择题,推理部分_假言推理,完整,完整,A-formal(013/014),OK,CLEAR,,假言推理真假判断（赵同学参观北大红楼→李同学去陈独秀旧居或李大钊故居）；Ans B（必然为假：虽然赵去但李都不去）
S05Q18_2,S05,012:P6+013:S9-10,Q18(2),主观题_思维,思维部分_创新思维,完整,N/A,A-formal(013:讲评细则),OK,CLEAR,,登月服设计如何体现创新思维；3分；聚合+发散/联想/超前（创新思维特点1分+两具体方法各2分=满3分）
S06Q02,S06,015:P1,Q2,选择题,边界_思维/哲学,完整,完整,B-choice-signal,OK,BOUNDARY_CHECK,,大美中轴巴士题；②涉及"联想思维"③涉及"辩证思维整体性"；Ans C(②③)；需确认是否含选必三知识点还是必修四哲学
S06Q08,S06,015:P3,Q8,选择题,推理部分_判断,完整,完整,A-formal(016:细则),OK,CLEAR,,逻辑与思维判断；Ans D(如果"要么P要么Q"为真，那么"或者P或者Q"也为真)；相容选言判断关系
S06Q17_1,S06,015:P6+016:S14-15,Q17(1),主观题_思维,思维部分_科学思维,完整,N/A,A-formal(016:细则),OK,CLEAR,,运用科学思维知识分析永动机设计问题；4分；科学思维客观性/可检验性(2分)+规律(1分)+材料分析(1分)
S06Q18,S06,015:P6+016:S23-24,Q18,主观题_思维,思维部分_创新思维,完整,N/A,A-formal(016:细则),OK,CLEAR,,北京城市图书馆如何运用创新思维建设新型公共文化空间；7分；逆向思维(书找人)+联想思维(赤印意象迁移)
S07Q07,S07,017:P3,Q7,选择题,推理部分_三段论,完整,完整,A-formal(018:细则),OK,CLEAR,,三段论推理（北京中轴线场景）；Ans C
S07Q08,S07,017:P3,Q8,选择题,推理部分_假言,完整,完整,A-formal(018:细则),OK,CLEAR,,假言推理条件分析（调查研究场景）；Ans D
S07Q09,S07,017:P3,Q9,选择题,推理部分_归纳,完整,完整,A-formal(018:细则),OK,CLEAR,,共变法归纳（真空中声音传播场景）；Ans B
S07Q11,S07,017:P4,Q11,选择题,推理部分_逻辑规则,完整,完整,A-formal(018:细则),OK,CLEAR,,逻辑规则判断；Ans C
S07Q18,S07,017:P6+018:Q18,Q18,主观题_推理,推理部分_归纳+类比,完整,N/A,A-formal(018:细则),OK,CLEAR,,楚王晏子推理评析；8分；楚王=不完全归纳推理(轻率概括)+晏子=类比推理(增强说服力)
S07Q19,S07,017:P7+018:Q19,Q19,主观题_思维,思维部分_创新思维,完整,N/A,A-formal(018:细则),OK,CLEAR,,首发经济朝外创新思维；8分；超前(业态)+逆向(品牌引进/零售模式)+联想(策展型零售)+发散聚合(价值耦合)；各2分
S08Q06,S08,021:P2,Q6,选择题,推理部分_概念,完整,完整,A-support(021文字提取),OK,CLEAR,,商业航天/航天属种关系；Ans A(①②正确)
S08Q07,S08,021:P3,Q7,选择题,推理部分_合乎逻辑,完整,完整,A-support(021文字提取),OK,CLEAR,,合乎逻辑判断；Ans C（"只有既弄清对象性质，又了解对象之间的关系，才能对对象有较为全面认识"）
S09_ALL,S09,024-026,PENDING,PENDING,PENDING,PENDING,PENDING,missing,PENDING,PENDING_READ,全套未读取,2024西城一模全套待读取；可能含选必三推理/思维题
S10Q05,S10,027:P2,Q5,选择题,推理部分_归纳,完整,完整,A-support(027文字),OK,CLEAR,,研究者探求因果联系方法；求异法；Ans A（有阳光室外/无阳光室外/室内三组对照=求异法）
S10Q06,S10,027:P2,Q6,选择题,推理部分_概念,完整,完整,A-support(027文字),OK,CLEAR,,概念外延关系（国债分类）；Ans B（特别国债与超长期特别国债为种属关系）
S11Q06,S11,030:P2,Q6,选择题,推理部分_逻辑规则,完整,完整,A-support(030文字),OK,CLEAR,,逻辑规则（"我不赞成所有人都有崇高理想，也不赞成所有人都没有崇高理想"=特称判断）；Ans B
S11Q07,S11,030:P2,Q7,选择题,思维部分_创新思维,完整,完整,A-support(030文字),OK,CLEAR,,创新思维场景；Ans C；需从031细则确认
S11_MAIN,S11,030+031+032,主观题,主观题_创新思维,思维部分_创新思维,PENDING,N/A,A-formal(031/032细则未读),PENDING,PENDING_READ,031/032细则未完整读取,2024朝阳一模主观题；031/032需完整读取确认思维题得分细则
S12Q05,S12,033:P2,Q5,选择题,推理部分_联言,完整,完整,A-support(033文字),OK,CLEAR,,联言判断矛盾关系；Ans B
S12Q06,S12,033:P2,Q6,选择题,推理部分_判断,完整,完整,A-support(033文字),OK,CLEAR,,判断分析；Ans B
S12Q07,S12,033:P2,Q7,选择题,推理部分_三段论,完整,完整,A-support(033文字),OK,CLEAR,,三段论分析；Ans 待确认(034/036细则未读)
S12_MAIN,S12,033+034+036,主观题,PENDING,PENDING,PENDING,N/A,A-formal(034/036未读),PENDING,PENDING_READ,034/036细则未读,2025顺义一模主观题；034/036需读取
S13Q16_2,S13,037+038:Q16,Q16(2),主观题_推理,推理部分_假言推理,完整,N/A,A-formal(038:细则),OK,CLEAR,,充分条件假言推理；4分；"看到了红嘴蓝鹊，后件为真，无法确定前件真假"
S13Q16_3,S13,037+038:Q16,Q16(3),主观题_思维,思维部分_创新思维,PARTIAL,N/A,A-support(038:部分细则),OK,PARTIAL_READ,038细则中创新思维条目不完整,037试卷Q16(3)题干需回源；038细则提及创新思维改变联系
S14Q07,S14,040:P3,Q7,选择题,思维部分_超前思维,完整,完整,A-support(040文字),OK,CLEAR,,超前思维漫画题；Ans B
S14Q08,S14,040:P3,Q8,选择题,思维部分_形象思维,完整,完整,A-support(040文字),OK,CLEAR,,想象/形象思维；Ans D；选必三模块内（形象与抽象）
S14Q09,S14,040:P3,Q9,选择题,推理部分_选言,完整,完整,A-support(040文字),OK,CLEAR,,选言推理保真判断；Ans D（"赵同学主动联系→有收获"充分条件结构正确）
S14Q10,S14,040:P3-P4,Q10,选择题,推理部分_类比/归纳,完整,完整,A-support(040文字),OK,CLEAR,,类比推理/归纳推理；Ans B
S15_ALL,S15,042-043,PENDING,PENDING,PENDING,PENDING,PENDING,missing,SCAN_PENDING,SCAN_BLOCKED,042扫描版需视觉读取，2026丰台一模全套题干待确认；042扫描版；043细则仅见哲学/政治
S16Q06,S16,044:P2-P3+045:S?，Q6,选择题,推理部分_假言/三段论,完整,完整,A-formal(045:choice解析),OK,CLEAR,,独居石三段论/假言推理（"只有纯净无辐射的独居石才有绿色提取前景"→结论成立需哪个前提）；Ans B
S16Q07,S16,044:P3,Q7,选择题,推理部分_复合推理,完整,完整,A-formal(045:choice解析),OK,CLEAR,,四位老师预测/仅一人符合事实→哪项不可能为真；Ans C；复杂真假推理
S16Q08,S16,044:P3+045:S?,Q8,选择题,推理部分_矩阵推理,完整,完整,A-formal(045:choice解析),OK,PARTIAL_READ,045细则仅读前100行，Q8答案未确认,四位判断矩阵分析（真假推理①②③④）；Ans 待从045完整读取确认
S16Q17_2,S16,044:P7+045:全文,Q17(2),主观题_推理,推理部分_形式逻辑综合,完整,N/A,A-formal(045:细则存在但未完整读取),PARTIAL_READ,BOUNDARY_CHECK(C-boundary),HS05；设问"运用形式逻辑知识"确认边界；三项主张分析（矛盾律/假言/归纳）
S17Q06,S17,046:P2,Q6,选择题,边界_辩证思维/推理,完整,完整,A-support(046文字),OK,BOUNDARY_CHECK,,"画马"题；选项A"辩证否定"D"换质位"；辩证否定=思维部分；换质位=推理部分；需确认答案和模块
S17Q07,S17,046:P2-P3+051:S13-14,Q7,选择题,推理部分_复合推理,完整,完整,A-formal(051:逻辑过程展示),OK,CLEAR,,逃逸粒子选言/假言推理链；Ans D(太阳风带电粒子)；逻辑证明见051
S17Q19_4,S17,046:P8+055:全文,Q19(4),主观题_思维,思维部分_系统+创新思维,完整,N/A,A-formal(055:细则),OK,CLEAR,,中关村如何"把'1'拉长、推进"；5分；系统观念知识1分+创新思维知识1分+分析2+1分
