source_id,suite,source_role,path,text_path,render_dir,extraction_status,visual_or_ocr_need,notes
031,2024朝阳一模,rubric_pptx,/Users/wanglifei/Desktop/2024模拟题/2024朝阳一模/细则/细则.pptx,text/031_Desktop_2024模拟题_2024朝阳一模_细则_细则.pptx.txt,,text_read,PARTIAL,char=11895；部分读取(Q1-Q4 answers)；需要全文读取获取创新思维主观题细则
032,2024朝阳一模,lecture_pptx,/Users/wanglifei/Desktop/2024模拟题/2024朝阳一模/其他材料/202404朝阳高三政治一模试卷讲评.pptx,text/032_Desktop_2024模拟题_2024朝阳一模_其他材料_202404朝阳高三政治一模试卷讲评.pptx.txt,,text_extracted_unread,PARTIAL,char=11895（与031完全相同字数—可能为同一内容）；未读全文
033,2025顺义一模,paper,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025顺义一模/试卷/试卷.pdf,text/033_Desktop_2025模拟题_2025各区一模_2025顺义一模_试卷_试卷.pdf.txt,renders/033_Desktop_2025模拟题_2025各区一模_2025顺义一模_试卷_试卷.pdf,text_read,NO,char=19324；Q5联言Q6判断Q7三段论choice；主观题设问读取中（大文件）
034,2025顺义一模,rubric_docx,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025顺义一模/细则/细则.docx,text/034_Desktop_2025模拟题_2025各区一模_2025顺义一模_细则_细则.docx.txt,,text_extracted_unread,NO,char=3840；与036 char相同—可能相同内容
035,2025顺义一模,paper_teacher_version,/Users/wanglifei/GaokaoPolitics/2025各区模拟题/2025各区一模/2025顺义一模/2025北京顺义高三一模政治（教师版）.pdf,text/035_GaokaoPolitics_2025各区模拟题_2025各区一模_2025顺义一模_2025北京顺义高三一模政治_教师版_.pdf.txt,renders/035_GaokaoPolitics_2025各区模拟题_2025各区一模_2025顺义一模_2025北京顺义高三一模政治_教师版_.pdf,text_extracted_unread,NO,char=19324（与033完全相同）—镜像文件；教师版含答案
036,2025顺义一模,rubric_docx_mirror,/Users/wanglifei/GaokaoPolitics/2025各区模拟题/2025各区一模/2025顺义一模/顺义区2025届高三第一次模拟考试参考答案—评分细则.docx,text/036_GaokaoPolitics_2025各区模拟题_2025各区一模_2025顺义一模_顺义区2025届高三第一次模拟考试参考答案_评分细则.docx.txt,,text_extracted_unread,NO,char=3840（与034相同）—镜像文件
037,2025西城二模,paper,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025西城二模/试卷/试卷.pdf,text/037_Desktop_2025模拟题_2025各区二模_2025西城二模_试卷_试卷.pdf.txt,renders/037_Desktop_2025模拟题_2025各区二模_2025西城二模_试卷_试卷.pdf,text_extracted_unread,NO,char=9869；未读取；Q16(2)(3)题干仍需回源确认
038,2025西城二模,rubric_docx,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025西城二模/细则/细则.docx,text/038_Desktop_2025模拟题_2025各区二模_2025西城二模_细则_细则.docx.txt,,text_read,NO,char=4309；Q16(2)充分条件假言推理4分A-formal；Q16(3)创新思维提及联系改变
039,2025西城二模,rubric_docx_finalized,/Users/wanglifei/GaokaoPolitics/2025各区模拟题/2025各区二模/2025西城二模/讨论定稿-答案细则 -25.5西城高三政治二模-1.docx,text/039_GaokaoPolitics_2025各区模拟题_2025各区二模_2025西城二模_讨论定稿-答案细则_-25.5西城高三政治二模-1.docx.txt,,text_extracted_unread,NO,char=4309（与038相同）—讨论定稿版本；理论上为最终版A-formal
040,2025丰台期末,paper,/Users/wanglifei/Desktop/2025模拟题/2025各区期末/2025丰台期末/试卷/试卷.pdf,text/040_Desktop_2025模拟题_2025各区期末_2025丰台期末_试卷_试卷.pdf.txt,renders/040_Desktop_2025模拟题_2025各区期末_2025丰台期末_试卷_试卷.pdf,text_read,NO,char=17981；Q7超前思维Q8想象形象思维Q9选言推理Q10类比推理4道choice；无选必三思维主观题
041,2025丰台期末,rubric_pptx,/Users/wanglifei/Desktop/2025模拟题/2025各区期末/2025丰台期末/细则/细则.pptx,text/041_Desktop_2025模拟题_2025各区期末_2025丰台期末_细则_细则.pptx.txt,,text_read,PARTIAL,char=10978；细则含哲学Q16和政治Q17；未见选必三思维主观题细则
042,2026丰台一模,paper,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026丰台一模/试卷/试卷.pdf,text/042_Desktop_2026模拟题_2026各区一模_2026丰台一模_试卷_试卷.pdf.txt,renders/042_Desktop_2026模拟题_2026各区一模_2026丰台一模_试卷_试卷.pdf,scan_blocked,YES,char=210（扫描版）；题干无法从文字提取；renders已存在但需视觉读取才能确认choice和主观题
043,2026丰台一模,rubric_pptx,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026丰台一模/细则/细则.pptx,text/043_Desktop_2026模拟题_2026各区一模_2026丰台一模_细则_细则.pptx.txt,,text_read,PARTIAL,char=9386；已读前100行；显示哲学/政治主观题；未见选必三思维主观题细则
044,2026东城期末,paper,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026东城期末/试卷/试卷.pdf,text/044_Desktop_2026模拟题_2026各区期末和期中_2026东城期末_试卷_试卷.pdf.txt,renders/044_Desktop_2026模拟题_2026各区期末和期中_2026东城期末_试卷_试卷.pdf,text_read,NO,char=8076；Q6独居石假言推理Q7四位老师逻辑预测Q8矩阵推理choice；Q17(2)形式逻辑主观题(HS05 C-boundary)
045,2026东城期末,rubric_pptx,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026东城期末/细则/细则.pptx,text/045_Desktop_2026模拟题_2026各区期末和期中_2026东城期末_细则_细则.pptx.txt,,text_read,PARTIAL,char=18946；已读前100行；Q6-Q8 choice解析A-formal；Q17(2)形式逻辑三项主张论证细则存在（需完整读取）
046,2026东城一模,paper,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026东城一模/试卷/试卷.pdf,text/046_Desktop_2026模拟题_2026各区一模_2026东城一模_试卷_试卷.pdf.txt,renders/046_Desktop_2026模拟题_2026各区一模_2026东城一模_试卷_试卷.pdf,text_read,NO,char=8372；Q6辩证否定/换质位Q7选言/假言推理(逃逸粒子Ans D)choice；Q19多小问+Q20主观题
047,2026东城一模,scan_paper_backup,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026东城一模/试卷/补充材料/2026东城一模 原卷扫描版.pdf,text/047_Desktop_2026模拟题_2026各区一模_2026东城一模_试卷_补充材料_2026东城一模_原卷扫描版.pdf.txt,renders/047_Desktop_2026模拟题_2026各区一模_2026东城一模_试卷_补充材料_2026东城一模_原卷扫描版.pdf,scan_blocked,YES,char=210（扫描原卷备份）；046已有文字版本故优先级低
048,2026东城一模,rubric_pdf_thin,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026东城一模/细则/细则.pdf,text/048_Desktop_2026模拟题_2026各区一模_2026东城一模_细则_细则.pdf.txt,renders/048_Desktop_2026模拟题_2026各区一模_2026东城一模_细则_细则.pdf,thin_text,YES,char=342（极薄）；封面页或概要页；实际细则在049-056分题PPTX中
049,2026东城一模,rubric_sub_q16,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026东城一模/细则/分题细则/东城一模评标细则（勿传）/16.pptx,text/049_Desktop_2026模拟题_2026各区一模_2026东城一模_细则_分题细则_东城一模评标细则_勿传__16.pptx.txt,,text_read,NO,char=1485；Q16哲学与文化题(7分)；非逻辑与思维
050,2026东城一模,rubric_sub_q17,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026东城一模/细则/分题细则/东城一模评标细则（勿传）/17.pptx,text/050_Desktop_2026模拟题_2026各区一模_2026东城一模_细则_分题细则_东城一模评标细则_勿传__17.pptx.txt,,text_read,NO,char=1333；Q17政治与法治(8分)；非逻辑与思维
051,2026东城一模,rubric_sub_q18_and_choice,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026东城一模/细则/分题细则/东城一模评标细则（勿传）/18+选择7、13.pptx,text/051_Desktop_2026模拟题_2026各区一模_2026东城一模_细则_分题细则_东城一模评标细则_勿传__18_选择7_13.pptx.txt,,text_read,NO,char=1480；含Q7推理解析(逃逸粒子→Ans D太阳风带电粒子)逻辑过程展示；Q18法律；Q13货币政策
052,2026东城一模,rubric_sub_q19_1,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026东城一模/细则/分题细则/东城一模评标细则（勿传）/19（1）.pptx,text/052_Desktop_2026模拟题_2026各区一模_2026东城一模_细则_分题细则_东城一模评标细则_勿传__19_1_.pptx.txt,,thin_text,YES,char=202（极薄）；Q19(1)细则疑为图片嵌入；需视觉渲染读取
053,2026东城一模,rubric_sub_q19_2,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026东城一模/细则/分题细则/东城一模评标细则（勿传）/19（2）.pptx,text/053_Desktop_2026模拟题_2026各区一模_2026东城一模_细则_分题细则_东城一模评标细则_勿传__19_2_.pptx.txt,,text_read,NO,char=1458；Q19(2)经济与社会(8分)；非逻辑与思维
054,2026东城一模,rubric_sub_q19_3,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026东城一模/细则/分题细则/东城一模评标细则（勿传）/19（3）.pptx,text/054_Desktop_2026模拟题_2026各区一模_2026东城一模_细则_分题细则_东城一模评标细则_勿传__19_3_.pptx.txt,,text_extracted_unread,NO,char=1244；Q19(3)未读；需确认是否含逻辑与思维
055,2026东城一模,rubric_sub_q19_4,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026东城一模/细则/分题细则/东城一模评标细则（勿传）/19（4）.pptx,text/055_Desktop_2026模拟题_2026各区一模_2026东城一模_细则_分题细则_东城一模评标细则_勿传__19_4_.pptx.txt,,text_read,NO,char=1208；Q19(4)系统观念+创新思维(5分)A-formal：系统观念知识1分+创新思维知识1分+分析2分+分析1分
056,2026东城一模,rubric_sub_q20,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026东城一模/细则/分题细则/东城一模评标细则（勿传）/20.pptx,text/056_Desktop_2026模拟题_2026各区一模_2026东城一模_细则_分题细则_东城一模评标细则_勿传__20.pptx.txt,,text_read,NO,char=506；Q20综合(8分)哲学题（深化对生态文明规律性认识）；非逻辑与思维
