source_id,year,district,stage,file_type,source_type,evidence_type,thinking_candidate,reasoning_candidate,boundary_exclusion,return_to_source,ocr_render_needed,canonical_path,notes
P_2024_FT_ERM,2024,丰台,二模,pdf,paper,A-formal,YES,YES,NO,YES,NO,/Users/wanglifei/Desktop/2024模拟题/丰台二模/试卷/试卷.pdf,Q18(2)思维部分候选（超前思维边界评析）；待回源
R_2024_FT_ERM,2024,丰台,二模,docx,rubric,A-formal,YES,NO,NO,YES,NO,/Users/wanglifei/Desktop/2024模拟题/丰台二模/细则/细则.docx,细则docx
P_2024_CY_YIM,2024,朝阳,一模,pdf,paper,pending,PENDING,YES,NO,YES,NO,/Users/wanglifei/Desktop/2024模拟题/2024朝阳一模/试卷/试卷.pdf,旧框架未明确列出此套；待回源确认是否含选必三题
R_2024_CY_YIM,2024,朝阳,一模,pptx+docx,rubric,A-formal,PENDING,NO,NO,YES,YES,/Users/wanglifei/Desktop/2024模拟题/2024朝阳一模/细则/细则.pptx + 补充材料/细则.docx + 讲评pptx,有细则pptx+讲评pptx；需渲染
P_2024_CY_ERM,2024,朝阳,二模,pdf,paper,A-formal,YES,YES,NO,YES,NO,/Users/wanglifei/Desktop/2024模拟题/2024朝阳二模/试卷/试卷.pdf,Q19(1)思维部分候选（辩证思维动态性）；待回源
R_2024_CY_ERM,2024,朝阳,二模,pdf+docx,rubric,A-formal,YES,NO,NO,YES,NO,/Users/wanglifei/Desktop/2024模拟题/2024朝阳二模/细则/细则.pdf + 补充材料/细则.docx,细则PDF+docx
P_2024_CY_QZ,2024,朝阳,期中,pdf,paper,A-formal,YES,YES,NO,YES,NO,/Users/wanglifei/Desktop/2024模拟题/2024朝阳期中/试卷/试卷.pdf,Q19思维部分候选（创新思维复合）；待回源
R_2024_CY_QZ,2024,朝阳,期中,docx,rubric,A-formal,YES,NO,NO,YES,NO,/Users/wanglifei/Desktop/2024模拟题/2024朝阳期中/细则/细则.docx + 评标2.docx,评标docx；A-formal候选
P_2024_HD_YIM,2024,海淀,一模,pdf,paper,A-formal,YES,YES,NO,YES,NO,/Users/wanglifei/Desktop/2024模拟题/2024海淀一模/试卷/试卷.pdf,Q17(2)思维部分候选（分析与综合）；待回源
R_2024_HD_YIM,2024,海淀,一模,docx,rubric,A-formal,YES,NO,NO,YES,NO,/Users/wanglifei/Desktop/2024模拟题/2024海淀一模/细则/细则.docx,细则docx
P_2024_HD_ERM,2024,海淀,二模,pdf,paper,A-formal,YES,YES,NO,YES,NO,/Users/wanglifei/Desktop/2024模拟题/海淀二模/试卷/试卷.pdf,Q17(1)思维部分候选（科学思维+创新思维）；待回源
R_2024_HD_ERM,2024,海淀,二模,docx,rubric,A-formal,YES,NO,NO,YES,NO,/Users/wanglifei/Desktop/2024模拟题/海淀二模/细则/细则.docx,细则docx
P_2024_HD_QZ,2024,海淀,期中,pdf,paper,pending,PENDING,YES,NO,YES,NO,/Users/wanglifei/Desktop/2024模拟题/2024海淀期中/试卷/试卷.pdf,旧框架未明确列出；待回源确认
R_2024_HD_QZ,2024,海淀,期中,pdf,rubric,pending,PENDING,NO,NO,YES,NO,/Users/wanglifei/Desktop/2024模拟题/2024海淀期中/细则/细则.pdf,细则PDF
P_2024_SJS_YIM,2024,石景山,一模,docx,paper,A-support,YES,YES,NO,YES,NO,/Users/wanglifei/Desktop/2024模拟题/石景山一模/试卷/试卷.docx,Q19(3)思维部分候选（分析与综合+辩证否定）；待回源
R_2024_SJS_YIM,2024,石景山,一模,pptx,rubric,A-support,YES,NO,NO,YES,YES,/Users/wanglifei/Desktop/2024模拟题/石景山一模/细则/细则.pptx,细则pptx；需渲染
P_2024_XC_YIM,2024,西城,一模,docx,paper,A-formal,YES,YES,NO,YES,NO,/Users/wanglifei/Desktop/2024模拟题/西城一模/试卷/试卷.docx,Q19(5)思维部分候选（超前思维）；待回源
R_2024_XC_YIM,2024,西城,一模,docx,rubric,A-formal,YES,NO,NO,YES,NO,/Users/wanglifei/Desktop/2024模拟题/西城一模/细则/细则.docx + 补充材料,细则docx+阅卷细则补充
P_2024_XC_ERM,2024,西城,二模,docx,paper,pending,PENDING,YES,NO,YES,NO,/Users/wanglifei/Desktop/2024模拟题/西城二模/试卷/试卷.docx,旧框架未明确列出；待回源确认
R_2024_XC_ERM,2024,西城,二模,docx,rubric,pending,PENDING,NO,NO,YES,NO,/Users/wanglifei/Desktop/2024模拟题/西城二模/细则/细则.docx + 选择题讲评pptx,有选择题讲评pptx；可能含推理题陷阱分析
P_2024_SY_ERM,2024,顺义,二模,docx,paper,A-formal,YES,YES,NO,YES,NO,/Users/wanglifei/Desktop/2024模拟题/顺义思政二模/试卷/试卷.docx,Q16(2)思维部分候选（超前思维）；待回源
R_2024_SY_ERM,2024,顺义,二模,docx,rubric,A-formal,YES,NO,NO,YES,NO,/Users/wanglifei/Desktop/2024模拟题/顺义思政二模/细则/细则.docx,细则docx
P_2024_FS_YIM,2024,房山,一模,pdf,paper,missing,YES,NO,NO,YES,NO,待确认—旧框架标为"本轮无稳定来源",Q20(1)在旧框架被列为待回源；本轮未见房山一模纸质文件；需重新定位
P_2025_DC_YIM,2025,东城,一模,pdf,paper,A-formal,YES,YES,NO,YES,NO,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025东城一模/试卷/试卷.pdf,Q18(1)思维部分候选（辩证思维整体性+动态性）；待回源
R_2025_DC_YIM,2025,东城,一模,pdf,rubric,A-formal,YES,NO,NO,YES,NO,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025东城一模/细则/细则.pdf,细则PDF；GaokaoPolitics副本有教师版+阅卷报告
P_2025_DC_ERM,2025,东城,二模,pdf,paper,pending,PENDING,YES,NO,YES,NO,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025东城二模/试卷/试卷.pdf,旧框架未明确列出；GaokaoPolitics有阅卷报告；待回源确认
R_2025_DC_ERM,2025,东城,二模,pdf,rubric,pending,PENDING,NO,NO,YES,NO,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025东城二模/细则/细则.pdf,GaokaoPolitics有东城二模阅卷报告5.9.pdf；高价值
P_2025_DC_QM,2025,东城,期末,pdf,paper,A-formal,YES,YES,NO,YES,NO,/Users/wanglifei/Desktop/2025模拟题/2025各区期末/2025东城期末/试卷/试卷.pdf,Q18(2)思维部分候选（创新思维联想/迁移）；待回源
R_2025_DC_QM,2025,东城,期末,pdf+pptx,rubric,A-formal,YES,NO,NO,YES,YES,/Users/wanglifei/Desktop/2025模拟题/2025各区期末/2025东城期末/细则/细则.pdf + 补充材料/东城期末.pptx,细则PDF+讲评pptx；需渲染pptx
P_2025_FT_YIM,2025,丰台,一模,pdf,paper,A-formal,YES,YES,NO,YES,NO,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025丰台一模/试卷/试卷.pdf,Q18(1)思维部分候选（科学思维三特征）；待回源
R_2025_FT_YIM,2025,丰台,一模,docx,rubric,A-formal,YES,NO,NO,YES,NO,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025丰台一模/细则/细则.docx,细则docx
P_2025_FT_ERM,2025,丰台,二模,pdf,paper,pending,PENDING,YES,NO,YES,NO,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025丰台二模/试卷/试卷.pdf,有分题评标细则Q16-Q21；旧框架未明确列出此套主观思维题；待回源
R_2025_FT_ERM,2025,丰台,二模,docx×6,rubric,A-formal,PENDING,NO,NO,YES,NO,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025丰台二模/细则/分题细则/（各题）,6个分题细则docx；A-formal级别高；需逐一打开确认模块
P_2025_FT_QM,2025,丰台,期末,pdf,paper,pending,PENDING,YES,NO,YES,NO,/Users/wanglifei/Desktop/2025模拟题/2025各区期末/2025丰台期末/试卷/试卷.pdf,旧框架未明确列出；待回源
R_2025_FT_QM,2025,丰台,期末,pptx,rubric,pending,PENDING,NO,NO,YES,YES,/Users/wanglifei/Desktop/2025模拟题/2025各区期末/2025丰台期末/细则/细则.pptx,细则pptx；需渲染
P_2025_YQ_YIM,2025,延庆,一模,pdf,paper,A-formal,YES,YES,NO,YES,NO,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025延庆一模/试卷/试卷.pdf,Q18思维部分候选（辩证思维质量互变）；待回源
R_2025_YQ_YIM,2025,延庆,一模,docx,rubric,A-formal,YES,NO,NO,YES,NO,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025延庆一模/细则/细则.docx,细则docx
P_2025_FS_YIM,2025,房山,一模,pdf,paper,A-formal,YES,YES,NO,YES,NO,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025房山一模/试卷/试卷.pdf,Q16(3)思维部分候选（联想+发散）；待回源
R_2025_FS_YIM,2025,房山,一模,pdf,rubric,A-formal,YES,NO,NO,YES,NO,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025房山一模/细则/细则.pdf,细则PDF；GaokaoPolitics有参考答案细则(4).pdf
P_2025_CY_YIM,2025,朝阳,一模,pdf,paper,pending,PENDING,YES,NO,YES,NO,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025朝阳一模/试卷/试卷.pdf,有Q17(1)/Q18/Q19阅卷总结doc；旧框架未明确朝阳一模主观思维题；待回源
R_2025_CY_YIM,2025,朝阳,一模,pdf+doc×3+pptx,rubric,A-formal,PENDING,NO,NO,YES,YES,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025朝阳一模/细则/,有细则PDF+3份阅卷总结doc+讲评pptx；高价值细则包
P_2025_CY_ERM,2025,朝阳,二模,pdf,paper,pending,PENDING,YES,NO,YES,NO,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025朝阳二模/试卷/试卷.pdf,旧框架未明确列出；待回源
R_2025_CY_ERM,2025,朝阳,二模,docx,rubric,pending,PENDING,NO,NO,YES,NO,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025朝阳二模/细则/细则.docx,细则docx
P_2025_CY_QM,2025,朝阳,期末,pdf,paper,pending,PENDING,YES,NO,YES,NO,/Users/wanglifei/Desktop/2025模拟题/2025各区期末/2025朝阳期末/试卷/试卷.pdf,旧框架标注为暂不并入（选必一/综合题）；待重确认
R_2025_CY_QM,2025,朝阳,期末,pdf+pptx,rubric,pending,PENDING,NO,NO,YES,YES,/Users/wanglifei/Desktop/2025模拟题/2025各区期末/2025朝阳期末/细则/细则.pdf + 其他材料/朝阳高三期末2025.pptx,细则PDF+讲评pptx；GaokaoPolitics有评标PDF
P_2025_HD_YIM,2025,海淀,一模,pdf,paper,A-formal,pending,YES,NO,YES,NO,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025海淀一模/试卷/试卷.pdf,旧框架未明确列出主观思维题；待回源确认；含选择题推理候选
R_2025_HD_YIM,2025,海淀,一模,docx,rubric,A-formal,pending,NO,NO,YES,NO,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025海淀一模/细则/细则.docx,细则docx；GaokaoPolitics有教师版PDF
P_2025_HD_ERM,2025,海淀,二模,pdf,paper,A-formal,YES,YES,NO,YES,NO,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025海淀二模/试卷/试卷.pdf,Q20思维部分候选（辩证思维复合：分析综合+整体性+动态性+辩证否定）；关键套卷
R_2025_HD_ERM,2025,海淀,二模,docx+docx+pdf,rubric,A-formal,YES,NO,NO,YES,NO,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025海淀二模/细则/细则.docx + 评标实录.docx + 讲评0510.pdf,评标实录docx是高价值A-formal来源；需单独核查
P_2025_HD_QZ,2025,海淀,期中,pdf,paper,pending,PENDING,YES,NO,YES,NO,/Users/wanglifei/Desktop/2025模拟题/2025各区期末/2025海淀期中/试卷/试卷.pdf,旧框架未明确列出；待回源
R_2025_HD_QZ,2025,海淀,期中,docx,rubric,pending,PENDING,NO,NO,YES,NO,/Users/wanglifei/Desktop/2025模拟题/2025各区期末/2025海淀期中/细则/细则.docx,细则docx
P_2025_HD_QM,2025,海淀,期末,docx,paper,A-formal,YES,YES,NO,YES,NO,/Users/wanglifei/Desktop/2025模拟题/2025各区期末/2025海淀期末/试卷/试卷.docx,Q18思维部分候选（创新思维逆向+联想）；待回源
R_2025_HD_QM,2025,海淀,期末,pptx,rubric,A-formal,YES,NO,NO,YES,YES,/Users/wanglifei/Desktop/2025模拟题/2025各区期末/2025海淀期末/细则/细则.pptx + GaokaoPolitics有0118讲评pptx,细则pptx；需渲染
P_2025_SJS_YIM,2025,石景山,一模,pdf,paper,pending,YES,YES,NO,YES,NO,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025石景山一模/试卷/试卷.pdf,Q19思维部分候选（科学+创新）；待回源
R_2025_SJS_YIM,2025,石景山,一模,doc,rubric,pending,YES,NO,NO,YES,YES,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025石景山一模/细则/细则.doc,旧格式.doc；需转换
P_2025_XC_YIM,2025,西城,一模,pdf,paper,pending,PENDING,YES,NO,YES,NO,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025西城一模/试卷/试卷.pdf,旧框架未明确列出；待回源
R_2025_XC_YIM,2025,西城,一模,docx,rubric,pending,PENDING,NO,NO,YES,NO,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025西城一模/细则/细则.docx,细则docx
P_2025_XC_ERM,2025,西城,二模,pdf,paper,pending,PENDING,YES,NO,YES,NO,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025西城二模/试卷/试卷.pdf,旧框架未明确列出；待回源
R_2025_XC_ERM,2025,西城,二模,docx,rubric,pending,PENDING,NO,NO,YES,NO,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025西城二模/细则/细则.docx,GaokaoPolitics有讨论定稿细则docx；多版本
P_2025_XC_QM,2025,西城,期末,pdf,paper,pending,PENDING,YES,NO,YES,NO,/Users/wanglifei/Desktop/2025模拟题/2025各区期末/2025西城期末/试卷/试卷.pdf,旧框架未明确列出；待回源
R_2025_XC_QM,2025,西城,期末,pdf,rubric,pending,PENDING,NO,NO,YES,NO,/Users/wanglifei/Desktop/2025模拟题/2025各区期末/2025西城期末/细则/细则.pdf,细则PDF
P_2025_MTG_YIM,2025,门头沟,一模,pdf,paper,A-formal,YES,YES,NO,YES,NO,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025门头沟一模/试卷/试卷.pdf,Q21(1)思维部分候选（复合：辩证否定+整体性+联想+超前）；待回源
R_2025_MTG_YIM,2025,门头沟,一模,doc,rubric,A-formal,YES,NO,NO,YES,YES,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025门头沟一模/细则/细则.doc,旧格式.doc；需转换
P_2025_CP_ERM,2025,昌平,二模,pdf,paper,A-formal,YES,YES,NO,YES,NO,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025昌平二模/试卷/试卷.pdf,Q19思维部分候选（创新思维：逆向+发散聚合+迁移想象）；待回源
R_2025_CP_ERM,2025,昌平,二模,pptx,rubric,A-formal,YES,NO,NO,YES,YES,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025昌平二模/细则/细则.pptx,细则pptx；GaokaoPolitics有评标pptx；需渲染
P_2025_SY_YIM,2025,顺义,一模,pdf,paper,pending,PENDING,YES,NO,YES,NO,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025顺义一模/试卷/试卷.pdf,旧框架未明确列出；待回源
R_2025_SY_YIM,2025,顺义,一模,docx,rubric,pending,PENDING,NO,NO,YES,NO,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025顺义一模/细则/细则.docx,GaokaoPolitics有顺义参考答案评分细则docx
P_2026_DC_YIM,2026,东城,一模,pdf,paper,A-formal,YES,YES,NO,YES,NO,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026东城一模/试卷/试卷.pdf,Q19(1)分析综合；Q19(4)系统+创新；有分题评标细则pptx套件；关键套卷
R_2026_DC_YIM,2026,东城,一模,pdf+pptx×8,rubric,A-formal,YES,YES,NO,YES,YES,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026东城一模/细则/细则.pdf + 分题细则/（各题pptx）,8个pptx分题评标细则；需逐一渲染提取；A-formal高价值
P_2026_FT_YIM,2026,丰台,一模,pdf,paper,pending,PENDING,YES,NO,YES,NO,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026丰台一模/试卷/试卷.pdf,旧框架未明确列出；待回源
R_2026_FT_YIM,2026,丰台,一模,pptx,rubric,pending,PENDING,NO,NO,YES,YES,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026丰台一模/细则/细则.pptx,细则pptx；需渲染
P_2026_YQ_YIM,2026,延庆,一模,pdf,paper,A-formal,YES,YES,NO,YES,NO,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026延庆一模/试卷/试卷.pdf,Q18(2)思维部分候选（辩证思维+创新思维）；待回源
R_2026_YQ_YIM,2026,延庆,一模,docx,rubric,A-formal,YES,NO,NO,YES,NO,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026延庆一模/细则/细则.docx,细则docx
P_2026_FS_YIM,2026,房山,一模,pdf,paper,A-formal,YES,YES,NO,YES,NO,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026房山一模/试卷/试卷.pdf,Q18(1)思维部分候选（整体性+质量互变+具体分析）；待回源
R_2026_FS_YIM,2026,房山,一模,docx,rubric,A-formal,YES,NO,NO,YES,NO,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026房山一模/细则/细则.docx,细则docx
P_2026_CY_YIM,2026,朝阳,一模,pdf,paper,A-formal,YES,YES,NO,YES,NO,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026朝阳一模/试卷/试卷.pdf,Q17(1)后半联想思维；前半推理识别；待回源精确定位
R_2026_CY_YIM,2026,朝阳,一模,docx,rubric,A-formal,YES,YES,NO,YES,NO,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026朝阳一模/细则/细则.docx,细则docx；思维+推理复合题
P_2026_HD_YIM,2026,海淀,一模,pdf,paper,A-formal,YES,YES,NO,YES,NO,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026海淀一模/试卷/试卷.pdf,Q17(2)思维部分候选（调研设计/科学辩证发散）；待回源
R_2026_HD_YIM,2026,海淀,一模,pdf,rubric,A-formal,YES,NO,NO,YES,NO,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026海淀一模/细则/细则.pdf,细则PDF
P_2026_SJS_YIM,2026,石景山,一模,pdf,paper,pending,YES,YES,NO,YES,NO,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026石景山一模/试卷/试卷.pdf,Q17(2)思维部分候选（联想+发散+超前）；待回源
R_2026_SJS_YIM,2026,石景山,一模,doc,rubric,pending,YES,NO,NO,YES,YES,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026石景山一模/细则/细则.doc,旧格式.doc；需转换
P_2026_XC_YIM,2026,西城,一模,docx,paper,B-choice-signal,YES,YES,NO,YES,NO,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026西城一模/试卷/试卷.docx,旧框架：有choice-level思维信号但未锁主观题；可能含推理题；待回源
R_2026_XC_YIM,2026,西城,一模,docx,rubric,B-choice-signal,YES,NO,NO,YES,NO,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026西城一模/细则/细则.docx,细则docx
P_2026_MTG_YIM,2026,门头沟,一模,pdf,paper,A-formal,YES,YES,NO,YES,NO,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026门头沟一模/试卷/试卷.pdf,Q18(2)思维部分候选（科学+辩证+创新三合一）；待回源
R_2026_MTG_YIM,2026,门头沟,一模,docx,rubric,A-formal,YES,NO,NO,YES,NO,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026门头沟一模/细则/细则.docx,细则docx
P_2026_SY_YIM,2026,顺义,一模,pdf,paper,A-formal,YES,YES,NO,YES,NO,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026顺义一模/试卷/试卷.pdf,Q19(2)科学思维三特征（客观性+预见性+可检验性）；五大硬样本之一；高优先级
R_2026_SY_YIM,2026,顺义,一模,pptx,rubric,A-formal,YES,NO,NO,YES,YES,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026顺义一模/细则/细则.pptx,细则pptx；需渲染；五大硬样本关联
P_2026_DC_QM,2026,东城,期末,pdf,paper,C-boundary,NO,YES,YES,YES,NO,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026东城期末/试卷/试卷.pdf,旧框架：Q17(2)形式逻辑小问属边界排除（思维主链）；本轮重确认；推理部分候选
R_2026_DC_QM,2026,东城,期末,pptx×8,rubric,C-boundary,NO,YES,YES,YES,YES,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026东城期末/细则/细则.pptx + 分题细则（各题pptx）,有per-question评标pptx；推理题可能有精确细则；需渲染确认
P_2026_FT_QM,2026,丰台,期末,pdf,paper,A-formal,YES,YES,NO,YES,NO,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026丰台期末/试卷/试卷.pdf,Q20思维部分候选（科学思维客观性+辩证思维分析综合整体性）；待回源
R_2026_FT_QM,2026,丰台,期末,pdf,rubric,A-formal,YES,NO,NO,YES,NO,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026丰台期末/细则/细则.pdf,细则PDF
P_2026_CY_QZ,2026,朝阳,期中,pdf,paper,A-formal,YES,YES,NO,YES,NO,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026朝阳期中/试卷/试卷.pdf,Q20辩证思维（分析综合+整体性+质量互变+动态性）；Q21(2)创新思维（超前+联想+逆向+发散聚合）；五大硬样本之一；关键套卷
R_2026_CY_QZ,2026,朝阳,期中,docx×2,rubric,A-formal,YES,NO,NO,YES,NO,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026朝阳期中/细则/细则.docx + 补充材料/细则.docx,两份细则docx；可能为初版+修订版；需对比
P_2026_CY_QM,2026,朝阳,期末,pdf,paper,pending,PENDING,YES,NO,YES,NO,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026朝阳期末/试卷/试卷.pdf,旧框架：Q20选必一/Q21综合；本轮重确认
R_2026_CY_QM,2026,朝阳,期末,pdf,rubric,pending,PENDING,NO,NO,YES,NO,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026朝阳期末/细则/细则.pdf,细则PDF
P_2026_HD_QZ,2026,海淀,期中,docx,paper,missing,NO,NO,NO,YES,NO,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026海淀期中/试卷/试卷.docx,无细则文件夹（仅有期中讲评PDF）；细则missing；有讲评PDF可定位
L_2026_HD_QZ,2026,海淀,期中,pdf,lecture,A-support,PENDING,PENDING,NO,YES,NO,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026海淀期中/其他材料/期中讲评20251106.pdf,讲评PDF；无正式细则；只能标A-support；需打开确认是否含选必三题
