framework_node,parent_path,入正文题,选择题陷阱题,辅助挂载题,辅助理解题,同类索引题,blocked题,excluded题,证据等级集合,备注
推理边界>判断>性质判断vs比喻区分,推理>判断>性质判断,,Q-2026顺义一模-5,,,,,,B-choice-signal,试卷参考答案5.D；A'一座博物馆就是一本立体书'是比喻而非性质判断错项
推理边界>判断>关系判断对称性,推理>判断>关系判断,,Q-2025顺义一模-6,,,,,,B-choice-signal,试卷参考答案6.A；④'获得流动性支持是反对称关系'是关系判断对称性误读错项
推理边界>判断>复合判断>联言判断（保真条件）,推理>判断>复合判断>联言判断,Q-2025丰台期末-18-1,Q-2025顺义一模-6;Q-2026丰台一模-9,,,,,,A-formal;B-choice-signal,细则Slide25；②是联言判断+保真条件'当且仅当各联言支都为真'1+1分 / 试卷参考答案6.A；②是联言判断对互换便利特点多方面把握 / 试卷参考答案9.D；D'兼具文学趣味与益智功能'是联言判断
推理边界>判断>复合判断>联言判断（矛盾命题）,推理>判断>复合判断>联言判断,,Q-2025顺义一模-5,,,,,,B-choice-signal,试卷参考答案5.B；联言判断'A∧B'的矛盾命题是'¬A∨¬B'（德摩根定律）
推理边界>判断>复合判断>相容选言判断（保真条件）,推理>判断>复合判断>选言判断,Q-2025顺义一模-17-1,,,,,,,A-formal,细则评分点；丙是相容选言判断+保真条件'至少一支为真'
推理边界>判断>复合判断>不相容选言判断（推论受限）,推理>判断>复合判断>选言判断,,Q-2025丰台期末-9,,,,,,B-choice-signal,试卷参考答案9.D；B'不相容选言判断不能直接断定一支'错项
推理边界>判断>假言判断>必要条件假言判断（保真条件）,推理>判断>假言判断,Q-2025丰台期末-18-1;Q-2025顺义一模-17-1,,,,,,,A-formal,细则Slide25；①是必要条件假言判断+保真条件'前件是后件的必要条件'1+1分 / 细则评分点；乙是必要条件假言判断+保真条件'肯后必肯前'
推理边界>判断>假言判断>充分条件假言判断（保真条件）,推理>判断>假言判断,Q-2025顺义一模-17-1,,,,,,,A-formal,细则评分点；甲是充分条件假言判断+保真条件'肯前必肯后'
推理边界>演绎推理>充分条件假言推理（肯定前件式有效）,推理>演绎>假言推理,Q-2026通州期末-19-2,Q-2025丰台期末-9,,,,,,A-formal;B-choice-signal,细则Slide12-13；推理①充分条件假言推理'肯定前件式（有效式）' / 试卷参考答案9.D；D肯定前件式有效（建立联系→有所收获）
推理边界>演绎推理>充分条件假言推理（否定后件式有效）,推理>演绎>假言推理,,Q-2026丰台一模-8,,,,,,B-choice-signal,试卷参考答案8.C；②'¬Q→¬P'否定后件式有效
推理边界>演绎推理>充分条件假言推理（肯后不必肯前/否前不必否后）,推理>演绎>假言推理,,Q-2026丰台一模-8;Q-2025丰台期末-9,,,,,,B-choice-signal,试卷参考答案8.C；①否前不必否后+④肯后不必肯前是无效式错项 / 试卷参考答案9.D；C'有所收获→建立联系'是肯后不必肯前错项
推理边界>演绎推理>充分条件假言推理（综合诊断）,推理>演绎>假言推理,,Q-2026丰台一模-7,,,,,,B-choice-signal,试卷参考答案7.B；B'断定不同病症与病因之间必然联系应运用充分条件假言推理'正解
推理边界>演绎推理>必要条件假言推理（肯定后件式有效）,推理>演绎>假言推理,Q-2026丰台一模-18-2,,,,,,,A-formal,细则Slide35-36；甲必要条件假言推理'肯定后件式（有效式）'
推理边界>演绎推理>必要条件假言推理（肯定前件式无效）,推理>演绎>假言推理,Q-2026通州期末-19-2,,,,,,,A-formal,细则Slide12-13；推理②必要条件假言推理'肯定前件式（无效）'
推理边界>演绎推理>三段论>大项不当扩大,推理>演绎>三段论>大项不当扩大,Q-2026丰台一模-18-2,Q-2025顺义一模-7,,,,,,A-formal;B-choice-signal,细则Slide35-36；乙三段论'大项不当扩大'错误（硬规则§十八硬样本） / 试卷参考答案7.A；A大项不当扩大（被原题误称为小项不当扩大）-硬规则§十九硬样本
推理边界>演绎推理>三段论>小项不当扩大（误称陷阱）,推理>演绎>三段论>小项不当扩大,,Q-2025顺义一模-7,,,,,,B-choice-signal,试卷参考答案7.A；选项A的陷阱是把'大项不当扩大'误称为'小项不当扩大'-硬规则§十九
推理边界>演绎推理>三段论>中项不周延（辅助）,推理>演绎>三段论>中项不周延,,Q-2025顺义一模-7,,,,,,B-choice-signal,试卷参考答案7.A；D选项'有些农民'中项不周延正确分析
推理边界>演绎推理>三段论>四概念错误（辅助）,推理>演绎>三段论>四概念,,Q-2025顺义一模-7,,,,,,B-choice-signal,试卷参考答案7.A；C选项'物质'同名不同义四概念错误正确分析
推理边界>演绎推理>三段论保真两条件（前提真实+结构有效）,推理>演绎>三段论保真两条件,Q-2026顺义一模-19-1,,,,,,,A-formal,细则Slide6；演绎推理保真两条件：前提真实1分+推理结构正确1分；本题前提虚假所以错误
推理边界>演绎推理>三段论>两否前提不能推出（辅助）,推理>演绎>三段论>两否前提,,Q-2025顺义一模-7,,,,,,B-choice-signal,试卷参考答案7.A；B选项'两否前提不能必然推出结论'正确分析
推理>归纳推理（不完全归纳）,推理>归纳推理,,Q-2025丰台期末-10,,,,,,B-choice-signal,试卷参考答案10.B；①'吃一堑长一智'从特殊推一般是归纳推理
推理>类比推理,推理>类比推理,,Q-2025丰台期末-10;Q-2026顺义一模-4,,,,,,B-choice-signal,试卷参考答案10.B；④'举一反三'是类比推理 / 试卷参考答案4.A；A《论持久战》对当前问题提供思想启迪运用了类比推理
推理>完全归纳推理（边界陷阱）,推理>归纳推理>完全归纳,,Q-2026丰台一模-7;Q-2026顺义一模-4,,,,,,B-choice-signal,试卷参考答案7.B；C'只有完全归纳推理'夸大错项 / 试卷参考答案4.A；D'完全归纳推理'误用错项
形式逻辑>概念>外延关系（属种/整体部分/全同区分）,形式逻辑>概念>外延关系,,Q-2026丰台一模-9,,,,,,B-choice-signal,试卷参考答案9.D；A全同关系误用+B种属与整体部分混淆错项
形式逻辑>概念>定项变项,形式逻辑>概念>定项变项,,Q-2026丰台一模-9,,,,,,B-choice-signal,试卷参考答案9.D；C'元宵节猜灯谜是定项'误用错项
形式逻辑>概念>划分错误（越级划分vs划分标准不一）,形式逻辑>概念>划分错误,,Q-2025顺义一模-6,,,,,,B-choice-signal,试卷参考答案6.A；③'划分标准不一'误判（实际是越级划分）
形式逻辑>判断与推理类型识别（比喻与定义方法区分）,形式逻辑>判断与推理类型识别,,Q-2026顺义一模-4,,,,,,B-choice-signal,试卷参考答案4.A；C'比喻的定义方法'误用错项
边界陷阱>选必三超前思维概念跨模块外挂,边界陷阱>跨模块外挂,,Q-2025丰台期末-7,,,,,,B-choice-signal,硬规则§十八永久锁定；漫画'把握当下'反着写成'超前思维思考明天'
综合应用>综合短文（同类索引节点）,综合,,,,,Q-2025丰台期末-21;Q-2025顺义一模-21;Q-2026顺义一模-21;Q-2026通州期末-21;Q-2026丰台一模-21,,,boundary,10分；'制度优势是国家最大优势'综合短文+综合运用所学；细则水平描述含党的领导制度+人大制度+市场经济体制 / 10分；'一个个小家的温度也正标示着民族与国家的精神刻度'+综合运用所学；细则文化+政治+哲学三角度 / 10分；'审势乘势驭势'+综合运用所学；细则哲学+政治+经济+文化+国政经五角度（含科学思维特征/超前思维 fusion-only attach） / 9分；'十四五谱写中国式现代化辉煌篇章'+综合运用所学；细则Slide17含'思维方法角度'(系统观念/科学思维/辩证思维/矛盾观/尊重客观规律 任意一点2分) fusion-only attach / 9分；'识变应变求变'+综合运用所学；细则党的领导/系统思维(发展观)/辩证思维(矛盾观)/超前思维 fusion-only attach
blocked>选项视觉缺口,blocked,,,,,Q-2026通州期末-10,,,boundary,试卷参考答案10.B；选项①②③④完整命题文本视觉残缺需fusion阶段补全后再裁定具体推理形式
blocked>试卷视觉缺口,blocked,,,,,,Q-2026丰台一模-UNPARSED-PAPER,,boundary,试卷PDF为image-only OCR提取后选项视觉残缺；矩阵冗余行已通过补充源6e8f2df5ef86ff9e_丰台一模.txt+CODEX_CHOICE_TRAP_LEDGER_PRELIM.csv恢复Q4/Q7/Q8/Q9/Q18(2)五题
