question_id,suite_id,original_qno,question_type,phase12_action,phase12_category,phase12_blocker_reason,phase05_status,current_exhaustive_conclusion,evidence_level,decision_reason,excerpt_head
Q-2025丰台期末-11,S-2025丰台期末,11,选择题,blocked_keep_out,answer_missing,scope pending or boundary row,,blocked,missing_or_blocked,phase12_action=blocked_keep_out；phase12_category=answer_missing；blocker=scope pending or boundary row；note=初筛为答案/来源缺口，本轮未找到足够证据。,"11. 李某在社交平台发布博文“地铁上的小乘客,一个人上学......太可爱了”,并附有该小乘客吴某的正 面照片。次日,吴某的母亲张某发帖称照片中是自己7 岁的女儿,认为李某行为不妥,要求其删除照片。 李某不予理会,双方为此发生纠纷,张某向法院提起诉讼。法院认为李某的行为构成侵权,判令其赔礼道 歉,作出合理赔偿。下列认识正确的是( ) 1李某未经同意公布他人照片不妥,侵害他人的名誉权 2法院基于对"
Q-2025丰台期末-12,S-2025丰台期末,12,选择题,blocked_keep_out,answer_missing,scope pending or boundary row,,blocked,missing_or_blocked,phase12_action=blocked_keep_out；phase12_category=answer_missing；blocker=scope pending or boundary row；note=初筛为答案/来源缺口，本轮未找到足够证据。,"12. 游客王某夫妇到某收费景区游玩,王某因雨后的观景台面十分湿滑不慎摔倒,导致其腿骨骨折,王某 与景区负责公司就赔偿问题发生纠纷。下列说法正确的是( ) 1王某购买门票到景区内游玩,双方之间的旅游合同即依法成立 2景区采取了相应的保障措施保护游客的人身安全,王某应承担部分违约责任 3王某作为完全民事行为能力人,在景区内摔倒造成身体伤害,应自行承担责任 4景区未能举证证明对游客的人身安全尽到保障义"
Q-2025丰台期末-13,S-2025丰台期末,13,选择题,blocked_keep_out,answer_missing,scope pending or boundary row,,blocked,missing_or_blocked,phase12_action=blocked_keep_out；phase12_category=answer_missing；blocker=scope pending or boundary row；note=初筛为答案/来源缺口，本轮未找到足够证据。,"13. 2024 年中央经济工作会议总结全年经济工作,分析当前经济形势,部署2025 年经济工作。2025 年要 实施更加积极的财政政策和适度宽松的货币政策,打好政策“组合拳”。若不考虑其他因素,下列传导路 径合理的是( ) ===== PAGE 5 ===== 第5页/共18页 A. 12 B. 14 C. 23 D. 34"
Q-2025丰台期末-14,S-2025丰台期末,14,选择题,blocked_keep_out,answer_missing,scope pending or boundary row,,blocked,missing_or_blocked,phase12_action=blocked_keep_out；phase12_category=answer_missing；blocker=scope pending or boundary row；note=初筛为答案/来源缺口，本轮未找到足够证据。,"14. 首发经济是指企业发布新产品,推出新业态、新模式、新服务、新技术,开设首店等经济活动的总 称,涵盖了企业从产品或服务的首次发布、首次展出到首次落地开设门店、首次设立研发中心,再到设立 企业总部的链式发展全过程。 关于首发经济,以下预测合理的是( ) 1利好企业:重视新品研发,助力企业出海,提振国际经济 2利好产业:整合产业链条,推动产业升级,增强市场信心 3利好消费:引领消费潮流,优化产品服"
Q-2025丰台期末-15,S-2025丰台期末,15,选择题,blocked_keep_out,answer_missing,scope pending or boundary row,,blocked,missing_or_blocked,phase12_action=blocked_keep_out；phase12_category=answer_missing；blocker=scope pending or boundary row；note=初筛为答案/来源缺口，本轮未找到足够证据。,"15. 近年来,我国外贸“蛋糕”更大,高质量发展含金量更足。 ——数据来源:2024 年7 月30 日国新办发布会海关总署公布的数据 据此可见( ) 1我国出口结构优化,对外开放水平不断提高 2我国提供了更多的全球公共产品,推动了经济全球化 3新发展理念见成效,绿色成为我国外贸高质量发展鲜明底色 ===== PAGE 6 ===== 第6页/共18页 4营商环境明显改善,中国与全球贸易伙伴共享超大"
Q-2025丰台期末-16,S-2025丰台期末,16,主观题,excluded_keep_out,out_of_scope,scope_out=哲学(非选必三逻辑与思维primary task);但量变质变可fusion-only attach,,同类索引,missing_or_blocked,重复/参考源行，不作为独立题计入正文；canonical_question_id=Q-2025丰台期末-16; canonical_conclusion=excluded,"16. 胸中有“数”的工作方法,是毛泽东从中国革命和建设实践中总结得出的宝贵经验,具有丰富的 思想内涵。他指出:“对情况和问题一定要注意到它们的数量方面,要有基本的数量的分析。任何质量都 表现为一定的数量,没有数量也就没有质量。我们有许多同志至今不懂得注意事物的数量方面,不懂得注 意基本的统计、主要的百分比,不懂得注意决定事物质量的数量界限,一切都是胸中无‘数’,结果就不 能不犯错误。” 在工作生"
Q-2025丰台期末-17,S-2025丰台期末,17,主观题,blocked_keep_out,answer_missing,scope pending or boundary row,,blocked,missing_or_blocked,phase12_action=blocked_keep_out；phase12_category=answer_missing；blocker=scope pending or boundary row；note=初筛为答案/来源缺口，本轮未找到足够证据。,"17. “人民城市人民建,人民城市为人民”。一幅幅人民城市的图景正在中华大地壮丽描摹。 【规划——把让群众生活更舒适这一理念融入城市规划建设的血脉里】 在雄安新区,5 分钟可达幼儿园、居委会、老人活动中心,10 分钟可达小学、社区卫生站,15 分钟可 达中学、社区服务中心......多层次规划设计的生活圈,让当地群众享受到实实在在的便利;在福州,依托 城市内山水资源,串联生态空间与公共空间,打造山"
Q-2025丰台期末-18-1,S-2025丰台期末,18(1),主观题,covered_by_74_review_body,already_in_74,Batch03 Lane B confirmed for evidence fusion only; no student draft,L3_CONFIRMED_FOR_EVIDENCE_ARCHIVE,入正文,A-formal_or_phase12_source_confirmed,phase12_action=covered_by_74_review_body；phase12_category=already_in_74；blocker=Batch03 Lane B confirmed for evidence fusion only; no student draft；note=已进入 74-row review-only expanded body。,"18. 高水平社会主义市场经济体制是中国式现代化的重要保障。 材料一 高水平社会主义市场经济体制是更高层次、更高标准的市场经济体制。1“放得活”才有春 色满园,“管得住”才能土沃林丰,2这不仅是我国改革开放40 多年实践中被不断验证的成功经验,更 是构建高水平社会主义市场经济体制、实现高质量发展的内在要求。 在当今经济全球化与国内经济转型发展的大背景下,诸多领域面临着如何平衡“放得活”与“管得 住"
Q-2025丰台期末-18-2,S-2025丰台期末,18(2),主观题,excluded_keep_out,out_of_scope,scope_out=经济与社会(非选必三逻辑与思维),,excluded,C-boundary_or_duplicate,phase12_action=excluded_keep_out；phase12_category=out_of_scope；blocker=scope_out=经济与社会(非选必三逻辑与思维)；note=scope_out=经济与社会(非选必三逻辑与思维),"18. 高水平社会主义市场经济体制是中国式现代化的重要保障。 材料一 高水平社会主义市场经济体制是更高层次、更高标准的市场经济体制。1“放得活”才有春 色满园,“管得住”才能土沃林丰,2这不仅是我国改革开放40 多年实践中被不断验证的成功经验,更 是构建高水平社会主义市场经济体制、实现高质量发展的内在要求。 在当今经济全球化与国内经济转型发展的大背景下,诸多领域面临着如何平衡“放得活”与“管得 住"
Q-2025丰台期末-18-3,S-2025丰台期末,18(3),主观题,excluded_keep_out,out_of_scope,scope_out=政治与法治(非选必三逻辑与思维),,excluded,C-boundary_or_duplicate,phase12_action=excluded_keep_out；phase12_category=out_of_scope；blocker=scope_out=政治与法治(非选必三逻辑与思维)；note=scope_out=政治与法治(非选必三逻辑与思维),"18. 高水平社会主义市场经济体制是中国式现代化的重要保障。 材料一 高水平社会主义市场经济体制是更高层次、更高标准的市场经济体制。1“放得活”才有春 色满园,“管得住”才能土沃林丰,2这不仅是我国改革开放40 多年实践中被不断验证的成功经验,更 是构建高水平社会主义市场经济体制、实现高质量发展的内在要求。 在当今经济全球化与国内经济转型发展的大背景下,诸多领域面临着如何平衡“放得活”与“管得 住"
Q-2025丰台期末-19,S-2025丰台期末,19,主观题,excluded_keep_out,out_of_scope,scope pending or boundary row,,excluded,C-boundary_or_duplicate,phase12_action=excluded_keep_out；phase12_category=out_of_scope；blocker=scope pending or boundary row；note=scope pending or boundary row,"19. 尹某在某购物中心担任主管期间,存在违反公司管理规章制度等问题。购物中心基于自身经营需 要并结合尹某的工作实际以其不能胜任为由,将其工作岗位调整为营业员。尹某对此消极怠工,经常无故 旷工。购物中心多次提醒之后,尹某仍未改变,购物中心遂向尹某发出解除劳动合同通知书。尹某对仲裁 结果不满意,遂向法院提起诉讼,要求购物中心支付违约赔偿金。购物中心辩称其依据管理规章制度与尹 某解除劳动合同不存在违法"
Q-2025丰台期末-20,S-2025丰台期末,20,主观题,excluded_keep_out,out_of_scope,scope pending or boundary row,,excluded,C-boundary_or_duplicate,phase12_action=excluded_keep_out；phase12_category=out_of_scope；blocker=scope pending or boundary row；note=scope pending or boundary row,"20. 2024 年9 月5 日,中非合作论坛北京峰会在北京人民大会堂开幕。近70 年来,特别是中非合作论 坛成立24 年来,中非关系迅速发展。此次峰会最核心的成果之一,就是确立了新时代中非关系的新定 位。习近平总书记在主旨讲话中郑重提议将中国同所有非洲建交国的双边关系提升到战略关系层面,共筑 新时代全天候中非命运共同体。 新的定位意味着更大的责任和担当。中非愿树立更主动的历史自觉,更紧密地携手并"
Q-2025丰台期末-21,S-2025丰台期末,21,主观题,blocked_keep_out,answer_missing,scope pending or boundary row,,blocked,missing_or_blocked,phase12_action=blocked_keep_out；phase12_category=answer_missing；blocker=scope pending or boundary row；note=初筛为答案/来源缺口，本轮未找到足够证据。,"21. 制度优势是一个国家的最大优势。 新中国成立75 年来,中国共产党团结带领全国各族人民不懈奋斗,创造了经济快速发展和社会长期 稳定两大奇迹,中国发生沧海桑田的巨大变化,中华民族伟大复兴进入了不可逆转的历史进程。 党的领导制度体系、人民当家作主制度体系、中国特色社会主义法治体系等13 个方面的制度,构筑 中国特色社会主义的制度图谱,奠定了“中国之治”的制度基石。今天,支撑中国特色社会主义制度的"
Q-2025丰台期末-1,S-2025丰台期末,1,选择题,blocked_keep_out,answer_missing,scope pending or boundary row,,同类索引,missing_or_blocked,重复/参考源行，不作为独立题计入正文；canonical_question_id=Q-2025丰台期末-1; canonical_conclusion=blocked,"1. 【答案】B 【详解】1:中华文明从来不用单一文化代替多元文化,而是由多元文化汇聚成共同文化,化解冲突,凝 聚共识,这表明中华文明的博大气象,得益于中华文化自古以来开放的姿态、包容的胸怀,1入选。 2:文化自信来自于内心深处的自豪和自信,兼收并蓄强调的是吸收借鉴外来有益文化,2不选。 3:中华文化的丰富思想、人文精神、道德理念是在人民群众的伟大实践中形成的,而不是其经验的总 和,3不选。 4:"
Q-2025丰台期末-2,S-2025丰台期末,2,选择题,blocked_keep_out,blocked,scope pending or boundary row,,同类索引,missing_or_blocked,重复/参考源行，不作为独立题计入正文；canonical_question_id=Q-2025丰台期末-2; canonical_conclusion=blocked,"2. 【答案】D 【详解】1:人大代表“家站点”是人大代表密切联系群众、开展履职活动、践行全过程人民民主的重要阵 地,其迭代升级,不涉及人大组织系统完善,1排除。 2:材料没有体现民主管理规范化问题,2排除。 3:加强信息化建设 探索打造“码上见”等线上代表“家站点”,实现线上线下齐发力,体现了科技赋能, 有利于畅通民意收集新渠道,3符合题意。 4:聚焦平台建设、使用、功能、管理等,迭代升级“家站"
Q-2025丰台期末-3,S-2025丰台期末,3,选择题,blocked_keep_out,answer_missing,scope pending or boundary row,,同类索引,missing_or_blocked,重复/参考源行，不作为独立题计入正文；canonical_question_id=Q-2025丰台期末-3; canonical_conclusion=blocked,"3. 【答案】B 【详解】1:从图中的“一清单、一平台、一张网”,可以看出当地致力于建设全方位、多样化的养老服 务体系,该体系引导区级养老服务中心、街道(乡镇)、养老机构等各方各司其职、协同联动,为老年群 体保驾护航,1正确。 2:“一清单”是从供给端出发,通过各类市场主体,满足多样化、多层次的养老服务需求,2排除。 3:“一平台”集居家、社区、机构养老为一体,并非基层自治,3排除。 4:“一张网"
Q-2025丰台期末-4,S-2025丰台期末,4,选择题,blocked_keep_out,answer_missing,scope pending or boundary row,,同类索引,missing_or_blocked,重复/参考源行，不作为独立题计入正文；canonical_question_id=Q-2025丰台期末-4; canonical_conclusion=blocked,"4. 【答案】A 【详解】13:“人民医护工作者”路生梅,扎根黄土高原,守护群众健康,“人民教育家”黄大年,带 领团队,为我国填补了多项技术空白,“人民卫士”巴依卡·凯力迪别克,在帕米尔高原上巡边37 年, 这些事迹都充分表明,我们要在为国尽责、为民服务的实践中去实现人生价值,展现人生风采,也告诉我 ===== PAGE 10 ===== 第10页/共18页 们要以他们为榜样,不断修身立德,为他人"
Q-2025丰台期末-5,S-2025丰台期末,5,选择题,blocked_keep_out,answer_missing,scope pending or boundary row,,同类索引,missing_or_blocked,重复/参考源行，不作为独立题计入正文；canonical_question_id=Q-2025丰台期末-5; canonical_conclusion=blocked,"5. 【答案】A 【详解】12:借助网络直播,山区的产品进入城市。通过远程教育,边疆地区的学生与北京师生同上一 堂课。表明互联网重塑生产生活方式,为老百姓带来具体可感的变化;也说明依托网络整合资源,有助于 解决发展不平衡不充分的问题,12正确。 3:“运用网络资源填平数字鸿沟”夸大了网络资源的作用,3排除。 4:材料没有涉及我国在全球数字经济中的角色,4排除。 故本题选A。"
Q-2025丰台期末-6,S-2025丰台期末,6,选择题,blocked_keep_out,answer_missing,scope pending or boundary row,,同类索引,missing_or_blocked,重复/参考源行，不作为独立题计入正文；canonical_question_id=Q-2025丰台期末-6; canonical_conclusion=blocked,"6. 【答案】A 【详解】3:打造沉浸式文化消费新场景,属于文化产业发展,发展文化事业满足人民群众基本文化需 求,3错误,排除。 4:材料是展示中华优秀传统文化魅力,没有体现中外文化交流融合,4排除。 12:灯会以国家非物质文化遗产自贡彩灯技艺为基础,与北京传统风俗文化、首都时代精神符号创意融 合,使游客在欣赏璀璨灯光、非遗技艺的同时,还能通过不同主题区、不同灯组深切感受北京胡同、北京 生活、北京"
Q-2025丰台期末-7,S-2025丰台期末,7,选择题,covered_by_74_review_body,already_in_74,Batch03 Lane B confirmed for evidence fusion only; no student draft,L3_CONFIRMED_FOR_EVIDENCE_ARCHIVE,同类索引,missing_or_blocked,重复/参考源行，不作为独立题计入正文；canonical_question_id=Q-2025丰台期末-7; canonical_conclusion=入正文,"7. 【答案】C 【详解】C:漫画《为昨天懊恼,替明天担心,不如把握当下》反映一些人为昨天的错误而懊恼,为未来 的不确定性而担忧,从而忽略了当下的重要性,这实际上告诉我们,要从实际出发,从当下做起,生活才 能少些迷茫,C 正确。 A:集中精力关注当下,未必就能活出最美的样子,A 说法绝对。 B:漫画强调关注当下,并不强调运用超前思维思考明天,B 不符合题意。 D:尊重客观规律才是办事情取得成功的关"
Q-2025丰台期末-8,S-2025丰台期末,8,选择题,covered_by_74_review_body,already_in_74,Batch03 Lane B confirmed for evidence fusion only; no student draft,L3_CONFIRMED_FOR_EVIDENCE_ARCHIVE,同类索引,missing_or_blocked,重复/参考源行，不作为独立题计入正文；canonical_question_id=Q-2025丰台期末-8; canonical_conclusion=入正文,"8. 【答案】D 【详解】24:形象思维在感觉、知觉、表象的基础上,运用联想、想象和幻想等反映认识对象,触及事 物的本质和规律。《和平是一棵树》这首诗以形象思维的方式去触及和平的本质。同时也运用了发散思 维,从多个角度表达了人们对和平的向往和追求,24正确。 1:这首诗以感性形象作为思维的基本单元,1排除。 3:抽象思维以概念、判断和推理等反映认识对象,揭示事物的本质和规律。材料主要运用了形象思维"
Q-2025丰台期末-9,S-2025丰台期末,9,选择题,covered_by_74_review_body,already_in_74,Batch03 Lane B confirmed for evidence fusion only; no student draft,L3_CONFIRMED_FOR_EVIDENCE_ARCHIVE,入正文,B-choice-signal,phase12_action=covered_by_74_review_body；phase12_category=already_in_74；blocker=Batch03 Lane B confirmed for evidence fusion only; no student draft；note=已进入 74-row review-only expanded body。,"9. 【答案】D 【详解】A:“小李既没报陕西研学,也没报贵州研学”是一个联言判断,如果一个联言判断是真的,它 的联言支都是真的,可以推出“小李既没报陕西研学,也没报贵州研学”,但推不出“小李报湖南研学” 为真,小李可能报甘肃研学,A 排除。 B:“小张或者去甘肃游学,或者去湖南游学”是一个不相容选言判断,能推出“小张去甘肃游学,没有 去湖南游学”为真或者“小张没有去甘肃游学,去了湖南游学”为真,"
Q-2025丰台期末-10,S-2025丰台期末,10,选择题,covered_by_74_review_body,already_in_74,Batch03 Lane B confirmed for evidence fusion only; no student draft,L3_CONFIRMED_FOR_EVIDENCE_ARCHIVE,同类索引,missing_or_blocked,重复/参考源行，不作为独立题计入正文；canonical_question_id=Q-2025丰台期末-10; canonical_conclusion=入正文,"10. 【答案】B 【详解】1:“吃一堑,长一智”意思是,受一次挫折,便得到一次教训,增长一分才智。这启示我们要 善于运用归纳推理,从特殊推出一般,寻找规律性,1符合题意。 2:人之所以会“在同一地方摔倒多次”,是因为没有运用归纳推理,2说法错误。 3:“闻一知十”意思是,听到一件事,可以推知十件事。这启示我们要善于思考,从感性具体到思维抽 象,3说法错误。 4:“举一反三”意思是,拿已知的一件事"
Q-2025丰台期末-11,S-2025丰台期末,11,选择题,blocked_keep_out,answer_missing,scope pending or boundary row,,同类索引,missing_or_blocked,重复/参考源行，不作为独立题计入正文；canonical_question_id=Q-2025丰台期末-11; canonical_conclusion=blocked,"11. 【答案】D 【详解】1:李某未经同意公布他人照片,侵害了他人的肖像权,1说法错误。 2:法院做出本案判决是基于对公民肖像权的一般保护,而不是“未成年人肖像权的特殊保护”2排除。 3:权利与义务是统一的,不可割裂。李某有发布网络信息的权利,但也应履行遵守宪法和法律的义务, 3符合题意。 4:本案中,李某未经允许擅自使用他人肖像,侵犯了其肖像权。法院的判决结果彰显我国互联网司法高 度重视人格权"
Q-2025丰台期末-12,S-2025丰台期末,12,选择题,blocked_keep_out,answer_missing,scope pending or boundary row,,同类索引,missing_or_blocked,重复/参考源行，不作为独立题计入正文；canonical_question_id=Q-2025丰台期末-12; canonical_conclusion=blocked,"12. 【答案】B ===== PAGE 12 ===== 第12页/共18页 【详解】1:要约是希望与他人订立合同的意思表示,承诺是受要约人同意要约的意思表示,承诺到达对 方后,立即发生法律效力。本案中王某购买门票到景区内游玩,双方之间的旅游合同即依法成立,1符合 题意。 23:第一千一百九十八条宾馆、商场、银行、车站、机场、体育场馆、娱乐场所等经营场所、公共场所 的经营者、管理者或者群众性活动"
Q-2025丰台期末-13,S-2025丰台期末,13,选择题,blocked_keep_out,answer_missing,scope pending or boundary row,,同类索引,missing_or_blocked,重复/参考源行，不作为独立题计入正文；canonical_question_id=Q-2025丰台期末-13; canonical_conclusion=blocked,"13. 【答案】C 【详解】1:实施更加积极的财政政策,优化调整税费政策,落实高新技术企业税费优惠,能减轻企业税 收负担,与拓宽企业融资渠道无关,1排除。 2:实施适度宽松的货币政策,适时下调存贷款利率,会降低社会综合融资成本,有利于扩大国内需求, 2正确。 3:实施更加积极的财政政策,合理安排政府投资规模,发挥好带动放大效应,有利于带动社会有效投 资,3正确。 4:增发超长期特别国债,是积极的财"
Q-2025丰台期末-14,S-2025丰台期末,14,选择题,blocked_keep_out,answer_missing,scope pending or boundary row,,同类索引,missing_or_blocked,重复/参考源行，不作为独立题计入正文；canonical_question_id=Q-2025丰台期末-14; canonical_conclusion=blocked,"14. 【答案】C 【详解】1:根据材料中首发经济的含义,可知首发经济强调的是企业发布新产品,推出新业态、新模 式、新服务、新技术,开设首店等经济活动,和“助力企业出海,提振国际经济”没有直接联系,1不 选。 2:首发经济“涵盖了企业从产品或服务的首次发布、首次展出到首次落地开设门店、首次设立研发中 心,再到设立企业总部的链式发展全过程”,所以有利于整合产业链条,推动产业升级,增强市场信心, 2正"
Q-2025丰台期末-15,S-2025丰台期末,15,选择题,blocked_keep_out,answer_missing,scope pending or boundary row,,同类索引,missing_or_blocked,重复/参考源行，不作为独立题计入正文；canonical_question_id=Q-2025丰台期末-15; canonical_conclusion=blocked,"15. 【答案】A 【详解】1:从我国出口高技术产品同比增长的情况可以得出我国出口结构优化,对外开放水平不断提 ===== PAGE 13 ===== 第13页/共18页 高,1符合题意。 2:全球公共产品是指那些具有消费或使用上的非竞争性和受益上的非排他性的产品或服务,它们能够为 全世界的人们共同享受或使用。材料没有涉及我国提供了更多的全球公共物品,2不符合题意。 3:从我国出口的每10 辆汽车"
