"question_id","rubric_atom_id","evidence_type","evidence_level","plain_reward_description","legal_knowledge_or_rule_if_explicit","value_expression_if_explicit","source_locator","uncertainty"
"CC0289_2026_朝阳_二模_18","R_CC0289_2026_朝阳_二模_18_03","marking_rubric","formal","【设问要素】结合材料，《法律与生活》，补充完整。","法律与生活","","F0193:text | F0194:text","heuristic_atom_split_from_text_layer; needs回源核细则原文"
"CC0289_2026_朝阳_二模_18","R_CC0289_2026_朝阳_二模_18_04","marking_rubric","formal","任选其一，谈谈如何，保护权利，8分 【阅卷细则】 第一问：（3分=1+1+1）要求：法律术语准确，变通较少 生命权/身体权/健康权 任选其一——1分 举证责任倒置——1分 相邻的不动产/相邻/相邻关系——1分 第二问：（5分=2+2+1）结构：依据+做法+救济 ●民法典依据——共2分 民法典（1分）明确规定并保护上述人格权益（1分）。","民法典；相邻关系；人格权；生命权；身体权；健康权；举证责任","","F0193:text | F0194:text","heuristic_atom_split_from_text_layer; needs回源核细则原文"
"CC0289_2026_朝阳_二模_18","R_CC0289_2026_朝阳_二模_18_05","marking_rubric","formal","【变通】（采意） 民法典--1分 人格权益/人格权益下位展开--1分 依据平等、公平、守法和公序良俗等民法原则（至少1个原则+民法典）--2分 民事领域/民事关系/民事法律关系+权利与义务相对等／权利行使要有边界--2分 生命权、身体权、健康权是人最基础的权利—1分 隐私是自然人的私人生活安宁和不愿为他人知晓的私密空间、私密活动、私密信息--1分 保护隐私权，是对宪法规定的通信秘密受法律保护、住宅不受侵犯等公民权利的落实--1分 民法典规定了不动产相邻关系的处理规则--2分 民法典规定不动产权利人应当为相邻权利人提供必要的便利，尽量避免对相邻的不动产权利人造成损害--2分 相邻关系是对不动产所有权的限制或延伸—1分 ●民事主体如何做：不得/应当——共2分 任何组织或个人不得侵害他人的生命权、身体权、健康权和隐私权等。","民法典；民事主体；所有权；相邻关系；人格权；生命权；身体权；健康权","公平","F0193:text | F0194:text","heuristic_atom_split_from_text_layer; needs回源核细则原文"
"CC0289_2026_朝阳_二模_18","R_CC0289_2026_朝阳_二模_18_06","marking_rubric","formal","【变通】3选1（生命权、身体权、健康权/隐私权/相邻不动产权利，任选其中一项权利法理阐释--2分） 不得侵害他人的生命权、身体权、健康权/不得刺探、侵扰、泄露、公开他人的隐私—2分 按照有利生产、方便生活、团结互助、公平合理的原则正确处理相邻关系--2分 自己便利行使权利时，应当照顾到相邻方的利益--2分 权利义务相统一—1分（与第一层不重复赋分） 要保护民事权利/合法权利--1分 ●民事权利如何救济——共1分 上述人格权益和权利受到侵害的，权利人可依法请求行为人停止侵害、排除妨碍、消除危险、赔礼道歉等；","相邻关系；人格权；生命权；身体权；健康权；隐私权；停止侵害；消除危险","公平","F0193:text | F0194:text","heuristic_atom_split_from_text_layer; needs回源核细则原文"
"CC0289_2026_朝阳_二模_18","R_CC0289_2026_朝阳_二模_18_07","marking_rubric","formal","造成权利人有所损失和损害的，还可依法请求损害赔偿。","","","F0193:text | F0194:text","heuristic_atom_split_from_text_layer; needs回源核细则原文"
"CC0289_2026_朝阳_二模_18","R_CC0289_2026_朝阳_二模_18_08","marking_rubric","formal","【变通】 通过和解/调解/仲裁/诉讼等途径维权--1分 承担停止侵害/排除妨碍/赔礼道歉/赔偿损失/损害赔偿等侵权责任--1分 （在前两层没赋满分时，该层答出两点可赋2分） 【注意】选择问题一/二/三--不赋分 个人信息--不赋分 错别字--不赋分 答必修3/全面依法治国的基本要求--不赋分 回应问题二，但仅用相邻关系知识，没答隐私权--扣1分","相邻关系；隐私权；侵权责任；停止侵害；赔礼道歉；赔偿损失；和解","","F0193:text | F0194:text","heuristic_atom_split_from_text_layer; needs回源核细则原文"
"CC0353_2026_西城_期末_17","R_CC0353_2026_西城_期末_17_01","teacher_reference_answer","reference_only","17．法院判决B 公司构成不正当竞争并赔偿损失是正确的，因为B 公司的行为违反了《中华 人民共和国反不正当竞争法》和《中华人民共和国未成年人保护法》的相关规定，损害 了T 公司的合法权益和市场竞争秩序，同时危害了未成年人保护机制，应承担相应侵权 责任。法院判决以事实为依据，以法律为准绳，彰显了司法公正，维护了市场竞争秩序 和未成年人合法权益。","反不正当竞争法；赔偿损失","维护；秩序","F0221:page 11","heuristic_atom_split_from_text_layer; needs回源核细则原文"
"CC0364_2026_通州_期末_19_1","R_CC0364_2026_通州_期末_19_1_01","marking_rubric","formal","19（1）细则 一、法理依据3分 依据《中华人民共和国民法典》规定（1分，写按照法律不给分），不动产的相邻权利人应当按照有利生产、方便生活、团结互助、公平合理的原则，正确处理相邻关系。（2分，写应当为相邻方提供便利或不侵害相邻方合法权益给1分）没写出以上内容，写出法院判决以事实为根据，以法律为准绳，给1分，与前面不重复给。 二、事实分析2分 业主角度：2分 范某角度：1分，但不与业主角度重复给分 三、判决意义3分 业主合法权益1分，其他共性意义两点2分（核心观、和谐邻里关系） 四、原卷答案： 法院判决以事实为根据，以法律为准绳。老旧小区加装电梯属民生工程，已获法定比例业主同意，程序合法。电梯采用玻璃幕墙设计，在提升本楼业主出行便利的同时，能尽量减少对相邻楼业主的影响。依据《中华人民共和国民法典》规定，不动产的相邻权利人应当按照有利生产、方便生活、团结互助、公平合理的原则，正确处理相邻关系。本案判决维护了相邻业主合法权益，有助于促进邻里和谐，践行友善的社会主义核心价值观。 [slide 12]","民法典；相邻关系","维护；促进；公平","F0223:slide 11 | F0403:slide 11","heuristic_atom_split_from_text_layer; needs回源核细则原文"
"CC0364_2026_通州_期末_19_1","R_CC0364_2026_通州_期末_19_1_02","marking_rubric","formal","（2）根据材料，判断推理①和②的逻辑正误，并结合《逻辑与思维》知识说明理由。（6分） 推理 | 判断逻辑正误并说明理由","","","F0223:slide 11 | F0403:slide 11","heuristic_atom_split_from_text_layer; needs回源核细则原文"
"CC0364_2026_通州_期末_19_1","R_CC0364_2026_通州_期末_19_1_03","marking_rubric","formal","①如果阻碍加装电梯，就会侵犯相关业主的合法权益。 范某阻碍加装电梯，所以范某侵犯了相关业主的合法权益。 |","","","F0223:slide 11 | F0403:slide 11","heuristic_atom_split_from_text_layer; needs回源核细则原文"
"CC0364_2026_通州_期末_19_1","R_CC0364_2026_通州_期末_19_1_04","marking_rubric","formal","②只有公示期间未收到异议，加装电梯才符合要求。 公示期内未收到异议，所以加装电梯符合要求。 |","","","F0223:slide 11 | F0403:slide 11","heuristic_atom_split_from_text_layer; needs回源核细则原文"
"CC0364_2026_通州_期末_19_1","R_CC0364_2026_通州_期末_19_1_05","marking_rubric","formal","（2）①推理正确。（1分）该推理为充分条件假言推理，遵循“肯定前件，就能肯定后件”的规则。（1分）大前提“如果阻碍加装电梯，就会侵犯相关业主的合法权益”，小前提肯定前件“范某阻碍加装电梯”，结论肯定后件“范某侵犯了相关业主的合法权益”，（1分）推理结构有效。","","","F0223:slide 11 | F0403:slide 11","heuristic_atom_split_from_text_layer; needs回源核细则原文"
"CC0364_2026_通州_期末_19_1","R_CC0364_2026_通州_期末_19_1_06","marking_rubric","formal","②推理错误。（1分）该推理属于必要条件假言推理，遵循“否定前件必否定后件”“肯定后件必肯定前件”的规则。（1分）材料中仅肯定前件“公示期内未收到异议”，就得出肯定后件“加装电梯符合要求”的结论，（1分）是错误的推理结构。（6分） [slide 13] 第一步该推理正确与否：错误|正确（1分） 第二步理由（2分=理论1分+分析材料1分）","","","F0223:slide 11 | F0403:slide 11","heuristic_atom_split_from_text_layer; needs回源核细则原文"
"CC0364_2026_通州_期末_19_1","R_CC0364_2026_通州_期末_19_1_07","marking_rubric","formal","（1）写出充分条件假言推理（1分）或者有效式：肯定前件式/肯前肯后/如果肯定了假言判断的前件，结论就要肯定假言判断的后件（如果否定了假言判断的后件，就要否定前件不给分，因为与材料的逻辑性质无关）（1分）或者无效式：否定前件式/否定前件不能否定后件/否定假言判断的前件，而在结论中肯定假言判断的后件（肯定后件式不给分，因为与材料犯的逻辑错误无关） （1分） +分析材料（1分）","","","F0223:slide 11 | F0403:slide 11","heuristic_atom_split_from_text_layer; needs回源核细则原文"
"CC0364_2026_通州_期末_19_1","R_CC0364_2026_通州_期末_19_1_08","marking_rubric","formal","（2）写出必要条件假言推理（1分）或者有效式：否定前件式/肯定定后件式/否前否后/肯后肯前/如果否定了假言判断的前件，结论就要否定假言判断的后件/如果肯定了假言判断的后件，就要肯定前件（1分）或者无效式：肯定前件式/肯定前件不能肯定后件/肯定假言判断的前件，而在结论中肯定假言判断的后件（否定后件式不给分，因为与材料犯的逻辑错误无关）（1分）+分析材料（1分） [slide 14]","","","F0223:slide 11 | F0403:slide 11","heuristic_atom_split_from_text_layer; needs回源核细则原文"
"CC0162_2025_海淀_一模_18","R_CC0162_2025_海淀_一模_18_M17_01","teacher_reference_answer","reference_only","小黄与主题乐园签订的格式合同意思表示真实，条款符合公平原则，合同有效。","合同；公平原则","公平","F0305:text lines 358-360; no formal scoring source located in F0088/F0307","missing17_correction_atom; formal/reference level follows source audit"
"CC0162_2025_海淀_一模_18","R_CC0162_2025_海淀_一模_18_M17_02","teacher_reference_answer","reference_only","小黄利用审查漏洞不当获利，违反合同约定，违背诚信原则。","合同；诚信原则","","F0305:text lines 358-360; no formal scoring source located in F0088/F0307","missing17_correction_atom; formal/reference level follows source audit"
"CC0162_2025_海淀_一模_18","R_CC0162_2025_海淀_一模_18_M17_03","teacher_reference_answer","reference_only","主题乐园可以根据合同约定采取撤销年卡方式解除合同。","合同","","F0305:text lines 358-360; no formal scoring source located in F0088/F0307","missing17_correction_atom; formal/reference level follows source audit"
"CC0162_2025_海淀_一模_18","R_CC0162_2025_海淀_一模_18_M17_04","teacher_reference_answer","reference_only","法院判决保护主题乐园合法权益，有利于营造公平公正市场环境。","","公平；市场环境；合法权益","F0305:text lines 358-360; no formal scoring source located in F0088/F0307","missing17_correction_atom; formal/reference level follows source audit"
"CC0223_2025_顺义_一模_19","R_CC0223_2025_顺义_一模_19_M17_01","evaluation_standard","formal","案例1解决纠纷方式：法院坚持诉讼调解实现邻里和谐、实质化解纠纷，1分。","调解","和谐","F0097:text lines 46-55; F0314:text Q19","missing17_correction_atom; formal/reference level follows source audit"
"CC0223_2025_顺义_一模_19","R_CC0223_2025_顺义_一模_19_M17_02","evaluation_standard","formal","案例1理由：通道属于建筑物共有部分，应合理限度恰当使用；堆放垃圾杂物影响通行并违反民法典相邻权规定，1分。","","","F0097:text lines 46-55; F0314:text Q19","missing17_correction_atom; formal/reference level follows source audit"
"CC0223_2025_顺义_一模_19","R_CC0223_2025_顺义_一模_19_M17_03","evaluation_standard","formal","案例1要求：相邻各方按有利生产、方便生活、团结互助、公平合理原则正确处理相邻关系，1分。","相邻关系","公平","F0097:text lines 46-55; F0314:text Q19","missing17_correction_atom; formal/reference level follows source audit"
"CC0223_2025_顺义_一模_19","R_CC0223_2025_顺义_一模_19_M17_04","evaluation_standard","formal","材料二价值：民事主体行使权利不得超过正当界限，不得损害国家、社会和他人合法权益。","","合法权益","F0097:text lines 46-55; F0314:text Q19","missing17_correction_atom; formal/reference level follows source audit"
"CC0223_2025_顺义_一模_19","R_CC0223_2025_顺义_一模_19_M17_05","evaluation_standard","formal","价值：选择适当途径解决纠纷，践行文明、和谐等社会主义核心价值观。","","和谐；社会主义核心价值观","F0097:text lines 46-55; F0314:text Q19","missing17_correction_atom; formal/reference level follows source audit"
"CC0223_2025_顺义_一模_19","R_CC0223_2025_顺义_一模_19_M17_06","evaluation_standard","formal","价值：多元纠纷解决机制协调运行，能协调利益、化解社会矛盾、实现社会和谐、提升治理水平。","","和谐","F0097:text lines 46-55; F0314:text Q19","missing17_correction_atom; formal/reference level follows source audit"
"CC0380_2026_顺义_二模_18_2","R_CC0380_2026_顺义_二模_18_2_P01","evaluation_standard","formal","识别开源智能体风险对应的民事权益。","财产权；隐私权；个人信息保护","保护用户权益","F0202:lines 53-55","split_patch_20260519"
"CC0380_2026_顺义_二模_18_2","R_CC0380_2026_顺义_二模_18_2_P02","evaluation_standard","formal","实体规则：人身财产权益保护、隐私权、个人信息处理原则。","民法典；隐私权；个人信息合法正当必要原则","规范智能体治理","F0202:lines 53-55","split_patch_20260519"
"CC0380_2026_顺义_二模_18_2","R_CC0380_2026_顺义_二模_18_2_P03","evaluation_standard","formal","程序救济：协商、调解、仲裁、诉讼。","多元纠纷解决；诉讼/仲裁/调解","实现权利救济","F0202:lines 53-55","split_patch_20260519"
"CC0380_2026_顺义_二模_18_2","R_CC0380_2026_顺义_二模_18_2_P04","evaluation_standard","formal","责任承担：停止侵害、排除妨碍、消除危险、赔礼道歉、损害赔偿。","侵权责任承担方式","保护用户合法权益","F0202:lines 53-55","split_patch_20260519"
