suite,question_no,status,codex_decision,claudecode_decision,codex_terms,claudecode_nodes,codex_note,claudecode_note
2025东城一模,16,claudecode_only_review,,疑似遗漏待对比,,价值观导向-价值判断价值选择/辩证否定-发展/矛盾普遍性与特殊性,,阅卷报告明确4角度各2分；春节/中国年何以生生不息主题；哲学节点含价值观+辩证否定+矛盾普遍特殊
2025东城一模,18,claudecode_only_review,,边界排除:选必三,,-,,辩证思维整体性动态性题属选必三《逻辑与思维》
2025丰台一模,16,claudecode_only_review,,疑似遗漏待对比,,价值判断与价值选择/文化线-民族精神/中华优秀传统文化当代价值,,细则明确6分3角度；新时代家风建设主题；哲学节点以价值判断价值选择为主
2025丰台一模,18,claudecode_only_review,,疑似遗漏待对比 | 边界排除:选必三,,- | 联系-对立统一/发展观/矛盾观/价值观导向,,科学思维追求客观性预见性可检验性属选必三《逻辑与思维》
2025延庆一模,16,claudecode_only_review,,疑似遗漏待对比,,具体问题具体分析-矛盾特殊性/价值观导向/一切从实际出发/上层建筑适合经济基础规律,,细则明确8分；适老化网络文艺创作主题；历史唯物主义上层建筑节点较罕见
2025延庆一模,18,claudecode_only_review,,边界排除:选必三,,-,,运用辩证思维应对低空经济挑战属选必三《逻辑与思维》
2025房山一模,1,codex_only_review,possible_omission_needs_source_review,,主要矛盾 | 发展 | 改革 | 矛盾 | 认识,,共享的治理格局(共商机制/召开70 余次协商会/群策群力……)、 民主协商1 分 角度四：公民角度 /社会角度 1 分 公众自觉保护河流/全民守法 上述点都满的基础上，逻辑分加1 分 18.（15 分） （1）（7 分） 该省政府在创新、绿色的新发展理念的指导下，实施科学的宏观调控，通过财政补贴、税收优惠等 扶持智慧农业；同时充分发挥市场在资源配置中的决定性作用，企业敏锐捕捉农业市场需求，打通 生产与交换环节，利用大数据等先进技术提高农,
2025房山一模,16,claudecode_only_review,,疑似遗漏待对比,,价值观导向/矛盾-一分为二全面看问题(对立统一),,细则明确文化4分+哲学3分；博物馆热文化与科技主题；哲学节点以价值观+矛盾观为主
2025朝阳一模,16,claudecode_only_review,,弱候选待核验,,实践决定认识/社会存在与社会意识/价值创造与实现,,参考答案仅列可用知识无细则；国产动画《长安三万里》中华传统文化新生主题
2025朝阳一模,17,codex_only_review,possible_omission_needs_source_review,,主流 | 部分,,要让人工智能拥有智能载体，还需要具备其他更多条件。1分 此推理违反了相应逻辑规则。  能力要求 分析角度 学生学习 （病象病状病况）（病因：以象求因）（药方1：以因求治） 教师教学 （病因：以象求因）（药方2：以因求方）  ①审析材料： 分层获取解读 翻译替换 问题和原因 翻译材料能力较弱 解读不清晰   改进措施 继续加强材料分析能力 梳理材料逻辑  ②审辨设问： 翻译替换 范围主体角度 结合材料分值,
2025海淀一模,3,codex_only_review,possible_omission_needs_source_review,,发展 | 意识 | 改革 | 整体 | 物质 | 系统 | 辩证法,,了“前提”，也给 2分） 学生问题：1.无法抓住材料的核心要义，没有落脚到外贸取得成就的原因 （投资自由化便利化、产业结构优化调整） 2. 学科观点堆砌（政治多极化、独立自主的和平外交政策、比较 优势等） 3. 缺乏分段意识，通篇逻辑混乱 全面依法治国是一个系统工程。 建设法治中国是系统性工程。法治国家是法治建设的目标，法治政府是法治 建设的主体，法治社会是法治建设的基础。全面推进依法治国，要坚持依法 治国、依法执政、依法行政共同推进，,
2025海淀一模,16,claudecode_only_review,,疑似遗漏待对比,,矛盾分析法/实践与认识关系/价值观,,参考答案明确矛盾分析法+实践与认识+价值观；与Q21系统观念题哲学节点不同
2025海淀一模,21,dual_lane_overlap,possible_omission_needs_source_review,疑似遗漏待对比,主要矛盾 | 发展 | 实践 | 改革 | 整体 | 次要矛盾 | 矛盾 | 系统 | 联系 | 规律 | 辩证法 | 部分,系统观念-联系(整体性关联性)/矛盾主次-全局局部/主次矛盾-特殊一般,是法治建设的目标，法治政府是法治建设的主体，法治 社会是法治建设的基础。全面推进依法治国，要坚持依法治国、依法执政、依法行政共同推进，坚 持法治国家、法治政府、法治社会一体建设。 [page 8] 8 推进中国式现代化是一个系统工程 推进中国式现代化是一个系统工程，需要统筹兼顾、系统谋划、整体推进，正确处理顶层设计 与实践探索、战略与策略、守正与创新、效率与公平、活力与秩序、自立自强与对外开放等一系列 重大关系。 [page 9] 9 ,已回源确认：细则明确系统观念阐释4分+领域运用4分；系统观念作为基础性思想和工作方法主题
2025海淀一模,unknown,codex_only_review,possible_omission_needs_source_review,,发展 | 哲学 | 哲学知识 | 意识 | 认识 | 部分,,path: C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025海淀一模\细则\2025海淀一模细则.docx status: docx-text chars: 1008 ```text 审题：设问---对“测试”认识≠对人“性格”认识； -------“哲学知识”≠“逻辑与思维”； 材料----- 材料意识淡薄，解读不全、解读错误 学生问题：审题有问题，没用《政治与法治》知识，纯,
2025石景山一模,16,claudecode_only_review,,疑似遗漏待对比,,联系观-既往与将来内在联系/发展观/中华文化当代价值,,分项评分细则明确；以不数既往不能知将来为哲学思辨主题；联系/发展为主要哲学节点
2025石景山一模,21,claudecode_only_review,,边界排除:选必三,,-,,科学思维+归纳推理+创新思维属选必三《逻辑与思维》
2025西城一模,16,claudecode_only_review,,疑似遗漏待对比,,实践决定认识(来源动力标准目的)/正确认识促进实践/认识在实践基础上深化,,细则明确哲学3分+文化3分+一致性1分；诗经研学实践与认识关系主题；认识论节点突出
2025西城一模,17,claudecode_only_review,,边界排除:选必三,,-,,追求认识客观性/辩证思维方法/创新思维属选必三《逻辑与思维》
2025门头沟一模,16,claudecode_only_review,,疑似遗漏待对比,,联系观/发展观/对立统一/价值判断与价值选择,,细则明确文化4分+哲学2分；北京文旅数字化转型文化科技融合主题
2025门头沟一模,21,claudecode_only_review,,边界排除:选必三,,-,,门头沟转型科学思维+辩证思维+创新思维属选必三《逻辑与思维》
2025顺义一模,16,claudecode_only_review,,疑似遗漏待对比,,规律与主观能动性/联系观-文化科技联系/发展观-量变质变/矛盾普遍性与特殊性/价值观导向,,细则明确哲学文化双维度；哪吒2/黑悟空/唐宫夜宴古老→新生主题；哲学节点多元含量变质变
2026东城一模,16,claudecode_only_review,,疑似遗漏待对比,,价值观导向/中华民族精神/文化线,,参考答案仅列角度无细则；文艺主题
2026东城一模,unknown,codex_only_review,possible_omission_needs_source_review,,主流 | 主要方面 | 人民群众 | 价值观 | 发展 | 哲学 | 实践 | 意识 | 整体 | 次要方面 | 真理 | 矛盾 | 社会意识 | 系统 | 规律 | 认识 | 部分,,path: C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026东城一模\2026北京东城高三一模政治（教师版）.pdf status: pdf-text chars: 8251 ```text [page 1] 第1页/共10页 2026 北京东城高三一模 政 治 2026.4 本试卷共10 页，共100 分。考试时长90 分钟。考生务必将答案答在答题卡上，在试卷上作 答无效。考,
2026东城二模,16,dual_lane_overlap,new_2026_second_mock_candidate,候选插入,哲学 | 哲学与文化 | 实践 | 认识,实践决定认识/联系系统优化/发展辩证否定/矛盾特殊性/价值观导向/守正创新,非选择题 本部分共6题，共55分。 16．（7分）北京市统筹推进思政课学习场景创新，让思政教育活起来、实起来。 全市各校积极探索创新教学形式，采用探究式、项目式、议题式等多种方法，让理论知识通俗易懂。 东城区依托中轴线、故宫等文化资源，打造“课本里的东城”品牌；海淀区组织科创基地探访；大兴区结合临空经济传递国家战略理念……“实景+任务+探究”模式让学生收获沉浸式学习体验。 思政教育数字化转型不断推进。思政数字地图、云研学、虚拟展馆等平台,细则明确7分哲学题；京彩课堂主题；实践节点+唯物论+辩证法+价值观多节点
2026东城二模,18,claudecode_only_review,,边界排除:选必三,,-,,类比推理属选必三《逻辑与思维》
2026丰台一模,3,codex_only_review,possible_omission_needs_source_review,,发展 | 哲学 | 唯物辩证法 | 实践 | 意识 | 改革 | 整体 | 矛盾 | 系统 | 规律 | 辩证法,,。 等级水平 | 等 级 描 述 水平4 （7-9） | 观点鲜明，能明确表达自己的见解；紧扣问题，综合运用所学知识展开论述；逻辑严密，条理清晰 水平3 （4-6） | 观点比较明确，能表达自己的见解；能扣住问题展开论述，知识运用比较准确；逻辑性较强，有条理 水平2 （1-3） | 观点不明确；论述不能集中指向问题，罗列知识；知识运用不正确；论述缺乏逻辑，条理性差 水平1 （0分） | 应答与试题无关；或重复试题内容；或没有应答 [sl,
2026丰台一模,16,claudecode_only_review,,疑似遗漏待对比,,矛盾对立统一-两点论重点论/联系整体部分/价值观导向/尊重规律-主观能动性/辩证否定,,阅卷说明PPT细则明确；AI主题；base已有丰台一模提及但题级未确认
2026丰台一模,unknown,codex_only_review,possible_omission_needs_source_review,,两点论 | 主流 | 主观能动性 | 价值判断 | 价值观 | 价值选择 | 发展 | 哲学 | 哲学与文化 | 支流 | 整体 | 矛盾 | 联系 | 规律 | 辩证否定 | 部分 | 重点论,,path: C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026丰台一模\26 丰台一模政治(1).pptx status: pptx-text chars: 9910 ```text [slide 1] 丰台区2025-2026学年度 第二学期第一次练习 ——主观题阅卷说明 [slide 2] 一、试题分析 知识板块：哲学与文化 能力板块：解释与论证 [slide 3] 二、评分,
2026丰台二模,1,codex_only_review,new_2026_second_mock_candidate,,哲学 | 哲学与文化 | 实践 | 意识 | 整体 | 矛盾 | 系统 | 联系 | 部分,,水平4 （7-8） | 观点鲜明，能明确表达自己的见解；紧扣问题，综合运用所学知识展开论述；逻辑严密，条理清晰 水平3 （4-6） | 观点比较明确，能表达自己的见解；能扣住问题展开论述，知识运用比较准确；逻辑性较强，有条理 水平2 （1-3） | 观点不明确；论述不能集中指向问题，罗列知识；知识运用不正确；论述缺乏逻辑，条理性差 水平1（0） | 应答与试题无关；或重复试题内容；或没有应答 紧扣“守护湿地”展开。回应两个层次，一是对应,
2026丰台二模,2,codex_only_review,new_2026_second_mock_candidate,,主要矛盾 | 主观能动性 | 发展 | 哲学 | 哲学角度 | 实践 | 意识 | 矛盾 | 系统 | 规律 | 部分,,path: C:\Users\Administrator\Desktop\2026各区模拟题\2026各区二模\2026丰台二模\细则\2026丰台区二模主观题阅卷细则(1).pptx status: pptx-text chars: 12813 ```text [slide 1] 2026丰台区二模主观题阅卷说明 ——思想政治 [slide 2] 文化角度： 1、审美意蕴 2、和合共生、天人合一等传统的生态智慧 哲学角度： 1、矛盾特,
2026丰台二模,3,codex_only_review,new_2026_second_mock_candidate,,两点论 | 主要矛盾 | 主观能动性 | 人民群众 | 价值判断 | 价值观 | 价值选择 | 发展 | 哲学 | 哲学角度 | 唯物辩证法 | 实践 | 意识 | 物质 | 矛盾 | 系统 | 联系 | 规律 | 认识 | 辩证法 | 部分 | 重点论,,战略，开辟发展新领域新赛道，不断塑造发展新动能新优势。 从历史维度来看，关键核心技术“要不来、买不来、讨不来”，缺乏关键核心技术就会落后于人，唯有依靠独立自主、自立更生，才能提升国家综合实力与核心竞争力。 从实践维度看，科技自立自强是推动中国式现代化的重要支撑。要坚持系统思维、辩证思维，完善新型举国体制，发挥集中力量办大事的制度优势。完整准确全面贯彻新发展理念，以科技创新引领产业发展，推进高质量发展与高水平安全。 [slide 64] ,
2026丰台二模,16,dual_lane_overlap,new_2026_second_mock_candidate,候选插入,价值观 | 发展 | 哲学 | 哲学与文化 | 联系,矛盾特殊性-具体问题具体分析/尊重规律-主观能动性/联系系统优化/发展观/对立统一/价值观导向,秀作答 逻辑完整，路径清晰 [slide 11] 优秀作答 8分 [slide 12] 1、引导学生审读设问和材料逻辑，紧扣问题回应。 2、训练哲学原理的精准化表达，理论结合分析，加强材料关键信息的提取能力。 3、提醒区分哲学方法论与选必3模块思维方法的表达。 四、学生问题及建议 [slide 13] （2022·北京·高考真题） 16. （6分）今天，很多创作已不在纸上进行。然而，打印出来的文字，很难像手稿那样展现作者的笔底波澜。手稿,细则明确7分5角度；守护湿地主题
2026丰台二模,21,codex_only_review,new_2026_second_mock_candidate,,发展 | 唯物辩证法 | 实践 | 整体 | 矛盾 | 辩证法,,"的思维活动。 创新思维的特征：思路新、方法新和结果新。 联想——迁移、想象 发散——不同的角度、不同的方向 聚合——集中、围绕轴心。 发散思维与聚合思维——反复地“发散-聚合-发散-聚合” 二、变通答案 [slide 48] 21.(6分) 该区立足实践or创新思维的含义or”三新”特征(单纯只写创新思维不给分）+材料2分(知识1分+材料分析1分) 运用联想思维(迁移和想象的方法),+材料。2分(知识1分+材料分析1分) 运用发散思维与",
2026丰台二模,unknown,codex_only_review,new_2026_second_mock_candidate,,发展 | 哲学 | 哲学与文化 | 实践 | 改革 | 整体 | 矛盾 | 系统 | 联系 | 规律 | 认识 | 部分 | 量变,,path: C:\Users\Administrator\Desktop\2026各区模拟题\2026各区二模\2026丰台二模\细则\高三政治答案.docx status: docx-text chars: 1617 ```text 丰台区2025-2026学年度第二学期第二次练习 高三思想政治 参考答案 第一部分 选择题（共45分） 第二部分 非选择题（共55分） 16.（8分） 可从联系观、发展观、价值观、弘扬中华优秀传统文化等角,
2026延庆一模,16,claudecode_only_review,,待核验,,发展观/矛盾对立统一/辩证否定/联系/文化线(传承创新),,永定河古渠主题；无正式阅卷细则
2026房山一模,16,claudecode_only_review,,疑似遗漏待对比,,矛盾普遍性与特殊性统一/一切从实际出发/尊重规律-主观能动性/联系观,,Codex A标注为强候选；房山产业发展主题
2026房山一模,unknown,codex_only_review,possible_omission_needs_source_review,,主观能动性 | 发展 | 改革 | 整体 | 物质 | 矛盾 | 系统 | 联系 | 规律 | 辩证法,,中高端供给粮食安全→维护国家粮食安全提供有力支撑 ♣2分 【消费】培育文化新业态新模式，以新供给创造新需求，激发消费潜力/推动文化产业供给侧结构性改革→满足人民美好生活需要/实现共享发展 16（2） 评分细则 可从矛盾普遍性和特殊性的统一、一切从实际出发、联系的观点等角度作答。 细则 等级赋分 矛盾普遍性和特殊性的统一、一切从实际出发、尊重客观规律、发挥主观能动性、联系等 ♣1-2分 单纯知识，无论述 ♣3-4分 一点深入论述，或2点论,
2026房山二模,16,claudecode_only_review,,候选插入,,尊重规律-主观能动性/系统观念-矛盾对立统一/价值观导向-量变质变/中华文明连续性创新性,,细则明确8分4点；工匠精神主题
2026房山二模,18,claudecode_only_review,,候选插入,,辩证否定(联系和发展的环节)-扬弃,,细则明确5分；否定→扬弃→肯定与改造；OPC流程主题
2026朝阳一模,3,codex_only_review,possible_omission_needs_source_review,,主要矛盾 | 价值观 | 发展 | 哲学 | 矛盾 | 联系 | 辩证否定,,用 B. 古朴呈现出自然的格调，表明意识可以指导人们改造世界 C. 深厚古朴的书法风格的形成需要超时空把握感性而非理性 D. 高古表现为形式简淡、时间悠远、精神孤高，这不可能成为现实 3. 非遗变脸与机械武术同台演绎，自制旋转木马讲解力学原理，机器人乐队、科普实验轮番亮相⋯⋯某地 以春节科普活动为契机，实现“科普+文化”“科普+非遗”相融合，让观众在感受年味的同时，轻松读懂 传统文化背后的科学密码。这体现出（ ） ①春节成为全民科学素养,
2026朝阳一模,16,claudecode_only_review,,疑似遗漏待对比,,尊重规律-主观能动性/联系-系统优化/对立统一/实践与认识关系/文化自信,,中国农历智慧主题；Codex A定位为Q17；探索agent定位为Q16；需回源确认
2026朝阳一模,17,codex_only_review,possible_omission_needs_source_review,,人民群众 | 发展 | 哲学 | 哲学知识 | 实践 | 改革,,太阳运行周期为依据，一年约365 天；阴历以月相变化周期为依据，一年约354 天。 中国农历属于阴阳合历，阴阳合历将阴历与阳历有机结合。以太阳运行的回归年定年，以月亮运行的 朔望月定月，通过“十九年七闰”协调年月长度差异，兼顾日月运行规律。中国农历独创二十四节气，将 天文的精确性与物候的生命性完美结合，以指导农业生产，用数九、三伏反映寒暑变化，对人们的社会生 活产生重要影响，至今在我国沿用两千多年。 结合材料，运用《哲学与文化》知识，分,
2026朝阳一模,unknown,codex_only_review,possible_omission_needs_source_review,,哲学 | 哲学与文化 | 部分,,path: C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026朝阳一模\2026北京朝阳高三一模政治（教师版）.pdf status: pdf-text chars: 14304 ```text [page 1] 第1页/共13页 2026 北京朝阳高三一模 政 治 2026.4 （考试时间90 分钟 满分100 分） 第一部分 本部分共15 题，每题3 分，共45 分。在每题列,
2026朝阳二模,7,codex_only_review,new_2026_second_mock_candidate,,发展 | 整体 | 次要矛盾 | 矛盾,,力 C．未来产业没有高质量发展，不是缘于监管过严，就是缘于完全放任自流 D．有些具有显著战略性、引领性、颠覆性和不确定性的前瞻性产业不是非未来产业 7．某中学创客社团的学生，将脑电波技术、人工智能与传统轮椅相结合，历时四年研发出智能智慧轮椅。该产品实现脑电操控，具备障碍提醒、跌倒报警、安全防护等功能，切实解决行动不便者的生活难题，入选全球十大科普创新成果。下列说法正确的是 A．历时四年持续改进，关注技术发展的过程，体现了创新思维的动态性,
2026朝阳二模,16,dual_lane_overlap,new_2026_second_mock_candidate,候选插入,价值观 | 发展 | 哲学 | 哲学角度 | 矛盾 | 联系 | 部分,对立统一/辩证否定-发展观/具体问题具体分析/价值观导向作用,path: C:\Users\Administrator\Desktop\2026各区模拟题\2026各区二模\2026朝阳二模\细则\202605朝阳高三政治二模阅卷细则(1).docx status: docx-text chars: 5348 ```text 北京市朝阳区2025-2026学年度第二学期二模质量监测 高三思想政治主观题阅卷细则 16.结合材料，从哲学角度，说明在城市文化建设中如何实现历史传承与现代创新的有机结合。（,细则明确8分4维度；城市文化建设历史传承与现代创新主题
2026朝阳二模,21,claudecode_only_review,,候选插入,,系统观念(整体性关联性协同性)/量变质变,,细则明确系统思维+量变质变+必答党的领导；五篇大文章主题
2026海淀一模,16,claudecode_only_review,,待核验,,发展的观点/社会存在与社会意识/价值观导向/文化功能,,参考答案仅列角度；试卷PDF 0字节
2026海淀二模,4,codex_only_review,new_2026_second_mock_candidate,,主要方面 | 主要矛盾 | 矛盾 | 联系 | 部分,,墨梅这一独特的美学符号 A．是在思维具体中描摹了梅花的整体表象 B．由梅的特性隐喻人格之美，运用了类比推理方法 C．表明人们能够创造出自然界并不存在的艺术形象 D．在艺术创作实践中深化了对梅花自然属性的真理性认识 4．深圳湾公园是全球候鸟迁飞通道上的重要“补给站”和“中转站”。为防止干扰鸟类昼夜节律，该公园将园内部分道路灯光调暗，在主要出入口保留基础照明设施。对此，有市民认为“公园亮灯是城市文明的体现，调暗灯光为生态让路也是城市文明的体,
2026海淀二模,16,dual_lane_overlap,new_2026_second_mock_candidate,弱候选待核验,哲学 | 哲学角度 | 实践 | 系统 | 联系 | 认识,联系/实践与认识,多边主义的坚定步伐 ②作为亚太地区最具影响力的经济合作机制，APEC已成为区域合作的重要平台 ③APEC成员承担强制性的条约义务，共同促进地区繁荣发展 ④中国积极承办APEC会议，把同亚太国家友好合作作为外交政策宗旨 A．①② B．①③ C．②④ D．③④ 第二部分 本部分共6题，共55分。 16．（8分） 立身百行，以学为先。青年正处于成长成才的关键阶段，更应勤学善思、笃行不怠，既要多读“有字之书”，也要读“无字之书”。“有字之书”承,细则PDF被内部资料水印全覆盖(0字节)；仅教师版可读；有字之书+无字之书主题
2026海淀二模,21,claudecode_only_review,,弱候选待核验,,矛盾的观点/辩证思维,,参考答案仅说可从矛盾/辩证思维作答；细则缺失；统筹方法主题
2026石景山一模,17,claudecode_only_review,,疑似遗漏待对比,,对立统一-阴阳平衡/具体问题具体分析-矛盾特殊性/系统思维-联系/发展观,,中医药文化主题；细则明确8分
2026石景山二模,3,codex_only_review,new_2026_second_mock_candidate,,发展 | 改革 | 辩证法,,动态抗战英雄人物、重要抗战场景。作品通过“破纸重生”工艺生动展现抗战历史，引导人们铭记历史，珍爱和平。据此，下列理解正确的是 ①立体抗战剪纸是对传统剪纸中合理因素的辩证否定 ②剪纸作品承载并传递着以爱国主义为核心的民族精神 ③剪纸作品是根据抗战纪念需要建立起的人为事物的联系 ④艺术性与思想性的对立属性寓于剪纸作品的统一属性中 A．①③ B．①④ C．②③ D．②④ 3．“致广大而尽精微”语出《中庸》，意思是：既要致力于达到广博深厚的境界,
2026石景山二模,17,conflict_boundary_vs_candidate,new_2026_second_mock_candidate,弱候选待核验 | 边界排除:选必三,发展 | 哲学 | 哲学角度 | 实践 | 改革 | 矛盾 | 系统 | 联系 | 认识 | 辩证否定,- | 联系/矛盾/实践与认识, 水平2 观点不明确；论述不能集中指向问题，罗列知识；知识运用不正确；论述缺乏逻辑，条理性差 1~2分  水平1 应答与试题无关；或重复试题内容；或没有应答 0分  示例：本次立法实践看，最大的难点在于如何将长期以来“多元参与”的原则性表述，转化为主体明确、划分清晰的责任体系。这就要求运用辨证分合方法，针对不同主体的不同功能进行分析（2分）；再把不同主体责任统一成“权责清晰、衔接有序的保障网络”（2分）；分析是综合的,《逻辑与思维》辩证思维方法节点，非必修四
2026石景山二模,20,claudecode_only_review,,非核心哲学不作候选,,系统观(参考角度之一),,设问包含制度优势/高质量发展/文化强国/系统观；哲学仅为可选角度非主体
2026西城一模,7,codex_only_review,weak_hit_review_or_exclude,,主要方面 | 发展 | 实践 | 矛盾,,．应立足龙头企业这一关键部分，更好推动创新应用产业化发展 B．在推动产品不断迭代升级中，实现新事物与旧事物的相互转化 C．要善于把握寓于共性中的个性，推动技术从单一领域向众多行业辐射 D．通过建立多样的联系形式，满足多元需求，促进价值转化 7．“手搓”原指手工劳作，现指个人或小型团队不依赖专业生产线、庞大资金和复杂团队，凭借个人巧思与手工，辅以AI、开源社区等工具，将创意转化为实际产品的创新形式。它让每个普通人都能更简单、更自由地把想法,
2026西城一模,16,claudecode_only_review,,疑似遗漏待对比,,意识能动性-正确意识促进作用/联系观/发展观/价值观导向/文化功能,,全民阅读主题；综合类题含哲学与文化双模块
2026西城一模,21,claudecode_only_review,,疑似遗漏待对比,,实践观/矛盾观/发展观/尊重规律-主观能动性,,中国式现代化坚持探索主题；10分综合哲学题
2026西城二模,16,dual_lane_overlap,new_2026_second_mock_candidate,弱候选待核验,哲学 | 哲学与文化 | 实践 | 矛盾 | 认识,矛盾普遍性与特殊性/实践,C．②④ D．③④ 第二部分 本部分共5题，共55分。 16．（6分） 近年来，以“Becoming Chinese”为标签的网络热潮在海内外社交平台持续发酵。“Becoming Chinese”直译为“成为中国人”，但并非指国籍变更，而是全球青年主动体验、模仿并认同中式生活方式的表现。他们自发体验喝热水、练八段锦、节气起居与和睦共居的日常，在烟火气中感受中华文明崇尚和谐、顺应自然、身心兼顾的独特智慧。这些内容以朴素自然的方式在海外社交,评标PDF 0字节；教师版可读；中式生活方式全球共鸣主题
2026通州一模,unknown,claudecode_only_review,,缺证据OCR失败,,-,,试卷+评标均0字节；无法判断哲学题；Q17(2)若含辩证思维应为选必三边界
2026门头沟一模,16,claudecode_only_review,,疑似遗漏待对比,,发展观/矛盾对立统一/辩证否定-扬弃/联系/文化线(传承创新-双创),,沉睡文物变活态遗产主题；Codex A标注为强候选
2026顺义一模,21,claudecode_only_review,,疑似遗漏待对比,,尊重规律-主观能动性/主次矛盾-两点论重点论/价值观-人民群众历史作用,,审势乘势驭势主题；10分综合题
2026顺义一模,unknown,codex_only_review,possible_omission_needs_source_review,,主要方面 | 人民群众 | 价值判断 | 价值观 | 价值选择 | 发展 | 哲学 | 哲学与文化 | 实践 | 意识 | 整体 | 矛盾 | 系统 | 联系 | 规律 | 认识 | 质变 | 部分,,\2026年顺义一模 细则.pptx status: pptx-text chars: 4227 ```text [slide 1] 2026年顺义一模考试题 1 | 2 | 3 | 4 | 5 B | C | C | A | D 6 | 7 | 8 | 9 | 10 A | D | A | B | B 11 | 12 | 13 | 14 | 15 D | B | C | D | C [slide 2] 分值 | 标准 | 层次 | 可,
2026顺义二模,11,codex_only_review,new_2026_second_mock_candidate,,两点论 | 主流 | 人民群众 | 价值判断 | 价值观 | 价值选择 | 发展 | 守正创新 | 实践 | 意识 | 矛盾 | 社会存在 | 社会意识 | 规律 | 认识 | 部分 | 重点论,,\2026顺义二模\26顺义二模评标.doc status: word-com-doc-text chars: 6577 ```text 顺义区2026年高三统一测试参考答案（2026.5） 思想政治 第一部分 本部分共15题，每题3分，共45分。 1.D 2.D 3.C 4.B 5.B 6.C 7.B 8.A 9.C 10.A 11.D 12.B 13. A 14.A 15.C 第二部分 （8分）可从实践观点、人民主体、价值观、矛盾观,
2026顺义二模,16,claudecode_only_review,,弱候选待核验,,实践决定认识-人民主体/价值观导向/矛盾观/中华优秀传统文化,,试卷PDF 0字节；评标doc可读；新大众文艺主题
