line,action,detail
17,remove_duplicate_qid_comment_in_entry,<!-- question_id: Q-2025海淀二模-20; phase12_decision: body_now; source_pool: phase11B_fallback_for_missing_body_now -->
1349,remove_duplicate_qid_comment_in_entry,<!-- question_id: Q-2025丰台期末-10; phase12_decision: body_after_repair; source_pool: phase12_batch_repair -->
1375,remove_duplicate_qid_comment_in_entry,<!-- question_id: Q-2026顺义一模-3; phase12_decision: body_after_repair; source_pool: phase12_batch_repair -->
1389,remove_duplicate_qid_comment_in_entry,<!-- question_id: Q-2026顺义一模-4; phase12_decision: body_after_repair; source_pool: phase12_batch_repair -->
1409,remove_duplicate_qid_comment_in_entry,<!-- question_id: Q-2026顺义一模-5; phase12_decision: body_after_repair; source_pool: phase12_batch_repair -->
1429,remove_duplicate_qid_comment_in_entry,<!-- question_id: Q-2026顺义一模-6; phase12_decision: body_after_repair; source_pool: phase12_batch_repair -->
1449,remove_duplicate_qid_comment_in_entry,<!-- question_id: Q-2026通州期末-5; phase12_decision: body_after_repair; source_pool: phase12_batch_repair -->
1463,remove_duplicate_qid_comment_in_entry,<!-- question_id: Q-2026通州期末-8; phase12_decision: body_after_repair; source_pool: phase12_batch_repair -->
1477,remove_duplicate_qid_comment_in_entry,<!-- question_id: Q-2026通州期末-9; phase12_decision: body_after_repair; source_pool: phase12_batch_repair -->
1497,remove_duplicate_qid_comment_in_entry,<!-- question_id: Q-2026通州期末-11; phase12_decision: body_after_repair; source_pool: phase12_batch_repair -->
1517,remove_duplicate_qid_comment_in_entry,<!-- question_id: Q-2025顺义一模-5; phase12_decision: body_after_repair; source_pool: phase12_batch_repair -->
1537,remove_duplicate_qid_comment_in_entry,<!-- question_id: Q-2025顺义一模-6; phase12_decision: body_after_repair; source_pool: phase12_batch_repair -->
1551,remove_duplicate_qid_comment_in_entry,<!-- question_id: Q-2025顺义一模-7; phase12_decision: body_now; source_pool: phase11D_combined29 -->
