suite,year,phase,source_dir,file_count,paper_files,rubric_files,answer_files,cache_hits,accepted_base_mentions,base_status,next_action
2026通州一模,2026,一模,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026通州一模,2,0,1,0,0,0,base_name_not_found_needs_question_audit,question_level_audit_required
2026门头沟一模,2026,一模,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026门头沟一模,4,2,2,1,2,9,base_mentions_found,question_level_audit_required
2026顺义一模,2026,一模,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026顺义一模,4,0,2,0,2,10,base_mentions_found,question_level_audit_required
2026东城二模,2026,二模,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区二模\2026东城二模,8,1,4,0,0,0,base_name_not_found_needs_question_audit,question_level_audit_required
2026丰台二模,2026,二模,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区二模\2026丰台二模,3,1,1,1,0,0,base_name_not_found_needs_question_audit,question_level_audit_required
2026房山二模,2026,二模,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区二模\2026房山二模,3,1,2,0,0,0,base_name_not_found_needs_question_audit,question_level_audit_required
2026朝阳二模,2026,二模,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区二模\2026朝阳二模,2,1,1,0,0,0,base_name_not_found_needs_question_audit,question_level_audit_required
2026海淀二模,2026,二模,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区二模\2026海淀二模,2,1,1,0,0,0,base_name_not_found_needs_question_audit,question_level_audit_required
2026石景山二模,2026,二模,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区二模\2026石景山二模,2,1,1,1,0,0,base_name_not_found_needs_question_audit,question_level_audit_required
2026西城二模,2026,二模,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区二模\2026西城二模,2,1,1,0,0,0,base_name_not_found_needs_question_audit,question_level_audit_required
2026顺义二模,2026,二模,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区二模\2026顺义二模,2,0,1,0,0,0,base_name_not_found_needs_question_audit,question_level_audit_required
