suite,path,suffix,status,chars
2025朝阳一模,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025朝阳一模\其他材料\20250329高3阅卷总结19题 合同欺诈  阐释论证.doc,.doc,word-com-doc-text,2849
2025朝阳一模,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025朝阳一模\其他材料\高三政治一模试卷讲评.pptx,.pptx,"failed-XMLSyntaxError: Namespace prefix w for pos on tab is not defined, line 1, column 1202 (<string>, line 1)",0
2025朝阳一模,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025朝阳一模\细则\2025朝阳一模细则.pdf,.pdf,pdf-text,0
2025朝阳一模,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025朝阳一模\试卷\2025北京朝阳高三一模政治（教师版）.pdf,.pdf,pdf-text,9994
2025海淀一模,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025海淀一模\其他材料\EDU_1500334100000021014_61af1789-0742-472d-86cd-e6cb420b0ecb.pdf,.pdf,pdf-text,2877
2025海淀一模,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025海淀一模\细则\2025海淀一模细则.docx,.docx,docx-text,1008
2025海淀一模,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025海淀一模\试卷\2025北京海淀高三一模政治（教师版）.pdf,.pdf,pdf-text,9273
2025石景山一模,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025石景山一模\细则\2025石景山一模细则.doc,.doc,word-com-doc-text,2960
2025石景山一模,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025石景山一模\试卷\2025北京石景山高三一模政治（教师版）.pdf,.pdf,pdf-text,10475
2025西城一模,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025西城一模\细则\2025西城一模细则.docx,.docx,docx-text,4127
2025西城一模,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025西城一模\试卷\2025北京西城高三一模政治（教师版）.pdf,.pdf,pdf-text,9881
2025门头沟一模,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025门头沟一模\细则\2025门头沟一模细则.doc,.doc,word-com-doc-text,3430
2025门头沟一模,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025门头沟一模\试卷\2025北京门头沟高三一模政治（教师版）.pdf,.pdf,pdf-text,10343
2025顺义一模,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025顺义一模\细则\2025顺义一模细则.docx,.docx,docx-text,3840
2025顺义一模,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025顺义一模\试卷\2025北京顺义高三一模政治（教师版）.pdf,.pdf,pdf-text,19107
2026东城一模,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026东城一模\2026东城一模 原卷扫描版.pdf,.pdf,pdf-text,0
2026东城一模,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026东城一模\2026北京东城高三一模政治（教师版）.pdf,.pdf,pdf-text,8251
2026东城一模,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026东城一模\26东城一模细则.pdf,.pdf,pdf-text,5660
2026东城一模,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026东城一模\东城一模细则.pdf,.pdf,pdf-text,0
2026东城一模,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026东城一模\东城一模评标细则（勿传）\16.pptx,.pptx,pptx-text,1880
2026东城一模,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026东城一模\东城一模评标细则（勿传）\17.pptx,.pptx,pptx-text,1269
2026东城一模,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026东城一模\东城一模评标细则（勿传）\18+选择7、13.pptx,.pptx,pptx-text,1324
2026东城一模,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026东城一模\东城一模评标细则（勿传）\19（1）.pptx,.pptx,pptx-text,132
2026东城一模,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026东城一模\东城一模评标细则（勿传）\19（2）.pptx,.pptx,pptx-text,1338
2026东城一模,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026东城一模\东城一模评标细则（勿传）\19（3）.pptx,.pptx,pptx-text,1189
2026东城一模,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026东城一模\东城一模评标细则（勿传）\19（4）.pptx,.pptx,pptx-text,1135
2026东城一模,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026东城一模\东城一模评标细则（勿传）\20.pptx,.pptx,pptx-text,921
2026东城一模,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026东城一模\其他材料\26东城一模细则.pdf,.pdf,pdf-text,5660
2026东城一模,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026东城一模\其他材料\东城一模细则.pdf,.pdf,pdf-text,0
2026东城一模,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026东城一模\细则\2026东城一模细则\16.pptx,.pptx,pptx-text,1880
2026东城一模,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026东城一模\细则\2026东城一模细则\17.pptx,.pptx,pptx-text,1269
2026东城一模,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026东城一模\细则\2026东城一模细则\18+选择7、13.pptx,.pptx,pptx-text,1324
2026东城一模,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026东城一模\细则\2026东城一模细则\19（1）.pptx,.pptx,pptx-text,132
2026东城一模,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026东城一模\细则\2026东城一模细则\19（2）.pptx,.pptx,pptx-text,1338
2026东城一模,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026东城一模\细则\2026东城一模细则\19（3）.pptx,.pptx,pptx-text,1189
2026东城一模,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026东城一模\细则\2026东城一模细则\19（4）.pptx,.pptx,pptx-text,1135
2026东城一模,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026东城一模\细则\2026东城一模细则\20.pptx,.pptx,pptx-text,921
2026东城一模,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026东城一模\试卷\2026东城一模 原卷扫描版.pdf,.pdf,pdf-text,0
2026东城一模,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026东城一模\试卷\2026北京东城高三一模政治（教师版）.pdf,.pdf,pdf-text,8251
2026丰台一模,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026丰台一模\26 丰台一模政治(1).pptx,.pptx,pptx-text,9910
2026丰台一模,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026丰台一模\丰台一模.pdf,.pdf,pdf-text,0
2026丰台一模,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026丰台一模\细则\2026丰台一模细则.pptx,.pptx,pptx-text,9910
2026丰台一模,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026丰台一模\试卷\丰台一模.pdf,.pdf,pdf-text,0
2026延庆一模,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026延庆一模\2026北京延庆高三一模政治（教师版）.pdf,.pdf,pdf-text,9860
2026延庆一模,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026延庆一模\26 延庆一模评标.docx,.docx,docx-text,2562
2026延庆一模,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026延庆一模\细则\2026延庆一模细则.docx,.docx,docx-text,2562
2026延庆一模,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026延庆一模\试卷\2026北京延庆高三一模政治（教师版）.pdf,.pdf,pdf-text,9860
2026房山一模,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026房山一模\2026北京房山高三一模政治.pdf,.pdf,pdf-text,0
2026房山一模,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026房山一模\26 房山一模评标 全.docx,.docx,docx-text,3668
2026房山一模,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026房山一模\细则\2026房山一模细则.docx,.docx,docx-text,3668
2026房山一模,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026房山一模\试卷\2026北京房山高三一模政治.pdf,.pdf,pdf-text,0
2026朝阳一模,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026朝阳一模\2026北京朝阳高三一模政治（教师版）.pdf,.pdf,pdf-text,14304
2026朝阳一模,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026朝阳一模\其他材料\chat_file_1040g3c831um895dphu105n2bsq04dit0lj2bojo_202604朝阳高三政治一模阅卷细则(1).docx,.docx,docx-text,4703
2026朝阳一模,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026朝阳一模\朝阳高三政治一模阅卷细则.docx,.docx,docx-text,4703
2026朝阳一模,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026朝阳一模\细则\2026朝阳一模细则.docx,.docx,docx-text,4703
2026朝阳一模,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026朝阳一模\试卷\2026北京朝阳高三一模政治（教师版）.pdf,.pdf,pdf-text,14304
2026海淀一模,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026海淀一模\2026海淀一模 试卷扫描版_去水印.pdf,.pdf,pdf-text,0
2026海淀一模,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026海淀一模\26海淀一模政治评分标准.pdf,.pdf,pdf-text,2170
2026海淀一模,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026海淀一模\细则\2026海淀一模细则.pdf,.pdf,pdf-text,2170
2026海淀一模,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026海淀一模\试卷\2026海淀一模 试卷扫描版_去水印.pdf,.pdf,pdf-text,0
2026石景山一模,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026石景山一模\2026北京石景山高三一模政治（教师版）.pdf,.pdf,pdf-text,10104
2026石景山一模,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026石景山一模\2026石景山区高三一模评分细则.doc,.doc,word-com-doc-text,3028
2026石景山一模,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026石景山一模\细则\2026石景山一模细则.doc,.doc,word-com-doc-text,3028
2026石景山一模,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026石景山一模\试卷\2026北京石景山高三一模政治（教师版）.pdf,.pdf,pdf-text,10104
2026西城一模,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026西城一模\2026北京西城高三一模政治.pdf,.pdf,pdf-text,0
2026西城一模,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026西城一模\细则\2026西城一模细则.docx,.docx,docx-text,2594
2026西城一模,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026西城一模\试卷\2026北京西城高三一模政治.pdf,.pdf,pdf-text,0
2026西城一模,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026西城一模\试卷\高三统一测试思想政治试卷.docx,.docx,docx-text,6188
2026西城一模,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026西城一模\高三一模阅卷细则26.04(1).docx,.docx,docx-text,2594
2026西城一模,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026西城一模\高三统一测试思想政治试卷.docx,.docx,docx-text,6188
2026通州一模,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026通州一模\2026北京通州高三一模政治.pdf,.pdf,pdf-text,0
2026通州一模,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026通州一模\26 通州一模评标.pdf,.pdf,pdf-text,4747
2026门头沟一模,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026门头沟一模\细则\2026门头沟一模细则.docx,.docx,docx-text,4936
2026门头沟一模,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026门头沟一模\试卷\门头沟区高三政治一模试卷.pdf,.pdf,pdf-text,8611
2026门头沟一模,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026门头沟一模\门头沟区高三政治一模试卷.pdf,.pdf,pdf-text,8611
2026门头沟一模,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026门头沟一模\门头沟高三政治一模参考答案及评标细则新.docx,.docx,docx-text,4936
2026顺义一模,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026顺义一模\2026年顺义一模  细则.pptx,.pptx,pptx-text,4227
2026顺义一模,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026顺义一模\2026顺义一模.pdf,.pdf,pdf-text,8989
2026顺义一模,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026顺义一模\细则\2026顺义一模细则.pptx,.pptx,pptx-text,4227
2026顺义一模,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026顺义一模\试卷\2026顺义一模.pdf,.pdf,pdf-text,8989
2026东城二模,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区二模\2026东城二模\细则\16.pdf,.pdf,pdf-text,1506
2026东城二模,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区二模\2026东城二模\细则\17题评标.pdf,.pdf,pdf-text,1183
2026东城二模,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区二模\2026东城二模\细则\18题阅卷细则(5.9).pdf,.pdf,pdf-text,985
2026东城二模,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区二模\2026东城二模\细则\20题（1+2）.pdf,.pdf,pdf-text,654
2026东城二模,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区二模\2026东城二模\细则\26年东城二模20（3）.pdf,.pdf,pdf-text,1145
2026东城二模,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区二模\2026东城二模\细则\东城二模 19题阅卷细则.pdf,.pdf,pdf-text,523
2026东城二模,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区二模\2026东城二模\细则\二模21题细则模版.pdf,.pdf,pdf-text,1278
2026东城二模,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区二模\2026东城二模\试卷\2026北京东城高三二模政治（教师版）.docx,.docx,docx-text,7325
2026丰台二模,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区二模\2026丰台二模\细则\2026丰台区二模主观题阅卷细则(1).pptx,.pptx,pptx-text,12813
2026丰台二模,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区二模\2026丰台二模\细则\高三政治答案.docx,.docx,docx-text,1617
2026丰台二模,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区二模\2026丰台二模\试卷\2026北京丰台高三二模政治（教师版）.pdf,.pdf,pdf-text,9646
2026房山二模,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区二模\2026房山二模\细则\26房山评标(2).docx,.docx,docx-text,4179
2026房山二模,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区二模\2026房山二模\细则\26房山评标.docx,.docx,docx-text,4179
2026房山二模,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区二模\2026房山二模\试卷\2026北京房山高三二模政治（教师版）.pdf,.pdf,pdf-text,3706
2026朝阳二模,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区二模\2026朝阳二模\细则\202605朝阳高三政治二模阅卷细则(1).docx,.docx,docx-text,5348
2026朝阳二模,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区二模\2026朝阳二模\试卷\2026北京朝阳高三二模政治（教师版）.docx,.docx,docx-text,14995
2026海淀二模,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区二模\2026海淀二模\细则\26海淀高三政治二模讲评.pdf,.pdf,pdf-text,6046
2026海淀二模,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区二模\2026海淀二模\试卷\2026北京海淀高三二模政治（教师版）.docx,.docx,docx-text,10240
2026石景山二模,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区二模\2026石景山二模\细则\石景山区高三政治第二次模拟考试答案评分细则(1).doc,.doc,word-com-doc-text,2895
2026石景山二模,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区二模\2026石景山二模\试卷\2026北京石景山高三二模政治（教师版）.docx,.docx,docx-text,9070
2026西城二模,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区二模\2026西城二模\细则\西城二模评标.pdf,.pdf,pdf-text,0
2026西城二模,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区二模\2026西城二模\试卷\2026北京西城高三二模政治（教师版）.docx,.docx,docx-text,8165
2026顺义二模,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区二模\2026顺义二模\26顺义二模(1).pdf,.pdf,pdf-text,0
2026顺义二模,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区二模\2026顺义二模\26顺义二模评标.doc,.doc,word-com-doc-text,6577
