title,source_section,framework_part,framework_node,sub_node,tag,included_as,reason
2024 朝阳期中第11题,选择题,推理题型框架,推理题型框架,三段论结构题,易混选择题,易混选择题,关系判断；假言推理；三段论；矛盾律
2025 顺义一模第7题,选择题,推理题型框架,推理题型框架,三段论结构题,易混选择题,易混选择题,三段论周延规则； 真实错误=大项不当扩大； A项误称小项不当扩大； 谬误名称纠错
2025 海淀二模第13题,选择题,推理题型框架,推理题型框架,不相容选言推理,易混选择题,易混选择题,三段论有效式；概念外延关系辨析；相容/不相容选言区分
2025 西城二模第16题第(2)问,主观题,推理题型框架,推理题型框架,充分条件假言推理,可正用例,模拟题正例,充分条件假言推理；肯定后件无效
2026 东城期末第17题第(2)问,主观题,推理题型框架,推理题型框架,充分条件假言推理,可正用例,模拟题正例,主张2；肯定后件误推
2024 朝阳一模第20题第(1)问,主观题,推理题型框架,推理题型框架,充分条件假言推理,可正用例,模拟题正例,充分条件假言推理；否定后件式
2026 通州期末第19题第(2)问,主观题,推理题型框架,推理题型框架,充分条件假言推理,可正用例,模拟题正例,推理1充分条件肯定前件有效
2025 顺义一模第17题第(1)问,选择题,推理题型框架,推理题型框架,充分条件假言推理,可正用例,模拟题正例,充分条件假言+必要条件假言+相容选言判断
2026 东城期末第7题,选择题,推理题型框架,推理题型框架,充分条件假言推理,易混选择题,易混选择题,假言推理；充分条件+复合命题真值表
2026 丰台一模第8题,选择题,推理题型框架,推理题型框架,充分条件假言推理,易混选择题,易混选择题,P→Q；否定后件可否前；肯定后件无效；限制换位链条
2025 东城期末第15题,选择题,推理题型框架,推理题型框架,充分条件假言推理,易混选择题,易混选择题,假言推理；充分条件+联言+选言
2025 丰台期末第9题,选择题,推理题型框架,推理题型框架,充分条件假言推理,易混选择题,易混选择题,联言推理；选言推理；假言推理；充分条件
2024 朝阳期中第18题,主观题,推理题型框架,推理题型框架,归纳推理,可正用例,模拟题正例,不完全归纳推理(楚王)+类比推理(晏子)
2025 西城二模第7题,选择题,推理题型框架,推理题型框架,归纳推理,易混选择题,易混选择题,求异法；归纳结论或然
2024 西城一模第11题,选择题,推理题型框架,推理题型框架,归纳推理,易混选择题,易混选择题,完全归纳推理：枚举全部对象推出全称结论
2026 朝阳期中第14题,选择题,推理题型框架,推理题型框架,归纳推理,易混选择题,易混选择题,不完全归纳推理→结论或然性
2024 朝阳二模第7题,选择题,推理题型框架,推理题型框架,归纳推理,易混选择题,易混选择题,B项归纳结论确定性夸大
2024 朝阳期中第9题,选择题,推理题型框架,推理题型框架,归纳推理,易混选择题,易混选择题,归纳推理；共变法
2025 丰台期末第10题,选择题,推理题型框架,推理题型框架,归纳推理,易混选择题,易混选择题,归纳推理+演绎推理+思维抽象具体+类比推理
2026 顺义一模第4题,选择题,推理题型框架,推理题型框架,归纳推理,易混选择题,易混选择题,类比推理+完全归纳推理+定义方法
2024 朝阳一模第20题第(2)问,主观题,推理题型框架,推理题型框架,必要条件假言推理,可正用例,模拟题正例,必要条件假言推理；肯定后件式
2026 丰台一模第18题第(2)问,主观题,推理题型框架,推理题型框架,必要条件假言推理,可正用例,模拟题正例,甲；必要条件假言推理；肯定后件式
2025 丰台期末第18题第(1)问,主观题,推理题型框架,推理题型框架,必要条件假言推理,可正用例,模拟题正例,必要条件假言判断+联言判断及保真条件
2026 通州期末第19题第(2)问,主观题,推理题型框架,推理题型框架,必要条件假言推理,可正用例,模拟题正例,推理2必要条件仅肯定前件不能肯定后件
2025 顺义一模第17题第(1)问,选择题,推理题型框架,推理题型框架,必要条件假言推理,可正用例,模拟题正例,充分条件假言+必要条件假言+相容选言判断
2026 东城期末第6题,选择题,推理题型框架,推理题型框架,必要条件假言推理,易混选择题,易混选择题,假言推理；必要条件；前提补充
2024 朝阳二模第7题,选择题,推理题型框架,推理题型框架,必要条件假言推理,易混选择题,易混选择题,C项必要条件误用
2024 朝阳期中第8题,选择题,推理题型框架,推理题型框架,必要条件假言推理,易混选择题,易混选择题,假言推理；必要条件+联言推理
2024 西城一模第19题第(2)问,主观题,推理题型框架,推理题型框架,概念外延关系,可正用例,模拟题正例,定义结构=被定义项+联结词+种差+邻近属
2024 西城一模第19题第(3)问,主观题,推理题型框架,推理题型框架,概念外延关系,可正用例,模拟题正例,概念外延关系(相容/属种)
2025 海淀二模第13题,选择题,推理题型框架,推理题型框架,概念外延关系,易混选择题,易混选择题,三段论有效式；概念外延关系辨析；相容/不相容选言区分
2024 海淀二模第6题,选择题,推理题型框架,推理题型框架,概念外延关系,易混选择题,易混选择题,概念外延关系+换位推理
2025 东城期末第14题,选择题,推理题型框架,推理题型框架,概念外延关系,易混选择题,易混选择题,概念外延关系+周延判断+关系判断
2024 朝阳二模第6题,选择题,推理题型框架,推理题型框架,概念外延关系,易混选择题,易混选择题,概念外延关系+哲学渐进性飞跃性
2026 丰台一模第9题,选择题,推理题型框架,推理题型框架,概念外延关系,易混选择题,易混选择题,"外延关系看范围；联言判断看""兼""/""同时断定"""
2026 顺义一模第4题,选择题,推理题型框架,推理题型框架,概念外延关系,易混选择题,易混选择题,类比推理+完全归纳推理+定义方法
2025 顺义一模第6题,选择题,推理题型框架,推理题型框架,概念外延关系,易混选择题,易混选择题,概念主项+联言判断+概念划分+关系判断对称性
2025 西城二模第7题,选择题,推理题型框架,推理题型框架,演绎推理与前提真实性,易混选择题,易混选择题,演绎强度比较；结构正确还要前提真实
2025 顺义一模第17题第(1)问,选择题,推理题型框架,推理题型框架,相容选言推理,可正用例,模拟题正例,充分条件假言+必要条件假言+相容选言判断
2025 海淀期末第8题,选择题,推理题型框架,推理题型框架,相容选言推理,易混选择题,易混选择题,选言推理；不相容+相容选言关系
2025 东城期末第15题,选择题,推理题型框架,推理题型框架,相容选言推理,易混选择题,易混选择题,假言推理；充分条件+联言+选言
2026 朝阳期中第12题,选择题,推理题型框架,推理题型框架,相容选言推理,易混选择题,易混选择题,相容选言判断；分类规则；矛盾律
2025 丰台期末第9题,选择题,推理题型框架,推理题型框架,相容选言推理,易混选择题,易混选择题,联言推理；选言推理；假言推理；充分条件
2024 朝阳二模第19题第(1)问,主观题,推理题型框架,推理题型框架,类比推理,可正用例,模拟题正例,辩证思维动态性+类比推理
2024 朝阳期中第18题,主观题,推理题型框架,推理题型框架,类比推理,可正用例,模拟题正例,不完全归纳推理(楚王)+类比推理(晏子)
2025 西城二模第7题,选择题,推理题型框架,推理题型框架,类比推理,易混选择题,易混选择题,类比可信度低于演绎与求异法
2026 朝阳期中第13题,选择题,推理题型框架,推理题型框架,类比推理,易混选择题,易混选择题,联想思维/类比推理/感性具体边界
2025 丰台期末第10题,选择题,推理题型框架,推理题型框架,类比推理,易混选择题,易混选择题,归纳推理+演绎推理+思维抽象具体+类比推理
2026 顺义一模第4题,选择题,推理题型框架,推理题型框架,类比推理,易混选择题,易混选择题,类比推理+完全归纳推理+定义方法
2026 东城期末第17题第(2)问,主观题,推理题型框架,推理题型框架,联言判断与联言推理,可正用例,模拟题正例,主张1；联言支不能同真
2024 朝阳二模第19题第(2)问,主观题,推理题型框架,推理题型框架,联言判断与联言推理,可正用例,模拟题正例,联言判断及其保真条件
2025 丰台期末第18题第(1)问,主观题,推理题型框架,推理题型框架,联言判断与联言推理,可正用例,模拟题正例,必要条件假言判断+联言判断及保真条件
2025 东城期末第15题,选择题,推理题型框架,推理题型框架,联言判断与联言推理,易混选择题,易混选择题,假言推理；充分条件+联言+选言
2026 朝阳期中第15题,选择题,推理题型框架,推理题型框架,联言判断与联言推理,易混选择题,易混选择题,联言判断否定一个联言支即否定整个判断
2024 朝阳期中第8题,选择题,推理题型框架,推理题型框架,联言判断与联言推理,易混选择题,易混选择题,假言推理；必要条件+联言推理
2026 丰台一模第9题,选择题,推理题型框架,推理题型框架,联言判断与联言推理,易混选择题,易混选择题,"外延关系看范围；联言判断看""兼""/""同时断定"""
2025 丰台期末第9题,选择题,推理题型框架,推理题型框架,联言判断与联言推理,易混选择题,易混选择题,联言推理；选言推理；假言推理；充分条件
2025 顺义一模第5题,选择题,推理题型框架,推理题型框架,联言判断与联言推理,易混选择题,易混选择题,联言判断；矛盾命题
2025 顺义一模第6题,选择题,推理题型框架,推理题型框架,联言判断与联言推理,易混选择题,易混选择题,概念主项+联言判断+概念划分+关系判断对称性
2026 东城期末第17题第(2)问,主观题,推理题型框架,推理题型框架,逻辑三律,可正用例,模拟题正例,主张1；矛盾律；联言判断
2026 朝阳期中第12题,选择题,推理题型框架,推理题型框架,逻辑三律,易混选择题,易混选择题,相容选言判断；分类规则；矛盾律
2024 朝阳期中第11题,选择题,推理题型框架,推理题型框架,逻辑三律,易混选择题,易混选择题,关系判断；假言推理；三段论；矛盾律
2025 西城二模第16题第(3)问,主观题,兜底补挂,暂未稳定归入框架的题,只供复查,相关检索,相关检索,原 clean body 有条目，但双索引未挂载；保留供 Codex 复查。
2025 海淀期末第2题,选择题,兜底补挂,暂未稳定归入框架的题,只供复查,相关检索,相关检索,原 clean body 有条目，但双索引未挂载；保留供 Codex 复查。
2025 西城二模第6题,选择题,兜底补挂,暂未稳定归入框架的题,只供复查,相关检索,相关检索,原 clean body 有条目，但双索引未挂载；保留供 Codex 复查。
2025 东城期末第5题,选择题,兜底补挂,暂未稳定归入框架的题,只供复查,相关检索,相关检索,原 clean body 有条目，但双索引未挂载；保留供 Codex 复查。
2024 朝阳一模第6题,选择题,兜底补挂,暂未稳定归入框架的题,只供复查,相关检索,相关检索,原 clean body 有条目，但双索引未挂载；保留供 Codex 复查。
2024 朝阳一模第9题,选择题,兜底补挂,暂未稳定归入框架的题,只供复查,相关检索,相关检索,原 clean body 有条目，但双索引未挂载；保留供 Codex 复查。
2026 丰台一模第4题,选择题,兜底补挂,暂未稳定归入框架的题,只供复查,相关检索,相关检索,原 clean body 有条目，但双索引未挂载；保留供 Codex 复查。
2026 丰台一模第7题,选择题,兜底补挂,暂未稳定归入框架的题,只供复查,相关检索,相关检索,原 clean body 有条目，但双索引未挂载；保留供 Codex 复查。
2025 丰台期末第8题,选择题,兜底补挂,暂未稳定归入框架的题,只供复查,相关检索,相关检索,原 clean body 有条目，但双索引未挂载；保留供 Codex 复查。
2026 通州期末第10题,选择题,兜底补挂,暂未稳定归入框架的题,只供复查,相关检索,相关检索,原 clean body 有条目，但双索引未挂载；保留供 Codex 复查。
2026 顺义一模第3题,选择题,兜底补挂,暂未稳定归入框架的题,只供复查,相关检索,相关检索,原 clean body 有条目，但双索引未挂载；保留供 Codex 复查。
2026 顺义一模第6题,选择题,兜底补挂,暂未稳定归入框架的题,只供复查,相关检索,相关检索,原 clean body 有条目，但双索引未挂载；保留供 Codex 复查。
2026 通州期末第5题,选择题,兜底补挂,暂未稳定归入框架的题,只供复查,相关检索,相关检索,原 clean body 有条目，但双索引未挂载；保留供 Codex 复查。
2026 通州期末第8题,选择题,兜底补挂,暂未稳定归入框架的题,只供复查,相关检索,相关检索,原 clean body 有条目，但双索引未挂载；保留供 Codex 复查。
