ask_atom_id,question_id,ask_text,ask_function_plain,module_requirement,requires_material_connection,requires_value_discussion,requires_behavior_evaluation,requires_solution_or_measure,student_task_plain,source_locator
A_CC0077_2025_东城_一模_19_01,CC0077_2025_东城_一模_19,,不确定,法律与生活(默认),uncertain,yes,uncertain,no,从材料与法律证据中判断作答任务,F0073:page 4 | F0074:page 5 | F0074:page 8 | F0292:page 4
A_CC0084_2025_东城_二模_19_01,CC0084_2025_东城_二模_19,,不确定,法律与生活(默认),uncertain,yes,uncertain,no,从材料与法律证据中判断作答任务,F0100:page 3 | F0101:page 5 | F0101:page 7 | F0317:page 3
A_CC0092_2025_东城_期末_19_1_01,CC0092_2025_东城_期末_19_1,,不确定,法律与生活(默认),uncertain,uncertain,uncertain,no,从材料与法律证据中判断作答任务,F0128:page 11 | F0129:slide 11 | F0129:slide 12 | F0338:page 11
A_CC0103_2025_丰台_一模_19_01,CC0103_2025_丰台_一模_19,结合材料，运用法治相关知识，分析本案作为人民法院保护科技创新典型案例的意义。,意义,法律与生活(默认),yes,yes,uncertain,no,结合材料，运用法治相关知识，分析本案作为人民法院保护科技创新典型案例的意义。,F0075:text | F0076:page 10 | F0076:page 7 | F0294:text
A_CC0119_2025_丰台_期末_19_01,CC0119_2025_丰台_期末_19,"运用《法律与生活》相关知识阐释法院的裁判理由”→可分析法院裁判对构建合理健康的
劳动关系的意义。",论证,法律与生活,uncertain,yes,uncertain,no,"运用《法律与生活》相关知识阐释法院的裁判理由”→可分析法院裁判对构建合理健康的
劳动关系的意义。",F0132:page 16 | F0132:page 7
A_CC0125_2025_延庆_一模_19_01,CC0125_2025_延庆_一模_19,"运用《法律与生活》知识，说明你会如何进行调解并说
明理由。",原因,法律与生活,uncertain,uncertain,uncertain,yes,"运用《法律与生活》知识，说明你会如何进行调解并说
明理由。",F0078:page 7 | F0078:page 9
A_CC0131_2025_房山_一模_19_01,CC0131_2025_房山_一模_19,,不确定,不确定,uncertain,yes,uncertain,no,从材料与法律证据中判断作答任务,F0080:page 3 | F0081:page 14 | F0081:page 6 | F0298:page 3
A_CC0137_2025_昌平_二模_20_01,CC0137_2025_昌平_二模_20,运用《法律与生活》知识，完成裁判理由。,原因,法律与生活,uncertain,uncertain,uncertain,no,运用《法律与生活》知识，完成裁判理由。,F0115:slide 12 | F0116:page 10 | F0116:page 6 | F0328:slide 12
A_CC0143_2025_朝阳_一模_19_01,CC0143_2025_朝阳_一模_19,结合材料，运用《法律与生活》知识，说明人民法院支持王某的诉讼请求的理由。,原因,法律与生活,yes,uncertain,yes,no,结合材料，运用《法律与生活》知识，说明人民法院支持王某的诉讼请求的理由。,F0086:text | F0087:page 6 | F0087:page 9 | F0301:text
A_CC0150_2025_朝阳_二模_20_01,CC0150_2025_朝阳_二模_20,"结合材料,运用《法律与生活》知识,分析上述案例。",说明,法律与生活,yes,uncertain,uncertain,no,"结合材料,运用《法律与生活》知识,分析上述案例。",F0117:text | F0119:page 6 | F0119:page 9
A_CC0157_2025_朝阳_期末_20_01,CC0157_2025_朝阳_期末_20,,不确定,法律与生活(默认),uncertain,uncertain,uncertain,no,从材料与法律证据中判断作答任务,F0135:page 6 | F0135:page 9
A_CC0162_2025_海淀_一模_18_01,CC0162_2025_海淀_一模_18,运用《法律与生活》知识，谈谈对本案判决的认识。,综合,法律与生活,uncertain,uncertain,yes,no,运用《法律与生活》知识，谈谈对本案判决的认识。,F0089:page 2 | F0090:page 5 | F0090:page 8
A_CC0180_2025_海淀_期末_20_01,CC0180_2025_海淀_期末_20,,不确定,法律与生活(默认),uncertain,yes,uncertain,no,从材料与法律证据中判断作答任务,F0139:text
A_CC0181_2025_海淀_期末_21_01,CC0181_2025_海淀_期末_21,结合材料，运用《法律与生活》知识，说明法律规定“竞业限制”并对其加以限制的原因。,原因,法律与生活,yes,uncertain,uncertain,no,结合材料，运用《法律与生活》知识，说明法律规定“竞业限制”并对其加以限制的原因。,F0139:text
A_CC0189_2025_石景山_一模_20_01,CC0189_2025_石景山_一模_20,,不确定,法律与生活(默认),uncertain,yes,uncertain,no,从材料与法律证据中判断作答任务,F0091:text | F0092:page 11 | F0092:page 8 | F0309:text
A_CC0195_2025_西城_一模_20_01,CC0195_2025_西城_一模_20,,不确定,不确定,uncertain,yes,uncertain,no,从材料与法律证据中判断作答任务,F0093:text | F0094:page 10 | F0094:page 7 | F0311:text
A_CC0200_2025_西城_二模_18_01,CC0200_2025_西城_二模_18,结合材料，运用《法律与生活》的知识，分析人民法院的判决结果。,说明,法律与生活,yes,uncertain,uncertain,no,结合材料，运用《法律与生活》的知识，分析人民法院的判决结果。,F0124:text | F0125:page 6 | F0125:page 9 | F0337:text
A_CC0206_2025_西城_期末_19_01,CC0206_2025_西城_期末_19,运用法律知识分析法院的判决。,说明,法律与生活(默认),uncertain,uncertain,uncertain,no,运用法律知识分析法院的判决。,F0140:page 3 | F0141:page 6 | F0141:page 9 | F0351:page 3
A_CC0213_2025_门头沟_一模_20_01,CC0213_2025_门头沟_一模_20,,不确定,法律与生活(默认),uncertain,yes,uncertain,no,从材料与法律证据中判断作答任务,F0096:page 10 | F0096:page 7
A_CC0214_2025_门头沟_一模_20_2_01,CC0214_2025_门头沟_一模_20_2,,不确定,法律与生活(默认),uncertain,uncertain,uncertain,no,从材料与法律证据中判断作答任务,F0095:text | F0313:text
A_CC0223_2025_顺义_一模_19_01,CC0223_2025_顺义_一模_19,"运用法治知识，设问指向是阐释定分止争的价值，运用
《法律与生活》的知识进行说明。",论证,法律与生活(默认),uncertain,yes,uncertain,no,"运用法治知识，设问指向是阐释定分止争的价值，运用
《法律与生活》的知识进行说明。",F0098:page 16 | F0098:page 6
A_CC0229_2026_东城_一模_18_01,CC0229_2026_东城_一模_18,结合材料，运用《法律与生活》知识，谈谈法院是如何以司法之力守护“向新力”的。,综合,法律与生活,yes,uncertain,uncertain,yes,结合材料，运用《法律与生活》知识，谈谈法院是如何以司法之力守护“向新力”的。,F0153:page 7 | F0155:page 6 | F0155:page 9 | F0356:page 7
A_CC0238_2026_东城_二模_19_01,CC0238_2026_东城_二模_19,结合材料，运用《法律与生活》知识，评析乙公司和张某的行为。,评析,法律与生活,yes,yes,yes,no,结合材料，运用《法律与生活》知识，评析乙公司和张某的行为。,F0186:text
A_CC0244_2026_东城_期中_18_01,CC0244_2026_东城_期中_18,运用《法律与生活》知识，分析本案涉及的法律责任及法律依据。,说明,法律与生活,uncertain,uncertain,uncertain,no,运用《法律与生活》知识，分析本案涉及的法律责任及法律依据。,F0205:slide 49 | F0205:slide 55 | F0206:page 6 | F0206:page 8
A_CC0245_2026_东城_期中_18_2_01,CC0245_2026_东城_期中_18_2,,不确定,法律与生活(默认),uncertain,uncertain,uncertain,no,从材料与法律证据中判断作答任务,F0205:slide 56
A_CC0251_2026_丰台_一模_20_01,CC0251_2026_丰台_一模_20,"运用所学知识展开论述；逻辑严密，条理清晰
水平3 | 观点比较明确，能表达自己的见解；能扣住观点展开论述，知识运用比较准确；逻辑性较强，有条理
水平2 | 观点不明确；论述不能集中指向问题，罗列知识；知识运用不正确；论述缺乏逻辑，条理性差
水平1 | 应答与试题无关；或重复试题内容；或没有应答",综合,法律与生活(默认),uncertain,yes,uncertain,no,"运用所学知识展开论述；逻辑严密，条理清晰
水平3 | 观点比较明确，能表达自己的见解；能扣住观点展开论述，知识运用比较准确；逻辑性较强，有条理
水平2 | 观点不明确；论述不能集中指向问题，罗列知识；知识运用不正确；论述缺乏逻辑，条理性差
水平1 | 应答与试题无关；或重复试题内容；或没有应答",F0156:slide 51
A_CC0254_2026_丰台_二模_18_01,CC0254_2026_丰台_二模_18,运用《法律与生活》知识，谈谈你对这句话的理解。,综合,法律与生活,uncertain,yes,uncertain,no,运用《法律与生活》知识，谈谈你对这句话的理解。,F0187:slide 29
A_CC0276_2026_房山_二模_17_01,CC0276_2026_房山_二模_17,,不确定,法律与生活(默认),uncertain,yes,uncertain,no,从材料与法律证据中判断作答任务,F0189:text | F0190:text | F0191:page 10
A_CC0277_2026_房山_二模_18_01,CC0277_2026_房山_二模_18,,不确定,法律与生活(默认),uncertain,uncertain,uncertain,no,从材料与法律证据中判断作答任务,F0189:text | F0190:text | F0191:page 10
A_CC0283_2026_朝阳_一模_18_01,CC0283_2026_朝阳_一模_18,"运用纠纷的多元解决方式的知识，从调解的作用角度分析，说明人民法院坚持调解优先，减少了诉讼对
创新的干扰。",说明,法律与生活(默认),uncertain,yes,uncertain,no,"运用纠纷的多元解决方式的知识，从调解的作用角度分析，说明人民法院坚持调解优先，减少了诉讼对
创新的干扰。",F0162:text | F0163:page 11 | F0163:page 6 | F0373:text
A_CC0289_2026_朝阳_二模_18_01,CC0289_2026_朝阳_二模_18,结合材料，《法律与生活》，补充完整。,综合,法律与生活(默认),yes,yes,uncertain,no,结合材料，《法律与生活》，补充完整。,F0193:text | F0194:text
A_CC0311_2026_海淀_二模_18_01,CC0311_2026_海淀_二模_18,,不确定,法律与生活(默认),uncertain,yes,uncertain,no,从材料与法律证据中判断作答任务,F0197:text
A_CC0317_2026_海淀_期中_18_01,CC0317_2026_海淀_期中_18,,不确定,法律与生活(默认),uncertain,yes,uncertain,no,从材料与法律证据中判断作答任务,F0215:text | F0216:page 2 | F0217:page 10 | F0396:page 2
A_CC0318_2026_海淀_期中_18_2_01,CC0318_2026_海淀_期中_18_2,,不确定,法律与生活(默认),uncertain,yes,uncertain,no,从材料与法律证据中判断作答任务,F0216:page 2 | F0396:page 2
A_CC0319_2026_海淀_期中_19_01,CC0319_2026_海淀_期中_19,,不确定,法律与生活(默认),uncertain,yes,uncertain,no,从材料与法律证据中判断作答任务,F0215:text | F0216:page 3 | F0217:page 10 | F0396:page 3
A_CC0325_2026_石景山_一模_18_01,CC0325_2026_石景山_一模_18,,不确定,法律与生活(默认),uncertain,yes,uncertain,no,从材料与法律证据中判断作答任务,F0167:text | F0168:page 6 | F0168:page 9 | F0377:text
A_CC0332_2026_石景山_二模_19_01,CC0332_2026_石景山_二模_19,结合材料，运用《法律与生活》知识，谈谈对未成年人校园欺凌违法行为“惩”“教”并行的认识。,综合,法律与生活,yes,uncertain,yes,no,结合材料，运用《法律与生活》知识，谈谈对未成年人校园欺凌违法行为“惩”“教”并行的认识。,F0198:text | F0199:text
A_CC0340_2026_西城_一模_17_01,CC0340_2026_西城_一模_17,结合材料，运用法律相关知识，说明民法典物权编的上述规定如何推动国家绿色发展。,说明,法律与生活(默认),yes,yes,uncertain,yes,结合材料，运用法律相关知识，说明民法典物权编的上述规定如何推动国家绿色发展。,F0169:text | F0171:text | F0379:text | F0380:text
A_CC0353_2026_西城_期中_17_01,CC0353_2026_西城_期中_17,,不确定,法律与生活(默认),uncertain,yes,uncertain,no,从材料与法律证据中判断作答任务,F0221:page 11
A_CC0364_2026_通州_期中_19_1_01,CC0364_2026_通州_期中_19_1,根据材料，判断推理①和②的逻辑正误，并结合《逻辑与思维》知识说明理由。,原因,法律与生活(默认),uncertain,yes,yes,no,根据材料，判断推理①和②的逻辑正误，并结合《逻辑与思维》知识说明理由。,F0223:slide 11 | F0403:slide 11
A_CC0305_2026_海淀_一模_18_3_P01,CC0305_2026_海淀_一模_18_3,判断是否支持原告诉讼请求，并说明隐私权、消费者知情权、虚假宣传/欺诈、侵权责任和惩罚性赔偿等依据。,评析,《法律与生活》,yes,no,yes,no,先表态支持，再分隐私权侵权和消费者欺诈两层说明。,F0165:lines 87-96
A_CC0373_2026_顺义_一模_18_P01,CC0373_2026_顺义_一模_18,结合材料，运用《法律与生活》知识，闫某和张某的诉求能否得到法院的支持，并说明理由。,评析,《法律与生活》,yes,no,yes,no,分别对闫某和张某表态，再用劳动平等就业和竞业限制规则说明。,F0177:lines 302-327 | F0176:lines 35-47
A_CC0380_2026_顺义_二模_18_2_P01,CC0380_2026_顺义_二模_18_2,从选必2《法律与生活》角度分析开源智能体可能侵害的权益及救济路径。,综合,《法律与生活》/综合边界,yes,yes,no,yes,识别财产权、隐私权、个人信息利益，再写协商调解仲裁诉讼和民事责任。,F0202:lines 53-55
A_RECOVER_2024_顺义_二模_17_01,RECOVER_2024_顺义_二模_17,结合材料，运用所学知识，说明我国财产制度改革如何助力经济社会发展。,说明,未明示；法律与生活/经济价值综合,yes,yes,no,no,把财产制度/财产权保护转化为经济社会发展作用说明。,F0069:lines 112-113
A_RECOVER_2025_海淀_二模_18_01,RECOVER_2025_海淀_二模_18,运用法治知识，将笔记中划线处补充完整。,综合,法治知识；实质为知识产权法、程序法,yes,yes,yes,no,根据庭审情境、商标法规则、证据和判决逻辑补全法律词和旁听收获。,F0123:rendered page_006 | F0121:lines 4-16
A_RECOVER_2026_通州_一模_20_01,RECOVER_2026_通州_一模_20,阅读材料，完成下表。,综合,民法典/侵权责任规则,yes,yes,yes,no,依据民法典自甘风险与安全保障义务规则，补出裁判理由及意义。,F0173:rendered page_008 | F0172:lines 215-228
