entry_id,title,question_source_id,rubric_source_id,evidence_type,pending_reason
E035,2025 · 西城 · 二模 · 第18题,SRC_62207119d5_试卷,SRC_7e4a722d6d_细则,rubric_or_marking,
E036,2025 · 门头沟 · 一模 · 第20题,SRC_41b9c310be_试卷,SRC_70713581c0_细则,rubric_or_marking,
E037,2025 · 顺义 · 一模 · 第19题第1问,SRC_54c5e688c0_试卷,SRC_6087ed5408_细则,rubric_or_marking,
E038,2025 · 顺义 · 一模 · 第19题第2问,SRC_54c5e688c0_试卷,SRC_6087ed5408_细则,rubric_or_marking,
E039,2026 · 东城 · 期末 · 第18题第1问,SRC_9aba5c7460_试卷,SRC_88c6e8f353_细则,rubric_or_marking,
E040,2026 · 东城 · 期末 · 第18题第2问,SRC_9aba5c7460_试卷,SRC_88c6e8f353_细则,rubric_or_marking,
E041,2026 · 东城 · 一模 · 第18题,SRC_0fca4fc462_试卷,SRC_1475504e2b_细则,rubric_or_marking,
E042,2026 · 东城 · 二模 · 第19题,SRC_70c77fb621_2026北京东城高三二模政治_教师版,SRC_d50df4acd2_东城二模_19题阅卷细则,rubric_or_marking,
E043,2026 · 丰台 · 一模 · 第20题,SRC_31e84e4e2e_试卷,SRC_44f3b42c2c_细则,rubric_or_marking,
E044,2026 · 延庆 · 一模 · 第18题第1问,SRC_944b03f9c3_试卷,SRC_5bf6b73871_细则,rubric_or_marking,
E045,2026 · 房山 · 一模 · 第17题第1问,SRC_0e98e571e5_试卷,SRC_7301f6d3c6_细则,rubric_or_marking,
E046,2026 · 房山 · 一模 · 第17题第2问【待确认】,SRC_0e98e571e5_试卷,SRC_7301f6d3c6_细则,rubric_or_marking,设问写“法治知识”且涉及最高法典型案例，需人工复核是否归入选必二或政治与法治。
E047,2026 · 朝阳 · 期末 · 第18题第1问,SRC_0056d930a7_试卷,SRC_e80d35a6d9_细则,rubric_or_marking,
E048,2026 · 朝阳 · 一模 · 第18题,SRC_fd08ca4014_试卷,SRC_ebbe85a1ee_细则,rubric_or_marking,
E049,2026 · 朝阳 · 二模 · 第18题,SRC_4590a5ea6a_2026北京朝阳高三二模政治_教师版,SRC_e2f89cd231_202605朝阳高三政治二模阅卷细则_1,rubric_or_marking,
E050,2026 · 海淀 · 一模 · 第18题第3问,SRC_184e191a3d_试卷,SRC_14176e949d_细则,rubric_or_marking,
E051,2026 · 海淀 · 二模 · 第18题第2问,SRC_829ff10080_2026北京海淀高三二模政治_教师版,SRC_c5e4363802_26海淀高三政治二模讲评,rubric_or_marking,
E052,2026 · 石景山 · 一模 · 第18题,SRC_b46dba82c3_试卷,SRC_2b459ae738_细则,rubric_or_marking,举证责任题涉及刑事/行政/民事三类诉讼，是否全部归入选必二诉讼知识需人工复核。
E053,2026 · 石景山 · 二模 · 第19题,SRC_ee19d27f24_2026北京石景山高三二模政治_教师版,SRC_af7cc47eab_石景山区高三政治第二次模拟考试答案评分细则_1,rubric_or_marking,校园欺凌违法行为可能跨刑法/治安管理与法律生活，需人工复核模块边界。
E054,2026 · 西城 · 一模 · 第17题,SRC_5447227f61_试卷,SRC_e28c940953_细则,rubric_or_marking,民法典物权编与绿色发展结合，需人工复核是否全题归入选必二。
E055,2026 · 西城 · 二模 · 第18题第1问,SRC_c5ed8aa7ef_2026北京西城高三二模政治_教师版,SRC_ccb1c36568_西城二模评标,rubric_or_marking,
E056,2026 · 西城 · 二模 · 第18题第2问【待确认】,SRC_c5ed8aa7ef_2026北京西城高三二模政治_教师版,SRC_ccb1c36568_西城二模评标,rubric_or_marking,权责边界、法治营商环境与产业发展交叉，需人工复核是否全归入选必二。
E057,2026 · 西城 · 二模 · 第18题第3问【待确认】,SRC_c5ed8aa7ef_2026北京西城高三二模政治_教师版,SRC_ccb1c36568_西城二模评标,rubric_or_marking,法治与国家治理能力现代化交叉，需人工复核是否归入选必二或政治与法治。
E058,2026 · 通州 · 期末 · 第19题第1问,SRC_b66cc2d358_试卷,SRC_35ef942428_细则,rubric_or_marking,
E059,2026 · 通州 · 一模 · 第20题,SRC_6d42889503_2026北京通州高三一模政治,SRC_3d8f4b7bd1_26_通州一模评标,rubric_or_marking,
E060,2026 · 门头沟 · 一模 · 第18题第1问,SRC_e34a259c77_试卷,SRC_f6e59c8eee_细则,rubric_or_marking,
