cluster_id,cluster_key,question_count,question_ids,decision,same_min_judgment,same_material_to_law,same_full_score_sentence,code_relation,evidence_enough,risk_summary,counterexample
PC11,说明::FWV1_N02+FWV1_N03+FWV1_N04,2,RECOVER_2026_西城_二模_18_1|RECOVER_2026_西城_二模_18_3,SPLIT: revise_004_006 (RECOVER_2026_西城_二模_18_1 侵权四步) + revise_002 (RECOVER_2026_西城_二模_18_3 治理意义),no — 两题指向不同设问,no,no,分别 revise 004/006 与 002,no for new code,"RECOVER_*_18_3 必修三化高（""国家治理能力现代化""易跑题）",AI/数字技术题不可统一套同一 code
PC12,论证::FWV1_N02+FWV1_N03+FWV1_N06,1,CC0019_2024_朝阳_一模_19,REVISE 002 (CC0019 诚信原则三向作用),yes — 但仅一题,yes,yes,"revise CODE_COWORK_002 加入""基本原则作为答题对象""分支；与 CC0011/CC0054/CC0125/CC0223 联动",single question; relies on联动 questions,必修三化中（诚信易跑到法治社会）,CC0019 atom 单一未切分，需谨慎
PC13,综合::FWV1_N02+FWV1_N04+FWV1_N06,1,CC0061_2024_西城_一模_18,SOURCE_CHECK (CC0061 综合多小题；评分细则需切到独立赋分单元),no — 三个小问 (回避制度/错别字/赡养义务) 三类独立判断,partial,no,待源核切分后再决定；可能 partial 进入 002 (赡养意义) 与 007 (程序回避),no — 当前 atom 包多小问,法考化高（回避制度细化）；必修三化中,不可整题统一套 code
PC14,意义::FWV1_N02+FWV1_N03+FWV1_N06,1,CC0103_2025_丰台_一模_19,PROMOTE 008 (CC0103 知识产权司法保护) + revise_002 (典型案例三角),yes — 知识产权侵权 + 司法手段 + 三层意义,yes,yes,COWORK_008 + revise 002,yes (与 PC06/PC09 联动),"必修三化中——CC0103 reward 明文扣""优化营商环境""","CC0103 明文扣""维护双方合法权益""，要点出""原告方/当事人合法权益"""
PC15,原因::FWV1_N01+FWV1_N02+FWV1_N03,1,CC0137_2025_昌平_二模_20,REVISE 001 (CC0137 笔记/表格三段式),yes — 法律依据 1 + 事实判断 1 + 意义/价值 1,yes,yes,revise CODE_COWORK_001 三段式 sub-pattern,yes（与 PC02 联动）,法考化中（著作权法易扩为完整体系）,CC0137 是裁判理由补全，不是参考示例完成下表，但 cell 结构一致
PC16,原因::FWV1_N02+FWV1_N04+FWV1_N05,1,CC0143_2025_朝阳_一模_19,PROMOTE 008 (CC0143 合同欺诈+消法三倍赔偿+司法意义) + revise_007 (诉讼请求结构),yes — 行为定性（欺诈）+ 援引（民法+消法）+ 司法效果（撤销+三倍赔偿）+ 意义,yes,yes,COWORK_008 + revise 007；与 PC06/PC09 联动,yes,"法考化高 — CC0143 reward 明文要求""必须有消费者法律字样""","不可写""反不正当竞争""——CC0143 reward 明文""部分写反不正当竞争""被扣"
PC17,原因::FWV1_N02+FWV1_N04+FWV1_N06,1,CC0181_2025_海淀_期末_21,TRANSFER (CC0181 竞业限制单题),no — 单题,no,no,no,no,法考化高（竞业限制易扩成劳动法条文清单）,单题，不可促 code
PC18,说明::FWV1_N06,1,CC0195_2025_西城_一模_20,TRANSFER (CC0195 工会集体合同 + 经济效率单题),no,no,no,no,no,跨经济+法律双模块，模块边界中,单题，不可促 code
PC19,说明::FWV1_N02+FWV1_N04+FWV1_N05,1,CC0206_2025_西城_期末_19,PROMOTE 008 (CC0206 反不正当竞争+司法意义),yes,yes,yes,COWORK_008,yes (联动 PC06/PC09/PC14),法考化中,不可只停在不正当竞争而不写法治意义层
PC20,评析::FWV1_N04+FWV1_N06,1,CC0238_2026_东城_二模_19,REVISE 004_006 (CC0238 多主体评析),yes — 多主体逐一评析(乙公司+张某)，但已被 N04 部分覆盖,yes,yes,"revise CODE_COWORK_005/006 加入""多主体分别评析""分支",single question; needs 联动 CC0373,法考化中,单题不足以独立成 code，但能强化已有 code
PC21,综合::FWV1_N02+FWV1_N03+FWV1_N04,1,CC0254_2026_丰台_二模_18,SOURCE_CHECK (CC0254 辨析定分止争——rubric atoms 是教学反思),no — atoms 是问题清单而非细则切分,no,no,当前不可促，需回源,no,必修三化高（学生易写法治社会）,"CC0254_07 明文""不要所有题型照搬统一模板""，应警示"
PC22,论证::FWV1_N02+FWV1_N07,1,CC0276_2026_房山_二模_17,TRANSFER (CC0276 涉外法治公共政策论证),no — 公共政策论证非选必二个案答题,partial,partial,no,no,必修三化高（涉外法治易等同于国家话语）,孤证；不可促 code
PC23,建议::FWV1_N02+FWV1_N04+FWV1_N07,1,CC0277_2026_房山_二模_18,REVISE 007 (CC0277 法律边界+应对措施),yes — 风险识别(违法行为类型)+ 应对措施,yes — 数字员工/AI 场景 → 不正当竞争/商业秘密/著作权,yes,"revise CODE_COWORK_007 ""法律边界+措施""分支；联动 CC0289/CC0380",yes (3 题联动),法考化中,不可越级到行政处罚程序
PC24,综合::FWV1_N01+FWV1_N02+FWV1_N05,1,CC0289_2026_朝阳_二模_18,REVISE 007 (CC0289 任选权利保护+救济),yes — 权利定性 + 法律依据 + 救济途径 + 责任承担,yes,"yes — ""民法典依据+做法+救济""",revise CODE_COWORK_007；联动 CC0277/CC0380,yes,"必修三化高——CC0289_08 明文""答必修3不赋分""","CC0289_08 明文""个人信息不赋分""""错别字不赋分"""
PC25,论证::FWV1_N03+FWV1_N04+FWV1_N06,1,CC0318_2026_海淀_期末_18_2,TRANSFER (CC0318 住房租赁条例单题),no,no,no,no,no,必修三化中,"单题，且评分细则偏向""政府履职/良法善治""必修三话语"
PC26,说明::FWV1_N05+FWV1_N07,1,CC0340_2026_西城_一模_17,TRANSFER (CC0340 民法典物权编绿色发展单题),no,partial,no,no — 与 RECOVER_2026_门头沟_一模_18_1 不同最小判断,no,必修三化中,孤证
PC27,开放::FWV1_N06+FWV1_N07,1,RECOVER_2024_东城_二模_19_1,REVISE 007 (RECOVER_2024_东城_二模_19_1 起诉状),yes — 诉讼请求 + 事实陈述 + 法律依据,yes,yes,"revise CODE_COWORK_007 加入""起诉状要素""分支",single question；与 RECOVER_2026_延庆_一模_18_1 联动,法考化高（起诉状格式易扩为民诉法体系）,不可写完整民诉法文书结构
PC28,建议::FWV1_N06+FWV1_N07,1,RECOVER_2024_东城_二模_19_2,TRANSFER (RECOVER_2024_东城_二模_19_2 避免类似问题 2 分小题),no — 2 分小题,no,no,no,no,-,"2 分小题, atom 仅 2 条，不可促 code"
PC29,说明::FWV1_N02+FWV1_N05+FWV1_N07,1,RECOVER_2025_丰台_二模_19_2,TRANSFER (RECOVER_2025_丰台_二模_19_2 理解题宽口径),"no — 是宽口径""谈理解""题",partial,no,no,no,必修三化中,宽口径题不适合 code 化
PC30,说明::FWV1_N02+FWV1_N06+FWV1_N05,1,RECOVER_2026_门头沟_一模_18_1,REVISE 007 (RECOVER_2026_门头沟_一模_18_1 公益诉讼),yes — 诉讼主体 + 多元解纷 + 强制执行力,yes,yes,"revise CODE_COWORK_007 加入""公益诉讼/检察建议""分支",single question；与 CC0125/CC0289 联动,必修三化中,不能把所有诉讼请求题硬套公益诉讼
