question_id,proposed_rubric_atom_id,rubric_or_answer_phrase,point_value_or_scoring_logic,related_material_atom_ids,what_judgment_student_must_make_before_writing,legal_knowledge_or_rule_if_explicit,knowledge_material_value_type,source_locator,patch_status
CC0061_2024_西城_一模_18,PATCH_CC0061_18_3_R03,三个儿子应履行精神上慰藉父亲的义务；告知书保护郭某合法权益并引导孝老敬亲。,18(3) 1分，多选一,M_CC0061_2024_西城_一模_18_04|M_CC0061_2024_西城_一模_18_05,判断二审法院告知书回应老人陪伴需求,精神慰藉义务；合法权益保护,knowledge+material+value,F0278 lines 31-34,split_or_trim_to_18_3
CC0061_2024_西城_一模_18,PATCH_CC0061_18_3_R04,传承中华传统美德、践行社会主义核心价值观、发挥法律对道德建设的促进作用/法治与德治统一等，多选得2分。,18(3) 2分，多选一组,M_CC0061_2024_西城_一模_18_04|M_CC0061_2024_西城_一模_18_05,判断法律文书的价值收束是敬老爱老和法德统一,法治与德治统一；法律促进道德建设,knowledge+material+value,F0278 lines 31-42,split_or_trim_to_18_3
CC0254_2026_丰台_二模_18,PATCH_CC0254_R01,明确指出该案体现法治与德治相结合原则。,1分,M_CC0254_2026_丰台_二模_18_08|M_CC0254_2026_丰台_二模_18_09|M_CC0254_2026_丰台_二模_18_10,判断观点要求同时看法律刚性和情理温度,法治与德治相结合,knowledge+value,F0187 lines 148-170,replace_wrong_problem_atoms
CC0254_2026_丰台_二模_18,PATCH_CC0254_R02,依据民法典定分止争。,1分,M_CC0254_2026_丰台_二模_18_06|M_CC0254_2026_丰台_二模_18_09,判断法院释明民法典是定分止争依据,民法典；定分止争,knowledge+material,F0187 lines 148-170,replace_wrong_problem_atoms
CC0254_2026_丰台_二模_18,PATCH_CC0254_R03,说明饲养动物侵权适用无过错责任原则。,1分,M_CC0254_2026_丰台_二模_18_02|M_CC0254_2026_丰台_二模_18_04|M_CC0254_2026_丰台_二模_18_06,判断李某饲养动物致损触发无过错责任,饲养动物损害责任；无过错责任,knowledge+material,F0187 lines 148-170,replace_wrong_problem_atoms
CC0254_2026_丰台_二模_18,PATCH_CC0254_R04,依法维护张某合法财产权益。,1分,M_CC0254_2026_丰台_二模_18_01|M_CC0254_2026_丰台_二模_18_02|M_CC0254_2026_丰台_二模_18_04|M_CC0254_2026_丰台_二模_18_05,判断果园受损和赔偿请求是财产权益保护,财产权保护；侵权责任,knowledge+material+value,F0187 lines 148-170,replace_wrong_problem_atoms
CC0254_2026_丰台_二模_18,PATCH_CC0254_R05,结合生态环境法典核心原则与立法理念，将矛盾化解与生态修复同步推进，彰显法律规范与刚性。,1分,M_CC0254_2026_丰台_二模_18_08|M_CC0254_2026_丰台_二模_18_09|M_CC0254_2026_丰台_二模_18_10,判断案件处理不仅赔钱，还要生态修复,损害担责；生态修复,knowledge+material+value,F0187 lines 148-170,replace_wrong_problem_atoms
CC0254_2026_丰台_二模_18,PATCH_CC0254_R06,结合双方实际情况，提出分期赔偿+行为约束+生态修复的柔性调解方案。,1分,M_CC0254_2026_丰台_二模_18_05|M_CC0254_2026_丰台_二模_18_10,判断调解方案体现兼顾双方实际,调解；纠纷解决,material+value,F0187 lines 148-170,replace_wrong_problem_atoms
CC0254_2026_丰台_二模_18,PATCH_CC0254_R07,促成当事人互谅互让，传递司法温暖力量。,1分,M_CC0254_2026_丰台_二模_18_10|M_CC0254_2026_丰台_二模_18_11,判断握手言和和致歉触发情理温度,调解；司法温度,material+value,F0187 lines 148-170,replace_wrong_problem_atoms
CC0254_2026_丰台_二模_18,PATCH_CC0254_R08,有利于弘扬社会主义核心价值观。,1分,M_CC0254_2026_丰台_二模_18_10|M_CC0254_2026_丰台_二模_18_11,判断价值收束必须从调解效果推出,社会主义核心价值观,value,F0187 lines 148-170,replace_wrong_problem_atoms
RECOVER_2026_房山_一模_17_1,PATCH_RECOVER_FS17_1_R01,AI幻觉造成的损失不由A公司买单。,1分,RECOVER_2026_房山_一模_17_1_M01|RECOVER_2026_房山_一模_17_1_M02,先判断责任归属结论,侵权责任不成立,knowledge+material,F0371 lines 22-25,keep_rewrite_logic
RECOVER_2026_房山_一模_17_1,PATCH_RECOVER_FS17_1_R02A,主体维度：民事法律关系主体包括自然人、法人和非法人组织；AI不具备民事主体资格，AI赔偿承诺不具法律效力。,2分中的一种可选维度；解释清楚即可得2分,RECOVER_2026_房山_一模_17_1_M01,判断AI不是民事主体,民事法律关系主体,knowledge+material,F0371 lines 26-27,alternative_not_cumulative
RECOVER_2026_房山_一模_17_1,PATCH_RECOVER_FS17_1_R02B,内容维度：民事法律关系内容是民事主体享有权利和承担义务；A公司已履行提示义务/没有生成有毒有害信息，主观上不存在过错。,2分中的一种可选维度；解释清楚即可得2分,RECOVER_2026_房山_一模_17_1_M02,判断公司是否违反义务、有无过错,民事权利义务；提示义务；过错,knowledge+material,F0371 lines 26-28,alternative_not_cumulative
RECOVER_2026_房山_一模_17_1,PATCH_RECOVER_FS17_1_R02C,客体维度：民事法律关系客体是民事权利和义务所指向的对象；梁某的人身权益等并未受到实际损害。,2分中的一种可选维度；解释清楚即可得2分,RECOVER_2026_房山_一模_17_1_M02,判断是否有实际权益损害,民事法律关系客体；损害事实,knowledge+material,F0371 lines 26-29,alternative_not_cumulative
