词,行号,位置,处理方式,原句
NDC,184,题目答案落点,保留为具体题目材料/答案事实,【答案落点】共同利益是国家间合作的基础，NDC和《巴黎协定》说明气候治理关系各国生存发展和可持续发展，各国存在共同利益说明各方存在共同需求，能够在合作中实现共同发展。
全球南方,211,题目材料触发点,保留为具体题目材料/答案事实,【材料触发点】设问问南南合作典范的深层逻辑，实质是说明合作为什么能成立、能持续，科技小院回应全球南方农业发展共同需求。
南南合作,211,题目材料触发点,保留为具体题目材料/答案事实,【材料触发点】设问问南南合作典范的深层逻辑，实质是说明合作为什么能成立、能持续，科技小院回应全球南方农业发展共同需求。
南南合作,212,题目材料触发点,保留为具体题目材料/答案事实,【设问】结合材料，运用《当代国际政治与经济》知识，阐述科技小院成为南南合作典范的深层逻辑。
全球南方,214,题目答案落点,保留为具体题目材料/答案事实,【答案落点】共同利益是国家间合作的基础，相关现实问题典范的深层逻辑，实质是说明合作为什么能成立、能持续，科技小院回应全球南方农业发展…说明各方存在共同需求，能够在合作中实现共同发展。
全球南方,257,题目材料触发点,保留为具体题目材料/答案事实,【材料触发点】材料把人工智能发展同全球南方能力建设、发展成果共享联系起来，就要想到发展合作中的正确义利观。
全球南方,259,题目材料触发点,保留为具体题目材料/答案事实,【为什么能想到】看到“把人工智能发展同全球南方能力建设、发展成果共享联系起来，就要想到发展合作中的…”，先归入“理论”，再落到 PDF 小框架“共同利益”。本题优先写“维护本国利益的同时兼顾他国合理关切”，因为说明中国处理国际关系时不是单向利己，而是在维护自身利益的同时兼顾合作方合理关切。“共同利益是合作基础”回答合作
全球南方,260,题目答案落点,保留为具体题目材料/答案事实,【答案落点】我国在维护本国利益的同时兼顾他国合理关切，把人工智能发展同全球南方能力建设、发展成果共享联系起来，就要想到发展合作中的正确义利观体现了互利共赢的合作取向。
全球南方,569,题目材料触发点,保留为具体题目材料/答案事实,【材料触发点】当材料把中国市场开放、发展经验共享、南南合作和全球南方受益联系起来，答案要说明中国推动经济全球化走向更公平、更包容、更共赢。
南南合作,569,题目材料触发点,保留为具体题目材料/答案事实,【材料触发点】当材料把中国市场开放、发展经验共享、南南合作和全球南方受益联系起来，答案要说明中国推动经济全球化走向更公平、更包容、更共赢。
全球南方,571,题目材料触发点,保留为具体题目材料/答案事实,【为什么能想到】看到“当材料把中国市场开放、发展经验共享、相关现实问题和全球南方受益联系起来，答案…”，先归入“经济全球化”，再落到 PDF 小框架“总”。本题优先写“推动经济全球化朝着更加开放、包容、普惠、平衡、共赢的方向发展”，因为说明中国实践推动经济全球化朝正确方向发展。“开”侧重我国开放举措，“总”侧重世界经济
全球南方,572,题目答案落点,保留为具体题目材料/答案事实,【答案落点】当材料把中国市场开放、发展经验共享、相关现实问题和全球南方受益联系起来，答案要说明中国推动经…有利于推动经济全球化朝着更加开放、包容、普惠、平衡、共赢的方向发展。
逆全球化,575,题目材料触发点,保留为具体题目材料/答案事实,【材料触发点】材料写逆全球化思潮和脱钩断链行径 回答经济外部环境时触发推动经济全球化朝着更加开放、包容、普惠、平衡、共赢方向发展
南南合作,606,题目材料触发点,保留为具体题目材料/答案事实,【设问】结合材料，运用《当代国际政治与经济》知识，阐述科技小院成为南南合作典范的深层逻辑。
逆全球化,623,题目材料触发点,保留为具体题目材料/答案事实,【材料触发点】链博会和自贸协定说明中国用开放合作回应逆全球化，触发推动经济全球化朝着更加开放、包容、普惠、平衡、共赢方向发展完整五词。
制度型开放,676,题目材料触发点,保留为具体题目材料/答案事实,【材料触发点】题目问攻克卡脖子难题如何助推经济开放发展 技术突破连接标准规则和国际竞争力 触发制度型开放与规则话语权
制度型开放,679,题目答案落点,保留为具体题目材料/答案事实,【答案落点】攻克卡脖子难题如何助推经济开放发展技术突破连接标准规则和国际竞争力指向制度型开放与规则话语权有利于发展更高层次的开放型经济，并通过制度型开放等具体举措，推进我国高水平对外开放。
制度型开放,682,题目材料触发点,保留为具体题目材料/答案事实,【材料触发点】题目问开放措施如何通过构建新发展格局助力高质量发展，材料写主动对标国际规则、规制、管理和标准，触发制度型开放与经济全球化链条。
制度型开放,685,题目答案落点,保留为具体题目材料/答案事实,【答案落点】开放措施如何通过构建新发展格局助力高质量发展，材料写主动对标国际规则、规制、管理和标准，指向…有利于发展更高层次的开放型经济，并通过制度型开放等具体举措，推进我国高水平对外开放。
制度型开放,700,题目材料触发点,保留为具体题目材料/答案事实,【材料触发点】设问问为何能注入新动能和新活力 需要先用开放政策和经济全球化解释封关的理论原因；材料写清单管理透明度和开放度提升 取消许可证管理 允许保税维修 触发市场准入和制度型开放示范
制度型开放,703,题目答案落点,保留为具体题目材料/答案事实,【答案落点】为何能注入新动能和新活力需要先用开放政策和经济全球化解释封关的理论原因有利于发展更高层次的开放型经济，并通过制度型开放等具体举措，推进我国高水平对外开放。；写清单管理透明度和开放度提升取消许可证管理允许保税维修指向市场准入和制度型开放示范有利于发展更高层次的开放型经济，并通过制度型开放等具体举措，推进我国高
制度型开放,735,题目材料触发点,保留为具体题目材料/答案事实,【材料触发点】题面写国际标准是全球产业界通用语言并说明中国标准走出国门融入全球产业发展体系 触发制度型开放和两个市场两种资源
制度型开放,738,题目答案落点,保留为具体题目材料/答案事实,【答案落点】题面写国际标准是全球产业界通用语言并说明中国标准走出国门融入全球产业发展体系指向制度型开放和…有利于充分利用国内国际两个市场、两种资源，增强国内国际联动。
制度型开放,783,题目材料触发点,保留为具体题目材料/答案事实,【材料触发点】设问问如何助力国际循环 材料呈现封关制度安排打通一线二线岛内自由 触发制度型开放和国内国际循环联动
制度型开放,785,题目材料触发点,保留为具体题目材料/答案事实,【为什么能想到】看到“如何助力国际循环材料呈现封关制度安排打通一线二线岛内自由指向制度型开放和国内…”，先归入“经济全球化”，再落到 PDF 小框架“兼”。本题优先写“充分利用国内国际两个市场 / 充分利用国内国际两种资源”，因为说明开放如何统筹国内国际资源和市场。“开”是开放政策本身，“兼”是开放带来的市场资源统筹。
制度型开放,786,题目答案落点,保留为具体题目材料/答案事实,【答案落点】如何助力国际循环材料呈现封关制度安排打通一线二线岛内自由指向制度型开放和国内国际循环联动有利于充分利用国内国际两个市场、两种资源，增强国内国际联动。
全球南方,807,题目材料触发点,保留为具体题目材料/答案事实,【材料触发点】材料二写中国以负责任、建设性态度参与联合国事务，反映全球南方声音、推动停火止战和恢复和平，要求回答中国为联合国事业贡献什么。
全球南方,809,题目材料触发点,保留为具体题目材料/答案事实,【为什么能想到】看到“二写中国以负责任、建设性态度参与联合国事务，反映全球南方声音、推动停火止战和…”，先归入“政治多极化”，再落到 PDF 小框架“新国关”。本题优先写“有利于构建相互尊重、公平正义、合作共赢的新型国际关系”，因为说明中国实践推动国家关系从对抗转向合作共赢。“人类命运共同体”是整体愿景，新型国际关系侧
全球南方,810,题目答案落点,保留为具体题目材料/答案事实,【答案落点】二写中国以负责任、建设性态度参与联合国事务，反映全球南方声音、推动停火止战和恢复和平，要求回…有利于构建相互尊重、公平正义、合作共赢的新型国际关系。
南南合作,838,题目材料触发点,保留为具体题目材料/答案事实,【设问】结合材料，运用《当代国际政治与经济》知识，阐述科技小院成为南南合作典范的深层逻辑。
治理赤字,967,题目材料触发点,保留为具体题目材料/答案事实,【材料触发点】设问问四大全球倡议如何系统推动构建人类命运共同体 先触发人类命运共同体的目标世界总框架；材料中的沙伊和解和国际调解院等安全行动触发全球安全倡议的和平路径；材料中的文明对话国际日对应文明互鉴和民心相通 触发全球文明倡议的互信路径；材料中的全球治理倡议和国际调解院对应全球治理赤字的制度回应 触发治理求公正；设
全球南方,991,题目材料触发点,保留为具体题目材料/答案事实,【材料触发点】材料把中国人工智能发展同世界共同发展、全球南方能力建设联系起来，就要想到中国发展和世界发展相协调。
全球南方,993,题目材料触发点,保留为具体题目材料/答案事实,【为什么能想到】看到“把中国人工智能发展同世界共同发展、全球南方能力建设联系起来，就要想到中国发展…”，先归入“政治多极化”，再落到 PDF 小框架“共体”。本题优先写“有利于构建人类命运共同体”，因为说明中国实践服务人类共同未来和整体利益。“新型国际关系”侧重国家关系，“人类命运共同体”侧重全人类共同愿景。
全球南方,994,题目答案落点,保留为具体题目材料/答案事实,【答案落点】把中国人工智能发展同世界共同发展、全球南方能力建设联系起来，就要想到中国发展和世界发展相协调有利于构建人类命运共同体，回应各国命运与共、合作发展的共同需要。
治理赤字,1033,题目材料触发点,保留为具体题目材料/答案事实,【材料触发点】全球治理倡议回应治理赤字和共同挑战，并把中国方案提供给国际社会，就要想到推动构建人类命运共同体。
全球南方,1039,题目材料触发点,保留为具体题目材料/答案事实,【材料触发点】材料写中国方案应用于多国农业治理、让更多全球南方国家受益，触发中国开展南南合作的价值逻辑。
南南合作,1039,题目材料触发点,保留为具体题目材料/答案事实,【材料触发点】材料写中国方案应用于多国农业治理、让更多全球南方国家受益，触发中国开展南南合作的价值逻辑。
南南合作,1040,题目材料触发点,保留为具体题目材料/答案事实,【设问】结合材料，运用《当代国际政治与经济》知识，阐述科技小院成为南南合作典范的深层逻辑。
全球南方,1041,题目材料触发点,保留为具体题目材料/答案事实,【为什么能想到】看到“写中国方案应用于多国农业治理、让更多全球南方国家受益，指向中国开展相关现实问…”，先归入“政治多极化”，再落到 PDF 小框架“共体”。本题优先写“有利于构建人类命运共同体”，因为说明中国实践服务人类共同未来和整体利益。“新型国际关系”侧重国家关系，“人类命运共同体”侧重全人类共同愿景。
全球南方,1042,题目答案落点,保留为具体题目材料/答案事实,【答案落点】写中国方案应用于多国农业治理、让更多全球南方国家受益，指向中国开展相关现实问题的价值逻辑有利于构建人类命运共同体，回应各国命运与共、合作发展的共同需要。
逆全球化,1080,题目材料触发点,保留为具体题目材料/答案事实,【材料触发点】欧盟对中国新能源汽车征收反补贴税形成贸易壁垒 触发贸易保护主义和逆全球化批判
全球性挑战,1086,题目材料触发点,保留为具体题目材料/答案事实,【材料触发点】题目追问写研讨共识 先说明为什么要完善全球气候治理 材料中的气候风险触发全球性挑战背景；完善全球气候治理首先要回答治理原则 材料中的发达国家与发展中国家责任分歧触发平等公平公正和多边协商
全球南方,1104,题目材料触发点,保留为具体题目材料/答案事实,【材料触发点】材料写回应全球南方求平等促变革的强烈意愿 触发发展中国家利益和全球治理改革
全球南方,1106,题目材料触发点,保留为具体题目材料/答案事实,【为什么能想到】看到“写回应全球南方求平等促变革的强烈意愿指向发展中国家利益和全球治理改革”，先归入“政治多极化”，再落到 PDF 小框架“单边”。本题优先写“反对单边主义和贸易保护主义 / 反对霸权主义和强权政治 / 坚持真正的多边主义”，因为说明对旧式强权逻辑和单边主义的反对及多边主义方向。“民主”只写推动国际关系
全球南方,1107,题目答案落点,保留为具体题目材料/答案事实,【答案落点】面对写回应全球南方求平等促变革的强烈意愿指向发展中国家利益和全球治理改革，应反对单边主义和贸易保护主义，反对霸权主义和强权政治，坚持真正的多边主义。
全球南方,1116,题目材料触发点,保留为具体题目材料/答案事实,【材料触发点】材料写为构建周边命运共同体和全球南方共同迈向现代化汇聚力量 触发命运共同体和全球治理目标；材料写全球南方联合自强和金砖扩员 回答政治方面为什么更有作为触发反霸权与国际关系民主化
全球南方,1118,题目材料触发点,保留为具体题目材料/答案事实,【为什么能想到】看到“写为构建周边命运共同体和全球南方共同迈向现代化汇聚力量指向命运共同体和全球治…”，先归入“政治多极化”，再落到 PDF 小框架“单边”。本题优先写“反对单边主义和贸易保护主义 / 反对霸权主义和强权政治 / 坚持真正的多边主义”，因为说明对旧式强权逻辑和单边主义的反对及多边主义方向。“民主”只写推
全球南方,1119,题目答案落点,保留为具体题目材料/答案事实,【答案落点】面对写为构建周边命运共同体和全球南方共同迈向现代化汇聚力量指向命运共同体和全球治理目标，应反对单边主义和贸易保护主义，反对霸权主义和强权政治，坚持真正的多边主义。；面对写全球南方联合自强和金砖扩员回答政治方面为什么更有作为指向反霸权与国际关系民主化，应反对单边主义和贸易保护主义，反对霸权主义和强权政治，坚持
全球南方,1210,题目材料触发点,保留为具体题目材料/答案事实,【材料触发点】材料写回应全球南方求平等促变革的强烈意愿 触发发展中国家利益和全球治理改革
全球南方,1212,题目材料触发点,保留为具体题目材料/答案事实,【为什么能想到】看到“写回应全球南方求平等促变革的强烈意愿指向发展中国家利益和全球治理改革”，先归入“政治多极化”，再落到 PDF 小框架“民主”。本题优先写“推动国际关系民主化”，因为说明国际事务应由各国平等参与和共同决定。本题的重心是各国平等参与国际事务，不写反对单边霸权那一组术语。
全球南方,1213,题目答案落点,保留为具体题目材料/答案事实,【答案落点】写回应全球南方求平等促变革的强烈意愿指向发展中国家利益和全球治理改革要求推动国际关系民主化，使各国平等参与国际事务。
全球南方,1222,题目材料触发点,保留为具体题目材料/答案事实,【材料触发点】材料写为构建周边命运共同体和全球南方共同迈向现代化汇聚力量 触发命运共同体和全球治理目标；材料写全球南方联合自强和金砖扩员 回答政治方面为什么更有作为触发反霸权与国际关系民主化
全球南方,1224,题目材料触发点,保留为具体题目材料/答案事实,【为什么能想到】看到“写为构建周边命运共同体和全球南方共同迈向现代化汇聚力量指向命运共同体和全球治…”，先归入“政治多极化”，再落到 PDF 小框架“民主”。本题优先写“推动国际关系民主化”，因为说明国际事务应由各国平等参与和共同决定。本题的重心是各国平等参与国际事务，不写反对单边霸权那一组术语。
全球南方,1225,题目答案落点,保留为具体题目材料/答案事实,【答案落点】写为构建周边命运共同体和全球南方共同迈向现代化汇聚力量指向命运共同体和全球治理目标要求推动国际关系民主化，使各国平等参与国际事务。；写全球南方联合自强和金砖扩员回答政治方面为什么更有作为指向反霸权与国际关系民主化要求推动国际关系民主化，使各国平等参与国际事务。
NDC,1311,题目材料触发点,保留为具体题目材料/答案事实,【材料触发点】中国提出NDC目标并推进低碳转型、市场机制和气候适应，说明中国用行动为全球气候治理提供方案和支撑。
NDC,1313,题目材料触发点,保留为具体题目材料/答案事实,【为什么能想到】看到“中国提出NDC目标并推进低碳转型、市场机制和气候适应，说明中国用行动为全球气…”，先归入“中国”，再落到 PDF 小框架“智慧”。本题优先写“中国智慧 / 中国方案”，因为说明中国为国际问题提供理念和方案。“责任”强调行动担当，“智慧”强调理念方案。
NDC,1314,题目答案落点,保留为具体题目材料/答案事实,【答案落点】中国提出NDC目标并推进低碳转型、市场机制和气候适应，说明中国用行动为全球气候治理提供方案和…体现中国智慧、中国方案，为解决国际问题提供有益思路。
全球南方,1317,题目材料触发点,保留为具体题目材料/答案事实,【材料触发点】材料列举外国领导人和全球南方国家代表团学习中国发展经验 触发中国经验对发展中国家现代化路径的意义
全球南方,1319,题目材料触发点,保留为具体题目材料/答案事实,【为什么能想到】看到“列举外国领导人和全球南方国家代表团学习中国发展经验指向中国经验对发展中国家现…”，先归入“中国”，再落到 PDF 小框架“智慧”。本题优先写“中国智慧 / 中国方案”，因为说明中国为国际问题提供理念和方案。“责任”强调行动担当，“智慧”强调理念方案。
全球南方,1320,题目答案落点,保留为具体题目材料/答案事实,【答案落点】列举外国领导人和全球南方国家代表团学习中国发展经验指向中国经验对发展中国家现代化路径的意义体现中国智慧、中国方案，为解决国际问题提供有益思路。
南南合作,1329,题目材料触发点,保留为具体题目材料/答案事实,【材料触发点】材料的环境合作对象落在发展中国家，触发南南合作及中国智慧中国方案。
全球南方,1364,题目材料触发点,保留为具体题目材料/答案事实,【材料触发点】材料把我国人工智能发展同全球智能鸿沟、全球南方能力建设联系起来，就要想到中国发展和世界发展之间的关系。
全球南方,1366,题目材料触发点,保留为具体题目材料/答案事实,【为什么能想到】看到“把我国人工智能发展同全球智能鸿沟、全球南方能力建设联系起来，就要想到中国发展…”，先归入“中国”，再落到 PDF 小框架“责任”。本题优先写“承担大国责任 / 发挥建设性作用 / 世界第一大发展中国家 / 世界第二大经济体”，因为说明中国以自身身份和能力承担国际责任。“智慧”是方案贡献，“责任”是
全球南方,1367,题目答案落点,保留为具体题目材料/答案事实,【答案落点】中国承担大国责任、发挥建设性作用，把我国人工智能发展同全球智能鸿沟、全球南方能力建设联系起来，就要想到中国发展和世界发展之间的…展现负责任大国担当。
全球南方,1400,题目材料触发点,保留为具体题目材料/答案事实,【材料触发点】材料写全球南方群体性崛起和全球南方为发展而起 回答中国力量首先要说明中国以发展中国家身份参与全球治理并推动全球南方现代化
全球南方,1402,题目材料触发点,保留为具体题目材料/答案事实,【为什么能想到】看到“写全球南方群体性崛起和全球南方为发展而起回答中国力量首先要说明中国以发展中国…”，先归入“中国”，再落到 PDF 小框架“责任”。本题优先写“承担大国责任 / 发挥建设性作用 / 世界第一大发展中国家 / 世界第二大经济体”，因为说明中国以自身身份和能力承担国际责任。“智慧”是方案贡献，“责任”是
全球南方,1403,题目答案落点,保留为具体题目材料/答案事实,【答案落点】中国承担大国责任、发挥建设性作用，写全球南方群体性崛起和全球南方为发展而起回答中国力量首先要说明中国以发展中国家身份参与全球治…展现负责任大国担当。
NDC,1412,题目材料触发点,保留为具体题目材料/答案事实,【材料触发点】题目问参与全球气候治理的中国实践，材料写中国向联合国提交2035年NDC目标并总结气候行动进展，触发中国在全球气候治理中的角色定位。；题干说明NDC是巴黎协定核心且缔约方每五年提交行动目标，中国提交2035目标体现对国际机制和国际承诺的履行。
NDC,1414,题目材料触发点,保留为具体题目材料/答案事实,【为什么能想到】看到“参与全球气候治理的中国实践，材料写中国向联合国提交2035年NDC目标并总结…”，先归入“中国”，再落到 PDF 小框架“责任”。本题优先写“承担大国责任 / 发挥建设性作用 / 世界第一大发展中国家 / 世界第二大经济体”，因为说明中国以自身身份和能力承担国际责任。“智慧”是方案贡献，“责任”是
NDC,1415,题目答案落点,保留为具体题目材料/答案事实,【答案落点】中国承担大国责任、发挥建设性作用，参与全球气候治理的中国实践，材料写中国向联合国提交2035年NDC目标并总结气候行动进展，指…展现负责任大国担当。；中国承担大国责任、发挥建设性作用，题干说明NDC是巴黎协定核心且缔约方每五年提交行动目标，中国提交2035目标体现对国际机制和…展现负责任大国担当。
NDC,1524,题目材料触发点,保留为具体题目材料/答案事实,【材料触发点】NDC属于《巴黎协定》框架下的气候行动目标，中国提交目标体现对多边气候治理机制的支持。
NDC,1526,题目材料触发点,保留为具体题目材料/答案事实,【为什么能想到】看到“NDC属于《巴黎协定》框架下的气候行动目标，中国提交目标体现对多边气候治理机…”，先归入“联合国”，再落到 PDF 小框架“联合国原框架术语”。本题优先写“遵循联合国宪章宗旨原则”，因为说明行动的联合国法理和制度基础。“践行多边主义的最佳场所”强调联合国平台地位，宪章原则强调行为准则。
NDC,1527,题目答案落点,保留为具体题目材料/答案事实,【答案落点】NDC属于《巴黎协定》框架下的气候行动目标，中国提交目标体现对多边气候治理机制的支持应遵循联合国宪章宗旨原则，在联合国框架下推进国际合作。
全球南方,1570,题目材料触发点,保留为具体题目材料/答案事实,【材料触发点】材料写国际力量对比调整全球南方壮大和单边霸凌 因此政治环境层触发多极化与全球治理秩序
全球南方,1572,题目材料触发点,保留为具体题目材料/答案事实,【为什么能想到】看到“写国际力量对比调整全球南方壮大和单边霸凌因此政治环境层指向多极化与全球治理秩…”，先归入“联合国”，再落到 PDF 小框架“联合国原框架术语”。本题优先写“践行多边主义的最佳场所”，因为说明联合国作为多边合作平台的意义。“宪章宗旨原则”强调规范基础，本术语强调平台功能。
全球南方,1573,题目答案落点,保留为具体题目材料/答案事实,【答案落点】联合国是践行多边主义的最佳场所，写国际力量对比调整全球南方壮大和单边霸凌因此政治环境层指向多极化与全球治理秩序说明应依托联合国平台推进多边合作。
NDC,1582,题目材料触发点,保留为具体题目材料/答案事实,【材料触发点】NDC属于《巴黎协定》框架下的气候行动目标，中国提交目标体现对多边气候治理机制的支持。
NDC,1584,题目材料触发点,保留为具体题目材料/答案事实,【为什么能想到】看到“NDC属于《巴黎协定》框架下的气候行动目标，中国提交目标体现对多边气候治理机…”，先归入“联合国”，再落到 PDF 小框架“联合国原框架术语”。本题优先写“践行多边主义的最佳场所”，因为说明联合国作为多边合作平台的意义。“宪章宗旨原则”强调规范基础，本术语强调平台功能。
NDC,1585,题目答案落点,保留为具体题目材料/答案事实,【答案落点】联合国是践行多边主义的最佳场所，NDC属于《巴黎协定》框架下的气候行动目标，中国提交目标体现对多边气候治理机制的支持说明应依托联合国平台推进多边合作。
