bucket,second_level,core_point,frequency,entry_count,reason
政治多极化,新增：具体治理议题与文明互鉴,跨国公司等全球企业，尤其是工业领域企业，应致力于技术创新，加快绿色低碳转型，努力降低碳排放,1,1,明显是气候、安全、文明互鉴等具体治理议题
政治多极化,新增：世界多极化、全球南方与发展中国家,世界多极化与全球南方联合自强,3,3,明显是多极化格局和全球南方力量变化角度
政治多极化,新增：世界多极化、全球南方与发展中国家,国际组织,1,1,明显是多极化格局和全球南方力量变化角度
政治多极化,新增：具体治理议题与文明互鉴,超越集团政治、实力至上和少数国家垄断价值定义的治理逻辑,1,1,明显是气候、安全、文明互鉴等具体治理议题
政治多极化,新国关：新型国际关系,在平等互利基础上开展合作，实现互利共赢,2,2,对应讲义“新国关”：相互尊重、公平正义、合作共赢的新型国际关系
政治多极化,民主：国际关系民主化,推动国际关系民主化、和平解决国际争端,1,1,对应讲义“民主”：推动国际关系民主化
政治多极化,新增：世界多极化、全球南方与发展中国家,世界多极化是当今国际形势的突出特点,1,1,明显是多极化格局和全球南方力量变化角度
政治多极化,完全治：完善全球治理,以主权平等、国际法治等原则推动全球治理体系变革完善,1,1,对应讲义“完全治”：完善全球治理，倡导共商共建共享
政治多极化,新增：国际秩序与国际法治,坚持主权平等与安全保障,1,1,明显是国际秩序、国际法治和主权平等角度
政治多极化,完全治：完善全球治理,推动全球治理体系变革完善，建立更加公正合理的国际政治经济新秩序,1,1,对应讲义“完全治”：完善全球治理，倡导共商共建共享
中国,政策,坚持总体国家安全观，统筹发展与安全，以新安全格局保障新发展格局,2,2,中国外交政策、国家安全和对外关系准则
中国,智慧,贡献中国智慧、中国方案、中国力量,7,7,中国主张、中国方案、全球倡议和理念供给
中国,责任,坚持正确义利观,5,5,中国行动、发展合作、南南合作、气候治理和负责任大国担当
中国,一条历史线,中国综合国力、国际地位和话语权提升,2,2,对应讲义一条历史线：中国综合国力增强、国际地位提升
中国,一条主线,习近平外交思想指导中国特色大国外交（外交为民、服务中国式现代化）,2,2,对应讲义一条主线：习近平外交思想提供根本遵循和行动指南
中国,政策,新中国外交始终服务国家性质并坚持党对外交统一集中领导,1,1,中国外交政策、国家安全和对外关系准则
中国,政策,中国坚持独立自主的和平外交政策,4,4,中国外交政策、国家安全和对外关系准则
中国,政策,和平共处五项原则是我国对外关系基本准则,1,1,中国外交政策、国家安全和对外关系准则
中国,责任,与发展中国家共享发展新机遇，惠民生增福祉，实现互利共赢,1,1,中国行动、发展合作、南南合作、气候治理和负责任大国担当
中国,智慧,中国推动构建人类命运共同体,14,14,中国主张、中国方案、全球倡议和理念供给
中国,一条历史线,中国作为联合国创始会员国和安理会常任理事国，是国际政治经济格局中的重要力量〔中国国际地位综合表达角度〕,1,1,对应讲义一条历史线：中国综合国力增强、国际地位提升
中国,责任,坚持正确义利观，在发展合作中共享机遇,2,2,中国行动、发展合作、南南合作、气候治理和负责任大国担当
中国,责任,改善发展中国家民生并助力持续发展,3,3,中国行动、发展合作、南南合作、气候治理和负责任大国担当
中国,责任,民心相通与文明互鉴,1,1,中国行动、发展合作、南南合作、气候治理和负责任大国担当
中国,智慧,四大全球倡议相互促进、有机统一，系统推动构建人类命运共同体,1,1,中国主张、中国方案、全球倡议和理念供给
中国,智慧,全球发展倡议：以发展促繁荣,3,3,中国主张、中国方案、全球倡议和理念供给
中国,智慧,全球安全倡议：以安全保稳定,2,2,中国主张、中国方案、全球倡议和理念供给
中国,智慧,全球文明倡议：以文明增互信,2,2,中国主张、中国方案、全球倡议和理念供给
中国,智慧,全球治理倡议：以治理求公正,1,1,中国主张、中国方案、全球倡议和理念供给
中国,智慧,从中国主张到国际共识，从合作理念到共同行动,1,1,中国主张、中国方案、全球倡议和理念供给
中国,责任,南南合作与全球南方共同发展,2,2,中国行动、发展合作、南南合作、气候治理和负责任大国担当
中国,一条历史线,中国积极参与国际组织，在联合国、金砖国家、二十国集团、博鳌亚洲论坛等国际组织中的作用日益显著，已成为全球治理体系的重要参与者、贡献者和改革者,1,1,对应讲义一条历史线：中国综合国力增强、国际地位提升
中国,责任,中国推进绿色低碳转型并参与全球气候治理,1,1,中国行动、发展合作、南南合作、气候治理和负责任大国担当
中国,责任,严格落实《巴黎协定》要求，每五年向联合国提交国家自主贡献目标，维护全球气候治理多边进程,1,1,中国行动、发展合作、南南合作、气候治理和负责任大国担当
中国,责任,中国是负责任大国并勇于担当,5,5,中国行动、发展合作、南南合作、气候治理和负责任大国担当
中国,政策,坚持独立自主、自力更生，增强发展主动权,1,1,中国外交政策、国家安全和对外关系准则
中国,责任,聚焦发展中国家紧迫需求，以灵活快速的小而美项目形成共同发展品牌,1,1,中国行动、发展合作、南南合作、气候治理和负责任大国担当
中国,智慧,理念蕴含普遍价值，能够形成共识、促成合作和发展、应对全人类共同问题和共同挑战,1,1,中国主张、中国方案、全球倡议和理念供给
中国,智慧,推动构建中拉命运共同体,1,1,中国主张、中国方案、全球倡议和理念供给
中国,智慧,共同落实全球发展倡议,1,1,中国主张、中国方案、全球倡议和理念供给
中国,智慧,倡导文明平等互鉴，弘扬全人类共同价值，尊重世界文明多样性,1,1,中国主张、中国方案、全球倡议和理念供给
中国,责任,展现大国责任担当,1,1,中国行动、发展合作、南南合作、气候治理和负责任大国担当
联合国,联合国宪章宗旨和原则,维护《联合国宪章》宗旨和原则,3,3,对应讲义：遵循《联合国宪章》宗旨和原则
联合国,多边主义/多极化场所,联合国是当今世界最具普遍性、代表性和权威性的政府间国际组织，并在维护和平、推动发展、促进人类文明进步中发挥重要作用,2,2,对应讲义：联合国是践行多边主义和多极化合作的重要场所
联合国,新增：中国与联合国关系,联合国对中国对外开放和现代化事业作出独特贡献，成为中国开展多边合作的主要舞台,2,2,明显是中国与联合国双向关系角度
联合国,新增：联合国发展议程与全球治理贡献,落实联合国2030年可持续发展议程,1,1,明显是联合国发展议程和全球性问题治理角度
联合国,联合国宪章宗旨和原则,中国作为联合国创始会员国和安理会常任理事国〔以联合国为核心的国际体系参与角度〕,1,1,对应讲义：遵循《联合国宪章》宗旨和原则
联合国,新增：联合国发展议程与全球治理贡献,为解决全球性问题提供中国智慧和中国方案，助力联合国在全球治理中发挥更大作用,1,1,明显是联合国发展议程和全球性问题治理角度
联合国,联合国宪章宗旨和原则,坚定维护以联合国为核心的国际体系和以国际法为基础的国际秩序,1,1,对应讲义：遵循《联合国宪章》宗旨和原则
